sequence,v115@/gC8GeB8IeB8FeD8DeA8JeZEJvhFqkB3hBcnBTjBWx?BFtB,v115@/gC8GeB8IeB8FeD8DeA8JeZEJvhFqkB3hBFjBTnBct?BWxB,v115@/gC8GeB8IeB8FeD8DeA8JeZEJvhFqkB3hBziB+oB8r?B1xB,v115@/gC8GeB8IeB8FeD8DeA8JeT/IvhF3hBGjBVsBUoBip?BRxB,v115@/gC8GeB8IeB8FeD8DeA8JeTDJvhFOpBxmB0kBFsBXt?BCsB,v115@/gC8GeB8IeB8FeD8DeA8JeT/IvhF1mBxiB3nBctBip?BWxB,v115@/gC8GeB8IeB8FeD8DeA8Je3BJvhFCjB0kBVsBToBOp?BRxB,v115@/gC8GeB8IeB8FeD8DeA8Je3BJvhF0kBxnBOpBzrBFt?BCtB,v115@/gC8GeB8IeB8FeD8DeA8JeT/IvhF1mB8nB+oBXnBip?BRxB,v115@/gC8GeB8IeB8FeD8DeA8JeT/IvhFFiB0mBGoBXoBip?BRxB,v115@/gC8GeB8IeB8FeD8DeA8JeT/IvhFxiBlmB3nBctBip?BWxB,v115@/gC8GeB8IeB8FeD8DeA8JeZEJvhFqkBGjB0mBlnBXt?BzrB,v115@/gC8GeB8IeB8FeD8DeA8Je1GJvhFxiBOpBCoB0kBzr?BXtB
TIJZLOS,O,X,O,O,X,O,X,X,O,O,X,X,X
TIJZSLO,O,X,O,O,X,O,X,X,O,O,X,X,X
TIJZSOL,O,X,O,O,O,O,O,X,X,X,X,X,X
TIJZOLS,O,X,O,O,X,O,O,X,O,O,X,X,X
TIJZOSL,O,X,O,O,X,X,O,X,X,X,X,X,X
TIJOLSZ,O,X,O,X,X,O,O,X,O,X,X,X,X
TIJOLZS,O,X,O,X,X,O,O,X,O,X,X,X,X
TIJOSLZ,X,X,X,X,O,X,O,X,X,X,X,X,O
TIJOSZL,X,X,X,X,O,X,O,X,X,X,X,X,X
TIJOZLS,O,X,O,X,X,X,O,X,O,X,X,X,X
TIJOZSL,O,X,O,X,X,X,O,X,X,X,X,X,X
TISLJZO,X,X,X,O,X,X,X,X,O,X,X,X,O
TISLJOZ,X,X,X,O,O,X,X,X,O,X,X,X,O
TISLZJO,X,X,X,O,X,X,X,X,X,X,X,X,O
TISLZOJ,X,X,X,O,X,X,O,X,X,X,X,X,X
TISLOJZ,X,X,X,O,O,O,O,X,O,X,X,X,O
TISLOZJ,X,X,X,O,X,O,O,X,X,X,X,X,X
TISJLZO,X,X,X,O,X,X,X,X,O,X,X,X,O
TISJLOZ,X,X,X,O,O,X,X,X,O,X,X,X,O
TISJZLO,X,X,X,O,X,X,X,X,O,X,X,X,X
TISJZOL,X,X,X,O,O,X,O,X,X,X,X,X,X
TISJOLZ,X,X,X,X,O,X,O,X,X,X,X,X,X
TISJOZL,X,X,X,X,O,X,O,X,X,X,X,X,X
TISZLJO,X,X,X,O,X,X,X,X,X,X,X,X,X
TISZLOJ,X,X,X,O,X,X,O,X,X,X,X,X,X
TISZJLO,X,X,X,O,X,X,X,X,X,X,X,X,X
TISZJOL,X,X,X,O,O,X,O,X,X,X,X,X,X
TISZOLJ,X,X,X,O,X,X,O,X,X,X,X,X,X
TISZOJL,X,X,X,O,O,X,O,X,X,X,X,X,X
TISOLJZ,X,X,X,O,O,X,O,X,X,X,X,X,X
TISOLZJ,X,X,X,O,X,X,O,X,X,X,X,X,X
TISOJLZ,X,X,X,X,O,X,O,X,X,X,X,X,X
TISOJZL,X,X,X,X,O,X,O,X,X,X,X,X,X
TISOZLJ,X,X,X,O,X,X,O,X,X,X,X,X,X
TISOZJL,X,X,X,O,O,X,O,X,X,X,X,X,X
TIZLJSO,O,X,O,O,X,O,X,X,O,O,X,X,X
TIZLJOS,O,X,O,O,X,O,X,X,O,O,X,X,X
TIZLSJO,O,X,O,O,X,O,X,X,X,O,O,X,X
TIZLSOJ,O,X,O,O,X,O,O,X,X,O,O,X,X
TIZLOJS,O,X,O,O,X,O,O,X,O,O,X,X,X
TIZLOSJ,O,X,O,O,X,O,O,X,X,O,O,X,X
TIZJLSO,X,X,O,O,X,O,X,X,O,O,X,X,X
TIZJLOS,X,X,O,O,X,O,X,X,O,O,X,X,X
TIZJSLO,X,X,O,O,X,O,X,X,O,O,X,X,X
TIZJSOL,X,X,O,O,O,O,O,X,X,X,X,X,X
TIZJOLS,X,X,O,O,X,O,O,X,O,O,X,X,X
TIZJOSL,X,X,O,O,X,X,O,X,X,X,X,X,X
TIZSLJO,O,X,O,O,X,O,X,X,X,O,O,X,X
TIZSLOJ,O,X,O,O,X,O,O,X,X,O,O,X,X
TIZSJLO,X,X,O,O,X,O,X,X,X,O,O,X,X
TIZSJOL,X,X,O,O,O,X,O,X,X,X,X,X,X
TIZSOLJ,O,X,X,O,X,O,O,X,X,X,O,X,X
TIZSOJL,X,X,X,O,O,X,O,X,X,X,X,X,X
TIZOLJS,O,X,X,O,X,O,O,X,X,O,X,X,X
TIZOLSJ,O,X,X,O,X,O,O,O,X,O,X,X,X
TIZOJLS,X,X,X,O,X,X,O,X,X,O,X,X,X
TIZOJSL,X,X,X,O,X,X,O,O,X,X,X,X,X
TIZOSLJ,O,X,X,O,X,X,O,O,X,X,X,X,X
TIZOSJL,X,X,X,O,X,X,O,O,X,X,X,X,X
TIOLJSZ,O,X,X,O,X,O,O,X,O,X,X,X,X
TIOLJZS,O,X,X,O,X,O,O,X,O,X,X,X,X
TIOLSJZ,O,X,X,O,X,O,O,X,O,X,X,X,X
TIOLSZJ,O,X,X,O,X,O,O,O,X,X,X,X,X
TIOLZJS,O,X,X,O,X,O,O,X,O,X,X,X,X
TIOLZSJ,O,X,X,O,X,O,O,O,X,X,X,X,X
TIOJLSZ,O,X,X,X,X,X,O,X,O,X,X,X,X
TIOJLZS,O,X,X,X,X,X,O,X,O,X,X,X,X
TIOJSLZ,X,X,X,X,O,X,O,X,X,X,X,X,O
TIOJSZL,X,X,X,X,O,X,O,O,X,X,X,X,X
TIOJZLS,O,X,X,X,X,X,O,X,O,X,X,X,X
TIOJZSL,O,X,X,X,X,X,O,O,X,X,X,X,X
TIOSLJZ,X,X,X,O,O,X,O,X,X,X,X,X,O
TIOSLZJ,X,X,X,O,X,X,O,O,X,X,X,X,O
TIOSJLZ,X,X,X,X,O,X,O,X,X,X,X,X,O
TIOSJZL,X,X,X,X,O,X,O,O,X,X,X,X,X
TIOSZLJ,X,X,X,O,X,X,O,O,X,X,X,X,X
TIOSZJL,X,X,X,O,O,X,O,O,X,X,X,X,X
TIOZLJS,O,X,X,O,X,X,O,X,X,X,X,X,X
TIOZLSJ,O,X,X,O,X,X,O,O,X,X,X,X,X
TIOZJLS,X,X,X,O,X,X,O,X,X,X,X,X,X
TIOZJSL,X,X,X,O,X,X,O,O,X,X,X,X,X
TIOZSLJ,O,X,X,O,X,X,O,O,X,X,X,X,X
TIOZSJL,X,X,X,O,X,X,O,O,X,X,X,X,X
TLIJSZO,O,O,O,O,X,X,X,X,O,X,X,X,X
TLIJSOZ,O,O,O,O,O,O,X,X,O,X,X,X,X
TLIJZSO,O,O,O,O,X,O,X,X,O,O,X,X,X
TLIJZOS,O,O,O,O,X,O,X,X,O,O,X,X,X
TLIJOSZ,O,O,O,O,X,O,X,X,O,X,X,X,X
TLIJOZS,O,O,O,O,X,O,X,X,O,O,X,X,X
TLISJZO,O,O,O,O,X,X,X,X,O,X,X,O,X
TLISJOZ,O,O,O,O,O,X,X,X,O,X,X,O,X
TLISZJO,O,O,O,O,X,X,X,X,X,X,X,O,X
TLISZOJ,O,O,O,O,X,X,X,X,X,X,X,O,X
TLISOJZ,O,X,X,O,O,O,X,X,O,X,X,O,X
TLISOZJ,O,X,X,O,X,O,X,X,X,X,X,O,X
TLIZJSO,O,O,O,O,X,O,X,X,O,O,X,X,X
TLIZJOS,O,O,O,O,X,O,X,X,O,O,X,X,X
TLIZSJO,O,O,O,O,X,O,X,X,X,O,O,O,X
TLIZSOJ,O,O,O,O,X,O,X,X,X,O,O,O,X
TLIZOJS,O,O,O,O,X,O,X,X,O,O,X,X,X
TLIZOSJ,O,O,O,O,X,O,X,X,X,O,O,X,X
TLIOJSZ,O,X,O,O,X,O,X,X,O,X,X,X,X
TLIOJZS,O,X,O,O,X,O,X,X,O,O,X,X,X
TLIOSJZ,O,X,X,O,X,O,X,X,O,X,X,X,X
TLIOSZJ,O,X,X,O,X,O,X,X,X,X,X,X,X
TLIOZJS,O,X,O,O,X,O,X,X,O,O,X,X,X
TLIOZSJ,O,X,O,O,X,O,X,X,X,O,O,X,X
TLJISZO,O,O,O,X,X,X,X,X,O,X,X,X,X
TLJISOZ,O,O,O,X,O,O,X,X,O,X,X,X,X
TLJIZSO,O,O,O,X,X,O,X,X,O,O,X,X,X
TLJIZOS,O,O,O,X,X,O,X,X,O,O,X,X,X
TLJIOSZ,O,O,O,X,X,O,X,X,O,X,X,X,X
TLJIOZS,O,O,O,X,X,O,X,X,O,O,X,X,X
TLJSIZO,O,O,O,X,X,X,X,X,X,X,X,X,O
TLJSIOZ,O,O,O,X,O,O,X,X,X,X,X,X,O
TLJSZIO,O,O,O,X,X,O,X,X,X,X,X,X,O
TLJSZOI,O,O,O,X,X,O,X,X,O,X,X,X,O
TLJSOIZ,O,O,O,X,O,O,X,X,X,X,X,X,O
TLJSOZI,O,O,O,X,X,O,X,X,O,X,X,X,O
TLJZISO,O,O,O,X,X,O,X,X,O,X,X,X,X
TLJZIOS,O,O,O,X,X,O,X,X,O,O,X,X,X
TLJZSIO,O,O,O,X,X,O,X,X,X,X,O,X,X
TLJZSOI,O,O,O,X,X,O,X,X,O,O,O,X,X
TLJZOIS,O,O,O,X,X,O,X,X,O,O,X,X,X
TLJZOSI,O,O,O,X,X,O,X,X,O,O,O,X,X
TLJOISZ,O,O,O,X,X,O,X,X,O,X,X,X,X
TLJOIZS,O,O,O,X,X,O,X,X,O,O,X,X,X
TLJOSIZ,O,O,O,X,X,O,X,X,X,X,X,X,O
TLJOSZI,O,O,O,X,X,O,X,X,O,X,X,X,O
TLJOZIS,O,O,O,X,X,O,X,X,O,O,X,X,X
TLJOZSI,O,O,O,X,X,O,X,X,O,O,O,X,X
TLSIJZO,O,O,O,O,X,X,X,X,O,X,X,O,O
TLSIJOZ,O,O,O,O,O,X,X,X,O,X,X,O,O
TLSIZJO,O,O,O,O,X,X,X,X,X,X,X,O,O
TLSIZOJ,O,O,O,O,X,X,X,X,X,X,X,O,X
TLSIOJZ,O,X,X,O,O,O,X,X,O,X,X,O,O
TLSIOZJ,O,X,X,O,X,O,X,X,X,X,X,O,X
TLSJIZO,O,O,O,X,X,X,X,X,X,X,X,O,O
TLSJIOZ,O,O,O,X,O,O,X,X,X,X,X,O,O
TLSJZIO,O,O,O,X,X,O,X,X,X,X,X,O,O
TLSJZOI,O,O,O,X,X,O,X,X,O,X,X,O,O
TLSJOIZ,O,O,O,X,O,O,X,X,X,X,X,O,O
TLSJOZI,O,O,O,X,X,O,X,X,O,X,X,O,O
TLSZIJO,O,O,O,X,X,O,X,X,X,X,O,O,O
TLSZIOJ,O,O,O,X,X,O,X,X,X,X,O,O,X
TLSZJIO,O,O,O,X,X,O,X,X,X,X,O,O,O
TLSZJOI,O,O,O,X,X,O,X,X,X,X,O,O,O
TLSZOIJ,O,O,O,X,X,O,X,X,X,X,O,O,X
TLSZOJI,O,X,O,X,X,O,X,X,X,X,O,O,X
TLSOIJZ,O,X,X,O,O,O,X,X,O,X,X,O,O
TLSOIZJ,O,X,X,O,X,O,X,X,X,X,X,O,X
TLSOJIZ,O,X,X,X,O,O,X,X,X,X,X,O,O
TLSOJZI,O,X,X,X,X,O,X,X,O,X,X,O,O
TLSOZIJ,O,X,X,X,X,O,X,X,X,X,O,O,X
TLSOZJI,O,X,X,X,X,O,X,X,X,X,O,O,X
TLZIJSO,O,O,O,X,X,O,X,X,O,O,X,X,X
TLZIJOS,O,O,O,X,X,O,X,X,O,O,X,X,X
TLZISJO,O,O,O,X,X,O,X,X,X,O,O,O,X
TLZISOJ,O,O,O,X,X,O,X,X,X,O,O,O,X
TLZIOJS,O,O,O,X,X,O,X,X,O,O,X,X,X
TLZIOSJ,O,O,O,X,X,O,X,X,X,O,O,X,X
TLZJISO,O,O,O,X,X,O,X,X,X,O,X,X,X
TLZJIOS,O,O,O,X,X,O,X,X,O,O,X,X,X
TLZJSIO,O,O,O,X,X,O,X,X,X,X,O,X,X
TLZJSOI,O,O,O,X,X,O,X,X,O,O,O,X,X
TLZJOIS,O,O,O,X,X,O,X,X,O,O,X,X,X
TLZJOSI,O,O,O,X,X,O,X,X,O,O,O,X,X
TLZSIJO,O,O,O,X,X,O,X,X,X,O,O,O,X
TLZSIOJ,O,O,O,X,X,O,X,X,X,O,O,O,X
TLZSJIO,O,O,O,X,X,O,X,X,X,X,O,O,X
TLZSJOI,O,O,O,X,X,O,X,X,X,O,O,O,X
TLZSOIJ,O,O,O,X,X,O,X,X,X,O,O,O,X
TLZSOJI,O,X,O,X,X,O,X,X,X,O,O,O,X
TLZOIJS,O,O,O,X,X,O,X,X,O,O,X,X,X
TLZOISJ,O,O,O,X,X,O,X,O,X,O,O,X,X
TLZOJIS,O,O,O,X,X,O,X,X,O,O,X,X,X
TLZOJSI,O,O,O,X,X,O,X,X,O,O,O,X,X
TLZOSIJ,O,O,O,X,X,O,X,O,X,O,O,X,X
TLZOSJI,O,X,O,X,X,O,X,X,X,O,O,X,X
TLOIJSZ,O,X,O,O,X,O,X,X,O,X,X,X,X
TLOIJZS,O,X,O,O,X,O,X,X,O,O,X,X,X
TLOISJZ,O,X,X,O,X,O,X,X,O,X,X,X,X
TLOISZJ,O,X,X,O,X,O,X,O,X,X,X,X,X
TLOIZJS,O,X,O,O,X,O,X,X,O,O,X,X,X
TLOIZSJ,O,X,O,O,X,O,X,O,X,O,O,X,X
TLOJISZ,O,X,O,X,X,O,X,X,O,X,X,X,X
TLOJIZS,O,X,O,X,X,O,X,X,O,O,X,X,X
TLOJSIZ,O,X,O,X,X,O,X,X,X,X,X,X,O
TLOJSZI,O,X,O,X,X,O,X,X,O,X,X,X,O
TLOJZIS,O,X,O,X,X,O,X,X,O,O,X,X,X
TLOJZSI,O,X,O,X,X,O,X,X,O,O,O,X,X
TLOSIJZ,O,X,X,O,X,O,X,X,O,X,X,X,O
TLOSIZJ,O,X,X,O,X,O,X,O,X,X,X,X,O
TLOSJIZ,O,X,X,X,X,O,X,X,X,X,X,X,O
TLOSJZI,O,X,X,X,X,O,X,X,O,X,X,X,O
TLOSZIJ,O,X,X,X,X,O,X,O,X,X,O,X,O
TLOSZJI,O,X,X,X,X,O,X,X,X,X,O,X,O
TLOZIJS,O,X,O,X,X,O,X,X,O,O,X,X,X
TLOZISJ,O,X,O,X,X,O,X,O,X,O,O,X,X
TLOZJIS,O,X,O,X,X,O,X,X,O,O,X,X,X
TLOZJSI,O,X,O,X,X,O,X,X,O,O,O,X,X
TLOZSIJ,O,X,O,X,X,O,X,O,X,O,O,X,X
TLOZSJI,O,X,O,X,X,O,X,X,X,O,O,X,X
TJILSZO,O,X,O,X,X,X,X,X,O,X,X,X,X
TJILSOZ,O,X,O,X,O,O,X,X,O,X,X,X,X
TJILZSO,O,X,O,X,X,O,X,X,O,O,X,X,X
TJILZOS,O,X,O,X,X,O,X,X,O,O,X,X,X
TJILOSZ,O,X,O,X,X,O,X,X,O,X,X,X,X
TJILOZS,O,X,O,X,X,O,X,X,O,O,X,X,X
TJISLZO,X,X,X,X,X,X,X,X,O,X,X,X,O
TJISLOZ,X,X,X,X,O,O,X,X,O,X,X,X,O
TJISZLO,X,X,X,X,X,X,X,X,O,X,X,X,X
TJISZOL,X,X,X,X,O,X,X,X,X,X,X,X,X
TJISOLZ,X,X,X,X,O,X,X,X,X,X,X,X,X
TJISOZL,X,X,X,X,O,X,X,X,X,X,X,X,X
TJIZLSO,O,X,O,X,X,O,X,X,O,O,X,X,X
TJIZLOS,O,X,O,X,X,O,X,X,O,O,X,X,X
TJIZSLO,O,X,O,X,X,O,X,X,O,O,X,X,X
TJIZSOL,O,X,O,X,O,O,X,X,X,X,X,X,X
TJIZOLS,O,X,O,X,X,O,X,X,O,O,X,X,X
TJIZOSL,O,X,O,X,X,X,X,X,X,X,X,X,X
TJIOLSZ,O,X,O,X,X,O,X,X,O,X,X,X,X
TJIOLZS,O,X,O,X,X,O,X,X,O,X,X,X,X
TJIOSLZ,X,X,X,X,O,X,X,X,X,X,X,X,O
TJIOSZL,X,X,X,X,O,X,X,X,X,X,X,X,X
TJIOZLS,O,X,O,X,X,X,X,X,O,X,X,X,X
TJIOZSL,O,X,O,X,X,X,X,X,X,X,X,X,X
TJLISZO,O,O,O,X,X,X,X,X,O,X,X,X,X
TJLISOZ,O,O,O,X,O,O,X,X,O,X,X,X,X
TJLIZSO,O,O,O,X,X,O,X,X,O,O,X,X,X
TJLIZOS,O,O,O,X,X,O,X,X,O,O,X,X,X
TJLIOSZ,O,O,O,X,X,O,X,X,O,X,X,X,X
TJLIOZS,O,O,O,X,X,O,X,X,O,O,X,X,X
TJLSIZO,O,O,O,X,X,X,X,X,X,X,X,X,O
TJLSIOZ,O,O,O,X,O,O,X,X,X,X,X,X,O
TJLSZIO,O,O,O,X,X,O,X,X,X,X,X,X,O
TJLSZOI,O,O,O,X,X,O,X,X,O,X,X,X,O
TJLSOIZ,O,O,O,X,O,O,X,X,X,X,X,X,O
TJLSOZI,O,O,O,X,X,O,X,X,O,X,X,X,O
TJLZISO,O,O,O,X,X,O,X,X,O,X,X,X,X
TJLZIOS,O,O,O,X,X,O,X,X,O,O,X,X,X
TJLZSIO,O,O,O,X,X,O,X,X,X,X,O,X,X
TJLZSOI,O,O,O,X,X,O,X,X,O,O,O,X,X
TJLZOIS,O,O,O,X,X,O,X,X,O,O,X,X,X
TJLZOSI,O,O,O,X,X,O,X,X,O,O,O,X,X
TJLOISZ,O,O,O,X,X,O,X,X,O,X,X,X,X
TJLOIZS,O,O,O,X,X,O,X,X,O,O,X,X,X
TJLOSIZ,O,O,O,X,X,O,X,X,X,X,X,X,O
TJLOSZI,O,O,O,X,X,O,X,X,O,X,X,X,O
TJLOZIS,O,O,O,X,X,O,X,X,O,O,X,X,X
TJLOZSI,O,O,O,X,X,O,X,X,O,O,O,X,X
TJSILZO,X,X,X,X,X,X,X,X,X,X,X,X,O
TJSILOZ,X,X,X,X,O,O,X,X,X,X,X,X,O
TJSIZLO,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSIZOL,X,X,X,X,O,X,X,X,X,X,X,X,X
TJSIOLZ,X,X,X,X,O,X,X,X,X,X,X,X,X
TJSIOZL,X,X,X,X,O,X,X,X,X,X,X,X,X
TJSLIZO,O,O,O,X,X,X,X,X,X,X,X,X,O
TJSLIOZ,O,O,O,X,O,O,X,X,X,X,X,X,O
TJSLZIO,O,O,O,X,X,O,X,X,X,X,X,X,O
TJSLZOI,O,O,O,X,X,O,X,X,O,X,X,X,O
TJSLOIZ,O,O,O,X,O,O,X,X,X,X,X,X,O
TJSLOZI,O,O,O,X,X,O,X,X,O,X,X,X,O
TJSZILO,O,O,O,X,X,O,X,X,X,X,X,X,X
TJSZIOL,O,X,O,X,O,O,X,X,X,X,X,X,X
TJSZLIO,O,O,O,X,X,O,X,X,X,X,X,X,O
TJSZLOI,O,O,O,X,X,O,X,X,O,X,X,X,O
TJSZOIL,O,X,O,X,O,O,X,X,X,X,X,X,X
TJSZOLI,O,O,O,X,X,O,X,X,X,X,X,X,X
TJSOILZ,X,X,X,X,O,X,X,X,X,X,X,X,O
TJSOIZL,X,X,X,X,O,X,X,X,X,X,X,X,X
TJSOLIZ,O,O,O,X,O,X,X,X,X,X,X,X,O
TJSOLZI,O,O,O,X,X,X,X,X,X,X,X,X,O
TJSOZIL,O,O,O,X,O,X,X,X,X,X,X,X,X
TJSOZLI,O,O,O,X,X,X,X,X,X,X,X,X,O
TJZILSO,O,O,O,X,X,O,X,X,O,X,X,X,X
TJZILOS,O,O,O,X,X,O,X,X,O,O,X,X,X
TJZISLO,O,O,O,X,X,O,X,X,O,X,X,X,X
TJZISOL,O,X,O,X,O,O,X,X,X,X,X,X,X
TJZIOLS,O,X,O,X,X,O,X,X,O,X,X,X,X
TJZIOSL,O,X,O,X,X,X,X,X,X,X,X,X,X
TJZLISO,O,O,O,X,X,O,X,X,O,X,X,X,X
TJZLIOS,O,O,O,X,X,O,X,X,O,O,X,X,X
TJZLSIO,O,O,O,X,X,O,X,X,X,X,O,X,X
TJZLSOI,O,O,O,X,X,O,X,X,O,O,O,X,X
TJZLOIS,O,O,O,X,X,O,X,X,O,O,X,X,X
TJZLOSI,O,O,O,X,X,O,X,X,O,O,O,X,X
TJZSILO,O,O,O,X,X,O,X,X,X,X,O,X,X
TJZSIOL,O,X,O,X,O,O,X,X,X,X,X,X,X
TJZSLIO,O,O,O,X,X,O,X,X,X,X,O,X,O
TJZSLOI,O,O,O,X,X,O,X,X,O,O,O,X,O
TJZSOIL,O,X,O,X,O,O,X,X,X,X,X,X,X
TJZSOLI,O,O,O,X,X,O,X,X,X,X,X,X,X
TJZOILS,O,O,O,X,X,O,X,X,X,X,X,X,X
TJZOISL,O,O,O,X,X,X,X,O,X,X,X,X,X
TJZOLIS,O,O,O,X,X,O,X,X,O,O,X,X,X
TJZOLSI,O,O,O,X,X,O,X,X,O,O,X,X,X
TJZOSIL,O,O,O,X,X,O,X,O,X,X,X,X,X
TJZOSLI,O,O,O,X,X,O,X,X,X,X,X,X,O
TJOILSZ,O,X,O,X,X,O,X,X,X,X,X,X,X
TJOILZS,O,X,O,X,X,O,X,X,X,X,X,X,X
TJOISLZ,X,X,X,X,O,X,X,X,X,X,X,X,O
TJOISZL,X,X,X,X,O,X,X,O,X,X,X,X,X
TJOIZLS,O,X,O,X,X,X,X,X,X,X,X,X,X
TJOIZSL,O,X,O,X,X,X,X,O,X,X,X,X,X
TJOLISZ,O,O,O,X,X,O,X,X,X,X,X,X,X
TJOLIZS,O,O,O,X,X,O,X,X,O,X,X,X,X
TJOLSIZ,O,O,O,X,X,O,X,X,X,X,X,X,O
TJOLSZI,O,O,O,X,X,O,X,X,O,X,X,X,O
TJOLZIS,O,O,O,X,X,O,X,X,O,X,X,X,X
TJOLZSI,O,O,O,X,X,O,X,X,O,X,X,X,X
TJOSILZ,X,X,X,X,O,X,X,X,X,X,X,X,O
TJOSIZL,X,X,X,X,O,X,X,O,X,X,X,X,X
TJOSLIZ,O,O,O,X,O,X,X,X,X,X,X,X,O
TJOSLZI,O,O,O,X,X,X,X,X,X,X,X,X,O
TJOSZIL,O,O,O,X,O,X,X,O,X,X,X,X,X
TJOSZLI,O,O,O,X,X,X,X,X,X,X,X,X,O
TJOZILS,O,O,O,X,X,O,X,X,X,X,X,X,X
TJOZISL,O,O,O,X,X,X,X,O,X,X,X,X,X
TJOZLIS,O,O,O,X,X,O,X,X,O,X,X,X,X
TJOZLSI,O,O,O,X,X,O,X,X,O,X,X,X,X
TJOZSIL,O,O,O,X,X,O,X,O,X,X,X,X,X
TJOZSLI,O,O,O,X,X,O,X,X,X,X,X,X,O
TSILJZO,X,X,X,O,X,X,X,X,O,X,X,O,O
TSILJOZ,X,X,X,O,O,X,X,X,O,X,X,O,O
TSILZJO,X,X,X,O,X,X,X,X,X,X,X,O,O
TSILZOJ,X,X,X,O,X,X,O,X,X,X,X,O,X
TSILOJZ,X,X,X,O,O,O,O,X,O,X,X,O,O
TSILOZJ,X,X,X,O,X,O,O,X,X,X,X,O,X
TSIJLZO,X,X,X,O,X,X,X,X,O,X,X,O,O
TSIJLOZ,X,X,X,O,O,X,X,X,O,X,X,O,O
TSIJZLO,X,X,X,O,X,X,X,X,O,X,X,O,X
TSIJZOL,X,X,X,O,O,X,O,X,X,X,X,X,X
TSIJOLZ,X,X,X,X,O,X,O,X,X,X,X,X,X
TSIJOZL,X,X,X,X,O,X,O,X,X,X,X,X,X
