sequence,v115@HhB8GeC8FeE8EeB8Jem/IvhFzgBXjBUnBCnBlqBxwB,v115@HhB8GeC8FeE8EeB8Jem/IvhFChBxiBTmB0qBXsBlsB,v115@HhB8GeC8FeE8EeB8Jem/IvhFFiBXjBxqBTsBCrBUrB,v115@HhB8GeC8FeE8EeB8Jex/IvhFFjB2qBCnBTsB8qB3rB,v115@HhB8GeC8FeE8EeB8Jex/IvhF2nB/qBFmBCoBUsBTrB,v115@HhB8GeC8FeE8EeB8Jex/IvhFymBXjBTlB0mB+sBVwB,v115@HhB8GeC8FeE8EeB8Jem/IvhFXjBRmBFmB0qBCsBTsB,v115@HhB8GeC8FeE8EeB8Jem/IvhFzgBRnBCoBlqB3rBUsB,v115@HhB8GeC8FeE8EeB8Jex/IvhFFiBXjBilB+rB8qBTsB,v115@HhB8GeC8FeE8EeB8Jex/IvhF0hBXjBlqBCsBmqBTsB,v115@HhB8GeC8FeE8EeB8Jex/IvhF0hBXjBmqBCsBlqBTsB,v115@HhB8GeC8FeE8EeB8Je3AJvhFFjBxmBmkBzqBCsBUsB,v115@HhB8GeC8FeE8EeB8Je1FJvhF0hBXjBmkBTnBCrBxwB,v115@HhB8GeC8FeE8EeB8Jem/IvhFzgBRnB3mBCoB0qBVxB,v115@HhB8GeC8FeE8EeB8Jex/IvhFzhBFjBilB+sB8qB3rB,v115@HhB8GeC8FeE8EeB8Jem/IvhFChBXjB0qBxrBlrBTsB
TIJLSOZ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
TIJLZSO,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIJLZOS,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
TIJLOSZ,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TIJLOZS,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TIJSLZO,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIJSLOZ,O,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X
TIJSZLO,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJSZOL,O,O,X,X,O,X,X,O,X,X,X,X,X,O,X,X
TIJSOLZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
TIJSOZL,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIJZLSO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJZLOS,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TIJZSLO,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJZSOL,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X
TIJZOLS,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X
TIJZOSL,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
TIJOLSZ,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TIJOLZS,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TIJOSLZ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TIJOSZL,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TIJOZLS,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
TIJOZSL,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
TISLJZO,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TISLJOZ,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TISLZJO,O,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X
TISLZOJ,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TISLOJZ,O,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X
TISLOZJ,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
TISJLZO,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TISJLOZ,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TISJZLO,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TISJZOL,O,O,X,X,O,X,X,O,X,X,X,X,X,O,X,X
TISJOLZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TISJOZL,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TISZLJO,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TISZLOJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISZJLO,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TISZJOL,O,O,X,X,O,X,X,O,X,X,X,X,X,O,X,X
TISZOLJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISZOJL,O,O,X,X,O,X,X,O,X,X,X,X,X,O,X,X
TISOLJZ,O,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X
TISOLZJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TISOJLZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TISOJZL,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TISOZLJ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TISOZJL,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TIZLJSO,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIZLJOS,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X
TIZLSJO,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIZLSOJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZLOJS,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TIZLOSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZJLSO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZJLOS,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TIZJSLO,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIZJSOL,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X
TIZJOLS,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X
TIZJOSL,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
TIZSLJO,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TIZSLOJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZSJLO,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIZSJOL,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X
TIZSOLJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZSOJL,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X
TIZOLJS,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X
TIZOLSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOJLS,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X
TIZOJSL,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
TIZOSLJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOSJL,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TIOLJSZ,O,X,O,O,X,O,X,O,X,O,X,O,X,X,X,X
TIOLJZS,O,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X
TIOLSJZ,O,X,O,O,X,O,X,X,X,O,X,O,X,X,X,X
TIOLSZJ,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
TIOLZJS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOLZSJ,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
TIOJLSZ,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TIOJLZS,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TIOJSLZ,O,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X
TIOJSZL,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
TIOJZLS,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
TIOJZSL,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
TIOSLJZ,O,X,O,O,X,O,X,O,X,O,X,O,X,X,X,X
TIOSLZJ,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
TIOSJLZ,O,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X
TIOSJZL,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
TIOSZLJ,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
TIOSZJL,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
TIOZLJS,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X
TIOZLSJ,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOZJLS,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
TIOZJSL,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
TIOZSLJ,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
TIOZSJL,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X
TLIJSZO,O,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X
TLIJSOZ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
TLIJZSO,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TLIJZOS,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
TLIJOSZ,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TLIJOZS,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TLISJZO,O,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X
TLISJOZ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLISZJO,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TLISZOJ,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TLISOJZ,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TLISOZJ,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
TLIZJSO,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TLIZJOS,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
TLIZSJO,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TLIZSOJ,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TLIZOJS,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TLIZOSJ,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TLIOJSZ,O,X,X,O,X,O,X,O,X,O,X,O,X,X,X,X
TLIOJZS,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X
TLIOSJZ,O,X,X,O,X,O,X,X,X,O,X,O,X,X,X,X
TLIOSZJ,O,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X
TLIOZJS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLIOZSJ,O,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X
TLJISZO,O,X,X,X,X,X,O,X,O,O,O,X,O,X,X,X
TLJISOZ,O,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X
TLJIZSO,O,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X
TLJIZOS,O,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X
TLJIOSZ,O,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X
TLJIOZS,O,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X
TLJSIZO,X,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X
TLJSIOZ,X,X,X,X,X,X,X,O,X,O,O,X,X,X,O,X
TLJSZIO,X,X,X,X,X,X,O,X,O,O,O,X,O,X,X,X
TLJSZOI,X,X,X,X,X,X,X,X,O,O,O,X,O,X,O,X
TLJSOIZ,X,X,X,X,X,O,X,O,X,O,O,X,X,X,O,X
TLJSOZI,X,X,X,X,X,O,X,X,O,O,O,X,X,X,O,X
TLJZISO,X,X,X,X,X,X,O,X,X,O,O,X,O,X,X,X
TLJZIOS,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X
TLJZSIO,X,X,X,X,X,X,O,X,O,O,O,X,O,X,X,X
TLJZSOI,X,X,X,X,X,X,X,X,O,O,O,X,O,X,O,X
TLJZOIS,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X
TLJZOSI,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TLJOISZ,O,X,X,X,X,O,X,O,O,O,O,O,X,X,X,X
TLJOIZS,O,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X
TLJOSIZ,X,X,X,X,X,O,X,O,O,O,O,X,X,X,O,X
TLJOSZI,X,X,X,X,X,O,X,X,O,O,O,X,X,X,O,X
TLJOZIS,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TLJOZSI,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
TLSIJZO,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X
TLSIJOZ,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TLSIZJO,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TLSIZOJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TLSIOJZ,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X
TLSIOZJ,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
TLSJIZO,X,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X
TLSJIOZ,X,X,X,X,X,X,X,O,X,O,O,X,X,X,O,X
TLSJZIO,X,X,X,X,X,X,O,X,O,O,O,X,O,X,X,X
TLSJZOI,X,X,X,X,X,X,X,X,O,O,O,X,O,X,O,X
TLSJOIZ,X,X,X,X,X,O,X,O,X,O,O,X,X,X,O,X
TLSJOZI,X,X,X,X,X,O,X,X,O,O,O,X,X,X,O,X
TLSZIJO,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X
TLSZIOJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TLSZJIO,X,X,X,X,X,X,O,X,X,O,O,X,O,X,X,X
TLSZJOI,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X
TLSZOIJ,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
TLSZOJI,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
TLSOIJZ,X,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X
TLSOIZJ,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TLSOJIZ,X,X,X,X,X,O,X,O,O,O,X,X,X,X,O,X
TLSOJZI,X,X,X,X,X,O,X,X,O,O,X,X,X,X,O,X
TLSOZIJ,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
TLSOZJI,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
TLZIJSO,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X
TLZIJOS,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
TLZISJO,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X
TLZISOJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TLZIOJS,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TLZIOSJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TLZJISO,X,X,X,X,X,X,O,X,X,O,O,X,O,X,X,X
TLZJIOS,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X
TLZJSIO,X,X,X,X,X,X,O,X,X,O,O,X,O,X,X,X
TLZJSOI,X,X,X,X,X,X,X,X,X,O,O,X,O,X,O,X
TLZJOIS,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X
TLZJOSI,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TLZSIJO,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X
TLZSIOJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TLZSJIO,X,X,X,X,X,X,O,X,X,O,O,X,O,X,X,X
TLZSJOI,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X
TLZSOIJ,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
TLZSOJI,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
TLZOIJS,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TLZOISJ,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X
TLZOJIS,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TLZOJSI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZOSIJ,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
TLZOSJI,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
TLOIJSZ,O,X,X,O,X,O,X,O,X,O,X,O,X,X,X,X
TLOIJZS,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X
TLOISJZ,O,X,X,O,X,O,X,X,X,O,X,O,X,X,X,X
TLOISZJ,O,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X
TLOIZJS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLOIZSJ,O,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X
TLOJISZ,O,X,X,O,X,O,X,O,O,O,X,O,X,X,X,X
TLOJIZS,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X
TLOJSIZ,X,X,X,O,X,O,X,O,O,O,X,X,X,X,O,X
TLOJSZI,X,X,X,O,X,O,X,X,O,O,X,X,X,X,O,X
TLOJZIS,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TLOJZSI,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X
TLOSIJZ,X,X,X,O,X,O,X,O,X,O,X,O,X,X,X,X
TLOSIZJ,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TLOSJIZ,X,X,X,O,X,O,X,O,O,O,X,X,X,X,X,X
TLOSJZI,X,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X
TLOSZIJ,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
TLOSZJI,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
TLOZIJS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLOZISJ,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X
TLOZJIS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLOZJSI,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLOZSIJ,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
TLOZSJI,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
TJILSZO,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
TJILSOZ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
TJILZSO,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJILZOS,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
TJILOSZ,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TJILOZS,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TJISLZO,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
TJISLOZ,O,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X
TJISZLO,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJISZOL,O,O,X,X,O,X,X,O,X,X,X,X,X,O,X,X
TJISOLZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
TJISOZL,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TJIZLSO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJIZLOS,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TJIZSLO,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJIZSOL,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X
TJIZOLS,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X
TJIZOSL,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
TJIOLSZ,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TJIOLZS,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TJIOSLZ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TJIOSZL,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TJIOZLS,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
TJIOZSL,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
TJLISZO,O,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X
TJLISOZ,O,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X
TJLIZSO,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TJLIZOS,O,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X
TJLIOSZ,O,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X
TJLIOZS,O,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X
TJLSIZO,X,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X
TJLSIOZ,X,X,X,X,X,X,X,O,X,O,O,X,X,X,O,X
TJLSZIO,X,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X
TJLSZOI,X,X,X,X,X,X,X,X,O,O,O,X,X,X,O,X
TJLSOIZ,X,X,X,X,X,O,X,O,X,O,O,X,X,X,O,X
TJLSOZI,X,X,X,X,X,O,X,X,O,O,O,X,X,X,O,X
TJLZISO,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
TJLZIOS,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X
TJLZSIO,X,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X
TJLZSOI,X,X,X,X,X,X,X,X,O,O,O,X,X,X,O,X
TJLZOIS,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X
TJLZOSI,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TJLOISZ,O,X,X,X,X,O,X,O,O,O,O,O,X,X,X,X
TJLOIZS,O,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X
TJLOSIZ,X,X,X,X,X,O,X,O,O,O,O,X,X,X,O,X
TJLOSZI,X,X,X,X,X,O,X,X,O,O,O,X,X,X,O,X
TJLOZIS,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TJLOZSI,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
TJSILZO,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
TJSILOZ,O,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X
TJSIZLO,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJSIZOL,O,O,X,X,O,X,X,O,X,X,X,X,X,O,X,X
TJSIOLZ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X
TJSIOZL,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TJSLIZO,X,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X
TJSLIOZ,X,X,X,X,X,X,X,O,X,O,O,X,X,X,O,X
TJSLZIO,X,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X
TJSLZOI,X,X,X,X,X,X,X,X,O,O,O,X,X,X,O,X
TJSLOIZ,X,X,O,X,X,O,X,O,X,O,O,X,X,X,O,X
TJSLOZI,X,X,X,X,X,O,X,X,O,O,O,X,X,X,O,X
TJSZILO,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O
TJSZIOL,X,O,X,X,O,X,O,O,X,X,X,X,X,O,X,O
TJSZLIO,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X
TJSZLOI,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X
TJSZOIL,X,O,O,X,O,X,X,O,X,X,X,X,X,O,X,X
TJSZOLI,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X
TJSOILZ,O,X,O,X,X,O,X,O,X,X,X,X,X,X,O,X
TJSOIZL,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TJSOLIZ,X,X,O,X,X,O,X,O,X,X,X,X,X,X,O,X
TJSOLZI,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X
TJSOZIL,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TJSOZLI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
