sequence,v115@RhA8AeC8EeG8AeA8Ke2EJvhFXhB8mBziB5oBClBlsB,v115@RhA8AeC8EeG8AeA8Ke/EJvhFUgBymBziB5oBGmBlsB,v115@RhA8AeC8EeG8AeA8Ke/EJvhFUgBFhBeoB5oBzmB6sB,v115@RhA8AeC8EeG8AeA8Ke2EJvhFXhBliB5oBzmB8sBCqB,v115@RhA8AeC8EeG8AeA8Ke/EJvhFUgBFhBxiBzmBCtBGtB,v115@RhA8AeC8EeG8AeA8KeUBJvhFGjBxkB6sB/tBlpBzrB
IZOSLTJ,X,X,O,O,X,X
IZOSLJT,X,X,O,O,X,O
IZOSJTL,O,X,O,O,X,X
IZOSJLT,X,X,O,O,X,X
IOTLJSZ,X,O,O,X,O,X
IOTLJZS,O,X,X,X,X,X
IOTLSJZ,X,O,O,X,O,X
IOTLSZJ,X,O,O,X,O,X
IOTLZJS,O,X,X,X,X,X
IOTLZSJ,O,O,X,X,O,X
IOTJLSZ,X,O,O,X,X,X
IOTJLZS,O,X,X,X,X,X
IOTJSLZ,X,O,O,X,X,X
IOTJSZL,O,O,O,O,O,X
IOTJZLS,O,X,X,O,X,X
IOTJZSL,O,X,O,O,X,X
IOTSLJZ,X,O,O,X,O,X
IOTSLZJ,X,O,O,X,O,X
IOTSJLZ,X,O,O,X,X,X
IOTSJZL,O,O,O,O,O,X
IOTSZLJ,O,O,O,O,O,X
IOTSZJL,O,O,O,O,O,X
IOTZLJS,O,X,X,O,X,X
IOTZLSJ,O,O,X,O,X,X
IOTZJLS,O,X,X,O,X,X
IOTZJSL,O,X,O,O,X,X
IOTZSLJ,O,O,O,O,O,X
IOTZSJL,O,O,O,O,O,X
IOLTJSZ,X,O,O,X,O,X
IOLTJZS,X,X,X,X,X,X
IOLTSJZ,X,O,O,X,O,X
IOLTSZJ,X,O,O,X,O,X
IOLTZJS,X,X,X,X,X,X
IOLTZSJ,X,O,X,X,O,X
IOLJTSZ,X,X,O,X,O,X
IOLJTZS,X,X,X,X,X,X
IOLJSTZ,X,X,O,X,O,X
IOLJSZT,X,X,O,O,O,X
IOLJZTS,X,X,X,O,X,X
IOLJZST,X,X,X,O,X,X
IOLSTJZ,X,O,O,X,O,X
IOLSTZJ,X,O,O,X,O,X
IOLSJTZ,X,X,O,X,O,X
IOLSJZT,X,X,O,O,O,O
IOLSZTJ,X,O,O,O,O,X
IOLSZJT,X,X,O,O,O,O
IOLZTJS,X,X,X,O,X,X
IOLZTSJ,X,X,X,O,O,X
IOLZJTS,X,X,X,O,X,X
IOLZJST,X,X,X,O,X,X
IOLZSTJ,X,X,X,O,O,X
IOLZSJT,X,X,X,O,O,O
IOJTLSZ,X,X,O,X,X,X
IOJTLZS,O,X,X,X,X,X
IOJTSLZ,X,X,O,X,X,X
IOJTSZL,O,X,O,O,O,X
IOJTZLS,O,X,X,O,X,X
IOJTZSL,O,X,O,O,X,X
IOJLTSZ,X,X,O,X,X,X
IOJLTZS,X,X,X,X,X,X
IOJLSTZ,X,X,O,X,X,X
IOJLSZT,X,X,O,O,X,X
IOJLZTS,X,X,X,O,X,X
IOJLZST,X,X,X,O,X,X
IOJSTLZ,X,X,O,X,X,X
IOJSTZL,X,X,O,O,O,X
IOJSLTZ,X,X,O,X,X,X
IOJSLZT,X,X,O,O,X,X
IOJSZTL,O,X,O,O,O,X
IOJSZLT,X,X,O,O,X,X
IOJZTLS,O,X,X,O,X,X
IOJZTSL,O,X,O,O,X,X
IOJZLTS,X,X,X,O,X,X
IOJZLST,X,X,X,O,X,X
IOJZSTL,O,X,O,O,X,X
IOJZSLT,X,X,O,O,X,X
IOSTLJZ,X,O,O,X,O,X
IOSTLZJ,X,O,O,X,O,X
IOSTJLZ,X,O,O,X,X,X
IOSTJZL,X,O,O,O,O,X
IOSTZLJ,X,O,O,O,O,X
IOSTZJL,X,O,O,O,O,X
IOSLTJZ,X,O,O,X,O,X
IOSLTZJ,X,O,O,X,O,X
IOSLJTZ,X,X,O,X,O,X
IOSLJZT,X,X,O,O,O,O
IOSLZTJ,X,O,O,O,O,X
IOSLZJT,X,X,O,O,O,O
IOSJTLZ,X,X,O,X,X,X
IOSJTZL,X,X,O,O,O,X
IOSJLTZ,X,X,O,X,X,X
IOSJLZT,X,X,O,O,X,O
IOSJZTL,O,X,O,O,O,X
IOSJZLT,X,X,O,O,X,X
IOSZTLJ,O,O,O,O,O,X
IOSZTJL,O,O,O,O,O,X
IOSZLTJ,X,O,O,O,O,X
IOSZLJT,X,X,O,O,O,O
IOSZJTL,O,X,O,O,O,X
IOSZJLT,X,X,O,O,X,X
IOZTLJS,O,X,X,O,X,X
IOZTLSJ,O,X,X,O,X,X
IOZTJLS,O,X,X,O,X,X
IOZTJSL,O,X,O,O,X,X
IOZTSLJ,O,X,O,O,O,X
IOZTSJL,O,X,O,O,O,X
IOZLTJS,X,X,X,O,X,X
IOZLTSJ,X,X,X,O,X,X
IOZLJTS,X,X,X,O,X,X
IOZLJST,X,X,X,O,X,X
IOZLSTJ,X,X,X,O,X,X
IOZLSJT,X,X,X,O,X,O
IOZJTLS,O,X,X,O,X,X
IOZJTSL,O,X,O,O,X,X
IOZJLTS,X,X,X,O,X,X
IOZJLST,X,X,X,O,X,X
IOZJSTL,O,X,O,O,X,X
IOZJSLT,X,X,O,O,X,X
IOZSTLJ,O,X,O,O,O,X
IOZSTJL,O,X,O,O,O,X
IOZSLTJ,X,X,O,O,O,X
IOZSLJT,X,X,O,O,X,O
IOZSJTL,O,X,O,O,O,X
IOZSJLT,X,X,O,O,X,X
LTIJSZO,X,O,X,X,X,X
LTIJSOZ,X,O,X,X,X,X
LTIJZSO,O,X,X,X,X,X
LTIJZOS,O,X,X,X,X,X
LTIJOSZ,X,O,X,X,X,X
LTIJOZS,O,X,X,X,X,X
LTISJZO,X,O,X,X,X,O
LTISJOZ,X,O,X,X,X,X
LTISZJO,X,O,X,X,X,O
LTISZOJ,X,O,O,X,X,X
LTISOJZ,X,O,O,X,X,X
LTISOZJ,X,O,O,X,X,X
LTIZJSO,O,X,X,X,X,X
LTIZJOS,O,X,X,X,X,X
LTIZSJO,O,O,X,X,X,O
LTIZSOJ,O,O,X,X,X,X
LTIZOJS,O,X,X,X,X,X
LTIZOSJ,O,O,X,X,X,X
LTIOJSZ,X,O,O,X,X,X
LTIOJZS,O,X,X,X,X,X
LTIOSJZ,X,O,O,X,X,X
LTIOSZJ,X,O,O,X,X,X
LTIOZJS,O,X,X,X,X,X
LTIOZSJ,O,O,X,X,X,X
LTJISZO,X,O,X,X,X,X
LTJISOZ,X,O,X,X,X,X
LTJIZSO,O,X,X,X,X,X
LTJIZOS,O,X,X,X,X,X
LTJIOSZ,X,O,X,X,X,X
LTJIOZS,O,X,X,X,X,X
LTJSIZO,X,O,X,X,X,X
LTJSIOZ,X,O,X,X,X,X
LTJSZIO,X,O,X,X,X,X
LTJSZOI,X,O,X,X,X,X
LTJSOIZ,X,O,X,X,X,X
LTJSOZI,X,O,X,X,X,X
LTJZISO,O,X,X,X,X,X
LTJZIOS,O,X,X,X,X,X
LTJZSIO,O,X,X,X,X,X
LTJZSOI,O,X,X,X,X,X
LTJZOIS,O,X,X,X,X,X
LTJZOSI,O,X,X,X,X,X
LTJOISZ,X,O,X,X,X,X
LTJOIZS,O,X,X,X,X,X
LTJOSIZ,X,O,X,X,X,X
LTJOSZI,X,O,X,X,X,X
LTJOZIS,O,X,X,X,X,X
LTJOZSI,O,X,X,X,X,X
LTSIJZO,X,O,X,X,X,O
LTSIJOZ,X,O,X,X,X,X
LTSIZJO,X,O,X,X,X,O
LTSIZOJ,X,O,O,X,X,X
LTSIOJZ,X,O,O,X,X,X
LTSIOZJ,X,O,O,X,X,X
LTSJIZO,X,O,X,X,X,O
LTSJIOZ,X,O,X,X,X,X
LTSJZIO,X,O,X,X,X,O
LTSJZOI,X,O,X,X,X,X
LTSJOIZ,X,O,X,X,X,X
LTSJOZI,X,O,X,X,X,X
LTSZIJO,X,O,X,X,X,O
LTSZIOJ,X,O,O,X,X,X
LTSZJIO,X,O,X,X,X,O
LTSZJOI,X,O,X,X,X,X
LTSZOIJ,X,O,O,X,O,X
LTSZOJI,X,O,O,X,O,X
LTSOIJZ,X,O,O,X,O,X
LTSOIZJ,X,O,O,X,O,X
LTSOJIZ,X,O,O,X,O,X
LTSOJZI,X,O,O,X,O,X
LTSOZIJ,X,O,O,X,O,X
LTSOZJI,X,O,O,X,O,X
LTZIJSO,O,X,X,X,X,X
LTZIJOS,O,X,X,X,X,X
LTZISJO,O,O,X,X,X,O
LTZISOJ,O,O,X,X,X,X
LTZIOJS,O,X,X,X,X,X
LTZIOSJ,O,O,X,X,X,X
LTZJISO,O,X,X,X,X,X
LTZJIOS,O,X,X,X,X,X
LTZJSIO,O,X,X,X,X,X
LTZJSOI,O,X,X,X,X,X
LTZJOIS,O,X,X,X,X,X
LTZJOSI,O,X,X,X,X,X
LTZSIJO,O,O,X,X,X,O
LTZSIOJ,O,O,X,X,X,X
LTZSJIO,O,O,X,X,X,O
LTZSJOI,O,O,X,X,X,X
LTZSOIJ,O,O,X,X,X,X
LTZSOJI,O,O,X,X,X,X
LTZOIJS,O,X,X,X,X,X
LTZOISJ,O,O,X,X,X,X
LTZOJIS,O,X,X,X,X,X
LTZOJSI,O,X,X,X,X,X
LTZOSIJ,O,O,X,X,X,X
LTZOSJI,O,O,X,X,X,X
LTOIJSZ,X,O,O,X,O,X
LTOIJZS,O,X,X,X,X,X
LTOISJZ,X,O,O,X,O,X
LTOISZJ,X,O,O,X,O,X
LTOIZJS,O,X,X,X,X,X
LTOIZSJ,O,O,X,X,O,X
LTOJISZ,X,O,O,X,O,X
LTOJIZS,O,X,X,X,X,X
LTOJSIZ,X,O,O,X,O,X
LTOJSZI,X,O,O,X,O,X
LTOJZIS,O,X,X,X,X,X
LTOJZSI,O,X,X,X,X,X
LTOSIJZ,X,O,O,X,O,X
LTOSIZJ,X,O,O,X,O,X
LTOSJIZ,X,O,O,X,O,X
LTOSJZI,X,O,O,X,O,X
LTOSZIJ,X,O,O,X,O,X
LTOSZJI,X,O,O,X,O,X
LTOZIJS,O,X,X,X,X,X
LTOZISJ,O,O,X,X,O,X
LTOZJIS,O,X,X,X,X,X
LTOZJSI,O,X,X,X,X,X
LTOZSIJ,O,O,X,X,O,X
LTOZSJI,O,O,X,X,O,X
LITJSZO,X,O,X,X,X,X
LITJSOZ,X,O,X,X,X,X
LITJZSO,O,X,X,X,X,X
LITJZOS,O,X,X,X,X,X
LITJOSZ,X,O,X,X,X,X
LITJOZS,O,X,X,X,X,X
LITSJZO,X,O,X,X,X,O
LITSJOZ,X,O,X,X,X,X
LITSZJO,X,O,X,X,X,O
LITSZOJ,X,O,O,X,X,X
LITSOJZ,X,O,O,X,X,X
LITSOZJ,X,O,O,X,X,X
LITZJSO,O,X,X,X,X,X
LITZJOS,O,X,X,X,X,X
LITZSJO,O,O,X,X,X,O
LITZSOJ,O,O,X,X,X,X
LITZOJS,O,X,X,X,X,X
LITZOSJ,O,O,X,X,X,X
LITOJSZ,X,O,O,X,X,X
LITOJZS,O,X,X,X,X,X
LITOSJZ,X,O,O,X,X,X
LITOSZJ,X,O,O,X,X,X
LITOZJS,O,X,X,X,X,X
LITOZSJ,O,O,X,X,X,X
LIJTSZO,X,O,X,X,X,X
LIJTSOZ,X,O,X,X,X,X
LIJTZSO,O,X,X,X,X,X
LIJTZOS,O,X,X,X,X,X
LIJTOSZ,X,O,X,X,X,X
LIJTOZS,O,X,X,X,X,X
LIJSTZO,X,O,X,X,X,O
LIJSTOZ,X,O,X,X,X,X
LIJSZTO,O,O,X,X,X,O
LIJSZOT,X,X,O,X,X,O
LIJSOTZ,X,X,O,X,X,X
LIJSOZT,X,X,O,O,X,O
LIJZTSO,O,X,X,X,X,X
LIJZTOS,O,X,X,X,X,X
LIJZSTO,O,X,X,X,X,O
LIJZSOT,X,X,X,X,X,O
LIJZOTS,X,X,X,O,X,X
LIJZOST,X,X,X,O,X,X
LIJOTSZ,X,X,O,X,X,X
LIJOTZS,X,X,X,X,X,X
LIJOSTZ,X,X,O,X,X,X
LIJOSZT,X,X,O,O,X,X
LIJOZTS,X,X,X,O,X,X
LIJOZST,X,X,X,O,X,X
LISTJZO,X,O,X,X,X,O
LISTJOZ,X,O,X,X,X,X
LISTZJO,X,O,X,X,X,O
LISTZOJ,X,O,O,X,X,X
LISTOJZ,X,O,O,X,X,X
LISTOZJ,X,O,O,X,X,X
LISJTZO,X,O,X,X,X,O
LISJTOZ,X,O,X,X,X,X
LISJZTO,O,O,X,X,X,O
LISJZOT,X,X,O,X,X,O
LISJOTZ,X,X,O,X,X,X
LISJOZT,X,X,O,O,X,O
LISZTJO,O,O,X,X,X,O
LISZTOJ,O,O,O,X,X,X
LISZJTO,O,O,X,X,X,O
LISZJOT,X,X,O,X,X,O
LISZOTJ,X,O,O,X,O,X
LISZOJT,X,X,O,X,O,O
LISOTJZ,X,O,O,X,O,X
LISOTZJ,X,O,O,X,O,X
LISOJTZ,X,X,O,X,O,X
LISOJZT,X,X,O,O,O,O
LISOZTJ,X,O,O,O,O,X
LISOZJT,X,X,O,O,O,O
LIZTJSO,O,X,X,X,X,X
LIZTJOS,O,X,X,X,X,X
LIZTSJO,O,O,X,X,X,O
LIZTSOJ,O,O,X,X,X,X
LIZTOJS,O,X,X,X,X,X
LIZTOSJ,O,O,X,X,X,X
LIZJTSO,O,X,X,X,X,X
LIZJTOS,O,X,X,X,X,X
LIZJSTO,O,X,X,X,X,O
LIZJSOT,X,X,X,X,X,O
LIZJOTS,X,X,X,O,X,X
LIZJOST,X,X,X,O,X,X
LIZSTJO,O,O,X,X,X,O
LIZSTOJ,O,O,X,X,X,X
LIZSJTO,O,O,X,X,X,O
LIZSJOT,X,X,X,X,X,O
LIZSOTJ,X,O,X,X,X,X
LIZSOJT,X,X,X,X,X,O
LIZOTJS,X,X,X,O,X,X
LIZOTSJ,X,X,X,O,X,X
LIZOJTS,X,X,X,O,X,X
LIZOJST,X,X,X,O,X,X
LIZOSTJ,X,X,X,O,X,X
LIZOSJT,X,X,X,O,X,O
LIOTJSZ,X,O,O,X,O,X
LIOTJZS,X,X,X,X,X,X
LIOTSJZ,X,O,O,X,O,X
LIOTSZJ,X,O,O,X,O,X
LIOTZJS,X,X,X,X,X,X
LIOTZSJ,X,O,X,X,O,X
LIOJTSZ,X,X,O,X,O,X
LIOJTZS,X,X,X,X,X,X
LIOJSTZ,X,X,O,X,O,X
LIOJSZT,X,X,O,O,O,X
LIOJZTS,X,X,X,O,X,X
LIOJZST,X,X,X,O,X,X
LIOSTJZ,X,O,O,X,O,X
LIOSTZJ,X,O,O,X,O,X
LIOSJTZ,X,X,O,X,O,X
LIOSJZT,X,X,O,O,O,O
LIOSZTJ,X,O,O,O,O,X
LIOSZJT,X,X,O,O,O,O
LIOZTJS,X,X,X,O,X,X
LIOZTSJ,X,X,X,O,O,X
LIOZJTS,X,X,X,O,X,X
LIOZJST,X,X,X,O,X,X
LIOZSTJ,X,X,X,O,O,X
LIOZSJT,X,X,X,O,O,O
LJTISZO,X,O,X,X,X,X
LJTISOZ,X,O,X,X,X,X
LJTIZSO,O,X,X,X,X,X
LJTIZOS,O,X,X,X,X,X
LJTIOSZ,X,O,X,X,X,X
LJTIOZS,O,X,X,X,X,X
LJTSIZO,X,O,X,X,X,X
LJTSIOZ,X,O,X,X,X,X
LJTSZIO,X,O,X,X,X,X
LJTSZOI,X,O,X,X,X,X
LJTSOIZ,X,O,X,X,X,X
LJTSOZI,X,O,X,X,X,X
LJTZISO,O,X,X,X,X,X
LJTZIOS,O,X,X,X,X,X
LJTZSIO,O,X,X,X,X,X
LJTZSOI,O,X,X,X,X,X
LJTZOIS,O,X,X,X,X,X
LJTZOSI,O,X,X,X,X,X
LJTOISZ,X,O,X,X,X,X
LJTOIZS,O,X,X,X,X,X
LJTOSIZ,X,O,X,X,X,X
LJTOSZI,X,O,X,X,X,X
LJTOZIS,O,X,X,X,X,X
LJTOZSI,O,X,X,X,X,X
LJITSZO,X,O,X,X,X,X
LJITSOZ,X,O,X,X,X,X
LJITZSO,O,X,X,X,X,X
LJITZOS,O,X,X,X,X,X
LJITOSZ,X,O,X,X,X,X
LJITOZS,O,X,X,X,X,X
LJISTZO,X,O,X,X,X,O
LJISTOZ,X,O,X,X,X,X
LJISZTO,O,O,X,X,X,O
LJISZOT,X,X,O,X,X,O
LJISOTZ,X,X,O,X,X,X
LJISOZT,X,X,O,O,X,O
LJIZTSO,O,X,X,X,X,X
LJIZTOS,O,X,X,X,X,X
LJIZSTO,O,X,X,X,X,O
LJIZSOT,X,X,X,X,X,O
LJIZOTS,X,X,X,O,X,X
LJIZOST,X,X,X,O,X,X
LJIOTSZ,X,X,O,X,X,X
LJIOTZS,X,X,X,X,X,X
LJIOSTZ,X,X,O,X,X,X
LJIOSZT,X,X,O,O,X,X
LJIOZTS,X,X,X,O,X,X
LJIOZST,X,X,X,O,X,X
LJSTIZO,X,O,X,X,X,O
LJSTIOZ,X,O,X,X,X,X
LJSTZIO,X,O,X,X,X,O
LJSTZOI,X,O,X,X,X,X
LJSTOIZ,X,O,X,X,X,X
LJSTOZI,X,O,X,X,X,X
LJSITZO,X,O,X,X,X,O
LJSITOZ,X,O,X,X,X,X
LJSIZTO,O,O,X,X,X,O
LJSIZOT,X,X,O,X,X,O
LJSIOTZ,X,X,O,X,X,X
LJSIOZT,X,X,O,O,X,O
LJSZTIO,O,O,X,X,X,O
LJSZTOI,O,O,X,X,X,X
LJSZITO,O,O,X,X,X,O
LJSZIOT,X,X,O,X,X,O
LJSZOTI,X,X,O,X,O,X
LJSZOIT,X,X,O,X,O,O
LJSOTIZ,X,X,O,X,O,X
LJSOTZI,X,X,O,X,O,X
LJSOITZ,X,X,O,X,O,X
LJSOIZT,X,X,O,O,O,O
LJSOZTI,X,X,O,O,O,X
LJSOZIT,X,X,O,O,O,O
LJZTISO,O,X,X,X,X,X
LJZTIOS,O,X,X,X,X,X
LJZTSIO,O,X,X,X,X,X
LJZTSOI,O,X,X,X,X,X
LJZTOIS,O,X,X,X,X,X
LJZTOSI,O,X,X,X,X,X
LJZITSO,O,X,X,X,X,X
LJZITOS,O,X,X,X,X,X
LJZISTO,O,X,X,X,X,O
LJZISOT,X,X,X,X,X,O
LJZIOTS,X,X,X,O,X,X
LJZIOST,X,X,X,O,X,X
LJZSTIO,O,X,X,X,X,O
LJZSTOI,O,X,X,X,X,X
LJZSITO,O,X,X,X,X,O
LJZSIOT,X,X,X,X,X,O
LJZSOTI,X,X,X,X,X,X
LJZSOIT,X,X,X,X,X,O
LJZOTIS,X,X,X,O,X,X
LJZOTSI,X,X,X,O,X,X
LJZOITS,X,X,X,O,X,X
LJZOIST,X,X,X,O,X,X
LJZOSTI,X,X,X,O,X,X
LJZOSIT,X,X,X,O,X,X
LJOTISZ,X,X,O,X,O,X
LJOTIZS,X,X,X,X,X,X
LJOTSIZ,X,X,O,X,O,X
LJOTSZI,X,X,O,X,O,X
LJOTZIS,X,X,X,X,X,X
LJOTZSI,X,X,X,X,X,X
LJOITSZ,X,X,O,X,O,X
LJOITZS,X,X,X,X,X,X
LJOISTZ,X,X,O,X,O,X
LJOISZT,X,X,O,O,O,X
LJOIZTS,X,X,X,O,X,X
LJOIZST,X,X,X,O,X,X
LJOSTIZ,X,X,O,X,O,X
LJOSTZI,X,X,O,X,O,X
LJOSITZ,X,X,O,X,O,X
LJOSIZT,X,X,O,O,O,X
LJOSZTI,X,X,O,O,O,X
LJOSZIT,X,X,O,O,O,X
LJOZTIS,X,X,X,O,X,X
LJOZTSI,X,X,X,O,X,X
LJOZITS,X,X,X,O,X,X
LJOZIST,X,X,X,O,X,X
LJOZSTI,X,X,X,O,X,X
LJOZSIT,X,X,X,O,X,X
LSTIJZO,X,O,X,X,X,O
LSTIJOZ,X,O,X,X,X,X
LSTIZJO,X,O,X,X,X,O
LSTIZOJ,X,O,O,X,X,X
LSTIOJZ,X,O,O,X,X,X
LSTIOZJ,X,O,O,X,X,X
LSTJIZO,X,O,X,X,X,O
LSTJIOZ,X,O,X,X,X,X
LSTJZIO,X,O,X,X,X,O
LSTJZOI,X,O,X,X,X,X
LSTJOIZ,X,O,X,X,X,X
LSTJOZI,X,O,X,X,X,X
LSTZIJO,X,O,X,X,X,O
LSTZIOJ,X,O,O,X,X,X
LSTZJIO,X,O,X,X,X,O
LSTZJOI,X,O,X,X,X,X
LSTZOIJ,X,O,O,X,O,X
LSTZOJI,X,O,O,X,O,X
LSTOIJZ,X,O,O,X,O,X
LSTOIZJ,X,O,O,X,O,X
LSTOJIZ,X,O,O,X,O,X
LSTOJZI,X,O,O,X,O,X
LSTOZIJ,X,O,O,X,O,X
LSTOZJI,X,O,O,X,O,X
LSITJZO,X,O,X,X,X,O
LSITJOZ,X,O,X,X,X,X
LSITZJO,X,O,X,X,X,O
LSITZOJ,X,O,O,X,X,X
LSITOJZ,X,O,O,X,X,X
LSITOZJ,X,O,O,X,X,X
LSIJTZO,X,O,X,X,X,O
LSIJTOZ,X,O,X,X,X,X
LSIJZTO,O,O,X,X,X,O
LSIJZOT,X,X,O,X,X,O
LSIJOTZ,X,X,O,X,X,X
LSIJOZT,X,X,O,O,X,O
LSIZTJO,O,O,X,X,X,O
LSIZTOJ,O,O,O,X,X,X
LSIZJTO,O,O,X,X,X,O
LSIZJOT,X,X,O,X,X,O
LSIZOTJ,X,O,O,X,O,X
LSIZOJT,X,X,O,X,O,O
LSIOTJZ,X,O,O,X,O,X
LSIOTZJ,X,O,O,X,O,X
LSIOJTZ,X,X,O,X,O,X
LSIOJZT,X,X,O,O,O,O
LSIOZTJ,X,O,O,O,O,X
LSIOZJT,X,X,O,O,O,O
LSJTIZO,X,O,X,X,X,O
LSJTIOZ,X,O,X,X,X,X
LSJTZIO,X,O,X,X,X,O
LSJTZOI,X,O,X,X,X,X
LSJTOIZ,X,O,X,X,X,X
LSJTOZI,X,O,X,X,X,X
LSJITZO,X,O,X,X,X,O
LSJITOZ,X,O,X,X,X,X
LSJIZTO,O,O,X,X,X,O
LSJIZOT,X,X,O,X,X,O
LSJIOTZ,X,X,O,X,X,X
LSJIOZT,X,X,O,O,X,O
LSJZTIO,O,O,X,X,X,O
LSJZTOI,O,O,X,X,X,X
LSJZITO,O,O,X,X,X,O
LSJZIOT,X,X,O,X,X,O
LSJZOTI,X,X,O,X,O,X
LSJZOIT,X,X,O,X,O,O
LSJOTIZ,X,X,O,X,O,X
LSJOTZI,X,X,O,X,O,X
LSJOITZ,X,X,O,X,O,X
LSJOIZT,X,X,O,O,O,O
LSJOZTI,X,X,O,O,O,X
LSJOZIT,X,X,O,O,O,O
LSZTIJO,O,O,X,X,X,O
LSZTIOJ,O,O,O,X,X,X
LSZTJIO,O,O,X,X,X,O
LSZTJOI,O,O,X,X,X,X
LSZTOIJ,O,O,O,X,O,X
LSZTOJI,O,O,O,X,O,X
LSZITJO,O,O,X,X,X,O
LSZITOJ,O,O,O,X,X,X
LSZIJTO,O,O,X,X,X,O
LSZIJOT,X,X,O,X,X,O
LSZIOTJ,X,O,O,X,O,X
LSZIOJT,X,X,O,X,O,O
LSZJTIO,O,O,X,X,X,O
LSZJTOI,O,O,X,X,X,X
LSZJITO,O,O,X,X,X,O
LSZJIOT,X,X,O,X,X,O
LSZJOTI,X,X,O,X,O,X
LSZJOIT,X,X,O,X,O,O
LSZOTIJ,X,O,O,X,O,X
LSZOTJI,X,O,O,X,O,X
LSZOITJ,X,O,O,X,O,X
LSZOIJT,X,X,O,X,O,O
LSZOJTI,X,X,O,X,O,X
LSZOJIT,X,X,O,X,O,O
LSOTIJZ,X,O,O,X,O,X
LSOTIZJ,X,O,O,X,O,X
LSOTJIZ,X,O,O,X,O,X
LSOTJZI,X,O,O,X,O,X
LSOTZIJ,X,O,O,X,O,X
LSOTZJI,X,O,O,X,O,X
LSOITJZ,X,O,O,X,O,X
LSOITZJ,X,O,O,X,O,X
LSOIJTZ,X,X,O,X,O,X
LSOIJZT,X,X,O,O,O,O
LSOIZTJ,X,O,O,O,O,X
LSOIZJT,X,X,O,O,O,O
LSOJTIZ,X,X,O,X,O,X
LSOJTZI,X,X,O,X,O,X
LSOJITZ,X,X,O,X,O,X
LSOJIZT,X,X,O,O,O,O
LSOJZTI,X,X,O,O,O,X
LSOJZIT,X,X,O,O,O,O
LSOZTIJ,X,O,O,O,O,X
LSOZTJI,X,O,O,O,O,X
LSOZITJ,X,O,O,O,O,X
LSOZIJT,X,X,O,O,O,O
LSOZJTI,X,X,O,O,O,X
LSOZJIT,X,X,O,O,O,O
LZTIJSO,O,X,X,X,X,X
LZTIJOS,O,X,X,X,X,X
LZTISJO,O,O,X,X,X,O
LZTISOJ,O,O,X,X,X,X
LZTIOJS,O,X,X,X,X,X
LZTIOSJ,O,O,X,X,X,X
LZTJISO,O,X,X,X,X,X
LZTJIOS,O,X,X,X,X,X
LZTJSIO,O,X,X,X,X,X
LZTJSOI,O,X,X,X,X,X
LZTJOIS,O,X,X,X,X,X
LZTJOSI,O,X,X,X,X,X
LZTSIJO,O,O,X,X,X,O
LZTSIOJ,O,O,X,X,X,X
LZTSJIO,O,O,X,X,X,O
LZTSJOI,O,O,X,X,X,X
LZTSOIJ,O,O,X,X,X,X
LZTSOJI,O,O,X,X,X,X
LZTOIJS,O,X,X,X,X,X
LZTOISJ,O,O,X,X,X,X
LZTOJIS,O,X,X,X,X,X
LZTOJSI,O,X,X,X,X,X
LZTOSIJ,O,O,X,X,X,X
LZTOSJI,O,O,X,X,X,X
LZITJSO,O,X,X,X,X,X
LZITJOS,O,X,X,X,X,X
LZITSJO,O,O,X,X,X,O
LZITSOJ,O,O,X,X,X,X
LZITOJS,O,X,X,X,X,X
LZITOSJ,O,O,X,X,X,X
LZIJTSO,O,X,X,X,X,X
LZIJTOS,O,X,X,X,X,X
LZIJSTO,O,X,X,X,X,O
LZIJSOT,X,X,X,X,X,O
LZIJOTS,X,X,X,O,X,X
LZIJOST,X,X,X,O,X,X
LZISTJO,O,O,X,X,X,O
LZISTOJ,O,O,X,X,X,X
LZISJTO,O,O,X,X,X,O
LZISJOT,X,X,X,X,X,O
LZISOTJ,X,O,X,X,X,X
LZISOJT,X,X,X,X,X,O
LZIOTJS,X,X,X,O,X,X
LZIOTSJ,X,X,X,O,X,X
LZIOJTS,X,X,X,O,X,X
LZIOJST,X,X,X,O,X,X
LZIOSTJ,X,X,X,O,X,X
LZIOSJT,X,X,X,O,X,O
LZJTISO,O,X,X,X,X,X
LZJTIOS,O,X,X,X,X,X
LZJTSIO,O,X,X,X,X,X
LZJTSOI,O,X,X,X,X,X
LZJTOIS,O,X,X,X,X,X
LZJTOSI,O,X,X,X,X,X
LZJITSO,O,X,X,X,X,X
LZJITOS,O,X,X,X,X,X
LZJISTO,O,X,X,X,X,O
LZJISOT,X,X,X,X,X,O
LZJIOTS,X,X,X,O,X,X
LZJIOST,X,X,X,O,X,X
LZJSTIO,O,X,X,X,X,O
LZJSTOI,O,X,X,X,X,X
LZJSITO,O,X,X,X,X,O
LZJSIOT,X,X,X,X,X,O
LZJSOTI,X,X,X,X,X,X
LZJSOIT,X,X,X,X,X,O
LZJOTIS,X,X,X,O,X,X
LZJOTSI,X,X,X,O,X,X
LZJOITS,X,X,X,O,X,X
LZJOIST,X,X,X,O,X,X
LZJOSTI,X,X,X,O,X,X
LZJOSIT,X,X,X,O,X,X
LZSTIJO,O,O,X,X,X,O
LZSTIOJ,O,O,X,X,X,X
LZSTJIO,O,O,X,X,X,O
LZSTJOI,O,O,X,X,X,X
LZSTOIJ,O,O,X,X,O,X
LZSTOJI,O,O,X,X,O,X
