sequence,v115@RhA8AeC8EeG8AeA8Ke2EJvhFXhB8mBziB5oBClBlsB,v115@RhA8AeC8EeG8AeA8Ke/EJvhFUgBymBziB5oBGmBlsB,v115@RhA8AeC8EeG8AeA8Ke/EJvhFUgBFhBeoB5oBzmB6sB,v115@RhA8AeC8EeG8AeA8Ke2EJvhFXhBliB5oBzmB8sBCqB,v115@RhA8AeC8EeG8AeA8Ke/EJvhFUgBFhBxiBzmBCtBGtB,v115@RhA8AeC8EeG8AeA8KeUBJvhFGjBxkB6sB/tBlpBzrB
TLZJIOS,O,X,X,X,X,X
TLZJSIO,O,X,X,X,X,X
TLZJSOI,O,X,X,X,X,X
TLZJOIS,O,X,X,X,X,X
TLZJOSI,O,X,X,X,X,X
TLZSIJO,O,O,X,X,X,O
TLZSIOJ,O,O,X,X,X,X
TLZSJIO,O,O,X,X,X,O
TLZSJOI,O,O,X,X,X,X
TLZSOIJ,O,O,X,X,X,X
TLZSOJI,O,O,X,X,X,X
TLZOIJS,O,X,X,X,X,X
TLZOISJ,O,O,X,X,X,X
TLZOJIS,O,X,X,X,X,X
TLZOJSI,O,X,X,X,X,X
TLZOSIJ,O,O,X,X,X,X
TLZOSJI,O,O,X,X,X,X
TLOIJSZ,X,O,O,X,O,X
TLOIJZS,O,X,X,X,X,X
TLOISJZ,X,O,O,X,O,X
TLOISZJ,X,O,O,X,O,X
TLOIZJS,O,X,X,X,X,X
TLOIZSJ,O,O,X,X,O,X
TLOJISZ,X,O,O,X,O,X
TLOJIZS,O,X,X,X,X,X
TLOJSIZ,X,O,O,X,O,X
TLOJSZI,X,O,O,X,O,X
TLOJZIS,O,X,X,X,X,X
TLOJZSI,O,X,X,X,X,X
TLOSIJZ,X,O,O,X,O,X
TLOSIZJ,X,O,O,X,O,X
TLOSJIZ,X,O,O,X,O,X
TLOSJZI,X,O,O,X,O,X
TLOSZIJ,X,O,O,X,O,X
TLOSZJI,X,O,O,X,O,X
TLOZIJS,O,X,X,X,X,X
TLOZISJ,O,O,X,X,O,X
TLOZJIS,O,X,X,X,X,X
TLOZJSI,O,X,X,X,X,X
TLOZSIJ,O,O,X,X,O,X
TLOZSJI,O,O,X,X,O,X
TJILSZO,X,O,X,X,X,X
TJILSOZ,X,O,X,X,X,X
TJILZSO,O,X,X,X,X,X
TJILZOS,O,X,X,X,X,X
TJILOSZ,X,O,X,X,X,X
TJILOZS,O,X,X,X,X,X
TJISLZO,X,O,X,X,X,X
TJISLOZ,X,O,X,X,X,X
TJISZLO,O,O,X,X,X,X
TJISZOL,O,O,O,X,X,X
TJISOLZ,X,O,O,X,X,X
TJISOZL,O,O,O,O,X,X
TJIZLSO,O,X,X,X,X,X
TJIZLOS,O,X,X,X,X,X
TJIZSLO,O,X,X,X,X,X
TJIZSOL,O,X,X,X,X,X
TJIZOLS,O,X,X,O,X,X
TJIZOSL,O,X,X,O,X,X
TJIOLSZ,X,O,O,X,X,X
TJIOLZS,O,X,X,X,X,X
TJIOSLZ,X,O,O,X,X,X
TJIOSZL,O,O,O,O,X,X
TJIOZLS,O,X,X,O,X,X
TJIOZSL,O,X,O,O,X,X
TJLISZO,X,O,X,X,X,X
TJLISOZ,X,O,X,X,X,X
TJLIZSO,O,X,X,X,X,X
TJLIZOS,O,X,X,X,X,X
TJLIOSZ,X,O,X,X,X,X
TJLIOZS,O,X,X,X,X,X
TJLSIZO,X,O,X,X,X,X
TJLSIOZ,X,O,X,X,X,X
TJLSZIO,X,O,X,X,X,X
TJLSZOI,X,O,X,X,X,X
TJLSOIZ,X,O,X,X,X,X
TJLSOZI,X,O,X,X,X,X
TJLZISO,O,X,X,X,X,X
TJLZIOS,O,X,X,X,X,X
TJLZSIO,O,X,X,X,X,X
TJLZSOI,O,X,X,X,X,X
TJLZOIS,O,X,X,X,X,X
TJLZOSI,O,X,X,X,X,X
TJLOISZ,X,O,X,X,X,X
TJLOIZS,O,X,X,X,X,X
TJLOSIZ,X,O,X,X,X,X
TJLOSZI,X,O,X,X,X,X
TJLOZIS,O,X,X,X,X,X
TJLOZSI,O,X,X,X,X,X
TJSILZO,X,O,X,X,X,X
TJSILOZ,X,O,X,X,X,X
TJSIZLO,O,O,X,X,X,X
TJSIZOL,O,O,O,X,X,X
TJSIOLZ,X,O,O,X,X,X
TJSIOZL,O,O,O,O,X,X
TJSLIZO,X,O,X,X,X,X
TJSLIOZ,X,O,X,X,X,X
TJSLZIO,X,O,X,X,X,X
TJSLZOI,X,O,X,X,X,X
TJSLOIZ,X,O,X,X,X,X
TJSLOZI,X,O,X,X,X,X
TJSZILO,O,O,X,X,X,X
TJSZIOL,O,O,O,X,X,X
TJSZLIO,O,O,X,X,X,X
TJSZLOI,O,O,X,X,X,X
TJSZOIL,O,O,O,X,O,X
TJSZOLI,O,O,O,X,O,X
TJSOILZ,X,O,O,X,X,X
TJSOIZL,O,O,O,O,O,X
TJSOLIZ,X,O,O,X,O,X
TJSOLZI,X,O,O,X,O,X
TJSOZIL,O,O,O,O,O,X
TJSOZLI,O,O,O,O,O,X
TJZILSO,O,X,X,X,X,X
TJZILOS,O,X,X,X,X,X
TJZISLO,O,X,X,X,X,X
TJZISOL,O,X,X,X,X,X
TJZIOLS,O,X,X,O,X,X
TJZIOSL,O,X,X,O,X,X
TJZLISO,O,X,X,X,X,X
TJZLIOS,O,X,X,X,X,X
TJZLSIO,O,X,X,X,X,X
TJZLSOI,O,X,X,X,X,X
TJZLOIS,O,X,X,X,X,X
TJZLOSI,O,X,X,X,X,X
TJZSILO,O,X,X,X,X,X
TJZSIOL,O,X,X,X,X,X
TJZSLIO,O,X,X,X,X,X
TJZSLOI,O,X,X,X,X,X
TJZSOIL,O,X,X,X,X,X
TJZSOLI,O,X,X,X,X,X
TJZOILS,O,X,X,O,X,X
TJZOISL,O,X,X,O,X,X
TJZOLIS,O,X,X,O,X,X
TJZOLSI,O,X,X,O,X,X
TJZOSIL,O,X,X,O,X,X
TJZOSLI,O,X,X,O,X,X
TJOILSZ,X,O,O,X,X,X
TJOILZS,O,X,X,X,X,X
TJOISLZ,X,O,O,X,X,X
TJOISZL,O,O,O,O,O,X
TJOIZLS,O,X,X,O,X,X
TJOIZSL,O,X,O,O,X,X
TJOLISZ,X,O,O,X,O,X
TJOLIZS,O,X,X,X,X,X
TJOLSIZ,X,O,O,X,O,X
TJOLSZI,X,O,O,X,O,X
TJOLZIS,O,X,X,X,X,X
TJOLZSI,O,X,X,X,X,X
TJOSILZ,X,O,O,X,X,X
TJOSIZL,O,O,O,O,O,X
TJOSLIZ,X,O,O,X,O,X
TJOSLZI,X,O,O,X,O,X
TJOSZIL,O,O,O,O,O,X
TJOSZLI,O,O,O,O,O,X
TJOZILS,O,X,X,O,X,X
TJOZISL,O,X,O,O,X,X
TJOZLIS,O,X,X,O,X,X
TJOZLSI,O,X,X,O,X,X
TJOZSIL,O,X,O,O,X,X
TJOZSLI,O,X,O,O,X,X
TSILJZO,X,O,X,X,X,O
TSILJOZ,X,O,X,X,X,X
TSILZJO,X,O,X,X,X,O
TSILZOJ,X,O,O,X,X,X
TSILOJZ,X,O,O,X,X,X
TSILOZJ,X,O,O,X,X,X
TSIJLZO,X,O,X,X,X,O
TSIJLOZ,X,O,X,X,X,X
TSIJZLO,O,O,X,X,X,X
TSIJZOL,O,O,O,X,X,X
TSIJOLZ,X,O,O,X,X,X
TSIJOZL,O,O,O,O,X,X
TSIZLJO,O,O,X,X,X,O
TSIZLOJ,O,O,O,X,X,X
TSIZJLO,O,O,X,X,X,X
TSIZJOL,O,O,O,X,X,X
TSIZOLJ,O,O,O,X,O,X
TSIZOJL,O,O,O,X,O,X
TSIOLJZ,X,O,O,X,O,X
TSIOLZJ,X,O,O,X,O,X
TSIOJLZ,X,O,O,X,X,X
TSIOJZL,O,O,O,O,O,X
TSIOZLJ,O,O,O,O,O,X
TSIOZJL,O,O,O,O,O,X
TSLIJZO,X,O,X,X,X,O
TSLIJOZ,X,O,X,X,X,X
TSLIZJO,X,O,X,X,X,O
TSLIZOJ,X,O,O,X,X,X
TSLIOJZ,X,O,O,X,X,X
TSLIOZJ,X,O,O,X,X,X
TSLJIZO,X,O,X,X,X,O
TSLJIOZ,X,O,X,X,X,X
TSLJZIO,X,O,X,X,X,O
TSLJZOI,X,O,X,X,X,X
TSLJOIZ,X,O,X,X,X,X
TSLJOZI,X,O,X,X,X,X
TSLZIJO,X,O,X,X,X,O
TSLZIOJ,X,O,O,X,X,X
TSLZJIO,X,O,X,X,X,O
TSLZJOI,X,O,X,X,X,X
TSLZOIJ,X,O,O,X,O,X
TSLZOJI,X,O,O,X,O,X
TSLOIJZ,X,O,O,X,O,X
TSLOIZJ,X,O,O,X,O,X
TSLOJIZ,X,O,O,X,O,X
TSLOJZI,X,O,O,X,O,X
TSLOZIJ,X,O,O,X,O,X
TSLOZJI,X,O,O,X,O,X
TSJILZO,X,O,X,X,X,O
TSJILOZ,X,O,X,X,X,X
TSJIZLO,O,O,X,X,X,X
TSJIZOL,O,O,O,X,X,X
TSJIOLZ,X,O,O,X,X,X
TSJIOZL,O,O,O,O,X,X
TSJLIZO,X,O,X,X,X,O
TSJLIOZ,X,O,X,X,X,X
TSJLZIO,X,O,X,X,X,O
TSJLZOI,X,O,X,X,X,X
TSJLOIZ,X,O,X,X,X,X
TSJLOZI,X,O,X,X,X,X
TSJZILO,O,O,X,X,X,X
TSJZIOL,O,O,O,X,X,X
TSJZLIO,O,O,X,X,X,X
TSJZLOI,O,O,X,X,X,X
TSJZOIL,O,O,O,X,O,X
TSJZOLI,O,O,O,X,O,X
TSJOILZ,X,O,O,X,X,X
TSJOIZL,O,O,O,O,O,X
TSJOLIZ,X,O,O,X,O,X
TSJOLZI,X,O,O,X,O,X
TSJOZIL,O,O,O,O,O,X
TSJOZLI,O,O,O,O,O,X
TSZILJO,O,O,X,X,X,O
TSZILOJ,O,O,O,X,X,X
TSZIJLO,O,O,X,X,X,X
TSZIJOL,O,O,O,X,X,X
TSZIOLJ,O,O,O,X,O,X
TSZIOJL,O,O,O,X,O,X
TSZLIJO,O,O,X,X,X,O
TSZLIOJ,O,O,O,X,X,X
TSZLJIO,O,O,X,X,X,O
TSZLJOI,O,O,X,X,X,X
TSZLOIJ,O,O,O,X,O,X
TSZLOJI,O,O,O,X,O,X
TSZJILO,O,O,X,X,X,X
TSZJIOL,O,O,O,X,X,X
TSZJLIO,O,O,X,X,X,X
TSZJLOI,O,O,X,X,X,X
TSZJOIL,O,O,O,X,O,X
TSZJOLI,O,O,O,X,O,X
TSZOILJ,O,O,O,X,O,X
TSZOIJL,O,O,O,X,O,X
TSZOLIJ,O,O,O,X,O,X
TSZOLJI,O,O,O,X,O,X
TSZOJIL,O,O,O,X,O,X
TSZOJLI,O,O,O,X,O,X
TSOILJZ,X,O,O,X,O,X
TSOILZJ,X,O,O,X,O,X
TSOIJLZ,X,O,O,X,X,X
TSOIJZL,O,O,O,O,O,X
TSOIZLJ,O,O,O,O,O,X
TSOIZJL,O,O,O,O,O,X
TSOLIJZ,X,O,O,X,O,X
TSOLIZJ,X,O,O,X,O,X
TSOLJIZ,X,O,O,X,O,X
TSOLJZI,X,O,O,X,O,X
TSOLZIJ,X,O,O,X,O,X
TSOLZJI,X,O,O,X,O,X
TSOJILZ,X,O,O,X,X,X
TSOJIZL,O,O,O,O,O,X
TSOJLIZ,X,O,O,X,O,X
TSOJLZI,X,O,O,X,O,X
TSOJZIL,O,O,O,O,O,X
TSOJZLI,O,O,O,O,O,X
TSOZILJ,O,O,O,O,O,X
TSOZIJL,O,O,O,O,O,X
TSOZLIJ,O,O,O,O,O,X
TSOZLJI,O,O,O,O,O,X
TSOZJIL,O,O,O,O,O,X
TSOZJLI,O,O,O,O,O,X
TZILJSO,O,X,X,X,X,X
TZILJOS,O,X,X,X,X,X
TZILSJO,O,O,X,X,X,O
TZILSOJ,O,O,X,X,X,X
TZILOJS,O,X,X,X,X,X
TZILOSJ,O,O,X,X,X,X
TZIJLSO,O,X,X,X,X,X
TZIJLOS,O,X,X,X,X,X
TZIJSLO,O,X,X,X,X,X
TZIJSOL,O,X,X,X,X,X
TZIJOLS,O,X,X,O,X,X
TZIJOSL,O,X,X,O,X,X
TZISLJO,O,O,X,X,X,O
TZISLOJ,O,O,O,X,X,X
TZISJLO,O,O,X,X,X,X
TZISJOL,O,O,O,X,X,X
TZISOLJ,O,O,O,X,X,X
TZISOJL,O,O,O,X,X,X
TZIOLJS,O,X,X,O,X,X
TZIOLSJ,O,O,X,O,X,X
TZIOJLS,O,X,X,O,X,X
TZIOJSL,O,X,O,O,X,X
TZIOSLJ,O,O,O,O,X,X
TZIOSJL,O,O,O,O,X,X
TZLIJSO,O,X,X,X,X,X
TZLIJOS,O,X,X,X,X,X
TZLISJO,O,O,X,X,X,O
TZLISOJ,O,O,X,X,X,X
TZLIOJS,O,X,X,X,X,X
TZLIOSJ,O,O,X,X,X,X
TZLJISO,O,X,X,X,X,X
TZLJIOS,O,X,X,X,X,X
TZLJSIO,O,X,X,X,X,X
TZLJSOI,O,X,X,X,X,X
TZLJOIS,O,X,X,X,X,X
TZLJOSI,O,X,X,X,X,X
TZLSIJO,O,O,X,X,X,O
TZLSIOJ,O,O,X,X,X,X
TZLSJIO,O,O,X,X,X,O
TZLSJOI,O,O,X,X,X,X
TZLSOIJ,O,O,X,X,X,X
TZLSOJI,O,O,X,X,X,X
TZLOIJS,O,X,X,X,X,X
TZLOISJ,O,O,X,X,X,X
TZLOJIS,O,X,X,X,X,X
TZLOJSI,O,X,X,X,X,X
TZLOSIJ,O,O,X,X,X,X
TZLOSJI,O,O,X,X,X,X
TZJILSO,O,X,X,X,X,X
TZJILOS,O,X,X,X,X,X
TZJISLO,O,X,X,X,X,X
TZJISOL,O,X,X,X,X,X
TZJIOLS,O,X,X,O,X,X
TZJIOSL,O,X,X,O,X,X
TZJLISO,O,X,X,X,X,X
TZJLIOS,O,X,X,X,X,X
TZJLSIO,O,X,X,X,X,X
TZJLSOI,O,X,X,X,X,X
TZJLOIS,O,X,X,X,X,X
TZJLOSI,O,X,X,X,X,X
TZJSILO,O,X,X,X,X,X
TZJSIOL,O,X,X,X,X,X
TZJSLIO,O,X,X,X,X,X
TZJSLOI,O,X,X,X,X,X
TZJSOIL,O,X,X,X,X,X
TZJSOLI,O,X,X,X,X,X
TZJOILS,O,X,X,O,X,X
TZJOISL,O,X,X,O,X,X
TZJOLIS,O,X,X,O,X,X
TZJOLSI,O,X,X,O,X,X
TZJOSIL,O,X,X,O,X,X
TZJOSLI,O,X,X,O,X,X
TZSILJO,O,O,X,X,X,O
TZSILOJ,O,O,O,X,X,X
TZSIJLO,O,O,X,X,X,X
TZSIJOL,O,O,O,X,X,X
TZSIOLJ,O,O,O,X,O,X
TZSIOJL,O,O,O,X,O,X
TZSLIJO,O,O,X,X,X,O
TZSLIOJ,O,O,O,X,X,X
TZSLJIO,O,O,X,X,X,O
TZSLJOI,O,O,X,X,X,X
TZSLOIJ,O,O,O,X,O,X
TZSLOJI,O,O,O,X,O,X
TZSJILO,O,O,X,X,X,X
TZSJIOL,O,O,O,X,X,X
TZSJLIO,O,O,X,X,X,X
TZSJLOI,O,O,X,X,X,X
TZSJOIL,O,O,O,X,O,X
TZSJOLI,O,O,O,X,O,X
TZSOILJ,O,O,O,X,O,X
TZSOIJL,O,O,O,X,O,X
TZSOLIJ,O,O,O,X,O,X
TZSOLJI,O,O,O,X,O,X
TZSOJIL,O,O,O,X,O,X
TZSOJLI,O,O,O,X,O,X
TZOILJS,O,X,X,O,X,X
TZOILSJ,O,O,X,O,X,X
TZOIJLS,O,X,X,O,X,X
TZOIJSL,O,X,O,O,X,X
TZOISLJ,O,O,O,O,O,X
TZOISJL,O,O,O,O,O,X
TZOLIJS,O,X,X,O,X,X
TZOLISJ,O,O,X,O,O,X
TZOLJIS,O,X,X,O,X,X
TZOLJSI,O,X,X,O,X,X
TZOLSIJ,O,O,X,O,O,X
TZOLSJI,O,O,X,O,O,X
TZOJILS,O,X,X,O,X,X
TZOJISL,O,X,O,O,X,X
TZOJLIS,O,X,X,O,X,X
TZOJLSI,O,X,X,O,X,X
TZOJSIL,O,X,O,O,X,X
TZOJSLI,O,X,O,O,X,X
TZOSILJ,O,O,O,O,O,X
