sequence,v115@FhB8HeB8BeA8EeB8AeB8DeC8JeZEJvhFukB3gBCiB8?qBTnB1wB,v115@FhB8HeB8BeA8EeB8AeB8DeC8JeZEJvhFukBFhBTiB6?qBcrBXsB,v115@FhB8HeB8BeA8EeB8AeB8DeC8JeZEJvhFukB3gBlmBc?sBzqBCsB,v115@FhB8HeB8BeA8EeB8AeB8DeC8JeZEJvhFukBFhBXiB6?qBcsBTrB,v115@FhB8HeB8BeA8EeB8AeB8DeC8JeZEJvhFukBTiBllBc?rBXsBCrB,v115@FhB8HeB8BeA8EeB8AeB8DeC8JeZEJvhFukBllBcrBT?nBCrBXsB,v115@FhB8HeB8BeA8EeB8AeB8DeC8JeZEJvhFukBfnB6nBl?lB0rBzqB,v115@FhB8HeB8BeA8EeB8AeB8DeC8Jei/IvhFRhB+nBcpBl?lBXrBzrB,v115@FhB8HeB8BeA8EeB8AeB8DeC8Jei/IvhFWnBcpBllBx?rBzqBXsB,v115@FhB8HeB8BeA8EeB8AeB8DeC8JexBJvhFTkBllB3mBc?sBipBWwB
TIJLSZO,O,O,X,O,X,X,X,X,X,X
TIJLSOZ,X,O,X,O,X,X,X,X,X,X
TIJLZSO,O,O,X,O,O,X,O,X,O,X
TIJLZOS,O,O,X,O,X,O,X,X,O,X
TIJLOSZ,O,X,X,O,X,X,X,X,X,X
TIJLOZS,O,O,X,O,X,X,X,X,X,X
TIJSLZO,O,O,X,X,X,X,X,X,X,X
TIJSLOZ,X,O,X,X,X,X,X,X,X,X
TIJSZLO,O,O,X,X,O,X,O,X,O,X
TIJSZOL,O,O,X,X,O,O,O,X,X,X
TIJSOLZ,O,O,X,X,X,X,X,X,X,X
TIJSOZL,O,O,O,X,O,X,X,X,X,X
TIJZLSO,O,O,X,O,O,X,O,X,O,X
TIJZLOS,O,X,X,O,X,O,X,X,O,X
TIJZSLO,O,O,X,O,O,X,O,X,O,X
TIJZSOL,O,O,X,O,O,O,O,X,X,X
TIJZOLS,O,X,O,O,X,O,X,X,O,X
TIJZOSL,O,O,O,O,O,O,O,X,X,X
TIJOLSZ,O,X,X,X,X,X,X,X,X,X
TIJOLZS,O,X,X,O,X,X,X,X,X,X
TIJOSLZ,O,X,X,X,X,X,X,X,X,X
TIJOSZL,O,X,O,O,X,X,X,X,X,X
TIJOZLS,O,X,O,O,X,O,X,X,O,X
TIJOZSL,O,X,O,O,O,O,O,X,X,X
TISLJZO,O,O,X,X,X,X,X,O,X,X
TISLJOZ,X,O,X,X,X,X,X,X,X,X
TISLZJO,O,O,X,X,X,X,X,O,X,X
TISLZOJ,O,O,X,X,X,X,X,O,X,X
TISLOJZ,X,O,X,X,X,X,X,X,X,X
TISLOZJ,X,O,X,X,X,X,X,X,X,X
TISJLZO,O,O,X,X,X,X,X,O,X,X
TISJLOZ,X,O,X,X,X,X,X,X,X,X
TISJZLO,O,O,X,X,O,X,O,O,O,X
TISJZOL,O,O,X,X,O,O,O,O,X,X
TISJOLZ,O,O,X,X,X,X,X,X,X,X
TISJOZL,O,O,O,X,O,X,X,O,X,X
TISZLJO,O,O,X,X,O,X,O,O,O,X
TISZLOJ,O,O,X,X,O,X,O,O,X,X
TISZJLO,O,O,X,X,O,X,O,O,O,X
TISZJOL,O,O,X,X,O,O,O,O,X,X
TISZOLJ,O,O,X,X,O,X,O,O,X,X
TISZOJL,O,O,X,X,O,O,O,O,X,X
TISOLJZ,O,O,X,X,X,X,X,X,X,X
TISOLZJ,O,O,X,X,X,X,X,X,X,X
TISOJLZ,O,O,X,X,X,X,X,X,X,X
TISOJZL,O,O,O,X,O,X,X,O,X,X
TISOZLJ,O,O,O,X,O,X,X,O,X,X
TISOZJL,O,O,O,X,O,X,X,O,X,X
TIZLJSO,O,O,X,O,O,X,O,X,O,X
TIZLJOS,O,O,X,O,X,O,X,X,O,X
TIZLSJO,O,O,X,O,O,X,O,O,O,X
TIZLSOJ,O,O,X,O,O,X,O,O,X,X
TIZLOJS,O,O,X,O,X,O,X,X,O,X
TIZLOSJ,O,O,X,O,X,X,X,X,X,X
TIZJLSO,O,O,X,O,O,X,O,X,O,X
TIZJLOS,O,X,X,O,X,O,X,X,O,X
TIZJSLO,O,O,X,O,O,X,O,X,O,X
TIZJSOL,O,O,X,O,O,O,O,X,X,X
TIZJOLS,O,X,O,O,X,O,X,X,O,X
TIZJOSL,O,O,O,O,O,O,O,X,X,X
TIZSLJO,O,O,X,O,O,X,O,O,O,X
TIZSLOJ,O,O,X,O,O,X,O,O,X,O
TIZSJLO,O,O,X,O,O,X,O,O,O,X
TIZSJOL,O,O,X,O,O,O,O,O,X,O
TIZSOLJ,O,O,X,O,O,X,O,O,X,O
TIZSOJL,O,O,X,O,O,O,O,O,X,O
TIZOLJS,O,X,O,O,X,O,X,X,O,X
TIZOLSJ,O,X,O,O,X,X,X,X,X,X
TIZOJLS,O,X,O,O,X,O,X,X,O,X
TIZOJSL,O,O,O,O,O,O,O,X,X,X
TIZOSLJ,O,O,O,O,O,X,O,X,X,O
TIZOSJL,O,O,O,O,O,O,O,X,X,O
TIOLJSZ,O,X,X,O,X,X,X,X,X,X
TIOLJZS,O,X,X,O,X,X,X,X,X,X
TIOLSJZ,O,X,X,O,X,X,X,X,X,X
TIOLSZJ,O,X,X,O,X,X,X,X,X,X
TIOLZJS,O,X,X,O,X,X,X,X,X,X
TIOLZSJ,O,X,X,O,X,X,X,X,X,X
TIOJLSZ,O,X,X,X,X,X,X,X,X,X
TIOJLZS,O,X,X,O,X,X,X,X,X,X
TIOJSLZ,O,X,X,X,X,X,X,X,X,X
TIOJSZL,O,X,O,O,X,X,X,X,X,X
TIOJZLS,O,X,O,O,X,O,X,X,O,X
TIOJZSL,O,X,O,O,O,O,O,X,X,X
TIOSLJZ,O,X,X,X,X,X,X,X,X,X
TIOSLZJ,O,X,X,X,X,X,X,X,X,X
TIOSJLZ,O,X,X,X,X,X,X,X,X,X
TIOSJZL,O,X,O,O,X,X,X,X,X,X
TIOSZLJ,O,X,O,O,X,X,X,X,X,X
TIOSZJL,O,X,O,O,X,X,X,X,X,X
TIOZLJS,O,X,O,O,X,O,X,X,O,X
TIOZLSJ,O,X,O,O,X,X,X,X,X,X
TIOZJLS,O,X,O,O,X,O,X,X,O,X
TIOZJSL,O,X,O,O,O,O,O,X,X,X
TIOZSLJ,O,X,O,O,O,X,O,X,X,O
TIOZSJL,O,X,O,O,O,O,O,X,X,O
TLIJSZO,O,O,X,O,X,X,X,X,X,X
TLIJSOZ,X,O,X,O,X,X,X,X,X,X
TLIJZSO,O,O,X,O,O,X,O,X,O,X
TLIJZOS,O,O,X,O,X,O,X,X,O,X
TLIJOSZ,O,X,X,O,X,X,X,X,X,X
TLIJOZS,O,O,X,O,X,X,X,X,X,X
TLISJZO,O,O,X,O,X,X,X,X,X,X
TLISJOZ,X,O,X,O,X,X,X,X,X,X
TLISZJO,O,O,X,O,X,X,X,X,X,X
TLISZOJ,O,O,X,O,X,X,X,X,X,X
TLISOJZ,X,O,X,O,X,X,X,X,X,X
TLISOZJ,X,O,X,O,X,X,X,X,X,X
TLIZJSO,O,O,X,O,O,X,O,X,O,X
TLIZJOS,O,O,X,O,X,O,X,X,O,X
TLIZSJO,O,O,X,O,O,X,O,X,O,X
TLIZSOJ,O,O,X,O,O,X,O,X,X,X
TLIZOJS,O,O,X,O,X,O,X,X,O,X
TLIZOSJ,O,O,X,O,X,X,X,X,X,X
TLIOJSZ,O,X,X,O,X,X,X,X,X,X
TLIOJZS,O,O,X,O,X,X,X,X,X,X
TLIOSJZ,O,X,X,O,X,X,X,X,X,X
TLIOSZJ,O,X,X,O,X,X,X,X,X,X
TLIOZJS,O,O,X,O,X,X,X,X,X,X
TLIOZSJ,O,O,X,O,X,X,X,X,X,X
TLJISZO,O,O,X,O,X,X,X,X,X,X
TLJISOZ,X,O,X,O,X,X,X,X,X,X
TLJIZSO,O,O,X,O,O,X,O,X,X,X
TLJIZOS,O,O,X,O,X,O,X,X,X,X
TLJIOSZ,O,X,X,O,X,X,X,X,X,X
TLJIOZS,O,O,X,O,X,X,X,X,X,X
TLJSIZO,O,O,X,O,X,X,X,X,X,X
TLJSIOZ,X,O,X,O,X,X,X,X,X,X
TLJSZIO,O,O,X,O,X,X,X,X,X,X
TLJSZOI,O,O,X,O,X,X,X,X,X,X
TLJSOIZ,X,O,X,O,X,X,X,X,X,X
TLJSOZI,X,O,X,O,X,X,X,X,X,X
TLJZISO,O,O,X,O,O,X,O,X,X,X
TLJZIOS,O,O,X,O,X,O,X,X,X,X
TLJZSIO,O,O,X,O,O,X,O,X,X,X
TLJZSOI,O,O,X,O,O,X,O,X,X,X
TLJZOIS,O,O,X,O,X,O,X,X,X,X
TLJZOSI,O,O,X,O,X,X,X,X,X,X
TLJOISZ,O,X,X,O,X,X,X,X,X,X
TLJOIZS,O,O,X,O,X,X,X,X,X,X
TLJOSIZ,O,X,X,O,X,X,X,X,X,X
TLJOSZI,O,X,X,O,X,X,X,X,X,X
TLJOZIS,O,O,X,O,X,X,X,X,X,X
TLJOZSI,O,O,X,O,X,X,X,X,X,X
TLSIJZO,O,O,X,O,X,X,X,O,X,X
TLSIJOZ,X,O,X,O,X,X,X,X,X,X
TLSIZJO,O,O,X,O,X,X,X,O,X,X
TLSIZOJ,O,O,X,O,X,X,X,O,X,X
TLSIOJZ,X,O,X,O,X,X,X,X,X,X
TLSIOZJ,X,O,X,O,X,X,X,X,X,X
TLSJIZO,O,O,X,O,X,X,X,O,X,X
TLSJIOZ,X,O,X,O,X,X,X,X,X,X
TLSJZIO,O,O,X,O,X,X,X,O,X,X
TLSJZOI,O,O,X,O,X,X,X,O,X,X
TLSJOIZ,X,O,X,O,X,X,X,X,X,X
TLSJOZI,X,O,X,O,X,X,X,X,X,X
TLSZIJO,O,O,X,O,X,X,X,O,X,X
TLSZIOJ,O,O,X,O,X,X,X,O,X,X
TLSZJIO,O,O,X,O,X,X,X,O,X,X
TLSZJOI,O,O,X,O,X,X,X,O,X,X
TLSZOIJ,O,O,X,O,X,X,X,O,X,X
TLSZOJI,O,O,X,O,X,X,X,O,X,X
TLSOIJZ,X,O,X,O,X,X,X,X,X,X
TLSOIZJ,X,O,X,O,X,X,X,X,X,X
TLSOJIZ,X,O,X,O,X,X,X,X,X,X
TLSOJZI,X,O,X,O,X,X,X,X,X,X
TLSOZIJ,X,O,X,O,X,X,X,X,X,X
TLSOZJI,X,O,X,O,X,X,X,X,X,X
TLZIJSO,O,O,X,O,O,X,O,X,O,X
TLZIJOS,O,O,X,O,X,O,X,X,O,X
TLZISJO,O,O,X,O,O,X,O,O,O,X
TLZISOJ,O,O,X,O,O,X,O,O,X,X
TLZIOJS,O,O,X,O,X,O,X,X,O,X
TLZIOSJ,O,O,X,O,X,X,X,X,X,X
TLZJISO,O,O,X,O,O,X,O,X,O,X
TLZJIOS,O,O,X,O,X,O,X,X,O,X
TLZJSIO,O,O,X,O,O,X,O,O,X,X
TLZJSOI,O,O,X,O,O,X,O,O,X,X
TLZJOIS,O,O,X,O,X,O,X,X,X,X
TLZJOSI,O,O,X,O,X,X,X,X,X,X
TLZSIJO,O,O,X,O,O,X,O,O,O,X
TLZSIOJ,O,O,X,O,O,X,O,O,X,O
TLZSJIO,O,O,X,O,O,X,O,O,X,X
TLZSJOI,O,O,X,O,O,X,O,O,X,X
TLZSOIJ,O,O,X,O,O,X,O,O,X,O
TLZSOJI,O,O,X,O,O,X,O,O,X,O
TLZOIJS,O,O,X,O,X,O,X,X,O,X
TLZOISJ,O,O,X,O,X,X,X,X,X,X
TLZOJIS,O,O,X,O,X,O,X,X,X,X
TLZOJSI,O,O,X,O,X,X,X,X,X,X
TLZOSIJ,O,O,X,O,X,X,X,O,X,O
TLZOSJI,O,O,X,O,X,X,X,O,X,O
TLOIJSZ,O,X,X,O,X,X,X,X,X,X
TLOIJZS,O,O,X,O,X,X,X,X,X,X
TLOISJZ,O,X,X,O,X,X,X,X,X,X
TLOISZJ,O,X,X,O,X,X,X,X,X,X
TLOIZJS,O,O,X,O,X,X,X,X,X,X
TLOIZSJ,O,O,X,O,X,X,X,X,X,X
TLOJISZ,O,X,X,O,X,X,X,X,X,X
TLOJIZS,O,O,X,O,X,X,X,X,X,X
TLOJSIZ,O,X,X,O,X,X,X,X,X,X
TLOJSZI,O,X,X,O,X,X,X,X,X,X
TLOJZIS,O,O,X,O,X,X,X,X,X,X
TLOJZSI,O,O,X,O,X,X,X,X,X,X
TLOSIJZ,O,X,X,O,X,X,X,X,X,X
TLOSIZJ,O,X,X,O,X,X,X,X,X,X
TLOSJIZ,O,X,X,O,X,X,X,X,X,X
TLOSJZI,O,X,X,O,X,X,X,X,X,X
TLOSZIJ,O,X,X,O,X,X,X,X,X,X
TLOSZJI,O,X,X,O,X,X,X,X,X,X
TLOZIJS,O,O,X,O,X,X,X,X,X,X
TLOZISJ,O,O,X,O,X,X,X,X,X,X
TLOZJIS,O,O,X,O,X,X,X,X,X,X
TLOZJSI,O,O,X,O,X,X,X,X,X,X
TLOZSIJ,O,O,X,O,X,X,X,X,X,O
TLOZSJI,O,O,X,O,X,X,X,X,X,O
TJILSZO,O,O,X,O,X,X,X,X,X,X
TJILSOZ,X,O,X,O,X,X,X,X,X,X
TJILZSO,O,O,X,O,O,X,O,X,O,X
TJILZOS,O,O,X,O,X,O,X,X,O,X
TJILOSZ,O,X,X,O,X,X,X,X,X,X
TJILOZS,O,O,X,O,X,X,X,X,X,X
TJISLZO,O,O,X,X,X,X,X,X,X,X
TJISLOZ,X,O,X,X,X,X,X,X,X,X
TJISZLO,O,O,X,X,O,X,O,X,O,X
TJISZOL,O,O,X,X,O,O,O,X,X,X
TJISOLZ,O,O,X,X,X,X,X,X,X,X
TJISOZL,O,O,O,X,O,X,X,X,X,X
TJIZLSO,O,O,X,O,O,X,O,X,O,X
TJIZLOS,O,X,X,O,X,O,X,X,O,X
TJIZSLO,O,O,X,O,O,X,O,X,O,X
TJIZSOL,O,O,X,O,O,O,O,X,X,X
TJIZOLS,O,X,O,O,X,O,X,X,O,X
TJIZOSL,O,O,O,O,O,O,O,X,X,X
TJIOLSZ,O,X,X,X,X,X,X,X,X,X
TJIOLZS,O,X,X,O,X,X,X,X,X,X
TJIOSLZ,O,X,X,X,X,X,X,X,X,X
TJIOSZL,O,X,O,O,X,X,X,X,X,X
TJIOZLS,O,X,O,O,X,O,X,X,O,X
TJIOZSL,O,X,O,O,O,O,O,X,X,X
TJLISZO,O,O,X,O,X,X,X,X,X,X
TJLISOZ,X,O,X,O,X,X,X,X,X,X
TJLIZSO,O,O,X,O,O,X,O,X,X,X
TJLIZOS,O,O,X,O,X,O,X,X,X,X
TJLIOSZ,O,X,X,O,X,X,X,X,X,X
TJLIOZS,O,O,X,O,X,X,X,X,X,X
TJLSIZO,O,O,X,O,X,X,X,X,X,X
TJLSIOZ,X,O,X,O,X,X,X,X,X,X
TJLSZIO,O,O,X,O,X,X,X,X,X,X
TJLSZOI,O,O,X,O,X,X,X,X,X,X
TJLSOIZ,X,O,X,O,X,X,X,X,X,X
TJLSOZI,X,O,X,O,X,X,X,X,X,X
TJLZISO,O,O,X,O,O,X,O,X,X,X
TJLZIOS,O,O,X,O,X,O,X,X,X,X
TJLZSIO,O,O,X,O,O,X,O,X,X,X
TJLZSOI,O,O,X,O,O,X,O,X,X,X
TJLZOIS,O,O,X,O,X,O,X,X,X,X
TJLZOSI,O,O,X,O,X,X,X,X,X,X
TJLOISZ,O,X,X,O,X,X,X,X,X,X
TJLOIZS,O,O,X,O,X,X,X,X,X,X
TJLOSIZ,O,X,X,O,X,X,X,X,X,X
TJLOSZI,O,X,X,O,X,X,X,X,X,X
TJLOZIS,O,O,X,O,X,X,X,X,X,X
TJLOZSI,O,O,X,O,X,X,X,X,X,X
TJSILZO,O,O,X,X,X,X,X,O,X,X
TJSILOZ,X,O,X,X,X,X,X,X,X,X
TJSIZLO,O,O,X,X,O,X,O,O,X,X
TJSIZOL,O,O,X,X,O,O,O,O,X,X
TJSIOLZ,O,O,X,X,X,X,X,X,X,X
TJSIOZL,O,O,O,X,O,X,X,O,X,X
TJSLIZO,O,O,X,X,X,X,X,O,X,X
TJSLIOZ,X,O,X,X,X,X,X,X,X,X
TJSLZIO,O,O,X,X,X,X,X,O,X,X
TJSLZOI,O,O,X,X,X,X,X,O,X,X
TJSLOIZ,X,O,X,X,X,X,X,X,X,X
TJSLOZI,X,O,X,X,X,X,X,X,X,X
TJSZILO,O,O,X,X,O,X,O,O,X,X
TJSZIOL,O,O,X,X,O,O,O,O,X,X
TJSZLIO,O,O,X,X,O,X,O,O,X,X
TJSZLOI,O,O,X,X,O,X,O,O,X,X
TJSZOIL,O,O,X,X,O,O,O,O,X,X
TJSZOLI,O,O,X,X,O,X,O,O,X,X
TJSOILZ,O,O,X,X,X,X,X,X,X,X
TJSOIZL,O,O,O,X,O,X,X,O,X,X
TJSOLIZ,O,O,X,X,X,X,X,X,X,X
TJSOLZI,O,O,X,X,X,X,X,X,X,X
TJSOZIL,O,O,O,X,O,X,X,O,X,X
TJSOZLI,O,O,O,X,O,X,X,O,X,X
TJZILSO,O,O,X,O,O,X,O,X,O,X
TJZILOS,O,X,X,O,X,O,X,X,O,X
TJZISLO,O,O,X,O,O,X,O,X,O,X
TJZISOL,O,O,X,O,O,O,O,X,X,X
TJZIOLS,O,X,O,O,X,O,X,X,O,X
TJZIOSL,O,O,O,O,O,O,O,X,X,X
TJZLISO,O,O,X,O,O,X,O,X,O,X
TJZLIOS,O,X,X,O,X,O,X,X,O,X
TJZLSIO,O,O,X,O,O,X,O,O,X,X
TJZLSOI,O,O,X,O,O,X,O,O,X,X
TJZLOIS,O,X,X,O,X,O,X,X,X,X
TJZLOSI,O,X,X,O,X,X,X,X,X,X
TJZSILO,O,O,X,O,O,X,O,O,X,X
TJZSIOL,O,O,X,O,O,O,O,O,X,O
TJZSLIO,O,O,X,O,O,X,O,O,X,X
TJZSLOI,O,O,X,O,O,X,O,O,X,X
TJZSOIL,O,O,X,O,O,O,O,O,X,O
TJZSOLI,O,O,X,O,O,X,O,O,X,O
TJZOILS,O,X,O,O,X,O,X,X,X,X
TJZOISL,O,O,O,O,O,O,O,X,X,X
TJZOLIS,O,X,O,O,X,O,X,X,X,X
TJZOLSI,O,X,O,O,X,X,X,X,X,X
TJZOSIL,O,O,O,O,O,O,O,X,X,O
TJZOSLI,O,O,O,O,O,X,O,X,X,O
TJOILSZ,O,X,X,X,X,X,X,X,X,X
TJOILZS,O,X,X,O,X,X,X,X,X,X
TJOISLZ,O,X,X,X,X,X,X,X,X,X
TJOISZL,O,X,O,O,X,X,X,X,X,X
TJOIZLS,O,X,O,O,X,O,X,X,X,X
TJOIZSL,O,X,O,O,O,O,O,X,X,X
TJOLISZ,O,X,X,X,X,X,X,X,X,X
TJOLIZS,O,X,X,O,X,X,X,X,X,X
TJOLSIZ,O,X,X,X,X,X,X,X,X,X
TJOLSZI,O,X,X,X,X,X,X,X,X,X
TJOLZIS,O,X,X,O,X,X,X,X,X,X
TJOLZSI,O,X,X,O,X,X,X,X,X,X
TJOSILZ,O,X,X,X,X,X,X,X,X,X
TJOSIZL,O,X,O,O,X,X,X,X,X,X
TJOSLIZ,O,X,X,X,X,X,X,X,X,X
TJOSLZI,O,X,X,X,X,X,X,X,X,X
TJOSZIL,O,X,O,O,X,X,X,X,X,X
TJOSZLI,O,X,O,O,X,X,X,X,X,X
TJOZILS,O,X,O,O,X,O,X,X,X,X
TJOZISL,O,X,O,O,O,O,O,X,X,X
TJOZLIS,O,X,O,O,X,O,X,X,X,X
TJOZLSI,O,X,O,O,X,X,X,X,X,X
TJOZSIL,O,X,O,O,O,O,O,X,X,O
TJOZSLI,O,X,O,O,O,X,O,X,X,O
TSILJZO,O,O,X,X,X,X,X,O,X,X
TSILJOZ,X,O,X,X,X,X,X,X,X,X
TSILZJO,O,O,X,X,X,X,X,O,X,X
TSILZOJ,O,O,X,X,X,X,X,O,X,X
TSILOJZ,X,O,X,X,X,X,X,X,X,X
TSILOZJ,X,O,X,X,X,X,X,X,X,X
TSIJLZO,O,O,X,X,X,X,X,O,X,X
TSIJLOZ,X,O,X,X,X,X,X,X,X,X
TSIJZLO,O,O,X,X,O,X,O,O,O,X
TSIJZOL,O,O,X,X,O,O,O,O,X,X
TSIJOLZ,O,O,X,X,X,X,X,X,X,X
TSIJOZL,O,O,O,X,O,X,X,O,X,X
TSIZLJO,O,O,X,X,O,X,O,O,O,X
TSIZLOJ,O,O,X,X,O,X,O,O,X,X
TSIZJLO,O,O,X,X,O,X,O,O,O,X
TSIZJOL,O,O,X,X,O,O,O,O,X,X
TSIZOLJ,O,O,X,X,O,X,O,O,X,X
TSIZOJL,O,O,X,X,O,O,O,O,X,X
TSIOLJZ,O,O,X,X,X,X,X,X,X,X
TSIOLZJ,O,O,X,X,X,X,X,X,X,X
TSIOJLZ,O,O,X,X,X,X,X,X,X,X
TSIOJZL,O,O,O,X,O,X,X,O,X,X
TSIOZLJ,O,O,O,X,O,X,X,O,X,X
TSIOZJL,O,O,O,X,O,X,X,O,X,X
TSLIJZO,O,O,X,X,X,X,X,O,X,X
TSLIJOZ,X,O,X,X,X,X,X,X,X,X
TSLIZJO,O,O,X,X,X,X,X,O,X,X
TSLIZOJ,O,O,X,X,X,X,X,O,X,X
TSLIOJZ,X,O,X,X,X,X,X,X,X,X
TSLIOZJ,X,O,X,X,X,X,X,X,X,X
TSLJIZO,O,O,X,X,X,X,X,O,X,X
TSLJIOZ,X,O,X,X,X,X,X,X,X,X
TSLJZIO,O,O,X,X,X,X,X,O,X,X
TSLJZOI,O,O,X,X,X,X,X,O,X,X
TSLJOIZ,X,O,X,X,X,X,X,X,X,X
TSLJOZI,X,O,X,X,X,X,X,X,X,X
TSLZIJO,O,O,X,X,X,X,X,O,X,X
TSLZIOJ,O,O,X,X,X,X,X,O,X,X
TSLZJIO,O,O,X,X,X,X,X,O,X,X
TSLZJOI,O,O,X,X,X,X,X,O,X,X
TSLZOIJ,O,O,X,X,X,X,X,O,X,X
TSLZOJI,O,O,X,X,X,X,X,O,X,X
TSLOIJZ,X,O,X,X,X,X,X,X,X,X
TSLOIZJ,X,O,X,X,X,X,X,X,X,X
TSLOJIZ,X,O,X,X,X,X,X,X,X,X
TSLOJZI,X,O,X,X,X,X,X,X,X,X
TSLOZIJ,X,O,X,X,X,X,X,X,X,X
TSLOZJI,X,O,X,X,X,X,X,X,X,X
TSJILZO,O,O,X,X,X,X,X,O,X,X
TSJILOZ,X,O,X,X,X,X,X,X,X,X
TSJIZLO,O,O,X,X,O,X,O,O,X,X
TSJIZOL,O,O,X,X,O,O,O,O,X,X
TSJIOLZ,O,O,X,X,X,X,X,X,X,X
TSJIOZL,O,O,O,X,O,X,X,O,X,X
TSJLIZO,O,O,X,X,X,X,X,O,X,X
TSJLIOZ,X,O,X,X,X,X,X,X,X,X
TSJLZIO,O,O,X,X,X,X,X,O,X,X
TSJLZOI,O,O,X,X,X,X,X,O,X,X
TSJLOIZ,X,O,X,X,X,X,X,X,X,X
TSJLOZI,X,O,X,X,X,X,X,X,X,X
TSJZILO,O,O,X,X,O,X,O,O,X,X
TSJZIOL,O,O,X,X,O,O,O,O,X,X
TSJZLIO,O,O,X,X,O,X,O,O,X,X
TSJZLOI,O,O,X,X,O,X,O,O,X,X
TSJZOIL,O,O,X,X,O,O,O,O,X,X
TSJZOLI,O,O,X,X,O,X,O,O,X,X
TSJOILZ,O,O,X,X,X,X,X,X,X,X
TSJOIZL,O,O,O,X,O,X,X,O,X,X
TSJOLIZ,O,O,X,X,X,X,X,X,X,X
TSJOLZI,O,O,X,X,X,X,X,X,X,X
TSJOZIL,O,O,O,X,O,X,X,O,X,X
TSJOZLI,O,O,O,X,O,X,X,O,X,X
TSZILJO,O,O,X,X,O,X,O,O,O,X
TSZILOJ,O,O,X,X,O,X,O,O,X,O
TSZIJLO,O,O,X,X,O,X,O,O,O,X
TSZIJOL,O,O,X,X,O,O,O,O,X,O
TSZIOLJ,O,O,X,X,O,X,O,O,X,O
TSZIOJL,O,O,X,X,O,O,O,O,X,O
TSZLIJO,O,O,X,X,O,X,O,O,O,X
TSZLIOJ,O,O,X,X,O,X,O,O,X,O
TSZLJIO,O,O,X,X,O,X,O,O,X,X
TSZLJOI,O,O,X,X,O,X,O,O,X,X
TSZLOIJ,O,O,X,X,O,X,O,O,X,O
TSZLOJI,O,O,X,X,O,X,O,O,X,O
TSZJILO,O,O,X,X,O,X,O,O,X,X
TSZJIOL,O,O,X,X,O,O,O,O,X,O
TSZJLIO,O,O,X,X,O,X,O,O,X,X
TSZJLOI,O,O,X,X,O,X,O,O,X,X
TSZJOIL,O,O,X,X,O,O,O,O,X,O
TSZJOLI,O,O,X,X,O,X,O,O,X,O
TSZOILJ,O,O,X,X,O,X,O,O,X,O
TSZOIJL,O,O,X,X,O,O,O,O,X,O
TSZOLIJ,O,O,X,X,O,X,O,O,X,O
TSZOLJI,O,O,X,X,O,X,O,O,X,O
TSZOJIL,O,O,X,X,O,O,O,O,X,O
TSZOJLI,O,O,X,X,O,X,O,O,X,O
TSOILJZ,O,O,X,X,X,X,X,X,X,X
TSOILZJ,O,O,X,X,X,X,X,X,X,X
TSOIJLZ,O,O,X,X,X,X,X,X,X,X
