sequence,v115@GhA8GeC8BeA8EeB8AeB8DeC8Jei/IvhF3gBRiBcpBT?mBNsBWwB,v115@GhA8GeC8BeA8EeB8AeB8DeC8Je0/IvhFxgBiiBNpBG?mBzqBXsB,v115@GhA8GeC8BeA8EeB8AeB8DeC8JeZEJvhFukB9mBiiB0?lBXsBzqB,v115@GhA8GeC8BeA8EeB8AeB8DeC8JeZEJvhFtkB0gBmhBq?rB3nBzqB,v115@GhA8GeC8BeA8EeB8AeB8DeC8Je0/IvhF6lBmhBNpBT?mB3nBRwB,v115@GhA8GeC8BeA8EeB8AeB8DeC8Je9FJvhFOmB8mBTkB3?nBipBRwB
TJOISZL,O,O,X,X,X,O
TJOIZLS,O,O,X,O,X,O
TJOIZSL,O,O,X,X,X,O
TJOLISZ,O,O,X,O,X,X
TJOLIZS,O,O,X,O,X,X
TJOLSIZ,O,O,X,O,X,X
TJOLSZI,O,O,X,O,X,X
TJOLZIS,O,O,X,O,X,X
TJOLZSI,O,O,X,O,X,X
TJOSILZ,O,O,X,X,X,X
TJOSIZL,O,O,X,X,X,X
TJOSLIZ,O,O,X,X,X,X
TJOSLZI,O,O,X,X,X,X
TJOSZIL,O,O,X,X,X,X
TJOSZLI,O,O,X,X,X,X
TJOZILS,O,O,X,O,X,X
TJOZISL,O,O,X,X,X,X
TJOZLIS,O,O,X,O,X,X
TJOZLSI,O,O,X,O,X,X
TJOZSIL,O,O,X,X,X,X
TJOZSLI,O,O,X,X,X,X
TSILJZO,X,O,O,O,X,X
TSILJOZ,X,O,O,X,X,X
TSILZJO,O,O,O,O,X,X
TSILZOJ,O,O,O,X,O,X
TSILOJZ,X,O,O,O,O,X
TSILOZJ,X,O,O,O,O,X
TSIJLZO,O,O,O,X,X,X
TSIJLOZ,X,O,O,X,X,X
TSIJZLO,O,O,O,X,X,X
TSIJZOL,O,O,O,X,X,O
TSIJOLZ,X,O,O,X,X,X
TSIJOZL,O,O,O,X,X,O
TSIZLJO,O,O,O,O,X,X
TSIZLOJ,O,O,O,X,O,X
TSIZJLO,O,O,O,X,X,X
TSIZJOL,O,O,O,X,X,O
TSIZOLJ,O,O,O,O,O,X
TSIZOJL,X,O,O,X,O,O
TSIOLJZ,X,O,O,O,O,X
TSIOLZJ,X,O,O,O,O,X
TSIOJLZ,X,O,O,X,O,X
