sequence,v115@PhC8FeE8DeD8JeT/IvhFcmBenBCjBXlBllBxvB,v115@PhC8FeE8DeD8JeT/IvhF/lBWnBxiBUqBlrBarB,v115@PhC8FeE8DeD8JeT/IvhFelBRhBCjB8rB3qBFrB,v115@PhC8FeE8DeD8Je/EJvhFzgBWnBxiB0qBlrBaqB,v115@PhC8FeE8DeD8Je/EJvhFUgBxiBKrBFnBGmBTqB,v115@PhC8FeE8DeD8JeyEJvhFXhBxiBFnB0kB+qBTrB,v115@PhC8FeE8DeD8Je2EJvhFXhBxiBFnBSqBTrBUqB
TIOLJSZ,O,X,X,X,O,O,O
TIOLJZS,O,O,X,O,X,X,X
TIOLSJZ,O,X,X,X,O,O,O
TIOLSZJ,X,X,X,X,O,O,X
TIOLZJS,X,O,X,O,X,X,X
TIOLZSJ,X,O,X,O,O,O,X
TIOJLSZ,O,X,X,X,O,O,O
TIOJLZS,O,O,X,O,X,X,X
TIOJSLZ,O,X,X,X,O,O,O
TIOJSZL,O,O,X,O,O,X,O
TIOJZLS,O,O,X,O,X,X,X
TIOJZSL,O,O,X,O,X,X,O
TIOSLJZ,O,X,X,X,O,O,O
TIOSLZJ,X,X,X,X,O,O,X
TIOSJLZ,O,X,X,X,O,O,O
TIOSJZL,O,O,X,O,O,X,O
TIOSZLJ,X,O,X,O,O,O,X
TIOSZJL,O,O,X,O,O,X,O
TIOZLJS,X,O,X,O,X,X,X
TIOZLSJ,X,O,X,O,O,O,X
TIOZJLS,O,O,X,O,X,X,X
TIOZJSL,O,O,X,O,X,X,O
TIOZSLJ,X,O,X,O,O,O,X
TIOZSJL,O,O,X,O,O,X,O
TLIJSZO,O,X,X,O,O,O,X
TLIJSOZ,O,X,X,X,O,O,O
TLIJZSO,O,O,X,O,X,X,X
TLIJZOS,O,O,X,O,X,X,X
TLIJOSZ,O,X,X,X,O,O,O
TLIJOZS,O,O,X,O,X,X,X
TLISJZO,O,X,X,O,O,O,X
TLISJOZ,O,X,X,X,O,O,O
TLISZJO,X,X,X,O,O,O,X
TLISZOJ,X,X,X,O,O,X,X
TLISOJZ,O,X,X,X,O,O,X
TLISOZJ,X,X,X,X,O,O,X
TLIZJSO,X,O,X,O,X,X,X
TLIZJOS,X,O,X,O,X,X,X
TLIZSJO,X,O,X,O,O,O,X
TLIZSOJ,X,O,X,O,O,X,X
TLIZOJS,X,O,X,O,X,X,X
TLIZOSJ,X,O,X,O,O,O,X
TLIOJSZ,O,X,X,X,O,O,O
TLIOJZS,O,O,X,O,X,X,X
TLIOSJZ,O,X,X,X,O,O,O
TLIOSZJ,X,X,X,X,O,O,X
TLIOZJS,X,O,X,O,X,X,X
TLIOZSJ,X,O,X,O,O,O,X
TLJISZO,O,X,X,O,O,O,X
TLJISOZ,O,X,X,X,O,O,O
TLJIZSO,O,O,X,O,X,X,X
TLJIZOS,O,O,X,O,X,X,X
TLJIOSZ,O,X,X,X,O,O,O
TLJIOZS,O,O,X,O,X,X,X
TLJSIZO,X,X,X,O,O,O,X
TLJSIOZ,X,X,X,X,O,O,O
TLJSZIO,X,X,O,O,O,O,X
TLJSZOI,O,X,O,O,O,O,X
TLJSOIZ,X,X,X,X,O,O,O
TLJSOZI,O,X,O,X,O,O,O
TLJZISO,O,O,X,O,X,X,X
TLJZIOS,O,O,O,O,X,X,X
TLJZSIO,X,O,O,O,X,X,X
TLJZSOI,O,O,O,O,X,X,X
TLJZOIS,O,O,O,O,X,X,X
TLJZOSI,O,O,O,O,X,X,X
TLJOISZ,O,X,X,X,O,O,O
TLJOIZS,O,O,X,O,X,X,X
TLJOSIZ,X,X,X,X,O,O,O
TLJOSZI,O,X,O,X,O,O,O
TLJOZIS,O,O,O,O,X,X,X
TLJOZSI,O,O,O,O,X,X,X
TLSIJZO,O,X,X,O,O,O,X
TLSIJOZ,O,X,X,X,O,O,O
TLSIZJO,X,X,X,O,O,O,X
TLSIZOJ,X,X,X,O,O,X,X
TLSIOJZ,O,X,X,X,O,O,X
TLSIOZJ,X,X,X,X,O,O,X
TLSJIZO,X,X,X,O,O,O,X
TLSJIOZ,X,X,X,X,O,O,O
TLSJZIO,X,X,O,O,O,O,X
TLSJZOI,O,X,O,O,O,O,X
TLSJOIZ,X,X,X,X,O,O,O
TLSJOZI,O,X,O,X,O,O,O
TLSZIJO,X,X,O,O,O,O,X
TLSZIOJ,X,X,X,O,O,X,X
TLSZJIO,X,X,O,O,O,O,X
TLSZJOI,X,X,O,O,O,O,X
TLSZOIJ,X,X,X,O,O,X,X
TLSZOJI,X,X,O,O,O,X,X
TLSOIJZ,O,X,X,X,O,O,X
TLSOIZJ,X,X,X,X,O,O,X
TLSOJIZ,X,X,X,X,O,O,X
TLSOJZI,O,X,O,X,O,O,X
TLSOZIJ,X,X,X,X,O,O,X
TLSOZJI,X,X,O,X,O,O,X
TLZIJSO,X,O,X,O,X,X,X
TLZIJOS,X,O,O,O,X,X,X
TLZISJO,X,O,O,O,O,O,X
TLZISOJ,X,O,X,O,O,X,X
TLZIOJS,X,O,X,O,X,X,X
TLZIOSJ,X,O,X,O,O,O,X
TLZJISO,X,O,X,O,X,X,X
TLZJIOS,X,O,O,O,X,X,X
TLZJSIO,X,O,O,O,X,X,X
TLZJSOI,X,O,O,O,X,X,X
TLZJOIS,X,O,O,O,X,X,X
TLZJOSI,X,O,O,O,X,X,X
TLZSIJO,X,O,O,O,O,O,X
TLZSIOJ,X,O,X,O,O,X,X
TLZSJIO,X,O,O,O,O,O,X
TLZSJOI,X,O,O,O,O,O,X
TLZSOIJ,X,O,X,O,O,X,X
TLZSOJI,X,O,O,O,O,X,X
TLZOIJS,X,O,X,O,X,X,X
TLZOISJ,X,O,X,O,O,O,X
TLZOJIS,X,O,O,O,X,X,X
TLZOJSI,X,O,O,O,X,X,X
TLZOSIJ,X,O,X,O,O,O,X
TLZOSJI,X,O,O,O,O,O,X
TLOIJSZ,O,X,X,X,O,O,O
TLOIJZS,O,O,X,O,X,X,X
TLOISJZ,O,X,X,X,O,O,O
TLOISZJ,X,X,X,X,O,O,X
TLOIZJS,X,O,X,O,X,X,X
TLOIZSJ,X,O,X,O,O,O,X
TLOJISZ,O,X,X,X,O,O,O
TLOJIZS,O,O,X,O,X,X,X
TLOJSIZ,X,X,X,X,O,O,O
TLOJSZI,O,X,O,X,O,O,O
TLOJZIS,O,O,O,O,X,X,X
TLOJZSI,O,O,O,O,X,X,X
TLOSIJZ,O,X,X,X,O,O,O
TLOSIZJ,X,X,X,X,O,O,X
TLOSJIZ,X,X,X,X,O,O,O
TLOSJZI,O,X,O,X,O,O,O
TLOSZIJ,X,X,X,X,O,O,X
TLOSZJI,X,X,O,X,O,O,X
TLOZIJS,X,O,X,O,X,X,X
TLOZISJ,X,O,X,O,O,O,X
TLOZJIS,X,O,O,O,X,X,X
TLOZJSI,X,O,O,O,X,X,X
TLOZSIJ,X,O,X,O,O,O,X
TLOZSJI,X,O,O,O,O,O,X
TJILSZO,O,X,X,O,O,O,X
TJILSOZ,O,X,X,X,O,O,O
TJILZSO,O,O,X,O,X,X,X
TJILZOS,O,O,X,O,X,X,X
TJILOSZ,O,X,X,X,O,O,O
TJILOZS,O,O,X,O,X,X,X
TJISLZO,O,X,X,O,O,O,X
TJISLOZ,O,X,X,X,O,O,O
TJISZLO,O,O,X,O,O,X,X
TJISZOL,O,O,X,O,X,X,O
TJISOLZ,O,X,X,X,O,X,O
TJISOZL,O,O,X,O,O,X,O
TJIZLSO,O,O,X,O,X,X,X
TJIZLOS,O,O,X,O,X,X,X
TJIZSLO,O,O,X,O,X,X,X
TJIZSOL,O,O,X,O,X,X,O
TJIZOLS,O,O,X,O,X,X,X
TJIZOSL,O,O,X,O,X,X,O
TJIOLSZ,O,X,X,X,O,O,O
TJIOLZS,O,O,X,O,X,X,X
TJIOSLZ,O,X,X,X,O,O,O
TJIOSZL,O,O,X,O,O,X,O
TJIOZLS,O,O,X,O,X,X,X
TJIOZSL,O,O,X,O,X,X,O
TJLISZO,O,X,X,O,O,O,X
TJLISOZ,O,X,X,X,O,O,O
TJLIZSO,O,O,X,O,X,X,X
TJLIZOS,O,O,X,O,X,X,X
TJLIOSZ,O,X,X,X,O,O,O
TJLIOZS,O,O,X,O,X,X,X
TJLSIZO,X,X,X,O,O,O,X
TJLSIOZ,X,X,X,X,O,O,O
TJLSZIO,X,X,O,O,O,O,X
TJLSZOI,O,X,O,O,O,O,X
TJLSOIZ,X,X,X,X,O,O,O
TJLSOZI,O,X,O,X,O,O,O
TJLZISO,O,O,X,O,X,X,X
TJLZIOS,O,O,O,O,X,X,X
TJLZSIO,X,O,O,O,X,X,X
TJLZSOI,O,O,O,O,X,X,X
TJLZOIS,O,O,O,O,X,X,X
TJLZOSI,O,O,O,O,X,X,X
TJLOISZ,O,X,X,X,O,O,O
TJLOIZS,O,O,X,O,X,X,X
TJLOSIZ,X,X,X,X,O,O,O
TJLOSZI,O,X,O,X,O,O,O
TJLOZIS,O,O,O,O,X,X,X
TJLOZSI,O,O,O,O,X,X,X
TJSILZO,X,X,X,O,O,O,X
TJSILOZ,X,X,X,X,O,O,O
TJSIZLO,X,O,X,O,O,X,X
TJSIZOL,X,O,X,O,X,X,O
TJSIOLZ,X,X,X,X,O,X,O
TJSIOZL,X,O,X,O,O,X,O
TJSLIZO,X,X,X,O,O,O,X
TJSLIOZ,X,X,X,X,O,O,O
TJSLZIO,X,X,O,O,O,O,X
TJSLZOI,O,X,O,O,O,O,X
TJSLOIZ,X,X,X,X,O,O,O
TJSLOZI,O,X,O,X,O,O,O
TJSZILO,X,O,O,O,O,X,X
TJSZIOL,X,O,O,O,X,X,O
TJSZLIO,X,O,O,O,O,X,X
TJSZLOI,O,O,O,O,O,X,X
TJSZOIL,X,O,O,O,X,X,O
TJSZOLI,O,O,O,O,X,X,O
TJSOILZ,X,X,X,X,O,X,O
TJSOIZL,X,O,X,O,O,X,O
TJSOLIZ,X,X,X,X,O,X,O
TJSOLZI,O,X,O,X,O,X,O
TJSOZIL,X,O,O,O,O,X,O
TJSOZLI,O,O,O,O,O,X,O
TJZILSO,O,O,X,O,X,X,X
TJZILOS,O,O,O,O,X,X,X
TJZISLO,O,O,X,O,X,X,X
TJZISOL,O,O,X,O,X,X,O
TJZIOLS,O,O,O,O,X,X,X
TJZIOSL,O,O,X,O,X,X,O
TJZLISO,O,O,X,O,X,X,X
TJZLIOS,O,O,O,O,X,X,X
TJZLSIO,X,O,O,O,X,X,X
TJZLSOI,O,O,O,O,X,X,X
TJZLOIS,O,O,O,O,X,X,X
TJZLOSI,O,O,O,O,X,X,X
TJZSILO,X,O,O,O,X,X,X
TJZSIOL,X,O,O,O,X,X,O
TJZSLIO,X,O,O,O,X,X,X
TJZSLOI,O,O,O,O,X,X,X
TJZSOIL,X,O,O,O,X,X,O
TJZSOLI,O,O,O,O,X,X,O
TJZOILS,O,O,O,O,X,X,X
TJZOISL,O,O,X,O,X,X,O
TJZOLIS,O,O,O,O,X,X,X
TJZOLSI,O,O,O,O,X,X,X
TJZOSIL,X,O,O,O,X,X,O
TJZOSLI,O,O,O,O,X,X,O
TJOILSZ,O,X,X,X,O,O,O
TJOILZS,O,O,X,O,X,X,X
TJOISLZ,O,X,X,X,O,O,O
TJOISZL,O,O,X,O,O,X,O
TJOIZLS,O,O,X,O,X,X,X
TJOIZSL,O,O,X,O,X,X,O
TJOLISZ,O,X,X,X,O,O,O
TJOLIZS,O,O,X,O,X,X,X
TJOLSIZ,X,X,X,X,O,O,O
TJOLSZI,O,X,O,X,O,O,O
TJOLZIS,O,O,O,O,X,X,X
TJOLZSI,O,O,O,O,X,X,X
TJOSILZ,X,X,X,X,O,O,O
TJOSIZL,X,O,X,O,O,X,O
TJOSLIZ,X,X,X,X,O,O,O
TJOSLZI,O,X,O,X,O,O,O
TJOSZIL,X,O,O,O,O,X,O
TJOSZLI,O,O,O,O,O,X,O
TJOZILS,O,O,O,O,X,X,X
TJOZISL,O,O,X,O,X,X,O
TJOZLIS,O,O,O,O,X,X,X
TJOZLSI,O,O,O,O,X,X,X
TJOZSIL,X,O,O,O,X,X,O
TJOZSLI,O,O,O,O,X,X,O
TSILJZO,O,X,X,O,O,O,X
TSILJOZ,O,X,X,X,O,O,O
TSILZJO,X,X,X,O,O,O,X
TSILZOJ,X,X,X,O,O,X,X
TSILOJZ,O,X,X,X,O,O,X
TSILOZJ,X,X,X,X,O,O,X
TSIJLZO,O,X,X,O,O,O,X
TSIJLOZ,O,X,X,X,O,O,O
TSIJZLO,O,O,X,O,O,X,X
TSIJZOL,O,O,X,O,X,X,O
TSIJOLZ,O,X,X,X,O,X,O
TSIJOZL,O,O,X,O,O,X,O
TSIZLJO,X,O,X,O,O,O,X
TSIZLOJ,X,O,X,O,O,X,X
TSIZJLO,O,O,X,O,O,X,X
TSIZJOL,O,O,X,O,X,X,O
TSIZOLJ,X,O,X,O,O,X,X
TSIZOJL,O,O,X,O,O,X,X
TSIOLJZ,O,X,X,X,O,O,O
TSIOLZJ,X,X,X,X,O,O,X
TSIOJLZ,O,X,X,X,O,O,O
TSIOJZL,O,O,X,O,O,X,O
TSIOZLJ,X,O,X,O,O,O,X
TSIOZJL,O,O,X,O,O,X,O
TSLIJZO,O,X,X,O,O,O,X
TSLIJOZ,O,X,X,X,O,O,O
TSLIZJO,X,X,X,O,O,O,X
TSLIZOJ,X,X,X,O,O,X,X
TSLIOJZ,O,X,X,X,O,O,X
TSLIOZJ,X,X,X,X,O,O,X
TSLJIZO,X,X,X,O,O,O,X
TSLJIOZ,X,X,X,X,O,O,O
TSLJZIO,X,X,O,O,O,O,X
TSLJZOI,O,X,O,O,O,O,X
TSLJOIZ,X,X,X,X,O,O,O
TSLJOZI,O,X,O,X,O,O,O
TSLZIJO,X,X,O,O,O,O,X
TSLZIOJ,X,X,X,O,O,X,X
TSLZJIO,X,X,O,O,O,O,X
TSLZJOI,X,X,O,O,O,O,X
TSLZOIJ,X,X,X,O,O,X,X
TSLZOJI,X,X,O,O,O,X,X
TSLOIJZ,O,X,X,X,O,O,X
TSLOIZJ,X,X,X,X,O,O,X
TSLOJIZ,X,X,X,X,O,O,X
TSLOJZI,O,X,O,X,O,O,X
TSLOZIJ,X,X,X,X,O,O,X
TSLOZJI,X,X,O,X,O,O,X
TSJILZO,X,X,X,O,O,O,X
TSJILOZ,X,X,X,X,O,O,O
TSJIZLO,X,O,X,O,O,X,X
TSJIZOL,X,O,X,O,X,X,O
TSJIOLZ,X,X,X,X,O,X,O
TSJIOZL,X,O,X,O,O,X,O
TSJLIZO,X,X,X,O,O,O,X
TSJLIOZ,X,X,X,X,O,O,O
TSJLZIO,X,X,O,O,O,O,X
TSJLZOI,O,X,O,O,O,O,X
TSJLOIZ,X,X,X,X,O,O,O
TSJLOZI,O,X,O,X,O,O,O
TSJZILO,X,O,O,O,O,X,X
TSJZIOL,X,O,O,O,X,X,O
TSJZLIO,X,O,O,O,O,X,X
TSJZLOI,O,O,O,O,O,X,X
TSJZOIL,X,O,O,O,X,X,O
TSJZOLI,O,O,O,O,X,X,O
TSJOILZ,X,X,X,X,O,X,O
TSJOIZL,X,O,X,O,O,X,O
TSJOLIZ,X,X,X,X,O,X,O
TSJOLZI,O,X,O,X,O,X,O
TSJOZIL,X,O,O,O,O,X,O
TSJOZLI,O,O,O,O,O,X,O
TSZILJO,X,O,O,O,O,O,X
TSZILOJ,X,O,X,O,O,X,X
TSZIJLO,X,O,O,O,O,X,X
TSZIJOL,X,O,O,O,X,X,O
TSZIOLJ,X,O,X,O,O,X,X
TSZIOJL,X,O,X,O,O,X,X
TSZLIJO,X,O,O,O,O,O,X
TSZLIOJ,X,O,X,O,O,X,X
TSZLJIO,X,O,O,O,O,O,X
TSZLJOI,X,O,O,O,O,O,X
TSZLOIJ,X,O,X,O,O,X,X
TSZLOJI,X,O,O,O,O,X,X
TSZJILO,X,O,O,O,O,X,X
TSZJIOL,X,O,O,O,X,X,O
TSZJLIO,X,O,O,O,O,X,X
TSZJLOI,X,O,O,O,O,X,X
TSZJOIL,X,O,O,O,X,X,O
TSZJOLI,X,O,O,O,X,X,O
TSZOILJ,X,O,X,O,O,X,X
TSZOIJL,X,O,X,O,O,X,X
TSZOLIJ,X,O,X,O,O,X,X
TSZOLJI,X,O,O,O,O,X,X
TSZOJIL,X,O,O,O,O,X,X
TSZOJLI,X,O,O,O,O,X,X
TSOILJZ,O,X,X,X,O,O,O
TSOILZJ,X,X,X,X,O,O,X
TSOIJLZ,O,X,X,X,O,O,O
TSOIJZL,O,O,X,O,O,X,O
TSOIZLJ,X,O,X,O,O,O,X
TSOIZJL,O,O,X,O,O,X,O
TSOLIJZ,O,X,X,X,O,O,O
TSOLIZJ,X,X,X,X,O,O,X
TSOLJIZ,X,X,X,X,O,O,O
TSOLJZI,O,X,O,X,O,O,O
TSOLZIJ,X,X,X,X,O,O,X
TSOLZJI,X,X,O,X,O,O,X
TSOJILZ,X,X,X,X,O,O,O
TSOJIZL,X,O,X,O,O,X,O
TSOJLIZ,X,X,X,X,O,O,O
TSOJLZI,O,X,O,X,O,O,O
TSOJZIL,X,O,O,O,O,X,O
TSOJZLI,O,O,O,O,O,X,O
TSOZILJ,X,O,X,O,O,O,X
TSOZIJL,X,O,X,O,O,X,O
TSOZLIJ,X,O,X,O,O,O,X
TSOZLJI,X,O,O,O,O,O,X
TSOZJIL,X,O,O,O,O,X,O
TSOZJLI,X,O,O,O,O,X,O
TZILJSO,X,O,X,O,X,X,X
TZILJOS,X,O,O,O,X,X,X
TZILSJO,X,O,O,O,O,O,X
TZILSOJ,X,O,X,O,O,X,X
TZILOJS,X,O,X,O,X,X,X
TZILOSJ,X,O,X,O,O,O,X
TZIJLSO,X,O,X,O,X,X,X
TZIJLOS,X,O,O,O,X,X,X
TZIJSLO,X,O,X,O,X,X,X
TZIJSOL,X,O,X,O,X,X,O
TZIJOLS,X,O,O,O,X,X,X
TZIJOSL,X,O,X,O,X,X,O
TZISLJO,X,O,O,O,O,O,X
TZISLOJ,X,O,X,O,O,X,X
TZISJLO,X,O,O,O,O,X,X
TZISJOL,X,O,O,O,X,X,O
TZISOLJ,X,O,X,O,O,X,X
TZISOJL,X,O,X,O,O,X,X
TZIOLJS,X,O,X,O,X,X,X
TZIOLSJ,X,O,X,O,O,O,X
TZIOJLS,X,O,X,O,X,X,X
TZIOJSL,X,O,X,O,X,X,O
TZIOSLJ,X,O,X,O,O,O,X
TZIOSJL,X,O,X,O,O,X,O
TZLIJSO,X,O,X,O,X,X,X
TZLIJOS,X,O,O,O,X,X,X
TZLISJO,X,O,O,O,O,O,X
TZLISOJ,X,O,X,O,O,X,X
TZLIOJS,X,O,X,O,X,X,X
TZLIOSJ,X,O,X,O,O,O,X
TZLJISO,X,O,X,O,X,X,X
TZLJIOS,X,O,O,O,X,X,X
TZLJSIO,X,O,O,O,X,X,X
TZLJSOI,X,O,O,O,X,X,X
TZLJOIS,X,O,O,O,X,X,X
TZLJOSI,X,O,O,O,X,X,X
TZLSIJO,X,O,O,O,O,O,X
TZLSIOJ,X,O,X,O,O,X,X
TZLSJIO,X,O,O,O,O,O,X
TZLSJOI,X,O,O,O,O,O,X
TZLSOIJ,X,O,X,O,O,X,X
TZLSOJI,X,O,O,O,O,X,X
TZLOIJS,X,O,X,O,X,X,X
TZLOISJ,X,O,X,O,O,O,X
TZLOJIS,X,O,O,O,X,X,X
TZLOJSI,X,O,O,O,X,X,X
TZLOSIJ,X,O,X,O,O,O,X
TZLOSJI,X,O,O,O,O,O,X
TZJILSO,X,O,X,O,X,X,X
TZJILOS,X,O,O,O,X,X,X
TZJISLO,X,O,X,O,X,X,X
TZJISOL,X,O,X,O,X,X,O
TZJIOLS,X,O,O,O,X,X,X
TZJIOSL,X,O,X,O,X,X,O
TZJLISO,X,O,X,O,X,X,X
TZJLIOS,X,O,O,O,X,X,X
TZJLSIO,X,O,O,O,X,X,X
TZJLSOI,X,O,O,O,X,X,X
TZJLOIS,X,O,O,O,X,X,X
TZJLOSI,X,O,O,O,X,X,X
TZJSILO,X,O,O,O,X,X,X
TZJSIOL,X,O,O,O,X,X,O
TZJSLIO,X,O,O,O,X,X,X
TZJSLOI,X,O,O,O,X,X,X
TZJSOIL,X,O,O,O,X,X,O
TZJSOLI,X,O,O,O,X,X,O
TZJOILS,X,O,O,O,X,X,X
TZJOISL,X,O,X,O,X,X,O
TZJOLIS,X,O,O,O,X,X,X
TZJOLSI,X,O,O,O,X,X,X
TZJOSIL,X,O,O,O,X,X,O
TZJOSLI,X,O,O,O,X,X,O
TZSILJO,X,O,O,O,O,O,X
TZSILOJ,X,O,X,O,O,X,X
TZSIJLO,X,O,O,O,O,X,X
TZSIJOL,X,O,O,O,X,X,O
TZSIOLJ,X,O,X,O,O,X,X
TZSIOJL,X,O,X,O,O,X,X
TZSLIJO,X,O,O,O,O,O,X
TZSLIOJ,X,O,X,O,O,X,X
TZSLJIO,X,O,O,O,O,O,X
TZSLJOI,X,O,O,O,O,O,X
TZSLOIJ,X,O,X,O,O,X,X
TZSLOJI,X,O,O,O,O,X,X
TZSJILO,X,O,O,O,O,X,X
TZSJIOL,X,O,O,O,X,X,O
TZSJLIO,X,O,O,O,O,X,X
TZSJLOI,X,O,O,O,O,X,X
TZSJOIL,X,O,O,O,X,X,O
TZSJOLI,X,O,O,O,X,X,O
TZSOILJ,X,O,X,O,O,X,X
TZSOIJL,X,O,X,O,O,X,X
TZSOLIJ,X,O,X,O,O,X,X
TZSOLJI,X,O,O,O,O,X,X
TZSOJIL,X,O,O,O,O,X,X
TZSOJLI,X,O,O,O,O,X,X
TZOILJS,X,O,X,O,X,X,X
TZOILSJ,X,O,X,O,O,O,X
TZOIJLS,X,O,X,O,X,X,X
TZOIJSL,X,O,X,O,X,X,O
TZOISLJ,X,O,X,O,O,O,X
TZOISJL,X,O,X,O,O,X,O
TZOLIJS,X,O,X,O,X,X,X
TZOLISJ,X,O,X,O,O,O,X
TZOLJIS,X,O,O,O,X,X,X
TZOLJSI,X,O,O,O,X,X,X
TZOLSIJ,X,O,X,O,O,O,X
TZOLSJI,X,O,O,O,O,O,X
TZOJILS,X,O,O,O,X,X,X
TZOJISL,X,O,X,O,X,X,O
TZOJLIS,X,O,O,O,X,X,X
TZOJLSI,X,O,O,O,X,X,X
TZOJSIL,X,O,O,O,X,X,O
TZOJSLI,X,O,O,O,X,X,O
TZOSILJ,X,O,X,O,O,O,X
TZOSIJL,X,O,X,O,O,X,O
TZOSLIJ,X,O,X,O,O,O,X
TZOSLJI,X,O,O,O,O,O,X
TZOSJIL,X,O,O,O,O,X,O
TZOSJLI,X,O,O,O,O,X,O
TOILJSZ,O,X,X,X,O,O,O
TOILJZS,O,O,X,O,X,X,X
TOILSJZ,O,X,X,X,O,O,O
TOILSZJ,X,X,X,X,O,O,X
TOILZJS,X,O,X,O,X,X,X
TOILZSJ,X,O,X,O,O,O,X
TOIJLSZ,O,X,X,X,O,O,O
TOIJLZS,O,O,X,O,X,X,X
