sequence,v115@9gA8IeA8IeA8BeB8CeC8CeA8BeC8JeRAJvhFFiBTjB?XlBSsBWvB0rB,v115@9gA8IeA8IeA8BeB8CeC8CeA8BeC8Je3AJvhFTjBxmB?UqBCsBupBFsB,v115@9gA8IeA8IeA8BeB8CeC8CeA8BeC8Je3AJvhFTjBxmB?UqBFsBupBCsB,v115@9gA8IeA8IeA8BeB8CeC8CeA8BeC8JeRAJvhF3hBGjB?lnBUqBzrBCqB,v115@9gA8IeA8IeA8BeB8CeC8CeA8BeC8Je0BJvhFTjBRlB?SsBFlBWvBXsB,v115@9gA8IeA8IeA8BeB8CeC8CeA8BeC8Je3AJvhF1mBxiB?CoBUqBzrBupB,v115@9gA8IeA8IeA8BeB8CeC8CeA8BeC8JefFJvhF0gBlhB?xnBCoBWvBzrB,v115@9gA8IeA8IeA8BeB8CeC8CeA8BeC8JeRAJvhF3hBTjB?FlBWvBCsBcsB,v115@9gA8IeA8IeA8BeB8CeC8CeA8BeC8JeXCJvhFTjBRlB?SsBFlBWvB0rB,v115@9gA8IeA8IeA8BeB8CeC8CeA8BeC8JefFJvhF0gBxhB?TjBWvBFsBCsB,v115@9gA8IeA8IeA8BeB8CeC8CeA8BeC8JexBJvhFTjBfqB?urBcsBlqBCqB,v115@9gA8IeA8IeA8BeB8CeC8CeA8BeC8JeuEJvhF3gB0mB?xnBCoBVvBzrB,v115@9gA8IeA8IeA8BeB8CeC8CeA8BeC8JeTDJvhFRlBGnB?ClBXnBVvB0rB,v115@9gA8IeA8IeA8BeB8CeC8CeA8BeC8Je5EJvhF3hBTjB?OqBCsBcsBlqB,v115@9gA8IeA8IeA8BeB8CeC8CeA8BeC8JeRAJvhFGiBTjB?lmBUqBXsBCqB,v115@9gA8IeA8IeA8BeB8CeC8CeA8BeC8JeWFJvhF1mBxiB?CoB8pBzrB3qB,v115@9gA8IeA8IeA8BeB8CeC8CeA8BeC8JeWFJvhFTjBxmB?8pBCsB3qBFsB,v115@9gA8IeA8IeA8BeB8CeC8CeA8BeC8JeFFJvhF0mBxnB?upBCoB3qBzrB
TIOSJLZ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIOSJZL,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TIOSZLJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSZJL,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIOZLJS,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TIOZLSJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZJLS,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O
TIOZJSL,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TIOZSLJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZSJL,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLIJSZO,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLIJSOZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIJZSO,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
TLIJZOS,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLIJOSZ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLIJOZS,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X
TLISJZO,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLISJOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLISZJO,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLISZOJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLISOJZ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLISOZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZJSO,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
TLIZJOS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TLIZSJO,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
TLIZSOJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZOJS,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TLIZOSJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOJSZ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLIOJZS,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X
TLIOSJZ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLIOSZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOZJS,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOZSJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJISZO,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TLJISOZ,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TLJIZSO,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X
TLJIZOS,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
TLJIOSZ,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X
TLJIOZS,X,X,X,X,O,X,X,O,X,X,X,X,O,O,X,X,O,X
TLJSIZO,O,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X
TLJSIOZ,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
TLJSZIO,O,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X
TLJSZOI,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TLJSOIZ,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
TLJSOZI,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TLJZISO,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TLJZIOS,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TLJZSIO,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TLJZSOI,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLJZOIS,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TLJZOSI,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLJOISZ,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O,X,X
TLJOIZS,X,X,X,X,O,X,X,O,X,X,X,X,O,O,X,O,O,X
TLJOSIZ,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,O,X,X
TLJOSZI,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X
TLJOZIS,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X
TLJOZSI,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
TLSIJZO,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLSIJOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSIZJO,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLSIZOJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSIOJZ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLSIOZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSJIZO,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLSJIOZ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLSJZIO,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLSJZOI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSJOIZ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLSJOZI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSZIJO,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLSZIOJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSZJIO,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLSZJOI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSZOIJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSZOJI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSOIJZ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLSOIZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSOJIZ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLSOJZI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSOZIJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSOZJI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZIJSO,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
TLZIJOS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TLZISJO,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
TLZISOJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZIOJS,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TLZIOSJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZJISO,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLZJIOS,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZJSIO,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLZJSOI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZJOIS,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZJOSI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZSIJO,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLZSIOJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZSJIO,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLZSJOI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZSOIJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZSOJI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZOIJS,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLZOISJ,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLZOJIS,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLZOJSI,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLZOSIJ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLZOSJI,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLOIJSZ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TLOIJZS,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,O,O,X
TLOISJZ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
TLOISZJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLOIZJS,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X
TLOIZSJ,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLOJISZ,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O,X,X
TLOJIZS,X,X,X,X,O,O,X,O,X,X,X,X,O,O,X,O,O,X
TLOJSIZ,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,O,X,X
TLOJSZI,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X
TLOJZIS,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X
TLOJZSI,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X
TLOSIJZ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
TLOSIZJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLOSJIZ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
TLOSJZI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TLOSZIJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLOSZJI,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLOZIJS,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X
TLOZISJ,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLOZJIS,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X
TLOZJSI,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
TLOZSIJ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLOZSJI,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJILSZO,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X
TJILSOZ,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TJILZSO,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X
TJILZOS,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
TJILOSZ,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X
TJILOZS,X,X,X,X,O,X,X,O,X,X,X,X,O,O,X,X,X,X
TJISLZO,X,X,X,X,X,X,O,O,X,O,X,O,X,X,X,X,X,X
TJISLOZ,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TJISZLO,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X
TJISZOL,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X
TJISOLZ,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X
TJISOZL,X,X,X,X,X,X,O,X,X,O,X,O,O,X,X,X,X,X
TJIZLSO,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O
TJIZLOS,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O
TJIZSLO,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O
TJIZSOL,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TJIZOLS,X,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,O
TJIZOSL,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TJIOLSZ,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X
TJIOLZS,X,X,X,X,O,X,X,O,X,X,X,X,O,O,X,X,O,X
TJIOSLZ,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X
TJIOSZL,X,X,X,X,X,X,O,X,X,O,X,O,O,X,X,X,X,X
TJIOZLS,X,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,O,X
TJIOZSL,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TJLISZO,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TJLISOZ,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TJLIZSO,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X
TJLIZOS,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
TJLIOSZ,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X
