sequence,v115@FhA8IeA8BeA8EeB8AeD8BeC8KeOEJvhFdlBzgBCiB5?oBXnBUrB,v115@FhA8IeA8BeA8EeB8AeD8BeC8KeNEJvhFUgBGhBTiB5?oByqB3rB,v115@FhA8IeA8BeA8EeB8AeD8BeC8KeNEJvhFalBulB3hBc?nB5oBTrB,v115@FhA8IeA8BeA8EeB8AeD8BeC8KeNEJvhFalBulBcmBT?iB5oB3rB,v115@FhA8IeA8BeA8EeB8AeD8BeC8KeOEJvhFdlBzgBcnB5?oBSrB3rB,v115@FhA8IeA8BeA8EeB8AeD8BeC8KeNEJvhF3gBGiB5oBK?rBzrBUqB
TOJSZIL,O,O,O,O,X,X
TOJSZLI,O,O,O,O,X,X
TOJZILS,O,O,O,X,O,O
TOJZISL,O,O,O,X,X,X
TOJZLIS,O,O,O,X,O,O
TOJZLSI,O,O,O,X,O,O
TOJZSIL,O,O,O,X,X,X
TOJZSLI,O,O,O,X,X,X
TOSILJZ,O,O,O,O,X,O
TOSILZJ,O,O,O,O,X,O
TOSIJLZ,O,O,O,O,X,O
TOSIJZL,O,O,O,O,X,X
TOSIZLJ,O,O,O,O,X,X
TOSIZJL,O,O,O,O,X,X
TOSLIJZ,O,O,O,O,X,O
TOSLIZJ,O,O,O,O,X,O
TOSLJIZ,O,O,O,O,X,O
TOSLJZI,O,O,O,O,X,O
TOSLZIJ,O,O,O,O,X,O
TOSLZJI,O,O,O,O,X,O
TOSJILZ,O,O,O,O,X,O
TOSJIZL,O,O,O,O,X,X
TOSJLIZ,O,O,O,O,X,O
TOSJLZI,O,O,O,O,X,O
TOSJZIL,O,O,O,O,X,X
TOSJZLI,O,O,O,O,X,X
TOSZILJ,O,O,O,O,X,X
TOSZIJL,O,O,O,O,X,X
TOSZLIJ,O,O,O,O,X,X
TOSZLJI,O,O,O,O,X,X
TOSZJIL,O,O,O,O,X,X
TOSZJLI,O,O,O,O,X,X
TOZILJS,O,O,O,X,O,O
TOZILSJ,O,O,O,O,O,O
TOZIJLS,O,O,O,X,O,O
TOZIJSL,O,O,O,X,X,X
TOZISLJ,O,O,O,O,X,X
TOZISJL,O,O,O,O,X,X
TOZLIJS,O,O,O,X,O,O
TOZLISJ,O,O,O,O,O,O
TOZLJIS,O,O,O,X,O,O
TOZLJSI,O,O,O,X,O,O
TOZLSIJ,O,O,O,O,O,O
TOZLSJI,O,O,O,O,O,O
TOZJILS,O,O,O,X,O,O
TOZJISL,O,O,O,X,X,X
TOZJLIS,O,O,O,X,O,O
TOZJLSI,O,O,O,X,O,O
TOZJSIL,O,O,O,X,X,X
TOZJSLI,O,O,O,X,X,X
TOZSILJ,O,O,O,O,X,X
TOZSIJL,O,O,O,O,X,X
TOZSLIJ,O,O,O,O,X,X
TOZSLJI,O,O,O,O,X,X
TOZSJIL,O,O,O,O,X,X
TOZSJLI,O,O,O,O,X,X
ITLJSZO,O,O,O,O,O,X
ITLJSOZ,O,O,O,O,O,O
ITLJZSO,O,O,O,X,O,X
ITLJZOS,O,O,O,X,O,X
ITLJOSZ,X,O,O,O,O,O
ITLJOZS,X,O,O,X,O,O
ITLSJZO,O,O,O,O,O,X
ITLSJOZ,O,O,O,O,O,O
ITLSZJO,O,O,O,O,O,X
ITLSZOJ,O,O,O,O,O,O
ITLSOJZ,O,O,O,O,O,O
ITLSOZJ,O,O,O,O,O,O
ITLZJSO,O,O,O,X,O,X
ITLZJOS,O,O,O,X,O,X
ITLZSJO,O,O,O,O,O,X
ITLZSOJ,O,O,O,O,O,O
ITLZOJS,O,O,O,X,O,O
ITLZOSJ,O,O,O,O,O,O
ITLOJSZ,X,O,O,O,O,O
ITLOJZS,X,O,O,X,O,O
ITLOSJZ,X,O,O,O,O,O
ITLOSZJ,X,O,O,O,O,O
ITLOZJS,X,O,O,X,O,O
ITLOZSJ,X,O,O,O,O,O
ITJLSZO,O,O,O,O,O,X
ITJLSOZ,O,O,O,O,O,O
ITJLZSO,O,O,O,X,O,X
ITJLZOS,O,O,O,X,O,X
ITJLOSZ,X,O,O,O,O,O
ITJLOZS,X,O,O,X,O,O
ITJSLZO,O,O,O,O,O,X
ITJSLOZ,O,O,O,O,O,X
ITJSZLO,O,O,O,O,O,X
ITJSZOL,O,O,O,O,X,X
ITJSOLZ,O,O,O,O,X,O
ITJSOZL,O,O,O,O,X,X
ITJZLSO,O,O,O,X,O,X
ITJZLOS,O,O,O,X,O,X
ITJZSLO,O,O,O,X,O,X
ITJZSOL,O,O,O,X,X,X
ITJZOLS,O,O,O,X,O,O
ITJZOSL,O,O,O,X,X,X
ITJOLSZ,X,O,O,O,O,O
ITJOLZS,X,O,O,X,O,O
ITJOSLZ,O,O,O,O,X,O
ITJOSZL,O,O,O,O,X,X
ITJOZLS,O,O,O,X,O,O
ITJOZSL,O,O,O,X,X,X
ITSLJZO,O,O,O,O,O,X
ITSLJOZ,O,O,O,O,O,O
ITSLZJO,O,O,O,O,O,X
ITSLZOJ,O,O,O,O,O,O
ITSLOJZ,O,O,O,O,O,O
ITSLOZJ,O,O,O,O,O,O
ITSJLZO,O,O,O,O,O,X
ITSJLOZ,O,O,O,O,O,X
ITSJZLO,O,O,O,O,O,X
ITSJZOL,O,O,O,O,X,X
ITSJOLZ,O,O,O,O,X,O
ITSJOZL,O,O,O,O,X,X
ITSZLJO,O,O,O,O,O,X
ITSZLOJ,O,O,O,O,O,X
ITSZJLO,O,O,O,O,O,X
ITSZJOL,O,O,O,O,X,X
ITSZOLJ,O,O,O,O,X,X
ITSZOJL,O,O,O,O,X,X
ITSOLJZ,O,O,O,O,X,O
ITSOLZJ,O,O,O,O,X,O
ITSOJLZ,O,O,O,O,X,O
ITSOJZL,O,O,O,O,X,X
ITSOZLJ,O,O,O,O,X,X
ITSOZJL,O,O,O,O,X,X
ITZLJSO,O,O,O,X,O,X
ITZLJOS,O,O,O,X,O,X
ITZLSJO,O,O,O,O,O,X
ITZLSOJ,O,O,O,O,O,O
ITZLOJS,O,O,O,X,O,O
ITZLOSJ,O,O,O,O,O,O
ITZJLSO,O,O,O,X,O,X
ITZJLOS,O,O,O,X,O,X
ITZJSLO,O,O,O,X,O,X
ITZJSOL,O,O,O,X,X,X
ITZJOLS,O,O,O,X,O,O
ITZJOSL,O,O,O,X,X,X
ITZSLJO,O,O,O,O,O,X
ITZSLOJ,O,O,O,O,O,X
ITZSJLO,O,O,O,O,O,X
ITZSJOL,O,O,O,O,X,X
ITZSOLJ,O,O,O,O,X,X
ITZSOJL,O,O,O,O,X,X
ITZOLJS,O,O,O,X,O,O
ITZOLSJ,O,O,O,O,O,O
ITZOJLS,O,O,O,X,O,O
ITZOJSL,O,O,O,X,X,X
ITZOSLJ,O,O,O,O,X,X
ITZOSJL,O,O,O,O,X,X
ITOLJSZ,X,O,O,O,O,O
ITOLJZS,X,O,O,X,O,O
ITOLSJZ,X,O,O,O,O,O
ITOLSZJ,X,O,O,O,O,O
ITOLZJS,X,O,O,X,O,O
ITOLZSJ,X,O,O,O,O,O
ITOJLSZ,X,O,O,O,O,O
ITOJLZS,X,O,O,X,O,O
ITOJSLZ,O,O,O,O,X,O
ITOJSZL,O,O,O,O,X,X
ITOJZLS,O,O,O,X,O,O
ITOJZSL,O,O,O,X,X,X
ITOSLJZ,O,O,O,O,X,O
ITOSLZJ,O,O,O,O,X,O
ITOSJLZ,O,O,O,O,X,O
ITOSJZL,O,O,O,O,X,X
ITOSZLJ,O,O,O,O,X,X
ITOSZJL,O,O,O,O,X,X
ITOZLJS,O,O,O,X,O,O
ITOZLSJ,O,O,O,O,O,O
ITOZJLS,O,O,O,X,O,O
ITOZJSL,O,O,O,X,X,X
ITOZSLJ,O,O,O,O,X,X
ITOZSJL,O,O,O,O,X,X
ILTJSZO,O,O,O,O,O,X
ILTJSOZ,O,O,O,O,O,O
ILTJZSO,O,O,O,X,O,X
ILTJZOS,O,O,O,X,O,X
ILTJOSZ,X,O,O,O,O,O
ILTJOZS,X,O,O,X,O,O
ILTSJZO,O,O,O,O,O,X
ILTSJOZ,O,O,O,O,O,O
ILTSZJO,O,O,O,O,O,X
ILTSZOJ,O,O,O,O,O,O
ILTSOJZ,O,O,O,O,O,O
ILTSOZJ,O,O,O,O,O,O
ILTZJSO,O,O,O,X,O,X
ILTZJOS,O,O,O,X,O,X
ILTZSJO,O,O,O,O,O,X
ILTZSOJ,O,O,O,O,O,O
ILTZOJS,O,O,O,X,O,O
ILTZOSJ,O,O,O,O,O,O
ILTOJSZ,X,O,O,O,O,O
ILTOJZS,X,O,O,X,O,O
ILTOSJZ,X,O,O,O,O,O
ILTOSZJ,X,O,O,O,O,O
ILTOZJS,X,O,O,X,O,O
ILTOZSJ,X,O,O,O,O,O
ILJTSZO,O,O,O,X,O,X
ILJTSOZ,O,O,O,X,O,O
ILJTZSO,O,O,O,X,O,X
ILJTZOS,O,O,O,X,O,X
ILJTOSZ,X,O,O,X,O,O
ILJTOZS,X,O,O,X,O,O
ILJSTZO,O,O,X,X,O,X
ILJSTOZ,O,O,X,X,O,O
ILJSZTO,O,X,X,X,O,X
ILJSZOT,O,X,X,X,X,X
ILJSOTZ,O,O,X,X,X,O
ILJSOZT,X,X,X,X,X,O
ILJZTSO,O,O,O,X,O,X
ILJZTOS,O,O,O,X,O,X
ILJZSTO,O,X,O,X,O,X
ILJZSOT,O,X,X,X,X,X
ILJZOTS,X,O,X,X,O,X
ILJZOST,X,X,X,X,X,X
ILJOTSZ,X,O,O,X,O,O
ILJOTZS,X,O,O,X,O,O
ILJOSTZ,X,O,X,X,X,O
ILJOSZT,X,X,X,X,X,O
ILJOZTS,X,O,O,X,O,O
ILJOZST,X,X,O,X,X,O
ILSTJZO,O,O,X,O,O,X
ILSTJOZ,O,O,X,O,O,O
ILSTZJO,O,O,X,O,O,X
ILSTZOJ,O,O,X,O,O,O
ILSTOJZ,O,O,X,O,O,O
ILSTOZJ,O,O,X,O,O,O
ILSJTZO,O,O,X,X,O,X
ILSJTOZ,O,O,X,X,O,O
ILSJZTO,O,O,X,X,O,X
ILSJZOT,O,O,X,X,X,X
ILSJOTZ,O,O,X,X,X,O
ILSJOZT,X,O,X,X,X,O
ILSZTJO,O,O,X,O,O,X
ILSZTOJ,O,O,X,O,O,O
ILSZJTO,O,O,X,O,O,X
ILSZJOT,O,O,X,O,X,X
ILSZOTJ,O,O,X,O,O,O
ILSZOJT,O,O,X,O,X,O
ILSOTJZ,O,O,X,O,O,O
ILSOTZJ,O,O,X,O,O,O
ILSOJTZ,O,O,X,X,X,O
ILSOJZT,X,O,X,X,X,O
ILSOZTJ,X,O,X,O,O,O
ILSOZJT,X,O,X,O,X,O
ILZTJSO,O,O,O,X,O,X
ILZTJOS,O,O,O,X,O,X
ILZTSJO,O,O,O,X,O,X
ILZTSOJ,O,O,O,X,O,O
ILZTOJS,O,O,O,X,O,O
ILZTOSJ,O,O,O,X,O,O
ILZJTSO,O,O,O,X,O,X
ILZJTOS,O,O,O,X,O,X
ILZJSTO,O,X,O,X,O,X
ILZJSOT,O,X,X,X,X,X
ILZJOTS,X,O,X,X,O,X
ILZJOST,X,X,X,X,X,X
ILZSTJO,O,X,O,X,O,X
ILZSTOJ,O,X,O,X,O,O
ILZSJTO,O,X,O,X,O,X
ILZSJOT,O,X,X,X,X,X
ILZSOTJ,O,X,X,X,O,O
ILZSOJT,O,X,X,X,X,O
ILZOTJS,O,O,O,X,O,O
ILZOTSJ,O,O,O,X,O,O
ILZOJTS,X,O,O,X,O,O
ILZOJST,X,X,O,X,X,O
ILZOSTJ,O,X,O,X,O,O
ILZOSJT,O,X,O,X,X,O
ILOTJSZ,X,O,O,O,O,O
ILOTJZS,X,O,O,X,O,O
ILOTSJZ,X,O,O,O,O,O
ILOTSZJ,X,O,O,O,O,O
ILOTZJS,X,O,O,X,O,O
ILOTZSJ,X,O,O,O,O,O
ILOJTSZ,X,O,O,X,O,O
ILOJTZS,X,O,O,X,O,O
ILOJSTZ,X,O,X,X,X,O
ILOJSZT,X,X,X,X,X,O
ILOJZTS,X,O,O,X,O,O
ILOJZST,X,X,O,X,X,O
ILOSTJZ,X,O,X,O,O,O
ILOSTZJ,X,O,X,O,O,O
ILOSJTZ,X,O,X,X,X,O
ILOSJZT,X,O,X,X,X,O
ILOSZTJ,X,O,X,O,O,O
ILOSZJT,X,O,X,O,X,O
ILOZTJS,X,O,O,X,O,O
ILOZTSJ,X,O,O,X,O,O
ILOZJTS,X,O,O,X,O,O
ILOZJST,X,X,O,X,X,O
ILOZSTJ,X,X,O,X,O,O
ILOZSJT,X,X,O,X,X,O
IJTLSZO,O,O,O,O,O,X
IJTLSOZ,O,O,O,O,O,O
IJTLZSO,O,O,O,X,O,X
IJTLZOS,O,O,O,X,O,X
IJTLOSZ,X,O,O,O,O,O
IJTLOZS,X,O,O,X,O,O
IJTSLZO,O,O,O,O,O,X
IJTSLOZ,O,O,O,O,O,X
IJTSZLO,O,O,O,O,O,X
IJTSZOL,O,O,O,O,X,X
IJTSOLZ,O,O,O,O,X,O
IJTSOZL,O,O,O,O,X,X
IJTZLSO,O,O,O,X,O,X
IJTZLOS,O,O,O,X,O,X
IJTZSLO,O,O,O,X,O,X
IJTZSOL,O,O,O,X,X,X
IJTZOLS,O,O,O,X,O,O
IJTZOSL,O,O,O,X,X,X
IJTOLSZ,X,O,O,O,O,O
IJTOLZS,X,O,O,X,O,O
IJTOSLZ,O,O,O,O,X,O
IJTOSZL,O,O,O,O,X,X
IJTOZLS,O,O,O,X,O,O
IJTOZSL,O,O,O,X,X,X
IJLTSZO,O,O,O,X,O,X
IJLTSOZ,O,O,O,X,O,O
IJLTZSO,O,O,O,X,O,X
IJLTZOS,O,O,O,X,O,X
IJLTOSZ,X,O,O,X,O,O
IJLTOZS,X,O,O,X,O,O
IJLSTZO,O,O,X,X,O,X
IJLSTOZ,O,O,X,X,O,O
IJLSZTO,O,X,X,X,O,X
IJLSZOT,O,X,X,X,X,X
IJLSOTZ,O,O,X,X,X,O
IJLSOZT,X,X,X,X,X,O
IJLZTSO,O,O,O,X,O,X
IJLZTOS,O,O,O,X,O,X
IJLZSTO,O,X,O,X,O,X
IJLZSOT,O,X,X,X,X,X
IJLZOTS,X,O,X,X,O,X
IJLZOST,X,X,X,X,X,X
IJLOTSZ,X,O,O,X,O,O
IJLOTZS,X,O,O,X,O,O
IJLOSTZ,X,O,X,X,X,O
IJLOSZT,X,X,X,X,X,O
IJLOZTS,X,O,O,X,O,O
IJLOZST,X,X,O,X,X,O
IJSTLZO,O,O,O,O,O,X
IJSTLOZ,O,O,O,O,O,X
IJSTZLO,O,O,O,O,O,X
IJSTZOL,O,O,O,O,X,X
IJSTOLZ,O,O,O,O,X,O
IJSTOZL,O,O,O,O,X,X
IJSLTZO,O,O,X,X,O,X
IJSLTOZ,O,O,X,X,O,X
IJSLZTO,O,O,X,X,O,X
IJSLZOT,O,O,X,X,X,X
IJSLOTZ,O,O,X,X,X,X
IJSLOZT,X,O,X,X,X,X
IJSZTLO,O,O,O,O,O,X
IJSZTOL,O,O,O,O,X,X
IJSZLTO,O,O,O,O,O,X
IJSZLOT,O,O,X,O,X,X
IJSZOTL,O,O,O,O,X,X
IJSZOLT,O,O,X,O,X,X
IJSOTLZ,O,O,O,O,X,O
IJSOTZL,O,O,O,O,X,X
IJSOLTZ,O,O,X,X,X,O
IJSOLZT,X,O,X,X,X,O
IJSOZTL,O,O,O,O,X,X
IJSOZLT,O,O,O,O,X,X
IJZTLSO,O,X,O,X,O,X
IJZTLOS,O,X,O,X,O,X
IJZTSLO,O,X,O,X,O,X
IJZTSOL,O,X,O,X,X,X
IJZTOLS,O,X,O,X,O,O
IJZTOSL,O,X,O,X,X,X
IJZLTSO,O,X,O,X,O,X
IJZLTOS,O,X,O,X,O,X
IJZLSTO,O,X,O,X,O,X
IJZLSOT,O,X,X,X,X,X
IJZLOTS,X,X,X,X,O,X
IJZLOST,X,X,X,X,X,X
IJZSTLO,O,X,O,X,O,X
IJZSTOL,O,X,O,X,X,X
IJZSLTO,O,X,O,X,O,X
IJZSLOT,O,X,X,X,X,X
IJZSOTL,O,X,O,X,X,X
IJZSOLT,O,X,X,X,X,X
IJZOTLS,O,X,O,X,O,O
IJZOTSL,O,X,O,X,X,X
IJZOLTS,X,X,O,X,O,O
IJZOLST,X,X,O,X,X,O
IJZOSTL,O,X,O,X,X,X
IJZOSLT,O,X,O,X,X,X
IJOTLSZ,X,O,O,O,O,O
IJOTLZS,X,O,O,X,O,O
IJOTSLZ,O,O,O,O,X,O
IJOTSZL,O,O,O,O,X,X
IJOTZLS,O,O,O,X,O,O
IJOTZSL,O,O,O,X,X,X
IJOLTSZ,X,O,O,X,O,O
IJOLTZS,X,O,O,X,O,O
IJOLSTZ,X,O,X,X,X,O
IJOLSZT,X,X,X,X,X,O
IJOLZTS,X,O,O,X,O,O
IJOLZST,X,X,O,X,X,O
IJOSTLZ,O,O,O,O,X,O
IJOSTZL,O,O,O,O,X,X
IJOSLTZ,O,O,X,X,X,O
IJOSLZT,X,O,X,X,X,O
IJOSZTL,O,O,O,O,X,X
IJOSZLT,O,O,O,O,X,X
IJOZTLS,O,X,O,X,O,O
IJOZTSL,O,X,O,X,X,X
IJOZLTS,X,X,O,X,O,O
IJOZLST,X,X,O,X,X,O
IJOZSTL,O,X,O,X,X,X
IJOZSLT,O,X,O,X,X,X
ISTLJZO,O,O,O,O,O,X
ISTLJOZ,O,O,O,O,O,O
ISTLZJO,O,O,O,O,O,X
ISTLZOJ,O,O,O,O,O,O
ISTLOJZ,O,O,O,O,O,O
ISTLOZJ,O,O,O,O,O,O
ISTJLZO,O,O,O,O,O,X
ISTJLOZ,O,O,O,O,O,X
ISTJZLO,O,O,O,O,O,X
ISTJZOL,O,O,O,O,X,X
ISTJOLZ,O,O,O,O,X,O
ISTJOZL,O,O,O,O,X,X
ISTZLJO,O,O,O,O,O,X
ISTZLOJ,O,O,O,O,O,X
ISTZJLO,O,O,O,O,O,X
ISTZJOL,O,O,O,O,X,X
ISTZOLJ,O,O,O,O,X,X
ISTZOJL,O,O,O,O,X,X
ISTOLJZ,O,O,O,O,X,O
ISTOLZJ,O,O,O,O,X,O
ISTOJLZ,O,O,O,O,X,O
ISTOJZL,O,O,O,O,X,X
ISTOZLJ,O,O,O,O,X,X
ISTOZJL,O,O,O,O,X,X
ISLTJZO,O,O,X,O,O,X
ISLTJOZ,O,O,X,O,O,O
ISLTZJO,O,O,X,O,O,X
ISLTZOJ,O,O,X,O,O,O
ISLTOJZ,O,O,X,O,O,O
ISLTOZJ,O,O,X,O,O,O
ISLJTZO,O,O,X,X,O,X
ISLJTOZ,O,O,X,X,O,O
ISLJZTO,O,O,X,X,O,X
ISLJZOT,O,O,X,X,X,X
ISLJOTZ,O,O,X,X,X,O
ISLJOZT,X,O,X,X,X,O
ISLZTJO,O,O,X,O,O,X
ISLZTOJ,O,O,X,O,O,O
ISLZJTO,O,O,X,O,O,X
ISLZJOT,O,O,X,O,X,X
ISLZOTJ,O,O,X,O,O,O
ISLZOJT,O,O,X,O,X,O
ISLOTJZ,O,O,X,O,O,O
ISLOTZJ,O,O,X,O,O,O
ISLOJTZ,O,O,X,X,X,O
ISLOJZT,X,O,X,X,X,O
ISLOZTJ,X,O,X,O,O,O
ISLOZJT,X,O,X,O,X,O
ISJTLZO,O,O,O,O,O,X
ISJTLOZ,O,O,O,O,O,X
ISJTZLO,O,O,O,O,O,X
ISJTZOL,O,O,O,O,X,X
ISJTOLZ,O,O,O,O,X,O
ISJTOZL,O,O,O,O,X,X
ISJLTZO,O,O,X,X,O,X
ISJLTOZ,O,O,X,X,O,X
ISJLZTO,O,O,X,X,O,X
ISJLZOT,O,O,X,X,X,X
ISJLOTZ,O,O,X,X,X,X
ISJLOZT,X,O,X,X,X,X
ISJZTLO,O,O,O,O,O,X
ISJZTOL,O,O,O,O,X,X
ISJZLTO,O,O,O,O,O,X
ISJZLOT,O,O,X,O,X,X
ISJZOTL,O,O,O,O,X,X
ISJZOLT,O,O,X,O,X,X
ISJOTLZ,O,O,O,O,X,O
ISJOTZL,O,O,O,O,X,X
ISJOLTZ,O,O,X,X,X,O
ISJOLZT,X,O,X,X,X,O
ISJOZTL,O,O,O,O,X,X
ISJOZLT,O,O,O,O,X,X
ISZTLJO,O,O,O,O,O,X
ISZTLOJ,O,O,O,O,O,X
ISZTJLO,O,O,O,O,O,X
ISZTJOL,O,O,O,O,X,X
ISZTOLJ,O,O,O,O,X,X
ISZTOJL,O,O,O,O,X,X
ISZLTJO,O,O,O,O,O,X
ISZLTOJ,O,O,O,O,O,X
ISZLJTO,O,O,O,O,O,X
ISZLJOT,O,O,X,O,X,X
ISZLOTJ,O,O,X,O,O,X
ISZLOJT,O,O,X,O,X,X
ISZJTLO,O,O,O,O,O,X
ISZJTOL,O,O,O,O,X,X
ISZJLTO,O,O,O,O,O,X
ISZJLOT,O,O,X,O,X,X
ISZJOTL,O,O,O,O,X,X
ISZJOLT,O,O,X,O,X,X
ISZOTLJ,O,O,O,O,X,X
ISZOTJL,O,O,O,O,X,X
ISZOLTJ,O,O,O,O,X,X
ISZOLJT,O,O,O,O,X,X
ISZOJTL,O,O,O,O,X,X
ISZOJLT,O,O,O,O,X,X
ISOTLJZ,O,O,O,O,X,O
ISOTLZJ,O,O,O,O,X,O
ISOTJLZ,O,O,O,O,X,O
ISOTJZL,O,O,O,O,X,X
ISOTZLJ,O,O,O,O,X,X
ISOTZJL,O,O,O,O,X,X
ISOLTJZ,O,O,X,O,X,O
ISOLTZJ,O,O,X,O,X,O
ISOLJTZ,O,O,X,X,X,O
ISOLJZT,X,O,X,X,X,O
ISOLZTJ,X,O,X,O,X,O
ISOLZJT,X,O,X,O,X,O
ISOJTLZ,O,O,O,O,X,O
ISOJTZL,O,O,O,O,X,X
ISOJLTZ,O,O,X,X,X,O
ISOJLZT,X,O,X,X,X,O
ISOJZTL,O,O,O,O,X,X
ISOJZLT,O,O,O,O,X,X
ISOZTLJ,O,O,O,O,X,X
ISOZTJL,O,O,O,O,X,X
ISOZLTJ,O,O,O,O,X,X
ISOZLJT,O,O,O,O,X,X
ISOZJTL,O,O,O,O,X,X
ISOZJLT,O,O,O,O,X,X
IZTLJSO,O,O,O,X,O,X
IZTLJOS,O,O,O,X,O,X
IZTLSJO,O,O,O,O,O,X
IZTLSOJ,O,O,O,O,O,O
IZTLOJS,O,O,O,X,O,O
IZTLOSJ,O,O,O,O,O,O
IZTJLSO,O,O,O,X,O,X
IZTJLOS,O,O,O,X,O,X
IZTJSLO,O,O,O,X,O,X
IZTJSOL,O,O,O,X,X,X
IZTJOLS,O,O,O,X,O,O
IZTJOSL,O,O,O,X,X,X
IZTSLJO,O,O,O,O,O,X
IZTSLOJ,O,O,O,O,O,X
IZTSJLO,O,O,O,O,O,X
IZTSJOL,O,O,O,O,X,X
IZTSOLJ,O,O,O,O,X,X
IZTSOJL,O,O,O,O,X,X
IZTOLJS,O,O,O,X,O,O
IZTOLSJ,O,O,O,O,O,O
IZTOJLS,O,O,O,X,O,O
IZTOJSL,O,O,O,X,X,X
IZTOSLJ,O,O,O,O,X,X
IZTOSJL,O,O,O,O,X,X
IZLTJSO,O,O,O,X,O,X
IZLTJOS,O,O,O,X,O,X
IZLTSJO,O,O,O,X,O,X
IZLTSOJ,O,O,O,X,O,O
IZLTOJS,O,O,O,X,O,O
IZLTOSJ,O,O,O,X,O,O
IZLJTSO,O,O,O,X,O,X
IZLJTOS,O,O,O,X,O,X
IZLJSTO,O,X,O,X,O,X
IZLJSOT,O,X,X,X,X,X
IZLJOTS,X,O,X,X,O,X
IZLJOST,X,X,X,X,X,X
IZLSTJO,O,X,O,X,O,X
IZLSTOJ,O,X,O,X,O,O
IZLSJTO,O,X,O,X,O,X
IZLSJOT,O,X,X,X,X,X
IZLSOTJ,O,X,X,X,O,O
IZLSOJT,O,X,X,X,X,O
IZLOTJS,O,O,O,X,O,O
IZLOTSJ,O,O,O,X,O,O
IZLOJTS,X,O,O,X,O,O
IZLOJST,X,X,O,X,X,O
IZLOSTJ,O,X,O,X,O,O
IZLOSJT,O,X,O,X,X,O
IZJTLSO,O,X,O,X,O,X
IZJTLOS,O,X,O,X,O,X
IZJTSLO,O,X,O,X,O,X
IZJTSOL,O,X,O,X,X,X
IZJTOLS,O,X,O,X,O,O
IZJTOSL,O,X,O,X,X,X
IZJLTSO,O,X,O,X,O,X
IZJLTOS,O,X,O,X,O,X
IZJLSTO,O,X,O,X,O,X
IZJLSOT,O,X,X,X,X,X
IZJLOTS,X,X,X,X,O,X
IZJLOST,X,X,X,X,X,X
IZJSTLO,O,X,O,X,O,X
IZJSTOL,O,X,O,X,X,X
IZJSLTO,O,X,O,X,O,X
IZJSLOT,O,X,X,X,X,X
IZJSOTL,O,X,O,X,X,X
IZJSOLT,O,X,X,X,X,X
IZJOTLS,O,X,O,X,O,O
IZJOTSL,O,X,O,X,X,X
IZJOLTS,X,X,O,X,O,O
IZJOLST,X,X,O,X,X,O
IZJOSTL,O,X,O,X,X,X
IZJOSLT,O,X,O,X,X,X
IZSTLJO,O,O,O,O,O,X
IZSTLOJ,O,O,O,O,O,X
IZSTJLO,O,O,O,O,O,X
IZSTJOL,O,O,O,O,X,X
IZSTOLJ,O,O,O,O,X,X
IZSTOJL,O,O,O,O,X,X
IZSLTJO,O,O,O,O,O,X
IZSLTOJ,O,O,O,O,O,X
IZSLJTO,O,O,O,O,O,X
IZSLJOT,O,O,X,O,X,X
IZSLOTJ,O,O,X,O,O,X
IZSLOJT,O,O,X,O,X,X
IZSJTLO,O,O,O,O,O,X
IZSJTOL,O,O,O,O,X,X
IZSJLTO,O,O,O,O,O,X
IZSJLOT,O,O,X,O,X,X
IZSJOTL,O,O,O,O,X,X
IZSJOLT,O,O,X,O,X,X
IZSOTLJ,O,O,O,O,X,X
IZSOTJL,O,O,O,O,X,X
IZSOLTJ,O,O,O,O,X,X
IZSOLJT,O,O,O,O,X,X
IZSOJTL,O,O,O,O,X,X
IZSOJLT,O,O,O,O,X,X
IZOTLJS,O,O,O,X,O,O
IZOTLSJ,O,O,O,O,O,O
IZOTJLS,O,O,O,X,O,O
IZOTJSL,O,O,O,X,X,X
IZOTSLJ,O,O,O,O,X,X
IZOTSJL,O,O,O,O,X,X
IZOLTJS,O,O,O,X,O,O
IZOLTSJ,O,O,O,X,O,O
IZOLJTS,X,O,O,X,O,O
IZOLJST,X,X,O,X,X,O
IZOLSTJ,O,X,O,X,O,O
IZOLSJT,O,X,O,X,X,O
IZOJTLS,O,X,O,X,O,O
IZOJTSL,O,X,O,X,X,X
IZOJLTS,X,X,O,X,O,O
IZOJLST,X,X,O,X,X,O
IZOJSTL,O,X,O,X,X,X
IZOJSLT,O,X,O,X,X,X
IZOSTLJ,O,O,O,O,X,X
IZOSTJL,O,O,O,O,X,X
IZOSLTJ,O,O,O,O,X,X
IZOSLJT,O,O,O,O,X,X
IZOSJTL,O,O,O,O,X,X
IZOSJLT,O,O,O,O,X,X
IOTLJSZ,X,O,O,O,O,O
IOTLJZS,X,O,O,X,O,O
IOTLSJZ,X,O,O,O,O,O
IOTLSZJ,X,O,O,O,O,O
IOTLZJS,X,O,O,X,O,O
IOTLZSJ,X,O,O,O,O,O
IOTJLSZ,X,O,O,O,O,O
IOTJLZS,X,O,O,X,O,O
IOTJSLZ,O,O,O,O,X,O
IOTJSZL,O,O,O,O,X,X
IOTJZLS,O,O,O,X,O,O
IOTJZSL,O,O,O,X,X,X
IOTSLJZ,O,O,O,O,X,O
IOTSLZJ,O,O,O,O,X,O
IOTSJLZ,O,O,O,O,X,O
IOTSJZL,O,O,O,O,X,X
IOTSZLJ,O,O,O,O,X,X
IOTSZJL,O,O,O,O,X,X
