sequence,v115@9gA8IeB8HeB8BeA8EeE8DeA8JeRAJvhF3hBcnB6oBT?lBdtBWxB,v115@9gA8IeB8HeB8BeA8EeE8DeA8JeaFJvhFtlBxhBTjBu?rBcsBXtB,v115@9gA8IeB8HeB8BeA8EeE8DeA8JeaFJvhFtlBxhBXjBu?rBctBTsB,v115@9gA8IeB8HeB8BeA8EeE8DeA8JeaFJvhFulB9mBxiBT?oBXsB0sB,v115@9gA8IeB8HeB8BeA8EeE8DeA8JeaFJvhFulB9mBxiBT?oB0sBXsB,v115@9gA8IeB8HeB8BeA8EeE8DeA8JeRAJvhF9mB2nBTlBc?tBXsBCtB,v115@9gA8IeB8HeB8BeA8EeE8DeA8JeaFJvhFulB9mBTjBx?sBXsB0sB,v115@9gA8IeB8HeB8BeA8EeE8DeA8JeRAJvhF9mB6oBTlBm?nBXsB0sB,v115@9gA8IeB8HeB8BeA8EeE8DeA8JeRAJvhF9mB6oBTlBm?nB0sBXsB,v115@9gA8IeB8HeB8BeA8EeE8DeA8JeUAJvhF9mBOnB6oBz?nB3lBRxB,v115@9gA8IeB8HeB8BeA8EeE8DeA8JeRAJvhF9mBynB+oBT?lBXsB0sB,v115@9gA8IeB8HeB8BeA8EeE8DeA8JeRAJvhF9mBynB+oBT?lB0sBXsB,v115@9gA8IeB8HeB8BeA8EeE8DeA8JeaFJvhFtlBXiBTjBW?tB0mBRxB,v115@9gA8IeB8HeB8BeA8EeE8DeA8JeaFJvhFulB9mBxnBT?oBXsB0sB,v115@9gA8IeB8HeB8BeA8EeE8DeA8JeaFJvhFulB9mBxnBT?oB0sBXsB
TISOZLJ,X,O,O,O,X,O,X,O,X,O,X,X,X,X,X
TISOZJL,X,O,O,O,X,O,X,O,X,O,O,X,X,X,X
TIZLJSO,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O
TIZLJOS,O,O,O,X,O,X,O,X,O,O,X,X,O,X,O
TIZLSJO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O
TIZLSOJ,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X
TIZLOJS,O,X,O,X,O,X,O,X,O,O,X,X,X,X,O
TIZLOSJ,O,O,O,X,O,X,X,X,O,O,X,X,X,X,X
TIZJLSO,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O
TIZJLOS,O,O,O,X,O,X,O,X,O,O,X,O,O,X,O
TIZJSLO,O,O,O,X,X,X,X,X,X,X,X,X,O,X,O
TIZJSOL,O,O,O,X,X,X,X,X,X,O,X,X,O,X,X
TIZJOLS,O,O,O,X,O,X,O,X,O,O,X,O,O,X,O
TIZJOSL,O,O,O,X,O,X,X,X,O,O,X,O,O,X,X
TIZSLJO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O
TIZSLOJ,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X
TIZSJLO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O
TIZSJOL,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X
TIZSOLJ,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
TIZSOJL,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
TIZOLJS,O,X,O,X,O,X,O,X,O,O,X,O,X,X,O
TIZOLSJ,O,O,O,X,O,O,X,X,O,O,X,X,X,X,X
TIZOJLS,O,X,O,X,O,X,O,X,O,O,X,O,X,X,O
TIZOJSL,O,X,O,X,O,O,X,X,O,O,X,O,X,X,X
TIZOSLJ,O,O,O,X,O,O,X,X,O,O,X,X,X,X,X
TIZOSJL,O,O,O,X,O,O,X,X,O,O,X,O,X,X,X
TIOLJSZ,O,X,O,O,O,X,O,O,X,O,O,O,O,X,X
TIOLJZS,O,O,O,O,O,X,O,X,O,O,O,O,O,X,X
TIOLSJZ,O,O,X,O,O,X,O,O,X,O,O,X,X,X,X
TIOLSZJ,O,O,O,O,X,O,X,O,O,O,X,X,X,X,X
TIOLZJS,O,X,O,O,O,X,O,X,O,O,X,O,X,X,X
TIOLZSJ,O,O,O,X,O,O,X,O,O,O,X,X,X,X,X
TIOJLSZ,O,X,O,O,O,X,O,O,X,O,O,O,O,X,X
TIOJLZS,O,O,O,O,O,X,O,X,O,O,O,O,O,X,X
TIOJSLZ,O,X,O,O,O,X,O,O,X,O,O,O,O,X,X
TIOJSZL,O,X,O,O,X,O,X,O,X,O,O,O,O,X,X
TIOJZLS,O,O,O,O,O,X,O,X,O,O,O,O,O,X,X
TIOJZSL,O,O,O,X,O,O,X,X,O,O,O,O,O,X,X
TIOSLJZ,O,O,X,O,O,X,O,O,X,O,O,X,X,X,X
TIOSLZJ,O,O,O,O,X,O,X,O,O,O,X,X,X,X,X
TIOSJLZ,O,O,X,O,O,X,O,O,X,O,O,O,X,X,X
TIOSJZL,O,X,X,O,X,O,X,O,X,O,O,O,X,X,X
TIOSZLJ,O,O,O,O,X,O,X,O,O,O,X,X,X,X,X
TIOSZJL,O,X,O,O,X,O,X,O,O,O,O,O,X,X,X
TIOZLJS,O,X,O,O,O,X,O,X,O,O,X,O,X,X,X
TIOZLSJ,O,O,O,X,O,O,X,O,O,O,X,X,X,X,X
TIOZJLS,O,X,O,O,O,X,O,X,O,O,O,O,X,X,X
TIOZJSL,O,X,O,X,O,O,X,X,O,O,O,O,X,X,X
TIOZSLJ,O,O,O,X,O,O,X,O,O,O,X,X,X,X,X
TIOZSJL,O,O,O,X,O,O,X,O,O,O,O,O,X,X,X
TLIJSZO,O,O,O,X,X,X,O,X,X,X,X,X,O,O,X
TLIJSOZ,X,O,O,O,X,X,O,X,X,X,X,X,O,O,X
TLIJZSO,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O
TLIJZOS,O,O,O,X,O,X,O,X,X,O,X,X,O,X,O
TLIJOSZ,O,X,O,O,O,X,O,X,X,O,X,X,O,X,X
TLIJOZS,O,O,O,O,O,X,O,X,X,O,X,X,O,X,X
TLISJZO,O,O,O,X,X,X,O,X,X,X,X,X,O,O,X
TLISJOZ,X,O,O,O,X,X,O,O,X,X,X,X,O,O,X
TLISZJO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X
TLISZOJ,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X
TLISOJZ,X,O,X,O,X,X,O,O,X,O,X,X,X,O,X
TLISOZJ,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X
TLIZJSO,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O
TLIZJOS,O,O,O,X,O,X,O,X,O,O,X,X,O,X,O
TLIZSJO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O
TLIZSOJ,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X
TLIZOJS,O,X,O,X,O,X,O,X,O,O,X,X,X,X,O
TLIZOSJ,O,O,O,X,O,X,X,X,O,O,X,X,X,X,X
TLIOJSZ,O,X,O,O,O,X,O,O,X,O,X,X,O,X,X
TLIOJZS,O,O,O,O,O,X,O,X,O,O,X,X,O,X,X
TLIOSJZ,O,O,X,O,O,X,O,O,X,O,X,X,X,X,X
TLIOSZJ,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X
TLIOZJS,O,X,O,O,O,X,O,X,O,O,X,X,X,X,X
TLIOZSJ,O,O,O,X,O,X,X,O,O,O,X,X,X,X,X
TLJISZO,O,O,O,X,X,X,O,X,X,X,X,X,O,O,X
TLJISOZ,X,O,O,O,X,X,O,X,X,X,X,X,O,O,X
TLJIZSO,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O
TLJIZOS,O,O,O,X,O,X,O,X,X,X,X,X,O,X,O
TLJIOSZ,O,X,O,O,O,X,O,X,X,X,O,O,O,X,X
TLJIOZS,O,O,O,O,O,X,O,X,X,X,O,O,O,X,X
TLJSIZO,O,O,O,X,X,X,O,X,X,X,X,X,O,O,X
TLJSIOZ,X,O,O,O,X,X,O,O,X,X,O,X,O,O,X
TLJSZIO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O
TLJSZOI,O,O,O,O,O,X,X,O,X,X,O,X,O,X,X
TLJSOIZ,O,O,O,O,O,X,X,O,X,X,O,O,O,O,X
TLJSOZI,O,O,O,O,O,X,X,O,X,X,O,O,O,X,X
TLJZISO,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O
TLJZIOS,O,O,O,X,O,X,O,X,O,X,X,O,O,X,O
TLJZSIO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O
TLJZSOI,O,O,O,O,O,X,X,X,O,X,X,O,O,X,X
TLJZOIS,O,O,O,O,O,X,X,X,O,X,O,O,O,X,O
TLJZOSI,O,O,O,O,O,X,X,X,O,X,O,O,O,X,X
TLJOISZ,O,X,O,O,O,X,O,O,X,X,O,O,O,X,X
TLJOIZS,O,O,O,O,O,X,O,X,O,X,O,O,O,X,X
TLJOSIZ,O,X,O,O,O,X,X,O,X,X,O,O,O,O,X
TLJOSZI,O,X,O,O,O,X,X,O,X,X,O,O,O,X,X
TLJOZIS,O,O,O,O,O,X,X,X,O,X,O,O,O,X,O
TLJOZSI,O,O,O,O,O,X,X,X,O,X,O,O,O,X,X
TLSIJZO,O,O,O,X,X,X,O,X,X,X,X,X,O,O,X
TLSIJOZ,X,O,O,O,X,X,O,O,X,X,X,X,O,O,X
TLSIZJO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X
TLSIZOJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSIOJZ,X,O,X,O,X,X,O,O,X,X,X,X,X,O,X
TLSIOZJ,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X
TLSJIZO,O,O,O,X,X,X,O,X,X,X,X,X,O,O,X
TLSJIOZ,X,O,O,O,X,X,O,O,X,X,O,X,O,O,X
TLSJZIO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O
TLSJZOI,O,O,O,O,O,X,X,O,X,X,O,X,O,X,X
TLSJOIZ,O,O,O,O,O,X,X,O,X,X,O,X,O,O,X
TLSJOZI,O,O,O,O,O,X,X,O,X,X,O,X,O,X,X
TLSZIJO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O
TLSZIOJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSZJIO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O
TLSZJOI,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X
TLSZOIJ,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X
TLSZOJI,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X
TLSOIJZ,O,O,X,O,O,X,X,O,X,X,O,X,X,O,X
TLSOIZJ,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X
TLSOJIZ,O,O,O,O,O,X,X,O,X,X,O,X,X,O,X
TLSOJZI,O,O,O,O,O,X,X,O,X,X,O,X,X,X,X
TLSOZIJ,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X
TLSOZJI,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X
TLZIJSO,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O
TLZIJOS,O,O,O,X,O,X,O,X,O,O,X,X,O,X,O
TLZISJO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O
TLZISOJ,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X
TLZIOJS,O,X,O,X,O,X,O,X,O,O,X,X,X,X,O
TLZIOSJ,O,O,O,X,O,X,X,X,O,O,X,X,X,X,X
TLZJISO,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O
TLZJIOS,O,O,O,X,O,X,O,X,O,X,X,O,O,X,O
TLZJSIO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O
TLZJSOI,O,O,O,O,O,X,X,X,O,X,X,O,O,X,X
TLZJOIS,O,O,O,O,O,X,X,X,O,X,X,O,O,X,O
TLZJOSI,O,O,O,O,O,X,X,X,O,X,X,O,O,X,X
TLZSIJO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O
TLZSIOJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLZSJIO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O
TLZSJOI,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X
TLZSOIJ,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X
TLZSOJI,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X
TLZOIJS,O,X,O,O,O,X,X,X,O,X,X,O,X,X,O
TLZOISJ,O,O,O,X,O,O,X,O,O,X,X,X,X,X,X
TLZOJIS,O,O,O,O,O,X,X,X,O,X,X,O,X,X,O
TLZOJSI,O,O,O,O,O,X,X,X,O,X,X,O,X,X,X
TLZOSIJ,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X
TLZOSJI,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X
TLOIJSZ,O,X,O,O,O,X,O,O,X,X,O,O,O,X,X
TLOIJZS,O,O,O,O,O,X,O,X,O,X,O,O,O,X,X
TLOISJZ,O,O,X,O,O,X,O,O,X,X,O,X,X,X,X
TLOISZJ,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X
TLOIZJS,O,X,O,O,O,X,O,X,O,X,X,O,X,X,X
TLOIZSJ,O,O,O,X,O,O,X,O,O,X,X,X,X,X,X
TLOJISZ,O,X,O,O,O,X,O,O,X,X,O,O,O,X,X
TLOJIZS,O,O,O,O,O,X,O,X,O,X,O,O,O,X,X
TLOJSIZ,O,X,O,O,O,X,X,O,X,X,O,O,O,O,X
TLOJSZI,O,X,O,O,O,X,X,O,X,X,O,O,O,X,X
TLOJZIS,O,O,O,O,O,X,X,X,O,X,O,O,O,X,O
TLOJZSI,O,O,O,O,O,X,X,X,O,X,O,O,O,X,X
TLOSIJZ,O,O,X,O,O,X,X,O,X,X,O,X,X,O,X
TLOSIZJ,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X
TLOSJIZ,O,O,O,O,O,X,X,O,X,X,O,X,X,O,X
TLOSJZI,O,O,O,O,O,X,X,O,X,X,O,X,X,X,X
TLOSZIJ,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X
TLOSZJI,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X
TLOZIJS,O,X,O,O,O,X,X,X,O,X,X,O,X,X,O
TLOZISJ,O,O,O,X,O,O,X,O,O,X,X,X,X,X,X
TLOZJIS,O,O,O,O,O,X,X,X,O,X,X,O,X,X,O
TLOZJSI,O,O,O,O,O,X,X,X,O,X,X,O,X,X,X
TLOZSIJ,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X
TLOZSJI,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X
TJILSZO,O,O,O,X,X,X,O,X,X,X,X,X,O,O,X
TJILSOZ,X,O,O,O,X,X,O,X,X,X,X,X,O,O,X
TJILZSO,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O
TJILZOS,O,O,O,X,O,X,O,X,X,O,X,X,O,X,O
TJILOSZ,O,X,O,O,O,X,O,X,X,O,O,O,O,X,X
TJILOZS,O,O,O,O,O,X,O,X,X,O,O,O,O,X,X
TJISLZO,O,O,O,X,X,X,O,X,X,X,X,X,O,O,X
TJISLOZ,X,O,O,O,X,X,O,X,X,X,O,X,O,O,X
TJISZLO,O,O,O,X,X,X,X,X,X,X,X,X,O,O,X
TJISZOL,O,O,O,X,X,X,X,X,X,O,X,X,O,X,X
TJISOLZ,X,O,O,O,X,X,O,X,X,O,O,X,O,O,X
TJISOZL,X,X,O,O,X,X,X,X,X,O,O,X,O,X,X
TJIZLSO,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O
TJIZLOS,O,O,O,X,O,X,O,X,X,O,X,O,O,X,O
TJIZSLO,O,O,O,X,X,X,X,X,X,X,X,X,O,X,O
TJIZSOL,O,O,O,X,X,X,X,X,X,O,X,X,O,X,X
TJIZOLS,O,O,O,X,O,X,O,X,X,O,X,O,O,X,O
TJIZOSL,O,O,O,X,O,X,X,X,X,O,X,O,O,X,X
TJIOLSZ,O,X,O,O,O,X,O,X,X,O,O,O,O,X,X
TJIOLZS,O,O,O,O,O,X,O,X,X,O,O,O,O,X,X
TJIOSLZ,O,X,O,O,O,X,O,X,X,O,O,O,O,X,X
TJIOSZL,O,X,O,O,X,X,X,X,X,O,O,O,O,X,X
TJIOZLS,O,O,O,O,O,X,O,X,X,O,O,O,O,X,X
TJIOZSL,O,O,O,X,O,X,X,X,X,O,O,O,O,X,X
TJLISZO,O,O,O,X,X,X,O,X,X,X,X,X,O,O,X
TJLISOZ,X,O,O,O,X,X,O,X,X,X,X,X,O,O,X
TJLIZSO,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O
TJLIZOS,O,O,O,X,O,X,O,X,X,X,X,X,O,X,O
TJLIOSZ,O,X,O,O,O,X,O,X,X,X,O,O,O,X,X
TJLIOZS,O,O,O,O,O,X,O,X,X,X,O,O,O,X,X
TJLSIZO,O,O,O,X,X,X,O,X,X,X,X,X,O,O,X
TJLSIOZ,X,O,O,O,X,X,O,O,X,X,O,X,O,O,X
TJLSZIO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O
TJLSZOI,O,O,O,O,O,X,X,O,X,X,O,X,O,X,X
TJLSOIZ,O,O,O,O,O,X,X,O,X,X,O,O,O,O,X
TJLSOZI,O,O,O,O,O,X,X,O,X,X,O,O,O,X,X
TJLZISO,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O
TJLZIOS,O,O,O,X,O,X,O,X,O,X,X,O,O,X,O
TJLZSIO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O
TJLZSOI,O,O,O,O,O,X,X,X,O,X,X,O,O,X,X
TJLZOIS,O,O,O,O,O,X,X,X,O,X,O,O,O,X,O
TJLZOSI,O,O,O,O,O,X,X,X,O,X,O,O,O,X,X
TJLOISZ,O,X,O,O,O,X,O,O,X,X,O,O,O,X,X
TJLOIZS,O,O,O,O,O,X,O,X,O,X,O,O,O,X,X
TJLOSIZ,O,X,O,O,O,X,X,O,X,X,O,O,O,O,X
TJLOSZI,O,X,O,O,O,X,X,O,X,X,O,O,O,X,X
TJLOZIS,O,O,O,O,O,X,X,X,O,X,O,O,O,X,O
TJLOZSI,O,O,O,O,O,X,X,X,O,X,O,O,O,X,X
TJSILZO,O,O,O,X,X,X,O,X,X,X,X,X,O,O,X
TJSILOZ,X,O,O,O,X,X,O,O,X,X,O,X,O,O,X
TJSIZLO,O,O,O,X,X,X,X,X,X,X,X,X,O,O,X
TJSIZOL,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X
TJSIOLZ,X,O,O,O,X,X,O,O,X,X,O,X,O,O,X
TJSIOZL,X,X,O,O,X,X,X,O,X,X,O,X,O,X,X
TJSLIZO,O,O,O,X,X,X,O,X,X,X,X,X,O,O,X
TJSLIOZ,X,O,O,O,X,X,O,O,X,X,O,X,O,O,X
TJSLZIO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O
TJSLZOI,O,O,O,O,O,X,X,O,X,X,O,X,O,X,X
TJSLOIZ,O,O,O,O,O,X,X,O,X,X,O,O,O,O,X
TJSLOZI,O,O,O,O,O,X,X,O,X,X,O,O,O,X,X
TJSZILO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O
TJSZIOL,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TJSZLIO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O
TJSZLOI,O,O,O,O,O,O,X,O,X,X,O,O,O,X,X
TJSZOIL,O,O,O,O,O,O,X,O,X,X,O,O,X,X,X
TJSZOLI,O,O,O,O,O,O,X,O,X,X,O,O,O,X,X
TJSOILZ,O,O,O,O,O,X,X,O,X,X,O,O,O,O,X
TJSOIZL,O,X,O,O,X,O,X,O,X,X,O,O,O,X,X
TJSOLIZ,O,O,O,O,O,X,X,O,X,X,O,O,O,O,X
TJSOLZI,O,O,O,O,O,X,X,O,X,X,O,O,O,X,X
TJSOZIL,O,O,O,O,O,O,X,O,X,X,O,O,X,X,X
TJSOZLI,O,O,O,O,O,O,X,O,X,X,O,O,O,X,X
TJZILSO,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O
TJZILOS,O,O,O,X,O,X,O,X,O,O,X,O,O,X,O
TJZISLO,O,O,O,X,X,X,X,X,X,X,X,X,O,X,O
TJZISOL,O,O,O,X,X,X,X,X,X,O,X,X,O,X,X
TJZIOLS,O,O,O,X,O,X,O,X,O,O,X,O,O,X,O
TJZIOSL,O,O,O,X,O,X,X,X,O,O,X,O,O,X,X
TJZLISO,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O
TJZLIOS,O,O,O,X,O,X,O,X,O,X,X,O,O,X,O
TJZLSIO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O
TJZLSOI,O,O,O,O,O,X,X,X,O,X,X,O,O,X,X
TJZLOIS,O,O,O,O,O,X,X,X,O,X,O,O,O,X,O
TJZLOSI,O,O,O,O,O,X,X,X,O,X,O,O,O,X,X
