sequence,v115@9gA8IeC8GeB8EeA8BeC8DeB8KeRAJvhFUiBGjB9qBT?mB/tBywB,v115@9gA8IeC8GeB8EeA8BeC8DeB8KeGAJvhFxhBXjBimB9?tB0qBzrB,v115@9gA8IeC8GeB8EeA8BeC8DeB8KeGAJvhFNmBaoB5oBX?nB0qBzrB,v115@9gA8IeC8GeB8EeA8BeC8DeB8KeCBJvhFXiBdoB5oBe?rBUlBzrB,v115@9gA8IeC8GeB8EeA8BeC8DeB8KeCBJvhFOnBXjBTmB9?tBUlBRwB,v115@9gA8IeC8GeB8EeA8BeC8DeB8KefGJvhF6mBNnBToBU?lBGtBRwB
TIZSJOL,O,O,O,X,O,X
TIZSOLJ,X,O,O,X,O,O
TIZSOJL,O,O,O,O,O,X
TIZOLJS,X,O,O,X,O,X
TIZOLSJ,X,O,O,X,O,O
TIZOJLS,X,O,O,O,O,X
TIZOJSL,X,O,O,O,O,X
TIZOSLJ,X,O,O,X,O,O
TIZOSJL,O,O,O,O,O,X
TIOLJSZ,X,O,X,O,O,O
TIOLJZS,X,O,X,O,O,X
TIOLSJZ,O,O,X,O,O,O
TIOLSZJ,O,O,X,X,O,O
TIOLZJS,X,O,X,X,O,X
TIOLZSJ,O,O,X,X,O,O
TIOJLSZ,X,O,X,O,O,O
TIOJLZS,X,O,X,O,O,X
TIOJSLZ,X,O,X,O,O,O
TIOJSZL,X,O,X,O,O,X
TIOJZLS,X,X,X,O,O,X
TIOJZSL,X,X,X,O,O,X
TIOSLJZ,O,O,X,O,O,O
TIOSLZJ,O,O,X,X,O,O
TIOSJLZ,O,O,X,O,O,O
TIOSJZL,O,O,X,O,O,X
TIOSZLJ,X,O,X,X,O,O
TIOSZJL,O,O,X,O,O,X
TIOZLJS,X,O,X,X,O,X
TIOZLSJ,X,O,X,X,O,O
TIOZJLS,X,O,X,O,O,X
TIOZJSL,X,O,X,O,O,X
TIOZSLJ,X,O,X,X,O,O
TIOZSJL,O,O,X,O,O,X
TLIJSZO,O,X,O,O,X,X
TLIJSOZ,O,X,X,O,O,O
TLIJZSO,O,X,O,O,X,X
TLIJZOS,X,X,O,X,X,X
TLIJOSZ,X,X,X,O,O,O
TLIJOZS,X,X,X,O,O,X
TLISJZO,O,X,O,O,X,X
TLISJOZ,O,X,X,O,O,O
TLISZJO,O,X,O,X,X,X
TLISZOJ,O,X,O,X,X,O
TLISOJZ,O,X,X,O,O,O
TLISOZJ,O,X,X,X,O,O
TLIZJSO,O,X,O,X,X,X
TLIZJOS,X,X,O,X,X,X
TLIZSJO,O,X,O,X,X,X
TLIZSOJ,O,X,O,X,X,O
TLIZOJS,X,X,O,X,X,X
TLIZOSJ,O,X,O,X,X,O
TLIOJSZ,O,X,X,O,O,O
TLIOJZS,O,X,X,O,O,X
TLIOSJZ,O,X,X,O,O,O
TLIOSZJ,O,X,X,X,O,O
TLIOZJS,O,X,X,X,O,X
TLIOZSJ,O,X,X,X,O,O
TLJISZO,O,X,O,O,X,X
TLJISOZ,O,X,X,O,X,X
TLJIZSO,O,X,O,O,X,X
TLJIZOS,X,X,O,X,X,X
TLJIOSZ,X,X,X,O,X,X
TLJIOZS,X,X,X,O,X,X
TLJSIZO,O,O,O,O,X,X
TLJSIOZ,O,O,X,O,X,X
TLJSZIO,O,O,O,O,X,X
TLJSZOI,O,O,O,X,X,X
TLJSOIZ,O,O,X,O,X,X
TLJSOZI,O,O,X,X,X,X
TLJZISO,O,O,O,O,X,X
TLJZIOS,X,O,O,X,X,X
TLJZSIO,O,O,O,O,X,X
TLJZSOI,O,O,O,X,X,X
TLJZOIS,X,O,O,X,X,X
TLJZOSI,X,O,O,X,X,X
TLJOISZ,O,O,X,O,X,X
TLJOIZS,O,O,X,O,X,X
TLJOSIZ,O,O,X,O,X,X
TLJOSZI,O,O,X,O,X,X
TLJOZIS,O,O,X,O,X,X
TLJOZSI,O,O,X,O,X,X
TLSIJZO,O,O,O,O,X,X
TLSIJOZ,O,O,X,O,O,X
TLSIZJO,O,X,O,X,X,X
TLSIZOJ,O,X,O,X,X,X
TLSIOJZ,O,X,X,O,O,X
TLSIOZJ,O,X,X,X,O,X
TLSJIZO,O,O,O,O,X,X
TLSJIOZ,O,O,X,O,O,X
TLSJZIO,O,O,O,O,X,X
TLSJZOI,O,O,O,X,X,X
TLSJOIZ,O,O,X,O,X,X
TLSJOZI,O,O,X,X,X,X
TLSZIJO,O,O,O,X,X,X
TLSZIOJ,O,O,O,X,X,X
TLSZJIO,O,O,O,X,X,X
TLSZJOI,O,O,O,X,X,X
TLSZOIJ,O,O,O,X,X,X
TLSZOJI,O,O,O,X,X,X
TLSOIJZ,O,O,X,O,X,X
TLSOIZJ,O,O,X,X,X,X
TLSOJIZ,O,O,X,O,X,X
TLSOJZI,O,O,X,O,X,X
TLSOZIJ,O,O,X,X,X,X
TLSOZJI,O,O,X,X,X,X
TLZIJSO,O,O,O,X,X,X
TLZIJOS,X,O,O,X,X,X
TLZISJO,O,O,O,X,X,X
TLZISOJ,O,O,O,X,X,X
TLZIOJS,X,O,O,X,X,X
TLZIOSJ,O,O,O,X,X,X
TLZJISO,O,O,O,X,X,X
TLZJIOS,X,O,O,X,X,X
TLZJSIO,O,O,O,X,X,X
TLZJSOI,O,O,O,X,X,X
TLZJOIS,X,O,O,X,X,X
TLZJOSI,X,O,O,X,X,X
TLZSIJO,O,O,O,X,X,X
TLZSIOJ,O,O,O,X,X,X
TLZSJIO,O,O,O,X,X,X
TLZSJOI,O,O,O,X,X,X
TLZSOIJ,O,O,O,X,X,X
TLZSOJI,O,O,O,X,X,X
TLZOIJS,O,O,O,X,X,X
TLZOISJ,O,O,O,X,X,X
TLZOJIS,O,O,O,X,X,X
TLZOJSI,O,O,O,X,X,X
TLZOSIJ,O,O,O,X,X,X
TLZOSJI,O,O,O,X,X,X
TLOIJSZ,O,O,X,O,X,O
TLOIJZS,O,O,X,O,X,X
TLOISJZ,O,O,X,O,X,O
TLOISZJ,O,O,X,X,X,O
TLOIZJS,O,O,X,X,X,X
TLOIZSJ,O,O,X,X,X,O
TLOJISZ,O,O,X,O,X,X
TLOJIZS,O,O,X,O,X,X
TLOJSIZ,O,O,X,O,X,X
TLOJSZI,O,O,X,O,X,X
TLOJZIS,O,O,X,O,X,X
TLOJZSI,O,O,X,O,X,X
TLOSIJZ,O,O,X,O,X,X
TLOSIZJ,O,O,X,X,X,X
TLOSJIZ,O,O,X,O,X,X
TLOSJZI,O,O,X,O,X,X
TLOSZIJ,O,O,X,X,X,X
TLOSZJI,O,O,X,X,X,X
TLOZIJS,O,O,X,X,X,X
TLOZISJ,O,O,X,X,X,X
TLOZJIS,O,O,X,X,X,X
TLOZJSI,O,O,X,X,X,X
TLOZSIJ,O,O,X,X,X,X
TLOZSJI,O,O,X,X,X,X
TJILSZO,O,X,O,O,X,X
TJILSOZ,O,X,X,O,O,O
TJILZSO,O,X,O,O,X,X
TJILZOS,X,X,O,X,X,X
TJILOSZ,X,X,X,O,O,O
TJILOZS,X,X,X,O,O,X
TJISLZO,O,O,O,O,X,X
TJISLOZ,O,O,X,O,O,O
TJISZLO,O,O,O,O,X,X
TJISZOL,O,O,O,X,O,X
TJISOLZ,O,O,X,O,O,O
TJISOZL,O,O,X,O,O,X
TJIZLSO,X,O,O,O,X,X
TJIZLOS,X,O,O,X,X,X
TJIZSLO,O,O,O,O,X,X
TJIZSOL,O,O,O,X,O,X
TJIZOLS,X,O,O,O,O,X
TJIZOSL,X,O,O,O,O,X
TJIOLSZ,X,O,X,O,O,O
TJIOLZS,X,O,X,O,O,X
TJIOSLZ,X,O,X,O,O,O
TJIOSZL,X,O,X,O,O,X
TJIOZLS,X,X,X,O,O,X
TJIOZSL,X,X,X,O,O,X
TJLISZO,O,X,O,O,X,X
TJLISOZ,O,X,X,O,X,X
TJLIZSO,O,X,O,O,X,X
TJLIZOS,X,X,O,X,X,X
TJLIOSZ,X,X,X,O,X,X
TJLIOZS,X,X,X,O,X,X
TJLSIZO,O,O,O,O,X,X
TJLSIOZ,O,O,X,O,X,X
TJLSZIO,O,O,O,O,X,X
TJLSZOI,O,O,O,X,X,X
TJLSOIZ,O,O,X,O,X,X
TJLSOZI,O,O,X,X,X,X
TJLZISO,O,O,O,O,X,X
TJLZIOS,X,O,O,X,X,X
TJLZSIO,O,O,O,O,X,X
TJLZSOI,O,O,O,X,X,X
TJLZOIS,X,O,O,X,X,X
TJLZOSI,X,O,O,X,X,X
TJLOISZ,O,O,X,O,X,X
TJLOIZS,O,O,X,O,X,X
TJLOSIZ,O,O,X,O,X,X
TJLOSZI,O,O,X,O,X,X
TJLOZIS,O,O,X,O,X,X
TJLOZSI,O,O,X,O,X,X
TJSILZO,O,O,O,O,X,X
TJSILOZ,O,O,X,O,O,X
TJSIZLO,O,O,O,O,X,X
TJSIZOL,O,O,O,X,O,X
TJSIOLZ,O,O,X,O,O,X
TJSIOZL,O,O,X,O,O,X
TJSLIZO,O,O,O,O,X,X
TJSLIOZ,O,O,X,O,O,X
TJSLZIO,O,O,O,O,X,X
TJSLZOI,O,O,O,X,X,X
TJSLOIZ,O,O,X,O,X,X
TJSLOZI,O,O,X,X,X,X
TJSZILO,O,O,O,O,X,X
TJSZIOL,O,O,O,X,O,X
TJSZLIO,O,O,O,O,X,X
TJSZLOI,O,O,O,X,X,X
TJSZOIL,O,O,O,X,X,X
TJSZOLI,O,O,O,X,X,X
TJSOILZ,O,O,X,O,O,X
TJSOIZL,O,O,X,O,O,X
TJSOLIZ,O,O,X,O,X,X
TJSOLZI,O,O,X,O,X,X
TJSOZIL,O,O,X,O,X,X
TJSOZLI,O,O,X,O,X,X
TJZILSO,X,O,O,O,X,X
TJZILOS,X,O,O,X,X,X
TJZISLO,O,O,O,O,X,X
TJZISOL,O,O,O,X,X,X
TJZIOLS,X,O,O,O,X,X
TJZIOSL,X,O,O,O,X,X
TJZLISO,O,O,O,O,X,X
TJZLIOS,X,O,O,X,X,X
TJZLSIO,O,O,O,O,X,X
TJZLSOI,O,O,O,X,X,X
TJZLOIS,X,O,O,X,X,X
TJZLOSI,X,O,O,X,X,X
TJZSILO,O,O,O,O,X,X
TJZSIOL,O,O,O,X,X,X
TJZSLIO,O,O,O,O,X,X
TJZSLOI,O,O,O,X,X,X
TJZSOIL,O,O,O,X,X,X
TJZSOLI,O,O,O,X,X,X
TJZOILS,X,O,O,O,X,X
TJZOISL,X,O,O,O,X,X
TJZOLIS,X,O,O,O,X,X
TJZOLSI,X,O,O,O,X,X
TJZOSIL,X,O,O,O,X,X
TJZOSLI,X,O,O,O,X,X
TJOILSZ,X,O,X,O,X,O
TJOILZS,X,O,X,O,X,X
TJOISLZ,X,O,X,O,X,O
TJOISZL,X,O,X,O,X,X
TJOIZLS,X,X,X,O,X,X
TJOIZSL,X,X,X,O,X,X
TJOLISZ,X,O,X,O,X,X
TJOLIZS,X,O,X,O,X,X
TJOLSIZ,X,O,X,O,X,X
TJOLSZI,X,O,X,O,X,X
TJOLZIS,X,O,X,O,X,X
TJOLZSI,X,O,X,O,X,X
TJOSILZ,X,O,X,O,X,X
TJOSIZL,X,O,X,O,X,X
TJOSLIZ,X,O,X,O,X,X
TJOSLZI,X,O,X,O,X,X
TJOSZIL,X,O,X,O,X,X
TJOSZLI,X,O,X,O,X,X
TJOZILS,X,O,X,O,X,X
TJOZISL,X,O,X,O,X,X
TJOZLIS,X,O,X,O,X,X
TJOZLSI,X,O,X,O,X,X
TJOZSIL,X,O,X,O,X,X
TJOZSLI,X,O,X,O,X,X
TSILJZO,O,O,O,O,X,X
TSILJOZ,O,O,X,O,O,O
TSILZJO,O,X,O,X,X,X
TSILZOJ,O,X,O,X,X,O
TSILOJZ,O,X,X,O,O,O
TSILOZJ,O,X,X,X,O,O
TSIJLZO,O,O,O,O,X,X
TSIJLOZ,O,O,X,O,O,O
TSIJZLO,O,O,O,O,X,X
TSIJZOL,O,O,O,X,O,X
TSIJOLZ,O,O,X,O,O,O
TSIJOZL,O,O,X,O,O,X
TSIZLJO,O,O,O,X,X,X
TSIZLOJ,O,O,O,X,X,O
TSIZJLO,O,O,O,O,X,X
TSIZJOL,O,O,O,X,O,X
TSIZOLJ,X,O,O,X,O,O
TSIZOJL,O,O,O,O,O,X
TSIOLJZ,O,O,X,O,O,O
TSIOLZJ,O,O,X,X,O,O
TSIOJLZ,O,O,X,O,O,O
TSIOJZL,O,O,X,O,O,X
TSIOZLJ,X,O,X,X,O,O
TSIOZJL,O,O,X,O,O,X
TSLIJZO,O,O,O,O,X,X
TSLIJOZ,O,O,X,O,O,X
TSLIZJO,O,X,O,X,X,X
TSLIZOJ,O,X,O,X,X,X
TSLIOJZ,O,X,X,O,O,X
TSLIOZJ,O,X,X,X,O,X
TSLJIZO,O,O,O,O,X,X
TSLJIOZ,O,O,X,O,O,X
TSLJZIO,O,O,O,O,X,X
TSLJZOI,O,O,O,X,X,X
TSLJOIZ,O,O,X,O,X,X
TSLJOZI,O,O,X,X,X,X
TSLZIJO,O,O,O,X,X,X
TSLZIOJ,O,O,O,X,X,X
TSLZJIO,O,O,O,X,X,X
TSLZJOI,O,O,O,X,X,X
TSLZOIJ,O,O,O,X,X,X
TSLZOJI,O,O,O,X,X,X
TSLOIJZ,O,O,X,O,X,X
TSLOIZJ,O,O,X,X,X,X
TSLOJIZ,O,O,X,O,X,X
TSLOJZI,O,O,X,O,X,X
TSLOZIJ,O,O,X,X,X,X
TSLOZJI,O,O,X,X,X,X
TSJILZO,O,O,O,O,X,X
TSJILOZ,O,O,X,O,O,X
TSJIZLO,O,O,O,O,X,X
TSJIZOL,O,O,O,X,O,X
TSJIOLZ,O,O,X,O,O,X
TSJIOZL,O,O,X,O,O,X
TSJLIZO,O,O,O,O,X,X
TSJLIOZ,O,O,X,O,O,X
TSJLZIO,O,O,O,O,X,X
TSJLZOI,O,O,O,X,X,X
TSJLOIZ,O,O,X,O,X,X
TSJLOZI,O,O,X,X,X,X
TSJZILO,O,O,O,O,X,X
TSJZIOL,O,O,O,X,O,X
TSJZLIO,O,O,O,O,X,X
TSJZLOI,O,O,O,X,X,X
TSJZOIL,O,O,O,X,X,X
TSJZOLI,O,O,O,X,X,X
TSJOILZ,O,O,X,O,O,X
TSJOIZL,O,O,X,O,O,X
TSJOLIZ,O,O,X,O,X,X
TSJOLZI,O,O,X,O,X,X
TSJOZIL,O,O,X,O,X,X
TSJOZLI,O,O,X,O,X,X
TSZILJO,O,O,O,X,X,X
TSZILOJ,O,O,O,X,X,X
TSZIJLO,O,O,O,O,X,X
TSZIJOL,O,O,O,X,O,X
TSZIOLJ,X,O,O,X,O,X
TSZIOJL,O,O,O,O,O,X
TSZLIJO,O,O,O,X,X,X
TSZLIOJ,O,O,O,X,X,X
TSZLJIO,O,O,O,X,X,X
TSZLJOI,O,O,O,X,X,X
TSZLOIJ,O,O,O,X,X,X
TSZLOJI,O,O,O,X,X,X
TSZJILO,O,O,O,O,X,X
TSZJIOL,O,O,O,X,O,X
TSZJLIO,O,O,O,O,X,X
TSZJLOI,O,O,O,X,X,X
TSZJOIL,O,O,O,X,X,X
TSZJOLI,O,O,O,X,X,X
TSZOILJ,X,O,O,X,X,X
TSZOIJL,O,O,O,O,X,X
TSZOLIJ,O,O,O,X,X,X
TSZOLJI,O,O,O,X,X,X
TSZOJIL,O,O,O,O,X,X
TSZOJLI,O,O,O,O,X,X
TSOILJZ,O,O,X,O,O,O
TSOILZJ,O,O,X,X,O,O
TSOIJLZ,O,O,X,O,O,O
TSOIJZL,O,O,X,O,O,X
TSOIZLJ,X,O,X,X,O,O
TSOIZJL,O,O,X,O,O,X
TSOLIJZ,O,O,X,O,X,X
TSOLIZJ,O,O,X,X,X,X
TSOLJIZ,O,O,X,O,X,X
TSOLJZI,O,O,X,O,X,X
TSOLZIJ,O,O,X,X,X,X
TSOLZJI,O,O,X,X,X,X
TSOJILZ,O,O,X,O,O,X
TSOJIZL,O,O,X,O,O,X
TSOJLIZ,O,O,X,O,X,X
TSOJLZI,O,O,X,O,X,X
TSOJZIL,O,O,X,O,X,X
TSOJZLI,O,O,X,O,X,X
TSOZILJ,X,O,X,X,X,X
TSOZIJL,O,O,X,O,X,X
TSOZLIJ,O,O,X,X,X,X
TSOZLJI,O,O,X,X,X,X
TSOZJIL,O,O,X,O,X,X
TSOZJLI,O,O,X,O,X,X
TZILJSO,O,O,O,X,X,X
TZILJOS,X,O,O,X,X,X
TZILSJO,O,O,O,X,X,X
TZILSOJ,O,O,O,X,X,O
TZILOJS,X,O,O,X,X,X
TZILOSJ,O,O,O,X,X,O
TZIJLSO,X,O,O,O,X,X
TZIJLOS,X,O,O,X,X,X
TZIJSLO,O,O,O,O,X,X
TZIJSOL,O,O,O,X,O,X
TZIJOLS,X,O,O,O,O,X
TZIJOSL,X,O,O,O,O,X
TZISLJO,O,O,O,X,X,X
TZISLOJ,O,O,O,X,X,O
TZISJLO,O,O,O,O,X,X
TZISJOL,O,O,O,X,O,X
TZISOLJ,X,O,O,X,O,O
TZISOJL,O,O,O,O,O,X
TZIOLJS,X,O,O,X,O,X
TZIOLSJ,X,O,O,X,O,O
TZIOJLS,X,O,O,O,O,X
TZIOJSL,X,O,O,O,O,X
TZIOSLJ,X,O,O,X,O,O
TZIOSJL,O,O,O,O,O,X
TZLIJSO,O,O,O,X,X,X
TZLIJOS,X,O,O,X,X,X
TZLISJO,O,O,O,X,X,X
TZLISOJ,O,O,O,X,X,X
TZLIOJS,X,O,O,X,X,X
TZLIOSJ,O,O,O,X,X,X
TZLJISO,O,O,O,X,X,X
TZLJIOS,X,O,O,X,X,X
TZLJSIO,O,O,O,X,X,X
TZLJSOI,O,O,O,X,X,X
TZLJOIS,X,O,O,X,X,X
TZLJOSI,X,O,O,X,X,X
TZLSIJO,O,O,O,X,X,X
TZLSIOJ,O,O,O,X,X,X
TZLSJIO,O,O,O,X,X,X
TZLSJOI,O,O,O,X,X,X
TZLSOIJ,O,O,O,X,X,X
TZLSOJI,O,O,O,X,X,X
TZLOIJS,O,O,O,X,X,X
TZLOISJ,O,O,O,X,X,X
TZLOJIS,O,O,O,X,X,X
TZLOJSI,O,O,O,X,X,X
TZLOSIJ,O,O,O,X,X,X
TZLOSJI,O,O,O,X,X,X
TZJILSO,X,O,O,O,X,X
TZJILOS,X,O,O,X,X,X
TZJISLO,O,O,O,O,X,X
TZJISOL,O,O,O,X,X,X
TZJIOLS,X,O,O,O,X,X
TZJIOSL,X,O,O,O,X,X
TZJLISO,O,O,O,O,X,X
TZJLIOS,X,O,O,X,X,X
TZJLSIO,O,O,O,O,X,X
TZJLSOI,O,O,O,X,X,X
TZJLOIS,X,O,O,X,X,X
TZJLOSI,X,O,O,X,X,X
TZJSILO,O,O,O,O,X,X
TZJSIOL,O,O,O,X,X,X
TZJSLIO,O,O,O,O,X,X
TZJSLOI,O,O,O,X,X,X
TZJSOIL,O,O,O,X,X,X
TZJSOLI,O,O,O,X,X,X
TZJOILS,X,O,O,O,X,X
TZJOISL,X,O,O,O,X,X
TZJOLIS,X,O,O,O,X,X
TZJOLSI,X,O,O,O,X,X
TZJOSIL,X,O,O,O,X,X
TZJOSLI,X,O,O,O,X,X
TZSILJO,O,O,O,X,X,X
TZSILOJ,O,O,O,X,X,X
TZSIJLO,O,O,O,O,X,X
TZSIJOL,O,O,O,X,O,X
TZSIOLJ,X,O,O,X,O,X
TZSIOJL,O,O,O,O,O,X
TZSLIJO,O,O,O,X,X,X
TZSLIOJ,O,O,O,X,X,X
TZSLJIO,O,O,O,X,X,X
TZSLJOI,O,O,O,X,X,X
TZSLOIJ,O,O,O,X,X,X
TZSLOJI,O,O,O,X,X,X
TZSJILO,O,O,O,O,X,X
TZSJIOL,O,O,O,X,O,X
TZSJLIO,O,O,O,O,X,X
TZSJLOI,O,O,O,X,X,X
TZSJOIL,O,O,O,X,X,X
TZSJOLI,O,O,O,X,X,X
TZSOILJ,X,O,O,X,X,X
TZSOIJL,O,O,O,O,X,X
TZSOLIJ,O,O,O,X,X,X
TZSOLJI,O,O,O,X,X,X
TZSOJIL,O,O,O,O,X,X
TZSOJLI,O,O,O,O,X,X
TZOILJS,X,O,O,X,X,X
TZOILSJ,X,O,O,X,X,O
TZOIJLS,X,O,O,O,X,X
TZOIJSL,X,O,O,O,X,X
TZOISLJ,X,O,O,X,X,O
TZOISJL,O,O,O,O,X,X
TZOLIJS,X,O,O,X,X,X
TZOLISJ,O,O,O,X,X,X
TZOLJIS,X,O,O,X,X,X
TZOLJSI,X,O,O,X,X,X
TZOLSIJ,O,O,O,X,X,X
TZOLSJI,O,O,O,X,X,X
TZOJILS,X,O,O,O,X,X
TZOJISL,X,O,O,O,X,X
TZOJLIS,X,O,O,O,X,X
TZOJLSI,X,O,O,O,X,X
TZOJSIL,X,O,O,O,X,X
TZOJSLI,X,O,O,O,X,X
TZOSILJ,X,O,O,X,X,X
TZOSIJL,O,O,O,O,X,X
TZOSLIJ,O,O,O,X,X,X
TZOSLJI,O,O,O,X,X,X
TZOSJIL,O,O,O,O,X,X
TZOSJLI,O,O,O,O,X,X
TOILJSZ,X,O,X,O,O,O
TOILJZS,X,O,X,O,O,X
TOILSJZ,O,O,X,O,O,O
TOILSZJ,O,O,X,X,O,O
TOILZJS,X,O,X,X,O,X
TOILZSJ,O,O,X,X,O,O
TOIJLSZ,X,O,X,O,O,O
TOIJLZS,X,O,X,O,O,X
TOIJSLZ,X,O,X,O,O,O
TOIJSZL,X,O,X,O,O,X
TOIJZLS,X,X,X,O,O,X
TOIJZSL,X,X,X,O,O,X
TOISLJZ,O,O,X,O,O,O
TOISLZJ,O,O,X,X,O,O
TOISJLZ,O,O,X,O,O,O
TOISJZL,O,O,X,O,O,X
TOISZLJ,X,O,X,X,O,O
TOISZJL,O,O,X,O,O,X
TOIZLJS,X,O,X,X,O,X
TOIZLSJ,X,O,X,X,O,O
TOIZJLS,X,O,X,O,O,X
TOIZJSL,X,O,X,O,O,X
TOIZSLJ,X,O,X,X,O,O
TOIZSJL,O,O,X,O,O,X
TOLIJSZ,O,O,X,O,X,O
TOLIJZS,O,O,X,O,X,X
TOLISJZ,O,O,X,O,X,O
TOLISZJ,O,O,X,X,X,O
TOLIZJS,O,O,X,X,X,X
TOLIZSJ,O,O,X,X,X,O
TOLJISZ,O,O,X,O,X,X
TOLJIZS,O,O,X,O,X,X
TOLJSIZ,O,O,X,O,X,X
TOLJSZI,O,O,X,O,X,X
TOLJZIS,O,O,X,O,X,X
TOLJZSI,O,O,X,O,X,X
TOLSIJZ,O,O,X,O,X,X
TOLSIZJ,O,O,X,X,X,X
TOLSJIZ,O,O,X,O,X,X
TOLSJZI,O,O,X,O,X,X
TOLSZIJ,O,O,X,X,X,X
TOLSZJI,O,O,X,X,X,X
TOLZIJS,O,O,X,X,X,X
TOLZISJ,O,O,X,X,X,X
TOLZJIS,O,O,X,X,X,X
TOLZJSI,O,O,X,X,X,X
TOLZSIJ,O,O,X,X,X,X
TOLZSJI,O,O,X,X,X,X
TOJILSZ,X,O,X,O,X,O
TOJILZS,X,O,X,O,X,X
TOJISLZ,X,O,X,O,X,O
TOJISZL,X,O,X,O,X,X
TOJIZLS,X,X,X,O,X,X
TOJIZSL,X,X,X,O,X,X
TOJLISZ,X,O,X,O,X,X
TOJLIZS,X,O,X,O,X,X
TOJLSIZ,X,O,X,O,X,X
TOJLSZI,X,O,X,O,X,X
TOJLZIS,X,O,X,O,X,X
TOJLZSI,X,O,X,O,X,X
TOJSILZ,X,O,X,O,X,X
TOJSIZL,X,O,X,O,X,X
TOJSLIZ,X,O,X,O,X,X
TOJSLZI,X,O,X,O,X,X
