sequence,v115@GhA8HeC8GeD8DeD8Jei/IvhFRhBunBfqBzmBUrBlqB,v115@GhA8HeC8GeD8DeD8JeT/IvhFxgBliBXlBUnBGrByvB,v115@GhA8HeC8GeD8DeD8JeT/IvhFxgBliBSqB/rBUnB2vB,v115@GhA8HeC8GeD8DeD8Je/EJvhFzgBRiBGnB0qBlrBaqB,v115@GhA8HeC8GeD8DeD8JeT/IvhFylB3iBFqBxrBurB0qB,v115@GhA8HeC8GeD8DeD8JeT/IvhF0gBlhB3iBRqBCsB2vB,v115@GhA8HeC8GeD8DeD8JeT/IvhF3iBxlBmlBUnBFqBSwB,v115@GhA8HeC8GeD8DeD8JeT/IvhFUiBxlBmlB3nBFqBSwB,v115@GhA8HeC8GeD8DeD8Je2EJvhF/mBRiBcqBTnBClBVwB,v115@GhA8HeC8GeD8DeD8Je3AJvhFRiB0kBSsBzqBlrBmpB
TSIZJLO,X,O,O,O,O,X,X,X,X,X
TSIZJOL,X,O,O,O,O,X,X,X,O,X
TSIZOLJ,X,O,O,X,O,O,O,O,O,X
TSIZOJL,X,O,O,O,O,X,O,O,O,X
TSIOLJZ,X,O,O,X,O,O,O,X,X,X
TSIOLZJ,X,O,O,X,O,O,O,X,O,X
TSIOJLZ,X,O,O,X,O,X,O,X,X,X
TSIOJZL,X,O,O,O,O,X,O,X,O,X
TSIOZLJ,X,O,O,X,O,O,O,O,O,X
TSIOZJL,X,O,O,O,O,X,O,O,O,X
TSLIJZO,X,X,X,O,O,O,X,X,X,X
TSLIJOZ,X,X,O,X,O,O,O,X,X,X
TSLIZJO,X,X,O,O,O,O,X,X,X,X
TSLIZOJ,X,X,O,X,O,O,O,X,X,X
TSLIOJZ,X,O,O,X,O,O,O,X,X,X
TSLIOZJ,X,O,O,X,O,O,O,X,X,X
TSLJIZO,X,X,X,O,O,O,X,X,X,X
TSLJIOZ,X,O,O,X,O,O,O,X,X,X
TSLJZIO,X,X,X,O,X,X,X,X,X,X
TSLJZOI,O,X,X,O,X,X,X,X,X,X
TSLJOIZ,O,O,O,X,O,O,O,X,X,X
TSLJOZI,O,X,X,X,X,X,X,X,X,X
TSLZIJO,X,X,O,O,O,O,X,X,X,X
TSLZIOJ,X,O,O,X,O,O,O,X,X,X
TSLZJIO,X,O,O,O,X,X,X,X,X,X
TSLZJOI,O,O,O,O,X,X,X,X,O,X
TSLZOIJ,O,O,O,X,O,O,O,X,O,X
TSLZOJI,O,O,O,O,X,X,X,X,O,X
TSLOIJZ,O,O,O,X,O,O,O,X,X,X
TSLOIZJ,X,O,O,X,O,O,O,X,O,X
TSLOJIZ,O,O,O,X,O,O,O,X,X,X
TSLOJZI,O,X,X,X,X,X,X,X,X,X
TSLOZIJ,O,O,O,X,O,O,O,X,O,X
TSLOZJI,O,O,O,X,X,X,X,X,O,X
TSJILZO,X,X,X,O,O,X,X,X,X,X
TSJILOZ,X,O,O,X,O,X,X,X,X,X
TSJIZLO,X,O,X,O,O,X,X,X,X,X
TSJIZOL,X,O,X,O,O,X,X,X,X,X
TSJIOLZ,X,O,O,X,O,X,O,X,X,X
TSJIOZL,X,O,O,O,O,X,O,X,X,X
TSJLIZO,X,X,X,O,O,O,X,X,X,X
TSJLIOZ,X,O,O,X,O,O,O,X,X,X
TSJLZIO,X,X,X,O,X,X,X,X,X,X
TSJLZOI,O,X,X,O,X,X,X,X,X,X
TSJLOIZ,O,O,O,X,O,O,O,X,X,X
TSJLOZI,O,X,X,X,X,X,X,X,X,X
TSJZILO,X,O,X,O,X,X,X,X,X,X
TSJZIOL,X,O,X,O,X,X,X,X,O,X
TSJZLIO,X,O,X,O,X,X,X,X,X,X
TSJZLOI,O,O,X,O,X,X,X,X,O,X
TSJZOIL,O,O,X,O,X,X,X,X,O,X
TSJZOLI,O,O,X,O,X,X,X,X,O,X
TSJOILZ,O,O,O,X,O,X,O,X,X,X
TSJOIZL,X,O,O,O,O,X,O,X,O,X
TSJOLIZ,O,O,O,X,O,O,O,X,X,X
TSJOLZI,O,X,X,X,X,X,X,X,X,X
TSJOZIL,O,O,X,O,X,X,X,X,O,X
TSJOZLI,O,O,X,O,X,X,X,X,O,X
TSZILJO,X,X,O,O,O,X,X,X,X,X
TSZILOJ,X,O,O,X,O,X,X,X,X,X
TSZIJLO,X,O,O,O,O,X,X,X,X,X
TSZIJOL,X,O,O,O,O,X,X,X,O,X
TSZIOLJ,X,O,O,X,O,X,O,X,O,X
TSZIOJL,X,O,O,O,O,X,O,X,O,X
TSZLIJO,X,X,O,O,O,O,X,X,X,X
TSZLIOJ,X,O,O,X,O,O,O,X,X,X
TSZLJIO,X,O,O,O,X,X,X,X,X,X
TSZLJOI,O,O,O,O,X,X,X,X,O,X
TSZLOIJ,O,O,O,X,O,O,O,X,O,X
TSZLOJI,O,O,O,O,X,X,X,X,O,X
TSZJILO,X,O,O,O,X,X,X,X,X,X
TSZJIOL,X,O,O,O,X,X,X,X,O,X
TSZJLIO,X,O,O,O,X,X,X,X,X,X
TSZJLOI,O,O,O,O,X,X,X,X,O,X
TSZJOIL,O,O,O,O,X,X,X,X,O,X
TSZJOLI,O,O,O,O,X,X,X,X,O,X
TSZOILJ,O,O,O,X,O,X,O,X,O,X
TSZOIJL,O,O,O,O,O,X,O,X,O,X
TSZOLIJ,O,O,O,X,O,O,O,X,O,X
TSZOLJI,O,O,O,O,X,X,X,X,O,X
TSZOJIL,O,O,O,O,X,X,X,X,O,X
TSZOJLI,O,O,O,O,X,X,X,X,O,X
TSOILJZ,O,O,O,X,O,O,O,X,X,X
TSOILZJ,X,O,O,X,O,O,O,X,O,X
TSOIJLZ,O,O,O,X,O,X,O,X,X,X
TSOIJZL,X,O,O,O,O,X,O,X,O,X
TSOIZLJ,X,O,O,X,O,O,O,O,O,X
TSOIZJL,X,O,O,O,O,X,O,O,O,X
TSOLIJZ,O,O,O,X,O,O,O,X,X,X
TSOLIZJ,X,O,O,X,O,O,O,X,O,X
TSOLJIZ,O,O,O,X,O,O,O,X,X,X
