sequence,v115@HhA8GeD8FeD8EeC8Je0/IvhFzhBCjB3lBmlBFsBxvB,v115@HhA8GeD8FeD8EeC8Jex/IvhFmhBCjBTmB0qBXsBFqB,v115@HhA8GeD8FeD8EeC8Je0/IvhFlgBCjBTqBxrBmrB3rB,v115@HhA8GeD8FeD8EeC8Jel/IvhFxiBmlBSsBTqBfsBUrB,v115@HhA8GeD8FeD8EeC8JeSFJvhFxiBlmBcsBmkB3qBTrB,v115@HhA8GeD8FeD8EeC8Je0/IvhFWmBxiBTnBKqBXmB1wB,v115@HhA8GeD8FeD8EeC8Je0/IvhFCjBRmBlmBmqBXsBTqB,v115@HhA8GeD8FeD8EeC8JezBJvhFCjBRlBmkBUrBFsB3qB,v115@HhA8GeD8FeD8EeC8Je0/IvhFlgBxiBKrBGnBfsBTqB,v115@HhA8GeD8FeD8EeC8Je0/IvhFXhBxiBmqBFsBCsBTqB,v115@HhA8GeD8FeD8EeC8Je0/IvhFXhBxiBmqBCsBFsBTqB,v115@HhA8GeD8FeD8EeC8Jel/IvhFUiBxlBCoBmqBzrB3qB,v115@HhA8GeD8FeD8EeC8Je0/IvhFXhBVnBTlBCoBmrBxvB,v115@HhA8GeD8FeD8EeC8JezBJvhFCjBRlBmkBUmB1vBXsB,v115@HhA8GeD8FeD8EeC8Jel/IvhFzgBxiBKqBGnBfsBUrB,v115@HhA8GeD8FeD8EeC8Je0/IvhFmhBCjBxqBXsBFrBTqB
TISOZJL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZLJSO,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIZLJOS,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TIZLSJO,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIZLSOJ,O,O,X,X,O,X,X,O,X,X,X,X,X,O,X,X
TIZLOJS,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIZLOSJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIZJLSO,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TIZJLOS,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TIZJSLO,O,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X
TIZJSOL,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TIZJOLS,O,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X
TIZJOSL,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
TIZSLJO,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIZSLOJ,O,O,X,X,O,X,X,O,X,X,X,X,X,O,X,X
TIZSJLO,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TIZSJOL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZSOLJ,O,O,X,X,O,X,X,O,X,X,X,X,X,O,X,X
TIZSOJL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOLJS,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TIZOLSJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIZOJLS,O,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X
TIZOJSL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZOSLJ,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TIZOSJL,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOLJSZ,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
