sequence,v115@GhA8IeA8EeE8AeA8DeD8JeZEJvhFFgBmhBziBfqBUr?BCrB,v115@GhA8IeA8EeE8AeA8DeD8JeZEJvhFUgBymBziBfqBFm?BWwB,v115@GhA8IeA8EeE8AeA8DeD8JeZEJvhFukB1lBziBiqB8r?BXrB,v115@GhA8IeA8EeE8AeA8DeD8JexAJvhFymBziB3kBcqBVw?BOpB,v115@GhA8IeA8EeE8AeA8DeD8JeZEJvhFCgBziBmlBFqB8r?BXrB,v115@GhA8IeA8EeE8AeA8DeD8JeZEJvhFWlBziBimBllBUq?B3rB,v115@GhA8IeA8EeE8AeA8DeD8Jex/IvhFXhBziBOpBVqByv?B8rB,v115@GhA8IeA8EeE8AeA8DeD8JeRBJvhFziB2pB8qBFqB3r?BipB,v115@GhA8IeA8EeE8AeA8DeD8JelAJvhFziBimBxpBOpBUq?B3rB,v115@GhA8IeA8EeE8AeA8DeD8JeyEJvhFziBRmBOpBfrBUq?BlrB
TJOZLSI,X,X,X,O,X,X,O,O,X,X
TJOZSIL,O,X,X,O,X,X,X,O,X,X
TJOZSLI,O,X,X,O,X,X,X,O,X,X
TSILJZO,X,X,X,X,O,X,X,X,X,X
TSILJOZ,O,X,X,X,O,X,X,X,X,X
TSILZJO,O,X,X,X,X,X,X,X,X,X
TSILZOJ,O,O,X,X,X,X,X,X,X,X
TSILOJZ,O,X,X,X,O,X,X,X,X,X
TSILOZJ,O,O,X,X,X,X,X,X,X,X
TSIJLZO,X,O,X,X,O,X,X,X,X,X
TSIJLOZ,O,O,X,X,O,X,X,X,X,X
TSIJZLO,O,O,X,X,O,X,X,X,X,X
TSIJZOL,O,O,X,X,O,X,X,X,X,X
TSIJOLZ,O,O,X,X,O,X,X,X,X,X
TSIJOZL,O,O,X,X,O,X,X,X,X,X
TSIZLJO,O,X,X,X,X,X,X,X,X,X
TSIZLOJ,O,O,X,X,X,X,X,X,X,X
TSIZJLO,O,X,X,X,X,X,X,X,X,X
TSIZJOL,O,X,X,X,X,X,X,X,X,X
TSIZOLJ,O,O,X,X,X,X,X,X,X,X
TSIZOJL,O,X,X,X,X,X,X,X,X,X
TSIOLJZ,O,X,X,X,O,X,X,X,X,X
TSIOLZJ,O,O,X,X,X,X,X,X,X,X
TSIOJLZ,O,O,X,X,O,X,X,X,X,X
TSIOJZL,O,O,X,X,O,X,X,X,X,X
TSIOZLJ,O,O,X,X,X,X,X,X,X,X
TSIOZJL,O,X,X,X,X,X,X,X,X,X
TSLIJZO,X,X,X,X,O,X,X,X,X,X
TSLIJOZ,O,X,X,X,O,X,X,X,X,X
TSLIZJO,O,X,X,O,X,X,X,X,X,X
TSLIZOJ,O,O,X,O,X,X,X,X,X,X
TSLIOJZ,O,X,X,X,O,X,X,X,X,X
TSLIOZJ,O,O,X,O,X,X,X,X,X,X
TSLJIZO,X,X,X,X,O,X,O,X,X,X
TSLJIOZ,O,X,X,X,O,X,O,X,X,X
TSLJZIO,X,X,X,X,X,X,O,X,X,X
TSLJZOI,X,X,X,X,X,X,O,X,X,X
TSLJOIZ,O,X,X,X,O,X,O,X,X,X
TSLJOZI,X,X,X,X,X,X,O,X,X,X
TSLZIJO,O,X,X,O,X,X,X,X,X,X
TSLZIOJ,O,O,X,O,X,X,X,X,X,X
TSLZJIO,O,X,X,O,X,X,X,X,X,X
TSLZJOI,O,X,X,O,X,X,X,X,X,X
TSLZOIJ,O,O,X,O,X,X,X,X,X,X
TSLZOJI,O,X,X,O,X,X,X,X,X,X
TSLOIJZ,O,X,X,X,O,X,X,X,X,X
TSLOIZJ,O,O,X,O,X,X,X,X,X,X
TSLOJIZ,O,X,X,X,O,X,O,X,X,X
TSLOJZI,X,X,X,X,X,X,O,X,X,X
TSLOZIJ,O,O,X,O,X,X,X,X,X,X
TSLOZJI,O,X,X,O,X,X,X,X,X,X
TSJILZO,X,O,X,X,O,X,X,X,X,X
TSJILOZ,O,O,X,X,O,X,X,X,X,X
TSJIZLO,O,O,X,X,O,X,X,X,X,X
TSJIZOL,O,O,X,X,O,X,X,X,X,X
TSJIOLZ,O,O,X,X,O,X,X,X,X,X
TSJIOZL,O,O,X,X,O,X,X,X,X,X
TSJLIZO,X,O,X,X,O,X,O,X,X,X
TSJLIOZ,O,O,X,X,O,X,O,X,X,X
TSJLZIO,X,O,X,X,X,X,O,X,X,X
TSJLZOI,X,O,X,X,X,X,O,X,X,X
TSJLOIZ,O,O,X,X,O,X,O,X,X,X
TSJLOZI,X,O,X,X,X,X,O,X,X,X
TSJZILO,O,O,X,X,X,X,X,X,X,X
TSJZIOL,O,O,X,X,X,X,X,X,X,X
TSJZLIO,O,O,X,X,X,X,X,X,X,X
TSJZLOI,O,O,X,X,X,X,X,X,X,X
TSJZOIL,O,O,X,X,X,X,X,X,X,X
TSJZOLI,O,O,X,X,X,X,X,X,X,X
TSJOILZ,O,O,X,X,O,X,X,X,X,X
TSJOIZL,O,O,X,X,O,X,X,X,X,X
TSJOLIZ,O,O,X,X,O,X,O,X,X,X
TSJOLZI,X,O,X,X,X,X,O,X,X,X
TSJOZIL,O,O,X,X,X,X,X,X,X,X
TSJOZLI,O,O,X,X,X,X,X,X,X,X
TSZILJO,O,X,X,O,X,X,X,X,X,X
TSZILOJ,O,O,X,O,X,X,X,X,X,X
TSZIJLO,O,X,X,O,X,X,X,X,X,X
TSZIJOL,O,X,X,O,X,X,X,X,X,X
TSZIOLJ,O,O,X,O,X,X,X,X,X,X
TSZIOJL,O,X,X,O,X,X,X,X,X,X
TSZLIJO,O,X,X,O,X,X,X,X,X,X
TSZLIOJ,O,O,X,O,X,X,X,X,X,X
TSZLJIO,O,X,X,O,X,X,X,X,X,X
TSZLJOI,O,X,X,O,X,X,X,X,X,X
TSZLOIJ,O,O,X,O,X,X,X,X,X,X
TSZLOJI,O,X,X,O,X,X,X,X,X,X
TSZJILO,O,X,X,O,X,X,X,X,X,X
TSZJIOL,O,X,X,O,X,X,X,X,X,X
TSZJLIO,O,X,X,O,X,X,X,X,X,X
TSZJLOI,O,X,X,O,X,X,X,X,X,X
TSZJOIL,O,X,X,O,X,X,X,X,X,X
TSZJOLI,O,X,X,O,X,X,X,X,X,X
TSZOILJ,O,O,X,O,X,X,X,X,X,X
TSZOIJL,O,X,X,O,X,X,X,X,X,X
TSZOLIJ,O,O,X,O,X,X,X,X,X,X
TSZOLJI,O,X,X,O,X,X,X,X,X,X
TSZOJIL,O,X,X,O,X,X,X,X,X,X
TSZOJLI,O,X,X,O,X,X,X,X,X,X
TSOILJZ,O,X,X,X,O,X,X,X,X,X
TSOILZJ,O,O,X,X,X,X,X,X,X,X
TSOIJLZ,O,O,X,X,O,X,X,X,X,X
TSOIJZL,O,O,X,X,O,X,X,X,X,X
TSOIZLJ,O,O,X,X,X,X,X,X,X,X
TSOIZJL,O,X,X,X,X,X,X,X,X,X
TSOLIJZ,O,X,X,X,O,X,X,X,X,X
