sequence,v115@FhB8HeB8HeC8BeB8AeA8AeB8JeOEJvhFXgB8lBanB5?nB9rBzpB,v115@FhB8HeB8HeC8BeB8AeA8AeB8JeOEJvhF8kBzgBanB5?nB9rBXqB,v115@FhB8HeB8HeC8BeB8AeA8AeB8JeT/IvhFKlBfmBmhB5?nBtrB0pB,v115@FhB8HeB8HeC8BeB8AeA8AeB8JeNEJvhFUhBanB5nBX?lBGrBzpB,v115@FhB8HeB8HeC8BeB8AeA8AeB8Jex/IvhF8lBGiBikB9?rB/sBzpB,v115@FhB8HeB8HeC8BeB8AeA8AeB8JeNEJvhFRgBGiB0lB6?rB/sBzpB,v115@FhB8HeB8HeC8BeB8AeA8AeB8Je0/IvhFxhB2pBzlBt?rB6sBXqB,v115@FhB8HeB8HeC8BeB8AeA8AeB8JeyEJvhFzgBGiB9rB/?sBxpB0pB,v115@FhB8HeB8HeC8BeB8AeA8AeB8Je0/IvhFxhB/pBzlBt?rB6sBOqB,v115@FhB8HeB8HeC8BeB8AeA8AeB8JeOEJvhF8kBzgBXqBx?rBtrB6sB,v115@FhB8HeB8HeC8BeB8AeA8AeB8Jex/IvhF8lB/pBaqB9?rBTnBGsB
TLISZJO,O,O,O,X,O,O,X,O,X,X,X
TLISZOJ,O,O,O,X,O,O,X,O,O,X,X
TLISOJZ,O,O,O,X,X,O,O,O,O,X,X
TLISOZJ,O,O,O,X,X,X,X,O,O,X,X
TLIZJSO,O,X,O,O,O,O,X,X,X,X,X
TLIZJOS,O,X,O,O,X,X,X,X,X,X,X
TLIZSJO,O,O,O,X,O,O,X,O,X,X,X
TLIZSOJ,O,O,O,X,O,O,X,O,O,X,X
TLIZOJS,O,X,O,X,X,X,O,X,X,X,X
TLIZOSJ,O,O,O,X,O,O,X,O,O,X,X
TLIOJSZ,O,O,X,O,X,X,O,O,O,X,X
TLIOJZS,O,X,X,O,X,X,O,X,X,X,X
TLIOSJZ,O,O,O,X,X,O,O,O,O,X,X
TLIOSZJ,O,O,O,X,X,X,X,O,O,X,X
TLIOZJS,O,X,O,X,X,X,O,X,X,X,X
TLIOZSJ,O,O,O,X,X,X,X,O,O,X,X
TLJISZO,O,O,O,O,X,O,X,X,X,X,X
TLJISOZ,O,O,O,O,X,O,X,X,O,X,X
TLJIZSO,O,X,O,O,X,X,X,X,X,X,X
TLJIZOS,O,X,O,O,X,X,O,X,X,X,X
TLJIOSZ,O,O,X,O,X,X,O,X,O,X,X
TLJIOZS,O,X,X,O,X,X,O,X,X,X,X
TLJSIZO,O,O,O,O,O,O,X,X,X,X,X
TLJSIOZ,O,O,O,O,X,O,X,X,O,X,X
TLJSZIO,O,O,O,O,O,O,X,X,X,X,X
TLJSZOI,O,O,O,O,O,O,O,X,O,X,X
TLJSOIZ,O,O,O,O,X,O,O,X,O,X,X
TLJSOZI,O,O,O,O,O,O,O,X,O,X,X
TLJZISO,O,X,O,O,O,O,X,X,X,X,X
TLJZIOS,O,X,O,O,X,X,O,X,X,X,X
TLJZSIO,O,X,O,O,O,O,X,X,X,X,X
TLJZSOI,O,X,O,O,O,O,O,X,X,X,X
TLJZOIS,O,X,O,O,X,X,O,X,X,X,X
TLJZOSI,O,X,O,O,X,X,O,X,X,X,X
TLJOISZ,O,O,X,O,X,X,O,X,O,X,X
TLJOIZS,O,X,X,O,X,X,O,X,X,X,X
TLJOSIZ,O,O,X,O,X,X,O,X,O,X,X
TLJOSZI,O,O,X,O,X,X,O,X,O,X,X
TLJOZIS,O,X,X,O,X,X,O,X,X,X,X
TLJOZSI,O,X,X,O,X,X,O,X,X,X,X
TLSIJZO,O,O,O,O,O,O,X,O,X,X,X
TLSIJOZ,O,O,O,O,X,O,X,O,O,X,X
TLSIZJO,O,O,O,X,O,O,X,O,X,X,O
TLSIZOJ,O,O,O,X,O,O,X,O,O,X,O
TLSIOJZ,O,O,O,X,X,O,O,O,O,X,X
TLSIOZJ,O,O,O,X,X,X,X,O,O,X,O
TLSJIZO,O,O,O,O,O,O,X,O,X,X,X
TLSJIOZ,O,O,O,O,X,O,X,O,O,X,X
TLSJZIO,O,O,O,O,O,O,X,X,X,X,O
TLSJZOI,O,O,O,O,O,O,O,X,O,X,O
TLSJOIZ,O,O,O,O,O,O,O,O,O,X,X
TLSJOZI,O,O,O,O,O,O,O,X,O,X,O
TLSZIJO,O,O,O,X,O,O,X,X,X,X,O
TLSZIOJ,O,O,O,X,O,O,X,X,O,X,O
TLSZJIO,O,O,O,X,O,O,X,X,X,X,O
TLSZJOI,O,O,O,X,O,O,X,X,O,X,O
TLSZOIJ,O,O,O,X,O,O,X,X,O,X,O
TLSZOJI,O,O,O,X,O,O,X,X,O,X,O
TLSOIJZ,O,O,O,X,O,O,O,O,O,X,X
TLSOIZJ,O,O,O,X,O,O,X,O,O,X,O
TLSOJIZ,O,O,O,X,O,O,O,O,O,X,X
TLSOJZI,O,O,O,X,O,O,O,X,O,X,O
TLSOZIJ,O,O,O,X,O,O,X,X,O,X,O
TLSOZJI,O,O,O,X,O,O,X,X,O,X,O
TLZIJSO,O,X,O,O,O,O,X,X,X,X,X
TLZIJOS,O,X,O,O,X,X,X,X,X,X,X
TLZISJO,O,O,O,X,O,O,X,X,X,X,X
TLZISOJ,O,O,O,X,O,O,X,X,O,X,X
TLZIOJS,O,X,O,X,X,X,O,X,X,X,X
TLZIOSJ,O,O,O,X,O,O,X,X,O,X,X
TLZJISO,O,X,O,O,O,O,X,X,X,X,X
TLZJIOS,O,X,O,O,X,X,O,X,X,X,X
TLZJSIO,O,X,O,O,O,O,X,X,X,X,X
TLZJSOI,O,X,O,O,O,O,O,X,X,X,X
TLZJOIS,O,X,O,O,X,X,O,X,X,X,X
TLZJOSI,O,X,O,O,X,X,O,X,X,X,X
TLZSIJO,O,O,O,X,O,O,X,X,X,X,O
TLZSIOJ,O,O,O,X,O,O,X,X,O,X,O
TLZSJIO,O,O,O,X,O,O,X,X,X,X,O
TLZSJOI,O,O,O,X,O,O,X,X,O,X,O
TLZSOIJ,O,O,O,X,O,O,X,X,O,X,O
TLZSOJI,O,O,O,X,O,O,X,X,O,X,O
TLZOIJS,O,X,O,X,O,X,O,X,X,X,X
TLZOISJ,O,O,O,X,O,O,X,X,O,X,X
TLZOJIS,O,X,O,X,O,X,O,X,X,X,X
TLZOJSI,O,X,O,X,O,X,O,X,X,X,X
TLZOSIJ,O,O,O,X,O,O,X,X,O,X,O
TLZOSJI,O,O,O,X,O,O,X,X,O,X,O
TLOIJSZ,O,O,X,O,X,O,O,O,O,X,X
TLOIJZS,O,X,X,O,X,X,O,X,X,X,X
TLOISJZ,O,O,O,X,O,O,O,O,O,X,X
TLOISZJ,O,O,O,X,O,O,X,O,O,X,X
TLOIZJS,O,X,O,X,O,O,O,X,X,X,X
TLOIZSJ,O,O,O,X,O,O,X,O,O,X,X
TLOJISZ,O,O,X,O,X,O,O,X,O,X,X
TLOJIZS,O,X,X,O,X,X,O,X,X,X,X
TLOJSIZ,O,O,X,O,O,O,O,X,O,X,X
TLOJSZI,O,O,X,O,O,O,O,X,O,X,X
TLOJZIS,O,X,X,O,O,O,O,X,X,X,X
TLOJZSI,O,X,X,O,O,O,O,X,X,X,X
TLOSIJZ,O,O,O,X,O,O,O,O,O,X,X
TLOSIZJ,O,O,O,X,O,O,X,O,O,X,O
TLOSJIZ,O,O,O,X,O,O,O,O,O,X,X
TLOSJZI,O,O,O,X,O,O,O,X,O,X,O
TLOSZIJ,O,O,O,X,O,O,X,X,O,X,O
TLOSZJI,O,O,O,X,O,O,X,X,O,X,O
TLOZIJS,O,X,O,X,O,O,O,X,X,X,X
TLOZISJ,O,O,O,X,O,O,X,X,O,X,X
TLOZJIS,O,X,O,X,O,O,O,X,X,X,X
TLOZJSI,O,X,O,X,O,O,O,X,X,X,X
TLOZSIJ,O,O,O,X,O,O,X,X,O,X,O
TLOZSJI,O,O,O,X,O,O,X,X,O,X,O
TJILSZO,O,O,O,O,X,O,X,O,X,X,X
TJILSOZ,O,O,O,O,X,O,X,O,X,X,X
TJILZSO,O,X,O,O,X,X,X,X,X,X,X
TJILZOS,O,X,O,O,X,X,O,X,X,X,X
TJILOSZ,O,O,X,O,X,X,O,O,X,X,X
TJILOZS,O,X,X,O,X,X,O,X,X,X,X
TJISLZO,O,O,O,O,X,O,X,O,X,X,X
TJISLOZ,O,O,O,O,X,O,X,O,X,X,X
TJISZLO,O,O,O,O,X,O,X,O,X,X,X
TJISZOL,O,O,O,O,X,O,X,O,X,X,X
TJISOLZ,O,O,O,O,X,O,X,O,X,X,X
TJISOZL,O,O,O,O,X,O,X,O,X,X,X
TJIZLSO,O,X,O,O,X,X,X,X,X,X,X
TJIZLOS,O,X,O,O,X,X,O,X,X,X,X
TJIZSLO,O,X,O,O,X,O,X,X,X,X,X
TJIZSOL,O,X,O,O,X,O,X,X,X,X,X
TJIZOLS,O,X,O,O,X,X,O,X,X,X,X
TJIZOSL,O,X,O,O,X,X,X,X,X,X,X
TJIOLSZ,O,O,X,O,X,X,O,O,X,X,X
TJIOLZS,O,X,X,O,X,X,O,X,X,X,X
TJIOSLZ,O,O,O,O,X,X,X,O,X,X,X
TJIOSZL,O,O,O,O,X,X,X,O,X,X,X
TJIOZLS,O,X,X,O,X,X,O,X,X,X,X
TJIOZSL,O,X,O,O,X,X,X,X,X,X,X
TJLISZO,O,O,O,O,X,O,X,X,X,X,X
TJLISOZ,O,O,O,O,X,O,X,X,O,X,X
TJLIZSO,O,X,O,O,X,X,X,X,X,X,X
TJLIZOS,O,X,O,O,X,X,O,X,X,X,X
TJLIOSZ,O,O,X,O,X,X,O,X,O,X,X
TJLIOZS,O,X,X,O,X,X,O,X,X,X,X
TJLSIZO,O,O,O,O,O,O,X,X,X,X,X
TJLSIOZ,O,O,O,O,X,O,X,X,O,X,X
TJLSZIO,O,O,O,O,O,O,X,X,X,X,X
TJLSZOI,O,O,O,O,O,O,O,X,O,X,X
TJLSOIZ,O,O,O,O,X,O,O,X,O,X,X
TJLSOZI,O,O,O,O,O,O,O,X,O,X,X
TJLZISO,O,X,O,O,O,O,X,X,X,X,X
TJLZIOS,O,X,O,O,X,X,O,X,X,X,X
TJLZSIO,O,X,O,O,O,O,X,X,X,X,X
TJLZSOI,O,X,O,O,O,O,O,X,X,X,X
TJLZOIS,O,X,O,O,X,X,O,X,X,X,X
TJLZOSI,O,X,O,O,X,X,O,X,X,X,X
TJLOISZ,O,O,X,O,X,X,O,X,O,X,X
TJLOIZS,O,X,X,O,X,X,O,X,X,X,X
TJLOSIZ,O,O,X,O,X,X,O,X,O,X,X
TJLOSZI,O,O,X,O,X,X,O,X,O,X,X
TJLOZIS,O,X,X,O,X,X,O,X,X,X,X
TJLOZSI,O,X,X,O,X,X,O,X,X,X,X
TJSILZO,O,O,O,O,O,O,X,O,X,X,X
TJSILOZ,O,O,O,O,X,O,X,O,X,X,X
TJSIZLO,O,O,O,O,O,O,X,O,X,X,X
TJSIZOL,O,O,O,O,O,O,X,O,X,X,X
TJSIOLZ,O,O,O,O,O,O,X,O,X,X,X
TJSIOZL,O,O,O,O,O,O,X,O,X,X,X
TJSLIZO,O,O,O,O,O,O,X,O,X,X,X
TJSLIOZ,O,O,O,O,X,O,X,O,O,X,X
TJSLZIO,O,O,O,O,O,O,X,X,X,X,O
TJSLZOI,O,O,O,O,O,O,O,X,O,X,O
TJSLOIZ,O,O,O,O,O,O,O,O,O,X,X
TJSLOZI,O,O,O,O,O,O,O,X,O,X,O
TJSZILO,O,O,O,O,O,O,X,O,X,X,X
TJSZIOL,O,O,O,O,O,O,X,O,X,X,X
TJSZLIO,O,O,O,O,O,O,X,X,X,X,O
TJSZLOI,O,O,O,O,O,O,O,X,O,X,O
TJSZOIL,O,O,O,O,O,O,X,O,X,X,X
TJSZOLI,O,O,O,O,O,X,O,X,O,X,O
TJSOILZ,O,O,O,O,O,O,X,O,X,X,X
TJSOIZL,O,O,O,O,O,O,X,O,X,X,X
TJSOLIZ,O,O,O,O,O,O,O,O,O,X,X
TJSOLZI,O,O,O,O,O,O,O,X,O,X,O
TJSOZIL,O,O,O,O,O,O,X,O,X,X,X
TJSOZLI,O,O,O,O,O,X,O,X,O,X,O
TJZILSO,O,X,O,O,X,X,X,X,X,X,X
TJZILOS,O,X,O,O,X,X,O,X,X,X,X
TJZISLO,O,X,O,O,O,O,X,X,X,X,X
TJZISOL,O,X,O,O,O,O,X,X,X,X,X
TJZIOLS,O,X,O,O,X,X,O,X,X,X,X
TJZIOSL,O,X,O,O,X,X,X,X,X,X,X
TJZLISO,O,X,O,O,O,O,X,X,X,X,X
TJZLIOS,O,X,O,O,X,X,O,X,X,X,X
TJZLSIO,O,X,O,O,O,O,X,X,X,X,X
TJZLSOI,O,X,O,O,O,O,O,X,X,X,X
TJZLOIS,O,X,O,O,X,X,O,X,X,X,X
TJZLOSI,O,X,O,O,X,X,O,X,X,X,X
TJZSILO,O,X,O,O,O,O,X,X,X,X,X
TJZSIOL,O,X,O,O,O,O,X,X,X,X,X
TJZSLIO,O,X,O,O,O,O,X,X,X,X,O
TJZSLOI,O,X,O,O,O,O,O,X,X,X,O
TJZSOIL,O,X,O,O,O,O,X,X,X,X,X
TJZSOLI,O,X,O,O,O,X,O,X,X,X,O
TJZOILS,O,X,O,O,X,X,O,X,X,X,X
TJZOISL,O,X,O,O,O,X,X,X,X,X,X
TJZOLIS,O,X,O,O,O,X,O,X,X,X,X
TJZOLSI,O,X,O,O,O,X,O,X,X,X,X
TJZOSIL,O,X,O,O,O,X,X,X,X,X,X
TJZOSLI,O,X,O,O,O,X,O,X,X,X,O
TJOILSZ,O,O,X,O,X,X,O,O,X,X,X
TJOILZS,O,X,X,O,X,X,O,X,X,X,X
TJOISLZ,O,O,O,O,X,X,X,O,X,X,X
TJOISZL,O,O,O,O,X,X,X,O,X,X,X
TJOIZLS,O,X,X,O,X,X,O,X,X,X,X
TJOIZSL,O,X,O,O,X,X,X,X,X,X,X
TJOLISZ,O,O,X,O,X,X,O,X,O,X,X
TJOLIZS,O,X,X,O,X,X,O,X,X,X,X
TJOLSIZ,O,O,X,O,O,X,O,X,O,X,X
TJOLSZI,O,O,X,O,O,X,O,X,O,X,X
TJOLZIS,O,X,X,O,O,X,O,X,X,X,X
TJOLZSI,O,X,X,O,O,X,O,X,X,X,X
TJOSILZ,O,O,O,O,O,X,X,O,X,X,X
TJOSIZL,O,O,O,O,O,X,X,O,X,X,X
TJOSLIZ,O,O,O,O,O,X,O,O,O,X,X
TJOSLZI,O,O,O,O,O,X,O,X,O,X,O
TJOSZIL,O,O,O,O,O,X,X,O,X,X,X
TJOSZLI,O,O,O,O,O,X,O,X,O,X,O
TJOZILS,O,X,X,O,X,X,O,X,X,X,X
TJOZISL,O,X,O,O,O,X,X,X,X,X,X
TJOZLIS,O,X,X,O,O,X,O,X,X,X,X
TJOZLSI,O,X,X,O,O,X,O,X,X,X,X
TJOZSIL,O,X,O,O,O,X,X,X,X,X,X
TJOZSLI,O,X,O,O,O,X,O,X,X,X,O
TSILJZO,O,O,O,O,O,O,X,O,X,X,X
TSILJOZ,O,O,O,O,X,O,X,O,O,X,X
TSILZJO,O,O,O,X,O,O,X,O,X,X,O
TSILZOJ,O,O,O,X,O,O,X,O,O,X,O
TSILOJZ,O,O,O,X,X,O,X,O,O,X,X
TSILOZJ,O,O,O,X,X,X,X,O,O,X,O
TSIJLZO,O,O,O,O,O,O,X,O,X,X,X
TSIJLOZ,O,O,O,O,X,O,X,O,X,X,X
TSIJZLO,O,O,O,O,O,O,X,O,X,X,X
TSIJZOL,O,O,O,O,O,O,X,O,X,X,X
TSIJOLZ,O,O,O,O,O,O,X,O,X,X,X
TSIJOZL,O,O,O,O,O,O,X,O,X,X,X
TSIZLJO,O,O,O,X,O,O,X,O,X,X,O
TSIZLOJ,O,O,O,X,O,O,X,O,O,X,O
TSIZJLO,O,O,O,X,O,O,X,O,X,O,X
TSIZJOL,O,O,O,X,O,O,X,O,X,O,X
TSIZOLJ,O,O,O,X,O,X,X,O,O,X,O
TSIZOJL,O,O,O,X,O,O,X,O,X,O,X
TSIOLJZ,O,O,O,X,O,O,X,O,O,X,X
TSIOLZJ,O,O,O,X,O,X,X,O,O,X,O
TSIOJLZ,O,O,O,X,O,O,X,O,X,X,X
TSIOJZL,O,O,O,X,O,O,X,O,X,X,X
TSIOZLJ,O,O,O,X,O,X,X,O,O,X,O
TSIOZJL,O,O,O,X,O,X,X,O,X,O,X
TSLIJZO,O,O,O,O,O,O,X,O,X,X,X
TSLIJOZ,O,O,O,O,X,O,X,O,O,X,X
TSLIZJO,O,O,O,X,O,O,X,O,X,X,O
TSLIZOJ,O,O,O,X,O,O,X,O,O,X,O
TSLIOJZ,O,O,O,X,X,O,O,O,O,X,X
TSLIOZJ,O,O,O,X,X,X,X,O,O,X,O
TSLJIZO,O,O,O,O,O,O,X,O,X,X,X
TSLJIOZ,O,O,O,O,X,O,X,O,O,X,X
TSLJZIO,O,O,O,O,O,O,X,X,X,X,O
TSLJZOI,O,O,O,O,O,O,O,X,O,X,O
TSLJOIZ,O,O,O,O,O,O,O,O,O,X,X
TSLJOZI,O,O,O,O,O,O,O,X,O,X,O
TSLZIJO,O,O,O,X,O,O,X,X,X,X,O
TSLZIOJ,O,O,O,X,O,O,X,X,O,X,O
TSLZJIO,O,O,O,X,O,O,X,X,X,X,O
TSLZJOI,O,O,O,X,O,O,X,X,O,X,O
TSLZOIJ,O,O,O,X,O,O,X,X,O,X,O
TSLZOJI,O,O,O,X,O,O,X,X,O,X,O
TSLOIJZ,O,O,O,X,O,O,O,O,O,X,X
TSLOIZJ,O,O,O,X,O,O,X,O,O,X,O
