sequence,v115@FhB8HeB8HeC8BeB8AeA8AeB8JeOEJvhFXgB8lBanB5?nB9rBzpB,v115@FhB8HeB8HeC8BeB8AeA8AeB8JeOEJvhF8kBzgBanB5?nB9rBXqB,v115@FhB8HeB8HeC8BeB8AeA8AeB8JeT/IvhFKlBfmBmhB5?nBtrB0pB,v115@FhB8HeB8HeC8BeB8AeA8AeB8JeNEJvhFUhBanB5nBX?lBGrBzpB,v115@FhB8HeB8HeC8BeB8AeA8AeB8Jex/IvhF8lBGiBikB9?rB/sBzpB,v115@FhB8HeB8HeC8BeB8AeA8AeB8JeNEJvhFRgBGiB0lB6?rB/sBzpB,v115@FhB8HeB8HeC8BeB8AeA8AeB8Je0/IvhFxhB2pBzlBt?rB6sBXqB,v115@FhB8HeB8HeC8BeB8AeA8AeB8JeyEJvhFzgBGiB9rB/?sBxpB0pB,v115@FhB8HeB8HeC8BeB8AeA8AeB8Je0/IvhFxhB/pBzlBt?rB6sBOqB,v115@FhB8HeB8HeC8BeB8AeA8AeB8JeOEJvhF8kBzgBXqBx?rBtrB6sB,v115@FhB8HeB8HeC8BeB8AeA8AeB8Jex/IvhF8lB/pBaqB9?rBTnBGsB
ILTSZJO,O,O,O,X,O,O,X,O,X,X,X
ILTSZOJ,O,O,O,X,O,O,X,O,O,X,X
ILTSOJZ,O,O,O,X,X,O,O,O,O,X,X
ILTSOZJ,O,O,O,X,X,X,X,O,O,X,X
ILTZJSO,O,X,O,O,O,O,X,X,X,X,X
ILTZJOS,O,X,O,O,X,X,X,X,X,X,X
ILTZSJO,O,O,O,X,O,O,X,O,X,X,X
ILTZSOJ,O,O,O,X,O,O,X,O,O,X,X
ILTZOJS,O,X,O,X,X,X,O,X,X,X,X
ILTZOSJ,O,O,O,X,O,O,X,O,O,X,X
ILTOJSZ,O,O,X,O,X,X,O,O,O,X,X
ILTOJZS,O,X,X,O,X,X,O,X,X,X,X
ILTOSJZ,O,O,O,X,X,O,O,O,O,X,X
ILTOSZJ,O,O,O,X,X,X,X,O,O,X,X
ILTOZJS,O,X,O,X,X,X,O,X,X,X,X
ILTOZSJ,O,O,O,X,X,X,X,O,O,X,X
ILJTSZO,O,O,O,O,X,X,X,O,X,X,X
ILJTSOZ,O,O,O,O,X,X,X,O,O,X,X
ILJTZSO,O,X,O,O,X,X,X,X,X,X,X
ILJTZOS,O,X,O,O,X,X,O,X,X,X,X
ILJTOSZ,O,O,X,O,X,X,O,O,O,X,X
ILJTOZS,O,X,X,O,X,X,O,X,X,X,X
ILJSTZO,O,X,O,O,X,X,X,O,X,X,X
ILJSTOZ,O,X,O,O,X,X,X,O,O,X,X
ILJSZTO,X,X,O,O,X,X,X,X,X,X,X
ILJSZOT,X,X,O,O,X,X,X,X,X,X,X
ILJSOTZ,O,X,X,O,X,X,X,X,X,X,X
ILJSOZT,X,X,X,O,X,X,X,X,X,X,X
ILJZTSO,O,X,O,O,O,X,X,X,X,X,X
ILJZTOS,O,X,O,O,X,X,O,X,X,X,X
ILJZSTO,O,X,O,O,X,X,X,X,X,X,X
ILJZSOT,X,X,O,O,X,X,X,X,X,X,X
ILJZOTS,O,X,O,O,X,X,X,X,X,X,X
ILJZOST,X,X,O,O,X,X,X,X,X,X,X
ILJOTSZ,O,X,X,O,X,X,X,O,X,X,X
ILJOTZS,O,X,X,O,X,X,X,X,X,X,X
ILJOSTZ,O,X,X,O,X,X,X,X,X,X,X
ILJOSZT,O,X,X,O,X,X,X,X,X,X,X
ILJOZTS,O,X,X,O,X,X,X,X,X,X,X
ILJOZST,O,X,X,O,X,X,X,X,X,X,X
ILSTJZO,O,O,O,O,O,O,X,O,X,X,X
ILSTJOZ,O,O,O,O,X,O,X,O,O,X,X
ILSTZJO,O,O,O,X,O,O,X,O,X,X,X
ILSTZOJ,O,O,O,X,O,O,X,O,O,X,X
ILSTOJZ,O,O,O,X,X,O,O,O,O,X,X
ILSTOZJ,O,O,O,X,X,X,X,O,O,X,X
ILSJTZO,O,X,O,O,O,O,X,O,X,X,X
ILSJTOZ,O,X,O,O,X,O,X,O,O,X,X
ILSJZTO,X,X,O,O,X,O,X,X,X,X,X
ILSJZOT,X,X,O,O,X,X,X,X,X,X,X
ILSJOTZ,O,X,X,O,X,O,X,X,X,X,X
ILSJOZT,X,X,X,O,X,O,X,X,X,X,X
ILSZTJO,X,O,O,X,O,O,X,O,X,X,X
ILSZTOJ,X,O,O,X,O,O,X,O,O,X,X
ILSZJTO,X,O,O,X,X,O,X,X,X,O,X
ILSZJOT,X,O,O,X,X,X,X,X,X,O,X
ILSZOTJ,X,O,O,X,X,X,X,X,X,X,X
ILSZOJT,X,O,O,X,X,X,X,X,X,O,X
ILSOTJZ,O,O,O,X,X,O,X,O,O,X,X
ILSOTZJ,O,O,O,X,X,O,X,O,O,X,X
ILSOJTZ,O,X,X,X,X,O,X,X,X,X,X
ILSOJZT,X,X,X,X,X,O,X,X,X,X,X
ILSOZTJ,X,O,O,X,X,O,X,X,X,X,X
ILSOZJT,X,O,O,X,X,O,X,X,X,O,X
ILZTJSO,O,X,O,O,O,O,X,X,X,X,X
ILZTJOS,O,X,O,O,X,X,X,X,X,X,X
ILZTSJO,O,O,O,X,O,O,X,O,X,X,X
ILZTSOJ,O,O,O,X,O,O,X,O,O,X,X
ILZTOJS,O,X,O,X,X,X,O,X,X,X,X
ILZTOSJ,O,O,O,X,O,O,X,O,O,X,X
ILZJTSO,O,X,O,O,O,X,X,X,X,X,X
ILZJTOS,O,X,O,O,X,X,X,X,X,X,X
ILZJSTO,O,X,O,O,X,X,X,X,X,X,X
ILZJSOT,X,X,O,O,X,X,X,X,X,X,X
ILZJOTS,O,X,O,O,X,X,X,X,X,X,X
ILZJOST,X,X,O,O,X,X,X,X,X,X,X
ILZSTJO,O,X,O,X,O,O,X,O,X,X,X
ILZSTOJ,O,X,O,X,O,O,X,O,O,X,X
ILZSJTO,O,X,O,X,X,O,X,X,X,X,X
ILZSJOT,X,X,O,X,X,X,X,X,X,X,X
ILZSOTJ,X,X,O,X,X,X,X,X,X,X,X
ILZSOJT,X,X,O,X,X,X,X,X,X,X,X
ILZOTJS,O,X,O,X,X,X,X,X,X,X,X
ILZOTSJ,O,X,O,X,O,X,X,O,X,X,X
ILZOJTS,O,X,O,X,X,X,X,X,X,X,X
ILZOJST,O,X,O,X,X,X,X,X,X,X,X
ILZOSTJ,O,X,O,X,X,X,X,X,X,X,X
ILZOSJT,O,X,O,X,X,X,X,X,X,X,X
ILOTJSZ,O,O,X,O,X,O,O,O,O,X,X
ILOTJZS,O,X,X,O,X,X,O,X,X,X,X
ILOTSJZ,O,O,O,X,X,O,O,O,O,X,X
ILOTSZJ,O,O,O,X,X,O,X,O,O,X,X
ILOTZJS,O,X,O,X,X,O,O,X,X,X,X
ILOTZSJ,O,O,O,X,X,O,X,O,O,X,X
ILOJTSZ,O,X,X,O,X,X,X,O,X,X,X
ILOJTZS,O,X,X,O,X,X,X,X,X,X,X
ILOJSTZ,O,X,X,O,X,X,X,X,X,X,X
ILOJSZT,O,X,X,O,X,X,X,X,X,X,X
ILOJZTS,O,X,X,O,X,X,X,X,X,X,X
ILOJZST,O,X,X,O,X,X,X,X,X,X,X
ILOSTJZ,O,X,O,X,X,O,X,O,O,X,X
ILOSTZJ,O,X,O,X,X,O,X,O,O,X,X
ILOSJTZ,O,X,X,X,X,O,X,X,X,X,X
ILOSJZT,O,X,X,X,X,O,X,X,X,X,X
ILOSZTJ,O,X,O,X,X,O,X,X,X,X,X
ILOSZJT,O,X,O,X,X,O,X,X,X,O,X
ILOZTJS,O,X,O,X,X,O,X,X,X,X,X
ILOZTSJ,O,X,O,X,O,O,X,O,X,X,X
ILOZJTS,O,X,O,X,X,X,X,X,X,X,X
ILOZJST,O,X,O,X,X,X,X,X,X,X,X
ILOZSTJ,O,X,O,X,X,O,X,X,X,X,X
ILOZSJT,O,X,O,X,X,O,X,X,X,X,X
IJTLSZO,O,O,O,O,X,X,X,O,X,X,X
IJTLSOZ,O,O,O,O,X,X,X,O,X,X,X
IJTLZSO,O,X,O,O,X,X,X,X,X,X,X
IJTLZOS,O,X,O,O,X,X,O,X,X,X,X
IJTLOSZ,O,O,X,O,X,X,O,O,X,X,X
IJTLOZS,O,X,X,O,X,X,O,X,X,X,X
IJTSLZO,O,O,O,O,X,X,X,O,X,X,X
IJTSLOZ,O,O,O,O,X,X,X,O,X,X,X
IJTSZLO,O,O,O,O,X,X,X,O,X,X,X
IJTSZOL,O,O,O,O,X,X,X,O,X,X,X
IJTSOLZ,O,O,O,O,X,X,X,O,X,X,X
IJTSOZL,O,O,O,O,X,X,X,O,X,X,X
IJTZLSO,O,X,O,O,X,X,X,X,X,X,X
IJTZLOS,O,X,O,O,X,X,O,X,X,X,X
IJTZSLO,O,X,O,O,X,X,X,X,X,X,X
IJTZSOL,O,X,O,O,X,X,X,X,X,X,X
IJTZOLS,O,X,O,O,X,X,O,X,X,X,X
IJTZOSL,O,X,O,O,X,X,X,X,X,X,X
IJTOLSZ,O,O,X,O,X,X,O,O,X,X,X
IJTOLZS,O,X,X,O,X,X,O,X,X,X,X
IJTOSLZ,O,O,O,O,X,X,X,O,X,X,X
IJTOSZL,O,O,O,O,X,X,X,O,X,X,X
IJTOZLS,O,X,X,O,X,X,O,X,X,X,X
IJTOZSL,O,X,O,O,X,X,X,X,X,X,X
IJLTSZO,O,O,O,O,X,X,X,O,X,X,X
IJLTSOZ,O,O,O,O,X,X,X,O,X,X,X
IJLTZSO,O,X,O,O,X,X,X,X,X,X,X
IJLTZOS,O,X,O,O,X,X,O,X,X,X,X
IJLTOSZ,O,O,X,O,X,X,O,O,X,X,X
IJLTOZS,O,X,X,O,X,X,O,X,X,X,X
IJLSTZO,O,X,O,O,X,X,X,O,X,X,X
IJLSTOZ,O,X,O,O,X,X,X,O,X,X,X
IJLSZTO,X,X,O,O,X,X,X,X,X,X,X
IJLSZOT,X,X,O,O,X,X,X,X,X,X,X
IJLSOTZ,O,X,X,O,X,X,X,X,X,X,X
IJLSOZT,X,X,X,O,X,X,X,X,X,X,X
IJLZTSO,O,X,O,O,X,X,X,X,X,X,X
IJLZTOS,O,X,O,O,X,X,O,X,X,X,X
IJLZSTO,O,X,O,O,X,X,X,X,X,X,X
IJLZSOT,X,X,O,O,X,X,X,X,X,X,X
IJLZOTS,O,X,O,O,X,X,X,X,X,X,X
IJLZOST,X,X,O,O,X,X,X,X,X,X,X
IJLOTSZ,O,X,X,O,X,X,X,O,X,X,X
IJLOTZS,O,X,X,O,X,X,X,X,X,X,X
IJLOSTZ,O,X,X,O,X,X,X,X,X,X,X
IJLOSZT,O,X,X,O,X,X,X,X,X,X,X
IJLOZTS,O,X,X,O,X,X,X,X,X,X,X
IJLOZST,O,X,X,O,X,X,X,X,X,X,X
IJSTLZO,O,O,O,O,X,X,X,O,X,X,X
IJSTLOZ,O,O,O,O,X,X,X,O,X,X,X
IJSTZLO,O,O,O,O,X,X,X,O,X,X,X
IJSTZOL,O,O,O,O,X,X,X,O,X,X,X
IJSTOLZ,O,O,O,O,X,X,X,O,X,X,X
IJSTOZL,O,O,O,O,X,X,X,O,X,X,X
IJSLTZO,O,X,O,O,X,X,X,O,X,X,X
IJSLTOZ,O,X,O,O,X,X,X,O,X,X,X
IJSLZTO,X,X,O,O,X,X,X,X,X,X,X
IJSLZOT,X,X,O,O,X,X,X,X,X,X,X
IJSLOTZ,O,X,X,O,X,X,X,X,X,X,X
IJSLOZT,X,X,X,O,X,X,X,X,X,X,X
IJSZTLO,O,O,O,O,X,X,X,X,X,O,X
IJSZTOL,O,O,O,O,X,X,X,X,X,O,X
IJSZLTO,O,O,O,O,X,X,X,X,X,O,X
IJSZLOT,X,O,O,O,X,X,X,X,X,O,X
IJSZOTL,O,O,X,O,X,X,X,X,X,O,X
IJSZOLT,X,O,X,O,X,X,X,X,X,O,X
IJSOTLZ,O,O,X,O,X,X,X,X,X,X,X
IJSOTZL,O,O,X,O,X,X,X,X,X,X,X
IJSOLTZ,O,X,X,O,X,X,X,X,X,X,X
IJSOLZT,O,X,X,O,X,X,X,X,X,X,X
IJSOZTL,O,O,X,O,X,X,X,X,X,O,X
IJSOZLT,O,O,X,O,X,X,X,X,X,O,X
IJZTLSO,O,X,O,O,X,X,X,X,X,X,X
IJZTLOS,O,X,O,O,X,X,O,X,X,X,X
IJZTSLO,O,X,O,O,X,X,X,X,X,X,X
IJZTSOL,O,X,O,O,X,X,X,X,X,X,X
IJZTOLS,O,X,O,O,X,X,O,X,X,X,X
IJZTOSL,O,X,O,O,X,X,X,X,X,X,X
IJZLTSO,O,X,O,O,X,X,X,X,X,X,X
IJZLTOS,O,X,O,O,X,X,O,X,X,X,X
IJZLSTO,O,X,O,O,X,X,X,X,X,X,X
IJZLSOT,X,X,O,O,X,X,X,X,X,X,X
IJZLOTS,O,X,O,O,X,X,X,X,X,X,X
IJZLOST,X,X,O,O,X,X,X,X,X,X,X
IJZSTLO,O,X,O,O,X,X,X,X,X,X,X
IJZSTOL,O,X,O,O,X,X,X,X,X,X,X
IJZSLTO,O,X,O,O,X,X,X,X,X,X,X
IJZSLOT,X,X,O,O,X,X,X,X,X,X,X
IJZSOTL,O,X,X,O,X,X,X,X,X,X,X
IJZSOLT,X,X,X,O,X,X,X,X,X,X,X
IJZOTLS,O,X,O,O,X,X,O,X,X,X,X
IJZOTSL,O,X,X,O,X,X,X,X,X,X,X
IJZOLTS,O,X,O,O,X,X,X,X,X,X,X
IJZOLST,O,X,O,O,X,X,X,X,X,X,X
IJZOSTL,O,X,X,O,X,X,X,X,X,X,X
IJZOSLT,O,X,X,O,X,X,X,X,X,X,X
IJOTLSZ,O,X,X,O,X,X,O,O,X,X,X
IJOTLZS,O,X,X,O,X,X,O,X,X,X,X
IJOTSLZ,O,X,X,O,X,X,X,O,X,X,X
IJOTSZL,O,X,X,O,X,X,X,O,X,X,X
IJOTZLS,O,X,X,O,X,X,O,X,X,X,X
IJOTZSL,O,X,X,O,X,X,X,X,X,X,X
IJOLTSZ,O,X,X,O,X,X,X,O,X,X,X
IJOLTZS,O,X,X,O,X,X,X,X,X,X,X
IJOLSTZ,O,X,X,O,X,X,X,X,X,X,X
IJOLSZT,O,X,X,O,X,X,X,X,X,X,X
IJOLZTS,O,X,X,O,X,X,X,X,X,X,X
IJOLZST,O,X,X,O,X,X,X,X,X,X,X
IJOSTLZ,O,X,X,O,X,X,X,X,X,X,X
IJOSTZL,O,X,X,O,X,X,X,X,X,X,X
IJOSLTZ,O,X,X,O,X,X,X,X,X,X,X
IJOSLZT,O,X,X,O,X,X,X,X,X,X,X
IJOSZTL,O,X,X,O,X,X,X,X,X,O,X
IJOSZLT,O,X,X,O,X,X,X,X,X,O,X
IJOZTLS,O,X,X,O,X,X,O,X,X,X,X
IJOZTSL,O,X,X,O,X,X,X,X,X,X,X
IJOZLTS,O,X,X,O,X,X,X,X,X,X,X
IJOZLST,O,X,X,O,X,X,X,X,X,X,X
IJOZSTL,O,X,X,O,X,X,X,X,X,X,X
IJOZSLT,O,X,X,O,X,X,X,X,X,X,X
ISTLJZO,O,O,O,O,O,O,X,O,X,X,X
ISTLJOZ,O,O,O,O,X,O,X,O,O,X,X
ISTLZJO,O,O,O,X,O,O,X,O,X,X,O
ISTLZOJ,O,O,O,X,O,O,X,O,O,X,O
ISTLOJZ,O,O,O,X,X,O,X,O,O,X,X
ISTLOZJ,O,O,O,X,X,X,X,O,O,X,O
ISTJLZO,O,O,O,O,O,O,X,O,X,X,X
ISTJLOZ,O,O,O,O,X,O,X,O,X,X,X
ISTJZLO,O,O,O,O,O,O,X,O,X,X,X
ISTJZOL,O,O,O,O,O,O,X,O,X,X,X
ISTJOLZ,O,O,O,O,O,O,X,O,X,X,X
ISTJOZL,O,O,O,O,O,O,X,O,X,X,X
ISTZLJO,O,O,O,X,O,O,X,O,X,X,O
ISTZLOJ,O,O,O,X,O,O,X,O,O,X,O
ISTZJLO,O,O,O,X,O,O,X,O,X,O,X
ISTZJOL,O,O,O,X,O,O,X,O,X,O,X
ISTZOLJ,O,O,O,X,O,X,X,O,O,X,O
ISTZOJL,O,O,O,X,O,O,X,O,X,O,X
ISTOLJZ,O,O,O,X,O,O,X,O,O,X,X
ISTOLZJ,O,O,O,X,O,X,X,O,O,X,O
ISTOJLZ,O,O,O,X,O,O,X,O,X,X,X
ISTOJZL,O,O,O,X,O,O,X,O,X,X,X
ISTOZLJ,O,O,O,X,O,X,X,O,O,X,O
ISTOZJL,O,O,O,X,O,X,X,O,X,O,X
ISLTJZO,O,O,O,O,O,O,X,O,X,X,X
ISLTJOZ,O,O,O,O,X,O,X,O,O,X,X
ISLTZJO,O,O,O,X,O,O,X,O,X,X,O
ISLTZOJ,O,O,O,X,O,O,X,O,O,X,O
ISLTOJZ,O,O,O,X,X,O,X,O,O,X,X
ISLTOZJ,O,O,O,X,X,X,X,O,O,X,O
ISLJTZO,O,X,O,O,O,O,X,O,X,X,X
ISLJTOZ,O,X,O,O,X,O,X,O,O,X,X
ISLJZTO,X,X,O,O,X,O,X,X,X,X,O
ISLJZOT,X,X,O,O,X,X,X,X,X,X,X
ISLJOTZ,O,X,X,O,X,O,X,X,X,X,X
ISLJOZT,X,X,X,O,X,O,X,X,X,X,X
ISLZTJO,X,O,O,X,X,O,X,O,X,X,O
ISLZTOJ,X,O,O,X,X,O,X,O,O,X,O
ISLZJTO,X,O,O,X,X,O,X,X,X,O,O
ISLZJOT,X,O,O,X,X,X,X,X,X,O,X
ISLZOTJ,X,O,O,X,X,X,X,X,X,X,O
ISLZOJT,X,O,O,X,X,X,X,X,X,O,X
ISLOTJZ,O,O,O,X,X,O,X,O,O,X,X
ISLOTZJ,O,O,O,X,X,O,X,O,O,X,O
ISLOJTZ,O,X,X,X,X,O,X,X,X,X,X
ISLOJZT,X,X,X,X,X,O,X,X,X,X,X
ISLOZTJ,X,O,O,X,X,O,X,X,X,X,O
ISLOZJT,X,O,O,X,X,O,X,X,X,O,X
ISJTLZO,O,O,O,O,O,O,X,O,X,X,X
ISJTLOZ,O,O,O,O,X,O,X,O,X,X,X
ISJTZLO,O,O,O,O,O,O,X,O,X,X,X
ISJTZOL,O,O,O,O,O,O,X,O,X,X,X
ISJTOLZ,O,O,O,O,O,O,X,O,X,X,X
ISJTOZL,O,O,O,O,O,O,X,O,X,X,X
ISJLTZO,O,X,O,O,O,O,X,O,X,X,X
ISJLTOZ,O,X,O,O,X,O,X,O,X,X,X
ISJLZTO,X,X,O,O,X,O,X,X,X,X,X
ISJLZOT,X,X,O,O,X,X,X,X,X,X,X
ISJLOTZ,O,X,X,O,X,O,X,X,X,X,X
ISJLOZT,X,X,X,O,X,O,X,X,X,X,X
ISJZTLO,O,O,O,O,X,O,X,X,X,O,X
ISJZTOL,O,O,O,O,X,O,X,X,X,O,X
ISJZLTO,O,O,O,O,X,X,X,X,X,O,X
ISJZLOT,X,O,O,O,X,X,X,X,X,O,X
ISJZOTL,O,O,X,O,X,X,X,X,X,O,X
ISJZOLT,X,O,X,O,X,X,X,X,X,O,X
ISJOTLZ,O,O,X,O,O,O,X,X,X,X,X
ISJOTZL,O,O,X,O,O,O,X,X,X,X,X
ISJOLTZ,O,X,X,O,O,O,X,X,X,X,X
ISJOLZT,O,X,X,O,X,O,X,X,X,X,X
ISJOZTL,O,O,X,O,X,O,X,X,X,O,X
ISJOZLT,O,O,X,O,X,X,X,X,X,O,X
ISZTLJO,O,O,O,X,X,O,X,O,X,X,O
ISZTLOJ,O,O,O,X,X,O,X,O,O,X,O
ISZTJLO,O,O,O,X,X,O,X,O,X,O,X
ISZTJOL,O,O,O,X,X,O,X,O,X,O,X
ISZTOLJ,O,O,O,X,X,X,X,O,O,X,O
ISZTOJL,O,O,O,X,X,O,X,O,X,O,X
ISZLTJO,O,O,O,X,X,O,X,O,X,X,O
ISZLTOJ,O,O,O,X,X,O,X,O,O,X,O
ISZLJTO,O,O,O,X,X,O,X,X,X,O,O
ISZLJOT,X,O,O,X,X,X,X,X,X,O,X
ISZLOTJ,X,O,O,X,X,X,X,X,X,X,O
ISZLOJT,X,O,O,X,X,X,X,X,X,O,X
ISZJTLO,O,O,O,X,X,O,X,X,X,O,X
ISZJTOL,O,O,O,X,X,O,X,X,X,O,X
ISZJLTO,O,O,O,X,X,X,X,X,X,O,X
ISZJLOT,X,O,O,X,X,X,X,X,X,O,X
ISZJOTL,O,O,X,X,X,X,X,X,X,O,X
ISZJOLT,X,O,X,X,X,X,X,X,X,O,X
ISZOTLJ,O,O,O,X,X,X,X,X,O,X,X
ISZOTJL,O,O,O,X,X,X,X,X,X,O,X
ISZOLTJ,O,O,O,X,X,X,X,X,X,X,X
ISZOLJT,O,O,O,X,X,X,X,X,X,O,X
ISZOJTL,O,O,X,X,X,X,X,X,X,O,X
ISZOJLT,O,O,X,X,X,X,X,X,X,O,X
ISOTLJZ,O,O,O,X,O,O,X,O,O,X,X
ISOTLZJ,O,O,O,X,O,O,X,O,O,X,O
ISOTJLZ,O,O,O,X,O,O,X,O,X,X,X
ISOTJZL,O,O,O,X,O,O,X,O,X,X,X
ISOTZLJ,O,O,O,X,O,O,X,O,O,X,O
ISOTZJL,O,O,O,X,O,O,X,O,X,O,X
ISOLTJZ,O,O,O,X,O,O,X,O,X,X,X
ISOLTZJ,O,O,O,X,O,O,X,O,X,X,O
ISOLJTZ,O,X,X,X,O,O,X,X,X,X,X
ISOLJZT,O,X,X,X,X,O,X,X,X,X,X
ISOLZTJ,O,O,O,X,X,O,X,X,X,X,X
ISOLZJT,O,O,O,X,X,O,X,X,X,O,X
ISOJTLZ,O,O,X,X,O,O,X,X,X,X,X
ISOJTZL,O,O,X,X,O,O,X,X,X,X,X
ISOJLTZ,O,X,X,X,O,O,X,X,X,X,X
ISOJLZT,O,X,X,X,X,O,X,X,X,X,X
ISOJZTL,O,O,X,X,X,O,X,X,X,O,X
ISOJZLT,O,O,X,X,X,X,X,X,X,O,X
ISOZTLJ,O,O,O,X,X,O,X,X,O,X,X
ISOZTJL,O,O,O,X,X,O,X,X,X,O,X
ISOZLTJ,O,O,O,X,X,O,X,X,X,X,X
ISOZLJT,O,O,O,X,X,O,X,X,X,O,X
ISOZJTL,O,O,X,X,X,O,X,X,X,O,X
ISOZJLT,O,O,X,X,X,X,X,X,X,O,X
IZTLJSO,O,X,O,O,O,O,X,X,X,X,X
IZTLJOS,O,X,O,O,X,X,X,X,X,X,X
IZTLSJO,O,O,O,X,O,O,X,O,X,X,X
IZTLSOJ,O,O,O,X,O,O,X,O,X,X,X
IZTLOJS,O,X,O,X,X,X,X,X,X,X,X
IZTLOSJ,O,O,O,X,O,O,X,O,X,X,X
IZTJLSO,O,X,O,O,X,X,X,X,X,X,X
IZTJLOS,O,X,O,O,X,X,X,X,X,X,X
IZTJSLO,O,X,O,O,O,O,X,X,X,X,X
IZTJSOL,O,X,O,O,O,O,X,X,X,X,X
IZTJOLS,O,X,O,O,X,X,X,X,X,X,X
IZTJOSL,O,X,O,O,X,X,X,X,X,X,X
IZTSLJO,O,O,O,X,O,O,X,O,X,X,O
IZTSLOJ,O,O,O,X,O,O,X,O,X,X,O
IZTSJLO,O,O,O,X,O,O,X,O,X,X,X
IZTSJOL,O,O,O,X,O,O,X,O,X,X,X
IZTSOLJ,O,O,O,X,O,X,X,O,X,X,O
IZTSOJL,O,O,O,X,O,O,X,O,X,X,X
IZTOLJS,O,X,O,X,O,X,X,X,X,X,X
IZTOLSJ,O,O,O,X,O,X,X,O,X,X,X
IZTOJLS,O,X,O,X,X,X,X,X,X,X,X
IZTOJSL,O,X,O,X,O,X,X,X,X,X,X
IZTOSLJ,O,O,O,X,O,X,X,O,X,X,O
IZTOSJL,O,O,O,X,O,O,X,O,X,X,X
IZLTJSO,O,X,O,O,O,O,X,X,X,X,X
IZLTJOS,O,X,O,O,X,X,X,X,X,X,X
IZLTSJO,O,O,O,X,O,O,X,O,X,X,X
IZLTSOJ,O,O,O,X,O,O,X,O,X,X,X
IZLTOJS,O,X,O,X,X,X,X,X,X,X,X
IZLTOSJ,O,O,O,X,O,O,X,O,X,X,X
IZLJTSO,O,X,O,O,O,X,X,X,X,X,X
IZLJTOS,O,X,O,O,X,X,X,X,X,X,X
IZLJSTO,O,X,O,O,X,X,X,X,X,X,X
IZLJSOT,X,X,O,O,X,X,X,X,X,X,X
IZLJOTS,O,X,O,O,X,X,X,X,X,X,X
IZLJOST,X,X,O,O,X,X,X,X,X,X,X
IZLSTJO,O,X,O,X,O,O,X,O,X,X,X
IZLSTOJ,O,X,O,X,O,O,X,O,X,X,X
IZLSJTO,O,X,O,X,X,O,X,X,X,X,X
IZLSJOT,X,X,O,X,X,X,X,X,X,X,X
IZLSOTJ,X,X,O,X,X,X,X,X,X,X,X
IZLSOJT,X,X,O,X,X,X,X,X,X,X,X
IZLOTJS,O,X,O,X,X,X,X,X,X,X,X
IZLOTSJ,O,X,O,X,O,X,X,O,X,X,X
IZLOJTS,O,X,O,X,X,X,X,X,X,X,X
IZLOJST,O,X,O,X,X,X,X,X,X,X,X
IZLOSTJ,O,X,O,X,X,X,X,X,X,X,X
IZLOSJT,O,X,O,X,X,X,X,X,X,X,X
IZJTLSO,O,X,O,O,X,X,X,X,X,X,X
IZJTLOS,O,X,O,O,X,X,X,X,X,X,X
IZJTSLO,O,X,O,O,O,X,X,X,X,X,X
IZJTSOL,O,X,O,O,O,X,X,X,X,X,X
IZJTOLS,O,X,O,O,X,X,X,X,X,X,X
IZJTOSL,O,X,O,O,X,X,X,X,X,X,X
IZJLTSO,O,X,O,O,X,X,X,X,X,X,X
IZJLTOS,O,X,O,O,X,X,X,X,X,X,X
IZJLSTO,O,X,O,O,X,X,X,X,X,X,X
IZJLSOT,X,X,O,O,X,X,X,X,X,X,X
IZJLOTS,O,X,O,O,X,X,X,X,X,X,X
IZJLOST,X,X,O,O,X,X,X,X,X,X,X
IZJSTLO,O,X,O,O,X,X,X,X,X,X,X
IZJSTOL,O,X,O,O,X,X,X,X,X,X,X
IZJSLTO,O,X,O,O,X,X,X,X,X,X,X
IZJSLOT,X,X,O,O,X,X,X,X,X,X,X
IZJSOTL,O,X,X,O,X,X,X,X,X,X,X
IZJSOLT,X,X,X,O,X,X,X,X,X,X,X
IZJOTLS,O,X,O,O,X,X,X,X,X,X,X
IZJOTSL,O,X,X,O,X,X,X,X,X,X,X
IZJOLTS,O,X,O,O,X,X,X,X,X,X,X
IZJOLST,O,X,O,O,X,X,X,X,X,X,X
IZJOSTL,O,X,X,O,X,X,X,X,X,X,X
IZJOSLT,O,X,X,O,X,X,X,X,X,X,X
IZSTLJO,O,O,O,X,O,O,X,O,X,X,O
IZSTLOJ,O,O,O,X,X,O,X,O,X,X,O
IZSTJLO,O,O,O,X,O,O,X,O,X,O,X
IZSTJOL,O,O,O,X,O,O,X,O,X,O,X
IZSTOLJ,O,O,O,X,X,X,X,O,X,X,O
IZSTOJL,O,O,O,X,O,O,X,O,X,O,X
IZSLTJO,O,O,O,X,X,O,X,O,X,X,O
IZSLTOJ,O,O,O,X,X,O,X,O,X,X,O
IZSLJTO,O,O,O,X,X,O,X,X,X,O,O
IZSLJOT,X,O,O,X,X,X,X,X,X,O,X
IZSLOTJ,X,O,O,X,X,X,X,X,X,X,O
IZSLOJT,X,O,O,X,X,X,X,X,X,O,X
IZSJTLO,O,O,O,X,X,O,X,X,X,O,X
IZSJTOL,O,O,O,X,X,O,X,X,X,O,X
IZSJLTO,O,O,O,X,X,X,X,X,X,O,X
IZSJLOT,X,O,O,X,X,X,X,X,X,O,X
IZSJOTL,O,O,X,X,X,X,X,X,X,O,X
IZSJOLT,X,O,X,X,X,X,X,X,X,O,X
