sequence,v115@HhA8IeD8AeA8DeD8AeA8BeA8Kel/IvhF3gBUiBaoB5?oBOrBTsB,v115@HhA8IeD8AeA8DeD8AeA8BeA8Ke0/IvhFlgBanBziB5?oBOrB3sB,v115@HhA8IeD8AeA8DeD8AeA8BeA8Ke0/IvhFanBziB5oBF?mB3sBmqB,v115@HhA8IeD8AeA8DeD8AeA8BeA8Ke0/IvhFxgBVnBGjBa?rB/tBTsB,v115@HhA8IeD8AeA8DeD8AeA8BeA8Ke0/IvhFlgBanB5oBO?rBznB3sB,v115@HhA8IeD8AeA8DeD8AeA8BeA8Ke0/IvhFanB5oBFmBz?nBmqB3sB
TSJZLIO,O,O,O,O,X,X
TSJZLOI,O,O,O,O,X,X
TSJZOIL,O,O,O,O,X,X
TSJZOLI,O,O,O,O,X,X
TSJOILZ,O,O,O,X,X,X
TSJOIZL,O,O,O,O,X,X
TSJOLIZ,O,O,O,O,X,X
TSJOLZI,O,O,O,O,X,X
TSJOZIL,O,O,O,O,X,X
TSJOZLI,O,O,O,O,X,X
TSZILJO,X,O,O,O,X,X
TSZILOJ,X,O,O,O,X,O
TSZIJLO,X,O,O,O,X,X
TSZIJOL,X,O,O,O,X,X
TSZIOLJ,O,O,O,X,X,O
TSZIOJL,O,O,O,O,X,X
TSZLIJO,X,O,O,O,X,X
TSZLIOJ,X,O,O,O,X,O
TSZLJIO,X,O,O,O,X,X
TSZLJOI,X,O,O,O,X,X
TSZLOIJ,X,O,O,O,X,O
TSZLOJI,X,O,O,O,X,X
TSZJILO,X,O,O,O,X,X
TSZJIOL,X,O,O,O,X,X
TSZJLIO,X,O,O,O,X,X
TSZJLOI,X,O,O,O,X,X
TSZJOIL,X,O,O,O,X,X
TSZJOLI,X,O,O,O,X,X
TSZOILJ,O,O,O,O,X,O
TSZOIJL,O,O,O,O,X,X
TSZOLIJ,O,O,O,O,X,O
TSZOLJI,O,O,O,O,X,X
TSZOJIL,O,O,O,O,X,X
TSZOJLI,O,O,O,O,X,X
