sequence,v115@QhB8BeA8DeG8CeB8Jei/IvhFRhBFjBzkBUmBXsBGsB,v115@QhB8BeA8DeG8CeB8Jem/IvhFChBxiB0kBTmBXsBlsB,v115@QhB8BeA8DeG8CeB8Je/EJvhFalBzgBUiBFjBxrBWxB,v115@QhB8BeA8DeG8CeB8JeT/IvhFelBfmBxiBlnBUsB6rB,v115@QhB8BeA8DeG8CeB8Jei/IvhFWmBFjBzkBxrB/sB0rB,v115@QhB8BeA8DeG8CeB8JeT/IvhFelBXjBRmBUmBFnBSxB,v115@QhB8BeA8DeG8CeB8JeyEJvhFXjBRmB0kBFmBTnBWxB,v115@QhB8BeA8DeG8CeB8JeT/IvhFxgBFjBXlBimB+sB8rB,v115@QhB8BeA8DeG8CeB8Je3BJvhFxkBlnB0kBmlBzrBCtB
TIOLZSJ,O,X,O,X,O,X,X,X,X
TIOJLSZ,X,X,X,X,O,O,X,X,X
TIOJLZS,X,X,X,O,O,X,X,X,X
TIOJSLZ,X,X,O,X,O,O,X,X,O
TIOJSZL,X,X,O,O,O,O,X,X,O
TIOJZLS,X,X,X,O,O,X,X,X,X
TIOJZSL,X,X,O,O,O,X,X,X,X
TIOSLJZ,X,X,O,X,O,X,X,X,O
TIOSLZJ,O,X,O,X,O,X,X,X,O
TIOSJLZ,X,X,O,X,O,O,X,X,O
TIOSJZL,X,X,O,O,O,O,X,X,O
TIOSZLJ,O,X,O,X,O,X,X,X,O
TIOSZJL,O,X,O,O,O,X,X,X,O
TIOZLJS,O,O,X,O,O,X,X,X,X
TIOZLSJ,O,X,O,X,O,X,X,X,X
TIOZJLS,O,O,X,O,O,X,X,X,X
TIOZJSL,X,X,O,O,O,X,X,X,X
TIOZSLJ,O,X,O,X,O,X,X,X,O
TIOZSJL,O,X,O,O,O,X,X,X,O
TLIJSZO,X,X,X,X,X,X,O,X,X
TLIJSOZ,X,X,X,X,X,O,O,X,X
TLIJZSO,X,X,X,O,X,X,X,X,X
TLIJZOS,X,X,X,O,X,X,X,X,X
TLIJOSZ,X,X,X,X,O,O,X,X,X
TLIJOZS,X,X,X,O,O,X,X,X,X
TLISJZO,X,X,O,X,X,X,O,X,X
TLISJOZ,X,X,O,X,X,O,O,X,X
TLISZJO,O,X,O,X,X,X,O,X,X
TLISZOJ,O,X,O,X,X,X,O,X,X
TLISOJZ,X,X,O,X,X,O,O,X,X
TLISOZJ,X,X,O,X,X,X,O,X,X
TLIZJSO,O,O,X,O,X,X,X,X,X
TLIZJOS,O,O,X,O,X,X,X,X,X
TLIZSJO,O,X,O,O,X,X,X,X,X
TLIZSOJ,O,X,O,X,X,X,X,X,X
TLIZOJS,O,X,X,O,X,X,X,X,X
TLIZOSJ,O,X,O,X,X,X,X,X,X
TLIOJSZ,X,X,X,X,O,O,X,X,X
TLIOJZS,X,X,X,O,O,X,X,X,X
TLIOSJZ,X,X,O,X,O,O,X,X,X
TLIOSZJ,X,X,O,X,O,X,X,X,X
TLIOZJS,X,X,X,O,O,X,X,X,X
TLIOZSJ,X,X,O,X,O,X,X,X,X
TLJISZO,X,X,X,X,X,X,O,X,X
TLJISOZ,X,X,X,X,X,O,O,O,X
TLJIZSO,X,X,X,O,X,X,X,X,X
TLJIZOS,X,X,X,O,X,X,X,X,X
TLJIOSZ,X,X,X,X,O,O,X,X,X
TLJIOZS,X,X,X,O,O,X,X,X,X
TLJSIZO,X,X,X,X,X,X,O,X,X
TLJSIOZ,X,X,X,X,X,O,O,O,X
TLJSZIO,O,X,X,X,X,X,X,X,X
TLJSZOI,X,X,X,X,X,X,X,O,X
TLJSOIZ,X,X,X,X,X,O,X,O,X
TLJSOZI,X,X,X,X,X,X,X,O,X
TLJZISO,O,X,X,O,X,X,X,X,X
TLJZIOS,O,X,X,O,X,X,X,X,X
TLJZSIO,O,X,X,O,X,X,X,X,X
TLJZSOI,X,X,X,O,X,X,X,O,X
TLJZOIS,X,X,X,O,X,X,X,X,X
TLJZOSI,X,X,X,O,X,X,X,X,X
TLJOISZ,X,X,X,X,O,O,X,X,X
TLJOIZS,X,X,X,O,O,X,X,X,X
TLJOSIZ,X,X,X,X,O,O,X,O,X
TLJOSZI,X,X,X,X,X,X,X,O,X
TLJOZIS,X,X,X,O,O,X,X,X,X
TLJOZSI,X,X,X,O,X,X,X,X,X
TLSIJZO,X,X,O,X,X,X,O,X,X
TLSIJOZ,X,X,O,X,X,O,O,X,X
TLSIZJO,O,O,O,X,X,X,O,X,X
TLSIZOJ,O,X,O,X,X,X,O,X,X
TLSIOJZ,X,X,O,X,X,O,O,X,X
TLSIOZJ,X,X,O,X,X,X,O,X,X
TLSJIZO,X,X,O,X,X,X,O,X,X
TLSJIOZ,X,X,O,X,X,O,O,O,X
TLSJZIO,O,X,X,X,X,X,X,X,X
TLSJZOI,X,X,X,X,X,X,X,O,X
TLSJOIZ,X,X,O,X,X,O,X,O,X
TLSJOZI,X,X,X,X,X,X,X,O,X
TLSZIJO,O,O,O,X,X,X,X,X,X
TLSZIOJ,O,X,O,X,X,X,X,X,X
TLSZJIO,O,O,X,X,X,X,X,X,X
TLSZJOI,X,X,X,X,X,X,X,X,X
TLSZOIJ,O,X,O,X,X,X,X,X,X
TLSZOJI,O,X,X,X,X,X,X,X,X
TLSOIJZ,X,X,O,X,X,O,X,X,X
TLSOIZJ,O,X,O,X,X,X,X,X,X
TLSOJIZ,X,X,O,X,X,O,X,O,X
TLSOJZI,O,X,X,X,X,X,X,O,X
TLSOZIJ,O,X,O,X,X,X,X,X,X
TLSOZJI,O,X,X,X,X,X,X,X,X
TLZIJSO,O,O,X,O,X,X,X,X,X
TLZIJOS,O,O,X,O,X,X,X,X,X
TLZISJO,O,X,X,O,X,X,X,X,X
TLZISOJ,O,X,X,X,X,X,X,X,X
TLZIOJS,O,X,X,O,X,X,X,X,X
TLZIOSJ,O,X,X,X,X,X,X,X,X
TLZJISO,O,O,X,O,X,X,X,X,X
TLZJIOS,O,O,X,O,X,X,X,X,X
TLZJSIO,O,O,X,O,X,X,X,X,X
TLZJSOI,X,X,X,O,X,X,X,X,X
TLZJOIS,X,O,X,O,X,X,X,X,X
TLZJOSI,X,O,X,O,X,X,X,X,X
TLZSIJO,O,O,X,O,X,X,X,X,X
TLZSIOJ,O,X,X,X,X,X,X,X,X
TLZSJIO,O,O,X,O,X,X,X,X,X
TLZSJOI,X,X,X,O,X,X,X,X,X
TLZSOIJ,O,X,X,X,X,X,X,X,X
TLZSOJI,O,X,X,X,X,X,X,X,X
TLZOIJS,O,O,X,O,X,X,X,X,X
TLZOISJ,O,X,X,X,X,X,X,X,X
TLZOJIS,O,O,X,O,X,X,X,X,X
TLZOJSI,O,O,X,O,X,X,X,X,X
TLZOSIJ,O,O,X,X,X,X,X,X,X
TLZOSJI,O,O,X,X,X,X,X,X,X
TLOIJSZ,X,X,X,X,O,O,X,X,X
TLOIJZS,X,X,X,O,O,X,X,X,X
TLOISJZ,X,X,O,X,O,O,X,X,X
TLOISZJ,O,X,O,X,O,X,X,X,X
TLOIZJS,O,O,X,O,O,X,X,X,X
TLOIZSJ,O,X,O,X,O,X,X,X,X
TLOJISZ,X,X,X,X,O,O,X,X,X
TLOJIZS,X,X,X,O,O,X,X,X,X
TLOJSIZ,X,X,X,X,O,O,X,X,X
TLOJSZI,O,X,X,X,X,X,X,X,X
TLOJZIS,O,X,X,O,O,X,X,X,X
TLOJZSI,O,X,X,O,X,X,X,X,X
TLOSIJZ,X,X,O,X,O,O,X,X,X
TLOSIZJ,O,O,O,X,O,X,X,X,X
TLOSJIZ,X,X,O,X,O,O,X,X,X
TLOSJZI,O,X,X,X,X,X,X,X,X
TLOSZIJ,O,O,O,X,X,X,X,X,X
TLOSZJI,O,O,X,X,X,X,X,X,X
TLOZIJS,O,O,X,O,O,X,X,X,X
TLOZISJ,O,X,X,X,O,X,X,X,X
TLOZJIS,O,O,X,O,O,X,X,X,X
TLOZJSI,O,O,X,O,X,X,X,X,X
TLOZSIJ,O,O,X,X,X,X,X,X,X
TLOZSJI,O,O,X,X,X,X,X,X,X
TJILSZO,X,X,X,X,X,X,O,X,X
TJILSOZ,X,X,X,X,X,O,O,O,X
TJILZSO,X,X,X,O,X,X,X,X,X
TJILZOS,X,X,X,O,X,X,X,X,X
TJILOSZ,X,X,X,X,O,O,X,X,X
TJILOZS,X,X,X,O,O,X,X,X,X
TJISLZO,X,X,O,X,X,X,O,X,X
TJISLOZ,X,X,O,X,X,X,O,O,X
TJISZLO,X,X,O,O,X,X,X,X,X
TJISZOL,X,X,O,O,X,X,X,X,X
TJISOLZ,X,X,O,X,O,O,X,O,X
TJISOZL,X,X,O,O,O,O,X,X,X
TJIZLSO,X,X,X,O,X,X,X,X,X
TJIZLOS,X,X,X,O,X,X,X,X,X
TJIZSLO,X,X,O,O,X,X,X,X,X
TJIZSOL,X,X,O,O,X,X,X,X,X
TJIZOLS,X,X,X,O,O,X,X,X,X
TJIZOSL,X,X,O,O,O,X,X,X,X
TJIOLSZ,X,X,X,X,O,O,X,X,X
TJIOLZS,X,X,X,O,O,X,X,X,X
TJIOSLZ,X,X,O,X,O,O,X,X,X
TJIOSZL,X,X,O,O,O,O,X,X,X
TJIOZLS,X,X,X,O,O,X,X,X,X
TJIOZSL,X,X,O,O,O,X,X,X,X
TJLISZO,X,X,X,X,X,X,O,X,X
TJLISOZ,X,X,X,X,X,O,O,O,X
TJLIZSO,X,X,X,O,X,X,X,X,X
TJLIZOS,X,X,X,O,X,X,X,X,X
TJLIOSZ,X,X,X,X,O,O,X,X,X
TJLIOZS,X,X,X,O,O,X,X,X,X
TJLSIZO,X,X,X,X,X,X,O,X,X
TJLSIOZ,X,X,X,X,X,O,O,O,X
TJLSZIO,O,X,X,X,X,X,X,X,X
TJLSZOI,X,X,X,X,X,X,X,O,X
TJLSOIZ,X,X,X,X,X,O,X,O,X
TJLSOZI,X,X,X,X,X,X,X,O,X
TJLZISO,O,X,X,O,X,X,X,X,X
TJLZIOS,O,X,X,O,X,X,X,X,X
TJLZSIO,O,X,X,O,X,X,X,X,X
TJLZSOI,X,X,X,O,X,X,X,O,X
TJLZOIS,X,X,X,O,X,X,X,X,X
TJLZOSI,X,X,X,O,X,X,X,X,X
TJLOISZ,X,X,X,X,O,O,X,X,X
TJLOIZS,X,X,X,O,O,X,X,X,X
TJLOSIZ,X,X,X,X,O,O,X,O,X
TJLOSZI,X,X,X,X,X,X,X,O,X
TJLOZIS,X,X,X,O,O,X,X,X,X
TJLOZSI,X,X,X,O,X,X,X,X,X
TJSILZO,X,X,O,X,X,X,O,X,X
TJSILOZ,X,X,O,X,X,X,O,O,X
TJSIZLO,X,X,O,O,X,X,X,X,X
TJSIZOL,X,X,O,O,X,X,X,X,X
TJSIOLZ,X,X,O,X,O,O,X,O,X
TJSIOZL,X,X,O,O,O,O,X,X,X
TJSLIZO,X,X,O,X,X,X,O,X,X
TJSLIOZ,X,X,O,X,X,O,O,O,X
TJSLZIO,O,X,X,X,X,X,X,X,X
TJSLZOI,X,X,X,X,X,X,X,O,X
TJSLOIZ,X,X,O,X,X,O,X,O,X
TJSLOZI,X,X,X,X,X,X,X,O,X
TJSZILO,O,X,X,O,X,X,X,X,X
TJSZIOL,O,X,X,O,X,X,X,X,X
TJSZLIO,O,X,X,O,X,X,X,X,X
TJSZLOI,X,X,X,O,X,X,X,O,X
TJSZOIL,O,X,X,O,X,X,X,X,X
TJSZOLI,O,X,X,O,X,X,X,O,X
TJSOILZ,X,X,O,X,O,O,X,O,X
TJSOIZL,X,X,O,O,O,O,X,X,X
TJSOLIZ,X,X,O,X,O,O,X,O,X
TJSOLZI,O,X,X,X,X,X,X,O,X
TJSOZIL,O,X,X,O,X,X,X,X,X
TJSOZLI,O,X,X,O,X,X,X,O,X
TJZILSO,O,X,X,O,X,X,X,X,X
TJZILOS,O,X,X,O,X,X,X,X,X
TJZISLO,X,X,X,O,X,X,X,X,X
TJZISOL,X,X,X,O,X,X,X,X,X
TJZIOLS,O,X,X,O,O,X,X,X,X
TJZIOSL,X,X,X,O,O,X,X,X,X
TJZLISO,O,X,X,O,X,X,X,X,X
TJZLIOS,O,X,X,O,X,X,X,X,X
TJZLSIO,O,X,X,O,X,X,X,X,X
TJZLSOI,X,X,X,O,X,X,X,O,X
TJZLOIS,X,X,X,O,X,X,X,X,X
TJZLOSI,X,X,X,O,X,X,X,X,X
TJZSILO,O,X,X,O,X,X,X,X,X
TJZSIOL,O,X,X,O,X,X,X,X,X
TJZSLIO,O,X,X,O,X,X,X,X,X
TJZSLOI,X,X,X,O,X,X,X,O,X
TJZSOIL,O,X,X,O,X,X,X,X,X
TJZSOLI,O,X,X,O,X,X,X,O,X
TJZOILS,O,X,X,O,O,X,X,X,X
TJZOISL,X,X,X,O,O,X,X,X,X
TJZOLIS,O,X,X,O,O,X,X,X,X
TJZOLSI,O,X,X,O,X,X,X,X,X
TJZOSIL,O,X,X,O,X,X,X,X,X
TJZOSLI,O,X,X,O,X,X,X,X,X
TJOILSZ,X,X,X,X,O,O,X,X,X
TJOILZS,X,X,X,O,O,X,X,X,X
TJOISLZ,X,X,O,X,O,O,X,X,X
TJOISZL,X,X,O,O,O,O,X,X,X
TJOIZLS,X,X,X,O,O,X,X,X,X
TJOIZSL,X,X,O,O,O,X,X,X,X
TJOLISZ,X,X,X,X,O,O,X,X,X
TJOLIZS,X,X,X,O,O,X,X,X,X
TJOLSIZ,X,X,X,X,O,O,X,O,X
TJOLSZI,O,X,X,X,X,X,X,O,X
TJOLZIS,O,X,X,O,O,X,X,X,X
TJOLZSI,O,X,X,O,X,X,X,X,X
TJOSILZ,X,X,O,X,O,O,X,O,X
TJOSIZL,X,X,O,O,O,O,X,X,X
TJOSLIZ,X,X,O,X,O,O,X,O,X
TJOSLZI,O,X,X,X,X,X,X,O,X
TJOSZIL,O,X,X,O,X,X,X,X,X
TJOSZLI,O,X,X,O,X,X,X,O,X
TJOZILS,O,X,X,O,O,X,X,X,X
TJOZISL,X,X,X,O,O,X,X,X,X
TJOZLIS,O,X,X,O,O,X,X,X,X
TJOZLSI,O,X,X,O,X,X,X,X,X
TJOZSIL,O,X,X,O,X,X,X,X,X
TJOZSLI,O,X,X,O,X,X,X,X,X
TSILJZO,X,X,O,X,X,X,O,X,X
TSILJOZ,X,X,O,X,X,X,O,X,X
TSILZJO,O,O,O,X,X,X,O,X,X
TSILZOJ,O,X,O,X,X,X,O,X,X
TSILOJZ,X,X,O,X,X,X,O,X,X
TSILOZJ,X,X,O,X,X,X,O,X,X
TSIJLZO,X,X,O,X,X,X,X,X,X
TSIJLOZ,X,X,O,X,X,X,X,O,X
TSIJZLO,X,X,O,O,X,X,X,X,X
TSIJZOL,X,X,O,O,X,X,X,X,X
TSIJOLZ,X,X,O,X,O,O,X,O,X
TSIJOZL,X,X,O,O,O,O,X,X,X
TSIZLJO,O,O,O,O,X,X,X,X,X
TSIZLOJ,O,X,O,X,X,X,X,X,X
TSIZJLO,O,O,O,O,X,X,X,X,X
TSIZJOL,O,O,O,O,X,X,X,X,X
TSIZOLJ,O,O,O,X,X,X,X,X,X
TSIZOJL,O,O,O,O,X,X,X,X,X
TSIOLJZ,X,X,O,X,O,X,X,X,X
TSIOLZJ,O,O,O,X,O,X,X,X,X
TSIOJLZ,X,X,O,X,O,O,X,O,X
TSIOJZL,X,X,O,O,O,O,X,X,X
TSIOZLJ,O,O,O,X,O,X,X,X,X
TSIOZJL,O,O,O,O,O,X,X,X,X
TSLIJZO,X,X,O,X,X,X,O,X,X
TSLIJOZ,X,X,O,X,X,O,O,X,X
TSLIZJO,O,O,O,X,X,X,O,X,X
TSLIZOJ,O,X,O,X,X,X,O,X,X
TSLIOJZ,X,X,O,X,X,O,O,X,X
TSLIOZJ,X,X,O,X,X,X,O,X,X
TSLJIZO,X,X,O,X,X,X,O,X,X
TSLJIOZ,X,X,O,X,X,O,O,O,X
TSLJZIO,O,X,X,X,X,X,X,X,X
TSLJZOI,X,X,X,X,X,X,X,O,X
TSLJOIZ,X,X,O,X,X,O,X,O,X
TSLJOZI,X,X,X,X,X,X,X,O,X
TSLZIJO,O,O,O,X,X,X,X,X,X
TSLZIOJ,O,X,O,X,X,X,X,X,X
TSLZJIO,O,O,X,X,X,X,X,X,X
TSLZJOI,X,X,X,X,X,X,X,X,X
TSLZOIJ,O,X,O,X,X,X,X,X,X
TSLZOJI,O,X,X,X,X,X,X,X,X
TSLOIJZ,X,X,O,X,X,O,X,X,X
TSLOIZJ,O,X,O,X,X,X,X,X,X
TSLOJIZ,X,X,O,X,X,O,X,O,X
TSLOJZI,O,X,X,X,X,X,X,O,X
TSLOZIJ,O,X,O,X,X,X,X,X,X
TSLOZJI,O,X,X,X,X,X,X,X,X
TSJILZO,X,X,O,X,X,X,O,X,X
TSJILOZ,X,X,O,X,X,X,O,O,X
TSJIZLO,X,X,O,O,X,X,X,X,X
TSJIZOL,X,X,O,O,X,X,X,X,X
TSJIOLZ,X,X,O,X,O,O,X,O,X
TSJIOZL,X,X,O,O,O,O,X,X,X
TSJLIZO,X,X,O,X,X,X,O,X,X
TSJLIOZ,X,X,O,X,X,O,O,O,X
TSJLZIO,O,X,X,X,X,X,X,X,X
TSJLZOI,X,X,X,X,X,X,X,O,X
TSJLOIZ,X,X,O,X,X,O,X,O,X
TSJLOZI,X,X,X,X,X,X,X,O,X
TSJZILO,O,X,X,O,X,X,X,X,X
TSJZIOL,O,X,X,O,X,X,X,X,X
TSJZLIO,O,X,X,O,X,X,X,X,X
TSJZLOI,X,X,X,O,X,X,X,O,X
TSJZOIL,O,X,X,O,X,X,X,X,X
TSJZOLI,O,X,X,O,X,X,X,O,X
TSJOILZ,X,X,O,X,O,O,X,O,X
TSJOIZL,X,X,O,O,O,O,X,X,X
TSJOLIZ,X,X,O,X,O,O,X,O,X
TSJOLZI,O,X,X,X,X,X,X,O,X
TSJOZIL,O,X,X,O,X,X,X,X,X
TSJOZLI,O,X,X,O,X,X,X,O,X
TSZILJO,O,O,O,O,X,X,X,X,X
TSZILOJ,O,X,O,X,X,X,X,X,X
TSZIJLO,O,O,O,O,X,X,X,X,X
TSZIJOL,O,O,O,O,X,X,X,X,X
TSZIOLJ,O,O,O,X,X,X,X,X,X
TSZIOJL,O,O,O,O,X,X,X,X,X
TSZLIJO,O,O,O,O,X,X,X,X,X
TSZLIOJ,O,X,O,X,X,X,X,X,X
TSZLJIO,O,O,X,O,X,X,X,X,X
TSZLJOI,X,X,X,O,X,X,X,X,X
TSZLOIJ,O,X,O,X,X,X,X,X,X
TSZLOJI,O,X,X,X,X,X,X,X,X
TSZJILO,O,O,X,O,X,X,X,X,X
TSZJIOL,O,O,X,O,X,X,X,X,X
TSZJLIO,O,O,X,O,X,X,X,X,X
TSZJLOI,X,X,X,O,X,X,X,O,X
TSZJOIL,O,O,X,O,X,X,X,X,X
TSZJOLI,O,O,X,O,X,X,X,O,X
TSZOILJ,O,O,O,X,X,X,X,X,X
TSZOIJL,O,O,O,O,X,X,X,X,X
TSZOLIJ,O,O,O,X,X,X,X,X,X
TSZOLJI,O,O,X,X,X,X,X,X,X
TSZOJIL,O,O,X,O,X,X,X,X,X
TSZOJLI,O,O,X,O,X,X,X,O,X
TSOILJZ,X,X,O,X,O,X,X,X,X
TSOILZJ,O,O,O,X,O,X,X,X,X
TSOIJLZ,X,X,O,X,O,O,X,O,X
TSOIJZL,X,X,O,O,O,O,X,X,X
TSOIZLJ,O,O,O,X,O,X,X,X,X
TSOIZJL,O,O,O,O,O,X,X,X,X
TSOLIJZ,X,X,O,X,O,O,X,X,X
TSOLIZJ,O,O,O,X,O,X,X,X,X
TSOLJIZ,X,X,O,X,O,O,X,O,X
TSOLJZI,O,X,X,X,X,X,X,O,X
TSOLZIJ,O,O,O,X,X,X,X,X,X
TSOLZJI,O,O,X,X,X,X,X,X,X
TSOJILZ,X,X,O,X,O,O,X,O,X
TSOJIZL,X,X,O,O,O,O,X,X,X
TSOJLIZ,X,X,O,X,O,O,X,O,X
TSOJLZI,O,X,X,X,X,X,X,O,X
TSOJZIL,O,X,X,O,X,X,X,X,X
TSOJZLI,O,X,X,O,X,X,X,O,X
TSOZILJ,O,O,O,X,X,X,X,X,X
TSOZIJL,O,O,O,O,X,X,X,X,X
TSOZLIJ,O,O,O,X,X,X,X,X,X
TSOZLJI,O,O,X,X,X,X,X,X,X
TSOZJIL,O,O,X,O,X,X,X,X,X
TSOZJLI,O,O,X,O,X,X,X,O,X
TZILJSO,O,O,X,O,X,X,X,X,X
TZILJOS,O,O,X,O,X,X,X,X,X
TZILSJO,O,X,O,O,X,X,X,X,X
TZILSOJ,O,X,O,X,X,X,X,X,X
TZILOJS,O,X,X,O,X,X,X,X,X
TZILOSJ,O,X,O,X,X,X,X,X,X
TZIJLSO,O,O,X,O,X,X,X,X,X
TZIJLOS,O,O,X,O,X,X,X,X,X
TZIJSLO,X,O,O,O,X,X,X,X,X
TZIJSOL,X,O,O,O,X,X,X,X,X
TZIJOLS,O,O,X,O,O,X,X,X,X
TZIJOSL,X,X,O,O,O,X,X,X,X
TZISLJO,O,O,O,O,X,X,X,X,X
TZISLOJ,O,X,O,X,X,X,X,X,X
TZISJLO,O,O,O,O,X,X,X,X,X
TZISJOL,O,O,O,O,X,X,X,X,X
TZISOLJ,O,O,O,X,X,X,X,X,X
TZISOJL,O,O,O,O,X,X,X,X,X
TZIOLJS,O,O,X,O,O,X,X,X,X
TZIOLSJ,O,X,O,X,O,X,X,X,X
TZIOJLS,O,O,X,O,O,X,X,X,X
TZIOJSL,X,X,O,O,O,X,X,X,X
TZIOSLJ,O,X,O,X,O,X,X,X,X
TZIOSJL,O,X,O,O,O,X,X,X,X
TZLIJSO,O,O,X,O,X,X,X,X,X
