sequence,v115@NhA8CeA8DeB8BeC8CeE8Jei/IvhFRhBunBcoBzkB3q?BFrB,v115@NhA8CeA8DeB8BeC8CeE8Jex/IvhFlhBqnBTjB0kB3q?BmqB,v115@NhA8CeA8DeB8BeC8CeE8JeT/IvhF0gBlhBCjBXoBRq?B2vB,v115@NhA8CeA8DeB8BeC8CeE8Je2EJvhFlhBqnBTjBRqBfr?BUqB,v115@NhA8CeA8DeB8BeC8CeE8Je/EJvhFUgBRhBOrBFoBCo?BTqB,v115@NhA8CeA8DeB8BeC8CeE8Je/EJvhFRhBGjBFmBznB0q?BaqB
TJSILOZ,X,X,O,O,X,X
TJSIZLO,X,X,O,X,O,X
TJSIZOL,X,X,O,X,O,X
TJSIOLZ,X,X,O,X,O,X
TJSIOZL,X,X,O,X,O,X
TJSLIZO,X,X,O,O,O,X
TJSLIOZ,X,X,O,O,X,X
TJSLZIO,X,O,X,X,O,X
TJSLZOI,X,O,X,X,O,X
TJSLOIZ,X,X,O,O,O,X
TJSLOZI,X,O,X,X,O,X
TJSZILO,X,O,X,X,O,X
TJSZIOL,X,X,X,X,O,X
TJSZLIO,X,O,X,X,O,X
TJSZLOI,X,O,X,X,O,X
TJSZOIL,X,X,X,X,O,X
TJSZOLI,X,X,X,X,O,X
TJSOILZ,X,X,O,X,O,X
TJSOIZL,X,X,O,X,O,X
TJSOLIZ,X,X,O,X,O,X
TJSOLZI,X,X,X,X,O,X
TJSOZIL,X,X,X,X,O,X
TJSOZLI,X,X,X,X,O,X
TJZILSO,X,X,X,O,X,X
TJZILOS,X,O,X,O,X,X
TJZISLO,X,X,X,X,O,X
TJZISOL,X,X,X,X,O,O
TJZIOLS,X,X,X,X,X,O
TJZIOSL,X,X,X,X,O,O
TJZLISO,X,X,X,O,X,X
TJZLIOS,X,O,X,O,X,X
TJZLSIO,X,O,X,X,X,X
TJZLSOI,X,O,X,X,X,X
TJZLOIS,X,O,X,O,X,X
TJZLOSI,X,O,X,X,X,X
TJZSILO,X,O,X,X,O,X
TJZSIOL,X,X,X,X,O,O
TJZSLIO,X,O,X,X,O,X
TJZSLOI,X,O,X,X,O,X
TJZSOIL,X,X,X,X,O,O
TJZSOLI,X,X,X,X,O,O
TJZOILS,X,X,X,X,X,O
TJZOISL,X,X,X,X,O,O
TJZOLIS,X,X,X,X,X,O
TJZOLSI,X,X,X,X,X,O
TJZOSIL,X,X,X,X,O,O
TJZOSLI,X,X,X,X,O,O
TJOILSZ,X,X,X,O,O,X
TJOILZS,X,X,X,O,X,O
TJOISLZ,X,X,O,X,O,X
TJOISZL,X,X,O,X,O,O
TJOIZLS,X,X,X,X,X,O
TJOIZSL,X,X,O,X,O,O
TJOLISZ,X,X,X,O,O,X
TJOLIZS,X,X,X,O,X,O
