sequence,v115@BhB8GeB8HeC8DeA8BeC8BeA8KeT/IvhFOlBxiBFnB6?tB0pB3sB,v115@BhB8GeB8HeC8DeA8BeC8BeA8KeOEJvhFXgB5oBFnB8?sBzpBisB,v115@BhB8GeB8HeC8DeA8BeC8BeA8KeOFJvhFxiBTkBFnB6?tB3sB0pB,v115@BhB8GeB8HeC8DeA8BeC8BeA8KeOEJvhFXgBliB5oBa?sB8sBzpB,v115@BhB8GeB8HeC8DeA8BeC8BeA8Kex/IvhFmkBFnBXoB6?tB0pBTsB,v115@BhB8GeB8HeC8DeA8BeC8BeA8KeeIJvhF5oBikBFnB0?kBXqBTsB,v115@BhB8GeB8HeC8DeA8BeC8BeA8KeeIJvhF5oBikBFnBX?lB0pBTsB,v115@BhB8GeB8HeC8DeA8BeC8BeA8KeOFJvhFVnB5oBTkBy?sB0pB3sB,v115@BhB8GeB8HeC8DeA8BeC8BeA8Ke0/IvhFVnBaoB5oB/?pBOqBTsB,v115@BhB8GeB8HeC8DeA8BeC8BeA8KeXAJvhFVnBaoB5oB2?pBTsB0pB,v115@BhB8GeB8HeC8DeA8BeC8BeA8Kex/IvhFXiBUoBmpBT?sB6tBlpB
TIOJLZS,X,X,X,O,X,X,X,O,X,O,X
TIOJSLZ,X,X,X,O,X,X,X,O,O,O,X
TIOJSZL,X,O,X,O,X,X,X,X,O,O,X
TIOJZLS,O,O,X,O,X,X,X,O,X,O,X
TIOJZSL,O,O,X,O,X,X,X,X,X,O,X
TIOSLJZ,X,X,X,O,X,X,X,O,O,O,X
TIOSLZJ,X,X,X,O,X,X,X,X,O,O,X
TIOSJLZ,X,X,X,O,X,X,X,O,O,O,X
TIOSJZL,X,O,X,O,X,X,X,X,O,O,X
TIOSZLJ,X,O,X,O,X,X,X,X,O,O,X
TIOSZJL,X,O,X,O,X,X,X,X,O,O,X
TIOZLJS,O,O,X,O,X,X,X,O,X,O,X
TIOZLSJ,X,O,X,O,X,X,X,X,O,O,X
TIOZJLS,O,O,X,O,X,X,X,O,X,O,X
TIOZJSL,O,O,X,O,X,X,X,X,X,O,X
TIOZSLJ,X,O,X,O,X,X,X,X,O,O,X
TIOZSJL,O,O,X,O,X,X,X,X,O,O,X
TLIJSZO,O,X,X,O,X,O,O,X,O,X,X
TLIJSOZ,X,X,X,X,X,X,O,O,X,X,X
TLIJZSO,O,X,X,O,X,O,O,X,X,X,X
TLIJZOS,O,X,X,O,X,O,X,O,X,X,X
TLIJOSZ,X,X,O,X,X,X,O,O,X,X,X
TLIJOZS,O,X,X,X,X,O,X,O,X,X,X
TLISJZO,O,X,X,O,X,X,X,X,O,X,X
TLISJOZ,X,X,X,X,X,X,X,O,X,X,X
TLISZJO,O,X,X,O,X,X,X,X,O,X,X
TLISZOJ,O,X,X,O,X,X,X,X,O,X,X
TLISOJZ,X,X,X,X,X,X,X,O,X,X,X
TLISOZJ,X,X,X,X,X,X,X,X,O,X,X
TLIZJSO,O,X,X,O,X,X,X,X,X,X,X
TLIZJOS,O,X,X,O,X,X,X,O,X,X,X
TLIZSJO,O,X,X,O,X,X,X,X,O,X,X
TLIZSOJ,O,X,X,O,X,X,X,X,O,X,X
TLIZOJS,O,X,X,O,X,X,X,O,X,X,X
TLIZOSJ,O,X,X,O,X,X,X,X,X,X,X
TLIOJSZ,X,X,O,O,X,X,X,O,X,X,X
TLIOJZS,O,X,X,O,X,X,X,O,X,X,X
TLIOSJZ,X,X,X,O,X,X,X,O,X,X,X
TLIOSZJ,X,X,X,O,X,X,X,X,O,X,X
TLIOZJS,O,X,X,O,X,X,X,O,X,X,X
TLIOZSJ,O,X,X,O,X,X,X,X,X,X,X
TLJISZO,O,X,X,O,X,O,O,X,O,X,X
TLJISOZ,X,X,X,X,X,X,O,O,X,X,X
TLJIZSO,O,X,X,O,X,O,O,X,X,X,X
TLJIZOS,O,X,X,O,X,O,X,O,X,X,X
TLJIOSZ,X,X,O,X,X,X,O,O,X,X,X
TLJIOZS,O,X,X,X,X,O,X,O,X,X,X
TLJSIZO,O,X,O,O,X,O,O,X,O,X,X
TLJSIOZ,O,X,O,X,X,X,O,O,X,X,X
TLJSZIO,O,X,O,O,X,X,X,X,O,X,X
TLJSZOI,O,X,O,O,X,X,X,X,X,X,X
TLJSOIZ,O,X,O,X,X,X,X,O,X,X,X
TLJSOZI,O,X,O,X,X,X,X,X,X,X,X
TLJZISO,O,X,X,O,X,O,O,X,X,X,X
TLJZIOS,O,X,X,O,X,O,X,O,X,X,X
TLJZSIO,O,X,X,O,X,X,X,X,X,X,X
TLJZSOI,O,X,X,O,X,X,X,X,X,X,X
TLJZOIS,O,X,X,O,X,X,X,O,X,X,X
TLJZOSI,O,X,O,O,X,X,X,X,X,X,X
TLJOISZ,X,X,O,X,X,X,O,O,X,X,X
TLJOIZS,O,X,X,X,X,O,X,O,X,X,X
TLJOSIZ,X,X,O,X,X,X,X,O,X,X,X
TLJOSZI,X,X,O,X,X,X,X,X,X,X,X
TLJOZIS,O,X,X,X,X,X,X,O,X,X,X
TLJOZSI,O,X,O,X,X,X,X,X,X,X,X
TLSIJZO,O,X,O,O,X,X,X,X,O,X,X
TLSIJOZ,O,X,O,X,X,X,X,O,X,X,X
TLSIZJO,O,X,O,O,X,X,X,X,O,X,X
TLSIZOJ,O,X,O,O,X,X,X,X,O,X,X
TLSIOJZ,O,X,O,X,X,X,X,O,X,X,X
TLSIOZJ,O,X,O,X,X,X,X,X,O,X,X
TLSJIZO,O,X,O,O,X,O,O,X,O,X,X
TLSJIOZ,O,X,O,X,X,X,O,O,X,X,X
TLSJZIO,O,X,O,O,X,X,X,X,O,X,X
TLSJZOI,O,X,O,O,X,X,X,X,X,X,X
TLSJOIZ,O,X,O,X,X,X,X,O,X,X,X
TLSJOZI,O,X,O,X,X,X,X,X,X,X,X
TLSZIJO,O,X,O,O,X,X,X,X,O,X,X
TLSZIOJ,O,X,O,O,X,X,X,X,O,X,X
TLSZJIO,O,X,O,O,O,X,X,X,O,X,X
TLSZJOI,O,X,O,O,O,X,X,X,X,X,X
TLSZOIJ,O,X,O,O,X,X,X,X,O,X,X
TLSZOJI,O,X,O,O,X,X,X,X,X,X,X
TLSOIJZ,O,X,O,X,X,X,X,O,X,X,X
TLSOIZJ,O,X,O,X,X,X,X,X,O,X,X
TLSOJIZ,O,X,O,X,X,X,X,O,X,X,X
TLSOJZI,O,X,O,X,X,X,X,X,X,X,X
TLSOZIJ,O,X,O,X,X,X,X,X,O,X,X
TLSOZJI,O,X,O,X,X,X,X,X,X,X,X
TLZIJSO,O,X,X,O,X,X,X,X,X,X,X
TLZIJOS,O,X,X,O,X,X,X,O,X,X,X
TLZISJO,O,X,X,O,X,X,X,X,O,X,X
TLZISOJ,O,X,X,O,X,X,X,X,O,X,X
TLZIOJS,O,X,X,O,X,X,X,O,X,X,X
TLZIOSJ,O,X,X,O,X,X,X,X,X,X,X
TLZJISO,O,X,X,O,O,O,O,X,X,X,X
TLZJIOS,O,X,X,O,X,O,X,O,X,X,X
TLZJSIO,O,X,X,O,O,X,X,X,X,X,X
TLZJSOI,O,X,X,O,O,X,X,X,X,X,X
TLZJOIS,O,X,X,O,X,X,X,O,X,X,X
TLZJOSI,O,X,O,O,X,X,X,X,X,X,X
TLZSIJO,O,X,X,O,X,X,X,X,O,X,X
TLZSIOJ,O,X,X,O,X,X,X,X,O,X,X
TLZSJIO,O,X,X,O,O,X,X,X,O,X,X
TLZSJOI,O,X,X,O,O,X,X,X,X,X,X
TLZSOIJ,O,X,X,O,X,X,X,X,O,X,X
TLZSOJI,O,X,X,O,X,X,X,X,X,X,X
TLZOIJS,O,X,X,O,X,X,X,O,X,X,X
TLZOISJ,O,X,X,O,X,X,X,X,X,X,X
TLZOJIS,O,X,X,O,X,X,X,O,X,X,X
TLZOJSI,O,X,O,O,X,X,X,X,X,X,X
TLZOSIJ,O,X,X,O,X,X,X,X,X,X,X
TLZOSJI,O,X,X,O,X,X,X,X,X,X,X
TLOIJSZ,X,X,O,O,X,X,X,O,X,X,X
TLOIJZS,O,X,X,O,X,X,X,O,X,X,X
TLOISJZ,X,X,X,O,X,X,X,O,X,X,X
TLOISZJ,X,X,X,O,X,X,X,X,O,X,X
TLOIZJS,O,X,X,O,X,X,X,O,X,X,X
TLOIZSJ,O,X,X,O,X,X,X,X,X,X,X
TLOJISZ,X,X,O,O,X,X,O,O,X,X,X
TLOJIZS,O,X,X,O,X,O,X,O,X,X,X
TLOJSIZ,X,X,O,O,X,X,X,O,X,X,X
TLOJSZI,X,X,O,O,X,X,X,X,X,X,X
TLOJZIS,O,X,X,O,X,X,X,O,X,X,X
TLOJZSI,O,X,O,O,X,X,X,X,X,X,X
TLOSIJZ,X,X,O,O,X,X,X,O,X,X,X
TLOSIZJ,X,X,O,O,X,X,X,X,O,X,X
TLOSJIZ,X,X,O,O,X,X,X,O,X,X,X
TLOSJZI,X,X,O,O,X,X,X,X,X,X,X
TLOSZIJ,X,X,O,O,X,X,X,X,O,X,X
TLOSZJI,X,X,O,O,X,X,X,X,X,X,X
TLOZIJS,O,X,X,O,X,X,X,O,X,X,X
TLOZISJ,O,X,X,O,X,X,X,X,X,X,X
TLOZJIS,O,X,X,O,X,X,X,O,X,X,X
TLOZJSI,O,X,O,O,X,X,X,X,X,X,X
TLOZSIJ,O,X,X,O,X,X,X,X,X,X,X
TLOZSJI,O,X,X,O,X,X,X,X,X,X,X
TJILSZO,O,X,X,O,X,O,O,X,O,X,X
TJILSOZ,X,X,X,X,X,X,O,O,X,X,X
TJILZSO,O,X,X,O,X,O,O,X,X,X,X
TJILZOS,O,X,X,O,X,O,X,O,X,X,X
TJILOSZ,X,X,O,X,X,X,O,O,X,X,X
TJILOZS,O,X,X,X,X,O,X,O,X,X,X
TJISLZO,X,X,X,O,X,O,O,X,O,X,X
TJISLOZ,X,X,X,X,X,X,O,O,X,X,X
TJISZLO,X,X,X,O,X,X,X,X,O,X,X
TJISZOL,O,X,X,O,X,X,X,X,X,X,X
TJISOLZ,X,X,X,X,X,X,X,O,X,O,X
TJISOZL,X,X,X,X,X,X,X,X,X,O,X
TJIZLSO,O,X,X,O,X,O,O,X,X,X,X
TJIZLOS,O,X,X,X,X,O,X,O,X,X,X
TJIZSLO,X,X,X,O,X,X,X,X,X,X,X
TJIZSOL,O,X,X,O,X,X,X,X,X,X,X
TJIZOLS,O,X,X,X,X,X,X,O,X,X,X
TJIZOSL,O,X,X,O,X,X,X,X,X,X,X
TJIOLSZ,X,X,O,X,X,X,O,O,X,O,X
TJIOLZS,X,X,X,X,X,O,X,O,X,O,X
TJIOSLZ,X,X,X,X,X,X,X,O,X,O,X
TJIOSZL,X,X,X,X,X,X,X,X,X,O,O
TJIOZLS,O,X,X,X,X,X,X,O,X,O,O
TJIOZSL,O,X,X,X,X,X,X,X,X,O,O
TJLISZO,O,X,X,O,X,O,O,X,O,X,X
TJLISOZ,X,X,X,X,X,X,O,O,X,X,X
TJLIZSO,O,X,X,O,X,O,O,X,X,X,X
TJLIZOS,O,X,X,O,X,O,X,O,X,X,X
TJLIOSZ,X,X,O,X,X,X,O,O,X,X,X
TJLIOZS,O,X,X,X,X,O,X,O,X,X,X
TJLSIZO,O,X,O,O,X,O,O,X,O,X,X
TJLSIOZ,O,X,O,X,X,X,O,O,X,X,X
TJLSZIO,O,X,O,O,X,X,X,X,O,X,X
TJLSZOI,O,X,O,O,X,X,X,X,X,X,X
TJLSOIZ,O,X,O,X,X,X,X,O,X,X,X
TJLSOZI,O,X,O,X,X,X,X,X,X,X,X
TJLZISO,O,X,X,O,X,O,O,X,X,X,X
TJLZIOS,O,X,X,O,X,O,X,O,X,X,X
TJLZSIO,O,X,X,O,X,X,X,X,X,X,X
TJLZSOI,O,X,X,O,X,X,X,X,X,X,X
TJLZOIS,O,X,X,O,X,X,X,O,X,X,X
TJLZOSI,O,X,O,O,X,X,X,X,X,X,X
TJLOISZ,X,X,O,X,X,X,O,O,X,X,X
TJLOIZS,O,X,X,X,X,O,X,O,X,X,X
TJLOSIZ,X,X,O,X,X,X,X,O,X,X,X
TJLOSZI,X,X,O,X,X,X,X,X,X,X,X
TJLOZIS,O,X,X,X,X,X,X,O,X,X,X
TJLOZSI,O,X,O,X,X,X,X,X,X,X,X
TJSILZO,O,X,O,O,X,O,O,X,O,X,X
TJSILOZ,O,X,O,X,X,X,O,O,X,X,X
TJSIZLO,O,X,X,O,X,X,X,X,O,X,X
TJSIZOL,O,X,X,O,X,X,X,X,X,X,X
TJSIOLZ,X,X,O,X,X,X,X,O,X,O,X
TJSIOZL,O,X,X,X,X,X,X,X,X,O,X
TJSLIZO,O,X,O,O,X,O,O,X,O,X,X
TJSLIOZ,O,X,O,X,X,X,O,O,X,X,X
TJSLZIO,O,X,O,O,X,X,X,X,O,X,X
TJSLZOI,O,X,O,O,X,X,X,X,X,X,X
TJSLOIZ,O,X,O,X,X,X,X,O,X,X,X
TJSLOZI,O,X,O,X,X,X,X,X,X,X,X
TJSZILO,O,X,X,O,O,X,X,X,O,X,X
TJSZIOL,O,X,X,O,O,X,X,X,X,X,X
TJSZLIO,O,X,O,O,O,X,X,X,O,X,X
TJSZLOI,O,X,O,X,O,X,X,X,X,X,X
TJSZOIL,O,X,X,O,O,X,X,X,X,X,X
TJSZOLI,O,X,O,X,O,X,X,X,X,X,X
TJSOILZ,X,X,O,X,X,X,X,O,X,O,X
TJSOIZL,O,X,X,X,X,X,X,X,X,O,X
TJSOLIZ,O,X,O,X,X,X,X,O,X,O,X
TJSOLZI,O,X,O,X,X,X,X,X,X,O,X
TJSOZIL,O,X,X,X,X,X,X,X,X,O,X
TJSOZLI,O,X,O,X,X,X,X,X,X,O,X
TJZILSO,O,X,X,O,O,O,O,X,X,X,X
TJZILOS,O,X,X,X,X,O,X,O,X,X,X
TJZISLO,X,X,X,O,O,X,X,X,X,X,X
TJZISOL,O,X,X,O,O,X,X,X,X,X,X
TJZIOLS,O,X,X,X,X,X,X,O,X,X,X
TJZIOSL,O,X,X,O,O,X,X,X,X,X,X
TJZLISO,O,X,X,O,O,O,O,X,X,X,X
TJZLIOS,O,X,X,X,X,O,X,O,X,X,X
TJZLSIO,O,X,X,O,O,X,X,X,X,X,X
TJZLSOI,O,X,X,X,O,X,X,X,X,X,X
TJZLOIS,O,X,X,X,X,X,X,O,X,X,X
TJZLOSI,O,X,O,X,X,X,X,X,X,X,X
TJZSILO,O,X,X,O,O,X,X,X,X,X,X
TJZSIOL,O,X,X,O,O,X,X,X,X,X,X
TJZSLIO,O,X,X,O,O,X,X,X,X,X,X
TJZSLOI,O,X,X,X,O,X,X,X,X,X,X
TJZSOIL,O,X,X,O,O,X,X,X,X,X,X
TJZSOLI,O,X,X,X,O,X,X,X,X,X,X
TJZOILS,O,X,X,X,X,X,X,O,X,X,X
TJZOISL,O,X,X,O,O,X,X,X,X,X,X
TJZOLIS,O,X,X,X,X,X,X,O,X,X,X
TJZOLSI,O,X,O,X,X,X,X,X,X,X,X
TJZOSIL,O,X,X,O,O,X,X,X,X,X,X
TJZOSLI,O,X,X,X,O,X,X,X,X,X,X
TJOILSZ,X,X,O,X,X,X,O,O,X,O,X
TJOILZS,X,X,X,X,X,O,X,O,X,O,X
TJOISLZ,X,X,X,X,X,X,X,O,X,O,X
TJOISZL,X,X,X,X,X,X,X,X,X,O,O
TJOIZLS,O,X,X,X,X,X,X,O,X,O,O
TJOIZSL,O,X,X,X,X,X,X,X,X,O,O
TJOLISZ,X,X,O,X,X,X,O,O,X,O,X
TJOLIZS,O,X,X,X,X,O,X,O,X,O,X
TJOLSIZ,X,X,O,X,X,X,X,O,X,O,X
TJOLSZI,X,X,O,X,X,X,X,X,X,O,X
TJOLZIS,O,X,X,X,X,X,X,O,X,O,X
TJOLZSI,O,X,O,X,X,X,X,X,X,O,X
TJOSILZ,X,X,O,X,X,X,X,O,X,O,X
TJOSIZL,X,X,X,X,X,X,X,X,X,O,O
TJOSLIZ,X,X,O,X,X,X,X,O,X,O,X
TJOSLZI,X,X,O,X,X,X,X,X,X,O,X
TJOSZIL,X,X,X,X,X,X,X,X,X,O,O
TJOSZLI,X,X,O,X,X,X,X,X,X,O,O
TJOZILS,O,X,X,X,X,X,X,O,X,O,O
TJOZISL,O,X,X,X,X,X,X,X,X,O,O
TJOZLIS,O,X,X,X,X,X,X,O,X,O,O
TJOZLSI,O,X,O,X,X,X,X,X,X,O,O
TJOZSIL,O,X,X,X,X,X,X,X,X,O,O
TJOZSLI,O,X,X,X,X,X,X,X,X,O,O
TSILJZO,O,X,O,O,X,X,X,X,O,X,X
TSILJOZ,O,X,O,X,X,X,X,O,X,X,X
TSILZJO,O,X,O,O,X,X,X,X,O,X,X
TSILZOJ,O,X,O,O,X,X,X,X,O,X,X
TSILOJZ,O,X,O,X,X,X,X,O,X,X,X
TSILOZJ,O,X,O,X,X,X,X,X,O,X,X
TSIJLZO,O,X,O,O,X,X,X,X,O,X,X
TSIJLOZ,O,X,O,X,X,X,X,O,X,X,X
TSIJZLO,O,X,X,O,X,X,X,X,O,X,X
TSIJZOL,O,X,X,O,X,X,X,X,X,X,X
TSIJOLZ,X,X,O,X,X,X,X,O,X,O,X
TSIJOZL,O,X,X,X,X,X,X,X,X,O,X
TSIZLJO,O,X,X,O,X,X,X,X,O,X,X
TSIZLOJ,O,X,X,X,X,X,X,X,O,X,X
TSIZJLO,O,X,X,O,O,X,X,X,O,X,X
TSIZJOL,O,X,X,O,O,X,X,X,X,X,X
TSIZOLJ,O,X,X,X,X,X,X,X,O,X,X
TSIZOJL,O,X,X,O,X,X,X,X,O,X,X
TSIOLJZ,X,X,O,X,X,X,X,O,O,O,X
TSIOLZJ,X,X,O,X,X,X,X,X,O,O,X
TSIOJLZ,X,X,O,X,X,X,X,O,O,O,X
TSIOJZL,O,X,X,X,X,X,X,X,O,O,X
TSIOZLJ,O,X,X,X,X,X,X,X,O,O,X
TSIOZJL,O,X,X,X,X,X,X,X,O,O,X
TSLIJZO,O,X,O,O,X,X,X,X,O,X,X
TSLIJOZ,O,X,O,X,X,X,X,O,X,X,X
TSLIZJO,O,X,O,O,X,X,X,X,O,X,X
TSLIZOJ,O,X,O,O,X,X,X,X,O,X,X
TSLIOJZ,O,X,O,X,X,X,X,O,X,X,X
TSLIOZJ,O,X,O,X,X,X,X,X,O,X,X
TSLJIZO,O,X,O,O,X,O,O,X,O,X,X
TSLJIOZ,O,X,O,X,X,X,O,O,X,X,X
TSLJZIO,O,X,O,O,X,X,X,X,O,X,X
TSLJZOI,O,X,O,O,X,X,X,X,X,X,X
TSLJOIZ,O,X,O,X,X,X,X,O,X,X,X
TSLJOZI,O,X,O,X,X,X,X,X,X,X,X
TSLZIJO,O,X,O,O,X,X,X,X,O,X,X
TSLZIOJ,O,X,O,O,X,X,X,X,O,X,X
TSLZJIO,O,X,O,O,O,X,X,X,O,X,X
TSLZJOI,O,X,O,O,O,X,X,X,X,X,X
TSLZOIJ,O,X,O,O,X,X,X,X,O,X,X
TSLZOJI,O,X,O,O,X,X,X,X,X,X,X
TSLOIJZ,O,X,O,X,X,X,X,O,X,X,X
TSLOIZJ,O,X,O,X,X,X,X,X,O,X,X
TSLOJIZ,O,X,O,X,X,X,X,O,X,X,X
TSLOJZI,O,X,O,X,X,X,X,X,X,X,X
TSLOZIJ,O,X,O,X,X,X,X,X,O,X,X
TSLOZJI,O,X,O,X,X,X,X,X,X,X,X
TSJILZO,O,X,O,O,X,O,O,X,O,X,X
TSJILOZ,O,X,O,X,X,X,O,O,X,X,X
TSJIZLO,O,X,X,O,X,X,X,X,O,X,X
TSJIZOL,O,X,X,O,X,X,X,X,X,X,X
TSJIOLZ,X,X,O,X,X,X,X,O,X,O,X
TSJIOZL,O,X,X,X,X,X,X,X,X,O,X
TSJLIZO,O,X,O,O,X,O,O,X,O,X,X
TSJLIOZ,O,X,O,X,X,X,O,O,X,X,X
TSJLZIO,O,X,O,O,X,X,X,X,O,X,X
TSJLZOI,O,X,O,O,X,X,X,X,X,X,X
TSJLOIZ,O,X,O,X,X,X,X,O,X,X,X
TSJLOZI,O,X,O,X,X,X,X,X,X,X,X
TSJZILO,O,X,X,O,O,X,X,X,O,X,X
TSJZIOL,O,X,X,O,O,X,X,X,X,X,X
TSJZLIO,O,X,O,O,O,X,X,X,O,X,X
TSJZLOI,O,X,O,X,O,X,X,X,X,X,X
TSJZOIL,O,X,X,O,O,X,X,X,X,X,X
