sequence,v115@HhB8HeC8CeA8CeC8BeB8BeA8Jem/IvhF5lBihB9nBT?jBcrBXtB,v115@HhB8HeC8CeA8CeC8BeB8BeA8Jem/IvhF5lB0hB6nBT?jBNrBXtB,v115@HhB8HeC8CeA8CeC8BeB8BeA8Jem/IvhF5lBihB3iB9?oBcrBzsB,v115@HhB8HeC8CeA8CeC8BeB8BeA8Jem/IvhFtlB0hBxiBq?sBToBXrB,v115@HhB8HeC8CeA8CeC8BeB8BeA8Jem/IvhFtlB0hBxiBS?tBXrBzsB,v115@HhB8HeC8CeA8CeC8BeB8BeA8Jem/IvhF5lBihB9nBc?rBToBXtB
TOJSZIL,O,O,O,X,X,O
TOJSZLI,O,O,O,O,X,O
TOJZILS,O,O,O,X,X,O
TOJZISL,O,O,O,X,X,O
TOJZLIS,O,O,O,X,X,O
TOJZLSI,O,O,O,X,X,O
TOJZSIL,O,O,O,X,X,O
TOJZSLI,O,O,O,X,X,O
TOSILJZ,O,O,O,O,X,X
TOSILZJ,O,O,O,O,X,X
TOSIJLZ,O,O,O,O,X,X
TOSIJZL,O,O,O,X,X,O
TOSIZLJ,O,O,O,X,X,O
TOSIZJL,O,O,O,X,X,O
TOSLIJZ,O,O,O,O,X,X
TOSLIZJ,O,O,O,O,X,X
TOSLJIZ,O,O,O,O,X,X
TOSLJZI,O,O,O,O,X,X
TOSLZIJ,O,O,O,O,X,X
TOSLZJI,O,O,O,O,X,X
TOSJILZ,O,O,O,O,X,X
TOSJIZL,O,O,O,X,X,O
TOSJLIZ,O,O,O,O,X,X
TOSJLZI,O,O,O,O,X,X
TOSJZIL,O,O,O,X,X,O
TOSJZLI,O,O,O,O,X,O
TOSZILJ,O,O,O,X,X,O
TOSZIJL,O,O,O,X,X,O
TOSZLIJ,O,O,O,O,X,O
TOSZLJI,O,O,O,O,X,O
TOSZJIL,O,O,O,X,X,O
TOSZJLI,O,O,O,O,X,O
TOZILJS,O,O,O,X,X,O
TOZILSJ,O,O,O,X,X,O
TOZIJLS,O,O,O,X,X,O
TOZIJSL,O,O,O,X,X,O
TOZISLJ,O,O,O,X,X,O
TOZISJL,O,O,O,X,X,O
TOZLIJS,O,O,O,X,X,O
TOZLISJ,O,O,O,X,X,O
TOZLJIS,O,O,O,X,X,O
TOZLJSI,O,O,O,X,X,O
TOZLSIJ,O,O,O,X,X,O
TOZLSJI,O,O,O,X,X,O
TOZJILS,O,O,O,X,X,O
TOZJISL,O,O,O,X,X,O
TOZJLIS,O,O,O,X,X,O
TOZJLSI,O,O,O,X,X,O
TOZJSIL,O,O,O,X,X,O
TOZJSLI,O,O,O,X,X,O
TOZSILJ,O,O,O,X,X,O
TOZSIJL,O,O,O,X,X,O
TOZSLIJ,O,O,O,X,X,O
TOZSLJI,O,O,O,X,X,O
TOZSJIL,O,O,O,X,X,O
TOZSJLI,O,O,O,X,X,O
ITLJSZO,O,O,O,X,X,X
ITLJSOZ,O,O,X,X,X,X
ITLJZSO,O,O,O,X,X,O
ITLJZOS,O,O,O,X,X,O
ITLJOSZ,X,X,X,X,X,X
ITLJOZS,X,X,X,X,X,O
ITLSJZO,O,O,O,X,X,X
ITLSJOZ,O,O,X,X,X,X
ITLSZJO,O,O,O,X,X,X
ITLSZOJ,O,O,O,X,X,X
ITLSOJZ,O,O,X,X,X,X
ITLSOZJ,O,O,X,X,X,X
ITLZJSO,O,O,O,X,X,O
ITLZJOS,O,O,O,X,X,O
ITLZSJO,O,O,O,X,X,O
ITLZSOJ,O,O,O,X,X,O
ITLZOJS,O,O,O,X,X,O
ITLZOSJ,O,O,O,X,X,O
ITLOJSZ,X,X,X,X,X,X
ITLOJZS,X,X,X,X,X,O
ITLOSJZ,X,X,X,X,X,X
ITLOSZJ,X,X,X,X,X,X
ITLOZJS,X,X,X,X,X,O
ITLOZSJ,X,X,X,X,X,O
ITJLSZO,O,O,O,X,X,X
ITJLSOZ,O,O,X,X,X,X
ITJLZSO,O,O,O,X,X,O
ITJLZOS,O,O,O,X,X,O
ITJLOSZ,X,X,X,X,X,X
ITJLOZS,X,X,X,X,X,O
ITJSLZO,O,O,O,X,X,X
ITJSLOZ,O,O,X,X,X,X
ITJSZLO,O,O,O,X,X,O
ITJSZOL,O,O,O,X,X,O
ITJSOLZ,O,O,X,X,X,X
ITJSOZL,O,O,O,X,X,O
ITJZLSO,O,O,O,X,X,O
ITJZLOS,O,O,O,X,X,O
ITJZSLO,O,O,O,X,X,O
ITJZSOL,O,O,O,X,X,O
ITJZOLS,O,O,O,X,X,O
ITJZOSL,O,O,O,X,X,O
ITJOLSZ,X,X,O,X,X,X
ITJOLZS,X,X,O,X,X,O
ITJOSLZ,O,O,O,X,X,X
ITJOSZL,O,O,O,X,X,O
ITJOZLS,O,O,O,X,X,O
ITJOZSL,O,O,O,X,X,O
ITSLJZO,O,O,O,X,X,X
ITSLJOZ,O,O,X,X,X,X
ITSLZJO,O,O,O,X,X,X
ITSLZOJ,O,O,O,X,X,X
ITSLOJZ,O,O,X,X,X,X
ITSLOZJ,O,O,X,X,X,X
ITSJLZO,O,O,O,X,X,X
ITSJLOZ,O,O,X,X,X,X
ITSJZLO,O,O,O,X,X,O
ITSJZOL,O,O,O,X,X,O
ITSJOLZ,O,O,X,X,X,X
ITSJOZL,O,O,O,X,X,O
ITSZLJO,O,O,O,X,X,O
ITSZLOJ,O,O,O,X,X,O
ITSZJLO,O,O,O,X,X,O
ITSZJOL,O,O,O,X,X,O
ITSZOLJ,O,O,O,X,X,O
ITSZOJL,O,O,O,X,X,O
ITSOLJZ,O,O,X,X,X,X
ITSOLZJ,O,O,X,X,X,X
ITSOJLZ,O,O,X,X,X,X
ITSOJZL,O,O,O,X,X,O
ITSOZLJ,O,O,O,X,X,O
ITSOZJL,O,O,O,X,X,O
ITZLJSO,O,O,O,X,X,O
ITZLJOS,O,O,O,X,X,O
ITZLSJO,O,O,O,X,X,O
ITZLSOJ,O,O,O,X,X,O
ITZLOJS,O,O,O,X,X,O
ITZLOSJ,O,O,O,X,X,O
ITZJLSO,O,O,O,X,X,O
ITZJLOS,O,O,O,X,X,O
ITZJSLO,O,O,O,X,X,O
ITZJSOL,O,O,O,X,X,O
ITZJOLS,O,O,O,X,X,O
ITZJOSL,O,O,O,X,X,O
ITZSLJO,O,O,O,X,X,O
ITZSLOJ,O,O,O,X,X,O
ITZSJLO,O,O,O,X,X,O
ITZSJOL,O,O,O,X,X,O
ITZSOLJ,O,O,O,X,X,O
ITZSOJL,O,O,O,X,X,O
ITZOLJS,O,O,O,X,X,O
ITZOLSJ,O,O,O,X,X,O
ITZOJLS,O,O,O,X,X,O
ITZOJSL,O,O,O,X,X,O
ITZOSLJ,O,O,O,X,X,O
ITZOSJL,O,O,O,X,X,O
ITOLJSZ,X,X,O,X,X,X
ITOLJZS,X,X,O,X,X,O
ITOLSJZ,X,X,O,X,X,X
ITOLSZJ,X,X,O,X,X,X
ITOLZJS,X,X,O,X,X,O
ITOLZSJ,X,X,O,X,X,O
ITOJLSZ,X,X,O,X,X,X
ITOJLZS,X,X,O,X,X,O
ITOJSLZ,O,O,O,X,X,X
ITOJSZL,O,O,O,X,X,O
ITOJZLS,O,O,O,X,X,O
ITOJZSL,O,O,O,X,X,O
ITOSLJZ,O,O,O,X,X,X
ITOSLZJ,O,O,O,X,X,X
ITOSJLZ,O,O,O,X,X,X
ITOSJZL,O,O,O,X,X,O
ITOSZLJ,O,O,O,X,X,O
ITOSZJL,O,O,O,X,X,O
ITOZLJS,O,O,O,X,X,O
ITOZLSJ,O,O,O,X,X,O
ITOZJLS,O,O,O,X,X,O
ITOZJSL,O,O,O,X,X,O
ITOZSLJ,O,O,O,X,X,O
ITOZSJL,O,O,O,X,X,O
ILTJSZO,O,O,O,O,O,X
ILTJSOZ,O,O,X,O,O,X
ILTJZSO,O,O,O,X,X,O
ILTJZOS,O,O,O,X,X,O
ILTJOSZ,X,X,X,X,X,X
ILTJOZS,X,X,X,X,X,O
ILTSJZO,O,O,O,O,O,X
ILTSJOZ,O,O,X,O,O,X
ILTSZJO,O,O,O,O,O,X
ILTSZOJ,O,O,O,O,O,X
ILTSOJZ,O,O,X,O,O,X
ILTSOZJ,O,O,X,O,O,X
ILTZJSO,O,O,O,X,X,O
ILTZJOS,O,O,O,X,X,O
ILTZSJO,O,O,O,O,O,O
ILTZSOJ,O,O,O,O,O,O
ILTZOJS,O,O,O,X,X,O
ILTZOSJ,O,O,O,X,X,O
ILTOJSZ,X,X,X,X,X,X
ILTOJZS,X,X,X,X,X,O
ILTOSJZ,X,X,X,X,X,X
ILTOSZJ,X,X,X,X,X,X
ILTOZJS,X,X,X,X,X,O
ILTOZSJ,X,X,X,X,X,O
ILJTSZO,O,O,O,O,O,X
ILJTSOZ,O,O,X,O,O,X
ILJTZSO,O,O,O,X,X,O
ILJTZOS,O,O,O,X,X,O
ILJTOSZ,X,X,X,X,X,X
ILJTOZS,X,X,X,X,X,O
ILJSTZO,O,O,X,O,O,X
ILJSTOZ,O,O,X,O,O,X
ILJSZTO,O,O,X,O,O,X
ILJSZOT,O,O,X,X,X,X
ILJSOTZ,O,O,X,O,O,X
ILJSOZT,O,O,X,O,X,X
ILJZTSO,O,X,O,X,X,O
ILJZTOS,O,X,O,X,X,O
ILJZSTO,O,X,O,O,O,O
ILJZSOT,O,X,O,X,X,X
ILJZOTS,O,X,O,X,X,O
ILJZOST,O,X,O,X,X,X
ILJOTSZ,X,X,O,O,X,X
ILJOTZS,X,X,O,X,X,O
ILJOSTZ,X,X,X,O,O,X
ILJOSZT,X,X,X,O,X,X
ILJOZTS,X,X,O,X,X,O
ILJOZST,X,X,O,O,X,X
ILSTJZO,O,O,X,O,O,X
ILSTJOZ,O,O,X,O,O,X
ILSTZJO,O,O,X,O,O,X
ILSTZOJ,O,O,X,O,O,X
ILSTOJZ,O,O,X,O,O,X
ILSTOZJ,O,O,X,O,O,X
ILSJTZO,O,O,X,O,O,X
ILSJTOZ,O,O,X,O,O,X
ILSJZTO,O,O,X,O,O,X
ILSJZOT,O,O,X,X,X,X
ILSJOTZ,O,O,X,O,O,X
ILSJOZT,O,O,X,O,X,X
ILSZTJO,O,O,X,O,O,X
ILSZTOJ,O,O,X,O,O,X
ILSZJTO,O,O,X,O,O,X
ILSZJOT,O,O,X,X,X,X
ILSZOTJ,O,O,X,O,O,X
ILSZOJT,O,O,X,O,X,X
ILSOTJZ,O,O,X,O,O,X
ILSOTZJ,O,O,X,O,O,X
ILSOJTZ,O,O,X,O,O,X
ILSOJZT,O,O,X,O,X,X
ILSOZTJ,O,O,X,O,O,X
ILSOZJT,O,O,X,O,X,X
ILZTJSO,O,X,O,X,X,O
ILZTJOS,O,X,O,X,X,O
ILZTSJO,O,X,O,O,O,O
ILZTSOJ,O,X,O,O,O,O
ILZTOJS,O,X,O,X,X,O
ILZTOSJ,O,X,O,X,X,O
ILZJTSO,O,X,O,X,X,O
ILZJTOS,O,X,O,X,X,O
ILZJSTO,O,X,O,O,O,O
ILZJSOT,O,X,O,X,X,X
ILZJOTS,O,X,O,X,X,O
ILZJOST,O,X,O,X,X,X
ILZSTJO,O,X,O,O,O,O
ILZSTOJ,O,X,O,O,O,O
ILZSJTO,O,X,O,O,O,O
ILZSJOT,O,X,O,X,X,X
ILZSOTJ,O,X,O,O,O,X
ILZSOJT,O,X,O,O,X,X
ILZOTJS,O,X,O,X,X,O
ILZOTSJ,O,X,O,O,X,O
ILZOJTS,O,X,O,X,X,O
ILZOJST,O,X,O,O,X,X
ILZOSTJ,O,X,O,O,O,X
ILZOSJT,O,X,O,O,X,X
ILOTJSZ,X,X,O,O,X,X
ILOTJZS,X,X,O,X,X,O
ILOTSJZ,X,X,O,O,X,X
ILOTSZJ,X,X,O,O,X,X
ILOTZJS,X,X,O,X,X,O
ILOTZSJ,X,X,O,O,X,O
ILOJTSZ,X,X,O,O,X,X
ILOJTZS,X,X,O,X,X,O
ILOJSTZ,X,X,X,O,O,X
ILOJSZT,X,X,X,O,X,X
ILOJZTS,X,X,O,X,X,O
ILOJZST,X,X,O,O,X,X
ILOSTJZ,X,X,X,O,O,X
ILOSTZJ,X,X,X,O,O,X
ILOSJTZ,X,X,X,O,O,X
ILOSJZT,X,X,X,O,X,X
ILOSZTJ,X,X,X,O,O,X
ILOSZJT,X,X,X,O,X,X
ILOZTJS,X,X,O,X,X,O
ILOZTSJ,X,X,O,O,X,O
ILOZJTS,X,X,O,X,X,O
ILOZJST,X,X,O,O,X,X
ILOZSTJ,X,X,O,O,O,X
ILOZSJT,X,X,O,O,X,X
IJTLSZO,O,O,O,X,X,X
IJTLSOZ,O,O,X,X,X,X
IJTLZSO,O,O,O,X,X,O
IJTLZOS,O,O,O,X,X,O
IJTLOSZ,X,X,X,X,X,X
IJTLOZS,X,X,X,X,X,O
IJTSLZO,O,O,O,X,X,X
IJTSLOZ,O,O,X,X,X,X
IJTSZLO,O,O,O,X,X,O
IJTSZOL,O,O,O,X,X,O
IJTSOLZ,O,O,X,X,X,X
IJTSOZL,O,O,O,X,X,O
IJTZLSO,O,O,O,X,X,O
IJTZLOS,O,O,O,X,X,O
IJTZSLO,O,O,O,X,X,O
IJTZSOL,O,O,O,X,X,O
IJTZOLS,O,O,O,X,X,O
IJTZOSL,O,O,O,X,X,O
IJTOLSZ,X,X,O,X,X,X
IJTOLZS,X,X,O,X,X,O
IJTOSLZ,O,O,O,X,X,X
IJTOSZL,O,O,O,X,X,O
IJTOZLS,O,O,O,X,X,O
IJTOZSL,O,O,O,X,X,O
IJLTSZO,O,O,O,O,O,X
IJLTSOZ,O,O,X,O,O,X
IJLTZSO,O,O,O,X,X,O
IJLTZOS,O,O,O,X,X,O
IJLTOSZ,X,X,X,X,X,X
IJLTOZS,X,X,X,X,X,O
IJLSTZO,O,O,X,O,O,X
IJLSTOZ,O,O,X,O,O,X
IJLSZTO,O,O,X,O,O,X
IJLSZOT,O,O,X,X,X,X
IJLSOTZ,O,O,X,O,O,X
IJLSOZT,O,O,X,O,X,X
IJLZTSO,O,X,O,X,X,O
IJLZTOS,O,X,O,X,X,O
IJLZSTO,O,X,O,O,O,O
IJLZSOT,O,X,O,X,X,X
IJLZOTS,O,X,O,X,X,O
IJLZOST,O,X,O,X,X,X
IJLOTSZ,X,X,O,O,X,X
IJLOTZS,X,X,O,X,X,O
IJLOSTZ,X,X,X,O,O,X
IJLOSZT,X,X,X,O,X,X
IJLOZTS,X,X,O,X,X,O
IJLOZST,X,X,O,O,X,X
IJSTLZO,O,O,O,O,O,X
IJSTLOZ,O,O,X,O,O,X
IJSTZLO,O,O,O,O,O,O
IJSTZOL,O,O,O,O,O,O
IJSTOLZ,O,O,X,O,X,X
IJSTOZL,O,O,O,X,X,O
IJSLTZO,O,O,X,O,O,X
IJSLTOZ,O,O,X,O,O,X
IJSLZTO,O,O,X,O,O,X
IJSLZOT,O,O,X,X,X,X
IJSLOTZ,O,O,X,O,O,X
IJSLOZT,O,O,X,O,X,X
IJSZTLO,O,O,O,X,X,O
IJSZTOL,O,O,O,X,X,O
IJSZLTO,O,O,O,X,X,O
IJSZLOT,O,O,O,X,X,X
IJSZOTL,O,O,O,X,X,O
IJSZOLT,O,O,O,X,X,X
IJSOTLZ,O,O,O,O,X,X
IJSOTZL,O,O,O,X,X,O
IJSOLTZ,O,O,X,O,X,X
IJSOLZT,O,O,X,O,X,X
IJSOZTL,O,O,O,X,X,O
IJSOZLT,O,O,O,X,X,X
IJZTLSO,O,O,O,X,X,O
IJZTLOS,O,O,O,X,X,O
IJZTSLO,O,O,O,X,X,O
IJZTSOL,O,O,O,X,X,O
IJZTOLS,O,O,O,X,X,O
IJZTOSL,O,O,O,X,X,O
IJZLTSO,O,X,O,X,X,O
IJZLTOS,O,X,O,X,X,O
IJZLSTO,O,X,O,X,X,O
IJZLSOT,O,X,O,X,X,X
IJZLOTS,O,X,O,X,X,O
IJZLOST,O,X,O,X,X,X
IJZSTLO,O,O,O,X,X,O
IJZSTOL,O,O,O,X,X,O
IJZSLTO,O,O,O,X,X,O
IJZSLOT,O,O,O,X,X,X
IJZSOTL,O,O,O,X,X,O
IJZSOLT,O,O,O,X,X,X
IJZOTLS,O,X,O,X,X,O
IJZOTSL,O,X,O,X,X,O
IJZOLTS,O,X,O,X,X,O
IJZOLST,O,X,O,X,X,X
IJZOSTL,O,X,O,X,X,O
IJZOSLT,O,X,O,X,X,X
IJOTLSZ,X,X,O,X,X,X
IJOTLZS,X,X,O,X,X,O
IJOTSLZ,O,O,O,X,X,X
IJOTSZL,O,O,O,X,X,O
IJOTZLS,O,O,O,X,X,O
IJOTZSL,O,O,O,X,X,O
IJOLTSZ,X,X,O,O,X,X
IJOLTZS,X,X,O,X,X,O
IJOLSTZ,X,X,X,O,X,X
IJOLSZT,X,X,X,O,X,X
IJOLZTS,X,X,O,X,X,O
IJOLZST,X,X,O,O,X,X
IJOSTLZ,O,O,O,O,X,X
IJOSTZL,O,O,O,X,X,O
IJOSLTZ,O,O,X,O,X,X
IJOSLZT,O,O,X,O,X,X
IJOSZTL,O,O,O,X,X,O
IJOSZLT,O,O,O,X,X,X
IJOZTLS,O,X,O,X,X,O
IJOZTSL,O,X,O,X,X,O
IJOZLTS,O,X,O,X,X,O
IJOZLST,O,X,O,X,X,X
IJOZSTL,O,X,O,X,X,O
IJOZSLT,O,X,O,X,X,X
ISTLJZO,O,O,O,O,O,X
ISTLJOZ,O,O,X,O,O,X
ISTLZJO,O,O,O,O,O,X
ISTLZOJ,O,O,O,O,O,X
ISTLOJZ,O,O,X,O,O,X
ISTLOZJ,O,O,X,O,O,X
ISTJLZO,O,O,O,O,O,X
ISTJLOZ,O,O,X,O,O,X
ISTJZLO,O,O,O,O,O,O
ISTJZOL,O,O,O,O,O,O
ISTJOLZ,O,O,X,O,X,X
ISTJOZL,O,O,O,X,X,O
ISTZLJO,O,O,O,O,O,O
ISTZLOJ,O,O,O,O,O,O
ISTZJLO,O,O,O,O,O,O
ISTZJOL,O,O,O,O,O,O
ISTZOLJ,O,O,O,X,X,O
ISTZOJL,O,O,O,O,O,O
ISTOLJZ,O,O,X,O,X,X
ISTOLZJ,O,O,X,O,X,X
ISTOJLZ,O,O,X,O,X,X
ISTOJZL,O,O,O,X,X,O
ISTOZLJ,O,O,O,X,X,O
ISTOZJL,O,O,O,X,X,O
ISLTJZO,O,O,X,O,O,X
ISLTJOZ,O,O,X,O,O,X
ISLTZJO,O,O,X,O,O,X
ISLTZOJ,O,O,X,O,O,X
ISLTOJZ,O,O,X,O,O,X
ISLTOZJ,O,O,X,O,O,X
ISLJTZO,O,O,X,O,O,X
ISLJTOZ,O,O,X,O,O,X
ISLJZTO,O,O,X,O,O,X
ISLJZOT,O,O,X,X,X,X
ISLJOTZ,O,O,X,O,O,X
ISLJOZT,O,O,X,O,X,X
ISLZTJO,O,O,X,O,O,X
ISLZTOJ,O,O,X,O,O,X
ISLZJTO,O,O,X,O,O,X
ISLZJOT,O,O,X,X,X,X
ISLZOTJ,O,O,X,O,O,X
ISLZOJT,O,O,X,O,X,X
ISLOTJZ,O,O,X,O,O,X
ISLOTZJ,O,O,X,O,O,X
ISLOJTZ,O,O,X,O,O,X
ISLOJZT,O,O,X,O,X,X
ISLOZTJ,O,O,X,O,O,X
ISLOZJT,O,O,X,O,X,X
ISJTLZO,O,O,O,O,O,X
ISJTLOZ,O,O,X,O,O,X
ISJTZLO,O,O,O,O,O,O
ISJTZOL,O,O,O,O,O,O
ISJTOLZ,O,O,X,O,X,X
ISJTOZL,O,O,O,X,X,O
ISJLTZO,O,O,X,O,O,X
ISJLTOZ,O,O,X,O,O,X
ISJLZTO,O,O,X,O,O,X
ISJLZOT,O,O,X,X,X,X
ISJLOTZ,O,O,X,O,O,X
ISJLOZT,O,O,X,O,X,X
ISJZTLO,O,O,O,X,X,O
ISJZTOL,O,O,O,X,X,O
ISJZLTO,O,O,O,X,X,O
ISJZLOT,O,O,O,X,X,X
ISJZOTL,O,O,O,X,X,O
ISJZOLT,O,O,O,X,X,X
ISJOTLZ,O,O,O,O,X,X
ISJOTZL,O,O,O,X,X,O
ISJOLTZ,O,O,X,O,X,X
ISJOLZT,O,O,X,O,X,X
ISJOZTL,O,O,O,X,X,O
ISJOZLT,O,O,O,X,X,X
ISZTLJO,O,O,O,O,O,O
ISZTLOJ,O,O,O,O,O,O
ISZTJLO,O,O,O,O,O,O
ISZTJOL,O,O,O,O,O,O
ISZTOLJ,O,O,O,X,X,O
ISZTOJL,O,O,O,O,O,O
ISZLTJO,O,O,O,O,O,O
ISZLTOJ,O,O,O,O,O,O
ISZLJTO,O,O,O,O,O,O
ISZLJOT,O,O,O,X,X,X
ISZLOTJ,O,O,O,O,O,X
ISZLOJT,O,O,O,O,X,X
ISZJTLO,O,O,O,O,O,O
ISZJTOL,O,O,O,O,O,O
ISZJLTO,O,O,O,X,X,O
ISZJLOT,O,O,O,X,X,X
ISZJOTL,O,O,O,X,X,O
ISZJOLT,O,O,O,X,X,X
ISZOTLJ,O,O,O,X,X,O
ISZOTJL,O,O,O,O,O,O
ISZOLTJ,O,O,O,X,X,X
ISZOLJT,O,O,O,X,X,X
ISZOJTL,O,O,O,X,X,O
ISZOJLT,O,O,O,X,X,X
ISOTLJZ,O,O,O,O,X,X
ISOTLZJ,O,O,O,O,X,X
ISOTJLZ,O,O,O,O,X,X
ISOTJZL,O,O,O,X,X,O
ISOTZLJ,O,O,O,X,X,O
ISOTZJL,O,O,O,X,X,O
ISOLTJZ,O,O,X,O,X,X
ISOLTZJ,O,O,X,O,X,X
ISOLJTZ,O,O,X,O,X,X
ISOLJZT,O,O,X,O,X,X
ISOLZTJ,O,O,X,O,X,X
ISOLZJT,O,O,X,O,X,X
ISOJTLZ,O,O,O,O,X,X
ISOJTZL,O,O,O,X,X,O
ISOJLTZ,O,O,X,O,X,X
ISOJLZT,O,O,X,O,X,X
ISOJZTL,O,O,O,X,X,O
ISOJZLT,O,O,O,X,X,X
ISOZTLJ,O,O,O,X,X,O
ISOZTJL,O,O,O,X,X,O
ISOZLTJ,O,O,O,X,X,X
ISOZLJT,O,O,O,X,X,X
ISOZJTL,O,O,O,X,X,O
ISOZJLT,O,O,O,X,X,X
IZTLJSO,O,O,O,X,X,O
IZTLJOS,O,O,O,X,X,O
IZTLSJO,O,O,O,X,X,O
IZTLSOJ,O,O,O,X,X,O
IZTLOJS,O,O,O,X,X,O
IZTLOSJ,O,O,O,X,X,O
IZTJLSO,O,O,O,X,X,O
IZTJLOS,O,O,O,X,X,O
IZTJSLO,O,O,O,X,X,O
IZTJSOL,O,O,O,X,X,O
IZTJOLS,O,O,O,X,X,O
IZTJOSL,O,O,O,X,X,O
IZTSLJO,O,O,O,O,O,O
IZTSLOJ,O,O,O,X,X,O
IZTSJLO,O,O,O,O,O,O
IZTSJOL,O,O,O,O,O,O
IZTSOLJ,O,O,O,X,X,O
IZTSOJL,O,O,O,O,O,O
IZTOLJS,O,O,O,X,X,O
IZTOLSJ,O,O,O,X,X,O
IZTOJLS,O,O,O,X,X,O
IZTOJSL,O,O,O,X,X,O
IZTOSLJ,O,O,O,X,X,O
IZTOSJL,O,O,O,X,X,O
IZLTJSO,O,O,O,X,X,O
IZLTJOS,O,O,O,X,X,O
IZLTSJO,O,O,O,O,O,O
IZLTSOJ,O,O,O,O,O,O
IZLTOJS,O,O,O,X,X,O
IZLTOSJ,O,O,O,X,X,O
IZLJTSO,O,X,O,X,X,O
IZLJTOS,O,X,O,X,X,O
IZLJSTO,O,X,O,O,O,O
IZLJSOT,O,X,O,X,X,X
IZLJOTS,O,X,O,X,X,O
IZLJOST,O,X,O,X,X,X
IZLSTJO,O,O,O,O,O,O
IZLSTOJ,O,O,O,O,O,O
IZLSJTO,O,X,O,O,O,O
IZLSJOT,O,X,O,X,X,X
IZLSOTJ,O,O,O,O,O,X
IZLSOJT,O,X,O,O,X,X
IZLOTJS,O,X,O,X,X,O
IZLOTSJ,O,X,O,O,X,O
IZLOJTS,O,X,O,X,X,O
IZLOJST,O,X,O,O,X,X
IZLOSTJ,O,X,O,O,O,X
IZLOSJT,O,X,O,O,X,X
IZJTLSO,O,O,O,X,X,O
IZJTLOS,O,O,O,X,X,O
IZJTSLO,O,O,O,X,X,O
IZJTSOL,O,O,O,X,X,O
IZJTOLS,O,O,O,X,X,O
IZJTOSL,O,O,O,X,X,O
IZJLTSO,O,X,O,X,X,O
IZJLTOS,O,X,O,X,X,O
IZJLSTO,O,X,O,X,X,O
IZJLSOT,O,X,O,X,X,X
IZJLOTS,O,X,O,X,X,O
IZJLOST,O,X,O,X,X,X
IZJSTLO,O,O,O,O,O,O
IZJSTOL,O,O,O,O,O,O
IZJSLTO,O,O,O,X,X,O
IZJSLOT,O,O,O,X,X,X
IZJSOTL,O,O,O,X,X,O
IZJSOLT,O,O,O,X,X,X
IZJOTLS,O,X,O,X,X,O
IZJOTSL,O,X,O,X,X,O
IZJOLTS,O,X,O,X,X,O
IZJOLST,O,X,O,X,X,X
IZJOSTL,O,X,O,X,X,O
IZJOSLT,O,X,O,X,X,X
IZSTLJO,O,O,O,O,O,O
IZSTLOJ,O,O,O,O,O,O
IZSTJLO,O,O,O,O,O,O
IZSTJOL,O,O,O,O,O,O
IZSTOLJ,O,O,O,X,X,O
IZSTOJL,O,O,O,O,O,O
IZSLTJO,O,O,O,O,O,O
IZSLTOJ,O,O,O,O,O,O
IZSLJTO,O,O,O,O,O,O
IZSLJOT,O,O,O,X,X,X
IZSLOTJ,O,O,O,O,O,X
IZSLOJT,O,O,O,O,X,X
IZSJTLO,O,O,O,O,O,O
IZSJTOL,O,O,O,O,O,O
IZSJLTO,O,O,O,X,X,O
IZSJLOT,O,O,O,X,X,X
IZSJOTL,O,O,O,X,X,O
IZSJOLT,O,O,O,X,X,X
IZSOTLJ,O,O,O,X,X,O
IZSOTJL,O,O,O,O,O,O
IZSOLTJ,O,O,O,X,X,X
IZSOLJT,O,O,O,X,X,X
IZSOJTL,O,O,O,X,X,O
IZSOJLT,O,O,O,X,X,X
IZOTLJS,O,X,O,X,X,O
IZOTLSJ,O,X,O,X,X,O
IZOTJLS,O,X,O,X,X,O
IZOTJSL,O,X,O,X,X,O
IZOTSLJ,O,X,O,X,X,O
IZOTSJL,O,X,O,X,X,O
IZOLTJS,O,X,O,X,X,O
IZOLTSJ,O,X,O,X,X,O
IZOLJTS,O,X,O,X,X,O
IZOLJST,O,X,O,X,X,X
IZOLSTJ,O,X,O,X,X,X
IZOLSJT,O,X,O,X,X,X
IZOJTLS,O,X,O,X,X,O
IZOJTSL,O,X,O,X,X,O
IZOJLTS,O,X,O,X,X,O
IZOJLST,O,X,O,X,X,X
IZOJSTL,O,X,O,X,X,O
IZOJSLT,O,X,O,X,X,X
IZOSTLJ,O,X,O,X,X,O
IZOSTJL,O,X,O,O,O,O
IZOSLTJ,O,X,O,X,X,X
IZOSLJT,O,X,O,X,X,X
IZOSJTL,O,X,O,X,X,O
IZOSJLT,O,X,O,X,X,X
IOTLJSZ,X,X,O,X,X,X
IOTLJZS,X,X,O,X,X,O
IOTLSJZ,X,X,O,X,X,X
IOTLSZJ,X,X,O,X,X,X
IOTLZJS,X,X,O,X,X,O
IOTLZSJ,X,X,O,X,X,O
IOTJLSZ,X,X,O,X,X,X
IOTJLZS,X,X,O,X,X,O
IOTJSLZ,O,O,O,X,X,X
IOTJSZL,O,O,O,X,X,O
IOTJZLS,O,O,O,X,X,O
IOTJZSL,O,O,O,X,X,O
IOTSLJZ,O,O,O,X,X,X
IOTSLZJ,O,O,O,X,X,X
IOTSJLZ,O,O,O,X,X,X
IOTSJZL,O,O,O,X,X,O
IOTSZLJ,O,O,O,X,X,O
IOTSZJL,O,O,O,X,X,O
