sequence,v115@HhA8IeB8DeB8BeB8CeE8Jex/IvhFmhBfoB6oBTmB0q?BFqB,v115@HhA8IeB8DeB8BeB8CeE8Jel/IvhF3gBzhBGjBUoBxq?ByvB,v115@HhA8IeB8DeB8BeB8CeE8Jel/IvhFRhBziB+oB3mB0q?BiqB,v115@HhA8IeB8DeB8BeB8CeE8Jex/IvhFXhB8mBaqBFoBGo?BzqB,v115@HhA8IeB8DeB8BeB8CeE8Jel/IvhFymBziB+oBxqBcq?BXrB,v115@HhA8IeB8DeB8BeB8CeE8Jex/IvhF8mBCjBFlBToB3q?BOrB
TSJOZIL,X,X,O,X,X,X
TSJOZLI,X,X,X,X,X,X
TSZILJO,X,X,X,X,X,X
TSZILOJ,X,X,X,X,X,X
TSZIJLO,X,X,X,X,X,X
TSZIJOL,X,X,O,X,X,X
TSZIOLJ,X,X,X,X,X,O
TSZIOJL,X,X,X,X,X,O
TSZLIJO,X,X,X,X,X,X
TSZLIOJ,X,X,X,X,X,X
TSZLJIO,X,X,X,X,X,X
TSZLJOI,X,X,X,X,X,X
TSZLOIJ,X,X,X,X,X,X
TSZLOJI,X,X,X,X,X,X
TSZJILO,X,X,X,X,X,X
TSZJIOL,X,X,O,X,X,X
TSZJLIO,X,X,X,X,X,X
TSZJLOI,X,X,X,X,X,X
TSZJOIL,X,X,O,X,X,X
TSZJOLI,X,X,X,X,X,X
TSZOILJ,X,X,X,X,X,O
TSZOIJL,X,X,X,X,X,O
TSZOLIJ,X,X,X,X,X,O
TSZOLJI,X,X,X,X,X,O
TSZOJIL,X,X,X,X,X,O
TSZOJLI,X,X,X,X,X,O
TSOILJZ,X,X,X,X,X,X
TSOILZJ,X,X,X,X,X,O
TSOIJLZ,X,X,X,X,X,X
TSOIJZL,X,X,X,X,X,X
TSOIZLJ,X,X,X,X,X,O
TSOIZJL,X,X,X,X,X,O
TSOLIJZ,X,X,X,X,X,X
TSOLIZJ,X,X,X,X,X,O
TSOLJIZ,X,X,X,X,X,X
TSOLJZI,X,X,X,X,X,X
TSOLZIJ,X,X,X,X,X,O
TSOLZJI,X,X,X,X,X,O
TSOJILZ,X,X,X,X,X,X
TSOJIZL,X,X,X,X,X,X
TSOJLIZ,X,X,X,X,X,X
TSOJLZI,X,X,X,X,X,X
TSOJZIL,X,X,X,X,X,X
TSOJZLI,X,X,X,X,X,X
TSOZILJ,X,X,X,X,X,O
TSOZIJL,X,X,X,X,X,O
TSOZLIJ,X,X,X,X,X,O
