sequence,v115@9gB8HeA8IeB8HeD8CeC8JezBJvhFGjBRlBUoBilBFr?BXsB,v115@9gB8HeA8IeB8HeD8CeC8JeXAJvhFxhB8nB+oB1qBzr?BirB,v115@9gB8HeA8IeB8HeD8CeC8JeXAJvhFKnBziB+oBxqBFr?B0rB,v115@9gB8HeA8IeB8HeD8CeC8JemAJvhFxiBFlBSsBToBUr?BfsB,v115@9gB8HeA8IeB8HeD8CeC8JeXAJvhFOnB6oBznBxqBFr?B0rB,v115@9gB8HeA8IeB8HeD8CeC8JemAJvhFTjBFlBSrBxsBcs?B3rB,v115@9gB8HeA8IeB8HeD8CeC8JexAJvhFVnBUlBarBXoBGo?BzrB,v115@9gB8HeA8IeB8HeD8CeC8Je0BJvhFfoB6oBRlBTlBVs?B2wB
TJISOLZ,X,X,O,X,X,X,X,X
TJISOZL,O,O,X,X,X,X,X,X
TJIZLSO,O,O,X,X,X,X,X,X
TJIZLOS,O,X,X,O,X,X,X,X
TJIZSLO,O,O,X,X,X,X,X,X
TJIZSOL,O,O,X,X,X,X,X,X
TJIZOLS,O,O,X,O,X,X,X,X
TJIZOSL,O,O,X,X,X,X,X,X
TJIOLSZ,X,X,O,X,X,O,X,X
TJIOLZS,X,X,O,X,X,O,X,X
TJIOSLZ,X,X,O,X,X,X,X,X
TJIOSZL,X,O,X,X,X,X,X,X
TJIOZLS,O,O,X,O,X,X,X,X
TJIOZSL,O,O,X,X,X,X,X,X
TJLISZO,X,X,O,X,X,O,X,X
TJLISOZ,X,X,O,X,X,O,X,X
TJLIZSO,X,X,O,X,X,O,X,X
TJLIZOS,X,X,O,X,X,O,X,X
TJLIOSZ,X,X,O,X,X,O,X,X
TJLIOZS,X,X,O,X,X,O,X,X
TJLSIZO,X,X,O,X,X,O,X,X
TJLSIOZ,X,X,O,X,X,O,X,X
TJLSZIO,X,O,X,X,X,X,X,X
TJLSZOI,X,O,X,X,X,X,X,X
TJLSOIZ,X,X,O,X,X,X,X,X
TJLSOZI,X,O,X,X,X,X,X,X
TJLZISO,X,O,X,X,X,O,X,X
TJLZIOS,X,X,X,O,X,O,X,X
TJLZSIO,X,O,X,X,X,X,X,X
TJLZSOI,X,O,X,O,X,X,X,X
TJLZOIS,X,O,X,O,X,X,X,X
TJLZOSI,X,O,X,O,X,X,X,X
TJLOISZ,X,X,O,X,X,O,X,X
TJLOIZS,X,X,O,X,X,O,X,X
TJLOSIZ,X,X,O,X,X,X,X,X
TJLOSZI,X,O,X,X,X,X,X,X
TJLOZIS,X,O,X,O,X,X,X,X
TJLOZSI,X,O,X,O,X,X,X,X
TJSILZO,X,X,O,X,X,X,X,X
TJSILOZ,X,X,O,X,X,X,X,X
TJSIZLO,O,O,X,X,X,X,X,X
TJSIZOL,O,O,X,X,X,X,X,X
TJSIOLZ,X,X,O,X,X,X,X,X
TJSIOZL,O,O,X,X,X,X,X,X
TJSLIZO,X,X,O,X,X,O,X,X
TJSLIOZ,X,X,O,X,X,O,X,X
TJSLZIO,X,O,X,X,X,X,X,X
TJSLZOI,X,O,X,X,X,X,X,X
TJSLOIZ,X,X,O,X,X,X,X,X
TJSLOZI,X,O,X,X,X,X,X,X
TJSZILO,O,O,X,X,X,X,X,X
TJSZIOL,O,O,X,X,X,X,X,X
TJSZLIO,O,O,X,X,X,X,X,X
TJSZLOI,O,O,X,O,X,X,X,X
TJSZOIL,O,O,X,X,X,X,X,X
TJSZOLI,O,O,X,O,X,X,X,X
TJSOILZ,X,X,O,X,X,X,X,X
TJSOIZL,O,O,X,X,X,X,X,X
TJSOLIZ,X,X,O,X,X,X,X,X
TJSOLZI,X,O,X,X,X,X,X,X
TJSOZIL,O,O,X,X,X,X,X,X
TJSOZLI,O,O,X,O,X,X,X,X
TJZILSO,O,O,X,X,X,X,X,X
TJZILOS,O,X,X,O,X,X,X,X
TJZISLO,O,O,X,X,X,X,X,X
TJZISOL,O,O,X,X,X,X,X,X
TJZIOLS,O,O,X,O,X,X,X,X
TJZIOSL,O,O,X,X,X,X,X,X
TJZLISO,O,O,X,X,X,O,X,X
TJZLIOS,O,X,X,O,X,O,X,X
TJZLSIO,O,O,X,X,X,X,X,X
TJZLSOI,O,O,X,O,X,X,X,X
TJZLOIS,O,O,X,O,X,X,X,X
TJZLOSI,X,O,X,O,X,X,X,X
TJZSILO,O,O,X,X,X,X,X,X
TJZSIOL,O,O,X,X,X,X,X,X
TJZSLIO,O,O,X,X,X,X,X,X
TJZSLOI,O,O,X,O,X,X,X,X
TJZSOIL,O,O,X,X,X,X,X,X
TJZSOLI,O,O,X,O,X,X,X,X
TJZOILS,O,O,X,O,X,X,X,X
TJZOISL,O,O,X,X,X,X,X,X
TJZOLIS,O,O,X,O,X,X,X,X
TJZOLSI,X,O,X,O,X,X,X,X
TJZOSIL,O,O,X,X,X,X,X,X
TJZOSLI,O,O,X,O,X,X,X,X
TJOILSZ,X,X,O,X,X,X,X,X
TJOILZS,X,X,O,X,X,X,X,X
TJOISLZ,X,X,O,X,X,X,X,X
TJOISZL,X,O,X,X,X,X,X,X
TJOIZLS,O,O,X,O,X,X,X,X
TJOIZSL,O,O,X,X,X,X,X,X
TJOLISZ,X,X,O,X,X,O,X,X
TJOLIZS,X,X,O,X,X,O,X,X
TJOLSIZ,X,X,O,X,X,X,X,X
TJOLSZI,X,O,X,X,X,X,X,X
TJOLZIS,X,O,X,O,X,X,X,X
TJOLZSI,X,O,X,O,X,X,X,X
TJOSILZ,X,X,O,X,X,X,X,X
TJOSIZL,X,O,X,X,X,X,X,X
TJOSLIZ,X,X,O,X,X,X,X,X
TJOSLZI,X,O,X,X,X,X,X,X
TJOSZIL,X,O,X,X,X,X,X,X
TJOSZLI,X,O,X,O,X,X,X,X
TJOZILS,O,O,X,O,X,X,X,X
TJOZISL,O,O,X,X,X,X,X,X
TJOZLIS,O,O,X,O,X,X,X,X
TJOZLSI,X,O,X,O,X,X,X,X
TJOZSIL,O,O,X,X,X,X,X,X
TJOZSLI,X,O,X,O,X,X,X,X
TSILJZO,X,X,O,X,X,O,X,X
TSILJOZ,X,X,O,X,X,O,X,X
TSILZJO,O,X,X,X,X,O,O,O
TSILZOJ,O,X,X,X,X,O,O,O
TSILOJZ,X,X,X,X,O,O,X,X
TSILOZJ,O,X,X,X,X,O,X,X
TSIJLZO,X,X,O,X,X,X,X,X
TSIJLOZ,X,X,O,X,X,X,X,X
TSIJZLO,O,O,X,X,X,X,X,X
TSIJZOL,O,O,X,X,X,X,X,X
TSIJOLZ,X,X,O,X,X,X,X,X
TSIJOZL,O,O,X,X,X,X,X,X
TSIZLJO,O,X,X,X,X,X,O,O
TSIZLOJ,O,X,X,X,X,X,O,O
TSIZJLO,O,X,X,X,X,X,X,X
TSIZJOL,O,X,X,X,X,X,X,X
TSIZOLJ,O,X,X,X,X,X,X,X
TSIZOJL,O,X,X,X,X,X,X,X
TSIOLJZ,X,X,X,X,O,O,X,X
TSIOLZJ,O,X,X,X,X,O,X,X
TSIOJLZ,X,X,X,X,O,X,X,X
TSIOJZL,O,O,X,X,X,X,X,X
TSIOZLJ,O,X,X,X,X,X,X,X
TSIOZJL,O,X,X,X,X,X,X,X
TSLIJZO,X,X,O,X,X,O,X,X
TSLIJOZ,X,X,O,X,X,O,X,X
TSLIZJO,O,X,X,X,X,O,O,O
TSLIZOJ,O,X,X,X,X,O,O,O
TSLIOJZ,X,X,X,X,O,O,X,X
TSLIOZJ,O,X,X,X,X,O,X,X
TSLJIZO,X,X,O,X,X,O,X,X
TSLJIOZ,X,X,O,X,X,O,X,X
TSLJZIO,X,O,X,X,X,X,O,X
TSLJZOI,X,O,X,X,X,X,O,X
TSLJOIZ,X,X,O,X,X,X,X,X
TSLJOZI,X,O,X,X,X,X,X,X
TSLZIJO,O,X,X,X,X,X,O,X
TSLZIOJ,O,X,X,X,X,X,O,X
TSLZJIO,O,X,X,X,X,X,O,X
TSLZJOI,O,X,X,O,X,X,O,X
TSLZOIJ,O,X,X,O,X,X,O,X
TSLZOJI,O,X,X,O,X,X,O,X
TSLOIJZ,X,X,X,X,O,X,X,X
TSLOIZJ,O,X,X,X,X,X,O,X
TSLOJIZ,X,X,X,X,O,X,X,X
TSLOJZI,X,O,X,X,X,X,O,X
TSLOZIJ,O,X,X,O,X,X,O,X
TSLOZJI,O,X,X,O,X,X,O,X
TSJILZO,X,X,O,X,X,X,X,X
TSJILOZ,X,X,O,X,X,X,X,X
TSJIZLO,O,O,X,X,X,X,X,X
TSJIZOL,O,O,X,X,X,X,X,X
TSJIOLZ,X,X,O,X,X,X,X,X
TSJIOZL,O,O,X,X,X,X,X,X
TSJLIZO,X,X,O,X,X,O,X,X
TSJLIOZ,X,X,O,X,X,O,X,X
TSJLZIO,X,O,X,X,X,X,O,X
TSJLZOI,X,O,X,X,X,X,O,X
TSJLOIZ,X,X,O,X,X,X,X,X
TSJLOZI,X,O,X,X,X,X,X,X
TSJZILO,O,O,X,X,X,X,X,X
TSJZIOL,O,O,X,X,X,X,X,X
TSJZLIO,O,O,X,X,X,X,O,X
TSJZLOI,O,O,X,O,X,X,O,X
TSJZOIL,O,O,X,X,X,X,X,X
TSJZOLI,O,O,X,O,X,X,X,X
TSJOILZ,X,X,O,X,X,X,X,X
TSJOIZL,O,O,X,X,X,X,X,X
TSJOLIZ,X,X,O,X,X,X,X,X
TSJOLZI,X,O,X,X,X,X,X,X
TSJOZIL,O,O,X,X,X,X,X,X
TSJOZLI,O,O,X,O,X,X,X,X
TSZILJO,O,X,X,X,X,X,O,X
TSZILOJ,O,X,X,X,X,X,O,X
TSZIJLO,O,X,X,X,X,X,X,X
TSZIJOL,O,X,X,X,X,X,X,X
TSZIOLJ,O,X,X,X,X,X,X,X
TSZIOJL,O,X,X,X,X,X,X,X
TSZLIJO,O,X,X,X,X,X,O,X
TSZLIOJ,O,X,X,X,X,X,O,X
TSZLJIO,O,X,X,X,X,X,O,X
TSZLJOI,O,X,X,O,X,X,O,X
TSZLOIJ,O,X,X,O,X,X,O,X
TSZLOJI,O,X,X,O,X,X,O,X
TSZJILO,O,O,X,X,X,X,X,X
TSZJIOL,O,O,X,X,X,X,X,X
TSZJLIO,O,O,X,X,X,X,O,X
TSZJLOI,O,O,X,O,X,X,O,X
TSZJOIL,O,O,X,X,X,X,X,X
TSZJOLI,O,O,X,O,X,X,X,X
TSZOILJ,O,X,X,X,X,X,O,X
TSZOIJL,O,X,X,X,X,X,X,X
TSZOLIJ,O,X,X,O,X,X,O,X
TSZOLJI,O,X,X,O,X,X,O,X
TSZOJIL,O,O,X,X,X,X,X,X
TSZOJLI,O,O,X,O,X,X,O,X
TSOILJZ,X,X,X,X,O,X,X,X
TSOILZJ,O,X,X,X,X,X,O,X
TSOIJLZ,X,X,X,X,O,X,X,X
TSOIJZL,O,O,X,X,X,X,X,X
TSOIZLJ,O,X,X,X,X,X,O,X
TSOIZJL,O,X,X,X,X,X,X,X
TSOLIJZ,X,X,X,X,O,X,X,X
TSOLIZJ,O,X,X,X,X,X,O,X
TSOLJIZ,X,X,X,X,O,X,X,X
TSOLJZI,X,O,X,X,X,X,O,X
TSOLZIJ,O,X,X,O,X,X,O,X
TSOLZJI,O,X,X,O,X,X,O,X
TSOJILZ,X,X,X,X,O,X,X,X
TSOJIZL,O,O,X,X,X,X,X,X
TSOJLIZ,X,X,X,X,O,X,X,X
TSOJLZI,X,O,X,X,X,X,O,X
TSOJZIL,O,O,X,X,X,X,X,X
TSOJZLI,O,O,X,O,X,X,O,X
TSOZILJ,O,X,X,X,X,X,O,X
TSOZIJL,O,X,X,X,X,X,X,X
TSOZLIJ,O,X,X,O,X,X,O,X
TSOZLJI,O,X,X,O,X,X,O,X
TSOZJIL,O,O,X,X,X,X,X,X
TSOZJLI,O,O,X,O,X,X,O,X
TZILJSO,O,X,X,X,X,O,X,X
TZILJOS,O,X,X,O,X,O,X,X
TZILSJO,O,X,X,X,X,O,O,X
TZILSOJ,O,X,X,X,X,O,O,X
TZILOJS,O,X,X,O,X,O,O,X
TZILOSJ,X,X,X,O,X,O,O,X
TZIJLSO,O,X,X,X,X,X,X,X
TZIJLOS,O,X,X,O,X,X,X,X
TZIJSLO,O,X,X,X,X,X,X,X
TZIJSOL,O,X,X,X,X,X,X,X
TZIJOLS,O,X,X,O,X,X,X,X
TZIJOSL,O,X,X,X,X,X,X,X
TZISLJO,O,X,X,X,X,X,O,X
TZISLOJ,O,X,X,X,X,X,O,X
TZISJLO,O,X,X,X,X,X,X,X
TZISJOL,O,X,X,X,X,X,X,X
TZISOLJ,O,X,X,X,X,X,X,X
TZISOJL,O,X,X,X,X,X,X,X
TZIOLJS,O,X,X,O,X,O,X,X
TZIOLSJ,X,X,X,O,X,O,X,X
TZIOJLS,O,X,X,O,X,X,X,X
TZIOJSL,O,X,X,X,X,X,X,X
TZIOSLJ,O,X,X,X,X,X,X,X
TZIOSJL,O,X,X,X,X,X,X,X
TZLIJSO,O,X,X,X,X,O,X,X
TZLIJOS,O,X,X,O,X,O,X,X
TZLISJO,O,X,X,X,X,O,O,X
TZLISOJ,O,X,X,X,X,O,O,X
TZLIOJS,O,X,X,O,X,O,O,X
TZLIOSJ,X,X,X,O,X,O,O,X
TZLJISO,O,X,X,X,X,O,X,X
TZLJIOS,O,X,X,O,X,O,X,X
TZLJSIO,O,X,X,X,X,X,X,X
TZLJSOI,O,X,X,O,X,X,X,X
TZLJOIS,O,X,X,O,X,X,X,X
TZLJOSI,X,X,X,O,X,X,X,X
TZLSIJO,O,X,X,X,X,X,O,X
TZLSIOJ,O,X,X,X,X,X,O,X
TZLSJIO,O,X,X,X,X,X,O,X
TZLSJOI,O,X,X,O,X,X,O,X
TZLSOIJ,O,X,X,O,X,X,O,X
TZLSOJI,O,X,X,O,X,X,O,X
TZLOIJS,O,X,X,O,X,X,O,X
TZLOISJ,X,X,X,O,X,X,O,X
TZLOJIS,O,X,X,O,X,X,O,X
TZLOJSI,X,X,X,O,X,X,O,X
TZLOSIJ,X,X,X,O,X,X,O,X
TZLOSJI,X,X,X,O,X,X,O,X
TZJILSO,O,O,X,X,X,X,X,X
TZJILOS,O,X,X,O,X,X,X,X
TZJISLO,O,O,X,X,X,X,X,X
TZJISOL,O,O,X,X,X,X,X,X
TZJIOLS,O,O,X,O,X,X,X,X
TZJIOSL,O,O,X,X,X,X,X,X
TZJLISO,O,O,X,X,X,O,X,X
TZJLIOS,O,X,X,O,X,O,X,X
TZJLSIO,O,O,X,X,X,X,X,X
TZJLSOI,O,O,X,O,X,X,X,X
TZJLOIS,O,O,X,O,X,X,X,X
TZJLOSI,X,O,X,O,X,X,X,X
TZJSILO,O,O,X,X,X,X,X,X
TZJSIOL,O,O,X,X,X,X,X,X
TZJSLIO,O,O,X,X,X,X,X,X
TZJSLOI,O,O,X,O,X,X,X,X
TZJSOIL,O,O,X,X,X,X,X,X
TZJSOLI,O,O,X,O,X,X,X,X
TZJOILS,O,O,X,O,X,X,X,X
TZJOISL,O,O,X,X,X,X,X,X
