sequence,v115@JhA8FeD8FeD8DeC8JeT/IvhF6lBxhBOoBcsBXrBlrB,v115@JhA8FeD8FeD8DeC8JeT/IvhF6lB3hBFjB0nB2rBRwB,v115@JhA8FeD8FeD8DeC8JeT/IvhFfnB6nBOoBUmBllBRwB,v115@JhA8FeD8FeD8DeC8JeT/IvhFlgBUiBOoBXmBSsBRwB,v115@JhA8FeD8FeD8DeC8JeT/IvhFlgBxiBmnBCrBXsBcrB,v115@JhA8FeD8FeD8DeC8JeT/IvhF0gBxiBysBGrBFsBXrB,v115@JhA8FeD8FeD8DeC8JeT/IvhF6lBFjBxmB2sBXrB0rB,v115@JhA8FeD8FeD8DeC8JeT/IvhFXhBxiBysBGrBFsB0qB
TIZOJSL,X,O,O,O,X,X,X,X
TIZOSLJ,X,O,O,O,X,X,X,X
TIZOSJL,X,O,O,O,X,X,X,X
TIOLJSZ,X,X,O,O,X,X,X,X
TIOLJZS,X,O,X,X,X,X,X,X
TIOLSJZ,X,X,O,O,X,X,O,X
TIOLSZJ,X,O,O,O,X,X,O,X
TIOLZJS,X,O,X,X,X,X,X,X
TIOLZSJ,X,O,X,X,X,X,X,X
TIOJLSZ,X,X,O,O,X,X,X,X
TIOJLZS,X,O,X,X,X,X,X,X
TIOJSLZ,X,X,O,O,O,X,X,X
TIOJSZL,X,X,O,O,X,X,X,X
TIOJZLS,X,O,X,X,X,X,X,X
TIOJZSL,X,O,O,O,X,X,X,X
TIOSLJZ,X,X,O,O,O,X,O,X
TIOSLZJ,X,O,O,O,X,X,O,X
TIOSJLZ,X,X,O,O,O,X,O,X
TIOSJZL,X,X,O,O,X,X,X,X
TIOSZLJ,X,O,O,O,X,X,O,X
TIOSZJL,X,O,O,O,X,X,X,X
TIOZLJS,X,O,X,X,X,X,X,X
TIOZLSJ,X,O,X,X,X,X,X,X
TIOZJLS,X,O,X,X,X,X,X,X
TIOZJSL,X,O,O,O,X,X,X,X
TIOZSLJ,X,O,O,O,X,X,X,X
TIOZSJL,X,O,O,O,X,X,X,X
TLIJSZO,X,X,O,O,X,X,X,X
TLIJSOZ,X,X,O,O,X,X,X,X
TLIJZSO,X,O,X,X,X,X,X,X
TLIJZOS,X,O,X,X,X,X,X,X
TLIJOSZ,X,X,O,O,X,X,X,X
TLIJOZS,X,O,X,X,X,X,X,X
TLISJZO,X,X,O,O,X,X,X,X
TLISJOZ,X,X,O,O,X,X,O,X
TLISZJO,X,O,O,O,X,X,X,X
TLISZOJ,X,O,O,O,X,X,O,X
TLISOJZ,X,X,O,O,X,X,O,X
TLISOZJ,X,O,O,O,X,X,O,X
TLIZJSO,X,O,X,X,X,X,X,X
TLIZJOS,X,O,X,X,X,X,X,X
TLIZSJO,X,O,X,X,X,X,X,X
TLIZSOJ,X,O,X,X,X,X,X,X
TLIZOJS,X,O,X,X,X,X,X,X
TLIZOSJ,X,O,X,X,X,X,X,X
TLIOJSZ,X,X,O,O,X,X,X,X
TLIOJZS,X,O,X,X,X,X,X,X
TLIOSJZ,X,X,O,O,X,X,O,X
TLIOSZJ,X,O,O,O,X,X,O,X
TLIOZJS,X,O,X,X,X,X,X,X
TLIOZSJ,X,O,X,X,X,X,X,X
TLJISZO,X,X,O,O,X,O,X,O
TLJISOZ,X,X,O,O,X,O,X,O
TLJIZSO,X,X,X,X,X,O,X,O
TLJIZOS,X,X,X,X,X,O,X,O
TLJIOSZ,X,X,O,O,X,O,X,O
TLJIOZS,X,X,X,X,X,O,X,O
TLJSIZO,X,X,X,X,X,O,X,O
TLJSIOZ,X,X,X,X,X,O,O,O
TLJSZIO,O,X,X,X,X,O,X,O
TLJSZOI,O,X,X,X,X,O,X,O
TLJSOIZ,X,X,X,X,X,O,O,O
TLJSOZI,O,X,X,X,X,O,X,O
TLJZISO,X,X,X,X,X,O,X,O
TLJZIOS,O,X,X,X,X,O,X,O
TLJZSIO,O,X,X,X,X,O,X,O
TLJZSOI,O,X,X,X,X,O,X,O
TLJZOIS,O,X,X,X,X,O,X,O
TLJZOSI,O,X,X,X,X,O,X,O
TLJOISZ,X,X,O,O,X,O,X,O
TLJOIZS,X,X,X,X,X,O,X,O
TLJOSIZ,X,X,X,X,X,O,O,O
TLJOSZI,O,X,X,X,X,O,X,O
TLJOZIS,O,X,X,X,X,O,X,O
TLJOZSI,O,X,X,X,X,O,X,O
TLSIJZO,X,X,X,X,O,X,X,X
TLSIJOZ,X,X,X,X,O,X,O,X
TLSIZJO,X,X,X,X,X,X,X,X
TLSIZOJ,X,X,X,X,X,X,O,X
TLSIOJZ,X,X,X,X,O,X,O,X
TLSIOZJ,X,X,X,X,X,X,O,X
TLSJIZO,X,X,X,X,O,X,X,X
TLSJIOZ,X,X,X,X,O,X,O,X
TLSJZIO,O,X,X,X,O,X,X,X
TLSJZOI,O,X,X,X,O,X,X,X
TLSJOIZ,X,X,X,X,O,X,O,X
TLSJOZI,O,X,X,X,O,X,X,X
TLSZIJO,O,X,X,X,X,X,X,X
TLSZIOJ,O,X,X,X,X,X,O,X
TLSZJIO,O,X,X,X,X,X,X,X
TLSZJOI,O,X,X,X,X,X,X,X
TLSZOIJ,O,X,X,X,X,X,O,X
TLSZOJI,O,X,X,X,X,X,X,X
TLSOIJZ,X,X,X,X,O,X,O,X
TLSOIZJ,X,X,X,X,X,X,O,X
TLSOJIZ,X,X,X,X,O,X,O,X
TLSOJZI,O,X,X,X,O,X,X,X
TLSOZIJ,O,X,X,X,X,X,O,X
TLSOZJI,O,X,X,X,X,X,X,X
TLZIJSO,X,O,X,X,X,X,X,X
TLZIJOS,O,O,X,X,X,X,X,X
TLZISJO,X,O,X,X,X,X,X,X
TLZISOJ,X,O,X,X,X,X,X,X
TLZIOJS,O,O,X,X,X,X,X,X
TLZIOSJ,X,O,X,X,X,X,X,X
TLZJISO,X,X,X,X,X,O,X,X
TLZJIOS,O,X,X,X,X,O,X,X
TLZJSIO,O,X,X,X,X,O,X,X
TLZJSOI,O,X,X,X,X,O,X,X
TLZJOIS,O,X,X,X,X,O,X,X
TLZJOSI,O,X,X,X,X,O,X,X
TLZSIJO,O,O,X,X,X,X,X,X
TLZSIOJ,O,O,X,X,X,X,O,X
TLZSJIO,O,X,X,X,X,X,X,X
TLZSJOI,O,X,X,X,X,X,X,X
TLZSOIJ,O,O,X,X,X,X,O,X
TLZSOJI,O,X,X,X,X,X,X,X
TLZOIJS,O,O,X,X,X,X,X,X
TLZOISJ,X,O,X,X,X,X,X,X
TLZOJIS,O,X,X,X,X,O,X,X
TLZOJSI,O,X,X,X,X,O,X,X
TLZOSIJ,O,O,X,X,X,X,O,X
TLZOSJI,O,X,X,X,X,X,X,X
TLOIJSZ,X,X,O,O,X,X,X,X
TLOIJZS,X,O,X,X,X,X,X,X
TLOISJZ,X,X,O,O,X,X,O,X
TLOISZJ,X,O,O,O,X,X,O,X
TLOIZJS,X,O,X,X,X,X,X,X
TLOIZSJ,X,O,X,X,X,X,X,X
TLOJISZ,X,X,O,O,X,O,X,O
TLOJIZS,X,X,X,X,X,O,X,O
TLOJSIZ,X,X,X,X,X,O,O,O
TLOJSZI,O,X,X,X,X,O,X,O
TLOJZIS,O,X,X,X,X,O,X,O
TLOJZSI,O,X,X,X,X,O,X,O
TLOSIJZ,X,X,X,X,O,X,O,X
TLOSIZJ,X,X,X,X,X,X,O,X
TLOSJIZ,X,X,X,X,O,X,O,X
TLOSJZI,O,X,X,X,O,X,X,X
TLOSZIJ,O,X,X,X,X,X,O,X
TLOSZJI,O,X,X,X,X,X,X,X
TLOZIJS,O,O,X,X,X,X,X,X
TLOZISJ,X,O,X,X,X,X,X,X
TLOZJIS,O,X,X,X,X,O,X,X
TLOZJSI,O,X,X,X,X,O,X,X
TLOZSIJ,O,O,X,X,X,X,O,X
TLOZSJI,O,X,X,X,X,X,X,X
TJILSZO,X,X,O,O,X,X,X,X
TJILSOZ,X,X,O,O,X,X,X,X
TJILZSO,X,O,X,X,X,X,X,X
TJILZOS,X,O,X,X,X,X,X,X
TJILOSZ,X,X,O,O,X,X,X,X
TJILOZS,X,O,X,X,X,X,X,X
TJISLZO,X,X,O,O,O,X,X,X
TJISLOZ,X,X,O,O,O,X,X,X
TJISZLO,X,X,O,O,X,X,X,X
TJISZOL,X,X,O,O,X,X,X,X
TJISOLZ,X,X,O,O,O,X,X,X
TJISOZL,X,X,O,O,X,X,X,X
TJIZLSO,X,O,X,X,X,X,X,X
TJIZLOS,X,O,X,X,X,X,X,X
TJIZSLO,X,O,O,O,X,X,X,X
TJIZSOL,X,O,O,O,X,X,X,X
TJIZOLS,X,O,X,X,X,X,X,X
TJIZOSL,X,O,O,O,X,X,X,X
TJIOLSZ,X,X,O,O,X,X,X,X
TJIOLZS,X,O,X,X,X,X,X,X
TJIOSLZ,X,X,O,O,O,X,X,X
TJIOSZL,X,X,O,O,X,X,X,X
TJIOZLS,X,O,X,X,X,X,X,X
TJIOZSL,X,O,O,O,X,X,X,X
TJLISZO,X,X,O,O,X,O,X,O
TJLISOZ,X,X,O,O,X,O,X,O
TJLIZSO,X,X,X,X,X,O,X,O
TJLIZOS,X,X,X,X,X,O,X,O
TJLIOSZ,X,X,O,O,X,O,X,O
TJLIOZS,X,X,X,X,X,O,X,O
TJLSIZO,X,X,X,X,X,O,X,O
TJLSIOZ,X,X,X,X,X,O,O,O
TJLSZIO,O,X,X,X,X,O,X,O
TJLSZOI,O,X,X,X,X,O,X,O
TJLSOIZ,X,X,X,X,X,O,O,O
TJLSOZI,O,X,X,X,X,O,X,O
TJLZISO,X,X,X,X,X,O,X,O
TJLZIOS,O,X,X,X,X,O,X,O
TJLZSIO,O,X,X,X,X,O,X,O
TJLZSOI,O,X,X,X,X,O,X,O
TJLZOIS,O,X,X,X,X,O,X,O
TJLZOSI,O,X,X,X,X,O,X,O
TJLOISZ,X,X,O,O,X,O,X,O
TJLOIZS,X,X,X,X,X,O,X,O
TJLOSIZ,X,X,X,X,X,O,O,O
TJLOSZI,O,X,X,X,X,O,X,O
TJLOZIS,O,X,X,X,X,O,X,O
TJLOZSI,O,X,X,X,X,O,X,O
TJSILZO,X,X,X,O,O,X,X,X
TJSILOZ,X,X,X,O,O,X,O,X
TJSIZLO,X,X,X,O,X,X,X,X
TJSIZOL,X,X,X,O,X,X,X,X
TJSIOLZ,X,X,X,O,O,X,O,X
TJSIOZL,X,X,X,O,X,X,X,X
TJSLIZO,X,X,X,X,O,X,X,O
TJSLIOZ,X,X,X,X,O,X,O,O
TJSLZIO,O,X,X,X,O,X,X,O
TJSLZOI,O,X,X,X,O,X,X,O
TJSLOIZ,X,X,X,X,O,X,O,O
TJSLOZI,O,X,X,X,O,X,X,O
TJSZILO,O,X,X,X,X,X,X,X
TJSZIOL,O,X,X,X,X,X,X,X
TJSZLIO,O,X,X,X,X,X,X,X
TJSZLOI,O,X,X,X,X,X,X,X
TJSZOIL,O,X,X,X,X,X,X,X
TJSZOLI,O,X,X,X,X,X,X,X
TJSOILZ,X,X,X,O,O,X,O,X
TJSOIZL,X,X,X,O,X,X,X,X
TJSOLIZ,X,X,X,X,O,X,O,O
TJSOLZI,O,X,X,X,O,X,X,O
TJSOZIL,O,X,X,X,X,X,X,X
TJSOZLI,O,X,X,X,X,X,X,X
TJZILSO,X,O,X,X,X,X,X,X
TJZILOS,O,O,X,X,X,X,X,X
TJZISLO,X,O,X,O,X,X,X,X
TJZISOL,X,O,X,O,X,X,X,X
TJZIOLS,O,O,X,X,X,X,X,X
TJZIOSL,X,O,X,O,X,X,X,X
TJZLISO,X,X,X,X,X,O,X,X
TJZLIOS,O,X,X,X,X,O,X,X
TJZLSIO,O,X,X,X,X,O,X,X
TJZLSOI,O,X,X,X,X,O,X,X
TJZLOIS,O,X,X,X,X,O,X,X
TJZLOSI,O,X,X,X,X,O,X,X
TJZSILO,O,O,X,X,X,X,X,X
TJZSIOL,O,O,X,X,X,X,X,X
TJZSLIO,O,X,X,X,X,X,X,X
TJZSLOI,O,X,X,X,X,X,X,X
TJZSOIL,O,O,X,X,X,X,X,X
TJZSOLI,O,X,X,X,X,X,X,X
TJZOILS,O,O,X,X,X,X,X,X
TJZOISL,X,O,X,O,X,X,X,X
TJZOLIS,O,X,X,X,X,O,X,X
TJZOLSI,O,X,X,X,X,O,X,X
TJZOSIL,O,O,X,X,X,X,X,X
TJZOSLI,O,X,X,X,X,X,X,X
TJOILSZ,X,X,O,O,X,X,X,X
TJOILZS,X,O,X,X,X,X,X,X
TJOISLZ,X,X,O,O,O,X,X,X
TJOISZL,X,X,O,O,X,X,X,X
TJOIZLS,X,O,X,X,X,X,X,X
TJOIZSL,X,O,O,O,X,X,X,X
TJOLISZ,X,X,O,O,X,O,X,O
TJOLIZS,X,X,X,X,X,O,X,O
TJOLSIZ,X,X,X,X,X,O,O,O
TJOLSZI,O,X,X,X,X,O,X,O
TJOLZIS,O,X,X,X,X,O,X,O
TJOLZSI,O,X,X,X,X,O,X,O
TJOSILZ,X,X,X,O,O,X,O,X
TJOSIZL,X,X,X,O,X,X,X,X
TJOSLIZ,X,X,X,X,O,X,O,O
TJOSLZI,O,X,X,X,O,X,X,O
TJOSZIL,O,X,X,X,X,X,X,X
TJOSZLI,O,X,X,X,X,X,X,X
TJOZILS,O,O,X,X,X,X,X,X
TJOZISL,X,O,X,O,X,X,X,X
TJOZLIS,O,X,X,X,X,O,X,X
TJOZLSI,O,X,X,X,X,O,X,X
TJOZSIL,O,O,X,X,X,X,X,X
TJOZSLI,O,X,X,X,X,X,X,X
TSILJZO,X,X,X,O,O,X,X,X
TSILJOZ,X,X,X,O,O,X,O,X
TSILZJO,X,O,X,O,X,X,X,X
TSILZOJ,X,O,X,O,X,X,O,X
TSILOJZ,X,X,X,O,O,X,O,X
TSILOZJ,X,O,X,O,X,X,O,X
TSIJLZO,X,X,X,O,O,X,X,X
TSIJLOZ,X,X,X,O,O,X,O,X
TSIJZLO,X,X,X,O,X,X,X,X
TSIJZOL,X,X,X,O,X,X,X,X
TSIJOLZ,X,X,X,O,O,X,O,X
TSIJOZL,X,X,X,O,X,X,X,X
TSIZLJO,X,O,X,O,X,X,X,X
TSIZLOJ,X,O,X,O,X,X,O,X
TSIZJLO,X,O,X,O,X,X,X,X
TSIZJOL,X,O,X,O,X,X,X,X
TSIZOLJ,X,O,X,O,X,X,O,X
TSIZOJL,X,O,X,O,X,X,X,X
TSIOLJZ,X,X,X,O,O,X,O,X
TSIOLZJ,X,O,X,O,X,X,O,X
TSIOJLZ,X,X,X,O,O,X,O,X
TSIOJZL,X,X,X,O,X,X,X,X
TSIOZLJ,X,O,X,O,X,X,O,X
TSIOZJL,X,O,X,O,X,X,X,X
TSLIJZO,X,X,X,X,O,X,X,X
TSLIJOZ,X,X,X,X,O,X,O,X
TSLIZJO,X,X,X,X,X,X,X,X
TSLIZOJ,X,X,X,X,X,X,O,X
TSLIOJZ,X,X,X,X,O,X,O,X
TSLIOZJ,X,X,X,X,X,X,O,X
TSLJIZO,X,X,X,X,O,X,X,X
TSLJIOZ,X,X,X,X,O,X,O,X
TSLJZIO,O,X,X,X,O,X,X,X
TSLJZOI,O,X,X,X,O,X,X,X
TSLJOIZ,X,X,X,X,O,X,O,X
TSLJOZI,O,X,X,X,O,X,X,X
TSLZIJO,O,X,X,X,X,X,X,X
TSLZIOJ,O,X,X,X,X,X,O,X
TSLZJIO,O,X,X,X,X,X,X,X
TSLZJOI,O,X,X,X,X,X,X,X
TSLZOIJ,O,X,X,X,X,X,O,X
TSLZOJI,O,X,X,X,X,X,X,X
TSLOIJZ,X,X,X,X,O,X,O,X
TSLOIZJ,X,X,X,X,X,X,O,X
TSLOJIZ,X,X,X,X,O,X,O,X
TSLOJZI,O,X,X,X,O,X,X,X
TSLOZIJ,O,X,X,X,X,X,O,X
TSLOZJI,O,X,X,X,X,X,X,X
TSJILZO,X,X,X,O,O,X,X,X
TSJILOZ,X,X,X,O,O,X,O,X
TSJIZLO,X,X,X,O,X,X,X,X
TSJIZOL,X,X,X,O,X,X,X,X
TSJIOLZ,X,X,X,O,O,X,O,X
TSJIOZL,X,X,X,O,X,X,X,X
TSJLIZO,X,X,X,X,O,X,X,X
TSJLIOZ,X,X,X,X,O,X,O,X
TSJLZIO,O,X,X,X,O,X,X,X
TSJLZOI,O,X,X,X,O,X,X,X
TSJLOIZ,X,X,X,X,O,X,O,X
TSJLOZI,O,X,X,X,O,X,X,X
TSJZILO,O,X,X,X,X,X,X,X
TSJZIOL,O,X,X,X,X,X,X,X
TSJZLIO,O,X,X,X,X,X,X,X
TSJZLOI,O,X,X,X,X,X,X,X
TSJZOIL,O,X,X,X,X,X,X,X
TSJZOLI,O,X,X,X,X,X,X,X
TSJOILZ,X,X,X,O,O,X,O,X
TSJOIZL,X,X,X,O,X,X,X,X
TSJOLIZ,X,X,X,X,O,X,O,X
TSJOLZI,O,X,X,X,O,X,X,X
TSJOZIL,O,X,X,X,X,X,X,X
TSJOZLI,O,X,X,X,X,X,X,X
TSZILJO,O,O,X,X,X,X,X,X
TSZILOJ,O,O,X,X,X,X,O,X
TSZIJLO,O,O,X,X,X,X,X,X
TSZIJOL,O,O,X,X,X,X,X,X
TSZIOLJ,O,O,X,X,X,X,O,X
TSZIOJL,O,O,X,X,X,X,X,X
TSZLIJO,O,O,X,X,X,X,X,X
TSZLIOJ,O,O,X,X,X,X,O,X
TSZLJIO,O,X,X,X,X,X,X,X
TSZLJOI,O,X,X,X,X,X,X,X
TSZLOIJ,O,O,X,X,X,X,O,X
TSZLOJI,O,X,X,X,X,X,X,X
TSZJILO,O,O,X,X,X,X,X,X
TSZJIOL,O,O,X,X,X,X,X,X
TSZJLIO,O,X,X,X,X,X,X,X
TSZJLOI,O,X,X,X,X,X,X,X
TSZJOIL,O,O,X,X,X,X,X,X
TSZJOLI,O,X,X,X,X,X,X,X
TSZOILJ,O,O,X,X,X,X,O,X
TSZOIJL,O,O,X,X,X,X,X,X
TSZOLIJ,O,O,X,X,X,X,O,X
TSZOLJI,O,X,X,X,X,X,X,X
TSZOJIL,O,O,X,X,X,X,X,X
TSZOJLI,O,X,X,X,X,X,X,X
TSOILJZ,X,X,X,O,O,X,O,X
TSOILZJ,X,O,X,O,X,X,O,X
TSOIJLZ,X,X,X,O,O,X,O,X
TSOIJZL,X,X,X,O,X,X,X,X
TSOIZLJ,X,O,X,O,X,X,O,X
TSOIZJL,X,O,X,O,X,X,X,X
TSOLIJZ,X,X,X,X,O,X,O,X
TSOLIZJ,X,X,X,X,X,X,O,X
TSOLJIZ,X,X,X,X,O,X,O,X
TSOLJZI,O,X,X,X,O,X,X,X
TSOLZIJ,O,X,X,X,X,X,O,X
TSOLZJI,O,X,X,X,X,X,X,X
TSOJILZ,X,X,X,O,O,X,O,X
TSOJIZL,X,X,X,O,X,X,X,X
TSOJLIZ,X,X,X,X,O,X,O,X
TSOJLZI,O,X,X,X,O,X,X,X
TSOJZIL,O,X,X,X,X,X,X,X
TSOJZLI,O,X,X,X,X,X,X,X
TSOZILJ,O,O,X,X,X,X,O,X
TSOZIJL,O,O,X,X,X,X,X,X
TSOZLIJ,O,O,X,X,X,X,O,X
TSOZLJI,O,X,X,X,X,X,X,X
TSOZJIL,O,O,X,X,X,X,X,X
TSOZJLI,O,X,X,X,X,X,X,X
TZILJSO,X,O,X,X,X,X,X,X
TZILJOS,O,O,X,X,X,X,X,X
TZILSJO,X,O,X,X,X,X,X,X
TZILSOJ,X,O,X,X,X,X,X,X
TZILOJS,O,O,X,X,X,X,X,X
TZILOSJ,X,O,X,X,X,X,X,X
TZIJLSO,X,O,X,X,X,X,X,X
TZIJLOS,O,O,X,X,X,X,X,X
TZIJSLO,X,O,X,O,X,X,X,X
TZIJSOL,X,O,X,O,X,X,X,X
TZIJOLS,O,O,X,X,X,X,X,X
TZIJOSL,X,O,X,O,X,X,X,X
TZISLJO,X,O,X,O,X,X,X,X
TZISLOJ,X,O,X,O,X,X,X,X
TZISJLO,X,O,X,O,X,X,X,X
TZISJOL,X,O,X,O,X,X,X,X
TZISOLJ,X,O,X,O,X,X,X,X
TZISOJL,X,O,X,O,X,X,X,X
TZIOLJS,O,O,X,X,X,X,X,X
TZIOLSJ,X,O,X,X,X,X,X,X
TZIOJLS,O,O,X,X,X,X,X,X
TZIOJSL,X,O,X,O,X,X,X,X
TZIOSLJ,X,O,X,O,X,X,X,X
TZIOSJL,X,O,X,O,X,X,X,X
TZLIJSO,X,O,X,X,X,X,X,X
TZLIJOS,O,O,X,X,X,X,X,X
TZLISJO,X,O,X,X,X,X,X,X
TZLISOJ,X,O,X,X,X,X,X,X
TZLIOJS,O,O,X,X,X,X,X,X
TZLIOSJ,X,O,X,X,X,X,X,X
TZLJISO,X,X,X,X,X,O,X,X
TZLJIOS,O,X,X,X,X,O,X,X
TZLJSIO,O,X,X,X,X,O,X,X
TZLJSOI,O,X,X,X,X,O,X,X
TZLJOIS,O,X,X,X,X,O,X,X
TZLJOSI,O,X,X,X,X,O,X,X
TZLSIJO,O,O,X,X,X,X,X,X
TZLSIOJ,O,O,X,X,X,X,O,X
TZLSJIO,O,X,X,X,X,X,X,X
TZLSJOI,O,X,X,X,X,X,X,X
TZLSOIJ,O,O,X,X,X,X,O,X
TZLSOJI,O,X,X,X,X,X,X,X
TZLOIJS,O,O,X,X,X,X,X,X
TZLOISJ,X,O,X,X,X,X,X,X
TZLOJIS,O,X,X,X,X,O,X,X
TZLOJSI,O,X,X,X,X,O,X,X
TZLOSIJ,O,O,X,X,X,X,O,X
TZLOSJI,O,X,X,X,X,X,X,X
TZJILSO,X,O,X,X,X,X,X,X
TZJILOS,O,O,X,X,X,X,X,X
TZJISLO,X,O,X,O,X,X,X,X
TZJISOL,X,O,X,O,X,X,X,X
TZJIOLS,O,O,X,X,X,X,X,X
TZJIOSL,X,O,X,O,X,X,X,X
TZJLISO,X,X,X,X,X,O,X,X
TZJLIOS,O,X,X,X,X,O,X,X
TZJLSIO,O,X,X,X,X,O,X,X
TZJLSOI,O,X,X,X,X,O,X,X
TZJLOIS,O,X,X,X,X,O,X,X
TZJLOSI,O,X,X,X,X,O,X,X
TZJSILO,O,O,X,X,X,X,X,X
TZJSIOL,O,O,X,X,X,X,X,X
TZJSLIO,O,X,X,X,X,X,X,X
TZJSLOI,O,X,X,X,X,X,X,X
TZJSOIL,O,O,X,X,X,X,X,X
TZJSOLI,O,X,X,X,X,X,X,X
TZJOILS,O,O,X,X,X,X,X,X
TZJOISL,X,O,X,O,X,X,X,X
TZJOLIS,O,X,X,X,X,O,X,X
TZJOLSI,O,X,X,X,X,O,X,X
TZJOSIL,O,O,X,X,X,X,X,X
