sequence,v115@HhA8IeD8FeF8CeA8Jel/IvhF3gBcmBxiBSsBToB2xB,v115@HhA8IeD8FeF8CeA8Jel/IvhF3gBUiBGjBTmBxsByxB,v115@HhA8IeD8FeF8CeA8Je0/IvhFlgBxiB2rBqsBToBfsB,v115@HhA8IeD8FeF8CeA8Jel/IvhF3gBRiB+oBTmB0sBisB,v115@HhA8IeD8FeF8CeA8Je0/IvhFlgB3hB+oBxrBatBTsB,v115@HhA8IeD8FeF8CeA8Je0/IvhFlgBxiB2rBStBfsBzsB,v115@HhA8IeD8FeF8CeA8Je0/IvhFTjBRmBSsBmlBXtBFsB,v115@HhA8IeD8FeF8CeA8Jel/IvhFRhBTjBmlBCnBcsBXtB
TIZLOSJ,O,X,X,X,X,X,X,X
TIZJLSO,X,O,X,X,O,O,X,X
TIZJLOS,X,X,O,X,O,O,X,X
TIZJSLO,X,O,X,X,O,X,X,X
TIZJSOL,X,O,X,X,O,X,X,X
TIZJOLS,X,O,O,O,O,X,X,X
TIZJOSL,X,O,X,O,O,X,X,X
TIZSLJO,O,O,X,X,O,X,X,X
TIZSLOJ,O,X,X,X,X,X,O,X
TIZSJLO,X,O,X,X,O,X,X,X
TIZSJOL,X,O,X,X,O,X,X,X
TIZSOLJ,O,X,X,X,X,X,O,X
TIZSOJL,O,O,X,X,O,X,X,X
TIZOLJS,O,O,O,X,X,X,X,X
TIZOLSJ,O,O,X,X,X,X,X,X
TIZOJLS,X,O,O,O,O,X,X,X
TIZOJSL,O,O,X,O,O,X,X,X
TIZOSLJ,O,O,X,X,X,X,X,X
TIZOSJL,O,O,X,O,O,X,X,X
TIOLJSZ,X,O,O,X,X,X,X,X
TIOLJZS,O,O,O,X,X,X,X,X
TIOLSJZ,X,O,X,X,X,X,X,X
TIOLSZJ,O,O,X,X,X,X,X,X
TIOLZJS,O,O,O,X,X,X,X,X
TIOLZSJ,O,O,X,X,X,X,X,X
TIOJLSZ,X,O,O,O,O,X,X,X
TIOJLZS,O,O,O,X,O,X,X,X
TIOJSLZ,X,O,X,O,O,X,X,X
TIOJSZL,X,O,X,O,O,X,X,X
TIOJZLS,X,O,O,O,O,X,X,X
TIOJZSL,O,O,X,O,O,X,X,X
TIOSLJZ,X,O,X,X,X,X,X,X
TIOSLZJ,O,O,X,X,X,X,X,X
TIOSJLZ,X,O,X,O,O,X,X,X
TIOSJZL,X,O,X,O,O,X,X,X
TIOSZLJ,O,O,X,X,X,X,X,X
TIOSZJL,O,O,X,O,O,X,X,X
TIOZLJS,O,O,O,X,X,X,X,X
TIOZLSJ,O,O,X,X,X,X,X,X
TIOZJLS,X,O,O,O,O,X,X,X
TIOZJSL,O,O,X,O,O,X,X,X
TIOZSLJ,O,O,X,X,X,X,X,X
TIOZSJL,O,O,X,O,O,X,X,X
TLIJSZO,X,O,X,X,O,O,X,X
TLIJSOZ,X,X,X,X,O,O,X,O
TLIJZSO,O,O,X,X,O,O,X,X
TLIJZOS,X,X,O,X,O,O,X,X
TLIJOSZ,X,O,O,X,O,O,X,X
TLIJOZS,X,O,O,X,O,O,X,X
TLISJZO,X,O,X,X,O,X,X,X
TLISJOZ,X,X,X,X,O,X,X,O
TLISZJO,O,O,X,X,O,X,X,X
TLISZOJ,O,X,X,X,X,X,O,X
TLISOJZ,X,X,X,X,X,X,X,O
TLISOZJ,X,X,X,X,X,X,O,X
TLIZJSO,O,O,X,X,O,O,X,X
TLIZJOS,X,X,O,X,O,O,X,X
TLIZSJO,O,O,X,X,O,X,X,X
TLIZSOJ,O,X,X,X,X,X,O,X
TLIZOJS,O,X,O,X,X,X,X,X
TLIZOSJ,O,X,X,X,X,X,X,X
TLIOJSZ,X,O,O,X,X,X,X,X
TLIOJZS,O,O,O,X,X,X,X,X
TLIOSJZ,X,O,X,X,X,X,X,X
TLIOSZJ,O,O,X,X,X,X,X,X
TLIOZJS,O,O,O,X,X,X,X,X
TLIOZSJ,O,O,X,X,X,X,X,X
TLJISZO,X,X,X,X,O,O,X,X
TLJISOZ,X,X,X,X,O,O,X,O
TLJIZSO,O,X,X,X,O,O,X,X
TLJIZOS,X,X,O,X,O,O,X,X
TLJIOSZ,X,X,O,X,O,O,X,X
TLJIOZS,X,X,O,X,O,O,X,X
TLJSIZO,X,X,X,X,X,O,X,X
TLJSIOZ,X,X,X,X,X,O,X,O
TLJSZIO,X,X,X,X,X,O,X,X
TLJSZOI,X,X,O,X,X,O,X,O
TLJSOIZ,X,X,O,O,X,O,X,O
TLJSOZI,X,X,O,O,X,O,X,O
TLJZISO,O,X,X,X,O,O,X,X
TLJZIOS,X,X,O,X,O,O,X,X
TLJZSIO,O,X,X,X,X,O,X,X
TLJZSOI,O,X,O,X,X,O,X,O
TLJZOIS,O,X,O,O,X,O,X,X
TLJZOSI,O,X,O,O,X,O,X,X
TLJOISZ,X,X,O,O,X,O,X,X
TLJOIZS,O,X,O,X,X,O,X,X
TLJOSIZ,X,X,O,O,X,O,X,O
TLJOSZI,X,X,O,O,X,O,X,O
TLJOZIS,O,X,O,O,X,O,X,X
TLJOZSI,O,X,O,O,X,O,X,X
TLSIJZO,X,O,X,X,X,X,X,X
TLSIJOZ,X,X,X,X,X,X,X,O
TLSIZJO,O,O,X,X,X,X,X,X
TLSIZOJ,O,X,X,X,X,X,O,X
TLSIOJZ,X,X,X,X,X,X,X,O
TLSIOZJ,X,X,X,X,X,X,O,X
TLSJIZO,X,X,X,X,X,O,X,X
TLSJIOZ,X,X,X,X,X,O,X,O
TLSJZIO,X,X,X,X,X,O,X,X
TLSJZOI,X,X,O,X,X,O,X,O
TLSJOIZ,X,X,O,O,X,O,X,O
TLSJOZI,X,X,O,O,X,O,X,O
TLSZIJO,O,X,X,X,X,X,X,X
TLSZIOJ,O,X,X,X,X,X,O,X
TLSZJIO,O,X,X,X,X,O,X,X
TLSZJOI,O,X,O,X,X,O,X,O
TLSZOIJ,O,X,X,X,X,X,O,X
TLSZOJI,O,X,O,X,X,X,X,O
TLSOIJZ,X,O,X,X,X,X,X,O
TLSOIZJ,O,O,X,X,X,X,O,X
TLSOJIZ,X,X,O,O,X,X,X,O
TLSOJZI,X,X,O,O,X,X,X,O
TLSOZIJ,O,O,X,X,X,X,O,X
TLSOZJI,O,O,O,O,X,X,X,O
TLZIJSO,O,X,X,X,O,O,X,X
TLZIJOS,X,X,O,X,O,O,X,X
TLZISJO,O,X,X,X,O,X,X,X
TLZISOJ,O,X,X,X,X,X,O,X
TLZIOJS,O,X,O,X,X,X,X,X
TLZIOSJ,O,X,X,X,X,X,X,X
TLZJISO,O,X,X,X,O,O,X,X
TLZJIOS,X,X,O,X,O,O,X,X
TLZJSIO,O,X,X,X,X,O,X,X
TLZJSOI,O,X,O,X,X,O,X,O
TLZJOIS,O,X,O,O,X,O,X,X
TLZJOSI,O,X,O,O,X,O,X,X
TLZSIJO,O,X,X,X,X,X,X,X
TLZSIOJ,O,X,X,X,X,X,O,X
TLZSJIO,O,X,X,X,X,O,X,X
TLZSJOI,O,X,O,X,X,O,X,O
TLZSOIJ,O,X,X,X,X,X,O,X
TLZSOJI,O,X,O,X,X,X,X,O
TLZOIJS,O,X,O,X,X,X,X,X
TLZOISJ,O,X,X,X,X,X,X,X
TLZOJIS,O,X,O,O,X,O,X,X
TLZOJSI,O,X,O,O,X,O,X,X
TLZOSIJ,O,X,X,X,X,X,X,X
TLZOSJI,O,X,O,O,X,X,X,X
TLOIJSZ,X,O,O,X,X,X,X,X
TLOIJZS,O,O,O,X,X,X,X,X
TLOISJZ,X,O,X,X,X,X,X,X
TLOISZJ,O,O,X,X,X,X,X,X
TLOIZJS,O,O,O,X,X,X,X,X
TLOIZSJ,O,O,X,X,X,X,X,X
TLOJISZ,X,X,O,O,X,O,X,X
TLOJIZS,O,X,O,X,X,O,X,X
TLOJSIZ,X,X,O,O,X,O,X,O
TLOJSZI,X,X,O,O,X,O,X,O
TLOJZIS,O,X,O,O,X,O,X,X
TLOJZSI,O,X,O,O,X,O,X,X
TLOSIJZ,X,O,X,X,X,X,X,O
TLOSIZJ,O,O,X,X,X,X,X,X
TLOSJIZ,X,X,O,O,X,X,X,O
TLOSJZI,X,X,O,O,X,X,X,O
TLOSZIJ,O,O,X,X,X,X,X,X
TLOSZJI,O,O,O,O,X,X,X,O
TLOZIJS,O,O,O,X,X,X,X,X
TLOZISJ,O,O,X,X,X,X,X,X
TLOZJIS,O,X,O,O,X,O,X,X
TLOZJSI,O,O,O,O,X,O,X,X
TLOZSIJ,O,O,X,X,X,X,X,X
TLOZSJI,O,O,O,O,X,X,X,X
TJILSZO,X,O,X,X,O,O,X,X
TJILSOZ,X,X,X,X,O,O,X,O
TJILZSO,X,O,X,X,O,O,X,X
TJILZOS,X,X,O,X,O,O,X,X
TJILOSZ,X,O,O,X,O,O,X,X
TJILOZS,X,O,O,X,O,O,X,X
TJISLZO,X,O,X,X,O,X,X,X
TJISLOZ,X,X,X,X,O,X,X,O
TJISZLO,X,O,X,X,O,X,X,X
TJISZOL,X,O,X,X,O,X,X,X
TJISOLZ,X,O,X,O,O,X,X,O
TJISOZL,X,O,X,O,O,X,X,X
TJIZLSO,X,O,X,X,O,O,X,X
TJIZLOS,X,X,O,X,O,O,X,X
TJIZSLO,X,O,X,X,O,X,X,X
TJIZSOL,X,O,X,X,O,X,X,X
TJIZOLS,X,O,O,O,O,X,X,X
TJIZOSL,X,O,X,O,O,X,X,X
TJIOLSZ,X,O,O,O,O,X,X,X
TJIOLZS,X,O,O,X,O,X,X,X
TJIOSLZ,X,O,X,O,O,X,X,X
TJIOSZL,X,O,X,O,O,X,X,X
TJIOZLS,X,O,O,O,O,X,X,X
TJIOZSL,X,O,X,O,O,X,X,X
TJLISZO,X,X,X,X,O,O,X,X
TJLISOZ,X,X,X,X,O,O,X,O
TJLIZSO,O,X,X,X,O,O,X,X
TJLIZOS,X,X,O,X,O,O,X,X
TJLIOSZ,X,X,O,X,O,O,X,X
TJLIOZS,X,X,O,X,O,O,X,X
TJLSIZO,X,X,X,X,X,O,X,X
TJLSIOZ,X,X,X,X,X,O,X,O
TJLSZIO,X,X,X,X,X,O,X,X
TJLSZOI,X,X,O,X,X,O,X,O
TJLSOIZ,X,X,O,O,X,O,X,O
TJLSOZI,X,X,O,O,X,O,X,O
TJLZISO,O,X,X,X,O,O,X,X
TJLZIOS,X,X,O,X,O,O,X,X
TJLZSIO,O,X,X,X,X,O,X,X
TJLZSOI,O,X,O,X,X,O,X,O
TJLZOIS,O,X,O,O,X,O,X,X
TJLZOSI,O,X,O,O,X,O,X,X
TJLOISZ,X,X,O,O,X,O,X,X
TJLOIZS,O,X,O,X,X,O,X,X
TJLOSIZ,X,X,O,O,X,O,X,O
TJLOSZI,X,X,O,O,X,O,X,O
TJLOZIS,O,X,O,O,X,O,X,X
TJLOZSI,O,X,O,O,X,O,X,X
TJSILZO,X,O,X,X,O,X,X,X
TJSILOZ,X,X,X,X,O,X,X,O
TJSIZLO,X,O,X,X,O,X,X,X
TJSIZOL,X,O,X,X,O,X,X,X
TJSIOLZ,X,X,X,O,O,X,X,O
TJSIOZL,X,O,X,O,O,X,X,X
TJSLIZO,X,X,X,X,X,O,X,X
TJSLIOZ,X,X,X,X,X,O,X,O
TJSLZIO,X,X,X,X,X,O,X,X
TJSLZOI,X,X,O,X,X,O,X,O
TJSLOIZ,X,X,O,O,X,O,X,O
TJSLOZI,X,X,O,O,X,O,X,O
TJSZILO,X,X,X,X,O,X,X,X
TJSZIOL,X,X,X,X,O,X,X,X
TJSZLIO,O,X,X,X,X,O,X,X
TJSZLOI,O,X,O,X,X,O,X,O
TJSZOIL,O,X,X,O,X,X,X,X
TJSZOLI,O,X,O,O,X,X,X,O
TJSOILZ,X,O,X,O,X,X,X,O
TJSOIZL,X,O,X,O,X,X,X,X
TJSOLIZ,X,X,O,O,X,X,X,O
TJSOLZI,X,X,O,O,X,X,X,O
TJSOZIL,O,O,X,O,X,X,X,X
TJSOZLI,O,O,O,O,X,X,X,O
TJZILSO,X,X,X,X,O,O,X,X
TJZILOS,X,X,O,X,O,O,X,X
TJZISLO,X,X,X,X,O,X,X,X
TJZISOL,X,X,X,X,O,X,X,X
TJZIOLS,X,X,O,O,O,X,X,X
TJZIOSL,X,X,X,O,O,X,X,X
TJZLISO,O,X,X,X,O,O,X,X
TJZLIOS,X,X,O,X,O,O,X,X
TJZLSIO,O,X,X,X,X,O,X,X
TJZLSOI,O,X,O,X,X,O,X,O
TJZLOIS,O,X,O,O,X,O,X,X
TJZLOSI,O,X,O,O,X,O,X,X
TJZSILO,X,X,X,X,O,X,X,X
TJZSIOL,X,X,X,X,O,X,X,X
TJZSLIO,O,X,X,X,X,O,X,X
TJZSLOI,O,X,O,X,X,O,X,O
TJZSOIL,O,X,X,O,X,X,X,X
TJZSOLI,O,X,O,O,X,X,X,O
TJZOILS,X,X,O,O,O,X,X,X
TJZOISL,O,X,X,O,O,X,X,X
TJZOLIS,O,X,O,O,X,O,X,X
TJZOLSI,O,X,O,O,X,O,X,X
TJZOSIL,O,X,X,O,X,X,X,X
TJZOSLI,O,X,O,O,X,X,X,X
TJOILSZ,X,O,O,O,O,X,X,X
TJOILZS,O,O,O,X,O,X,X,X
TJOISLZ,X,O,X,O,O,X,X,X
TJOISZL,X,O,X,O,O,X,X,X
TJOIZLS,X,O,O,O,O,X,X,X
TJOIZSL,O,O,X,O,O,X,X,X
TJOLISZ,X,X,O,O,X,O,X,X
TJOLIZS,O,X,O,X,X,O,X,X
TJOLSIZ,X,X,O,O,X,O,X,O
TJOLSZI,X,X,O,O,X,O,X,O
TJOLZIS,O,X,O,O,X,O,X,X
TJOLZSI,O,X,O,O,X,O,X,X
TJOSILZ,X,O,X,O,X,X,X,O
TJOSIZL,X,O,X,O,X,X,X,X
TJOSLIZ,X,X,O,O,X,X,X,O
TJOSLZI,X,X,O,O,X,X,X,O
TJOSZIL,O,O,X,O,X,X,X,X
TJOSZLI,O,O,O,O,X,X,X,O
TJOZILS,X,O,O,O,O,X,X,X
TJOZISL,O,O,X,O,O,X,X,X
TJOZLIS,O,X,O,O,X,O,X,X
TJOZLSI,O,O,O,O,X,O,X,X
TJOZSIL,O,O,X,O,X,X,X,X
TJOZSLI,O,O,O,O,X,X,X,X
TSILJZO,X,O,X,X,O,X,X,X
TSILJOZ,X,X,X,X,O,X,X,O
TSILZJO,X,O,X,X,O,X,X,X
TSILZOJ,X,X,X,X,X,X,O,X
TSILOJZ,X,X,X,X,X,X,X,O
TSILOZJ,X,X,X,X,X,X,O,X
TSIJLZO,X,O,X,X,O,X,X,X
TSIJLOZ,X,X,X,X,O,X,X,O
TSIJZLO,X,O,X,X,O,X,X,X
TSIJZOL,X,O,X,X,O,X,X,X
TSIJOLZ,X,O,X,O,O,X,X,O
TSIJOZL,X,O,X,O,O,X,X,X
TSIZLJO,O,O,X,X,O,X,X,X
TSIZLOJ,O,X,X,X,X,X,O,X
TSIZJLO,X,O,X,X,O,X,X,X
TSIZJOL,X,O,X,X,O,X,X,X
TSIZOLJ,O,X,X,X,X,X,O,X
TSIZOJL,O,O,X,X,O,X,X,X
TSIOLJZ,X,O,X,X,X,X,X,O
TSIOLZJ,X,O,X,X,X,X,O,X
TSIOJLZ,X,O,X,O,O,X,X,O
TSIOJZL,X,O,X,O,O,X,X,X
TSIOZLJ,O,O,X,X,X,X,O,X
TSIOZJL,O,O,X,O,O,X,X,X
TSLIJZO,X,O,X,X,X,X,X,X
TSLIJOZ,X,X,X,X,X,X,X,O
TSLIZJO,O,O,X,X,X,X,X,X
TSLIZOJ,O,X,X,X,X,X,O,X
TSLIOJZ,X,X,X,X,X,X,X,O
TSLIOZJ,X,X,X,X,X,X,O,X
TSLJIZO,X,X,X,X,X,O,X,X
TSLJIOZ,X,X,X,X,X,O,X,O
TSLJZIO,X,X,X,X,X,O,X,X
TSLJZOI,X,X,O,X,X,O,X,O
TSLJOIZ,X,X,O,O,X,O,X,O
TSLJOZI,X,X,O,O,X,O,X,O
TSLZIJO,O,X,X,X,X,X,X,X
TSLZIOJ,O,X,X,X,X,X,O,X
TSLZJIO,O,X,X,X,X,O,X,X
TSLZJOI,O,X,O,X,X,O,X,O
TSLZOIJ,O,X,X,X,X,X,O,X
TSLZOJI,O,X,O,X,X,X,X,O
TSLOIJZ,X,O,X,X,X,X,X,O
TSLOIZJ,O,O,X,X,X,X,O,X
TSLOJIZ,X,X,O,O,X,X,X,O
TSLOJZI,X,X,O,O,X,X,X,O
TSLOZIJ,O,O,X,X,X,X,O,X
TSLOZJI,O,O,O,O,X,X,X,O
TSJILZO,X,O,X,X,O,X,X,X
TSJILOZ,X,X,X,X,O,X,X,O
TSJIZLO,X,O,X,X,O,X,X,X
TSJIZOL,X,O,X,X,O,X,X,X
TSJIOLZ,X,X,X,O,O,X,X,O
TSJIOZL,X,O,X,O,O,X,X,X
TSJLIZO,X,X,X,X,X,O,X,X
TSJLIOZ,X,X,X,X,X,O,X,O
TSJLZIO,X,X,X,X,X,O,X,X
TSJLZOI,X,X,O,X,X,O,X,O
TSJLOIZ,X,X,O,O,X,O,X,O
TSJLOZI,X,X,O,O,X,O,X,O
TSJZILO,X,X,X,X,O,X,X,X
TSJZIOL,X,X,X,X,O,X,X,X
TSJZLIO,O,X,X,X,X,O,X,X
TSJZLOI,O,X,O,X,X,O,X,O
TSJZOIL,O,X,X,O,X,X,X,X
TSJZOLI,O,X,O,O,X,X,X,O
TSJOILZ,X,O,X,O,X,X,X,O
TSJOIZL,X,O,X,O,X,X,X,X
TSJOLIZ,X,X,O,O,X,X,X,O
TSJOLZI,X,X,O,O,X,X,X,O
TSJOZIL,O,O,X,O,X,X,X,X
TSJOZLI,O,O,O,O,X,X,X,O
TSZILJO,O,O,X,X,O,X,X,X
TSZILOJ,O,X,X,X,X,X,O,X
TSZIJLO,X,O,X,X,O,X,X,X
TSZIJOL,X,O,X,X,O,X,X,X
TSZIOLJ,O,X,X,X,X,X,O,X
TSZIOJL,O,O,X,X,O,X,X,X
TSZLIJO,O,X,X,X,X,X,X,X
TSZLIOJ,O,X,X,X,X,X,O,X
TSZLJIO,O,X,X,X,X,O,X,X
TSZLJOI,O,X,O,X,X,O,X,O
TSZLOIJ,O,X,X,X,X,X,O,X
TSZLOJI,O,X,O,X,X,X,X,O
TSZJILO,X,X,X,X,O,X,X,X
TSZJIOL,X,X,X,X,O,X,X,X
TSZJLIO,O,X,X,X,X,O,X,X
TSZJLOI,O,X,O,X,X,O,X,O
TSZJOIL,O,X,X,O,X,X,X,X
TSZJOLI,O,X,O,O,X,X,X,O
TSZOILJ,O,O,X,X,X,X,O,X
TSZOIJL,O,O,X,O,X,X,X,X
TSZOLIJ,O,O,X,X,X,X,O,X
TSZOLJI,O,O,O,O,X,X,X,O
TSZOJIL,O,O,X,O,X,X,X,X
TSZOJLI,O,O,O,O,X,X,X,O
TSOILJZ,X,O,X,X,X,X,X,O
TSOILZJ,O,O,X,X,X,X,O,X
TSOIJLZ,X,O,X,O,X,X,X,O
TSOIJZL,X,O,X,O,X,X,X,X
TSOIZLJ,O,O,X,X,X,X,O,X
TSOIZJL,O,O,X,O,X,X,X,X
TSOLIJZ,X,O,X,X,X,X,X,O
TSOLIZJ,O,O,X,X,X,X,O,X
TSOLJIZ,X,X,O,O,X,X,X,O
TSOLJZI,X,X,O,O,X,X,X,O
TSOLZIJ,O,O,X,X,X,X,O,X
TSOLZJI,O,O,O,O,X,X,X,O
TSOJILZ,X,O,X,O,X,X,X,O
TSOJIZL,X,O,X,O,X,X,X,X
TSOJLIZ,X,X,O,O,X,X,X,O
TSOJLZI,X,X,O,O,X,X,X,O
TSOJZIL,O,O,X,O,X,X,X,X
TSOJZLI,O,O,O,O,X,X,X,O
TSOZILJ,O,O,X,X,X,X,O,X
TSOZIJL,O,O,X,O,X,X,X,X
TSOZLIJ,O,O,X,X,X,X,O,X
TSOZLJI,O,O,O,O,X,X,X,O
TSOZJIL,O,O,X,O,X,X,X,X
TSOZJLI,O,O,O,O,X,X,X,O
TZILJSO,O,O,X,X,O,O,X,X
TZILJOS,X,X,O,X,O,O,X,X
TZILSJO,O,O,X,X,O,X,X,X
TZILSOJ,O,X,X,X,X,X,O,X
TZILOJS,O,X,O,X,X,X,X,X
TZILOSJ,O,X,X,X,X,X,X,X
TZIJLSO,X,O,X,X,O,O,X,X
TZIJLOS,X,X,O,X,O,O,X,X
TZIJSLO,X,O,X,X,O,X,X,X
TZIJSOL,X,O,X,X,O,X,X,X
TZIJOLS,X,O,O,O,O,X,X,X
TZIJOSL,X,O,X,O,O,X,X,X
TZISLJO,O,O,X,X,O,X,X,X
TZISLOJ,O,X,X,X,X,X,O,X
TZISJLO,X,O,X,X,O,X,X,X
TZISJOL,X,O,X,X,O,X,X,X
TZISOLJ,O,X,X,X,X,X,O,X
TZISOJL,O,O,X,X,O,X,X,X
TZIOLJS,O,O,O,X,X,X,X,X
TZIOLSJ,O,O,X,X,X,X,X,X
TZIOJLS,X,O,O,O,O,X,X,X
TZIOJSL,O,O,X,O,O,X,X,X
TZIOSLJ,O,O,X,X,X,X,X,X
TZIOSJL,O,O,X,O,O,X,X,X
TZLIJSO,O,X,X,X,O,O,X,X
TZLIJOS,X,X,O,X,O,O,X,X
TZLISJO,O,X,X,X,O,X,X,X
TZLISOJ,O,X,X,X,X,X,O,X
TZLIOJS,O,X,O,X,X,X,X,X
TZLIOSJ,O,X,X,X,X,X,X,X
TZLJISO,O,X,X,X,O,O,X,X
TZLJIOS,X,X,O,X,O,O,X,X
TZLJSIO,O,X,X,X,X,O,X,X
TZLJSOI,O,X,O,X,X,O,X,O
TZLJOIS,O,X,O,O,X,O,X,X
TZLJOSI,O,X,O,O,X,O,X,X
TZLSIJO,O,X,X,X,X,X,X,X
TZLSIOJ,O,X,X,X,X,X,O,X
TZLSJIO,O,X,X,X,X,O,X,X
TZLSJOI,O,X,O,X,X,O,X,O
TZLSOIJ,O,X,X,X,X,X,O,X
TZLSOJI,O,X,O,X,X,X,X,O
TZLOIJS,O,X,O,X,X,X,X,X
TZLOISJ,O,X,X,X,X,X,X,X
TZLOJIS,O,X,O,O,X,O,X,X
TZLOJSI,O,X,O,O,X,O,X,X
TZLOSIJ,O,X,X,X,X,X,X,X
TZLOSJI,O,X,O,O,X,X,X,X
TZJILSO,X,X,X,X,O,O,X,X
TZJILOS,X,X,O,X,O,O,X,X
TZJISLO,X,X,X,X,O,X,X,X
TZJISOL,X,X,X,X,O,X,X,X
TZJIOLS,X,X,O,O,O,X,X,X
TZJIOSL,X,X,X,O,O,X,X,X
TZJLISO,O,X,X,X,O,O,X,X
TZJLIOS,X,X,O,X,O,O,X,X
TZJLSIO,O,X,X,X,X,O,X,X
TZJLSOI,O,X,O,X,X,O,X,O
TZJLOIS,O,X,O,O,X,O,X,X
TZJLOSI,O,X,O,O,X,O,X,X
TZJSILO,X,X,X,X,O,X,X,X
TZJSIOL,X,X,X,X,O,X,X,X
TZJSLIO,O,X,X,X,X,O,X,X
TZJSLOI,O,X,O,X,X,O,X,O
TZJSOIL,O,X,X,O,X,X,X,X
TZJSOLI,O,X,O,O,X,X,X,O
TZJOILS,X,X,O,O,O,X,X,X
TZJOISL,O,X,X,O,O,X,X,X
TZJOLIS,O,X,O,O,X,O,X,X
TZJOLSI,O,X,O,O,X,O,X,X
TZJOSIL,O,X,X,O,X,X,X,X
