sequence,v115@ShC8EeF8BeC8JeNEJvhFUgBGhBZnBqnBTjB/rB,v115@ShC8EeF8BeC8JeOEJvhFXgBdmB5mBcoBTnBisB,v115@ShC8EeF8BeC8JeOEJvhFXgBdmBRiBcoBSsBzrB,v115@ShC8EeF8BeC8JeOEJvhFXgBdmBRiBcoBqrBTsB,v115@ShC8EeF8BeC8JeNEJvhFUgBRhBCjBTmBesBXtB,v115@ShC8EeF8BeC8JeNEJvhFUgBamBWnBxiBXoBzrB,v115@ShC8EeF8BeC8JeNEJvhFUgBZnBCjBTmBXoBGrB
TLJZISO,O,O,O,O,O,X,X
TLJZIOS,O,O,O,O,X,X,X
TLJZSIO,O,O,O,O,O,O,X
TLJZSOI,O,O,O,O,O,O,X
TLJZOIS,O,O,O,O,O,O,X
TLJZOSI,O,O,O,O,O,O,X
TLJOISZ,O,O,X,O,O,O,X
TLJOIZS,O,O,X,O,O,O,X
TLJOSIZ,O,O,X,O,O,O,X
TLJOSZI,O,O,O,O,O,O,X
TLJOZIS,O,O,O,O,O,O,X
TLJOZSI,O,O,O,O,O,O,X
TLSIJZO,O,O,O,O,O,O,O
TLSIJOZ,O,O,X,O,O,O,O
TLSIZJO,O,O,O,O,O,O,O
TLSIZOJ,O,O,O,O,O,O,O
TLSIOJZ,O,O,X,O,X,O,O
TLSIOZJ,O,O,X,O,X,O,O
TLSJIZO,O,O,O,O,O,O,O
TLSJIOZ,O,O,X,O,O,O,O
TLSJZIO,O,O,O,O,O,O,O
TLSJZOI,O,O,O,O,O,O,O
TLSJOIZ,O,O,X,O,O,O,O
TLSJOZI,O,O,O,O,O,O,O
TLSZIJO,O,O,O,O,O,O,O
TLSZIOJ,O,O,O,O,O,O,O
TLSZJIO,O,O,O,O,O,O,O
TLSZJOI,O,O,O,O,O,O,O
TLSZOIJ,O,O,O,O,O,O,O
TLSZOJI,O,O,O,O,O,O,O
TLSOIJZ,O,O,X,O,X,O,O
TLSOIZJ,O,O,X,O,X,O,O
TLSOJIZ,O,O,X,O,O,O,O
TLSOJZI,O,O,O,O,O,O,O
TLSOZIJ,O,O,O,O,O,O,O
TLSOZJI,O,O,O,O,O,O,O
TLZIJSO,O,O,O,O,O,X,X
TLZIJOS,O,O,O,O,X,X,X
TLZISJO,O,O,O,O,O,O,O
TLZISOJ,O,O,O,O,O,O,O
TLZIOJS,O,O,O,O,O,O,X
TLZIOSJ,O,O,O,O,X,O,O
TLZJISO,O,O,O,O,O,X,X
TLZJIOS,O,O,O,O,X,X,X
TLZJSIO,O,O,O,O,O,O,X
TLZJSOI,O,O,O,O,O,O,X
TLZJOIS,O,O,O,O,O,O,X
TLZJOSI,O,O,O,O,O,O,X
TLZSIJO,O,O,O,O,O,O,O
TLZSIOJ,O,O,O,O,O,O,O
TLZSJIO,O,O,O,O,O,O,O
TLZSJOI,O,O,O,O,O,O,O
TLZSOIJ,O,O,O,O,O,O,O
TLZSOJI,O,O,O,O,O,O,O
TLZOIJS,O,O,O,O,O,O,X
TLZOISJ,O,O,O,O,X,O,O
TLZOJIS,O,O,O,O,O,O,X
TLZOJSI,O,O,O,O,O,O,X
TLZOSIJ,O,O,O,O,X,O,O
TLZOSJI,O,O,O,O,O,O,O
TLOIJSZ,O,O,X,O,O,O,X
TLOIJZS,O,O,X,O,O,O,X
TLOISJZ,O,O,X,O,X,O,O
TLOISZJ,O,O,X,O,X,O,O
TLOIZJS,O,O,X,O,O,O,X
TLOIZSJ,O,O,X,O,X,O,O
TLOJISZ,O,O,X,O,O,O,X
TLOJIZS,O,O,X,O,O,O,X
TLOJSIZ,O,O,X,O,O,O,X
TLOJSZI,O,O,O,O,O,O,X
TLOJZIS,O,O,O,O,O,O,X
TLOJZSI,O,O,O,O,O,O,X
TLOSIJZ,O,O,X,O,X,O,O
TLOSIZJ,O,O,X,O,X,O,O
TLOSJIZ,O,O,X,O,O,O,O
TLOSJZI,O,O,O,O,O,O,O
TLOSZIJ,O,O,O,O,X,O,O
TLOSZJI,O,O,O,O,O,O,O
TLOZIJS,O,O,O,O,O,O,X
TLOZISJ,O,O,O,O,X,O,O
TLOZJIS,O,O,O,O,O,O,X
TLOZJSI,O,O,O,O,O,O,X
TLOZSIJ,O,O,O,O,X,O,O
TLOZSJI,O,O,O,O,O,O,O
TJILSZO,O,O,O,O,O,X,X
TJILSOZ,O,O,X,O,O,X,X
TJILZSO,O,O,O,O,O,X,X
TJILZOS,O,O,O,O,X,X,X
TJILOSZ,O,O,X,O,X,X,X
TJILOZS,O,O,X,O,X,X,X
TJISLZO,O,O,O,O,O,X,O
TJISLOZ,O,O,X,O,O,X,O
TJISZLO,O,O,O,O,O,X,O
TJISZOL,O,O,O,O,O,X,O
TJISOLZ,O,O,X,X,O,X,O
TJISOZL,O,O,X,X,O,X,O
TJIZLSO,O,O,O,O,O,X,X
TJIZLOS,O,O,O,O,X,X,X
TJIZSLO,O,O,O,O,O,X,O
TJIZSOL,O,O,O,O,O,X,O
TJIZOLS,X,O,X,X,O,X,X
TJIZOSL,X,O,O,O,O,X,O
TJIOLSZ,X,O,X,X,O,X,X
TJIOLZS,X,O,X,X,O,X,X
TJIOSLZ,X,O,X,X,O,X,O
TJIOSZL,X,O,X,X,O,X,O
TJIOZLS,X,O,X,X,O,X,X
TJIOZSL,X,O,X,X,O,X,O
TJLISZO,O,O,O,O,O,X,X
TJLISOZ,O,O,X,O,O,X,X
TJLIZSO,O,O,O,O,O,X,X
TJLIZOS,O,O,O,O,X,X,X
TJLIOSZ,O,O,X,O,X,X,X
TJLIOZS,O,O,X,O,X,X,X
TJLSIZO,O,O,O,O,O,O,X
TJLSIOZ,O,O,X,O,O,O,X
TJLSZIO,O,O,O,O,O,O,X
TJLSZOI,O,O,O,O,O,O,X
TJLSOIZ,O,O,X,O,O,O,X
TJLSOZI,O,O,O,O,O,O,X
TJLZISO,O,O,O,O,O,X,X
TJLZIOS,O,O,O,O,X,X,X
TJLZSIO,O,O,O,O,O,O,X
TJLZSOI,O,O,O,O,O,O,X
TJLZOIS,O,O,O,O,O,O,X
TJLZOSI,O,O,O,O,O,O,X
TJLOISZ,O,O,X,O,O,O,X
TJLOIZS,O,O,X,O,O,O,X
TJLOSIZ,O,O,X,O,O,O,X
TJLOSZI,O,O,O,O,O,O,X
TJLOZIS,O,O,O,O,O,O,X
TJLOZSI,O,O,O,O,O,O,X
TJSILZO,O,O,O,O,O,O,O
TJSILOZ,O,O,X,O,O,O,O
TJSIZLO,O,O,O,O,O,O,O
TJSIZOL,O,O,O,O,O,O,O
TJSIOLZ,O,O,X,X,O,O,O
TJSIOZL,O,O,X,X,O,O,O
TJSLIZO,O,O,O,O,O,O,O
TJSLIOZ,O,O,X,O,O,O,O
TJSLZIO,O,O,O,O,O,O,O
TJSLZOI,O,O,O,O,O,O,O
TJSLOIZ,O,O,X,O,O,O,O
TJSLOZI,O,O,O,O,O,O,O
TJSZILO,O,O,O,O,O,O,O
TJSZIOL,O,O,O,O,O,O,O
TJSZLIO,O,O,O,O,O,O,O
TJSZLOI,O,O,O,O,O,O,O
TJSZOIL,O,O,O,O,O,O,O
TJSZOLI,O,O,O,O,O,O,O
TJSOILZ,O,O,X,X,O,O,O
TJSOIZL,O,O,X,X,O,O,O
TJSOLIZ,O,O,X,O,O,O,O
TJSOLZI,O,O,O,O,O,O,O
TJSOZIL,O,O,O,O,O,O,O
TJSOZLI,O,O,O,O,O,O,O
TJZILSO,O,O,O,O,O,X,X
TJZILOS,O,O,O,O,X,X,X
TJZISLO,O,O,O,O,O,X,O
TJZISOL,O,O,O,O,O,X,O
TJZIOLS,X,O,X,X,O,X,X
TJZIOSL,X,O,O,O,O,X,O
TJZLISO,O,O,O,O,O,X,X
TJZLIOS,O,O,O,O,X,X,X
TJZLSIO,O,O,O,O,O,O,X
TJZLSOI,O,O,O,O,O,O,X
TJZLOIS,O,O,O,O,O,O,X
TJZLOSI,O,O,O,O,O,O,X
TJZSILO,O,O,O,O,O,O,O
TJZSIOL,O,O,O,O,O,O,O
TJZSLIO,O,O,O,O,O,O,O
TJZSLOI,O,O,O,O,O,O,O
TJZSOIL,O,O,O,O,O,O,O
TJZSOLI,O,O,O,O,O,O,O
TJZOILS,X,O,X,X,O,O,X
TJZOISL,X,O,O,O,O,O,O
TJZOLIS,O,O,O,O,O,O,X
TJZOLSI,O,O,O,O,O,O,X
TJZOSIL,O,O,O,O,O,O,O
TJZOSLI,O,O,O,O,O,O,O
TJOILSZ,X,O,X,X,O,O,X
TJOILZS,X,O,X,X,O,O,X
TJOISLZ,X,O,X,X,O,O,O
TJOISZL,X,O,X,X,O,O,O
TJOIZLS,X,O,X,X,O,O,X
TJOIZSL,X,O,X,X,O,O,O
TJOLISZ,O,O,X,O,O,O,X
TJOLIZS,O,O,X,O,O,O,X
TJOLSIZ,O,O,X,O,O,O,X
TJOLSZI,O,O,O,O,O,O,X
TJOLZIS,O,O,O,O,O,O,X
TJOLZSI,O,O,O,O,O,O,X
TJOSILZ,O,O,X,X,O,O,O
TJOSIZL,O,O,X,X,O,O,O
TJOSLIZ,O,O,X,O,O,O,O
TJOSLZI,O,O,O,O,O,O,O
TJOSZIL,O,O,O,O,O,O,O
TJOSZLI,O,O,O,O,O,O,O
TJOZILS,X,O,X,X,O,O,X
TJOZISL,X,O,O,O,O,O,O
TJOZLIS,O,O,O,O,O,O,X
TJOZLSI,O,O,O,O,O,O,X
TJOZSIL,O,O,O,O,O,O,O
TJOZSLI,O,O,O,O,O,O,O
TSILJZO,O,O,O,O,O,O,O
TSILJOZ,O,O,X,O,O,O,O
TSILZJO,O,O,O,O,O,O,O
TSILZOJ,O,O,O,O,O,O,O
TSILOJZ,O,O,X,O,X,O,O
TSILOZJ,O,O,X,O,X,O,O
TSIJLZO,O,O,O,O,O,O,O
TSIJLOZ,O,O,X,O,O,O,O
TSIJZLO,O,O,O,O,O,O,O
TSIJZOL,O,O,O,O,O,O,O
TSIJOLZ,O,O,X,X,O,O,O
TSIJOZL,O,O,X,X,O,O,O
TSIZLJO,O,O,O,O,O,O,O
TSIZLOJ,O,O,O,O,O,O,O
TSIZJLO,O,O,O,O,O,O,O
TSIZJOL,O,O,O,O,O,O,O
TSIZOLJ,O,O,X,X,O,O,O
TSIZOJL,O,O,O,O,O,O,O
TSIOLJZ,O,O,X,X,X,O,O
TSIOLZJ,O,O,X,X,X,O,O
TSIOJLZ,O,O,X,X,O,O,O
TSIOJZL,O,O,X,X,O,O,O
TSIOZLJ,O,O,X,X,X,O,O
TSIOZJL,O,O,X,X,O,O,O
TSLIJZO,O,O,O,O,O,O,O
TSLIJOZ,O,O,X,O,O,O,O
TSLIZJO,O,O,O,O,O,O,O
TSLIZOJ,O,O,O,O,O,O,O
TSLIOJZ,O,O,X,O,X,O,O
TSLIOZJ,O,O,X,O,X,O,O
TSLJIZO,O,O,O,O,O,O,O
TSLJIOZ,O,O,X,O,O,O,O
TSLJZIO,O,O,O,O,O,O,O
TSLJZOI,O,O,O,O,O,O,O
TSLJOIZ,O,O,X,O,O,O,O
TSLJOZI,O,O,O,O,O,O,O
TSLZIJO,O,O,O,O,O,O,O
TSLZIOJ,O,O,O,O,O,O,O
TSLZJIO,O,O,O,O,O,O,O
TSLZJOI,O,O,O,O,O,O,O
TSLZOIJ,O,O,O,O,O,O,O
TSLZOJI,O,O,O,O,O,O,O
TSLOIJZ,O,O,X,O,X,O,O
TSLOIZJ,O,O,X,O,X,O,O
TSLOJIZ,O,O,X,O,O,O,O
TSLOJZI,O,O,O,O,O,O,O
TSLOZIJ,O,O,O,O,O,O,O
TSLOZJI,O,O,O,O,O,O,O
TSJILZO,O,O,O,O,O,O,O
TSJILOZ,O,O,X,O,O,O,O
TSJIZLO,O,O,O,O,O,O,O
TSJIZOL,O,O,O,O,O,O,O
TSJIOLZ,O,O,X,X,O,O,O
TSJIOZL,O,O,X,X,O,O,O
TSJLIZO,O,O,O,O,O,O,O
TSJLIOZ,O,O,X,O,O,O,O
TSJLZIO,O,O,O,O,O,O,O
TSJLZOI,O,O,O,O,O,O,O
TSJLOIZ,O,O,X,O,O,O,O
TSJLOZI,O,O,O,O,O,O,O
TSJZILO,O,O,O,O,O,O,O
TSJZIOL,O,O,O,O,O,O,O
TSJZLIO,O,O,O,O,O,O,O
TSJZLOI,O,O,O,O,O,O,O
TSJZOIL,O,O,O,O,O,O,O
TSJZOLI,O,O,O,O,O,O,O
TSJOILZ,O,O,X,X,O,O,O
TSJOIZL,O,O,X,X,O,O,O
TSJOLIZ,O,O,X,O,O,O,O
TSJOLZI,O,O,O,O,O,O,O
TSJOZIL,O,O,O,O,O,O,O
TSJOZLI,O,O,O,O,O,O,O
TSZILJO,O,O,O,O,O,O,O
TSZILOJ,O,O,O,O,O,O,O
TSZIJLO,O,O,O,O,O,O,O
TSZIJOL,O,O,O,O,O,O,O
TSZIOLJ,O,O,X,X,O,O,O
TSZIOJL,O,O,O,O,O,O,O
TSZLIJO,O,O,O,O,O,O,O
TSZLIOJ,O,O,O,O,O,O,O
TSZLJIO,O,O,O,O,O,O,O
TSZLJOI,O,O,O,O,O,O,O
TSZLOIJ,O,O,O,O,O,O,O
TSZLOJI,O,O,O,O,O,O,O
TSZJILO,O,O,O,O,O,O,O
TSZJIOL,O,O,O,O,O,O,O
TSZJLIO,O,O,O,O,O,O,O
TSZJLOI,O,O,O,O,O,O,O
TSZJOIL,O,O,O,O,O,O,O
TSZJOLI,O,O,O,O,O,O,O
TSZOILJ,O,O,X,X,O,O,O
TSZOIJL,O,O,O,O,O,O,O
TSZOLIJ,O,O,O,O,O,O,O
TSZOLJI,O,O,O,O,O,O,O
TSZOJIL,O,O,O,O,O,O,O
TSZOJLI,O,O,O,O,O,O,O
TSOILJZ,O,O,X,X,X,O,O
TSOILZJ,O,O,X,X,X,O,O
TSOIJLZ,O,O,X,X,O,O,O
TSOIJZL,O,O,X,X,O,O,O
TSOIZLJ,O,O,X,X,X,O,O
TSOIZJL,O,O,X,X,O,O,O
TSOLIJZ,O,O,X,O,X,O,O
TSOLIZJ,O,O,X,O,X,O,O
TSOLJIZ,O,O,X,O,O,O,O
TSOLJZI,O,O,O,O,O,O,O
TSOLZIJ,O,O,O,O,O,O,O
TSOLZJI,O,O,O,O,O,O,O
TSOJILZ,O,O,X,X,O,O,O
TSOJIZL,O,O,X,X,O,O,O
TSOJLIZ,O,O,X,O,O,O,O
TSOJLZI,O,O,O,O,O,O,O
TSOJZIL,O,O,O,O,O,O,O
TSOJZLI,O,O,O,O,O,O,O
TSOZILJ,O,O,X,X,O,O,O
TSOZIJL,O,O,O,O,O,O,O
TSOZLIJ,O,O,O,O,O,O,O
TSOZLJI,O,O,O,O,O,O,O
TSOZJIL,O,O,O,O,O,O,O
TSOZJLI,O,O,O,O,O,O,O
TZILJSO,O,O,O,O,O,X,X
TZILJOS,O,O,O,O,X,X,X
TZILSJO,O,O,O,O,O,O,O
TZILSOJ,O,O,O,O,O,O,O
TZILOJS,O,O,O,O,O,O,X
TZILOSJ,O,O,O,O,X,O,O
TZIJLSO,O,O,O,O,O,X,X
TZIJLOS,O,O,O,O,X,X,X
TZIJSLO,O,O,O,O,O,X,O
TZIJSOL,O,O,O,O,O,X,O
TZIJOLS,X,O,X,X,O,X,X
TZIJOSL,X,O,O,O,O,X,O
TZISLJO,O,O,O,O,O,O,O
TZISLOJ,O,O,O,O,O,O,O
TZISJLO,O,O,O,O,O,O,O
TZISJOL,O,O,O,O,O,O,O
TZISOLJ,O,O,X,X,O,O,O
TZISOJL,O,O,O,O,O,O,O
TZIOLJS,O,O,X,X,O,O,X
TZIOLSJ,O,O,X,X,X,O,O
TZIOJLS,X,O,X,X,O,O,X
TZIOJSL,X,O,O,O,O,O,O
TZIOSLJ,O,O,X,X,O,O,O
TZIOSJL,O,O,O,O,O,O,O
TZLIJSO,O,O,O,O,O,X,X
TZLIJOS,O,O,O,O,X,X,X
TZLISJO,O,O,O,O,O,O,O
TZLISOJ,O,O,O,O,O,O,O
TZLIOJS,O,O,O,O,O,O,X
TZLIOSJ,O,O,O,O,X,O,O
TZLJISO,O,O,O,O,O,X,X
TZLJIOS,O,O,O,O,X,X,X
TZLJSIO,O,O,O,O,O,O,X
TZLJSOI,O,O,O,O,O,O,X
TZLJOIS,O,O,O,O,O,O,X
TZLJOSI,O,O,O,O,O,O,X
TZLSIJO,O,O,O,O,O,O,O
TZLSIOJ,O,O,O,O,O,O,O
TZLSJIO,O,O,O,O,O,O,O
TZLSJOI,O,O,O,O,O,O,O
TZLSOIJ,O,O,O,O,O,O,O
TZLSOJI,O,O,O,O,O,O,O
TZLOIJS,O,O,O,O,O,O,X
TZLOISJ,O,O,O,O,X,O,O
TZLOJIS,O,O,O,O,O,O,X
TZLOJSI,O,O,O,O,O,O,X
TZLOSIJ,O,O,O,O,X,O,O
TZLOSJI,O,O,O,O,O,O,O
TZJILSO,O,O,O,O,O,X,X
TZJILOS,O,O,O,O,X,X,X
TZJISLO,O,O,O,O,O,X,O
TZJISOL,O,O,O,O,O,X,O
TZJIOLS,X,O,X,X,O,X,X
TZJIOSL,X,O,O,O,O,X,O
TZJLISO,O,O,O,O,O,X,X
TZJLIOS,O,O,O,O,X,X,X
TZJLSIO,O,O,O,O,O,O,X
TZJLSOI,O,O,O,O,O,O,X
TZJLOIS,O,O,O,O,O,O,X
TZJLOSI,O,O,O,O,O,O,X
TZJSILO,O,O,O,O,O,O,O
TZJSIOL,O,O,O,O,O,O,O
TZJSLIO,O,O,O,O,O,O,O
TZJSLOI,O,O,O,O,O,O,O
TZJSOIL,O,O,O,O,O,O,O
TZJSOLI,O,O,O,O,O,O,O
TZJOILS,X,O,X,X,O,O,X
TZJOISL,X,O,O,O,O,O,O
TZJOLIS,O,O,O,O,O,O,X
TZJOLSI,O,O,O,O,O,O,X
TZJOSIL,O,O,O,O,O,O,O
TZJOSLI,O,O,O,O,O,O,O
TZSILJO,O,O,O,O,O,O,O
TZSILOJ,O,O,O,O,O,O,O
TZSIJLO,O,O,O,O,O,O,O
TZSIJOL,O,O,O,O,O,O,O
TZSIOLJ,O,O,X,X,O,O,O
TZSIOJL,O,O,O,O,O,O,O
TZSLIJO,O,O,O,O,O,O,O
TZSLIOJ,O,O,O,O,O,O,O
TZSLJIO,O,O,O,O,O,O,O
TZSLJOI,O,O,O,O,O,O,O
TZSLOIJ,O,O,O,O,O,O,O
TZSLOJI,O,O,O,O,O,O,O
TZSJILO,O,O,O,O,O,O,O
TZSJIOL,O,O,O,O,O,O,O
TZSJLIO,O,O,O,O,O,O,O
TZSJLOI,O,O,O,O,O,O,O
TZSJOIL,O,O,O,O,O,O,O
TZSJOLI,O,O,O,O,O,O,O
TZSOILJ,O,O,X,X,O,O,O
TZSOIJL,O,O,O,O,O,O,O
TZSOLIJ,O,O,O,O,O,O,O
TZSOLJI,O,O,O,O,O,O,O
TZSOJIL,O,O,O,O,O,O,O
TZSOJLI,O,O,O,O,O,O,O
TZOILJS,O,O,X,X,O,O,X
TZOILSJ,O,O,X,X,X,O,O
TZOIJLS,X,O,X,X,O,O,X
TZOIJSL,X,O,O,O,O,O,O
TZOISLJ,O,O,X,X,O,O,O
TZOISJL,O,O,O,O,O,O,O
TZOLIJS,O,O,O,O,O,O,X
TZOLISJ,O,O,O,O,X,O,O
TZOLJIS,O,O,O,O,O,O,X
TZOLJSI,O,O,O,O,O,O,X
TZOLSIJ,O,O,O,O,X,O,O
TZOLSJI,O,O,O,O,O,O,O
TZOJILS,X,O,X,X,O,O,X
TZOJISL,X,O,O,O,O,O,O
TZOJLIS,O,O,O,O,O,O,X
TZOJLSI,O,O,O,O,O,O,X
TZOJSIL,O,O,O,O,O,O,O
TZOJSLI,O,O,O,O,O,O,O
TZOSILJ,O,O,X,X,O,O,O
TZOSIJL,O,O,O,O,O,O,O
TZOSLIJ,O,O,O,O,O,O,O
TZOSLJI,O,O,O,O,O,O,O
TZOSJIL,O,O,O,O,O,O,O
TZOSJLI,O,O,O,O,O,O,O
TOILJSZ,O,O,X,X,O,O,X
TOILJZS,O,O,X,X,O,O,X
TOILSJZ,O,O,X,X,X,O,O
TOILSZJ,O,O,X,X,X,O,O
TOILZJS,O,O,X,X,O,O,X
TOILZSJ,O,O,X,X,X,O,O
TOIJLSZ,X,O,X,X,O,O,X
