sequence,v115@9gA8IeA8IeA8BeB8EeA8CeF8JeRAJvhFFiB6oBXlB0?mBznBWvB,v115@9gA8IeA8IeA8BeB8EeA8CeF8Je3AJvhF1mBxiBSsBT?oBUqBupB,v115@9gA8IeA8IeA8BeB8EeA8CeF8Je1FJvhFxhBXjBzmBS?tBUqBupB,v115@9gA8IeA8IeA8BeB8EeA8CeF8JeRAJvhF3hBziB+oBV?sBUqBCqB,v115@9gA8IeA8IeA8BeB8EeA8CeF8JefIJvhF6oBRlBUnBl?mBzpBGqB,v115@9gA8IeA8IeA8BeB8EeA8CeF8JeWFJvhF1mBxiBSsBT?oB8pB3qB,v115@9gA8IeA8IeA8BeB8EeA8CeF8JeXCJvhF6oBRlBznBF?lB0mBWvB,v115@9gA8IeA8IeA8BeB8EeA8CeF8JelBJvhFUjBRlBXnBS?tBzpBGqB,v115@9gA8IeA8IeA8BeB8EeA8CeF8JefFJvhF0gBSnBTjBl?mBWvBxxB,v115@9gA8IeA8IeA8BeB8EeA8CeF8JeXCJvhFRlBCoBFlB0?mBToBWvB,v115@9gA8IeA8IeA8BeB8EeA8CeF8Je0BJvhFRlBCoBFlBX?nBToBWvB,v115@9gA8IeA8IeA8BeB8EeA8CeF8JexBJvhF8nB+oBfqBz?mBlqBCqB,v115@9gA8IeA8IeA8BeB8EeA8CeF8JeXCJvhFTjBRlBWtBC?lB0mBVvB,v115@9gA8IeA8IeA8BeB8EeA8CeF8Je5EJvhFVnBilBXoB0?mBGoBTqB,v115@9gA8IeA8IeA8BeB8EeA8CeF8JeWFJvhFFjBxmBStB8?pBzmB3qB,v115@9gA8IeA8IeA8BeB8EeA8CeF8JeuEJvhF3gBUjBxmBz?mBStBVvB,v115@9gA8IeA8IeA8BeB8EeA8CeF8Je0BJvhFTjBRlBWtBC?lBXnBVvB
TIJOZLS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TIJOZSL,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O
TISLJZO,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
TISLJOZ,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TISLZJO,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,O,X
TISLZOJ,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X
TISLOJZ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TISLOZJ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TISJLZO,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
TISJLOZ,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X
TISJZLO,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
TISJZOL,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,O,O
TISJOLZ,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TISJOZL,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O
TISZLJO,X,X,X,O,O,X,X,O,X,X,X,X,X,O,X,O,X
TISZLOJ,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X
TISZJLO,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
TISZJOL,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,O
TISZOLJ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TISZOJL,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
TISOLJZ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TISOLZJ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TISOJLZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISOJZL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TISOZLJ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TISOZJL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TIZLJSO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
TIZLJOS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
TIZLSJO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
TIZLSOJ,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIZLOJS,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIZLOSJ,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIZJLSO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TIZJLOS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TIZJSLO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TIZJSOL,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O
TIZJOLS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TIZJOSL,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O
TIZSLJO,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X
TIZSLOJ,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIZSJLO,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
TIZSJOL,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,O
TIZSOLJ,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIZSOJL,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
TIZOLJS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOLSJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOJLS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TIZOJSL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
TIZOSLJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOSJL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIOLJSZ,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TIOLJZS,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOLSJZ,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TIOLSZJ,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOLZJS,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOLZSJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOJLSZ,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X
TIOJLZS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
TIOJSLZ,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TIOJSZL,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,O
TIOJZLS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TIOJZSL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O
TIOSLJZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOSLZJ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOSJLZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSJZL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIOSZLJ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIOSZJL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TIOZLJS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZLSJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZJLS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TIOZJSL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
TIOZSLJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZSJL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLIJSZO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
TLIJSOZ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
TLIJZSO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
TLIJZOS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
TLIJOSZ,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X
TLIJOZS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O
TLISJZO,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,O,X
TLISJOZ,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X
TLISZJO,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X,O,X
TLISZOJ,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X
TLISOJZ,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
TLISOZJ,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
TLIZJSO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X
TLIZJOS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O
TLIZSJO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
TLIZSOJ,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLIZOJS,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLIZOSJ,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLIOJSZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
TLIOJZS,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
TLIOSJZ,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TLIOSZJ,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLIOZJS,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLIOZSJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJISZO,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X
TLJISOZ,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X
TLJIZSO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X
TLJIZOS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O
TLJIOSZ,X,X,X,X,X,O,O,X,X,X,X,X,O,X,O,X,X
TLJIOZS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O
TLJSIZO,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X
TLJSIOZ,X,X,X,O,X,X,X,X,X,O,X,X,O,X,O,X,X
TLJSZIO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJSZOI,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJSOIZ,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
TLJSOZI,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJZISO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TLJZIOS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TLJZSIO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZSOI,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZOIS,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJZOSI,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJOISZ,X,X,X,X,X,O,O,X,X,X,X,X,O,X,O,X,X
TLJOIZS,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O
TLJOSIZ,X,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X
TLJOSZI,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJOZIS,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJOZSI,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSIJZO,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,O,X
TLSIJOZ,X,X,X,O,X,X,X,X,X,O,X,X,X,O,O,X,X
TLSIZJO,O,X,X,X,O,X,X,X,X,O,X,X,X,O,X,O,X
TLSIZOJ,O,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X
TLSIOJZ,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
TLSIOZJ,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
TLSJIZO,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,O,X
TLSJIOZ,X,X,X,O,X,X,X,X,X,O,X,X,X,O,O,X,X
TLSJZIO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSJZOI,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSJOIZ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSJOZI,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSZIJO,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
TLSZIOJ,O,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TLSZJIO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSZJOI,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSZOIJ,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSZOJI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSOIJZ,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TLSOIZJ,O,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TLSOJIZ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSOJZI,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSOZIJ,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSOZJI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZIJSO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TLZIJOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TLZISJO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZISOJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZIOJS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZIOSJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZJISO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TLZJIOS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TLZJSIO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZJSOI,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZJOIS,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZJOSI,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZSIJO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZSIOJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZSJIO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZSJOI,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZSOIJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZSOJI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZOIJS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZOISJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZOJIS,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZOJSI,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZOSIJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZOSJI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOIJSZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
TLOIJZS,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
TLOISJZ,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TLOISZJ,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLOIZJS,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLOIZSJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOJISZ,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X
TLOJIZS,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
TLOJSIZ,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TLOJSZI,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLOJZIS,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLOJZSI,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLOSIJZ,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TLOSIZJ,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLOSJIZ,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TLOSJZI,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLOSZIJ,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLOSZJI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOZIJS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLOZISJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOZJIS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLOZJSI,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLOZSIJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOZSJI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJILSZO,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,O,X
TJILSOZ,X,X,X,X,X,X,X,X,O,O,X,X,O,X,O,X,X
TJILZSO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X
TJILZOS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O
TJILOSZ,X,X,X,X,X,O,O,X,O,X,X,X,O,X,O,X,X
TJILOZS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O
TJISLZO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
TJISLOZ,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
TJISZLO,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X
TJISZOL,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,O,O
TJISOLZ,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
TJISOZL,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,O,O
TJIZLSO,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X
TJIZLOS,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O
TJIZSLO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TJIZSOL,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O
TJIZOLS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TJIZOSL,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O
TJIOLSZ,X,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X
TJIOLZS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
TJIOSLZ,X,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X
TJIOSZL,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,O,O
TJIOZLS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TJIOZSL,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O
TJLISZO,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X
TJLISOZ,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X
TJLIZSO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X
TJLIZOS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O
TJLIOSZ,X,X,X,X,X,O,O,X,X,X,X,X,O,X,O,X,X
TJLIOZS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O
TJLSIZO,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X
TJLSIOZ,X,X,X,O,X,X,X,X,X,O,X,X,O,X,O,X,X
TJLSZIO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLSZOI,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLSOIZ,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
TJLSOZI,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TJLZISO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TJLZIOS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TJLZSIO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLZSOI,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLZOIS,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TJLZOSI,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TJLOISZ,X,X,X,X,X,O,O,X,X,X,X,X,O,X,O,X,X
TJLOIZS,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O
TJLOSIZ,X,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X
TJLOSZI,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TJLOZIS,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TJLOZSI,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
