sequence,v115@9gA8IeA8IeB8CeA8BeC8DeB8AeB8JeWFJvhFNmBanB?5nBTjB0qBXqB,v115@9gA8IeA8IeB8CeA8BeC8DeB8AeB8JeWFJvhFNmBanB?5nBTjBXqB0qB,v115@9gA8IeA8IeB8CeA8BeC8DeB8AeB8JedFJvhFUhBanB?5nBTjBfrBWvB,v115@9gA8IeA8IeB8CeA8BeC8DeB8AeB8JeGAJvhFNmBRiB?SoB/sB0qBzpB
LJTSIOZ,O,O,O,X
LJTSZIO,X,O,O,X
LJTSZOI,X,O,O,X
LJTSOIZ,O,O,O,X
LJTSOZI,X,O,O,X
LJTZISO,O,X,X,X
LJTZIOS,O,O,X,X
LJTZSIO,O,X,X,X
LJTZSOI,O,X,X,X
LJTZOIS,O,O,X,X
LJTZOSI,O,X,X,X
LJTOISZ,O,O,O,X
LJTOIZS,O,O,X,X
LJTOSIZ,O,O,O,X
LJTOSZI,X,O,O,X
LJTOZIS,O,O,X,X
LJTOZSI,O,X,X,X
LJITSZO,X,O,O,X
LJITSOZ,O,O,O,X
LJITZSO,O,X,X,X
LJITZOS,O,O,X,X
LJITOSZ,O,O,O,X
LJITOZS,O,O,X,X
LJISTZO,X,O,O,X
LJISTOZ,X,O,O,X
LJISZTO,X,X,O,X
LJISZOT,X,X,O,X
LJISOTZ,X,O,O,X
LJISOZT,X,X,O,X
LJIZTSO,O,X,X,X
LJIZTOS,O,X,X,X
LJIZSTO,X,X,O,X
LJIZSOT,X,X,O,X
LJIZOTS,O,X,X,X
LJIZOST,X,X,O,X
LJIOTSZ,O,O,O,X
LJIOTZS,O,O,X,X
LJIOSTZ,X,O,O,X
LJIOSZT,X,X,O,X
LJIOZTS,O,X,X,X
LJIOZST,X,X,O,X
LJSTIZO,X,O,O,X
LJSTIOZ,X,O,O,X
LJSTZIO,X,O,O,X
LJSTZOI,X,O,O,X
LJSTOIZ,X,O,O,X
LJSTOZI,X,O,O,X
LJSITZO,X,O,O,X
LJSITOZ,X,O,O,X
LJSIZTO,X,X,O,X
LJSIZOT,X,X,O,X
LJSIOTZ,X,O,O,X
LJSIOZT,X,X,O,X
LJSZTIO,X,X,O,X
LJSZTOI,X,X,O,X
LJSZITO,X,X,O,X
LJSZIOT,X,X,O,X
LJSZOTI,X,X,O,X
LJSZOIT,X,X,O,X
LJSOTIZ,X,O,O,X
LJSOTZI,X,O,O,X
LJSOITZ,X,O,O,X
LJSOIZT,X,X,O,X
LJSOZTI,X,X,O,X
LJSOZIT,X,X,O,X
LJZTISO,O,X,X,X
LJZTIOS,O,X,X,X
LJZTSIO,O,X,X,X
LJZTSOI,O,X,X,X
LJZTOIS,O,X,X,X
LJZTOSI,O,X,X,X
LJZITSO,O,X,X,X
LJZITOS,O,X,X,X
LJZISTO,X,X,O,X
LJZISOT,X,X,O,X
LJZIOTS,O,X,X,X
LJZIOST,X,X,O,X
LJZSTIO,X,X,O,X
LJZSTOI,X,X,O,X
LJZSITO,X,X,O,X
LJZSIOT,X,X,O,X
LJZSOTI,X,X,O,X
LJZSOIT,X,X,O,X
LJZOTIS,O,X,X,X
LJZOTSI,O,X,X,X
LJZOITS,O,X,X,X
LJZOIST,X,X,O,X
LJZOSTI,X,X,O,X
LJZOSIT,X,X,O,X
LJOTISZ,O,O,O,X
LJOTIZS,O,O,X,X
LJOTSIZ,O,O,O,X
LJOTSZI,X,O,O,X
LJOTZIS,O,O,X,X
LJOTZSI,O,X,X,X
LJOITSZ,O,O,O,X
LJOITZS,O,O,X,X
LJOISTZ,X,O,O,X
LJOISZT,X,X,O,X
LJOIZTS,O,X,X,X
LJOIZST,X,X,O,X
LJOSTIZ,X,O,O,X
LJOSTZI,X,O,O,X
LJOSITZ,X,O,O,X
LJOSIZT,X,X,O,X
LJOSZTI,X,X,O,X
LJOSZIT,X,X,O,X
LJOZTIS,O,X,X,X
LJOZTSI,O,X,X,X
LJOZITS,O,X,X,X
LJOZIST,X,X,O,X
LJOZSTI,X,X,O,X
LJOZSIT,X,X,O,X
LSTIJZO,X,O,O,O
LSTIJOZ,O,O,O,X
LSTIZJO,O,O,O,O
LSTIZOJ,O,O,O,O
LSTIOJZ,O,O,O,X
LSTIOZJ,O,O,O,O
LSTJIZO,X,O,O,O
LSTJIOZ,O,O,O,X
LSTJZIO,X,O,O,O
LSTJZOI,X,O,O,O
LSTJOIZ,O,O,O,X
LSTJOZI,X,O,O,X
LSTZIJO,O,O,O,O
LSTZIOJ,O,O,O,O
LSTZJIO,O,O,O,O
LSTZJOI,O,O,O,O
LSTZOIJ,O,O,O,O
LSTZOJI,O,O,O,O
LSTOIJZ,O,O,O,X
LSTOIZJ,O,O,O,O
LSTOJIZ,O,O,O,X
LSTOJZI,X,O,O,X
LSTOZIJ,O,O,O,O
LSTOZJI,O,O,O,O
LSITJZO,X,O,O,O
LSITJOZ,O,O,O,X
LSITZJO,O,O,O,O
LSITZOJ,O,O,O,O
LSITOJZ,O,O,O,X
LSITOZJ,O,O,O,O
LSIJTZO,X,O,O,O
LSIJTOZ,X,O,O,X
LSIJZTO,X,X,O,O
LSIJZOT,X,X,O,X
LSIJOTZ,X,O,O,X
LSIJOZT,X,X,O,X
LSIZTJO,O,O,O,O
LSIZTOJ,O,O,O,O
LSIZJTO,X,X,O,O
LSIZJOT,X,X,O,X
LSIZOTJ,O,O,O,O
LSIZOJT,X,X,O,X
LSIOTJZ,O,O,O,X
LSIOTZJ,O,O,O,O
LSIOJTZ,X,O,O,X
LSIOJZT,X,X,O,X
LSIOZTJ,O,O,O,O
LSIOZJT,X,X,O,X
LSJTIZO,X,O,O,O
LSJTIOZ,X,O,O,X
LSJTZIO,X,O,O,O
LSJTZOI,X,O,O,O
LSJTOIZ,X,O,O,X
LSJTOZI,X,O,O,X
LSJITZO,X,O,O,O
LSJITOZ,X,O,O,X
LSJIZTO,X,X,O,O
LSJIZOT,X,X,O,X
LSJIOTZ,X,O,O,X
LSJIOZT,X,X,O,X
LSJZTIO,X,X,O,O
LSJZTOI,X,X,O,O
LSJZITO,X,X,O,O
LSJZIOT,X,X,O,X
LSJZOTI,X,X,O,O
LSJZOIT,X,X,O,X
LSJOTIZ,X,O,O,X
LSJOTZI,X,O,O,X
LSJOITZ,X,O,O,X
LSJOIZT,X,X,O,X
LSJOZTI,X,X,O,X
LSJOZIT,X,X,O,X
LSZTIJO,O,O,O,O
LSZTIOJ,O,O,O,O
LSZTJIO,O,O,O,O
LSZTJOI,O,O,O,O
LSZTOIJ,O,O,O,O
LSZTOJI,O,O,O,O
LSZITJO,O,O,O,O
LSZITOJ,O,O,O,O
LSZIJTO,X,X,O,O
LSZIJOT,X,X,O,X
LSZIOTJ,O,O,O,O
LSZIOJT,X,X,O,X
LSZJTIO,X,X,O,O
LSZJTOI,X,X,O,O
LSZJITO,X,X,O,O
LSZJIOT,X,X,O,X
LSZJOTI,X,X,O,O
LSZJOIT,X,X,O,X
LSZOTIJ,O,O,O,O
LSZOTJI,O,O,O,O
LSZOITJ,O,O,O,O
LSZOIJT,X,X,O,X
LSZOJTI,X,X,O,O
LSZOJIT,X,X,O,X
LSOTIJZ,O,O,O,X
LSOTIZJ,O,O,O,O
LSOTJIZ,O,O,O,X
LSOTJZI,X,O,O,X
LSOTZIJ,O,O,O,O
LSOTZJI,O,O,O,O
LSOITJZ,O,O,O,X
LSOITZJ,O,O,O,O
LSOIJTZ,X,O,O,X
LSOIJZT,X,X,O,X
LSOIZTJ,O,O,O,O
LSOIZJT,X,X,O,X
LSOJTIZ,X,O,O,X
LSOJTZI,X,O,O,X
LSOJITZ,X,O,O,X
LSOJIZT,X,X,O,X
LSOJZTI,X,X,O,X
LSOJZIT,X,X,O,X
LSOZTIJ,O,O,O,O
LSOZTJI,O,O,O,O
LSOZITJ,O,O,O,O
LSOZIJT,X,X,O,X
LSOZJTI,X,X,O,O
LSOZJIT,X,X,O,X
LZTIJSO,O,X,X,X
LZTIJOS,O,O,X,X
LZTISJO,O,O,O,X
LZTISOJ,O,O,O,X
LZTIOJS,O,O,X,X
LZTIOSJ,O,O,O,X
LZTJISO,O,X,X,X
LZTJIOS,O,O,X,X
LZTJSIO,O,X,X,O
LZTJSOI,O,X,X,O
LZTJOIS,O,O,X,X
LZTJOSI,O,X,X,X
LZTSIJO,O,O,O,O
LZTSIOJ,O,O,O,O
LZTSJIO,O,O,O,O
LZTSJOI,O,O,O,O
LZTSOIJ,O,O,O,O
LZTSOJI,O,O,O,O
LZTOIJS,O,O,X,X
LZTOISJ,O,O,O,X
LZTOJIS,O,O,X,X
LZTOJSI,O,X,X,X
LZTOSIJ,O,O,O,X
LZTOSJI,O,O,O,X
LZITJSO,O,X,X,X
LZITJOS,O,O,X,X
LZITSJO,O,O,O,X
LZITSOJ,O,O,O,X
LZITOJS,O,O,X,X
LZITOSJ,O,O,O,X
LZIJTSO,O,X,X,X
LZIJTOS,O,X,X,X
LZIJSTO,X,X,O,X
LZIJSOT,X,X,O,X
LZIJOTS,O,X,X,X
LZIJOST,X,X,O,X
LZISTJO,O,O,O,X
LZISTOJ,O,O,O,X
LZISJTO,X,X,O,X
LZISJOT,X,X,O,X
LZISOTJ,O,O,O,X
LZISOJT,X,X,O,X
LZIOTJS,O,O,X,X
LZIOTSJ,O,O,O,X
LZIOJTS,O,X,X,X
LZIOJST,X,X,O,X
LZIOSTJ,O,O,O,X
LZIOSJT,X,X,O,X
LZJTISO,O,X,X,X
LZJTIOS,O,X,X,X
LZJTSIO,O,X,X,O
LZJTSOI,O,X,X,O
LZJTOIS,O,X,X,X
LZJTOSI,O,X,X,X
LZJITSO,O,X,X,X
LZJITOS,O,X,X,X
LZJISTO,X,X,O,X
LZJISOT,X,X,O,X
LZJIOTS,O,X,X,X
LZJIOST,X,X,O,X
LZJSTIO,X,X,O,O
LZJSTOI,X,X,O,O
LZJSITO,X,X,O,O
LZJSIOT,X,X,O,X
LZJSOTI,X,X,O,O
LZJSOIT,X,X,O,X
LZJOTIS,O,X,X,X
LZJOTSI,O,X,X,X
LZJOITS,O,X,X,X
LZJOIST,X,X,O,X
LZJOSTI,X,X,O,X
LZJOSIT,X,X,O,X
LZSTIJO,O,O,O,O
LZSTIOJ,O,O,O,O
LZSTJIO,O,O,O,O
LZSTJOI,O,O,O,O
LZSTOIJ,O,O,O,O
LZSTOJI,O,O,O,O
LZSITJO,O,O,O,O
LZSITOJ,O,O,O,O
LZSIJTO,X,X,O,O
LZSIJOT,X,X,O,X
LZSIOTJ,O,O,O,O
LZSIOJT,X,X,O,X
LZSJTIO,X,X,O,O
LZSJTOI,X,X,O,O
LZSJITO,X,X,O,O
LZSJIOT,X,X,O,X
LZSJOTI,X,X,O,O
LZSJOIT,X,X,O,X
LZSOTIJ,O,O,O,O
LZSOTJI,O,O,O,O
LZSOITJ,O,O,O,O
LZSOIJT,X,X,O,X
LZSOJTI,X,X,O,O
LZSOJIT,X,X,O,X
LZOTIJS,O,O,X,X
LZOTISJ,O,O,O,X
LZOTJIS,O,O,X,X
LZOTJSI,O,X,X,X
LZOTSIJ,O,O,O,X
LZOTSJI,O,O,O,X
LZOITJS,O,O,X,X
LZOITSJ,O,O,O,X
LZOIJTS,O,X,X,X
LZOIJST,X,X,O,X
LZOISTJ,O,O,O,X
LZOISJT,X,X,O,X
LZOJTIS,O,X,X,X
LZOJTSI,O,X,X,X
LZOJITS,O,X,X,X
LZOJIST,X,X,O,X
LZOJSTI,X,X,O,X
LZOJSIT,X,X,O,X
LZOSTIJ,O,O,O,X
LZOSTJI,O,O,O,X
LZOSITJ,O,O,O,X
LZOSIJT,X,X,O,X
LZOSJTI,X,X,O,X
LZOSJIT,X,X,O,X
LOTIJSZ,O,O,O,X
LOTIJZS,O,O,X,X
LOTISJZ,O,O,O,X
LOTISZJ,O,O,O,X
LOTIZJS,O,O,X,X
LOTIZSJ,O,O,O,X
LOTJISZ,O,O,O,X
LOTJIZS,O,O,X,X
LOTJSIZ,O,O,O,X
LOTJSZI,X,O,O,X
LOTJZIS,O,O,X,X
LOTJZSI,O,X,X,X
LOTSIJZ,O,O,O,X
LOTSIZJ,O,O,O,X
LOTSJIZ,O,O,O,X
LOTSJZI,X,O,O,X
LOTSZIJ,O,O,O,X
LOTSZJI,O,O,O,X
LOTZIJS,O,O,X,X
LOTZISJ,O,O,O,X
LOTZJIS,O,O,X,X
LOTZJSI,O,X,X,X
LOTZSIJ,O,O,O,X
LOTZSJI,O,O,O,X
LOITJSZ,O,O,O,X
LOITJZS,O,O,X,X
LOITSJZ,O,O,O,X
LOITSZJ,O,O,O,X
LOITZJS,O,O,X,X
LOITZSJ,O,O,O,X
LOIJTSZ,O,O,O,X
LOIJTZS,O,O,X,X
LOIJSTZ,X,O,O,X
LOIJSZT,X,X,O,X
LOIJZTS,O,X,X,X
LOIJZST,X,X,O,X
LOISTJZ,O,O,O,X
LOISTZJ,O,O,O,X
LOISJTZ,X,O,O,X
LOISJZT,X,X,O,X
LOISZTJ,O,O,O,X
LOISZJT,X,X,O,X
LOIZTJS,O,O,X,X
LOIZTSJ,O,O,O,X
LOIZJTS,O,X,X,X
LOIZJST,X,X,O,X
LOIZSTJ,O,O,O,X
LOIZSJT,X,X,O,X
LOJTISZ,O,O,O,X
LOJTIZS,O,O,X,X
LOJTSIZ,O,O,O,X
LOJTSZI,X,O,O,X
LOJTZIS,O,O,X,X
LOJTZSI,O,X,X,X
LOJITSZ,O,O,O,X
LOJITZS,O,O,X,X
LOJISTZ,X,O,O,X
LOJISZT,X,X,O,X
LOJIZTS,O,X,X,X
LOJIZST,X,X,O,X
LOJSTIZ,X,O,O,X
LOJSTZI,X,O,O,X
LOJSITZ,X,O,O,X
LOJSIZT,X,X,O,X
LOJSZTI,X,X,O,X
LOJSZIT,X,X,O,X
LOJZTIS,O,X,X,X
LOJZTSI,O,X,X,X
LOJZITS,O,X,X,X
LOJZIST,X,X,O,X
LOJZSTI,X,X,O,X
LOJZSIT,X,X,O,X
LOSTIJZ,O,O,O,X
LOSTIZJ,O,O,O,X
LOSTJIZ,O,O,O,X
LOSTJZI,X,O,O,X
LOSTZIJ,O,O,O,X
LOSTZJI,O,O,O,X
LOSITJZ,O,O,O,X
LOSITZJ,O,O,O,X
LOSIJTZ,X,O,O,X
LOSIJZT,X,X,O,X
LOSIZTJ,O,O,O,X
LOSIZJT,X,X,O,X
LOSJTIZ,X,O,O,X
LOSJTZI,X,O,O,X
LOSJITZ,X,O,O,X
LOSJIZT,X,X,O,X
LOSJZTI,X,X,O,X
LOSJZIT,X,X,O,X
LOSZTIJ,O,O,O,X
LOSZTJI,O,O,O,X
LOSZITJ,O,O,O,X
LOSZIJT,X,X,O,X
LOSZJTI,X,X,O,X
LOSZJIT,X,X,O,X
LOZTIJS,O,O,X,X
LOZTISJ,O,O,O,X
LOZTJIS,O,O,X,X
LOZTJSI,O,X,X,X
LOZTSIJ,O,O,O,X
LOZTSJI,O,O,O,X
LOZITJS,O,O,X,X
LOZITSJ,O,O,O,X
LOZIJTS,O,X,X,X
LOZIJST,X,X,O,X
LOZISTJ,O,O,O,X
LOZISJT,X,X,O,X
LOZJTIS,O,X,X,X
LOZJTSI,O,X,X,X
LOZJITS,O,X,X,X
LOZJIST,X,X,O,X
LOZJSTI,X,X,O,X
LOZJSIT,X,X,O,X
LOZSTIJ,O,O,O,X
LOZSTJI,O,O,O,X
LOZSITJ,O,O,O,X
LOZSIJT,X,X,O,X
LOZSJTI,X,X,O,X
LOZSJIT,X,X,O,X
JTILSZO,X,O,O,X
JTILSOZ,O,O,O,X
JTILZSO,O,X,X,X
JTILZOS,O,O,X,X
JTILOSZ,O,O,O,X
JTILOZS,O,O,X,X
JTISLZO,X,O,O,X
JTISLOZ,O,O,O,X
JTISZLO,X,O,O,X
JTISZOL,X,O,O,X
JTISOLZ,O,O,O,X
JTISOZL,X,O,O,X
JTIZLSO,O,X,X,X
JTIZLOS,O,O,X,X
JTIZSLO,O,X,X,X
JTIZSOL,O,X,X,X
JTIZOLS,O,O,X,X
JTIZOSL,O,X,X,X
JTIOLSZ,O,O,O,X
JTIOLZS,O,O,X,X
JTIOSLZ,O,O,O,X
JTIOSZL,X,O,O,X
JTIOZLS,O,O,X,X
JTIOZSL,O,X,X,X
JTLISZO,X,O,O,X
JTLISOZ,O,O,O,X
JTLIZSO,O,X,X,X
JTLIZOS,O,O,X,X
JTLIOSZ,O,O,O,X
JTLIOZS,O,O,X,X
JTLSIZO,X,O,O,X
JTLSIOZ,O,O,O,X
JTLSZIO,X,O,O,X
JTLSZOI,X,O,O,X
JTLSOIZ,O,O,O,X
JTLSOZI,X,O,O,X
JTLZISO,O,X,X,X
JTLZIOS,O,O,X,X
JTLZSIO,O,X,X,X
JTLZSOI,O,X,X,X
JTLZOIS,O,O,X,X
JTLZOSI,O,X,X,X
JTLOISZ,O,O,O,X
JTLOIZS,O,O,X,X
JTLOSIZ,O,O,O,X
JTLOSZI,X,O,O,X
JTLOZIS,O,O,X,X
JTLOZSI,O,X,X,X
JTSILZO,X,O,O,O
JTSILOZ,O,O,O,X
JTSIZLO,X,O,O,O
JTSIZOL,X,O,O,O
JTSIOLZ,O,O,O,X
JTSIOZL,X,O,O,X
JTSLIZO,X,O,O,O
JTSLIOZ,O,O,O,X
JTSLZIO,X,O,O,O
JTSLZOI,X,O,O,O
JTSLOIZ,O,O,O,X
JTSLOZI,X,O,O,X
JTSZILO,X,O,O,O
JTSZIOL,X,O,O,O
JTSZLIO,X,O,O,O
JTSZLOI,X,O,O,O
JTSZOIL,X,O,O,O
JTSZOLI,X,O,O,O
JTSOILZ,O,O,O,X
JTSOIZL,X,O,O,X
JTSOLIZ,O,O,O,X
JTSOLZI,X,O,O,X
JTSOZIL,X,O,O,X
JTSOZLI,X,O,O,X
JTZILSO,O,X,X,X
JTZILOS,O,O,X,X
JTZISLO,O,X,X,O
JTZISOL,O,X,X,O
JTZIOLS,O,O,X,X
JTZIOSL,O,X,X,X
JTZLISO,O,X,X,X
JTZLIOS,O,O,X,X
JTZLSIO,O,X,X,O
JTZLSOI,O,X,X,O
JTZLOIS,O,O,X,X
JTZLOSI,O,X,X,X
JTZSILO,O,X,X,O
JTZSIOL,O,X,X,O
JTZSLIO,O,X,X,O
JTZSLOI,O,X,X,O
JTZSOIL,O,X,X,O
JTZSOLI,O,X,X,O
JTZOILS,O,O,X,X
JTZOISL,O,X,X,X
JTZOLIS,O,O,X,X
JTZOLSI,O,X,X,X
JTZOSIL,O,X,X,O
JTZOSLI,O,X,X,O
JTOILSZ,O,O,O,X
JTOILZS,O,O,X,X
JTOISLZ,O,O,O,X
JTOISZL,X,O,O,X
JTOIZLS,O,O,X,X
JTOIZSL,O,X,X,X
JTOLISZ,O,O,O,X
JTOLIZS,O,O,X,X
JTOLSIZ,O,O,O,X
JTOLSZI,X,O,O,X
JTOLZIS,O,O,X,X
JTOLZSI,O,X,X,X
JTOSILZ,O,O,O,X
JTOSIZL,X,O,O,X
JTOSLIZ,O,O,O,X
JTOSLZI,X,O,O,X
JTOSZIL,X,O,O,X
JTOSZLI,X,O,O,X
JTOZILS,O,O,X,X
JTOZISL,O,X,X,X
JTOZLIS,O,O,X,X
JTOZLSI,O,X,X,X
JTOZSIL,O,X,X,X
JTOZSLI,O,X,X,X
JITLSZO,X,O,O,X
JITLSOZ,O,O,O,X
JITLZSO,O,X,X,X
JITLZOS,O,O,X,X
JITLOSZ,O,O,O,X
JITLOZS,O,O,X,X
JITSLZO,X,O,O,X
JITSLOZ,O,O,O,X
JITSZLO,X,O,O,X
JITSZOL,X,O,O,X
JITSOLZ,O,O,O,X
JITSOZL,X,O,O,X
JITZLSO,O,X,X,X
JITZLOS,O,O,X,X
JITZSLO,O,X,X,X
JITZSOL,O,X,X,X
JITZOLS,O,O,X,X
JITZOSL,O,X,X,X
JITOLSZ,O,O,O,X
JITOLZS,O,O,X,X
JITOSLZ,O,O,O,X
JITOSZL,X,O,O,X
JITOZLS,O,O,X,X
JITOZSL,O,X,X,X
JILTSZO,X,O,O,X
JILTSOZ,O,O,O,X
JILTZSO,O,X,X,X
JILTZOS,O,O,X,X
JILTOSZ,O,O,O,X
JILTOZS,O,O,X,X
JILSTZO,X,O,O,X
JILSTOZ,X,O,O,X
JILSZTO,X,X,O,X
JILSZOT,X,X,O,X
JILSOTZ,X,O,O,X
JILSOZT,X,X,O,X
JILZTSO,O,X,X,X
JILZTOS,O,X,X,X
JILZSTO,X,X,O,X
JILZSOT,X,X,O,X
JILZOTS,O,X,X,X
JILZOST,X,X,O,X
JILOTSZ,O,O,O,X
JILOTZS,O,O,X,X
JILOSTZ,X,O,O,X
JILOSZT,X,X,O,X
JILOZTS,O,X,X,X
JILOZST,X,X,O,X
JISTLZO,X,O,O,X
JISTLOZ,O,O,O,X
JISTZLO,X,O,O,X
JISTZOL,X,O,O,X
JISTOLZ,O,O,O,X
JISTOZL,X,O,O,X
JISLTZO,X,O,O,X
JISLTOZ,X,O,O,X
JISLZTO,X,X,O,X
JISLZOT,X,X,O,X
JISLOTZ,X,O,O,X
JISLOZT,X,X,O,X
JISZTLO,X,O,O,X
JISZTOL,X,O,O,X
JISZLTO,X,X,O,X
JISZLOT,X,X,O,X
JISZOTL,X,O,O,X
JISZOLT,X,X,O,X
JISOTLZ,O,O,O,X
JISOTZL,X,O,O,X
JISOLTZ,X,O,O,X
JISOLZT,X,X,O,X
JISOZTL,X,O,O,X
JISOZLT,X,X,O,X
JIZTLSO,O,X,X,X
JIZTLOS,O,O,X,X
JIZTSLO,O,X,X,X
JIZTSOL,O,X,X,X
JIZTOLS,O,O,X,X
JIZTOSL,O,X,X,X
JIZLTSO,O,X,X,X
JIZLTOS,O,X,X,X
JIZLSTO,X,X,O,X
JIZLSOT,X,X,O,X
JIZLOTS,O,X,X,X
JIZLOST,X,X,O,X
JIZSTLO,O,X,O,X
JIZSTOL,O,X,O,X
JIZSLTO,X,X,O,X
JIZSLOT,X,X,O,X
JIZSOTL,O,X,O,X
JIZSOLT,X,X,O,X
JIZOTLS,O,O,X,X
JIZOTSL,O,X,X,X
JIZOLTS,O,X,X,X
JIZOLST,X,X,O,X
JIZOSTL,O,X,O,X
JIZOSLT,X,X,O,X
JIOTLSZ,O,O,O,X
JIOTLZS,O,O,X,X
JIOTSLZ,O,O,O,X
JIOTSZL,X,O,O,X
JIOTZLS,O,O,X,X
JIOTZSL,O,X,X,X
JIOLTSZ,O,O,O,X
JIOLTZS,O,O,X,X
JIOLSTZ,X,O,O,X
JIOLSZT,X,X,O,X
JIOLZTS,O,X,X,X
JIOLZST,X,X,O,X
JIOSTLZ,O,O,O,X
JIOSTZL,X,O,O,X
JIOSLTZ,X,O,O,X
JIOSLZT,X,X,O,X
JIOSZTL,X,O,O,X
JIOSZLT,X,X,O,X
JIOZTLS,O,O,X,X
JIOZTSL,O,X,X,X
JIOZLTS,O,X,X,X
JIOZLST,X,X,O,X
JIOZSTL,O,X,O,X
JIOZSLT,X,X,O,X
JLTISZO,X,O,O,X
JLTISOZ,O,O,O,X
JLTIZSO,O,X,X,X
JLTIZOS,O,O,X,X
JLTIOSZ,O,O,O,X
JLTIOZS,O,O,X,X
JLTSIZO,X,O,O,X
JLTSIOZ,O,O,O,X
JLTSZIO,X,O,O,X
JLTSZOI,X,O,O,X
JLTSOIZ,O,O,O,X
JLTSOZI,X,O,O,X
JLTZISO,O,X,X,X
JLTZIOS,O,O,X,X
JLTZSIO,O,X,X,X
JLTZSOI,O,X,X,X
JLTZOIS,O,O,X,X
JLTZOSI,O,X,X,X
JLTOISZ,O,O,O,X
JLTOIZS,O,O,X,X
JLTOSIZ,O,O,O,X
JLTOSZI,X,O,O,X
JLTOZIS,O,O,X,X
JLTOZSI,O,X,X,X
JLITSZO,X,O,O,X
JLITSOZ,O,O,O,X
JLITZSO,O,X,X,X
JLITZOS,O,O,X,X
JLITOSZ,O,O,O,X
JLITOZS,O,O,X,X
JLISTZO,X,O,O,X
JLISTOZ,X,O,O,X
JLISZTO,X,X,O,X
JLISZOT,X,X,O,X
JLISOTZ,X,O,O,X
JLISOZT,X,X,O,X
JLIZTSO,O,X,X,X
JLIZTOS,O,X,X,X
JLIZSTO,X,X,O,X
JLIZSOT,X,X,O,X
JLIZOTS,O,X,X,X
JLIZOST,X,X,O,X
JLIOTSZ,O,O,O,X
JLIOTZS,O,O,X,X
JLIOSTZ,X,O,O,X
JLIOSZT,X,X,O,X
JLIOZTS,O,X,X,X
JLIOZST,X,X,O,X
JLSTIZO,X,O,O,X
JLSTIOZ,X,O,O,X
JLSTZIO,X,O,O,X
JLSTZOI,X,O,O,X
JLSTOIZ,X,O,O,X
JLSTOZI,X,O,O,X
JLSITZO,X,O,O,X
JLSITOZ,X,O,O,X
JLSIZTO,X,X,O,X
JLSIZOT,X,X,O,X
JLSIOTZ,X,O,O,X
JLSIOZT,X,X,O,X
JLSZTIO,X,X,O,X
JLSZTOI,X,X,O,X
JLSZITO,X,X,O,X
JLSZIOT,X,X,O,X
JLSZOTI,X,X,O,X
JLSZOIT,X,X,O,X
JLSOTIZ,X,O,O,X
JLSOTZI,X,O,O,X
JLSOITZ,X,O,O,X
JLSOIZT,X,X,O,X
JLSOZTI,X,X,O,X
JLSOZIT,X,X,O,X
JLZTISO,O,X,X,X
JLZTIOS,O,X,X,X
JLZTSIO,O,X,X,X
JLZTSOI,O,X,X,X
JLZTOIS,O,X,X,X
JLZTOSI,O,X,X,X
JLZITSO,O,X,X,X
JLZITOS,O,X,X,X
JLZISTO,X,X,O,X
JLZISOT,X,X,O,X
JLZIOTS,O,X,X,X
JLZIOST,X,X,O,X
JLZSTIO,X,X,O,X
JLZSTOI,X,X,O,X
JLZSITO,X,X,O,X
JLZSIOT,X,X,O,X
JLZSOTI,X,X,O,X
JLZSOIT,X,X,O,X
JLZOTIS,O,X,X,X
JLZOTSI,O,X,X,X
JLZOITS,O,X,X,X
JLZOIST,X,X,O,X
JLZOSTI,X,X,O,X
JLZOSIT,X,X,O,X
JLOTISZ,O,O,O,X
JLOTIZS,O,O,X,X
JLOTSIZ,O,O,O,X
JLOTSZI,X,O,O,X
JLOTZIS,O,O,X,X
JLOTZSI,O,X,X,X
JLOITSZ,O,O,O,X
JLOITZS,O,O,X,X
JLOISTZ,X,O,O,X
JLOISZT,X,X,O,X
JLOIZTS,O,X,X,X
JLOIZST,X,X,O,X
JLOSTIZ,X,O,O,X
JLOSTZI,X,O,O,X
JLOSITZ,X,O,O,X
JLOSIZT,X,X,O,X
JLOSZTI,X,X,O,X
JLOSZIT,X,X,O,X
JLOZTIS,O,X,X,X
JLOZTSI,O,X,X,X
JLOZITS,O,X,X,X
JLOZIST,X,X,O,X
JLOZSTI,X,X,O,X
JLOZSIT,X,X,O,X
JSTILZO,X,O,O,O
JSTILOZ,O,O,O,X
JSTIZLO,X,O,O,O
JSTIZOL,X,O,O,O
JSTIOLZ,O,O,O,X
JSTIOZL,X,O,O,X
JSTLIZO,X,O,O,O
JSTLIOZ,O,O,O,X
JSTLZIO,X,O,O,O
JSTLZOI,X,O,O,O
JSTLOIZ,O,O,O,X
JSTLOZI,X,O,O,X
JSTZILO,X,O,O,O
JSTZIOL,X,O,O,O
JSTZLIO,X,O,O,O
JSTZLOI,X,O,O,O
JSTZOIL,X,O,O,O
JSTZOLI,X,O,O,O
JSTOILZ,O,O,O,X
JSTOIZL,X,O,O,X
JSTOLIZ,O,O,O,X
JSTOLZI,X,O,O,X
JSTOZIL,X,O,O,X
JSTOZLI,X,O,O,X
JSITLZO,X,O,O,O
JSITLOZ,O,O,O,X
JSITZLO,X,O,O,O
JSITZOL,X,O,O,O
JSITOLZ,O,O,O,X
JSITOZL,X,O,O,X
JSILTZO,X,O,O,O
JSILTOZ,X,O,O,X
