sequence,v115@RhA8EeC8AeC8BeE8JeT/IvhFelB5lBihB3iB9oBcrB,v115@RhA8EeC8AeC8BeE8Je/EJvhFZmBtmB0iB6oBTlBGqB,v115@RhA8EeC8AeC8BeE8Je/EJvhFRgBtmB0iB6oB2qBzqB,v115@RhA8EeC8AeC8BeE8Je/EJvhFRgBtmB0iB6oBTlBerB,v115@RhA8EeC8AeC8BeE8Jem/IvhFRhB3iB9oB0kBqqBTrB,v115@RhA8EeC8AeC8BeE8Jex/IvhFylBumB3iB9oB0kBzqB,v115@RhA8EeC8AeC8BeE8Jem/IvhF5lB3iB9oB0kBTmBirB
TOILZSJ,X,O,X,X,O,O,O
TOIJLSZ,O,O,X,X,O,O,X
TOIJLZS,O,O,X,X,O,O,X
TOIJSLZ,O,O,X,X,O,O,X
TOIJSZL,O,O,X,X,X,O,O
TOIJZLS,O,O,X,X,X,O,O
TOIJZSL,O,O,X,X,X,O,O
TOISLJZ,X,O,X,X,O,O,X
TOISLZJ,X,O,X,X,O,O,O
TOISJLZ,O,O,X,X,O,O,X
TOISJZL,O,O,X,X,X,O,O
TOISZLJ,O,O,X,X,O,O,O
TOISZJL,O,O,X,X,X,O,O
TOIZLJS,O,O,X,X,O,O,O
TOIZLSJ,O,O,X,X,O,O,O
TOIZJLS,O,O,X,X,X,O,O
TOIZJSL,O,O,X,X,X,O,O
TOIZSLJ,O,O,X,X,O,O,O
TOIZSJL,O,O,X,X,X,O,O
TOLIJSZ,X,O,X,X,O,O,X
TOLIJZS,X,O,X,X,O,O,X
TOLISJZ,X,O,X,X,O,O,X
TOLISZJ,X,O,X,X,O,O,O
TOLIZJS,X,O,X,X,O,O,O
TOLIZSJ,X,O,X,X,O,O,O
TOLJISZ,O,O,X,O,O,O,X
TOLJIZS,O,O,X,O,O,O,X
TOLJSIZ,O,O,O,O,O,O,X
TOLJSZI,O,O,O,O,O,O,X
TOLJZIS,O,O,X,O,O,O,X
TOLJZSI,O,O,O,O,O,O,X
TOLSIJZ,X,O,X,X,O,O,X
TOLSIZJ,X,O,O,O,O,O,O
TOLSJIZ,O,O,O,O,O,O,X
TOLSJZI,O,O,O,O,O,O,X
TOLSZIJ,O,O,O,O,O,O,O
TOLSZJI,O,O,O,O,O,O,O
TOLZIJS,O,O,X,X,O,O,O
TOLZISJ,O,O,X,X,O,O,O
TOLZJIS,O,O,X,O,O,O,O
TOLZJSI,O,O,O,O,O,O,O
TOLZSIJ,O,O,O,O,O,O,O
TOLZSJI,O,O,O,O,O,O,O
TOJILSZ,O,O,X,O,O,O,X
TOJILZS,O,O,X,O,O,O,X
TOJISLZ,O,O,X,O,O,O,X
TOJISZL,O,O,X,O,X,O,O
TOJIZLS,O,O,X,O,X,O,O
TOJIZSL,O,O,X,O,X,O,O
TOJLISZ,O,O,X,O,O,O,X
TOJLIZS,O,O,X,O,O,O,X
TOJLSIZ,O,O,O,O,O,O,X
TOJLSZI,O,O,O,O,O,O,X
TOJLZIS,O,O,X,O,O,O,X
TOJLZSI,O,O,O,O,O,O,X
TOJSILZ,O,O,O,O,O,O,X
TOJSIZL,O,O,O,O,X,O,O
TOJSLIZ,O,O,O,O,O,O,X
TOJSLZI,O,O,O,O,O,O,X
TOJSZIL,O,O,O,O,X,O,O
TOJSZLI,O,O,O,O,O,O,O
TOJZILS,O,O,X,O,X,O,O
TOJZISL,O,O,X,O,X,O,O
TOJZLIS,O,O,X,O,O,O,O
TOJZLSI,O,O,O,O,O,O,O
TOJZSIL,O,O,O,O,X,O,O
TOJZSLI,O,O,O,O,O,O,O
TOSILJZ,X,O,X,X,O,O,X
TOSILZJ,X,O,O,O,O,O,O
TOSIJLZ,O,O,X,X,O,O,X
TOSIJZL,O,O,X,X,X,O,O
TOSIZLJ,O,O,O,O,O,O,O
TOSIZJL,O,O,X,X,O,O,O
TOSLIJZ,X,O,X,X,O,O,X
TOSLIZJ,X,O,O,O,O,O,O
TOSLJIZ,O,O,O,O,O,O,X
TOSLJZI,O,O,O,O,O,O,X
TOSLZIJ,O,O,O,O,O,O,O
TOSLZJI,O,O,O,O,O,O,O
TOSJILZ,O,O,O,O,O,O,X
TOSJIZL,O,O,O,O,X,O,O
TOSJLIZ,O,O,O,O,O,O,X
TOSJLZI,O,O,O,O,O,O,X
TOSJZIL,O,O,O,O,X,O,O
TOSJZLI,O,O,O,O,O,O,O
TOSZILJ,O,O,O,O,O,O,O
TOSZIJL,O,O,X,X,O,O,O
TOSZLIJ,O,O,O,O,O,O,O
TOSZLJI,O,O,O,O,O,O,O
TOSZJIL,O,O,O,O,O,O,O
TOSZJLI,O,O,O,O,O,O,O
TOZILJS,O,O,X,X,O,O,O
TOZILSJ,O,O,X,X,O,O,O
TOZIJLS,O,O,X,X,X,O,O
TOZIJSL,O,O,X,X,X,O,O
TOZISLJ,O,O,X,X,O,O,O
TOZISJL,O,O,X,X,X,O,O
TOZLIJS,O,O,X,X,O,O,O
TOZLISJ,O,O,X,X,O,O,O
TOZLJIS,O,O,X,O,O,O,O
TOZLJSI,O,O,O,O,O,O,O
TOZLSIJ,O,O,O,O,O,O,O
TOZLSJI,O,O,O,O,O,O,O
TOZJILS,O,O,X,O,X,O,O
TOZJISL,O,O,X,O,X,O,O
TOZJLIS,O,O,X,O,O,O,O
TOZJLSI,O,O,O,O,O,O,O
TOZJSIL,O,O,O,O,O,O,O
TOZJSLI,O,O,O,O,O,O,O
TOZSILJ,O,O,O,O,O,O,O
TOZSIJL,O,O,X,X,O,O,O
TOZSLIJ,O,O,O,O,O,O,O
TOZSLJI,O,O,O,O,O,O,O
TOZSJIL,O,O,O,O,O,O,O
TOZSJLI,O,O,O,O,O,O,O
ITLJSZO,O,O,O,O,O,X,X
ITLJSOZ,O,O,O,O,X,X,X
ITLJZSO,O,O,O,O,O,X,X
ITLJZOS,O,O,X,O,O,X,X
ITLJOSZ,O,O,X,O,X,X,X
ITLJOZS,O,O,X,O,X,X,X
ITLSJZO,O,O,O,O,O,X,X
ITLSJOZ,O,O,O,O,X,X,X
ITLSZJO,O,O,O,O,O,X,O
ITLSZOJ,O,O,O,O,O,X,O
ITLSOJZ,X,O,X,X,O,X,X
ITLSOZJ,X,O,O,O,O,X,O
ITLZJSO,O,O,O,O,O,X,O
ITLZJOS,O,O,X,O,O,X,O
ITLZSJO,O,O,O,O,O,X,O
ITLZSOJ,O,O,O,O,O,X,O
ITLZOJS,O,O,X,X,O,X,O
ITLZOSJ,O,O,X,X,O,X,O
ITLOJSZ,X,O,X,X,O,X,X
ITLOJZS,X,O,X,X,O,X,X
ITLOSJZ,X,O,X,X,O,X,X
ITLOSZJ,X,O,X,X,O,X,O
ITLOZJS,X,O,X,X,O,X,O
ITLOZSJ,X,O,X,X,O,X,O
ITJLSZO,O,O,O,O,X,X,X
ITJLSOZ,O,O,O,O,X,X,X
ITJLZSO,O,O,O,O,X,X,X
ITJLZOS,O,O,X,O,X,X,X
ITJLOSZ,O,O,X,O,X,X,X
ITJLOZS,O,O,X,O,X,X,X
ITJSLZO,O,O,O,O,X,X,X
ITJSLOZ,O,O,O,O,X,X,X
ITJSZLO,O,O,O,O,X,O,O
ITJSZOL,O,O,O,O,X,O,O
ITJSOLZ,O,O,O,O,X,O,X
ITJSOZL,O,O,O,O,X,O,O
ITJZLSO,O,O,O,O,X,O,O
ITJZLOS,O,O,X,O,X,O,O
ITJZSLO,O,O,O,O,X,O,O
ITJZSOL,O,O,O,O,X,O,O
ITJZOLS,O,O,X,O,X,O,O
ITJZOSL,O,O,X,O,X,O,O
ITJOLSZ,O,O,X,O,X,O,X
ITJOLZS,O,O,X,O,X,O,X
ITJOSLZ,O,O,X,O,X,O,X
ITJOSZL,O,O,X,O,X,O,O
ITJOZLS,O,O,X,O,X,O,O
ITJOZSL,O,O,X,O,X,O,O
ITSLJZO,O,O,O,O,O,X,X
ITSLJOZ,O,O,O,O,X,X,X
ITSLZJO,O,O,O,O,O,X,O
ITSLZOJ,O,O,O,O,O,X,O
ITSLOJZ,X,O,X,X,O,X,X
ITSLOZJ,X,O,O,O,O,X,O
ITSJLZO,O,O,O,O,O,X,X
ITSJLOZ,O,O,O,O,X,X,X
ITSJZLO,O,O,O,O,O,O,O
ITSJZOL,O,O,O,O,O,O,O
ITSJOLZ,O,O,O,O,O,O,X
ITSJOZL,O,O,O,O,X,O,O
ITSZLJO,O,O,O,O,O,O,O
ITSZLOJ,O,O,O,O,O,O,O
ITSZJLO,O,O,O,O,O,O,O
ITSZJOL,O,O,O,O,O,O,O
ITSZOLJ,O,O,O,O,O,O,O
ITSZOJL,O,O,X,X,O,O,O
ITSOLJZ,X,O,X,X,O,O,X
ITSOLZJ,X,O,O,O,O,O,O
ITSOJLZ,O,O,X,X,O,O,X
ITSOJZL,O,O,X,X,X,O,O
ITSOZLJ,O,O,O,O,O,O,O
ITSOZJL,O,O,X,X,O,O,O
ITZLJSO,O,O,O,O,O,O,O
ITZLJOS,O,O,X,O,O,O,O
ITZLSJO,O,O,O,O,O,O,O
ITZLSOJ,O,O,O,O,O,O,O
ITZLOJS,O,O,X,X,O,O,O
ITZLOSJ,O,O,X,X,O,O,O
ITZJLSO,O,O,O,O,O,O,O
ITZJLOS,O,O,X,O,O,O,O
ITZJSLO,O,O,O,O,O,O,O
ITZJSOL,O,O,O,O,O,O,O
ITZJOLS,O,O,X,O,X,O,O
ITZJOSL,O,O,X,O,X,O,O
ITZSLJO,O,O,O,O,O,O,O
ITZSLOJ,O,O,O,O,O,O,O
ITZSJLO,O,O,O,O,O,O,O
ITZSJOL,O,O,O,O,O,O,O
ITZSOLJ,O,O,O,O,O,O,O
ITZSOJL,O,O,X,X,O,O,O
ITZOLJS,O,O,X,X,O,O,O
ITZOLSJ,O,O,X,X,O,O,O
ITZOJLS,O,O,X,X,X,O,O
ITZOJSL,O,O,X,X,X,O,O
ITZOSLJ,O,O,X,X,O,O,O
ITZOSJL,O,O,X,X,X,O,O
ITOLJSZ,X,O,X,X,O,O,X
ITOLJZS,X,O,X,X,O,O,X
ITOLSJZ,X,O,X,X,O,O,X
ITOLSZJ,X,O,X,X,O,O,O
ITOLZJS,X,O,X,X,O,O,O
ITOLZSJ,X,O,X,X,O,O,O
ITOJLSZ,O,O,X,X,O,O,X
ITOJLZS,O,O,X,X,O,O,X
ITOJSLZ,O,O,X,X,O,O,X
ITOJSZL,O,O,X,X,X,O,O
ITOJZLS,O,O,X,X,X,O,O
ITOJZSL,O,O,X,X,X,O,O
ITOSLJZ,X,O,X,X,O,O,X
ITOSLZJ,X,O,X,X,O,O,O
ITOSJLZ,O,O,X,X,O,O,X
ITOSJZL,O,O,X,X,X,O,O
ITOSZLJ,O,O,X,X,O,O,O
ITOSZJL,O,O,X,X,X,O,O
ITOZLJS,O,O,X,X,O,O,O
ITOZLSJ,O,O,X,X,O,O,O
ITOZJLS,O,O,X,X,X,O,O
ITOZJSL,O,O,X,X,X,O,O
ITOZSLJ,O,O,X,X,O,O,O
ITOZSJL,O,O,X,X,X,O,O
ILTJSZO,O,O,O,O,O,X,X
ILTJSOZ,O,O,O,O,X,X,X
ILTJZSO,O,O,O,O,O,X,X
ILTJZOS,O,O,X,O,O,X,X
ILTJOSZ,O,O,X,O,X,X,X
ILTJOZS,O,O,X,O,X,X,X
ILTSJZO,O,O,O,O,O,X,X
ILTSJOZ,O,O,O,O,X,X,X
ILTSZJO,O,O,O,O,O,X,O
ILTSZOJ,O,O,O,O,O,X,O
ILTSOJZ,X,O,X,X,O,X,X
ILTSOZJ,X,O,O,O,O,X,O
ILTZJSO,O,O,O,O,O,X,O
ILTZJOS,O,O,X,O,O,X,O
ILTZSJO,O,O,O,O,O,X,O
ILTZSOJ,O,O,O,O,O,X,O
ILTZOJS,O,O,X,X,O,X,O
ILTZOSJ,O,O,X,X,O,X,O
ILTOJSZ,X,O,X,X,O,X,X
ILTOJZS,X,O,X,X,O,X,X
ILTOSJZ,X,O,X,X,O,X,X
ILTOSZJ,X,O,X,X,O,X,O
ILTOZJS,X,O,X,X,O,X,O
ILTOZSJ,X,O,X,X,O,X,O
ILJTSZO,O,O,O,O,O,X,X
ILJTSOZ,O,O,O,O,X,X,X
ILJTZSO,O,O,O,O,O,X,X
ILJTZOS,O,O,X,O,O,X,X
ILJTOSZ,O,O,X,O,X,X,X
ILJTOZS,O,O,X,O,X,X,X
ILJSTZO,X,O,O,O,X,X,X
ILJSTOZ,X,O,O,O,X,X,X
ILJSZTO,X,X,O,O,X,X,X
ILJSZOT,X,X,X,X,X,X,X
ILJSOTZ,X,O,O,O,X,X,X
ILJSOZT,X,X,X,O,X,X,X
ILJZTSO,O,X,O,X,O,X,X
ILJZTOS,O,X,X,X,O,X,X
ILJZSTO,O,X,O,X,O,X,X
ILJZSOT,O,X,X,X,X,X,X
ILJZOTS,O,X,X,X,O,X,X
ILJZOST,O,X,X,X,X,X,X
ILJOTSZ,O,O,X,O,X,X,X
ILJOTZS,O,O,X,O,X,X,X
ILJOSTZ,X,O,X,O,X,X,X
ILJOSZT,X,X,X,O,X,X,X
ILJOZTS,O,X,X,X,X,X,X
ILJOZST,O,X,X,X,X,X,X
ILSTJZO,X,O,O,O,O,X,X
ILSTJOZ,X,O,O,O,X,X,X
ILSTZJO,X,O,O,O,O,X,X
ILSTZOJ,X,O,O,O,O,X,X
ILSTOJZ,X,O,X,X,X,X,X
ILSTOZJ,X,O,O,O,O,X,X
ILSJTZO,X,O,O,O,X,X,X
ILSJTOZ,X,O,O,O,X,X,X
ILSJZTO,X,X,O,O,X,X,X
ILSJZOT,X,X,X,X,X,X,X
ILSJOTZ,X,O,O,O,X,X,X
ILSJOZT,X,X,X,O,X,X,X
ILSZTJO,X,O,O,O,O,X,X
ILSZTOJ,X,O,O,O,O,X,X
ILSZJTO,X,X,O,O,O,X,X
ILSZJOT,X,X,X,X,X,X,X
ILSZOTJ,X,O,X,X,X,X,X
ILSZOJT,X,X,X,X,X,X,X
ILSOTJZ,X,O,X,X,X,X,X
ILSOTZJ,X,O,O,O,X,X,X
ILSOJTZ,X,O,O,O,X,X,X
ILSOJZT,X,X,X,O,X,X,X
ILSOZTJ,X,O,X,X,X,X,X
ILSOZJT,X,X,X,X,X,X,X
ILZTJSO,O,O,O,O,O,X,O
ILZTJOS,O,O,X,O,O,X,O
ILZTSJO,O,O,O,O,O,X,O
ILZTSOJ,O,O,O,O,O,X,O
ILZTOJS,O,O,X,X,O,X,O
ILZTOSJ,O,O,X,X,O,X,O
ILZJTSO,O,X,O,X,O,X,O
ILZJTOS,O,X,X,X,O,X,O
ILZJSTO,O,X,O,X,O,X,X
ILZJSOT,O,X,X,X,X,X,X
ILZJOTS,O,X,X,X,O,X,O
ILZJOST,O,X,X,X,O,X,X
ILZSTJO,O,O,O,O,O,X,X
ILZSTOJ,O,O,O,O,O,X,X
ILZSJTO,O,X,O,X,O,X,X
ILZSJOT,O,X,X,X,X,X,X
ILZSOTJ,X,O,X,X,X,X,X
ILZSOJT,X,X,X,X,X,X,X
ILZOTJS,O,O,X,X,O,X,O
ILZOTSJ,O,O,X,X,O,X,O
ILZOJTS,O,X,X,X,O,X,O
ILZOJST,O,X,X,X,O,X,X
ILZOSTJ,X,O,X,X,O,X,X
ILZOSJT,X,X,X,X,O,X,X
ILOTJSZ,X,O,X,X,O,X,X
ILOTJZS,X,O,X,X,O,X,X
ILOTSJZ,X,O,X,X,O,X,X
ILOTSZJ,X,O,X,X,O,X,O
ILOTZJS,X,O,X,X,O,X,O
ILOTZSJ,X,O,X,X,O,X,O
ILOJTSZ,X,O,X,O,O,X,X
ILOJTZS,X,O,X,O,O,X,X
ILOJSTZ,X,O,X,O,X,X,X
ILOJSZT,X,X,X,O,X,X,X
ILOJZTS,X,X,X,X,O,X,X
ILOJZST,X,X,X,X,O,X,X
ILOSTJZ,X,O,X,X,O,X,X
ILOSTZJ,X,O,X,X,O,X,X
ILOSJTZ,X,O,X,O,X,X,X
ILOSJZT,X,X,X,O,X,X,X
ILOSZTJ,X,O,X,X,O,X,X
ILOSZJT,X,X,X,X,O,X,X
ILOZTJS,X,O,X,X,O,X,O
ILOZTSJ,X,O,X,X,O,X,O
ILOZJTS,X,X,X,X,O,X,O
ILOZJST,X,X,X,X,O,X,X
ILOZSTJ,X,O,X,X,O,X,X
ILOZSJT,X,X,X,X,O,X,X
IJTLSZO,O,O,O,O,X,X,X
IJTLSOZ,O,O,O,O,X,X,X
IJTLZSO,O,O,O,O,X,X,X
IJTLZOS,O,O,X,O,X,X,X
IJTLOSZ,O,O,X,O,X,X,X
IJTLOZS,O,O,X,O,X,X,X
IJTSLZO,O,O,O,O,X,X,X
IJTSLOZ,O,O,O,O,X,X,X
IJTSZLO,O,O,O,O,X,O,O
IJTSZOL,O,O,O,O,X,O,O
IJTSOLZ,O,O,O,O,X,O,X
IJTSOZL,O,O,O,O,X,O,O
IJTZLSO,O,O,O,O,X,O,O
IJTZLOS,O,O,X,O,X,O,O
IJTZSLO,O,O,O,O,X,O,O
IJTZSOL,O,O,O,O,X,O,O
IJTZOLS,O,O,X,O,X,O,O
IJTZOSL,O,O,X,O,X,O,O
IJTOLSZ,O,O,X,O,X,O,X
IJTOLZS,O,O,X,O,X,O,X
IJTOSLZ,O,O,X,O,X,O,X
IJTOSZL,O,O,X,O,X,O,O
IJTOZLS,O,O,X,O,X,O,O
IJTOZSL,O,O,X,O,X,O,O
IJLTSZO,O,O,O,O,X,X,X
IJLTSOZ,O,O,O,O,X,X,X
IJLTZSO,O,O,O,O,X,X,X
IJLTZOS,O,O,X,O,X,X,X
IJLTOSZ,O,O,X,O,X,X,X
IJLTOZS,O,O,X,O,X,X,X
IJLSTZO,X,O,O,O,X,X,X
IJLSTOZ,X,O,O,O,X,X,X
IJLSZTO,X,X,O,O,X,X,X
IJLSZOT,X,X,X,X,X,X,X
IJLSOTZ,X,O,O,O,X,X,X
IJLSOZT,X,X,X,O,X,X,X
IJLZTSO,O,X,O,X,X,X,X
IJLZTOS,O,X,X,X,X,X,X
IJLZSTO,O,X,O,X,X,X,X
IJLZSOT,O,X,X,X,X,X,X
IJLZOTS,O,X,X,X,X,X,X
IJLZOST,O,X,X,X,X,X,X
IJLOTSZ,O,O,X,O,X,X,X
IJLOTZS,O,O,X,O,X,X,X
IJLOSTZ,X,O,X,O,X,X,X
IJLOSZT,X,X,X,O,X,X,X
IJLOZTS,O,X,X,X,X,X,X
IJLOZST,O,X,X,X,X,X,X
IJSTLZO,O,O,O,O,X,X,X
IJSTLOZ,O,O,O,O,X,X,X
IJSTZLO,O,O,O,O,X,X,X
IJSTZOL,O,O,O,O,X,X,X
IJSTOLZ,O,O,O,O,X,X,X
IJSTOZL,O,O,O,O,X,X,X
IJSLTZO,X,O,O,O,X,X,X
IJSLTOZ,X,O,O,O,X,X,X
IJSLZTO,X,X,O,O,X,X,X
IJSLZOT,X,X,X,X,X,X,X
IJSLOTZ,X,O,O,O,X,X,X
IJSLOZT,X,X,X,O,X,X,X
IJSZTLO,O,X,O,O,X,X,X
IJSZTOL,O,X,O,O,X,X,X
IJSZLTO,O,X,O,O,X,X,X
IJSZLOT,O,X,X,X,X,X,X
IJSZOTL,O,X,X,X,X,X,X
IJSZOLT,O,X,X,X,X,X,X
IJSOTLZ,O,O,O,O,X,X,X
IJSOTZL,O,O,O,O,X,X,X
IJSOLTZ,X,O,O,O,X,X,X
IJSOLZT,X,X,X,O,X,X,X
IJSOZTL,O,X,X,O,X,X,X
IJSOZLT,O,X,X,O,X,X,X
IJZTLSO,O,X,O,X,X,O,O
IJZTLOS,O,X,X,X,X,O,O
IJZTSLO,O,X,O,X,X,O,O
IJZTSOL,O,X,O,X,X,O,O
IJZTOLS,O,X,X,X,X,O,O
IJZTOSL,O,X,X,X,X,O,O
IJZLTSO,O,X,O,X,X,O,O
IJZLTOS,O,X,X,X,X,O,O
IJZLSTO,O,X,O,X,X,O,X
IJZLSOT,O,X,X,X,X,X,X
IJZLOTS,O,X,X,X,X,O,O
IJZLOST,O,X,X,X,X,X,X
IJZSTLO,O,X,O,X,X,O,O
IJZSTOL,O,X,O,X,X,O,O
IJZSLTO,O,X,O,X,X,O,X
IJZSLOT,O,X,X,X,X,X,X
IJZSOTL,O,X,X,X,X,X,O
IJZSOLT,O,X,X,X,X,X,X
IJZOTLS,O,X,X,X,X,O,O
IJZOTSL,O,X,X,X,X,O,O
IJZOLTS,O,X,X,X,X,O,O
IJZOLST,O,X,X,X,X,O,X
IJZOSTL,O,X,X,X,X,O,O
IJZOSLT,O,X,X,X,X,O,X
IJOTLSZ,O,O,X,O,X,O,X
IJOTLZS,O,O,X,O,X,O,X
IJOTSLZ,O,O,X,O,X,O,X
IJOTSZL,O,O,X,O,X,O,O
IJOTZLS,O,O,X,O,X,O,O
IJOTZSL,O,O,X,O,X,O,O
IJOLTSZ,O,O,X,O,X,O,X
IJOLTZS,O,O,X,O,X,O,X
IJOLSTZ,X,O,X,O,X,O,X
IJOLSZT,X,X,X,O,X,X,X
IJOLZTS,O,X,X,X,X,O,X
IJOLZST,O,X,X,X,X,O,X
IJOSTLZ,O,O,X,O,X,X,X
IJOSTZL,O,O,X,O,X,X,X
IJOSLTZ,X,O,X,O,X,X,X
IJOSLZT,X,X,X,O,X,X,X
IJOSZTL,O,X,X,O,X,X,X
IJOSZLT,O,X,X,O,X,X,X
IJOZTLS,O,X,X,X,X,O,O
IJOZTSL,O,X,X,X,X,O,O
IJOZLTS,O,X,X,X,X,O,O
IJOZLST,O,X,X,X,X,O,X
IJOZSTL,O,X,X,X,X,O,O
IJOZSLT,O,X,X,X,X,O,X
ISTLJZO,O,O,O,O,X,X,X
ISTLJOZ,O,O,O,O,X,X,X
ISTLZJO,O,O,O,O,X,X,O
ISTLZOJ,O,O,O,O,X,X,O
ISTLOJZ,X,O,X,X,X,X,X
ISTLOZJ,X,O,O,O,X,X,O
ISTJLZO,O,O,O,O,X,X,X
ISTJLOZ,O,O,O,O,X,X,X
ISTJZLO,O,O,O,O,X,X,O
ISTJZOL,O,O,O,O,X,X,O
ISTJOLZ,O,O,O,O,X,X,X
ISTJOZL,O,O,O,O,X,X,O
ISTZLJO,O,O,O,O,X,X,O
ISTZLOJ,O,O,O,O,X,X,O
ISTZJLO,O,O,O,O,X,X,O
ISTZJOL,O,O,O,O,X,X,O
ISTZOLJ,O,O,O,O,X,X,O
ISTZOJL,O,O,X,X,X,X,O
ISTOLJZ,X,O,X,X,X,X,X
ISTOLZJ,X,O,O,O,X,X,O
ISTOJLZ,O,O,X,X,X,X,X
ISTOJZL,O,O,X,X,X,X,O
ISTOZLJ,O,O,O,O,X,X,O
ISTOZJL,O,O,X,X,X,X,O
ISLTJZO,X,O,O,O,X,X,X
ISLTJOZ,X,O,O,O,X,X,X
ISLTZJO,X,O,O,O,X,X,X
ISLTZOJ,X,O,O,O,X,X,X
ISLTOJZ,X,O,X,X,X,X,X
ISLTOZJ,X,O,O,O,X,X,X
ISLJTZO,X,O,O,O,X,X,X
ISLJTOZ,X,O,O,O,X,X,X
ISLJZTO,X,X,O,O,X,X,X
ISLJZOT,X,X,X,X,X,X,X
ISLJOTZ,X,O,O,O,X,X,X
ISLJOZT,X,X,X,O,X,X,X
ISLZTJO,X,O,O,O,X,X,X
ISLZTOJ,X,O,O,O,X,X,X
ISLZJTO,X,X,O,O,X,X,X
ISLZJOT,X,X,X,X,X,X,X
ISLZOTJ,X,O,X,X,X,X,X
ISLZOJT,X,X,X,X,X,X,X
ISLOTJZ,X,O,X,X,X,X,X
ISLOTZJ,X,O,O,O,X,X,X
ISLOJTZ,X,O,O,O,X,X,X
ISLOJZT,X,X,X,O,X,X,X
ISLOZTJ,X,O,X,X,X,X,X
ISLOZJT,X,X,X,X,X,X,X
ISJTLZO,O,O,O,O,X,X,X
ISJTLOZ,O,O,O,O,X,X,X
ISJTZLO,O,O,O,O,X,X,X
ISJTZOL,O,O,O,O,X,X,X
ISJTOLZ,O,O,O,O,X,X,X
ISJTOZL,O,O,O,O,X,X,X
ISJLTZO,X,O,O,O,X,X,X
ISJLTOZ,X,O,O,O,X,X,X
ISJLZTO,X,X,O,O,X,X,X
ISJLZOT,X,X,X,X,X,X,X
ISJLOTZ,X,O,O,O,X,X,X
ISJLOZT,X,X,X,O,X,X,X
ISJZTLO,O,X,O,O,X,X,X
ISJZTOL,O,X,O,O,X,X,X
ISJZLTO,O,X,O,O,X,X,X
ISJZLOT,O,X,X,X,X,X,X
ISJZOTL,O,X,X,X,X,X,X
ISJZOLT,O,X,X,X,X,X,X
ISJOTLZ,O,O,O,O,X,X,X
ISJOTZL,O,O,O,O,X,X,X
ISJOLTZ,X,O,O,O,X,X,X
ISJOLZT,X,X,X,O,X,X,X
ISJOZTL,O,X,X,O,X,X,X
ISJOZLT,O,X,X,O,X,X,X
ISZTLJO,O,O,O,O,X,X,O
ISZTLOJ,O,O,O,O,X,X,O
ISZTJLO,O,O,O,O,X,X,O
ISZTJOL,O,O,O,O,X,X,O
ISZTOLJ,O,O,O,O,X,X,O
ISZTOJL,O,O,X,X,X,X,O
ISZLTJO,O,O,O,O,X,X,X
ISZLTOJ,O,O,O,O,X,X,X
ISZLJTO,O,X,O,O,X,X,X
ISZLJOT,O,X,X,X,X,X,X
ISZLOTJ,X,O,X,X,X,X,X
ISZLOJT,X,X,X,X,X,X,X
ISZJTLO,O,X,O,O,X,X,O
ISZJTOL,O,X,O,O,X,X,O
ISZJLTO,O,X,O,O,X,X,X
ISZJLOT,O,X,X,X,X,X,X
ISZJOTL,O,X,X,X,X,X,O
ISZJOLT,O,X,X,X,X,X,X
ISZOTLJ,X,O,X,X,X,X,O
ISZOTJL,X,O,X,X,X,X,O
ISZOLTJ,X,O,X,X,X,X,X
ISZOLJT,X,X,X,X,X,X,X
ISZOJTL,X,X,X,X,X,X,O
ISZOJLT,X,X,X,X,X,X,X
ISOTLJZ,X,O,X,X,X,X,X
ISOTLZJ,X,O,O,O,X,X,O
ISOTJLZ,X,O,X,X,X,X,X
ISOTJZL,X,O,X,X,X,X,O
ISOTZLJ,X,O,O,O,X,X,O
ISOTZJL,X,O,X,X,X,X,O
ISOLTJZ,X,O,X,X,X,X,X
ISOLTZJ,X,O,O,O,X,X,X
ISOLJTZ,X,O,O,O,X,X,X
ISOLJZT,X,X,X,O,X,X,X
ISOLZTJ,X,O,X,X,X,X,X
ISOLZJT,X,X,X,X,X,X,X
ISOJTLZ,X,O,O,O,X,X,X
ISOJTZL,X,O,O,O,X,X,X
ISOJLTZ,X,O,O,O,X,X,X
ISOJLZT,X,X,X,O,X,X,X
ISOJZTL,X,X,X,O,X,X,X
ISOJZLT,X,X,X,O,X,X,X
ISOZTLJ,X,O,X,X,X,X,O
ISOZTJL,X,O,X,X,X,X,O
ISOZLTJ,X,O,X,X,X,X,X
ISOZLJT,X,X,X,X,X,X,X
ISOZJTL,X,X,X,X,X,X,O
ISOZJLT,X,X,X,X,X,X,X
IZTLJSO,O,O,O,O,O,O,O
IZTLJOS,O,O,X,O,O,O,O
IZTLSJO,O,O,O,O,O,O,O
IZTLSOJ,O,O,O,O,O,O,O
IZTLOJS,O,O,X,X,O,O,O
IZTLOSJ,O,O,X,X,O,O,O
IZTJLSO,O,O,O,O,O,O,O
IZTJLOS,O,O,X,O,O,O,O
IZTJSLO,O,O,O,O,O,O,O
IZTJSOL,O,O,O,O,O,O,O
IZTJOLS,O,O,X,O,X,O,O
IZTJOSL,O,O,X,O,X,O,O
IZTSLJO,O,O,O,O,O,O,O
IZTSLOJ,O,O,O,O,O,O,O
IZTSJLO,O,O,O,O,O,O,O
IZTSJOL,O,O,O,O,O,O,O
IZTSOLJ,O,O,O,O,O,O,O
IZTSOJL,O,O,X,X,O,O,O
