sequence,v115@RhB8CeB8CeA8BeG8Je2EJvhFRgBUiBFmBToBCoBXqB,v115@RhB8CeB8CeA8BeG8Jex/IvhFOmBXiB6oBcqBznBlpB,v115@RhB8CeB8CeA8BeG8JeT/IvhFUiBFjBxlBStBmlBXqB,v115@RhB8CeB8CeA8BeG8JeyEJvhFxiB3lBGnBToBFmB0pB,v115@RhB8CeB8CeA8BeG8JeFAJvhFxhBTjBcqBimBWtB/pB,v115@RhB8CeB8CeA8BeG8JeFCJvhFTjBxkBXmBWtBilB0pB,v115@RhB8CeB8CeA8BeG8JeOGJvhFXiBxkBCoBcqBToBlpB,v115@RhB8CeB8CeA8BeG8JeyEJvhFFmBxnB3lBGnBToB0pB
IJOSTLZ,X,X,X,O,X,O,X,X
IJOSTZL,X,X,X,X,X,O,X,X
IJOSLTZ,X,X,X,O,X,O,O,X
IJOSLZT,X,O,X,O,O,X,O,X
IJOSZTL,X,O,X,X,X,O,X,X
IJOSZLT,X,O,X,O,X,X,X,X
IJOZTLS,O,O,X,X,X,X,X,X
IJOZTSL,O,O,X,X,X,O,X,X
IJOZLTS,X,O,O,X,O,X,X,X
IJOZLST,X,O,X,O,O,X,X,X
IJOZSTL,X,O,X,X,X,O,X,X
IJOZSLT,X,O,X,O,X,X,X,X
ISTLJZO,O,X,O,X,X,X,O,O
ISTLJOZ,O,X,O,X,X,O,O,O
ISTLZJO,O,X,O,X,X,X,X,O
ISTLZOJ,O,X,O,X,X,X,X,O
ISTLOJZ,O,X,O,X,X,X,X,O
ISTLOZJ,O,X,O,X,X,X,X,O
ISTJLZO,O,X,X,X,X,X,O,X
ISTJLOZ,O,X,X,X,X,O,O,X
ISTJZLO,O,X,X,X,X,X,X,X
ISTJZOL,O,X,X,X,X,O,X,X
ISTJOLZ,O,X,X,X,X,O,X,X
ISTJOZL,O,X,X,X,X,O,X,X
ISTZLJO,O,X,O,X,X,X,X,X
ISTZLOJ,O,X,O,X,X,X,X,X
ISTZJLO,O,X,X,X,X,X,X,X
ISTZJOL,O,X,X,X,X,O,X,X
ISTZOLJ,O,X,O,X,X,X,X,X
ISTZOJL,O,X,X,X,X,X,X,X
ISTOLJZ,O,X,O,X,X,X,X,X
ISTOLZJ,O,X,O,X,X,X,X,X
ISTOJLZ,O,X,X,X,X,O,X,X
ISTOJZL,O,X,X,X,X,O,X,X
ISTOZLJ,O,X,O,X,X,X,X,X
ISTOZJL,O,X,X,X,X,X,X,X
ISLTJZO,X,X,O,X,X,X,O,O
ISLTJOZ,X,X,O,X,X,O,O,O
ISLTZJO,X,X,O,X,X,X,X,O
ISLTZOJ,X,X,O,X,X,X,X,O
ISLTOJZ,X,X,O,X,X,X,X,O
ISLTOZJ,X,X,O,X,X,X,X,O
ISLJTZO,X,X,O,X,X,X,O,X
ISLJTOZ,X,X,O,X,X,O,O,X
ISLJZTO,X,O,O,X,X,X,O,X
ISLJZOT,X,O,O,X,X,X,O,X
ISLJOTZ,X,X,O,O,X,O,O,X
ISLJOZT,X,X,O,O,X,X,O,X
ISLZTJO,X,O,O,X,X,X,X,X
ISLZTOJ,X,X,O,X,X,X,X,X
ISLZJTO,X,O,O,X,X,X,O,X
ISLZJOT,X,O,O,X,X,X,O,X
ISLZOTJ,X,X,O,X,X,X,X,X
ISLZOJT,X,O,O,X,X,X,X,X
ISLOTJZ,X,X,O,O,X,X,X,X
ISLOTZJ,X,X,O,X,X,X,X,X
ISLOJTZ,X,X,O,O,X,X,O,X
ISLOJZT,X,X,O,O,X,X,O,X
ISLOZTJ,X,X,O,X,X,X,X,X
ISLOZJT,X,X,O,O,X,X,X,X
ISJTLZO,O,X,X,X,X,X,O,X
ISJTLOZ,O,X,X,X,X,O,O,X
ISJTZLO,O,X,X,X,X,X,X,X
ISJTZOL,O,X,X,X,X,O,X,X
ISJTOLZ,O,X,X,X,X,O,X,X
ISJTOZL,O,X,X,X,X,O,X,X
ISJLTZO,X,X,O,X,X,X,O,X
ISJLTOZ,X,X,O,X,X,O,O,X
ISJLZTO,X,O,O,X,X,X,O,X
ISJLZOT,X,O,O,X,X,X,O,X
ISJLOTZ,X,X,O,O,X,O,O,X
ISJLOZT,X,X,O,O,X,X,O,X
ISJZTLO,O,O,X,X,X,X,X,X
ISJZTOL,O,O,X,X,X,O,X,X
ISJZLTO,X,O,O,X,X,X,O,X
ISJZLOT,X,O,O,X,X,X,O,X
ISJZOTL,O,O,X,X,X,O,X,X
ISJZOLT,X,O,O,X,X,X,X,X
ISJOTLZ,O,X,X,O,X,O,X,X
ISJOTZL,O,X,X,X,X,O,X,X
ISJOLTZ,X,X,O,O,X,O,O,X
ISJOLZT,X,O,O,O,X,X,O,X
ISJOZTL,O,O,X,X,X,O,X,X
ISJOZLT,X,O,O,O,X,X,X,X
ISZTLJO,O,O,O,X,X,X,X,X
ISZTLOJ,O,X,O,X,X,X,X,X
ISZTJLO,O,O,X,X,X,X,X,X
ISZTJOL,O,O,X,X,X,O,X,X
ISZTOLJ,O,O,O,X,X,X,X,X
ISZTOJL,O,O,X,X,X,X,X,X
ISZLTJO,X,O,O,X,X,X,X,X
ISZLTOJ,X,X,O,X,X,X,X,X
ISZLJTO,X,O,O,X,X,X,O,X
ISZLJOT,X,O,O,X,X,X,O,X
ISZLOTJ,X,O,O,X,X,X,X,X
ISZLOJT,X,O,O,X,X,X,X,X
ISZJTLO,O,O,X,X,X,X,X,X
ISZJTOL,O,O,X,X,X,O,X,X
ISZJLTO,X,O,O,X,X,X,O,X
ISZJLOT,X,O,O,X,X,X,O,X
ISZJOTL,O,O,X,X,X,O,X,X
ISZJOLT,X,O,O,X,X,X,X,X
ISZOTLJ,O,O,O,X,X,X,X,X
ISZOTJL,O,O,X,X,X,X,X,X
ISZOLTJ,X,O,O,X,X,X,X,X
ISZOLJT,X,O,O,X,X,X,X,X
ISZOJTL,O,O,X,X,X,X,X,X
ISZOJLT,X,O,O,X,X,X,X,X
ISOTLJZ,O,X,O,O,X,X,X,X
ISOTLZJ,O,X,O,X,X,X,X,X
ISOTJLZ,O,X,X,O,X,O,X,X
ISOTJZL,O,X,X,X,X,O,X,X
ISOTZLJ,O,X,O,X,X,X,X,X
ISOTZJL,O,X,X,X,X,X,X,X
ISOLTJZ,X,X,O,O,X,X,X,X
ISOLTZJ,X,X,O,X,X,X,X,X
ISOLJTZ,X,X,O,O,X,X,O,X
ISOLJZT,X,O,O,O,X,X,O,X
ISOLZTJ,X,O,O,X,X,X,X,X
ISOLZJT,X,O,O,O,X,X,X,X
ISOJTLZ,O,X,X,O,X,O,X,X
ISOJTZL,O,X,X,X,X,O,X,X
ISOJLTZ,X,X,O,O,X,O,O,X
ISOJLZT,X,O,O,O,X,X,O,X
ISOJZTL,O,O,X,X,X,O,X,X
ISOJZLT,X,O,O,O,X,X,X,X
ISOZTLJ,O,O,O,X,X,X,X,X
ISOZTJL,O,O,X,X,X,X,X,X
ISOZLTJ,X,O,O,X,X,X,X,X
ISOZLJT,X,O,O,O,X,X,X,X
ISOZJTL,O,O,X,X,X,X,X,X
ISOZJLT,X,O,O,O,X,X,X,X
IZTLJSO,X,O,X,X,X,X,X,O
IZTLJOS,O,X,O,X,X,X,X,O
IZTLSJO,X,O,X,X,X,X,X,O
IZTLSOJ,X,X,O,X,X,X,X,O
IZTLOJS,O,X,O,X,X,X,X,O
IZTLOSJ,X,X,O,X,X,X,X,O
IZTJLSO,X,O,X,X,X,X,X,X
IZTJLOS,O,X,X,X,X,X,X,X
IZTJSLO,X,O,X,X,X,X,X,X
IZTJSOL,O,O,X,X,X,O,X,X
IZTJOLS,O,O,X,X,X,X,X,X
IZTJOSL,O,O,X,X,X,O,X,X
IZTSLJO,O,O,X,X,X,X,X,X
IZTSLOJ,O,X,X,X,X,X,X,X
IZTSJLO,O,O,X,X,X,X,X,X
IZTSJOL,O,O,X,X,X,O,X,X
IZTSOLJ,O,O,X,X,X,X,X,X
IZTSOJL,O,O,X,X,X,X,X,X
IZTOLJS,O,O,O,X,X,X,X,X
IZTOLSJ,X,O,O,X,X,X,X,X
IZTOJLS,O,O,X,X,X,X,X,X
IZTOJSL,O,O,X,X,X,X,X,X
IZTOSLJ,O,O,X,X,X,X,X,X
IZTOSJL,O,O,X,X,X,X,X,X
IZLTJSO,X,O,X,X,O,X,X,O
IZLTJOS,X,X,O,X,O,X,X,O
IZLTSJO,X,O,O,X,X,X,X,O
IZLTSOJ,X,X,O,X,X,X,X,O
IZLTOJS,X,X,O,X,X,X,X,O
IZLTOSJ,X,X,O,X,X,X,X,O
IZLJTSO,X,O,X,X,O,X,X,X
IZLJTOS,X,X,O,X,O,X,X,X
IZLJSTO,X,O,X,X,O,X,O,X
IZLJSOT,X,O,X,X,O,X,O,X
IZLJOTS,X,O,O,X,O,X,X,X
IZLJOST,X,O,X,X,O,X,X,X
IZLSTJO,X,O,O,X,X,X,X,X
IZLSTOJ,X,X,O,X,X,X,X,X
IZLSJTO,X,O,O,X,O,X,O,X
IZLSJOT,X,O,O,X,O,X,O,X
IZLSOTJ,X,O,O,X,X,X,X,X
IZLSOJT,X,O,O,X,X,X,X,X
IZLOTJS,X,O,O,X,X,X,X,X
IZLOTSJ,X,O,O,X,X,X,X,X
IZLOJTS,X,O,O,X,O,X,X,X
IZLOJST,X,O,X,X,O,X,X,X
IZLOSTJ,X,O,O,X,X,X,X,X
IZLOSJT,X,O,X,X,X,X,X,X
IZJTLSO,X,O,X,X,X,X,X,X
IZJTLOS,O,X,X,X,X,X,X,X
IZJTSLO,X,O,X,X,X,X,X,X
IZJTSOL,O,O,X,X,X,O,X,X
IZJTOLS,O,O,X,X,X,X,X,X
IZJTOSL,O,O,X,X,X,O,X,X
IZJLTSO,X,O,X,X,O,X,X,X
IZJLTOS,X,X,O,X,O,X,X,X
IZJLSTO,X,O,X,X,O,X,O,X
IZJLSOT,X,O,X,X,O,X,O,X
IZJLOTS,X,O,O,X,O,X,X,X
IZJLOST,X,O,X,X,O,X,X,X
IZJSTLO,X,O,X,X,X,X,X,X
IZJSTOL,X,O,X,X,X,O,X,X
IZJSLTO,X,O,X,X,X,X,O,X
IZJSLOT,X,O,X,X,X,X,O,X
IZJSOTL,X,O,X,X,X,O,X,X
IZJSOLT,X,O,X,X,X,X,X,X
IZJOTLS,O,O,X,X,X,X,X,X
IZJOTSL,O,O,X,X,X,O,X,X
IZJOLTS,X,O,O,X,O,X,X,X
IZJOLST,X,O,X,X,O,X,X,X
IZJOSTL,X,O,X,X,X,O,X,X
IZJOSLT,X,O,X,X,X,X,X,X
IZSTLJO,O,O,O,X,X,X,X,X
IZSTLOJ,O,X,O,X,X,X,X,X
IZSTJLO,O,O,X,X,X,X,X,X
IZSTJOL,O,O,X,X,X,O,X,X
IZSTOLJ,O,O,O,X,X,X,X,X
IZSTOJL,O,O,X,X,X,X,X,X
IZSLTJO,X,O,O,X,X,X,X,X
IZSLTOJ,X,X,O,X,X,X,X,X
IZSLJTO,X,O,O,X,X,X,O,X
IZSLJOT,X,O,O,X,X,X,O,X
IZSLOTJ,X,O,O,X,X,X,X,X
IZSLOJT,X,O,O,X,X,X,X,X
IZSJTLO,O,O,X,X,X,X,X,X
IZSJTOL,O,O,X,X,X,O,X,X
IZSJLTO,X,O,O,X,X,X,O,X
IZSJLOT,X,O,O,X,X,X,O,X
IZSJOTL,O,O,X,X,X,O,X,X
IZSJOLT,X,O,O,X,X,X,X,X
IZSOTLJ,O,O,O,X,X,X,X,X
IZSOTJL,O,O,X,X,X,X,X,X
IZSOLTJ,X,O,O,X,X,X,X,X
IZSOLJT,X,O,O,X,X,X,X,X
IZSOJTL,O,O,X,X,X,X,X,X
IZSOJLT,X,O,O,X,X,X,X,X
IZOTLJS,O,O,O,X,X,X,X,X
IZOTLSJ,X,O,O,X,X,X,X,X
IZOTJLS,O,O,X,X,X,X,X,X
IZOTJSL,O,O,X,X,X,X,X,X
IZOTSLJ,O,O,X,X,X,X,X,X
IZOTSJL,O,O,X,X,X,X,X,X
IZOLTJS,X,O,O,X,X,X,X,X
IZOLTSJ,X,O,O,X,X,X,X,X
IZOLJTS,X,O,O,X,X,X,X,X
IZOLJST,X,O,X,X,X,X,X,X
IZOLSTJ,X,O,O,X,X,X,X,X
IZOLSJT,X,O,X,X,X,X,X,X
IZOJTLS,O,O,X,X,X,X,X,X
IZOJTSL,O,O,X,X,X,X,X,X
IZOJLTS,X,O,O,X,X,X,X,X
IZOJLST,X,O,X,X,X,X,X,X
IZOJSTL,X,O,X,X,X,X,X,X
IZOJSLT,X,O,X,X,X,X,X,X
IZOSTLJ,O,O,X,X,X,X,X,X
IZOSTJL,O,O,X,X,X,X,X,X
IZOSLTJ,X,O,O,X,X,X,X,X
IZOSLJT,X,O,X,X,X,X,X,X
IZOSJTL,O,O,X,X,X,X,X,X
IZOSJLT,X,O,X,X,X,X,X,X
IOTLJSZ,X,X,X,O,X,X,X,O
IOTLJZS,O,X,O,X,X,X,X,O
IOTLSJZ,X,X,X,O,X,X,X,O
IOTLSZJ,X,X,O,X,X,X,X,O
IOTLZJS,O,X,O,X,X,X,X,O
IOTLZSJ,X,X,O,X,X,X,X,O
IOTJLSZ,X,X,X,O,X,O,X,X
IOTJLZS,O,X,X,X,X,X,X,X
IOTJSLZ,X,X,X,O,X,O,X,X
IOTJSZL,O,X,X,X,X,O,X,X
IOTJZLS,O,X,X,X,X,X,X,X
IOTJZSL,O,X,X,X,X,O,X,X
IOTSLJZ,O,X,X,O,X,X,X,X
IOTSLZJ,O,X,X,X,X,X,X,X
IOTSJLZ,O,X,X,O,X,O,X,X
IOTSJZL,O,X,X,X,X,O,X,X
IOTSZLJ,O,X,X,X,X,X,X,X
IOTSZJL,O,X,X,X,X,X,X,X
IOTZLJS,O,X,O,X,X,X,X,X
IOTZLSJ,X,X,O,X,X,X,X,X
IOTZJLS,O,X,X,X,X,X,X,X
IOTZJSL,O,X,X,X,X,X,X,X
IOTZSLJ,O,X,X,X,X,X,X,X
IOTZSJL,O,X,X,X,X,X,X,X
IOLTJSZ,X,X,X,O,X,X,X,O
IOLTJZS,X,X,O,X,X,X,X,O
IOLTSJZ,X,X,X,O,X,X,X,O
IOLTSZJ,X,X,O,X,X,X,X,O
IOLTZJS,X,X,O,X,X,X,X,O
IOLTZSJ,X,X,O,X,X,X,X,O
IOLJTSZ,X,X,X,O,X,X,X,X
IOLJTZS,X,X,O,X,X,X,X,X
IOLJSTZ,X,X,X,O,X,X,O,X
IOLJSZT,X,O,X,O,X,X,O,X
IOLJZTS,X,O,O,X,X,X,X,X
IOLJZST,X,O,X,O,X,X,X,X
IOLSTJZ,X,X,X,O,X,X,X,X
IOLSTZJ,X,X,O,X,X,X,X,X
IOLSJTZ,X,X,X,O,X,X,O,X
IOLSJZT,X,O,X,O,X,X,O,X
IOLSZTJ,X,O,O,X,X,X,X,X
IOLSZJT,X,O,X,O,X,X,X,X
IOLZTJS,X,O,O,X,X,X,X,X
IOLZTSJ,X,O,O,X,X,X,X,X
IOLZJTS,X,O,O,X,X,X,X,X
IOLZJST,X,O,X,O,X,X,X,X
IOLZSTJ,X,O,O,X,X,X,X,X
IOLZSJT,X,O,X,O,X,X,X,X
IOJTLSZ,X,X,X,O,X,O,X,X
IOJTLZS,O,X,X,X,X,X,X,X
IOJTSLZ,X,X,X,O,X,O,X,X
IOJTSZL,O,X,X,X,X,O,X,X
IOJTZLS,O,X,X,X,X,X,X,X
IOJTZSL,O,X,X,X,X,O,X,X
IOJLTSZ,X,X,X,O,X,O,X,X
IOJLTZS,X,X,O,X,X,X,X,X
IOJLSTZ,X,X,X,O,X,O,O,X
IOJLSZT,X,O,X,O,X,X,O,X
IOJLZTS,X,O,O,X,X,X,X,X
IOJLZST,X,O,X,O,X,X,X,X
IOJSTLZ,X,X,X,O,X,O,X,X
IOJSTZL,X,X,X,X,X,O,X,X
IOJSLTZ,X,X,X,O,X,O,O,X
IOJSLZT,X,O,X,O,X,X,O,X
IOJSZTL,X,O,X,X,X,O,X,X
IOJSZLT,X,O,X,O,X,X,X,X
IOJZTLS,O,O,X,X,X,X,X,X
IOJZTSL,O,O,X,X,X,O,X,X
IOJZLTS,X,O,O,X,X,X,X,X
IOJZLST,X,O,X,O,X,X,X,X
IOJZSTL,X,O,X,X,X,O,X,X
IOJZSLT,X,O,X,O,X,X,X,X
IOSTLJZ,O,X,X,O,X,X,X,X
IOSTLZJ,O,X,X,X,X,X,X,X
IOSTJLZ,O,X,X,O,X,O,X,X
IOSTJZL,O,X,X,X,X,O,X,X
IOSTZLJ,O,X,X,X,X,X,X,X
IOSTZJL,O,X,X,X,X,X,X,X
IOSLTJZ,X,X,X,O,X,X,X,X
IOSLTZJ,X,X,O,X,X,X,X,X
IOSLJTZ,X,X,X,O,X,X,O,X
IOSLJZT,X,O,X,O,X,X,O,X
IOSLZTJ,X,O,O,X,X,X,X,X
IOSLZJT,X,O,X,O,X,X,X,X
IOSJTLZ,O,X,X,O,X,O,X,X
IOSJTZL,O,X,X,X,X,O,X,X
IOSJLTZ,X,X,X,O,X,O,O,X
IOSJLZT,X,O,X,O,X,X,O,X
IOSJZTL,O,O,X,X,X,O,X,X
IOSJZLT,X,O,X,O,X,X,X,X
IOSZTLJ,O,O,X,X,X,X,X,X
IOSZTJL,O,O,X,X,X,X,X,X
IOSZLTJ,X,O,O,X,X,X,X,X
IOSZLJT,X,O,X,O,X,X,X,X
IOSZJTL,O,O,X,X,X,X,X,X
IOSZJLT,X,O,X,O,X,X,X,X
IOZTLJS,O,O,O,X,X,X,X,X
IOZTLSJ,X,O,O,X,X,X,X,X
IOZTJLS,O,O,X,X,X,X,X,X
IOZTJSL,O,O,X,X,X,X,X,X
IOZTSLJ,O,O,X,X,X,X,X,X
IOZTSJL,O,O,X,X,X,X,X,X
IOZLTJS,X,O,O,X,X,X,X,X
IOZLTSJ,X,O,O,X,X,X,X,X
IOZLJTS,X,O,O,X,X,X,X,X
IOZLJST,X,O,X,O,X,X,X,X
IOZLSTJ,X,O,O,X,X,X,X,X
IOZLSJT,X,O,X,O,X,X,X,X
IOZJTLS,O,O,X,X,X,X,X,X
IOZJTSL,O,O,X,X,X,X,X,X
IOZJLTS,X,O,O,X,X,X,X,X
IOZJLST,X,O,X,O,X,X,X,X
IOZJSTL,X,O,X,X,X,X,X,X
IOZJSLT,X,O,X,O,X,X,X,X
IOZSTLJ,O,O,X,X,X,X,X,X
IOZSTJL,O,O,X,X,X,X,X,X
IOZSLTJ,X,O,O,X,X,X,X,X
IOZSLJT,X,O,X,O,X,X,X,X
IOZSJTL,O,O,X,X,X,X,X,X
IOZSJLT,X,O,X,O,X,X,X,X
LTIJSZO,X,X,X,X,X,X,O,O
LTIJSOZ,X,X,X,X,X,O,O,O
LTIJZSO,X,X,X,X,O,X,X,O
LTIJZOS,O,X,O,X,O,X,X,O
LTIJOSZ,X,X,X,X,X,O,X,O
LTIJOZS,O,X,O,X,O,X,X,O
LTISJZO,X,X,O,X,X,X,O,O
LTISJOZ,X,X,O,X,X,O,O,O
LTISZJO,X,X,O,X,X,X,X,O
LTISZOJ,X,X,O,X,X,X,X,O
LTISOJZ,X,X,O,X,X,X,X,O
LTISOZJ,X,X,O,X,X,X,X,O
LTIZJSO,X,X,X,X,O,X,X,O
LTIZJOS,O,X,O,X,O,X,X,O
LTIZSJO,X,X,O,X,X,X,X,O
LTIZSOJ,X,X,O,X,X,X,X,O
LTIZOJS,O,X,O,X,X,X,X,O
LTIZOSJ,X,X,O,X,X,X,X,O
LTIOJSZ,X,X,X,X,X,X,X,O
LTIOJZS,O,X,O,X,X,X,X,O
LTIOSJZ,X,X,X,X,X,X,X,O
LTIOSZJ,X,X,O,X,X,X,X,O
LTIOZJS,O,X,O,X,X,X,X,O
LTIOZSJ,X,X,O,X,X,X,X,O
LTJISZO,X,X,X,X,X,X,O,O
LTJISOZ,X,X,X,X,X,O,O,O
LTJIZSO,X,X,X,X,O,X,X,O
LTJIZOS,O,X,O,X,O,X,X,O
LTJIOSZ,X,X,X,X,X,O,X,O
LTJIOZS,O,X,O,X,O,X,X,O
LTJSIZO,X,X,O,X,X,X,O,X
LTJSIOZ,X,X,O,X,X,O,O,X
LTJSZIO,X,O,O,X,X,X,X,X
LTJSZOI,X,X,O,X,X,X,X,X
LTJSOIZ,X,X,O,O,X,O,X,X
LTJSOZI,X,X,O,O,X,X,X,X
LTJZISO,X,O,X,X,O,X,X,X
LTJZIOS,O,X,O,X,O,X,X,X
LTJZSIO,X,O,O,X,O,X,X,X
LTJZSOI,X,X,O,X,O,X,X,X
LTJZOIS,O,X,O,X,O,X,X,X
LTJZOSI,O,X,X,X,O,X,X,X
LTJOISZ,X,X,X,O,X,O,X,X
LTJOIZS,O,X,O,X,O,X,X,X
LTJOSIZ,X,X,X,O,X,O,X,X
LTJOSZI,X,X,X,O,X,X,X,X
LTJOZIS,O,X,O,X,O,X,X,X
LTJOZSI,O,X,X,X,O,X,X,X
LTSIJZO,O,X,O,X,X,X,O,O
LTSIJOZ,O,X,O,X,X,O,O,O
LTSIZJO,O,X,O,X,X,X,X,O
LTSIZOJ,O,X,O,X,X,X,X,O
LTSIOJZ,O,X,O,X,X,X,X,O
LTSIOZJ,O,X,O,X,X,X,X,O
LTSJIZO,O,X,O,X,X,X,O,X
LTSJIOZ,O,X,O,X,X,O,O,X
LTSJZIO,O,O,O,X,X,X,X,X
LTSJZOI,O,X,O,X,X,X,X,X
LTSJOIZ,O,X,O,O,X,O,X,X
LTSJOZI,O,X,O,O,X,X,X,X
LTSZIJO,O,O,O,X,X,X,X,X
LTSZIOJ,O,X,O,X,X,X,X,X
LTSZJIO,O,O,O,X,X,X,X,X
LTSZJOI,O,X,O,X,X,X,X,X
LTSZOIJ,O,X,O,X,X,X,X,X
LTSZOJI,O,X,O,X,X,X,X,X
LTSOIJZ,O,X,O,O,X,X,X,X
LTSOIZJ,O,X,O,X,X,X,X,X
LTSOJIZ,O,X,O,O,X,X,X,X
LTSOJZI,O,X,O,O,X,X,X,X
LTSOZIJ,O,X,O,X,X,X,X,X
LTSOZJI,O,X,O,X,X,X,X,X
LTZIJSO,X,O,X,X,O,X,X,O
LTZIJOS,O,X,O,X,O,X,X,O
LTZISJO,X,O,O,X,X,X,X,O
LTZISOJ,X,X,O,X,X,X,X,O
LTZIOJS,O,X,O,X,X,X,X,O
LTZIOSJ,X,X,O,X,X,X,X,O
LTZJISO,X,O,X,X,O,X,X,X
LTZJIOS,O,X,O,X,O,X,X,X
LTZJSIO,X,O,O,X,O,X,X,X
LTZJSOI,X,X,O,X,O,X,X,X
LTZJOIS,O,X,O,X,O,X,X,X
LTZJOSI,O,X,X,X,O,X,X,X
LTZSIJO,O,O,O,X,X,X,X,X
LTZSIOJ,O,X,O,X,X,X,X,X
LTZSJIO,O,O,O,X,X,X,X,X
LTZSJOI,O,X,O,X,X,X,X,X
LTZSOIJ,O,X,O,X,X,X,X,X
LTZSOJI,O,X,O,X,X,X,X,X
LTZOIJS,O,X,O,X,X,X,X,X
LTZOISJ,X,X,O,X,X,X,X,X
LTZOJIS,O,X,O,X,X,X,X,X
LTZOJSI,O,X,X,X,X,X,X,X
LTZOSIJ,O,X,O,X,X,X,X,X
LTZOSJI,O,X,O,X,X,X,X,X
LTOIJSZ,X,X,X,O,X,X,X,O
LTOIJZS,O,X,O,X,X,X,X,O
LTOISJZ,X,X,X,O,X,X,X,O
LTOISZJ,X,X,O,X,X,X,X,O
LTOIZJS,O,X,O,X,X,X,X,O
LTOIZSJ,X,X,O,X,X,X,X,O
LTOJISZ,X,X,X,O,X,X,X,X
LTOJIZS,O,X,O,X,X,X,X,X
LTOJSIZ,X,X,X,O,X,X,X,X
LTOJSZI,X,X,X,O,X,X,X,X
LTOJZIS,O,X,O,X,X,X,X,X
LTOJZSI,O,X,X,X,X,X,X,X
LTOSIJZ,O,X,O,O,X,X,X,X
LTOSIZJ,O,X,O,X,X,X,X,X
LTOSJIZ,O,X,O,O,X,X,X,X
LTOSJZI,O,X,O,O,X,X,X,X
LTOSZIJ,O,X,O,X,X,X,X,X
LTOSZJI,O,X,O,X,X,X,X,X
LTOZIJS,O,X,O,X,X,X,X,X
LTOZISJ,X,X,O,X,X,X,X,X
LTOZJIS,O,X,O,X,X,X,X,X
LTOZJSI,O,X,X,X,X,X,X,X
LTOZSIJ,O,X,O,X,X,X,X,X
LTOZSJI,O,X,O,X,X,X,X,X
LITJSZO,X,X,X,X,X,X,O,O
LITJSOZ,X,X,X,X,X,O,O,O
LITJZSO,X,X,X,X,O,X,X,O
LITJZOS,X,X,O,X,O,X,X,O
LITJOSZ,X,X,X,X,X,O,X,O
LITJOZS,X,X,O,X,O,X,X,O
LITSJZO,X,X,O,X,X,X,O,O
LITSJOZ,X,X,O,X,X,O,O,O
LITSZJO,X,X,O,X,X,X,X,O
LITSZOJ,X,X,O,X,X,X,X,O
LITSOJZ,X,X,O,X,X,X,X,O
LITSOZJ,X,X,O,X,X,X,X,O
LITZJSO,X,X,X,X,O,X,X,O
LITZJOS,X,X,O,X,O,X,X,O
LITZSJO,X,X,O,X,X,X,X,O
LITZSOJ,X,X,O,X,X,X,X,O
LITZOJS,X,X,O,X,X,X,X,O
LITZOSJ,X,X,O,X,X,X,X,O
LITOJSZ,X,X,X,X,X,X,X,O
LITOJZS,X,X,O,X,X,X,X,O
LITOSJZ,X,X,X,X,X,X,X,O
LITOSZJ,X,X,O,X,X,X,X,O
LITOZJS,X,X,O,X,X,X,X,O
LITOZSJ,X,X,O,X,X,X,X,O
LIJTSZO,X,X,X,X,X,X,O,O
LIJTSOZ,X,X,X,X,X,O,O,O
LIJTZSO,X,X,X,X,O,X,X,O
LIJTZOS,X,X,O,X,O,X,X,O
LIJTOSZ,X,X,X,X,X,O,X,O
LIJTOZS,X,X,O,X,O,X,X,O
LIJSTZO,X,X,X,X,X,X,O,X
LIJSTOZ,X,X,X,X,X,O,O,X
LIJSZTO,X,O,X,X,O,X,O,X
LIJSZOT,X,O,X,X,O,X,O,X
LIJSOTZ,X,X,X,O,X,O,O,X
LIJSOZT,X,X,X,O,O,X,O,X
LIJZTSO,X,O,X,X,O,X,X,X
LIJZTOS,X,X,O,X,O,X,X,X
LIJZSTO,X,O,X,X,O,X,O,X
LIJZSOT,X,O,X,X,O,X,O,X
LIJZOTS,X,X,O,X,O,X,X,X
LIJZOST,X,O,X,X,O,X,X,X
LIJOTSZ,X,X,X,O,X,O,X,X
LIJOTZS,X,X,O,X,O,X,X,X
LIJOSTZ,X,X,X,O,X,O,O,X
LIJOSZT,X,X,X,O,O,X,O,X
LIJOZTS,X,X,O,X,O,X,X,X
LIJOZST,X,X,X,O,O,X,X,X
LISTJZO,X,X,O,X,X,X,O,O
LISTJOZ,X,X,O,X,X,O,O,O
LISTZJO,X,X,O,X,X,X,X,O
LISTZOJ,X,X,O,X,X,X,X,O
LISTOJZ,X,X,O,X,X,X,X,O
LISTOZJ,X,X,O,X,X,X,X,O
LISJTZO,X,X,O,X,X,X,O,X
LISJTOZ,X,X,O,X,X,O,O,X
LISJZTO,X,O,O,X,O,X,O,X
LISJZOT,X,O,O,X,O,X,O,X
LISJOTZ,X,X,O,O,X,O,O,X
LISJOZT,X,X,O,O,O,X,O,X
LISZTJO,X,O,O,X,X,X,X,X
LISZTOJ,X,X,O,X,X,X,X,X
LISZJTO,X,O,O,X,O,X,O,X
LISZJOT,X,O,O,X,O,X,O,X
LISZOTJ,X,X,O,X,X,X,X,X
LISZOJT,X,O,O,X,X,X,X,X
LISOTJZ,X,X,O,O,X,X,X,X
LISOTZJ,X,X,O,X,X,X,X,X
LISOJTZ,X,X,O,O,X,X,O,X
LISOJZT,X,X,O,O,X,X,O,X
LISOZTJ,X,X,O,X,X,X,X,X
