sequence,v115@RhB8CeB8CeA8BeG8Je2EJvhFRgBUiBFmBToBCoBXqB,v115@RhB8CeB8CeA8BeG8Jex/IvhFOmBXiB6oBcqBznBlpB,v115@RhB8CeB8CeA8BeG8JeT/IvhFUiBFjBxlBStBmlBXqB,v115@RhB8CeB8CeA8BeG8JeyEJvhFxiB3lBGnBToBFmB0pB,v115@RhB8CeB8CeA8BeG8JeFAJvhFxhBTjBcqBimBWtB/pB,v115@RhB8CeB8CeA8BeG8JeFCJvhFTjBxkBXmBWtBilB0pB,v115@RhB8CeB8CeA8BeG8JeOGJvhFXiBxkBCoBcqBToBlpB,v115@RhB8CeB8CeA8BeG8JeyEJvhFFmBxnB3lBGnBToB0pB
TLJSZIO,X,O,O,X,X,X,X,X
TLJSZOI,X,X,O,X,X,X,X,X
TLJSOIZ,X,X,O,O,X,O,X,X
TLJSOZI,X,X,O,O,X,X,X,X
TLJZISO,X,O,X,X,O,X,X,X
TLJZIOS,O,X,O,X,O,X,X,X
TLJZSIO,X,O,O,X,O,X,X,X
TLJZSOI,X,X,O,X,O,X,X,X
TLJZOIS,O,X,O,X,O,X,X,X
TLJZOSI,O,X,X,X,O,X,X,X
TLJOISZ,X,X,X,O,X,O,X,X
TLJOIZS,O,X,O,X,O,X,X,X
TLJOSIZ,X,X,X,O,X,O,X,X
TLJOSZI,X,X,X,O,X,X,X,X
TLJOZIS,O,X,O,X,O,X,X,X
TLJOZSI,O,X,X,X,O,X,X,X
TLSIJZO,O,X,O,X,X,X,O,O
TLSIJOZ,O,X,O,X,X,O,O,O
TLSIZJO,O,X,O,X,X,X,X,O
TLSIZOJ,O,X,O,X,X,X,X,O
TLSIOJZ,O,X,O,X,X,X,X,O
TLSIOZJ,O,X,O,X,X,X,X,O
TLSJIZO,O,X,O,X,X,X,O,X
TLSJIOZ,O,X,O,X,X,O,O,X
TLSJZIO,O,O,O,X,X,X,X,X
TLSJZOI,O,X,O,X,X,X,X,X
TLSJOIZ,O,X,O,O,X,O,X,X
TLSJOZI,O,X,O,O,X,X,X,X
TLSZIJO,O,O,O,X,X,X,X,X
TLSZIOJ,O,X,O,X,X,X,X,X
TLSZJIO,O,O,O,X,X,X,X,X
TLSZJOI,O,X,O,X,X,X,X,X
TLSZOIJ,O,X,O,X,X,X,X,X
TLSZOJI,O,X,O,X,X,X,X,X
TLSOIJZ,O,X,O,O,X,X,X,X
TLSOIZJ,O,X,O,X,X,X,X,X
TLSOJIZ,O,X,O,O,X,X,X,X
TLSOJZI,O,X,O,O,X,X,X,X
TLSOZIJ,O,X,O,X,X,X,X,X
TLSOZJI,O,X,O,X,X,X,X,X
TLZIJSO,X,O,X,X,O,X,X,O
TLZIJOS,O,X,O,X,O,X,X,O
TLZISJO,X,O,O,X,X,X,X,O
TLZISOJ,X,X,O,X,X,X,X,O
TLZIOJS,O,X,O,X,X,X,X,O
TLZIOSJ,X,X,O,X,X,X,X,O
TLZJISO,X,O,X,X,O,X,X,X
TLZJIOS,O,X,O,X,O,X,X,X
TLZJSIO,X,O,O,X,O,X,X,X
TLZJSOI,X,X,O,X,O,X,X,X
TLZJOIS,O,X,O,X,O,X,X,X
TLZJOSI,O,X,X,X,O,X,X,X
TLZSIJO,O,O,O,X,X,X,X,X
TLZSIOJ,O,X,O,X,X,X,X,X
TLZSJIO,O,O,O,X,X,X,X,X
TLZSJOI,O,X,O,X,X,X,X,X
TLZSOIJ,O,X,O,X,X,X,X,X
TLZSOJI,O,X,O,X,X,X,X,X
