sequence,v115@KhA8FeE8EeE8DeA8Je2EJvhFRgBXjBlmBctBTsBCsB,v115@KhA8FeE8EeE8DeA8Je2EJvhFRgB3hBlnBctBzrBCtB,v115@KhA8FeE8EeE8DeA8Je2EJvhFRgBTjBlmBcsBXtBCsB,v115@KhA8FeE8EeE8DeA8Je2EJvhFRgBFiBTjB6rBcsBXtB,v115@KhA8FeE8EeE8DeA8Je2EJvhFRgB3hBCjB8rBToB1xB,v115@KhA8FeE8EeE8DeA8Je2EJvhFRgBlmBcsBToBCsBXtB,v115@KhA8FeE8EeE8DeA8JeT/IvhFigBxiBlmB3nBctBWxB,v115@KhA8FeE8EeE8DeA8Je2EJvhFRgBfoB6oBlmB0sBzrB
IJZTOSL,O,O,O,O,O,O,X,O
IJZLTSO,O,X,O,O,X,X,X,O
IJZLTOS,X,X,X,O,X,O,X,X
IJZLSTO,O,X,O,O,X,X,X,O
IJZLSOT,O,X,O,O,X,X,X,O
IJZLOTS,O,O,X,O,X,O,X,X
IJZLOST,O,O,X,O,X,X,X,X
IJZSTLO,O,X,O,O,X,X,X,O
IJZSTOL,O,X,O,O,X,O,X,O
IJZSLTO,O,X,O,O,X,X,X,O
IJZSLOT,O,X,O,O,X,X,X,O
IJZSOTL,O,O,O,O,X,O,X,O
IJZSOLT,O,O,O,O,X,X,X,O
IJZOTLS,O,O,X,X,O,O,X,X
IJZOTSL,O,O,O,O,O,O,X,O
IJZOLTS,O,O,X,X,O,O,X,X
IJZOLST,O,O,X,X,X,X,X,X
IJZOSTL,O,O,O,O,X,O,X,O
IJZOSLT,O,O,O,O,X,X,X,O
IJOTLSZ,X,X,X,X,O,X,X,X
IJOTLZS,O,X,X,X,O,X,X,X
IJOTSLZ,X,X,X,X,O,X,X,X
IJOTSZL,O,O,X,X,O,X,X,X
IJOTZLS,O,O,X,X,O,O,X,X
IJOTZSL,O,O,O,X,O,O,X,O
IJOLTSZ,X,X,X,X,O,X,X,X
IJOLTZS,O,X,X,O,O,X,X,X
IJOLSTZ,X,X,X,O,O,X,X,X
IJOLSZT,X,O,X,O,X,X,X,X
IJOLZTS,O,O,X,O,O,O,X,X
IJOLZST,O,O,X,O,X,X,X,X
IJOSTLZ,X,X,X,O,O,X,X,X
IJOSTZL,O,O,O,O,O,X,X,X
IJOSLTZ,X,X,X,O,O,X,X,X
IJOSLZT,X,O,O,O,X,X,X,X
IJOSZTL,O,O,O,O,X,O,X,X
IJOSZLT,O,O,O,O,X,X,X,X
IJOZTLS,O,O,X,X,O,O,X,X
IJOZTSL,O,O,O,O,O,O,X,O
IJOZLTS,O,O,X,X,O,O,X,X
IJOZLST,O,O,X,X,X,X,X,X
IJOZSTL,O,O,O,O,X,O,X,O
IJOZSLT,O,O,O,O,X,X,X,O
ISTLJZO,X,X,X,O,O,X,X,X
ISTLJOZ,X,X,X,O,X,X,X,X
ISTLZJO,X,X,X,O,O,X,X,X
ISTLZOJ,X,X,X,O,O,X,X,X
ISTLOJZ,X,X,X,O,X,X,X,X
ISTLOZJ,X,X,X,O,X,X,X,X
ISTJLZO,X,X,X,O,O,X,X,X
ISTJLOZ,X,X,X,O,X,X,X,X
ISTJZLO,O,X,O,O,O,X,X,O
ISTJZOL,O,X,O,O,O,O,X,O
ISTJOLZ,X,X,X,O,O,X,X,X
ISTJOZL,O,O,O,O,O,X,X,X
ISTZLJO,O,X,O,O,O,X,X,O
ISTZLOJ,X,X,O,O,O,X,X,O
ISTZJLO,O,X,O,O,O,X,X,O
ISTZJOL,O,X,O,O,O,O,X,O
ISTZOLJ,X,X,O,O,O,X,X,O
ISTZOJL,O,X,O,O,O,O,X,O
ISTOLJZ,X,X,X,O,O,X,X,X
ISTOLZJ,X,X,X,O,O,X,X,X
ISTOJLZ,X,X,X,O,O,X,X,X
ISTOJZL,O,O,O,O,O,X,X,X
ISTOZLJ,O,O,O,O,O,X,X,X
ISTOZJL,O,O,O,O,O,X,X,X
ISLTJZO,X,X,X,O,X,X,X,X
ISLTJOZ,X,X,X,O,X,X,X,X
ISLTZJO,X,X,X,O,X,X,X,X
ISLTZOJ,X,X,X,O,X,X,X,X
ISLTOJZ,X,X,X,O,X,X,X,X
ISLTOZJ,X,X,X,O,X,X,X,X
ISLJTZO,X,X,X,O,X,X,X,X
ISLJTOZ,X,X,X,O,X,X,X,X
ISLJZTO,X,X,O,O,X,X,X,X
ISLJZOT,X,X,O,O,X,X,X,X
ISLJOTZ,X,X,X,O,X,X,X,X
ISLJOZT,X,O,O,O,X,X,X,X
ISLZTJO,X,X,O,O,X,X,X,X
ISLZTOJ,X,X,O,O,X,X,X,X
ISLZJTO,X,X,O,O,X,X,X,X
ISLZJOT,X,X,O,O,X,X,X,X
ISLZOTJ,X,X,O,O,X,X,X,X
ISLZOJT,X,X,O,O,X,X,X,X
ISLOTJZ,X,X,X,O,X,X,X,X
ISLOTZJ,X,X,X,O,X,X,X,X
ISLOJTZ,X,X,X,O,X,X,X,X
ISLOJZT,X,O,O,O,X,X,X,X
ISLOZTJ,X,O,O,O,X,X,X,X
ISLOZJT,X,O,O,O,X,X,X,X
ISJTLZO,X,X,X,O,O,X,X,X
ISJTLOZ,X,X,X,O,X,X,X,X
ISJTZLO,O,X,O,O,O,X,X,O
ISJTZOL,O,X,O,O,O,O,X,O
ISJTOLZ,X,X,X,O,O,X,X,X
ISJTOZL,O,O,O,O,O,X,X,X
ISJLTZO,X,X,X,O,X,X,X,X
ISJLTOZ,X,X,X,O,X,X,X,X
ISJLZTO,X,X,O,O,X,X,X,X
ISJLZOT,X,X,O,O,X,X,X,X
ISJLOTZ,X,X,X,O,X,X,X,X
ISJLOZT,X,O,O,O,X,X,X,X
ISJZTLO,O,X,O,O,X,X,X,O
ISJZTOL,O,X,O,O,X,O,X,O
ISJZLTO,O,X,O,O,X,X,X,O
ISJZLOT,O,X,O,O,X,X,X,O
ISJZOTL,O,O,O,O,X,O,X,O
ISJZOLT,O,O,O,O,X,X,X,O
ISJOTLZ,X,X,X,O,O,X,X,X
ISJOTZL,O,O,O,O,O,X,X,X
ISJOLTZ,X,X,X,O,O,X,X,X
ISJOLZT,X,O,O,O,X,X,X,X
ISJOZTL,O,O,O,O,X,O,X,X
ISJOZLT,O,O,O,O,X,X,X,X
ISZTLJO,O,X,O,O,X,X,X,O
ISZTLOJ,X,X,O,O,X,X,X,O
ISZTJLO,O,X,O,O,X,X,X,O
ISZTJOL,O,X,O,O,X,O,X,O
ISZTOLJ,O,X,O,O,X,X,X,O
ISZTOJL,O,X,O,O,X,O,X,O
ISZLTJO,O,X,O,O,X,X,X,O
ISZLTOJ,X,X,O,O,X,X,X,O
ISZLJTO,O,X,O,O,X,X,X,O
ISZLJOT,O,X,O,O,X,X,X,O
ISZLOTJ,O,X,O,O,X,X,X,O
ISZLOJT,O,X,O,O,X,X,X,O
ISZJTLO,O,X,O,O,X,X,X,O
ISZJTOL,O,X,O,O,X,O,X,O
ISZJLTO,O,X,O,O,X,X,X,O
ISZJLOT,O,X,O,O,X,X,X,O
ISZJOTL,O,O,O,O,X,O,X,O
ISZJOLT,O,O,O,O,X,X,X,O
ISZOTLJ,O,O,O,O,X,X,X,O
ISZOTJL,O,O,O,O,X,O,X,O
ISZOLTJ,O,O,O,O,X,X,X,O
ISZOLJT,O,O,O,O,X,X,X,O
ISZOJTL,O,O,O,O,X,O,X,O
ISZOJLT,O,O,O,O,X,X,X,O
ISOTLJZ,X,X,X,O,O,X,X,X
ISOTLZJ,X,X,X,O,O,X,X,X
ISOTJLZ,X,X,X,O,O,X,X,X
ISOTJZL,O,O,O,O,O,X,X,X
ISOTZLJ,O,O,O,O,O,X,X,X
ISOTZJL,O,O,O,O,O,X,X,X
ISOLTJZ,X,X,X,O,O,X,X,X
ISOLTZJ,X,X,X,O,O,X,X,X
ISOLJTZ,X,X,X,O,O,X,X,X
ISOLJZT,X,O,O,O,X,X,X,X
ISOLZTJ,X,O,O,O,X,X,X,X
ISOLZJT,X,O,O,O,X,X,X,X
ISOJTLZ,X,X,X,O,O,X,X,X
ISOJTZL,O,O,O,O,O,X,X,X
ISOJLTZ,X,X,X,O,O,X,X,X
ISOJLZT,X,O,O,O,X,X,X,X
ISOJZTL,O,O,O,O,X,O,X,X
ISOJZLT,O,O,O,O,X,X,X,X
ISOZTLJ,O,O,O,O,X,X,X,X
ISOZTJL,O,O,O,O,X,O,X,X
ISOZLTJ,O,O,O,O,X,X,X,X
ISOZLJT,O,O,O,O,X,X,X,X
ISOZJTL,O,O,O,O,X,O,X,X
ISOZJLT,O,O,O,O,X,X,X,X
IZTLJSO,O,X,O,O,O,X,X,O
IZTLJOS,X,X,X,X,O,O,X,X
IZTLSJO,O,X,O,O,O,X,O,O
IZTLSOJ,X,X,O,O,O,X,O,O
IZTLOJS,X,X,X,X,O,O,X,X
IZTLOSJ,X,X,X,X,O,X,O,X
IZTJLSO,O,X,O,O,O,X,X,O
IZTJLOS,X,X,X,X,O,O,X,X
IZTJSLO,O,X,O,O,O,X,X,O
IZTJSOL,O,X,O,O,O,O,X,O
IZTJOLS,O,O,X,X,O,O,X,X
IZTJOSL,O,O,O,O,O,O,X,O
IZTSLJO,O,X,O,O,O,X,O,O
IZTSLOJ,X,X,O,O,O,X,O,O
IZTSJLO,O,X,O,O,O,X,O,O
IZTSJOL,O,X,O,O,O,O,O,O
IZTSOLJ,O,X,O,O,O,X,O,O
IZTSOJL,O,X,O,O,O,O,O,O
IZTOLJS,O,O,X,X,O,O,X,X
IZTOLSJ,O,O,X,X,O,X,O,X
IZTOJLS,O,O,X,X,O,O,X,X
IZTOJSL,O,O,O,O,O,O,X,O
IZTOSLJ,O,O,O,O,O,X,O,O
IZTOSJL,O,O,O,O,O,O,O,O
IZLTJSO,O,X,O,O,X,X,X,O
IZLTJOS,X,X,X,O,X,O,X,X
IZLTSJO,O,X,O,O,X,X,O,O
IZLTSOJ,X,X,O,O,X,X,O,O
IZLTOJS,X,X,X,O,X,O,X,X
IZLTOSJ,X,X,X,O,X,X,O,X
IZLJTSO,O,X,O,O,X,X,X,O
IZLJTOS,X,X,X,O,X,O,X,X
IZLJSTO,O,X,O,O,X,X,X,O
IZLJSOT,O,X,O,O,X,X,X,O
IZLJOTS,O,O,X,O,X,O,X,X
IZLJOST,O,O,X,O,X,X,X,X
IZLSTJO,O,X,O,O,X,X,O,O
IZLSTOJ,X,X,O,O,X,X,O,O
IZLSJTO,O,X,O,O,X,X,X,O
IZLSJOT,O,X,O,O,X,X,X,O
IZLSOTJ,O,X,O,O,X,X,O,O
IZLSOJT,O,X,O,O,X,X,X,O
IZLOTJS,O,O,X,O,X,O,X,X
IZLOTSJ,O,O,X,O,X,X,O,X
IZLOJTS,O,O,X,O,X,O,X,X
IZLOJST,O,O,X,O,X,X,X,X
IZLOSTJ,O,O,X,O,X,X,O,X
IZLOSJT,O,O,X,O,X,X,X,X
IZJTLSO,O,X,O,O,O,X,X,O
IZJTLOS,X,X,X,X,O,O,X,X
IZJTSLO,O,X,O,O,O,X,X,O
IZJTSOL,O,X,O,O,O,O,X,O
IZJTOLS,O,O,X,X,O,O,X,X
IZJTOSL,O,O,O,O,O,O,X,O
IZJLTSO,O,X,O,O,X,X,X,O
IZJLTOS,X,X,X,O,X,O,X,X
IZJLSTO,O,X,O,O,X,X,X,O
IZJLSOT,O,X,O,O,X,X,X,O
IZJLOTS,O,O,X,O,X,O,X,X
IZJLOST,O,O,X,O,X,X,X,X
IZJSTLO,O,X,O,O,X,X,O,O
IZJSTOL,O,X,O,O,X,O,O,O
IZJSLTO,O,X,O,O,X,X,X,O
IZJSLOT,O,X,O,O,X,X,X,O
IZJSOTL,O,O,O,O,X,O,O,O
IZJSOLT,O,O,O,O,X,X,X,O
IZJOTLS,O,O,X,X,O,O,X,X
IZJOTSL,O,O,O,O,O,O,X,O
IZJOLTS,O,O,X,X,O,O,X,X
IZJOLST,O,O,X,X,X,X,X,X
IZJOSTL,O,O,O,O,X,O,O,O
IZJOSLT,O,O,O,O,X,X,X,O
IZSTLJO,O,X,O,O,X,X,O,O
IZSTLOJ,X,X,O,O,X,X,O,O
IZSTJLO,O,X,O,O,X,X,O,O
IZSTJOL,O,X,O,O,X,O,O,O
IZSTOLJ,O,X,O,O,X,X,O,O
IZSTOJL,O,X,O,O,X,O,O,O
IZSLTJO,O,X,O,O,X,X,O,O
IZSLTOJ,X,X,O,O,X,X,O,O
IZSLJTO,O,X,O,O,X,X,X,O
IZSLJOT,O,X,O,O,X,X,X,O
IZSLOTJ,O,X,O,O,X,X,O,O
IZSLOJT,O,X,O,O,X,X,X,O
IZSJTLO,O,X,O,O,X,X,O,O
IZSJTOL,O,X,O,O,X,O,O,O
IZSJLTO,O,X,O,O,X,X,X,O
IZSJLOT,O,X,O,O,X,X,X,O
IZSJOTL,O,O,O,O,X,O,O,O
IZSJOLT,O,O,O,O,X,X,X,O
IZSOTLJ,O,O,O,O,X,X,O,O
IZSOTJL,O,O,O,O,X,O,O,O
IZSOLTJ,O,O,O,O,X,X,O,O
IZSOLJT,O,O,O,O,X,X,X,O
IZSOJTL,O,O,O,O,X,O,O,O
IZSOJLT,O,O,O,O,X,X,X,O
IZOTLJS,O,O,X,X,O,O,X,X
IZOTLSJ,O,O,X,X,O,X,O,X
IZOTJLS,O,O,X,X,O,O,X,X
IZOTJSL,O,O,O,O,O,O,X,O
IZOTSLJ,O,O,O,O,O,X,O,O
IZOTSJL,O,O,O,O,O,O,O,O
IZOLTJS,O,O,X,X,O,O,X,X
IZOLTSJ,O,O,X,X,O,X,O,X
IZOLJTS,O,O,X,X,O,O,X,X
IZOLJST,O,O,X,X,X,X,X,X
IZOLSTJ,O,O,X,X,X,X,O,X
IZOLSJT,O,O,X,X,X,X,X,X
IZOJTLS,O,O,X,X,O,O,X,X
IZOJTSL,O,O,O,O,O,O,X,O
IZOJLTS,O,O,X,X,O,O,X,X
IZOJLST,O,O,X,X,X,X,X,X
IZOJSTL,O,O,O,O,X,O,O,O
IZOJSLT,O,O,O,O,X,X,X,O
IZOSTLJ,O,O,O,O,X,X,O,O
IZOSTJL,O,O,O,O,X,O,O,O
IZOSLTJ,O,O,O,O,X,X,O,O
IZOSLJT,O,O,O,O,X,X,X,O
IZOSJTL,O,O,O,O,X,O,O,O
IZOSJLT,O,O,O,O,X,X,X,O
IOTLJSZ,X,X,X,X,O,X,X,X
IOTLJZS,O,X,X,X,O,X,X,X
IOTLSJZ,X,X,X,X,O,X,X,X
IOTLSZJ,X,X,X,X,O,X,X,X
IOTLZJS,O,X,X,X,O,X,X,X
IOTLZSJ,O,X,X,X,O,X,O,X
IOTJLSZ,X,X,X,X,O,X,X,X
IOTJLZS,O,X,X,X,O,X,X,X
IOTJSLZ,X,X,X,X,O,X,X,X
IOTJSZL,O,O,X,X,O,X,X,X
IOTJZLS,O,O,X,X,O,O,X,X
IOTJZSL,O,O,O,X,O,O,X,O
IOTSLJZ,X,X,X,X,O,X,X,X
IOTSLZJ,X,X,X,X,O,X,X,X
IOTSJLZ,X,X,X,X,O,X,X,X
IOTSJZL,O,O,X,X,O,X,X,X
IOTSZLJ,O,O,X,X,O,X,X,X
IOTSZJL,O,O,X,X,O,X,X,X
IOTZLJS,O,O,X,X,O,O,X,X
IOTZLSJ,O,O,X,X,O,X,O,X
IOTZJLS,O,O,X,X,O,O,X,X
IOTZJSL,O,O,O,X,O,O,X,O
IOTZSLJ,O,O,O,X,O,X,O,O
IOTZSJL,O,O,O,X,O,O,O,O
IOLTJSZ,X,X,X,X,O,X,X,X
IOLTJZS,O,X,X,O,O,X,X,X
IOLTSJZ,X,X,X,X,O,X,X,X
IOLTSZJ,X,X,X,X,O,X,X,X
IOLTZJS,O,X,X,O,O,X,X,X
IOLTZSJ,O,X,X,O,O,X,O,X
IOLJTSZ,X,X,X,X,O,X,X,X
IOLJTZS,O,X,X,O,O,X,X,X
IOLJSTZ,X,X,X,O,O,X,X,X
IOLJSZT,X,O,X,O,X,X,X,X
IOLJZTS,O,O,X,O,O,O,X,X
IOLJZST,O,O,X,O,X,X,X,X
IOLSTJZ,X,X,X,O,O,X,X,X
IOLSTZJ,X,X,X,O,O,X,X,X
IOLSJTZ,X,X,X,O,O,X,X,X
IOLSJZT,X,O,X,O,X,X,X,X
IOLSZTJ,X,O,X,O,X,X,X,X
IOLSZJT,X,O,X,O,X,X,X,X
IOLZTJS,O,O,X,O,O,O,X,X
IOLZTSJ,O,O,X,O,O,X,O,X
IOLZJTS,O,O,X,O,O,O,X,X
IOLZJST,O,O,X,O,X,X,X,X
IOLZSTJ,O,O,X,O,X,X,O,X
IOLZSJT,O,O,X,O,X,X,X,X
IOJTLSZ,X,X,X,X,O,X,X,X
IOJTLZS,O,X,X,X,O,X,X,X
IOJTSLZ,X,X,X,X,O,X,X,X
IOJTSZL,O,O,X,X,O,X,X,X
IOJTZLS,O,O,X,X,O,O,X,X
IOJTZSL,O,O,O,X,O,O,X,O
IOJLTSZ,X,X,X,X,O,X,X,X
IOJLTZS,O,X,X,O,O,X,X,X
IOJLSTZ,X,X,X,O,O,X,X,X
IOJLSZT,X,O,X,O,X,X,X,X
IOJLZTS,O,O,X,O,O,O,X,X
IOJLZST,O,O,X,O,X,X,X,X
IOJSTLZ,X,X,X,O,O,X,X,X
IOJSTZL,O,O,O,O,O,X,X,X
IOJSLTZ,X,X,X,O,O,X,X,X
IOJSLZT,X,O,O,O,X,X,X,X
IOJSZTL,O,O,O,O,X,O,X,X
IOJSZLT,O,O,O,O,X,X,X,X
IOJZTLS,O,O,X,X,O,O,X,X
IOJZTSL,O,O,O,O,O,O,X,O
IOJZLTS,O,O,X,X,O,O,X,X
IOJZLST,O,O,X,X,X,X,X,X
IOJZSTL,O,O,O,O,X,O,X,O
IOJZSLT,O,O,O,O,X,X,X,O
IOSTLJZ,X,X,X,O,O,X,X,X
IOSTLZJ,X,X,X,O,O,X,X,X
IOSTJLZ,X,X,X,O,O,X,X,X
IOSTJZL,O,O,O,O,O,X,X,X
IOSTZLJ,O,O,O,O,O,X,X,X
IOSTZJL,O,O,O,O,O,X,X,X
IOSLTJZ,X,X,X,O,O,X,X,X
IOSLTZJ,X,X,X,O,O,X,X,X
IOSLJTZ,X,X,X,O,O,X,X,X
IOSLJZT,X,O,O,O,X,X,X,X
IOSLZTJ,X,O,O,O,X,X,X,X
IOSLZJT,X,O,O,O,X,X,X,X
IOSJTLZ,X,X,X,O,O,X,X,X
IOSJTZL,O,O,O,O,O,X,X,X
IOSJLTZ,X,X,X,O,O,X,X,X
IOSJLZT,X,O,O,O,X,X,X,X
IOSJZTL,O,O,O,O,X,O,X,X
IOSJZLT,O,O,O,O,X,X,X,X
IOSZTLJ,O,O,O,O,X,X,X,X
IOSZTJL,O,O,O,O,X,O,X,X
IOSZLTJ,O,O,O,O,X,X,X,X
IOSZLJT,O,O,O,O,X,X,X,X
IOSZJTL,O,O,O,O,X,O,X,X
IOSZJLT,O,O,O,O,X,X,X,X
IOZTLJS,O,O,X,X,O,O,X,X
IOZTLSJ,O,O,X,X,O,X,O,X
IOZTJLS,O,O,X,X,O,O,X,X
IOZTJSL,O,O,O,O,O,O,X,O
IOZTSLJ,O,O,O,O,O,X,O,O
IOZTSJL,O,O,O,O,O,O,O,O
IOZLTJS,O,O,X,X,O,O,X,X
IOZLTSJ,O,O,X,X,O,X,O,X
IOZLJTS,O,O,X,X,O,O,X,X
IOZLJST,O,O,X,X,X,X,X,X
IOZLSTJ,O,O,X,X,X,X,O,X
IOZLSJT,O,O,X,X,X,X,X,X
IOZJTLS,O,O,X,X,O,O,X,X
IOZJTSL,O,O,O,O,O,O,X,O
IOZJLTS,O,O,X,X,O,O,X,X
IOZJLST,O,O,X,X,X,X,X,X
IOZJSTL,O,O,O,O,X,O,O,O
IOZJSLT,O,O,O,O,X,X,X,O
IOZSTLJ,O,O,O,O,X,X,O,O
IOZSTJL,O,O,O,O,X,O,O,O
IOZSLTJ,O,O,O,O,X,X,O,O
IOZSLJT,O,O,O,O,X,X,X,O
IOZSJTL,O,O,O,O,X,O,O,O
IOZSJLT,O,O,O,O,X,X,X,O
LTIJSZO,X,X,X,O,O,X,X,X
LTIJSOZ,X,X,X,O,X,X,X,X
LTIJZSO,O,X,O,O,O,X,X,O
LTIJZOS,X,X,X,O,O,O,X,X
LTIJOSZ,X,X,X,X,O,X,X,X
LTIJOZS,O,X,X,O,O,X,X,X
LTISJZO,X,X,X,O,O,X,X,X
LTISJOZ,X,X,X,O,X,X,X,X
LTISZJO,X,X,X,O,O,X,X,X
LTISZOJ,X,X,X,O,O,X,X,X
LTISOJZ,X,X,X,O,X,X,X,X
LTISOZJ,X,X,X,O,X,X,X,X
LTIZJSO,O,X,O,O,O,X,X,O
LTIZJOS,X,X,X,O,O,O,X,X
LTIZSJO,O,X,O,O,O,X,O,O
LTIZSOJ,X,X,O,O,O,X,O,O
LTIZOJS,X,X,X,O,O,O,X,X
LTIZOSJ,X,X,X,O,O,X,O,X
LTIOJSZ,X,X,X,X,O,X,X,X
LTIOJZS,O,X,X,O,O,X,X,X
LTIOSJZ,X,X,X,X,O,X,X,X
LTIOSZJ,X,X,X,X,O,X,X,X
LTIOZJS,O,X,X,O,O,X,X,X
LTIOZSJ,O,X,X,O,O,X,O,X
LTJISZO,X,X,X,O,O,X,X,X
LTJISOZ,X,X,X,O,X,X,X,X
LTJIZSO,O,X,O,O,O,X,X,O
LTJIZOS,X,X,X,O,O,O,X,X
LTJIOSZ,X,X,X,X,O,X,X,X
LTJIOZS,O,X,X,O,O,X,X,X
LTJSIZO,X,X,X,O,O,X,X,X
LTJSIOZ,X,X,X,O,X,X,X,X
LTJSZIO,X,X,X,O,O,X,X,X
LTJSZOI,X,X,X,O,O,X,X,X
LTJSOIZ,X,X,X,O,X,X,X,X
LTJSOZI,X,X,X,O,X,X,X,X
LTJZISO,O,X,O,O,O,X,X,O
LTJZIOS,X,X,X,O,O,O,X,X
LTJZSIO,O,X,O,O,O,X,O,O
LTJZSOI,O,X,O,O,O,X,O,O
LTJZOIS,X,X,X,O,O,O,X,X
LTJZOSI,X,X,X,O,O,O,O,X
LTJOISZ,X,X,X,X,O,X,X,X
LTJOIZS,O,X,X,O,O,X,X,X
LTJOSIZ,X,X,X,X,O,X,X,X
LTJOSZI,X,X,X,X,O,X,X,X
LTJOZIS,O,X,X,O,O,X,X,X
LTJOZSI,O,X,X,O,O,X,O,X
LTSIJZO,X,X,X,O,O,X,X,X
LTSIJOZ,X,X,X,O,X,X,X,X
LTSIZJO,X,X,X,O,O,X,X,X
LTSIZOJ,X,X,X,O,O,X,X,X
LTSIOJZ,X,X,X,O,X,X,X,X
LTSIOZJ,X,X,X,O,X,X,X,X
LTSJIZO,X,X,X,O,O,X,X,X
LTSJIOZ,X,X,X,O,X,X,X,X
LTSJZIO,X,X,X,O,O,X,X,X
LTSJZOI,X,X,X,O,O,X,X,X
LTSJOIZ,X,X,X,O,X,X,X,X
LTSJOZI,X,X,X,O,X,X,X,X
LTSZIJO,X,X,X,O,O,X,O,X
LTSZIOJ,X,X,X,O,O,X,O,X
LTSZJIO,X,X,X,O,O,X,O,X
LTSZJOI,X,X,X,O,O,X,O,X
LTSZOIJ,X,X,X,O,O,X,O,X
LTSZOJI,X,X,X,O,O,X,O,X
LTSOIJZ,X,X,X,O,X,X,X,X
LTSOIZJ,X,X,X,O,X,X,X,X
LTSOJIZ,X,X,X,O,X,X,X,X
LTSOJZI,X,X,X,O,X,X,X,X
LTSOZIJ,X,X,X,O,X,X,O,X
LTSOZJI,X,X,X,O,X,X,O,X
LTZIJSO,O,X,O,O,O,X,X,O
LTZIJOS,X,X,X,O,O,O,X,X
LTZISJO,O,X,O,O,O,X,O,O
LTZISOJ,X,X,O,O,O,X,O,O
LTZIOJS,X,X,X,O,O,O,X,X
LTZIOSJ,X,X,X,O,O,X,O,X
LTZJISO,O,X,O,O,O,X,X,O
LTZJIOS,X,X,X,O,O,O,X,X
LTZJSIO,O,X,O,O,O,X,O,O
LTZJSOI,O,X,O,O,O,X,O,O
LTZJOIS,X,X,X,O,O,O,X,X
LTZJOSI,X,X,X,O,O,O,O,X
LTZSIJO,O,X,O,O,O,X,O,O
LTZSIOJ,X,X,O,O,O,X,O,O
LTZSJIO,O,X,O,O,O,X,O,O
LTZSJOI,O,X,O,O,O,X,O,O
LTZSOIJ,X,X,O,O,O,X,O,O
LTZSOJI,X,X,O,O,O,X,O,O
LTZOIJS,X,X,X,O,O,O,X,X
LTZOISJ,X,X,X,O,O,X,O,X
LTZOJIS,X,X,X,O,O,O,X,X
LTZOJSI,X,X,X,O,O,O,O,X
LTZOSIJ,X,X,X,O,O,X,O,X
LTZOSJI,X,X,X,O,O,X,O,X
LTOIJSZ,X,X,X,X,O,X,X,X
LTOIJZS,O,X,X,O,O,X,X,X
LTOISJZ,X,X,X,X,O,X,X,X
LTOISZJ,X,X,X,X,O,X,X,X
LTOIZJS,O,X,X,O,O,X,X,X
LTOIZSJ,O,X,X,O,O,X,O,X
LTOJISZ,X,X,X,X,O,X,X,X
LTOJIZS,O,X,X,O,O,X,X,X
LTOJSIZ,X,X,X,X,O,X,X,X
LTOJSZI,X,X,X,X,O,X,X,X
LTOJZIS,O,X,X,O,O,X,X,X
LTOJZSI,O,X,X,O,O,X,O,X
LTOSIJZ,X,X,X,X,O,X,X,X
LTOSIZJ,X,X,X,X,O,X,X,X
LTOSJIZ,X,X,X,X,O,X,X,X
LTOSJZI,X,X,X,X,O,X,X,X
LTOSZIJ,X,X,X,X,O,X,O,X
LTOSZJI,X,X,X,X,O,X,O,X
LTOZIJS,O,X,X,O,O,X,X,X
LTOZISJ,O,X,X,O,O,X,O,X
LTOZJIS,O,X,X,O,O,X,X,X
LTOZJSI,O,X,X,O,O,X,O,X
LTOZSIJ,O,X,X,O,O,X,O,X
LTOZSJI,O,X,X,O,O,X,O,X
LITJSZO,X,X,X,O,O,X,X,X
LITJSOZ,X,X,X,O,X,X,X,X
LITJZSO,O,X,O,O,O,X,X,O
LITJZOS,X,X,X,O,O,O,X,X
LITJOSZ,X,X,X,X,O,X,X,X
LITJOZS,O,X,X,O,O,X,X,X
LITSJZO,X,X,X,O,O,X,X,X
LITSJOZ,X,X,X,O,X,X,X,X
LITSZJO,X,X,X,O,O,X,X,X
LITSZOJ,X,X,X,O,O,X,X,X
LITSOJZ,X,X,X,O,X,X,X,X
LITSOZJ,X,X,X,O,X,X,X,X
LITZJSO,O,X,O,O,O,X,X,O
LITZJOS,X,X,X,O,O,O,X,X
LITZSJO,O,X,O,O,O,X,O,O
LITZSOJ,X,X,O,O,O,X,O,O
LITZOJS,X,X,X,O,O,O,X,X
LITZOSJ,X,X,X,O,O,X,O,X
LITOJSZ,X,X,X,X,O,X,X,X
LITOJZS,O,X,X,O,O,X,X,X
LITOSJZ,X,X,X,X,O,X,X,X
LITOSZJ,X,X,X,X,O,X,X,X
LITOZJS,O,X,X,O,O,X,X,X
LITOZSJ,O,X,X,O,O,X,O,X
LIJTSZO,X,X,X,O,O,X,X,X
LIJTSOZ,X,X,X,O,X,X,X,X
LIJTZSO,O,X,O,O,O,X,X,O
LIJTZOS,X,X,X,O,O,O,X,X
LIJTOSZ,X,X,X,X,O,X,X,X
LIJTOZS,O,X,X,O,O,X,X,X
LIJSTZO,X,X,X,O,X,X,X,X
LIJSTOZ,X,X,X,O,X,X,X,X
LIJSZTO,X,X,O,O,X,X,X,X
LIJSZOT,X,X,O,O,X,X,X,X
LIJSOTZ,X,X,X,O,X,X,X,X
LIJSOZT,X,O,O,O,X,X,X,X
LIJZTSO,O,X,O,O,X,X,X,O
LIJZTOS,X,X,X,O,X,O,X,X
LIJZSTO,O,X,O,O,X,X,X,O
