sequence,v115@KhA8FeE8EeE8DeA8Je2EJvhFRgBXjBlmBctBTsBCsB,v115@KhA8FeE8EeE8DeA8Je2EJvhFRgB3hBlnBctBzrBCtB,v115@KhA8FeE8EeE8DeA8Je2EJvhFRgBTjBlmBcsBXtBCsB,v115@KhA8FeE8EeE8DeA8Je2EJvhFRgBFiBTjB6rBcsBXtB,v115@KhA8FeE8EeE8DeA8Je2EJvhFRgB3hBCjB8rBToB1xB,v115@KhA8FeE8EeE8DeA8Je2EJvhFRgBlmBcsBToBCsBXtB,v115@KhA8FeE8EeE8DeA8JeT/IvhFigBxiBlmB3nBctBWxB,v115@KhA8FeE8EeE8DeA8Je2EJvhFRgBfoB6oBlmB0sBzrB
TLZIJSO,O,X,O,O,O,X,X,O
TLZIJOS,X,X,X,O,O,O,X,X
TLZISJO,O,X,O,O,O,X,O,O
TLZISOJ,X,X,O,O,O,X,O,O
TLZIOJS,X,X,X,O,O,O,X,X
TLZIOSJ,X,X,X,O,O,X,O,X
TLZJISO,O,X,O,O,O,X,X,O
TLZJIOS,X,X,X,O,O,O,X,X
TLZJSIO,O,X,O,O,O,X,O,O
TLZJSOI,O,X,O,O,O,X,O,O
TLZJOIS,X,X,X,O,O,O,X,X
TLZJOSI,X,X,X,O,O,O,O,X
TLZSIJO,O,X,O,O,O,X,O,O
TLZSIOJ,X,X,O,O,O,X,O,O
TLZSJIO,O,X,O,O,O,X,O,O
TLZSJOI,O,X,O,O,O,X,O,O
TLZSOIJ,X,X,O,O,O,X,O,O
TLZSOJI,X,X,O,O,O,X,O,O
TLZOIJS,X,X,X,O,O,O,X,X
TLZOISJ,X,X,X,O,O,X,O,X
TLZOJIS,X,X,X,O,O,O,X,X
TLZOJSI,X,X,X,O,O,O,O,X
TLZOSIJ,X,X,X,O,O,X,O,X
TLZOSJI,X,X,X,O,O,X,O,X
TLOIJSZ,X,X,X,X,O,X,X,X
TLOIJZS,O,X,X,O,O,X,X,X
TLOISJZ,X,X,X,X,O,X,X,X
TLOISZJ,X,X,X,X,O,X,X,X
TLOIZJS,O,X,X,O,O,X,X,X
TLOIZSJ,O,X,X,O,O,X,O,X
TLOJISZ,X,X,X,X,O,X,X,X
TLOJIZS,O,X,X,O,O,X,X,X
TLOJSIZ,X,X,X,X,O,X,X,X
TLOJSZI,X,X,X,X,O,X,X,X
TLOJZIS,O,X,X,O,O,X,X,X
TLOJZSI,O,X,X,O,O,X,O,X
TLOSIJZ,X,X,X,X,O,X,X,X
TLOSIZJ,X,X,X,X,O,X,X,X
TLOSJIZ,X,X,X,X,O,X,X,X
TLOSJZI,X,X,X,X,O,X,X,X
TLOSZIJ,X,X,X,X,O,X,O,X
TLOSZJI,X,X,X,X,O,X,O,X
TLOZIJS,O,X,X,O,O,X,X,X
TLOZISJ,O,X,X,O,O,X,O,X
TLOZJIS,O,X,X,O,O,X,X,X
TLOZJSI,O,X,X,O,O,X,O,X
TLOZSIJ,O,X,X,O,O,X,O,X
TLOZSJI,O,X,X,O,O,X,O,X
TJILSZO,X,X,X,O,O,X,X,X
TJILSOZ,X,X,X,O,X,X,X,X
TJILZSO,O,X,O,O,O,X,X,O
TJILZOS,X,X,X,O,O,O,X,X
TJILOSZ,X,X,X,X,O,X,X,X
TJILOZS,O,X,X,O,O,X,X,X
TJISLZO,X,X,X,O,O,X,X,X
TJISLOZ,X,X,X,O,X,X,X,X
TJISZLO,O,X,O,O,O,X,X,O
TJISZOL,O,X,O,O,O,O,X,O
TJISOLZ,X,X,X,O,O,X,X,X
TJISOZL,O,O,O,O,O,X,X,X
TJIZLSO,O,X,O,O,O,X,X,O
TJIZLOS,X,X,X,X,O,O,X,X
TJIZSLO,O,X,O,O,O,X,X,O
TJIZSOL,O,X,O,O,O,O,X,O
TJIZOLS,O,O,X,X,O,O,X,X
TJIZOSL,O,O,O,O,O,O,X,O
TJIOLSZ,X,X,X,X,O,X,X,X
TJIOLZS,O,X,X,X,O,X,X,X
TJIOSLZ,X,X,X,X,O,X,X,X
TJIOSZL,O,O,X,X,O,X,X,X
TJIOZLS,O,O,X,X,O,O,X,X
TJIOZSL,O,O,O,X,O,O,X,O
TJLISZO,X,X,X,O,O,X,X,X
TJLISOZ,X,X,X,O,X,X,X,X
TJLIZSO,O,X,O,O,O,X,X,O
TJLIZOS,X,X,X,O,O,O,X,X
TJLIOSZ,X,X,X,X,O,X,X,X
TJLIOZS,O,X,X,O,O,X,X,X
