sequence,v115@PhD8FeE8DeC8JeT/IvhF2lBxiBCnBFmB0qBXsB,v115@PhD8FeE8DeC8JeT/IvhF2lBxiBSsBlqBfsBUrB,v115@PhD8FeE8DeC8JeT/IvhF3gB1mBxiBcsB2qBSwB,v115@PhD8FeE8DeC8JeT/IvhF0gBxiB2qBFsBCsBXrB,v115@PhD8FeE8DeC8JeT/IvhFxiB2qBSsBfsBUrBlqB,v115@PhD8FeE8DeC8JeT/IvhFXhBxiB2qBCsBFsB0qB,v115@PhD8FeE8DeC8JeT/IvhF0gBxiB2qBCsBFsBXrB
ISOTZJL,O,X,X,X,X,X,X
ISOLTJZ,X,O,X,X,X,X,X
ISOLTZJ,O,O,X,X,X,X,X
ISOLJTZ,X,X,X,X,O,X,X
ISOLJZT,O,X,X,X,O,X,X
ISOLZTJ,O,X,X,X,X,X,X
ISOLZJT,O,X,X,X,X,X,X
ISOJTLZ,X,X,X,O,X,X,X
ISOJTZL,X,X,X,O,X,X,X
ISOJLTZ,X,X,X,X,O,X,X
ISOJLZT,O,X,X,X,O,X,X
ISOJZTL,O,X,X,X,X,X,X
ISOJZLT,O,X,X,X,X,X,X
ISOZTLJ,O,X,O,X,X,X,X
ISOZTJL,O,X,O,X,X,X,X
ISOZLTJ,O,X,O,X,X,X,X
ISOZLJT,O,X,X,X,X,X,X
ISOZJTL,O,X,X,X,X,X,X
ISOZJLT,O,X,X,X,X,X,X
IZTLJSO,X,O,O,X,X,X,X
IZTLJOS,X,O,O,X,X,X,X
IZTLSJO,X,O,O,X,X,X,X
IZTLSOJ,X,O,O,X,X,X,X
IZTLOJS,X,O,O,X,X,X,X
IZTLOSJ,X,O,O,X,X,X,X
IZTJLSO,X,O,O,O,X,X,X
IZTJLOS,X,O,O,O,X,X,X
IZTJSLO,O,X,X,O,X,X,X
IZTJSOL,O,X,O,O,X,X,X
IZTJOLS,X,O,O,O,X,X,X
IZTJOSL,O,X,O,O,X,X,X
IZTSLJO,O,X,O,X,X,X,X
IZTSLOJ,O,X,O,X,X,X,X
IZTSJLO,O,X,X,X,X,X,X
IZTSJOL,O,X,O,X,X,X,X
IZTSOLJ,O,X,O,X,X,X,X
IZTSOJL,O,X,O,X,X,X,X
IZTOLJS,X,O,O,X,X,X,X
IZTOLSJ,X,O,O,X,X,X,X
IZTOJLS,X,O,O,O,X,X,X
IZTOJSL,O,X,O,O,X,X,X
IZTOSLJ,O,X,O,X,X,X,X
IZTOSJL,O,X,O,X,X,X,X
IZLTJSO,X,O,O,X,X,X,X
IZLTJOS,X,O,O,X,X,X,X
IZLTSJO,X,O,O,X,X,X,X
IZLTSOJ,X,O,O,X,X,X,X
IZLTOJS,X,O,O,X,X,X,X
IZLTOSJ,X,O,O,X,X,X,X
IZLJTSO,X,X,O,X,X,X,X
IZLJTOS,X,X,O,X,X,X,X
IZLJSTO,O,X,X,X,O,X,X
IZLJSOT,O,X,X,X,O,X,X
IZLJOTS,X,X,O,X,X,X,X
IZLJOST,O,X,X,X,O,X,X
IZLSTJO,O,X,O,X,X,X,X
IZLSTOJ,O,X,O,X,X,X,X
IZLSJTO,O,X,X,X,X,X,X
IZLSJOT,O,X,X,X,X,X,X
IZLSOTJ,O,X,O,X,X,X,X
IZLSOJT,O,X,X,X,X,X,X
IZLOTJS,X,O,O,X,X,X,X
IZLOTSJ,X,O,O,X,X,X,X
IZLOJTS,X,X,O,X,X,X,X
IZLOJST,O,X,X,X,O,X,X
IZLOSTJ,O,X,O,X,X,X,X
IZLOSJT,O,X,X,X,X,X,X
IZJTLSO,X,X,O,O,X,X,X
IZJTLOS,X,X,O,O,X,X,X
IZJTSLO,O,X,X,O,X,X,X
IZJTSOL,O,X,O,O,X,X,X
IZJTOLS,X,X,O,O,X,X,X
IZJTOSL,O,X,O,O,X,X,X
IZJLTSO,X,X,O,X,X,X,X
IZJLTOS,X,X,O,X,X,X,X
IZJLSTO,O,X,X,X,O,X,X
IZJLSOT,O,X,X,X,O,X,X
IZJLOTS,X,X,O,X,X,X,X
IZJLOST,O,X,X,X,O,X,X
IZJSTLO,O,X,X,X,X,X,X
IZJSTOL,O,X,X,X,X,X,X
IZJSLTO,O,X,X,X,X,X,X
IZJSLOT,O,X,X,X,X,X,X
IZJSOTL,O,X,X,X,X,X,X
IZJSOLT,O,X,X,X,X,X,X
IZJOTLS,X,X,O,O,X,X,X
IZJOTSL,O,X,O,O,X,X,X
IZJOLTS,X,X,O,X,X,X,X
IZJOLST,O,X,X,X,O,X,X
IZJOSTL,O,X,X,X,X,X,X
IZJOSLT,O,X,X,X,X,X,X
IZSTLJO,O,X,O,X,X,X,X
IZSTLOJ,O,X,O,X,X,X,X
IZSTJLO,O,X,X,X,X,X,X
IZSTJOL,O,X,O,X,X,X,X
IZSTOLJ,O,X,O,X,X,X,X
IZSTOJL,O,X,O,X,X,X,X
IZSLTJO,O,X,O,X,X,X,X
IZSLTOJ,O,X,O,X,X,X,X
IZSLJTO,O,X,X,X,X,X,X
IZSLJOT,O,X,X,X,X,X,X
IZSLOTJ,O,X,O,X,X,X,X
IZSLOJT,O,X,X,X,X,X,X
IZSJTLO,O,X,X,X,X,X,X
IZSJTOL,O,X,X,X,X,X,X
IZSJLTO,O,X,X,X,X,X,X
IZSJLOT,O,X,X,X,X,X,X
IZSJOTL,O,X,X,X,X,X,X
IZSJOLT,O,X,X,X,X,X,X
IZSOTLJ,O,X,O,X,X,X,X
IZSOTJL,O,X,O,X,X,X,X
IZSOLTJ,O,X,O,X,X,X,X
IZSOLJT,O,X,X,X,X,X,X
IZSOJTL,O,X,X,X,X,X,X
IZSOJLT,O,X,X,X,X,X,X
IZOTLJS,X,O,O,X,X,X,X
IZOTLSJ,X,O,O,X,X,X,X
IZOTJLS,X,O,O,O,X,X,X
IZOTJSL,O,X,O,O,X,X,X
IZOTSLJ,O,X,O,X,X,X,X
IZOTSJL,O,X,O,X,X,X,X
IZOLTJS,X,O,O,X,X,X,X
IZOLTSJ,X,O,O,X,X,X,X
IZOLJTS,X,X,O,X,X,X,X
IZOLJST,O,X,X,X,O,X,X
IZOLSTJ,O,X,O,X,X,X,X
IZOLSJT,O,X,X,X,X,X,X
IZOJTLS,X,X,O,O,X,X,X
IZOJTSL,O,X,O,O,X,X,X
IZOJLTS,X,X,O,X,X,X,X
IZOJLST,O,X,X,X,O,X,X
IZOJSTL,O,X,X,X,X,X,X
IZOJSLT,O,X,X,X,X,X,X
IZOSTLJ,O,X,O,X,X,X,X
IZOSTJL,O,X,O,X,X,X,X
IZOSLTJ,O,X,O,X,X,X,X
IZOSLJT,O,X,X,X,X,X,X
IZOSJTL,O,X,X,X,X,X,X
IZOSJLT,O,X,X,X,X,X,X
IOTLJSZ,X,O,X,O,O,X,X
IOTLJZS,X,O,X,O,X,X,X
IOTLSJZ,X,O,X,X,X,X,X
IOTLSZJ,X,O,X,X,X,X,X
IOTLZJS,X,O,X,X,X,X,X
IOTLZSJ,X,O,X,X,X,X,X
IOTJLSZ,X,O,X,O,O,X,X
IOTJLZS,X,O,X,O,X,X,X
IOTJSLZ,X,O,X,O,X,X,X
IOTJSZL,X,X,X,O,X,X,X
IOTJZLS,X,O,X,O,X,X,X
IOTJZSL,X,X,X,O,X,X,X
IOTSLJZ,X,O,X,X,X,X,X
IOTSLZJ,O,O,X,X,X,X,X
IOTSJLZ,X,O,X,O,X,X,X
IOTSJZL,X,X,X,O,X,X,X
IOTSZLJ,O,X,X,X,X,X,X
IOTSZJL,O,X,X,X,X,X,X
IOTZLJS,X,O,O,X,X,X,X
IOTZLSJ,X,O,O,X,X,X,X
IOTZJLS,X,O,O,O,X,X,X
IOTZJSL,O,X,O,O,X,X,X
IOTZSLJ,O,X,O,X,X,X,X
IOTZSJL,O,X,O,X,X,X,X
IOLTJSZ,X,O,X,O,O,X,X
IOLTJZS,X,O,X,O,X,X,X
IOLTSJZ,X,O,X,X,X,X,X
IOLTSZJ,X,O,O,X,X,X,X
IOLTZJS,X,O,O,X,X,X,X
IOLTZSJ,X,O,O,X,X,X,X
IOLJTSZ,X,O,X,O,O,O,O
IOLJTZS,X,O,X,O,X,O,O
IOLJSTZ,X,X,X,X,O,X,X
IOLJSZT,X,X,X,X,O,X,X
IOLJZTS,X,X,X,X,X,X,O
IOLJZST,X,X,X,X,O,X,X
IOLSTJZ,X,O,X,X,X,X,X
IOLSTZJ,O,O,X,X,X,X,X
IOLSJTZ,X,X,X,X,O,X,X
IOLSJZT,O,X,X,X,O,X,X
IOLSZTJ,O,X,X,X,X,X,X
IOLSZJT,O,X,X,X,X,X,X
IOLZTJS,X,O,O,X,X,X,X
IOLZTSJ,X,O,O,X,X,X,X
IOLZJTS,X,X,O,X,X,X,X
IOLZJST,O,X,X,X,O,X,X
IOLZSTJ,O,X,O,X,X,X,X
IOLZSJT,O,X,X,X,X,X,X
IOJTLSZ,X,O,X,O,O,X,X
IOJTLZS,X,O,X,O,X,X,X
IOJTSLZ,X,O,X,O,X,X,X
IOJTSZL,X,X,X,O,X,X,X
IOJTZLS,X,O,X,O,X,X,X
IOJTZSL,X,X,X,O,X,X,X
IOJLTSZ,X,O,X,O,O,O,O
IOJLTZS,X,O,X,O,X,O,O
IOJLSTZ,X,X,X,X,O,X,X
IOJLSZT,X,X,X,X,O,X,X
IOJLZTS,X,X,X,X,X,X,O
IOJLZST,X,X,X,X,O,X,X
IOJSTLZ,X,X,X,O,X,X,X
IOJSTZL,X,X,X,O,X,X,X
IOJSLTZ,X,X,X,X,O,O,X
IOJSLZT,O,X,X,X,O,X,X
IOJSZTL,O,X,X,X,X,X,X
IOJSZLT,O,X,X,X,X,X,X
IOJZTLS,X,X,O,O,X,X,X
IOJZTSL,O,X,O,O,X,X,X
IOJZLTS,X,X,O,X,X,X,O
IOJZLST,O,X,X,X,O,X,X
IOJZSTL,O,X,X,X,X,X,X
IOJZSLT,O,X,X,X,X,X,X
IOSTLJZ,X,O,X,X,X,X,X
IOSTLZJ,O,O,X,X,X,X,X
IOSTJLZ,X,O,X,O,X,X,X
IOSTJZL,X,X,X,O,X,X,X
IOSTZLJ,O,X,X,X,X,X,X
IOSTZJL,O,X,X,X,X,X,X
IOSLTJZ,X,O,X,X,X,X,X
IOSLTZJ,O,O,X,X,X,X,X
IOSLJTZ,X,X,X,X,O,X,X
IOSLJZT,O,X,X,X,O,X,X
IOSLZTJ,O,X,X,X,X,X,X
IOSLZJT,O,X,X,X,X,X,X
IOSJTLZ,X,X,X,O,X,X,X
IOSJTZL,X,X,X,O,X,X,X
IOSJLTZ,X,X,X,X,O,X,X
IOSJLZT,O,X,X,X,O,X,X
IOSJZTL,O,X,X,X,X,X,X
IOSJZLT,O,X,X,X,X,X,X
IOSZTLJ,O,X,O,X,X,X,X
IOSZTJL,O,X,O,X,X,X,X
IOSZLTJ,O,X,O,X,X,X,X
IOSZLJT,O,X,X,X,X,X,X
IOSZJTL,O,X,X,X,X,X,X
IOSZJLT,O,X,X,X,X,X,X
IOZTLJS,X,O,O,X,X,X,X
IOZTLSJ,X,O,O,X,X,X,X
IOZTJLS,X,O,O,O,X,X,X
IOZTJSL,O,X,O,O,X,X,X
IOZTSLJ,O,X,O,X,X,X,X
IOZTSJL,O,X,O,X,X,X,X
IOZLTJS,X,O,O,X,X,X,X
IOZLTSJ,X,O,O,X,X,X,X
IOZLJTS,X,X,O,X,X,X,X
IOZLJST,O,X,X,X,O,X,X
IOZLSTJ,O,X,O,X,X,X,X
IOZLSJT,O,X,X,X,X,X,X
IOZJTLS,X,X,O,O,X,X,X
IOZJTSL,O,X,O,O,X,X,X
IOZJLTS,X,X,O,X,X,X,X
IOZJLST,O,X,X,X,O,X,X
IOZJSTL,O,X,X,X,X,X,X
IOZJSLT,O,X,X,X,X,X,X
IOZSTLJ,O,X,O,X,X,X,X
IOZSTJL,O,X,O,X,X,X,X
IOZSLTJ,O,X,O,X,X,X,X
IOZSLJT,O,X,X,X,X,X,X
IOZSJTL,O,X,X,X,X,X,X
IOZSJLT,O,X,X,X,X,X,X
LTIJSZO,X,O,X,O,O,X,X
LTIJSOZ,X,O,X,O,O,X,X
LTIJZSO,X,O,X,O,X,X,X
LTIJZOS,X,O,X,O,X,X,X
LTIJOSZ,X,O,X,O,O,X,X
LTIJOZS,X,O,X,O,X,X,X
LTISJZO,X,O,X,X,X,X,X
LTISJOZ,X,O,X,X,X,X,X
LTISZJO,X,O,O,X,X,X,X
LTISZOJ,X,O,O,X,X,X,X
LTISOJZ,X,O,X,X,X,X,X
LTISOZJ,X,O,O,X,X,X,X
LTIZJSO,X,O,O,X,X,X,X
LTIZJOS,X,O,O,X,X,X,X
LTIZSJO,X,O,O,X,X,X,X
LTIZSOJ,X,O,O,X,X,X,X
LTIZOJS,X,O,O,X,X,X,X
LTIZOSJ,X,O,O,X,X,X,X
LTIOJSZ,X,O,X,O,O,X,X
LTIOJZS,X,O,X,O,X,X,X
LTIOSJZ,X,O,X,X,X,X,X
LTIOSZJ,X,O,O,X,X,X,X
LTIOZJS,X,O,O,X,X,X,X
LTIOZSJ,X,O,O,X,X,X,X
LTJISZO,X,O,X,O,O,O,O
LTJISOZ,X,O,X,O,O,O,O
LTJIZSO,X,O,X,O,X,O,O
LTJIZOS,X,O,X,O,X,O,O
LTJIOSZ,X,O,X,O,O,O,O
LTJIOZS,X,O,X,O,X,O,O
LTJSIZO,X,O,X,O,O,O,O
LTJSIOZ,X,O,X,O,O,O,O
LTJSZIO,X,O,O,O,O,O,O
LTJSZOI,X,O,O,O,O,O,O
LTJSOIZ,X,O,X,O,O,O,O
LTJSOZI,X,O,O,O,O,O,O
LTJZISO,X,O,O,O,X,O,O
LTJZIOS,X,O,O,O,X,O,O
LTJZSIO,X,O,O,O,O,O,O
LTJZSOI,X,O,O,O,O,O,O
LTJZOIS,X,O,O,O,X,O,O
LTJZOSI,X,O,O,O,O,O,O
LTJOISZ,X,O,X,O,O,O,O
LTJOIZS,X,O,X,O,X,O,O
LTJOSIZ,X,O,X,O,O,O,O
LTJOSZI,X,O,O,O,O,O,O
LTJOZIS,X,O,O,O,X,O,O
LTJOZSI,X,O,O,O,O,O,O
LTSIJZO,X,O,X,X,X,X,X
LTSIJOZ,X,O,X,X,X,X,X
LTSIZJO,X,O,O,X,X,X,X
LTSIZOJ,X,O,O,X,X,X,X
LTSIOJZ,X,O,X,X,X,X,X
LTSIOZJ,X,O,O,X,X,X,X
LTSJIZO,X,O,X,X,X,X,X
LTSJIOZ,X,O,X,X,X,X,X
LTSJZIO,X,O,O,X,X,X,X
LTSJZOI,X,O,O,X,X,X,X
LTSJOIZ,X,O,X,X,X,X,X
LTSJOZI,X,O,O,X,X,X,X
LTSZIJO,X,O,O,X,X,X,X
LTSZIOJ,X,O,O,X,X,X,X
LTSZJIO,X,O,O,X,X,X,X
LTSZJOI,X,O,O,X,X,X,X
LTSZOIJ,X,O,O,X,X,X,X
LTSZOJI,X,O,O,X,X,X,X
LTSOIJZ,X,O,X,X,X,X,X
LTSOIZJ,X,O,O,X,X,X,X
LTSOJIZ,X,O,X,X,X,X,X
LTSOJZI,X,O,O,X,X,X,X
LTSOZIJ,X,O,O,X,X,X,X
LTSOZJI,X,O,O,X,X,X,X
LTZIJSO,X,O,O,X,X,X,X
LTZIJOS,X,O,O,X,X,X,X
LTZISJO,X,O,O,X,X,X,X
LTZISOJ,X,O,O,X,X,X,X
LTZIOJS,X,O,O,X,X,X,X
LTZIOSJ,X,O,O,X,X,X,X
LTZJISO,X,O,O,X,X,X,X
LTZJIOS,X,O,O,X,X,X,X
LTZJSIO,X,O,O,X,X,X,X
LTZJSOI,X,O,O,X,X,X,X
LTZJOIS,X,O,O,X,X,X,X
LTZJOSI,X,O,O,X,X,X,X
LTZSIJO,X,O,O,X,X,X,X
LTZSIOJ,X,O,O,X,X,X,X
LTZSJIO,X,O,O,X,X,X,X
LTZSJOI,X,O,O,X,X,X,X
LTZSOIJ,X,O,O,X,X,X,X
LTZSOJI,X,O,O,X,X,X,X
LTZOIJS,X,O,O,X,X,X,X
LTZOISJ,X,O,O,X,X,X,X
LTZOJIS,X,O,O,X,X,X,X
LTZOJSI,X,O,O,X,X,X,X
LTZOSIJ,X,O,O,X,X,X,X
LTZOSJI,X,O,O,X,X,X,X
LTOIJSZ,X,O,X,O,O,X,X
LTOIJZS,X,O,X,O,X,X,X
LTOISJZ,X,O,X,X,X,X,X
LTOISZJ,X,O,O,X,X,X,X
LTOIZJS,X,O,O,X,X,X,X
LTOIZSJ,X,O,O,X,X,X,X
LTOJISZ,X,O,X,O,O,O,O
LTOJIZS,X,O,X,O,X,O,O
LTOJSIZ,X,O,X,O,O,O,O
LTOJSZI,X,O,O,O,O,O,O
LTOJZIS,X,O,O,O,X,O,O
LTOJZSI,X,O,O,O,O,O,O
LTOSIJZ,X,O,X,X,X,X,X
LTOSIZJ,X,O,O,X,X,X,X
LTOSJIZ,X,O,X,X,X,X,X
LTOSJZI,X,O,O,X,X,X,X
LTOSZIJ,X,O,O,X,X,X,X
LTOSZJI,X,O,O,X,X,X,X
LTOZIJS,X,O,O,X,X,X,X
LTOZISJ,X,O,O,X,X,X,X
LTOZJIS,X,O,O,X,X,X,X
LTOZJSI,X,O,O,X,X,X,X
LTOZSIJ,X,O,O,X,X,X,X
LTOZSJI,X,O,O,X,X,X,X
LITJSZO,X,O,X,O,O,X,X
LITJSOZ,X,O,X,O,O,X,X
LITJZSO,X,O,X,O,X,X,X
LITJZOS,X,O,X,O,X,X,X
LITJOSZ,X,O,X,O,O,X,X
LITJOZS,X,O,X,O,X,X,X
LITSJZO,X,O,X,X,X,X,X
LITSJOZ,X,O,X,X,X,X,X
LITSZJO,X,O,O,X,X,X,X
LITSZOJ,X,O,O,X,X,X,X
LITSOJZ,X,O,X,X,X,X,X
LITSOZJ,X,O,O,X,X,X,X
LITZJSO,X,O,O,X,X,X,X
LITZJOS,X,O,O,X,X,X,X
LITZSJO,X,O,O,X,X,X,X
LITZSOJ,X,O,O,X,X,X,X
LITZOJS,X,O,O,X,X,X,X
LITZOSJ,X,O,O,X,X,X,X
LITOJSZ,X,O,X,O,O,X,X
LITOJZS,X,O,X,O,X,X,X
LITOSJZ,X,O,X,X,X,X,X
LITOSZJ,X,O,O,X,X,X,X
LITOZJS,X,O,O,X,X,X,X
LITOZSJ,X,O,O,X,X,X,X
LIJTSZO,X,O,X,O,O,O,O
LIJTSOZ,X,O,X,O,O,O,O
LIJTZSO,X,O,X,O,X,O,O
LIJTZOS,X,O,X,O,X,O,O
LIJTOSZ,X,O,X,O,O,O,O
LIJTOZS,X,O,X,O,X,O,O
LIJSTZO,X,X,X,X,O,X,X
LIJSTOZ,X,X,X,X,O,X,X
LIJSZTO,X,X,X,X,O,X,X
LIJSZOT,X,X,X,X,O,X,X
LIJSOTZ,X,X,X,X,O,X,X
LIJSOZT,X,X,X,X,O,X,X
LIJZTSO,X,X,X,X,X,X,O
LIJZTOS,X,X,X,X,X,X,O
LIJZSTO,X,X,X,X,O,X,X
LIJZSOT,X,X,X,X,O,X,X
LIJZOTS,X,X,X,X,X,X,O
LIJZOST,X,X,X,X,O,X,X
LIJOTSZ,X,O,X,O,O,O,O
LIJOTZS,X,O,X,O,X,O,O
LIJOSTZ,X,X,X,X,O,X,X
LIJOSZT,X,X,X,X,O,X,X
LIJOZTS,X,X,X,X,X,X,O
LIJOZST,X,X,X,X,O,X,X
LISTJZO,X,O,X,X,X,X,X
LISTJOZ,X,O,X,X,X,X,X
LISTZJO,O,O,X,X,X,X,X
LISTZOJ,O,O,X,X,X,X,X
LISTOJZ,X,O,X,X,X,X,X
LISTOZJ,O,O,X,X,X,X,X
LISJTZO,X,X,X,X,O,X,X
LISJTOZ,X,X,X,X,O,X,X
LISJZTO,O,X,X,X,O,X,X
LISJZOT,O,X,X,X,O,X,X
LISJOTZ,X,X,X,X,O,X,X
LISJOZT,O,X,X,X,O,X,X
LISZTJO,O,X,X,X,X,X,X
LISZTOJ,O,X,X,X,X,X,X
LISZJTO,O,X,X,X,X,X,X
LISZJOT,O,X,X,X,X,X,X
LISZOTJ,O,X,X,X,X,X,X
LISZOJT,O,X,X,X,X,X,X
LISOTJZ,X,O,X,X,X,X,X
LISOTZJ,O,O,X,X,X,X,X
LISOJTZ,X,X,X,X,O,X,X
LISOJZT,O,X,X,X,O,X,X
LISOZTJ,O,X,X,X,X,X,X
LISOZJT,O,X,X,X,X,X,X
LIZTJSO,X,O,O,X,X,X,X
LIZTJOS,X,O,O,X,X,X,X
LIZTSJO,X,O,O,X,X,X,X
LIZTSOJ,X,O,O,X,X,X,X
LIZTOJS,X,O,O,X,X,X,X
LIZTOSJ,X,O,O,X,X,X,X
LIZJTSO,X,X,O,X,X,X,X
LIZJTOS,X,X,O,X,X,X,X
LIZJSTO,O,X,X,X,O,X,X
LIZJSOT,O,X,X,X,O,X,X
LIZJOTS,X,X,O,X,X,X,X
LIZJOST,O,X,X,X,O,X,X
LIZSTJO,O,X,O,X,X,X,X
LIZSTOJ,O,X,O,X,X,X,X
LIZSJTO,O,X,X,X,X,X,X
LIZSJOT,O,X,X,X,X,X,X
LIZSOTJ,O,X,O,X,X,X,X
LIZSOJT,O,X,X,X,X,X,X
LIZOTJS,X,O,O,X,X,X,X
LIZOTSJ,X,O,O,X,X,X,X
LIZOJTS,X,X,O,X,X,X,X
LIZOJST,O,X,X,X,O,X,X
LIZOSTJ,O,X,O,X,X,X,X
LIZOSJT,O,X,X,X,X,X,X
LIOTJSZ,X,O,X,O,O,X,X
LIOTJZS,X,O,X,O,X,X,X
LIOTSJZ,X,O,X,X,X,X,X
LIOTSZJ,X,O,O,X,X,X,X
LIOTZJS,X,O,O,X,X,X,X
LIOTZSJ,X,O,O,X,X,X,X
LIOJTSZ,X,O,X,O,O,O,O
LIOJTZS,X,O,X,O,X,O,O
LIOJSTZ,X,X,X,X,O,X,X
LIOJSZT,X,X,X,X,O,X,X
LIOJZTS,X,X,X,X,X,X,O
LIOJZST,X,X,X,X,O,X,X
LIOSTJZ,X,O,X,X,X,X,X
LIOSTZJ,O,O,X,X,X,X,X
LIOSJTZ,X,X,X,X,O,X,X
LIOSJZT,O,X,X,X,O,X,X
LIOSZTJ,O,X,X,X,X,X,X
LIOSZJT,O,X,X,X,X,X,X
LIOZTJS,X,O,O,X,X,X,X
LIOZTSJ,X,O,O,X,X,X,X
LIOZJTS,X,X,O,X,X,X,X
LIOZJST,O,X,X,X,O,X,X
LIOZSTJ,O,X,O,X,X,X,X
LIOZSJT,O,X,X,X,X,X,X
LJTISZO,X,O,X,O,O,O,O
LJTISOZ,X,O,X,O,O,O,O
LJTIZSO,X,O,X,O,X,O,O
LJTIZOS,X,O,X,O,X,O,O
LJTIOSZ,X,O,X,O,O,O,O
LJTIOZS,X,O,X,O,X,O,O
LJTSIZO,X,O,X,O,O,O,O
LJTSIOZ,X,O,X,O,O,O,O
LJTSZIO,X,O,O,O,O,O,O
LJTSZOI,X,O,O,O,O,O,O
LJTSOIZ,X,O,X,O,O,O,O
LJTSOZI,X,O,O,O,O,O,O
LJTZISO,X,O,O,O,X,O,O
LJTZIOS,X,O,O,O,X,O,O
LJTZSIO,X,O,O,O,O,O,O
LJTZSOI,X,O,O,O,O,O,O
LJTZOIS,X,O,O,O,X,O,O
LJTZOSI,X,O,O,O,O,O,O
LJTOISZ,X,O,X,O,O,O,O
LJTOIZS,X,O,X,O,X,O,O
LJTOSIZ,X,O,X,O,O,O,O
LJTOSZI,X,O,O,O,O,O,O
LJTOZIS,X,O,O,O,X,O,O
LJTOZSI,X,O,O,O,O,O,O
LJITSZO,X,O,X,O,O,O,O
LJITSOZ,X,O,X,O,O,O,O
LJITZSO,X,O,X,O,X,O,O
LJITZOS,X,O,X,O,X,O,O
LJITOSZ,X,O,X,O,O,O,O
LJITOZS,X,O,X,O,X,O,O
LJISTZO,X,X,X,X,O,X,X
LJISTOZ,X,X,X,X,O,X,X
LJISZTO,X,X,X,X,O,X,X
LJISZOT,X,X,X,X,O,X,X
LJISOTZ,X,X,X,X,O,X,X
LJISOZT,X,X,X,X,O,X,X
LJIZTSO,X,X,X,X,X,X,O
LJIZTOS,X,X,X,X,X,X,O
LJIZSTO,X,X,X,X,O,X,X
LJIZSOT,X,X,X,X,O,X,X
LJIZOTS,X,X,X,X,X,X,O
LJIZOST,X,X,X,X,O,X,X
LJIOTSZ,X,O,X,O,O,O,O
LJIOTZS,X,O,X,O,X,O,O
LJIOSTZ,X,X,X,X,O,X,X
LJIOSZT,X,X,X,X,O,X,X
LJIOZTS,X,X,X,X,X,X,O
LJIOZST,X,X,X,X,O,X,X
LJSTIZO,X,X,X,X,O,O,O
LJSTIOZ,X,X,X,X,O,O,O
LJSTZIO,X,X,X,X,O,O,O
LJSTZOI,X,X,X,X,O,O,O
LJSTOIZ,X,X,X,X,O,O,O
LJSTOZI,X,X,X,X,O,O,O
LJSITZO,X,X,X,X,O,O,X
LJSITOZ,X,X,X,X,O,O,X
LJSIZTO,X,X,X,X,O,X,X
LJSIZOT,X,X,X,X,O,X,X
LJSIOTZ,X,X,X,X,O,O,X
LJSIOZT,X,X,X,X,O,X,X
LJSZTIO,X,X,X,X,O,O,O
LJSZTOI,X,X,X,X,O,O,O
LJSZITO,X,X,X,X,O,X,X
LJSZIOT,X,X,X,X,O,X,X
LJSZOTI,X,X,X,X,O,O,O
LJSZOIT,X,X,X,X,O,X,X
LJSOTIZ,X,X,X,X,O,O,O
LJSOTZI,X,X,X,X,O,O,O
LJSOITZ,X,X,X,X,O,O,X
LJSOIZT,X,X,X,X,O,X,X
LJSOZTI,X,X,X,X,O,O,O
LJSOZIT,X,X,X,X,O,X,X
LJZTISO,X,X,O,O,X,O,O
LJZTIOS,X,X,O,O,X,O,O
LJZTSIO,X,X,O,O,O,O,O
LJZTSOI,X,X,O,O,O,O,O
LJZTOIS,X,X,O,O,X,O,O
LJZTOSI,X,X,O,O,O,O,O
LJZITSO,X,X,O,X,X,X,O
LJZITOS,X,X,O,X,X,X,O
LJZISTO,X,X,X,X,O,X,X
LJZISOT,X,X,X,X,O,X,X
LJZIOTS,X,X,O,X,X,X,O
LJZIOST,X,X,X,X,O,X,X
LJZSTIO,X,X,X,X,O,X,O
LJZSTOI,X,X,X,X,O,X,O
LJZSITO,X,X,X,X,O,X,X
LJZSIOT,X,X,X,X,O,X,X
LJZSOTI,X,X,X,X,O,X,O
LJZSOIT,X,X,X,X,O,X,X
LJZOTIS,X,X,O,O,X,O,O
LJZOTSI,X,X,O,O,O,O,O
LJZOITS,X,X,O,X,X,X,O
LJZOIST,X,X,X,X,O,X,X
LJZOSTI,X,X,X,X,O,X,O
LJZOSIT,X,X,X,X,O,X,X
LJOTISZ,X,O,X,O,O,O,O
LJOTIZS,X,O,X,O,X,O,O
LJOTSIZ,X,O,X,O,O,O,O
LJOTSZI,X,O,O,O,O,O,O
LJOTZIS,X,O,O,O,X,O,O
LJOTZSI,X,O,O,O,O,O,O
LJOITSZ,X,O,X,O,O,O,O
LJOITZS,X,O,X,O,X,O,O
LJOISTZ,X,X,X,X,O,X,X
LJOISZT,X,X,X,X,O,X,X
LJOIZTS,X,X,X,X,X,X,O
LJOIZST,X,X,X,X,O,X,X
LJOSTIZ,X,X,X,X,O,O,O
LJOSTZI,X,X,X,X,O,O,O
LJOSITZ,X,X,X,X,O,O,X
LJOSIZT,X,X,X,X,O,X,X
LJOSZTI,X,X,X,X,O,O,O
LJOSZIT,X,X,X,X,O,X,X
LJOZTIS,X,X,O,O,X,O,O
LJOZTSI,X,X,O,O,O,O,O
LJOZITS,X,X,O,X,X,X,O
LJOZIST,X,X,X,X,O,X,X
LJOZSTI,X,X,X,X,O,X,O
LJOZSIT,X,X,X,X,O,X,X
