sequence,v115@PhD8FeE8DeC8JeT/IvhF2lBxiBCnBFmB0qBXsB,v115@PhD8FeE8DeC8JeT/IvhF2lBxiBSsBlqBfsBUrB,v115@PhD8FeE8DeC8JeT/IvhF3gB1mBxiBcsB2qBSwB,v115@PhD8FeE8DeC8JeT/IvhF0gBxiB2qBFsBCsBXrB,v115@PhD8FeE8DeC8JeT/IvhFxiB2qBSsBfsBUrBlqB,v115@PhD8FeE8DeC8JeT/IvhFXhBxiB2qBCsBFsB0qB,v115@PhD8FeE8DeC8JeT/IvhF0gBxiB2qBCsBFsBXrB
TJZSOIL,X,X,X,O,X,X,X
TJZSOLI,X,X,X,O,X,X,X
TJZOILS,X,O,X,O,X,X,X
TJZOISL,X,X,X,O,X,X,X
TJZOLIS,X,O,X,O,X,X,O
TJZOLSI,X,O,X,O,X,X,O
TJZOSIL,X,X,X,O,X,X,X
TJZOSLI,X,X,X,O,X,X,X
TJOILSZ,X,O,X,O,O,X,X
TJOILZS,X,O,X,O,X,X,X
TJOISLZ,X,O,X,O,X,X,X
TJOISZL,X,X,X,O,X,X,X
TJOIZLS,X,O,X,O,X,X,X
TJOIZSL,X,X,X,O,X,X,X
TJOLISZ,X,O,X,O,O,O,O
TJOLIZS,X,O,X,O,X,O,O
TJOLSIZ,X,O,X,O,O,O,O
TJOLSZI,X,O,X,O,O,O,O
TJOLZIS,X,O,X,O,X,O,O
TJOLZSI,X,O,X,O,O,O,O
TJOSILZ,X,O,X,O,X,X,X
TJOSIZL,X,X,X,O,X,X,X
TJOSLIZ,X,O,X,O,X,O,X
TJOSLZI,X,O,X,O,X,O,X
TJOSZIL,X,X,X,O,X,X,X
TJOSZLI,X,X,X,O,X,X,X
TJOZILS,X,O,X,O,X,X,X
TJOZISL,X,X,X,O,X,X,X
TJOZLIS,X,O,X,O,X,X,O
TJOZLSI,X,O,X,O,X,X,O
TJOZSIL,X,X,X,O,X,X,X
TJOZSLI,X,X,X,O,X,X,X
TSILJZO,X,O,X,X,X,X,X
TSILJOZ,X,O,X,X,X,X,X
TSILZJO,O,O,X,X,X,X,X
TSILZOJ,O,O,X,X,X,X,X
TSILOJZ,X,O,X,X,X,X,X
TSILOZJ,O,O,X,X,X,X,X
TSIJLZO,X,O,X,O,X,X,X
TSIJLOZ,X,O,X,O,X,X,X
TSIJZLO,X,X,X,O,X,X,X
TSIJZOL,X,X,X,O,X,X,X
TSIJOLZ,X,O,X,O,X,X,X
TSIJOZL,X,X,X,O,X,X,X
TSIZLJO,O,X,X,X,X,X,X
TSIZLOJ,O,X,X,X,X,X,X
TSIZJLO,O,X,X,X,X,X,X
TSIZJOL,O,X,X,X,X,X,X
TSIZOLJ,O,X,X,X,X,X,X
TSIZOJL,O,X,X,X,X,X,X
TSIOLJZ,X,O,X,X,X,X,X
TSIOLZJ,O,O,X,X,X,X,X
TSIOJLZ,X,O,X,O,X,X,X
TSIOJZL,X,X,X,O,X,X,X
TSIOZLJ,O,X,X,X,X,X,X
TSIOZJL,O,X,X,X,X,X,X
TSLIJZO,X,O,X,X,X,X,X
TSLIJOZ,X,O,X,X,X,X,X
TSLIZJO,O,O,X,X,X,X,X
TSLIZOJ,O,O,X,X,X,X,X
TSLIOJZ,X,O,X,X,X,X,X
TSLIOZJ,O,O,X,X,X,X,X
TSLJIZO,X,O,X,X,X,X,X
TSLJIOZ,X,O,X,X,X,X,X
