sequence,v115@HhA8IeA8GeD8AeA8AeE8Jem/IvhFzgBRiBSoBfqBUn?BFrB,v115@HhA8IeA8GeD8AeA8AeE8Je0/IvhFxgBTjBarBGnBXn?BFqB,v115@HhA8IeA8GeD8AeA8AeE8Je6EJvhFZlBUhBGiBTjBfr?BVxB,v115@HhA8IeA8GeD8AeA8AeE8Jex/IvhFylBGiBTjBfqBUn?BFrB,v115@HhA8IeA8GeD8AeA8AeE8Je6EJvhFZlBFhB8mB+nBTj?BfrB,v115@HhA8IeA8GeD8AeA8AeE8JezBJvhFGjBRlB3nB0kBFr?BiqB
TLSOJIZ,O,O,O,O,O,O
TLSOJZI,O,O,O,O,O,X
TLSOZIJ,O,O,O,O,O,X
TLSOZJI,O,O,O,O,O,X
TLZIJSO,O,O,O,X,O,X
TLZIJOS,O,O,O,X,O,X
TLZISJO,O,O,O,X,O,X
TLZISOJ,O,O,O,X,O,X
TLZIOJS,O,O,O,X,X,X
TLZIOSJ,O,O,O,X,X,X
TLZJISO,O,O,O,X,O,X
TLZJIOS,O,O,O,X,O,X
TLZJSIO,O,O,O,O,O,X
TLZJSOI,O,O,O,O,O,X
TLZJOIS,O,O,O,X,O,X
TLZJOSI,O,O,O,O,O,X
TLZSIJO,O,O,O,O,O,X
TLZSIOJ,O,O,O,O,O,X
TLZSJIO,O,O,O,O,O,X
TLZSJOI,O,O,O,O,O,X
TLZSOIJ,O,O,O,O,O,X
TLZSOJI,O,O,O,O,O,X
TLZOIJS,O,O,O,X,X,X
TLZOISJ,O,O,O,X,X,X
TLZOJIS,O,O,O,X,X,X
TLZOJSI,O,O,O,O,X,X
TLZOSIJ,O,O,O,O,X,X
TLZOSJI,O,O,O,O,X,X
TLOIJSZ,O,O,O,X,O,X
TLOIJZS,X,O,O,X,O,X
TLOISJZ,O,O,O,X,O,X
TLOISZJ,O,O,O,X,X,X
TLOIZJS,O,O,O,X,X,X
TLOIZSJ,O,O,O,X,X,X
TLOJISZ,O,O,O,X,O,X
TLOJIZS,X,O,O,X,O,X
TLOJSIZ,O,O,O,X,O,X
TLOJSZI,O,O,O,X,O,X
TLOJZIS,O,O,O,X,O,X
TLOJZSI,O,O,O,X,O,X
TLOSIJZ,O,O,O,O,O,X
TLOSIZJ,O,O,O,O,X,X
TLOSJIZ,O,O,O,O,O,X
TLOSJZI,O,O,O,O,O,X
TLOSZIJ,O,O,O,O,X,X
TLOSZJI,O,O,O,O,X,X
TLOZIJS,O,O,O,X,X,X
TLOZISJ,O,O,O,X,X,X
TLOZJIS,O,O,O,X,X,X
TLOZJSI,O,O,O,O,X,X
TLOZSIJ,O,O,O,O,X,X
TLOZSJI,O,O,O,O,X,X
TJILSZO,X,O,O,X,O,X
TJILSOZ,X,O,O,X,O,O
TJILZSO,X,O,O,X,O,X
TJILZOS,X,O,O,X,O,X
TJILOSZ,X,O,O,X,O,X
TJILOZS,X,O,O,X,O,X
TJISLZO,X,X,O,X,O,X
TJISLOZ,X,X,O,X,O,O
TJISZLO,X,X,O,X,O,X
TJISZOL,X,X,O,X,O,O
TJISOLZ,X,X,O,X,O,O
TJISOZL,X,X,O,X,O,O
TJIZLSO,X,O,O,X,O,X
TJIZLOS,X,O,O,X,O,X
TJIZSLO,X,X,O,X,O,X
TJIZSOL,X,X,O,X,O,O
TJIZOLS,X,O,O,X,O,X
TJIZOSL,X,X,O,X,O,X
TJIOLSZ,X,O,O,X,O,X
TJIOLZS,X,O,O,X,O,X
TJIOSLZ,X,X,O,X,O,O
TJIOSZL,X,X,O,X,O,O
TJIOZLS,X,O,O,X,O,X
TJIOZSL,X,X,O,X,O,X
TJLISZO,O,O,O,X,O,X
TJLISOZ,O,O,O,X,O,O
TJLIZSO,X,O,O,X,O,X
TJLIZOS,X,O,O,X,O,X
TJLIOSZ,O,O,O,X,O,X
TJLIOZS,X,O,O,X,O,X
TJLSIZO,O,O,O,X,O,X
TJLSIOZ,O,O,O,X,O,O
TJLSZIO,O,O,O,X,O,X
TJLSZOI,O,O,O,X,O,X
TJLSOIZ,O,O,O,X,O,O
TJLSOZI,O,O,O,X,O,X
TJLZISO,O,O,O,X,O,X
TJLZIOS,O,O,O,X,O,X
TJLZSIO,O,O,O,X,O,X
TJLZSOI,O,O,O,X,O,X
TJLZOIS,O,O,O,X,O,X
TJLZOSI,O,O,O,X,O,X
TJLOISZ,O,O,O,X,O,X
TJLOIZS,X,O,O,X,O,X
TJLOSIZ,O,O,O,X,O,X
TJLOSZI,O,O,O,X,O,X
TJLOZIS,O,O,O,X,O,X
TJLOZSI,O,O,O,X,O,X
TJSILZO,O,X,O,O,O,X
TJSILOZ,O,X,O,O,O,O
TJSIZLO,O,X,O,O,O,X
TJSIZOL,O,X,O,O,O,O
TJSIOLZ,O,X,O,O,O,O
TJSIOZL,O,X,O,O,O,O
TJSLIZO,O,O,O,O,O,X
TJSLIOZ,O,O,O,O,O,O
TJSLZIO,O,O,O,O,O,X
TJSLZOI,O,O,O,O,O,X
TJSLOIZ,O,O,O,O,O,O
TJSLOZI,O,O,O,O,O,X
TJSZILO,O,X,O,O,O,X
TJSZIOL,O,X,O,O,O,O
TJSZLIO,O,O,O,O,O,X
TJSZLOI,O,O,O,O,O,X
TJSZOIL,O,X,O,O,O,O
TJSZOLI,O,O,O,O,O,X
TJSOILZ,O,X,O,O,O,O
TJSOIZL,O,X,O,O,O,O
TJSOLIZ,O,O,O,O,O,O
TJSOLZI,O,O,O,O,O,X
TJSOZIL,O,X,O,O,O,O
TJSOZLI,O,O,O,O,O,X
TJZILSO,O,O,O,X,O,X
TJZILOS,O,O,O,X,O,X
TJZISLO,O,X,O,O,O,X
