sequence,v115@ChA8GeC8IeA8AeA8BeA8CeB8AeC8JeT/IvhFigBZnB?GjBUoBlpB3qB,v115@ChA8GeC8IeA8AeA8BeA8CeB8AeC8Je0/IvhFZnBziB?+oB/pBlqBiqB,v115@ChA8GeC8IeA8AeA8BeA8CeB8AeC8Je0/IvhFxiB/pB?OsBToBiqBlqB,v115@ChA8GeC8IeA8AeA8BeA8CeB8AeC8JeZHJvhFfoB6oB?TkB2qB0pBlqB,v115@ChA8GeC8IeA8AeA8BeA8CeB8AeC8JeZHJvhFSoBTkB?2qBUoBlpB3qB,v115@ChA8GeC8IeA8AeA8BeA8CeB8AeC8JeT/IvhFZnBypB?FoB8qBGoBXqB
TOJSLIZ,X,O,O,O,X,X
TOJSLZI,X,O,O,X,X,X
TOJSZIL,X,O,O,X,X,X
TOJSZLI,X,O,O,X,X,X
TOJZILS,O,X,X,X,X,X
TOJZISL,O,O,X,X,X,X
TOJZLIS,O,X,X,X,X,X
TOJZLSI,O,X,X,X,X,X
TOJZSIL,O,O,X,X,X,X
TOJZSLI,O,O,X,X,X,X
TOSILJZ,X,X,X,O,X,X
TOSILZJ,O,X,X,X,X,X
TOSIJLZ,X,O,X,O,X,X
TOSIJZL,X,O,X,X,X,X
TOSIZLJ,O,X,X,X,X,X
TOSIZJL,O,O,X,X,X,X
TOSLIJZ,X,X,X,O,X,X
TOSLIZJ,O,X,X,X,X,X
TOSLJIZ,X,X,O,O,X,X
TOSLJZI,X,X,O,X,X,X
TOSLZIJ,O,X,X,X,X,X
TOSLZJI,O,X,O,X,X,X
TOSJILZ,X,O,O,O,X,X
TOSJIZL,X,O,O,X,X,X
TOSJLIZ,X,O,O,O,X,X
TOSJLZI,X,O,O,X,X,X
TOSJZIL,X,O,O,X,X,X
TOSJZLI,X,O,O,X,X,X
TOSZILJ,O,X,X,X,X,X
TOSZIJL,O,O,X,X,X,X
TOSZLIJ,O,X,X,X,X,X
TOSZLJI,O,X,X,X,X,X
TOSZJIL,O,O,O,X,X,X
TOSZJLI,O,O,O,X,X,X
TOZILJS,O,X,X,X,X,X
TOZILSJ,O,X,X,X,X,X
TOZIJLS,O,X,X,X,X,X
TOZIJSL,O,X,X,X,X,X
TOZISLJ,O,X,X,X,X,X
TOZISJL,O,X,X,X,X,X
TOZLIJS,O,X,X,X,X,X
TOZLISJ,O,X,X,X,X,X
TOZLJIS,O,X,X,X,X,X
TOZLJSI,O,X,X,X,X,X
TOZLSIJ,O,X,X,X,X,X
TOZLSJI,O,X,X,X,X,X
TOZJILS,O,X,X,X,X,X
TOZJISL,O,X,X,X,X,X
TOZJLIS,O,X,X,X,X,X
TOZJLSI,O,X,X,X,X,X
TOZJSIL,O,X,X,X,X,X
TOZJSLI,O,X,X,X,X,X
TOZSILJ,O,X,X,X,X,X
TOZSIJL,O,X,X,X,X,X
TOZSLIJ,O,X,X,X,X,X
TOZSLJI,O,X,X,X,X,X
TOZSJIL,O,X,X,X,X,X
TOZSJLI,O,X,X,X,X,X
ITLJSZO,X,O,X,X,X,X
ITLJSOZ,X,O,X,X,X,X
ITLJZSO,O,X,X,X,X,X
ITLJZOS,O,X,X,X,X,X
ITLJOSZ,X,O,X,X,X,O
ITLJOZS,O,X,X,X,O,O
ITLSJZO,O,O,X,X,X,X
ITLSJOZ,O,O,X,X,X,X
ITLSZJO,O,O,X,X,X,X
ITLSZOJ,O,X,X,X,X,X
ITLSOJZ,O,X,X,X,X,O
ITLSOZJ,O,X,X,X,X,O
ITLZJSO,O,X,X,X,X,X
ITLZJOS,O,X,X,X,X,X
ITLZSJO,O,X,X,X,X,X
ITLZSOJ,O,X,X,X,X,X
ITLZOJS,O,X,X,X,X,O
ITLZOSJ,O,X,X,X,X,O
ITLOJSZ,X,X,X,X,X,O
ITLOJZS,O,X,X,X,O,O
ITLOSJZ,X,X,X,X,X,O
ITLOSZJ,O,X,X,X,X,O
ITLOZJS,O,X,X,X,X,O
ITLOZSJ,O,X,X,X,X,O
ITJLSZO,X,O,X,X,X,X
ITJLSOZ,X,O,X,X,X,X
ITJLZSO,O,X,X,X,X,X
ITJLZOS,O,X,X,X,X,X
ITJLOSZ,X,O,X,X,X,O
ITJLOZS,O,X,X,X,O,O
ITJSLZO,X,O,X,X,X,X
ITJSLOZ,X,O,X,O,X,X
ITJSZLO,X,O,X,X,X,X
ITJSZOL,X,O,X,X,X,X
ITJSOLZ,X,O,X,O,X,X
ITJSOZL,X,O,X,X,X,X
ITJZLSO,O,X,X,X,X,X
ITJZLOS,O,X,X,X,X,X
ITJZSLO,O,O,X,X,X,X
ITJZSOL,O,O,X,X,X,X
ITJZOLS,O,X,X,X,X,X
ITJZOSL,O,O,X,X,X,X
ITJOLSZ,X,O,X,X,X,X
ITJOLZS,O,X,X,X,O,X
ITJOSLZ,X,O,X,O,X,X
ITJOSZL,X,O,X,X,X,X
ITJOZLS,O,X,X,X,X,X
ITJOZSL,O,O,X,X,X,X
ITSLJZO,O,O,X,X,X,X
ITSLJOZ,O,O,X,O,X,X
ITSLZJO,O,O,X,X,X,X
ITSLZOJ,O,X,X,X,X,X
ITSLOJZ,O,X,X,O,X,O
ITSLOZJ,O,X,X,X,X,O
ITSJLZO,O,O,X,X,X,X
ITSJLOZ,O,O,X,O,X,X
ITSJZLO,O,O,X,X,X,X
ITSJZOL,O,O,X,X,X,X
ITSJOLZ,O,O,X,O,X,X
ITSJOZL,O,O,X,X,X,X
ITSZLJO,O,O,X,X,X,X
ITSZLOJ,O,X,X,X,X,X
ITSZJLO,O,O,X,X,X,X
ITSZJOL,O,O,X,X,X,X
ITSZOLJ,O,X,X,X,X,X
ITSZOJL,O,O,X,X,X,X
ITSOLJZ,O,X,X,O,X,X
ITSOLZJ,O,X,X,X,X,X
ITSOJLZ,O,O,X,O,X,X
ITSOJZL,O,O,X,X,X,X
ITSOZLJ,O,X,X,X,X,X
ITSOZJL,O,O,X,X,X,X
ITZLJSO,O,X,X,X,X,X
ITZLJOS,O,X,X,X,X,X
ITZLSJO,O,X,X,X,X,X
ITZLSOJ,O,X,X,X,X,X
ITZLOJS,O,X,X,X,X,O
ITZLOSJ,O,X,X,X,X,O
ITZJLSO,O,X,X,X,X,X
ITZJLOS,O,X,X,X,X,X
ITZJSLO,O,O,X,X,X,X
ITZJSOL,O,O,X,X,X,X
ITZJOLS,O,X,X,X,X,X
ITZJOSL,O,O,X,X,X,X
ITZSLJO,O,O,X,X,X,X
ITZSLOJ,O,X,X,X,X,X
ITZSJLO,O,O,X,X,X,X
ITZSJOL,O,O,X,X,X,X
ITZSOLJ,O,X,X,X,X,X
ITZSOJL,O,O,X,X,X,X
ITZOLJS,O,X,X,X,X,X
ITZOLSJ,O,X,X,X,X,X
ITZOJLS,O,X,X,X,X,X
ITZOJSL,O,X,X,X,X,X
ITZOSLJ,O,X,X,X,X,X
ITZOSJL,O,X,X,X,X,X
ITOLJSZ,X,X,X,X,X,O
ITOLJZS,O,X,X,X,O,O
ITOLSJZ,X,X,X,X,X,O
ITOLSZJ,O,X,X,X,X,O
ITOLZJS,O,X,X,X,X,O
ITOLZSJ,O,X,X,X,X,O
ITOJLSZ,X,O,X,X,X,X
ITOJLZS,O,X,X,X,O,X
ITOJSLZ,X,O,X,O,X,X
ITOJSZL,X,O,X,X,X,X
ITOJZLS,O,X,X,X,X,X
ITOJZSL,O,O,X,X,X,X
ITOSLJZ,X,X,X,O,X,X
ITOSLZJ,O,X,X,X,X,X
ITOSJLZ,X,O,X,O,X,X
ITOSJZL,X,O,X,X,X,X
ITOSZLJ,O,X,X,X,X,X
ITOSZJL,O,O,X,X,X,X
ITOZLJS,O,X,X,X,X,X
ITOZLSJ,O,X,X,X,X,X
ITOZJLS,O,X,X,X,X,X
ITOZJSL,O,X,X,X,X,X
ITOZSLJ,O,X,X,X,X,X
ITOZSJL,O,X,X,X,X,X
ILTJSZO,X,O,X,X,X,X
ILTJSOZ,X,O,X,X,X,X
ILTJZSO,O,X,X,X,X,X
ILTJZOS,O,X,X,X,X,X
ILTJOSZ,X,O,X,X,X,O
ILTJOZS,O,X,X,X,O,O
ILTSJZO,O,O,X,X,X,X
ILTSJOZ,O,O,X,X,X,X
ILTSZJO,O,O,X,X,X,X
ILTSZOJ,O,X,X,X,X,X
ILTSOJZ,O,X,X,X,X,O
ILTSOZJ,O,X,X,X,X,O
ILTZJSO,O,X,X,X,X,X
ILTZJOS,O,X,X,X,X,X
ILTZSJO,O,X,X,X,X,X
ILTZSOJ,O,X,X,X,X,X
ILTZOJS,O,X,X,X,X,O
ILTZOSJ,O,X,X,X,X,O
ILTOJSZ,X,X,X,X,X,O
ILTOJZS,O,X,X,X,O,O
ILTOSJZ,X,X,X,X,X,O
ILTOSZJ,O,X,X,X,X,O
ILTOZJS,O,X,X,X,X,O
ILTOZSJ,O,X,X,X,X,O
ILJTSZO,X,O,X,X,X,X
ILJTSOZ,X,O,X,X,X,X
ILJTZSO,O,X,X,X,X,X
ILJTZOS,O,X,X,X,X,X
ILJTOSZ,X,O,X,X,X,O
ILJTOZS,O,X,X,X,O,O
ILJSTZO,O,X,X,X,X,X
ILJSTOZ,O,X,X,O,X,X
ILJSZTO,O,X,X,X,X,X
ILJSZOT,O,O,O,O,X,X
ILJSOTZ,X,X,O,O,X,X
ILJSOZT,X,O,O,O,O,X
ILJZTSO,O,X,X,X,X,X
ILJZTOS,O,X,X,X,X,X
ILJZSTO,O,X,X,X,X,X
ILJZSOT,O,X,X,X,X,X
ILJZOTS,O,X,X,X,O,X
ILJZOST,O,X,X,X,O,X
ILJOTSZ,X,O,O,X,X,O
ILJOTZS,X,X,X,X,O,O
ILJOSTZ,X,X,O,O,X,X
ILJOSZT,X,O,O,O,O,X
ILJOZTS,X,X,X,X,O,X
ILJOZST,X,X,O,X,O,X
ILSTJZO,O,X,X,X,X,X
ILSTJOZ,O,X,X,O,X,X
ILSTZJO,O,X,X,X,X,X
ILSTZOJ,O,X,X,X,X,X
ILSTOJZ,O,X,X,O,X,O
ILSTOZJ,O,X,X,X,X,O
ILSJTZO,O,X,X,X,X,X
ILSJTOZ,O,X,X,O,X,X
ILSJZTO,O,X,X,X,X,X
ILSJZOT,O,O,O,O,X,X
ILSJOTZ,X,X,O,O,X,X
ILSJOZT,X,O,O,O,O,X
ILSZTJO,O,X,X,X,X,X
ILSZTOJ,O,X,X,X,X,X
ILSZJTO,O,X,X,X,X,X
ILSZJOT,O,O,O,O,X,X
ILSZOTJ,O,X,X,X,X,X
ILSZOJT,O,X,O,O,X,X
ILSOTJZ,O,X,X,O,X,O
ILSOTZJ,O,X,X,X,X,O
ILSOJTZ,X,X,O,O,X,X
ILSOJZT,X,X,O,O,O,X
ILSOZTJ,O,X,X,X,X,X
ILSOZJT,O,X,O,O,X,X
ILZTJSO,O,X,X,X,X,X
ILZTJOS,O,X,X,X,X,X
ILZTSJO,O,X,X,X,X,X
ILZTSOJ,O,X,X,X,X,X
ILZTOJS,O,X,X,X,X,O
ILZTOSJ,O,X,X,X,X,O
ILZJTSO,O,X,X,X,X,X
ILZJTOS,O,X,X,X,X,X
ILZJSTO,O,X,X,X,X,X
ILZJSOT,O,X,X,X,X,X
ILZJOTS,O,X,X,X,O,X
ILZJOST,O,X,X,X,O,X
ILZSTJO,O,X,X,X,X,X
ILZSTOJ,O,X,X,X,X,X
ILZSJTO,O,X,X,X,X,X
ILZSJOT,O,X,X,X,X,X
ILZSOTJ,O,X,X,X,X,X
ILZSOJT,O,X,X,X,X,X
ILZOTJS,O,X,X,X,X,O
ILZOTSJ,O,X,X,X,X,O
ILZOJTS,O,X,X,X,O,X
ILZOJST,O,X,X,X,O,X
ILZOSTJ,O,X,X,X,X,X
ILZOSJT,O,X,X,X,X,X
ILOTJSZ,X,X,X,X,X,O
ILOTJZS,O,X,X,X,O,O
ILOTSJZ,X,X,X,X,X,O
ILOTSZJ,O,X,X,X,X,O
ILOTZJS,O,X,X,X,X,O
ILOTZSJ,O,X,X,X,X,O
ILOJTSZ,X,X,O,X,X,O
ILOJTZS,X,X,X,X,O,O
ILOJSTZ,X,X,O,O,X,X
ILOJSZT,X,X,O,O,O,X
ILOJZTS,X,X,X,X,O,X
ILOJZST,X,X,O,X,O,X
ILOSTJZ,O,X,X,O,X,O
ILOSTZJ,O,X,X,X,X,O
ILOSJTZ,X,X,O,O,X,X
ILOSJZT,X,X,O,O,O,X
ILOSZTJ,O,X,X,X,X,X
ILOSZJT,O,X,O,O,X,X
ILOZTJS,O,X,X,X,X,O
ILOZTSJ,O,X,X,X,X,O
ILOZJTS,O,X,X,X,O,X
ILOZJST,O,X,X,X,O,X
ILOZSTJ,O,X,X,X,X,X
ILOZSJT,O,X,X,X,X,X
IJTLSZO,X,O,X,X,X,X
IJTLSOZ,X,O,X,X,X,X
IJTLZSO,O,X,X,X,X,X
IJTLZOS,O,X,X,X,X,X
IJTLOSZ,X,O,X,X,X,O
IJTLOZS,O,X,X,X,O,O
IJTSLZO,X,O,X,X,X,X
IJTSLOZ,X,O,X,O,X,X
IJTSZLO,X,O,X,X,X,X
IJTSZOL,X,O,X,X,X,X
IJTSOLZ,X,O,X,O,X,X
IJTSOZL,X,O,X,X,X,X
IJTZLSO,O,X,X,X,X,X
IJTZLOS,O,X,X,X,X,X
IJTZSLO,O,O,X,X,X,X
IJTZSOL,O,O,X,X,X,X
IJTZOLS,O,X,X,X,X,X
IJTZOSL,O,O,X,X,X,X
IJTOLSZ,X,O,X,X,X,X
IJTOLZS,O,X,X,X,O,X
IJTOSLZ,X,O,X,O,X,X
IJTOSZL,X,O,X,X,X,X
IJTOZLS,O,X,X,X,X,X
IJTOZSL,O,O,X,X,X,X
IJLTSZO,X,O,X,X,X,X
IJLTSOZ,X,O,X,X,X,X
IJLTZSO,O,X,X,X,X,X
IJLTZOS,O,X,X,X,X,X
IJLTOSZ,X,O,X,X,X,O
IJLTOZS,O,X,X,X,O,O
IJLSTZO,O,X,X,X,X,X
IJLSTOZ,O,X,X,O,X,X
IJLSZTO,O,X,X,X,X,X
IJLSZOT,O,O,O,O,X,X
IJLSOTZ,X,X,O,O,X,X
IJLSOZT,X,O,O,O,O,X
IJLZTSO,O,X,X,X,X,X
IJLZTOS,O,X,X,X,X,X
IJLZSTO,O,X,X,X,X,X
IJLZSOT,O,X,X,X,X,X
IJLZOTS,O,X,X,X,O,X
IJLZOST,O,X,X,X,O,X
IJLOTSZ,X,O,O,X,X,O
IJLOTZS,X,X,X,X,O,O
IJLOSTZ,X,X,O,O,X,X
IJLOSZT,X,O,O,O,O,X
IJLOZTS,X,X,X,X,O,X
IJLOZST,X,X,O,X,O,X
IJSTLZO,O,O,X,X,X,X
IJSTLOZ,O,O,X,O,X,X
IJSTZLO,O,O,X,X,X,X
IJSTZOL,O,O,X,X,X,X
IJSTOLZ,O,O,X,O,X,X
IJSTOZL,O,O,X,X,X,X
IJSLTZO,O,X,X,X,X,X
IJSLTOZ,O,X,X,O,X,X
IJSLZTO,O,X,X,X,X,X
IJSLZOT,O,O,O,O,X,X
IJSLOTZ,X,X,O,O,X,X
IJSLOZT,X,O,O,O,O,X
IJSZTLO,O,X,X,X,X,X
IJSZTOL,O,O,X,X,X,X
IJSZLTO,O,X,X,X,X,X
IJSZLOT,O,O,X,O,X,X
IJSZOTL,O,O,O,X,X,X
IJSZOLT,O,O,O,O,X,X
IJSOTLZ,X,O,O,O,X,X
IJSOTZL,X,O,O,X,X,X
IJSOLTZ,X,X,O,O,X,X
IJSOLZT,X,O,O,O,O,X
IJSOZTL,X,O,O,X,X,X
IJSOZLT,X,O,O,O,X,X
IJZTLSO,O,X,X,X,X,X
IJZTLOS,O,X,X,X,X,X
IJZTSLO,O,O,X,X,X,X
IJZTSOL,O,O,X,X,X,X
IJZTOLS,O,X,X,X,X,X
IJZTOSL,O,O,X,X,X,X
IJZLTSO,O,X,X,X,X,X
IJZLTOS,O,X,X,X,X,X
IJZLSTO,O,X,X,X,X,X
IJZLSOT,O,X,X,X,X,X
IJZLOTS,O,X,X,X,O,X
IJZLOST,O,X,X,X,O,X
IJZSTLO,O,X,X,X,X,X
IJZSTOL,O,O,X,X,X,X
IJZSLTO,O,X,X,X,X,X
IJZSLOT,O,O,X,O,X,X
IJZSOTL,O,O,X,X,X,X
IJZSOLT,O,O,X,O,X,X
IJZOTLS,O,X,X,X,X,X
IJZOTSL,O,O,X,X,X,X
IJZOLTS,O,X,X,X,O,X
IJZOLST,O,X,X,X,O,X
IJZOSTL,O,O,X,X,X,X
IJZOSLT,O,O,X,O,X,X
IJOTLSZ,X,O,O,X,X,X
IJOTLZS,X,X,X,X,O,X
IJOTSLZ,X,O,O,O,X,X
IJOTSZL,X,O,O,X,X,X
IJOTZLS,X,X,X,X,X,X
IJOTZSL,X,O,X,X,X,X
IJOLTSZ,X,O,O,X,X,X
IJOLTZS,X,X,X,X,O,X
IJOLSTZ,X,X,O,O,X,X
IJOLSZT,X,O,O,O,O,X
IJOLZTS,X,X,X,X,O,X
IJOLZST,X,X,O,X,O,X
IJOSTLZ,X,O,O,O,X,X
IJOSTZL,X,O,O,X,X,X
IJOSLTZ,X,X,O,O,X,X
IJOSLZT,X,O,O,O,O,X
IJOSZTL,X,O,O,X,X,X
IJOSZLT,X,O,O,O,X,X
IJOZTLS,X,X,X,X,X,X
IJOZTSL,X,O,X,X,X,X
IJOZLTS,X,X,X,X,O,X
IJOZLST,X,X,O,X,O,X
IJOZSTL,X,O,O,X,X,X
IJOZSLT,X,O,O,O,X,X
ISTLJZO,O,O,X,X,X,X
ISTLJOZ,O,O,X,O,X,X
ISTLZJO,O,O,X,X,X,X
ISTLZOJ,O,X,X,X,X,X
ISTLOJZ,O,X,X,O,X,O
ISTLOZJ,O,X,X,X,X,O
ISTJLZO,O,O,X,X,X,X
ISTJLOZ,O,O,X,O,X,X
ISTJZLO,O,O,X,X,X,X
ISTJZOL,O,O,X,X,X,X
ISTJOLZ,O,O,X,O,X,X
ISTJOZL,O,O,X,X,X,X
ISTZLJO,O,O,X,X,X,X
ISTZLOJ,O,X,X,X,X,X
ISTZJLO,O,O,X,X,X,X
ISTZJOL,O,O,X,X,X,X
ISTZOLJ,O,X,X,X,X,X
ISTZOJL,O,O,X,X,X,X
ISTOLJZ,O,X,X,O,X,X
ISTOLZJ,O,X,X,X,X,X
ISTOJLZ,O,O,X,O,X,X
ISTOJZL,O,O,X,X,X,X
ISTOZLJ,O,X,X,X,X,X
ISTOZJL,O,O,X,X,X,X
ISLTJZO,O,X,X,X,X,X
ISLTJOZ,O,X,X,O,X,X
ISLTZJO,O,X,X,X,X,X
ISLTZOJ,O,X,X,X,X,X
ISLTOJZ,O,X,X,O,X,O
ISLTOZJ,O,X,X,X,X,O
ISLJTZO,O,X,X,X,X,X
ISLJTOZ,O,X,X,O,X,X
ISLJZTO,O,X,X,X,X,X
ISLJZOT,O,O,O,O,X,X
ISLJOTZ,X,X,O,O,X,X
ISLJOZT,X,O,O,O,O,X
ISLZTJO,O,X,X,X,X,X
ISLZTOJ,O,X,X,X,X,X
ISLZJTO,O,X,X,X,X,X
ISLZJOT,O,O,O,O,X,X
ISLZOTJ,O,X,X,X,X,X
ISLZOJT,O,X,O,O,X,X
ISLOTJZ,O,X,X,O,X,O
ISLOTZJ,O,X,X,X,X,O
ISLOJTZ,X,X,O,O,X,X
ISLOJZT,X,X,O,O,O,X
ISLOZTJ,O,X,X,X,X,X
ISLOZJT,O,X,O,O,X,X
ISJTLZO,O,O,X,X,X,X
ISJTLOZ,O,O,X,O,X,X
ISJTZLO,O,O,X,X,X,X
ISJTZOL,O,O,X,X,X,X
ISJTOLZ,O,O,X,O,X,X
ISJTOZL,O,O,X,X,X,X
ISJLTZO,O,X,X,X,X,X
ISJLTOZ,O,X,X,O,X,X
ISJLZTO,O,X,X,X,X,X
ISJLZOT,O,O,O,O,X,X
ISJLOTZ,X,X,O,O,X,X
ISJLOZT,X,O,O,O,O,X
ISJZTLO,O,X,X,X,X,X
ISJZTOL,O,O,X,X,X,X
ISJZLTO,O,X,X,X,X,X
ISJZLOT,O,O,X,O,X,X
ISJZOTL,O,O,O,X,X,X
ISJZOLT,O,O,O,O,X,X
ISJOTLZ,X,O,O,O,X,X
ISJOTZL,X,O,O,X,X,X
ISJOLTZ,X,X,O,O,X,X
ISJOLZT,X,O,O,O,O,X
ISJOZTL,X,O,O,X,X,X
ISJOZLT,X,O,O,O,X,X
ISZTLJO,O,X,X,X,X,X
ISZTLOJ,O,X,X,X,X,X
ISZTJLO,O,X,X,X,X,X
ISZTJOL,O,O,X,X,X,X
ISZTOLJ,O,X,X,X,X,X
ISZTOJL,O,X,X,X,X,X
ISZLTJO,O,X,X,X,X,X
ISZLTOJ,O,X,X,X,X,X
ISZLJTO,O,X,X,X,X,X
ISZLJOT,O,O,X,O,X,X
ISZLOTJ,O,X,X,X,X,X
ISZLOJT,O,X,X,O,X,X
ISZJTLO,O,X,X,X,X,X
ISZJTOL,O,O,X,X,X,X
ISZJLTO,O,X,X,X,X,X
ISZJLOT,O,O,X,O,X,X
ISZJOTL,O,O,O,X,X,X
ISZJOLT,O,O,O,O,X,X
ISZOTLJ,O,X,X,X,X,X
ISZOTJL,O,X,X,X,X,X
ISZOLTJ,O,X,X,X,X,X
ISZOLJT,O,X,X,O,X,X
ISZOJTL,O,O,O,X,X,X
ISZOJLT,O,O,O,O,X,X
ISOTLJZ,O,X,X,O,X,X
ISOTLZJ,O,X,X,X,X,X
ISOTJLZ,O,X,X,O,X,X
ISOTJZL,O,X,X,X,X,X
ISOTZLJ,O,X,X,X,X,X
ISOTZJL,O,X,X,X,X,X
ISOLTJZ,O,X,X,O,X,X
ISOLTZJ,O,X,X,X,X,X
ISOLJTZ,X,X,O,O,X,X
ISOLJZT,X,X,O,O,O,X
ISOLZTJ,O,X,X,X,X,X
ISOLZJT,O,X,O,O,X,X
ISOJTLZ,X,X,O,O,X,X
ISOJTZL,X,O,O,X,X,X
ISOJLTZ,X,X,O,O,X,X
ISOJLZT,X,O,O,O,O,X
ISOJZTL,X,O,O,X,X,X
ISOJZLT,X,O,O,O,X,X
ISOZTLJ,O,X,X,X,X,X
ISOZTJL,O,X,X,X,X,X
ISOZLTJ,O,X,X,X,X,X
ISOZLJT,O,X,X,O,X,X
ISOZJTL,O,O,O,X,X,X
ISOZJLT,O,O,O,O,X,X
IZTLJSO,O,X,X,X,X,X
IZTLJOS,O,X,X,X,X,X
IZTLSJO,O,X,X,X,X,X
IZTLSOJ,O,X,X,X,X,X
IZTLOJS,O,X,X,X,X,O
IZTLOSJ,O,X,X,X,X,O
IZTJLSO,O,X,X,X,X,X
IZTJLOS,O,X,X,X,X,X
IZTJSLO,O,O,X,X,X,X
IZTJSOL,O,O,X,X,X,X
IZTJOLS,O,X,X,X,X,X
IZTJOSL,O,O,X,X,X,X
IZTSLJO,O,O,X,X,X,X
IZTSLOJ,O,X,X,X,X,X
IZTSJLO,O,O,X,X,X,X
IZTSJOL,O,O,X,X,X,X
IZTSOLJ,O,X,X,X,X,X
IZTSOJL,O,O,X,X,X,X
IZTOLJS,O,X,X,X,X,X
IZTOLSJ,O,X,X,X,X,X
IZTOJLS,O,X,X,X,X,X
IZTOJSL,O,X,X,X,X,X
IZTOSLJ,O,X,X,X,X,X
IZTOSJL,O,X,X,X,X,X
IZLTJSO,O,X,X,X,X,X
IZLTJOS,O,X,X,X,X,X
IZLTSJO,O,X,X,X,X,X
IZLTSOJ,O,X,X,X,X,X
IZLTOJS,O,X,X,X,X,O
IZLTOSJ,O,X,X,X,X,O
IZLJTSO,O,X,X,X,X,X
IZLJTOS,O,X,X,X,X,X
IZLJSTO,O,X,X,X,X,X
IZLJSOT,O,X,X,X,X,X
IZLJOTS,O,X,X,X,O,X
IZLJOST,O,X,X,X,O,X
IZLSTJO,O,X,X,X,X,X
IZLSTOJ,O,X,X,X,X,X
IZLSJTO,O,X,X,X,X,X
IZLSJOT,O,X,X,X,X,X
IZLSOTJ,O,X,X,X,X,X
IZLSOJT,O,X,X,X,X,X
IZLOTJS,O,X,X,X,X,O
IZLOTSJ,O,X,X,X,X,O
IZLOJTS,O,X,X,X,O,X
IZLOJST,O,X,X,X,O,X
IZLOSTJ,O,X,X,X,X,X
IZLOSJT,O,X,X,X,X,X
IZJTLSO,O,X,X,X,X,X
IZJTLOS,O,X,X,X,X,X
IZJTSLO,O,O,X,X,X,X
IZJTSOL,O,O,X,X,X,X
IZJTOLS,O,X,X,X,X,X
IZJTOSL,O,O,X,X,X,X
IZJLTSO,O,X,X,X,X,X
IZJLTOS,O,X,X,X,X,X
IZJLSTO,O,X,X,X,X,X
IZJLSOT,O,X,X,X,X,X
IZJLOTS,O,X,X,X,O,X
IZJLOST,O,X,X,X,O,X
IZJSTLO,O,X,X,X,X,X
IZJSTOL,O,O,X,X,X,X
IZJSLTO,O,X,X,X,X,X
IZJSLOT,O,O,X,O,X,X
IZJSOTL,O,O,X,X,X,X
IZJSOLT,O,O,X,O,X,X
IZJOTLS,O,X,X,X,X,X
IZJOTSL,O,O,X,X,X,X
IZJOLTS,O,X,X,X,O,X
IZJOLST,O,X,X,X,O,X
IZJOSTL,O,O,X,X,X,X
IZJOSLT,O,O,X,O,X,X
IZSTLJO,O,X,X,X,X,X
IZSTLOJ,O,X,X,X,X,X
IZSTJLO,O,X,X,X,X,X
IZSTJOL,O,O,X,X,X,X
IZSTOLJ,O,X,X,X,X,X
IZSTOJL,O,X,X,X,X,X
IZSLTJO,O,X,X,X,X,X
IZSLTOJ,O,X,X,X,X,X
IZSLJTO,O,X,X,X,X,X
IZSLJOT,O,O,X,O,X,X
IZSLOTJ,O,X,X,X,X,X
IZSLOJT,O,X,X,O,X,X
IZSJTLO,O,X,X,X,X,X
IZSJTOL,O,O,X,X,X,X
IZSJLTO,O,X,X,X,X,X
IZSJLOT,O,O,X,O,X,X
IZSJOTL,O,O,X,X,X,X
IZSJOLT,O,O,X,O,X,X
IZSOTLJ,O,X,X,X,X,X
IZSOTJL,O,X,X,X,X,X
IZSOLTJ,O,X,X,X,X,X
IZSOLJT,O,X,X,O,X,X
IZSOJTL,O,O,X,X,X,X
IZSOJLT,O,O,X,O,X,X
IZOTLJS,O,X,X,X,X,X
IZOTLSJ,O,X,X,X,X,X
IZOTJLS,O,X,X,X,X,X
IZOTJSL,O,X,X,X,X,X
IZOTSLJ,O,X,X,X,X,X
IZOTSJL,O,X,X,X,X,X
IZOLTJS,O,X,X,X,X,X
IZOLTSJ,O,X,X,X,X,X
IZOLJTS,O,X,X,X,O,X
IZOLJST,O,X,X,X,O,X
IZOLSTJ,O,X,X,X,X,X
IZOLSJT,O,X,X,X,X,X
IZOJTLS,O,X,X,X,X,X
IZOJTSL,O,X,X,X,X,X
IZOJLTS,O,X,X,X,O,X
IZOJLST,O,X,X,X,O,X
IZOJSTL,O,X,X,X,X,X
IZOJSLT,O,X,X,O,X,X
IZOSTLJ,O,X,X,X,X,X
IZOSTJL,O,X,X,X,X,X
IZOSLTJ,O,X,X,X,X,X
IZOSLJT,O,X,X,O,X,X
IZOSJTL,O,X,X,X,X,X
IZOSJLT,O,X,X,O,X,X
IOTLJSZ,X,X,X,X,X,O
IOTLJZS,O,X,X,X,O,O
IOTLSJZ,X,X,X,X,X,O
IOTLSZJ,O,X,X,X,X,O
IOTLZJS,O,X,X,X,X,O
IOTLZSJ,O,X,X,X,X,O
IOTJLSZ,X,O,X,X,X,X
IOTJLZS,O,X,X,X,O,X
IOTJSLZ,X,O,X,O,X,X
IOTJSZL,X,O,X,X,X,X
IOTJZLS,O,X,X,X,X,X
IOTJZSL,O,O,X,X,X,X
IOTSLJZ,X,X,X,O,X,X
IOTSLZJ,O,X,X,X,X,X
