sequence,v115@AhA8IeB8GeC8EeF8Nem/IvhFxhB6oBTkBfsBUtBlsB,v115@AhA8IeB8GeC8EeF8Nem/IvhFlhBUjBTkBXnBStBxxB,v115@AhA8IeB8GeC8EeF8NeOEJvhF8kBlhBXnBToBCoBxxB,v115@AhA8IeB8GeC8EeF8Nem/IvhFlhBTkB6tBRsBcsBXtB,v115@AhA8IeB8GeC8EeF8NeKEJvhFzfB0hBxiBFsBXtBGtB,v115@AhA8IeB8GeC8EeF8Ne0BJvhFXjBlkB+tBikBRsBTsB,v115@AhA8IeB8GeC8EeF8Nei/IvhFziB+oB3kBUnBlmBxxB,v115@AhA8IeB8GeC8EeF8NeOEJvhF8kBxhBzmBFtB6tB3sB,v115@AhA8IeB8GeC8EeF8Ne0BJvhFXjBikB+tBlkBRsBTsB,v115@AhA8IeB8GeC8EeF8Ne2EJvhFziB5oBUnB3kBlmByxB,v115@AhA8IeB8GeC8EeF8Ne0BJvhFTjBlkBWtBikBXnBxxB,v115@AhA8IeB8GeC8EeF8NeXCJvhFTjBlkBWtBikB0mBxxB,v115@AhA8IeB8GeC8EeF8NeXCJvhFTjBikBWtBlkB0mBxxB
ITJSLZO,X,X,X,X,X,O,O,X,X,X,X,X,X
ITJSLOZ,X,X,X,X,X,X,O,X,X,X,X,O,O
ITJSZLO,O,X,O,X,X,O,O,X,X,X,X,X,X
ITJSZOL,X,O,O,X,X,O,O,X,X,X,O,O,X
ITJSOLZ,X,O,X,X,X,X,O,X,X,X,X,O,O
ITJSOZL,X,O,O,X,X,O,O,X,X,X,O,O,X
ITJZLSO,O,X,O,X,X,O,X,X,X,X,X,X,X
ITJZLOS,O,X,X,X,X,X,X,X,X,X,O,X,X
ITJZSLO,X,X,O,X,X,O,O,X,X,X,X,X,X
ITJZSOL,X,X,O,X,X,O,O,X,X,X,O,O,X
ITJZOLS,X,X,X,X,X,X,X,X,X,X,O,X,X
ITJZOSL,X,X,O,X,X,O,O,X,X,X,O,O,X
ITJOLSZ,X,O,X,O,X,X,X,X,X,X,X,O,O
ITJOLZS,X,X,X,O,X,X,X,X,X,X,O,X,X
ITJOSLZ,X,O,X,O,X,X,O,X,X,X,X,O,O
ITJOSZL,X,O,X,X,X,O,O,X,X,X,O,O,X
ITJOZLS,X,X,X,O,X,X,X,X,X,X,O,X,X
ITJOZSL,X,O,X,X,X,O,O,X,X,X,O,O,X
ITSLJZO,X,X,X,X,O,X,O,X,X,X,X,X,X
ITSLJOZ,X,X,X,X,O,X,O,X,X,X,X,X,X
ITSLZJO,X,X,O,X,O,X,O,X,X,X,X,X,X
ITSLZOJ,X,O,O,X,O,X,X,X,X,X,X,X,X
ITSLOJZ,X,O,X,O,O,X,X,X,X,X,X,X,X
ITSLOZJ,X,O,O,O,O,X,X,X,X,X,X,X,X
ITSJLZO,X,X,X,X,X,X,O,X,X,X,X,X,X
ITSJLOZ,X,X,X,X,X,X,O,X,X,X,X,O,X
ITSJZLO,O,X,O,X,X,X,O,X,X,X,X,X,X
ITSJZOL,X,O,O,X,X,X,O,X,X,X,O,O,X
ITSJOLZ,X,O,X,X,X,X,O,X,X,X,X,O,X
ITSJOZL,X,O,O,X,X,X,O,X,X,X,O,O,X
ITSZLJO,O,X,O,X,O,X,O,X,X,X,X,X,X
ITSZLOJ,O,O,O,X,O,X,X,X,X,X,X,X,X
ITSZJLO,O,X,O,X,O,X,O,X,X,X,X,X,X
ITSZJOL,X,O,O,X,X,X,O,X,X,X,O,X,X
ITSZOLJ,O,O,O,X,O,X,X,X,X,X,X,X,X
ITSZOJL,O,O,O,X,X,X,X,X,X,X,X,X,X
ITSOLJZ,X,O,X,O,X,X,X,X,X,X,X,X,X
ITSOLZJ,X,O,O,O,X,X,X,X,X,X,X,X,X
ITSOJLZ,X,O,X,O,X,X,X,X,X,X,X,X,X
ITSOJZL,O,O,O,X,X,X,X,X,X,X,X,X,X
ITSOZLJ,O,O,O,X,X,X,X,X,X,X,X,X,X
ITSOZJL,O,O,O,X,X,X,X,X,X,X,X,X,X
ITZLJSO,O,X,O,X,X,X,X,X,X,X,X,X,X
ITZLJOS,O,X,X,X,O,X,X,X,X,X,O,X,X
ITZLSJO,X,X,O,X,O,X,X,X,X,X,X,X,X
ITZLSOJ,X,X,O,X,O,X,X,X,X,X,X,X,X
ITZLOJS,O,X,X,O,O,X,X,X,X,X,X,X,X
ITZLOSJ,X,X,X,O,O,X,X,X,X,X,X,X,X
ITZJLSO,O,X,O,X,X,O,X,X,X,X,X,X,X
ITZJLOS,O,X,X,X,O,X,X,X,X,X,O,X,X
ITZJSLO,X,X,O,X,X,O,O,X,X,X,X,X,X
ITZJSOL,X,X,O,X,X,O,O,X,X,X,O,O,X
ITZJOLS,X,X,X,X,X,X,X,O,X,X,O,X,X
ITZJOSL,X,X,O,X,X,O,O,O,X,X,O,O,X
ITZSLJO,X,X,O,X,O,X,O,X,X,X,X,X,X
ITZSLOJ,X,O,O,X,O,X,X,X,X,X,X,X,X
ITZSJLO,X,X,O,X,O,X,O,X,X,X,X,X,X
ITZSJOL,X,O,O,X,X,X,O,X,X,X,O,X,X
ITZSOLJ,X,O,O,X,O,X,X,X,X,X,X,X,X
ITZSOJL,X,O,O,X,X,X,X,X,X,X,X,X,X
ITZOLJS,O,X,X,O,O,X,X,O,X,X,X,X,X
ITZOLSJ,X,X,X,O,O,X,X,X,X,X,X,X,X
ITZOJLS,O,X,X,O,X,X,X,O,X,X,O,X,X
ITZOJSL,X,O,O,X,X,X,X,O,X,X,O,X,X
ITZOSLJ,X,O,O,X,X,X,X,X,X,X,X,X,X
ITZOSJL,X,O,O,X,X,X,X,O,X,X,X,X,X
ITOLJSZ,X,O,X,O,X,X,X,X,X,X,X,X,X
ITOLJZS,X,X,X,O,X,X,X,X,X,X,X,X,X
ITOLSJZ,X,O,X,O,X,X,X,X,X,X,X,X,X
ITOLSZJ,X,O,X,O,X,X,X,X,X,X,X,X,X
ITOLZJS,X,X,X,O,X,X,X,O,X,X,X,X,X
ITOLZSJ,X,X,X,O,X,X,X,X,X,X,X,X,X
ITOJLSZ,X,O,X,O,X,X,X,X,X,X,X,O,X
ITOJLZS,X,X,X,O,X,X,X,X,X,X,O,X,X
ITOJSLZ,X,O,X,O,X,X,X,X,X,X,X,O,X
ITOJSZL,O,O,X,X,X,X,X,X,X,X,O,O,X
ITOJZLS,O,X,X,O,X,X,X,O,X,X,O,X,X
ITOJZSL,X,O,X,X,X,X,X,O,X,X,O,O,X
ITOSLJZ,X,O,X,O,X,X,X,X,X,X,X,X,X
ITOSLZJ,X,O,O,O,X,X,X,X,X,X,X,X,X
ITOSJLZ,X,O,X,O,X,X,X,X,X,X,X,X,X
ITOSJZL,O,O,O,X,X,X,X,X,X,X,X,X,X
ITOSZLJ,O,O,O,X,X,X,X,X,X,X,X,X,X
ITOSZJL,O,O,O,X,X,X,X,O,X,X,X,X,X
ITOZLJS,O,X,X,O,X,X,X,O,X,X,X,X,X
ITOZLSJ,X,X,X,O,X,X,X,X,X,X,X,X,X
ITOZJLS,O,X,X,O,X,X,X,O,X,X,O,X,X
ITOZJSL,X,O,O,X,X,X,X,O,X,X,O,X,X
ITOZSLJ,X,O,O,X,X,X,X,X,X,X,X,X,X
ITOZSJL,X,O,O,X,X,X,X,O,X,X,X,X,X
ILTJSZO,X,X,X,X,X,X,X,X,X,X,X,X,X
ILTJSOZ,X,X,X,X,X,X,X,X,X,X,X,O,O
ILTJZSO,X,X,X,X,X,X,X,X,X,X,X,X,X
ILTJZOS,X,X,X,X,X,X,X,X,X,O,O,X,X
ILTJOSZ,X,X,X,O,X,X,X,X,X,X,X,O,O
ILTJOZS,X,X,X,O,X,X,X,X,X,O,O,X,X
ILTSJZO,X,X,X,X,O,X,X,X,X,X,X,X,X
ILTSJOZ,X,X,X,X,O,X,X,X,X,X,X,X,X
ILTSZJO,X,X,O,X,O,X,X,X,X,X,X,X,X
ILTSZOJ,X,O,O,X,O,X,X,X,X,X,X,X,X
ILTSOJZ,X,O,X,O,O,X,X,X,X,X,X,X,X
ILTSOZJ,X,O,O,O,O,X,X,X,X,X,X,X,X
ILTZJSO,X,X,O,X,X,X,X,X,X,X,X,X,X
ILTZJOS,X,X,X,X,O,X,X,X,X,O,O,X,X
ILTZSJO,X,X,O,X,O,X,X,X,X,X,X,X,X
ILTZSOJ,X,X,O,X,O,X,X,X,X,X,X,X,X
ILTZOJS,X,X,X,O,O,X,X,X,X,O,X,X,X
ILTZOSJ,X,X,X,O,O,X,X,X,X,X,X,X,X
ILTOJSZ,X,O,X,O,X,X,X,X,X,X,X,X,X
ILTOJZS,X,X,X,O,X,X,X,X,X,O,X,X,X
ILTOSJZ,X,O,X,O,O,X,X,X,X,X,X,X,X
ILTOSZJ,X,O,X,O,O,X,X,X,X,X,X,X,X
ILTOZJS,X,X,X,O,O,X,X,X,X,O,X,X,X
ILTOZSJ,X,X,X,O,O,X,X,X,X,X,X,X,X
ILJTSZO,X,X,X,X,X,X,X,X,O,X,X,X,X
ILJTSOZ,X,X,X,X,X,X,X,X,X,X,X,O,O
ILJTZSO,X,X,X,X,X,X,X,X,O,X,X,X,X
ILJTZOS,X,X,X,X,X,X,X,X,X,O,O,X,X
ILJTOSZ,X,X,X,O,X,X,X,X,X,X,X,O,O
ILJTOZS,X,X,X,O,X,X,X,X,X,O,O,X,X
ILJSTZO,X,X,X,X,X,X,O,X,O,X,X,X,X
ILJSTOZ,X,X,X,X,X,X,O,X,X,X,X,O,O
ILJSZTO,O,X,X,X,X,X,O,X,O,X,X,X,X
ILJSZOT,O,X,X,X,X,X,O,X,O,O,X,X,O
ILJSOTZ,X,X,X,X,X,X,O,X,X,X,X,O,O
ILJSOZT,X,X,X,X,X,X,O,X,O,O,X,X,O
ILJZTSO,O,X,X,X,X,X,X,X,O,X,X,X,X
ILJZTOS,O,X,X,X,X,X,X,X,X,O,O,X,X
ILJZSTO,O,X,X,X,X,X,O,X,O,X,X,X,X
ILJZSOT,O,X,X,X,X,X,O,X,O,O,X,X,O
ILJZOTS,O,X,X,X,X,X,X,X,X,O,O,X,X
ILJZOST,O,X,X,X,X,X,O,X,O,O,X,X,O
ILJOTSZ,X,X,X,O,X,X,X,X,X,X,X,O,O
ILJOTZS,X,X,X,O,X,X,X,X,X,O,O,X,X
ILJOSTZ,X,X,X,O,X,X,O,X,X,X,X,O,O
ILJOSZT,X,X,X,O,X,X,O,X,O,O,X,X,O
ILJOZTS,X,X,X,O,X,X,X,X,X,O,O,X,X
ILJOZST,X,X,X,O,X,X,O,X,O,O,X,X,O
ILSTJZO,X,X,X,X,O,X,O,X,X,X,X,X,X
ILSTJOZ,X,X,X,X,O,X,O,X,X,X,X,X,X
ILSTZJO,X,X,O,X,O,X,O,X,X,X,X,X,X
ILSTZOJ,X,O,O,X,O,X,X,X,X,X,X,X,X
ILSTOJZ,X,O,X,O,O,X,X,X,X,X,X,X,X
ILSTOZJ,X,O,O,O,O,X,X,X,X,X,X,X,X
ILSJTZO,X,X,X,X,X,X,O,X,X,X,X,X,X
ILSJTOZ,X,X,X,X,X,X,O,X,X,X,X,X,O
ILSJZTO,O,X,X,X,X,X,O,X,X,X,X,X,X
ILSJZOT,O,X,X,X,X,X,O,X,X,O,X,X,O
ILSJOTZ,X,X,X,X,X,X,O,X,X,X,X,X,O
ILSJOZT,X,X,X,X,X,X,O,X,X,O,X,X,O
ILSZTJO,O,X,O,X,X,X,O,X,X,X,X,X,X
ILSZTOJ,O,O,O,X,X,X,X,X,X,X,X,X,X
ILSZJTO,O,X,O,X,X,X,O,X,X,X,X,X,X
ILSZJOT,O,X,O,X,X,X,O,X,X,O,X,X,X
ILSZOTJ,O,O,O,X,X,X,X,X,X,X,X,X,X
ILSZOJT,O,O,O,X,X,X,O,X,X,O,X,X,X
ILSOTJZ,X,O,X,O,O,X,X,X,X,X,X,X,X
ILSOTZJ,X,O,O,O,O,X,X,X,X,X,X,X,X
ILSOJTZ,X,O,X,O,X,X,O,X,X,X,X,X,X
ILSOJZT,O,O,X,O,X,X,O,X,X,O,X,X,X
ILSOZTJ,O,O,O,O,X,X,X,X,X,X,X,X,X
ILSOZJT,O,O,O,O,X,X,O,X,X,O,X,X,X
ILZTJSO,O,X,O,X,X,X,X,X,X,X,X,X,X
ILZTJOS,O,X,X,X,O,X,X,X,X,O,O,X,X
ILZTSJO,X,X,O,X,O,X,X,X,X,X,X,X,X
ILZTSOJ,X,X,O,X,O,X,X,X,X,X,X,X,X
ILZTOJS,O,X,X,O,O,X,X,X,X,O,X,X,X
ILZTOSJ,X,X,X,O,O,X,X,X,X,X,X,X,X
ILZJTSO,O,X,O,X,X,X,X,X,O,X,X,X,X
ILZJTOS,O,X,X,X,X,X,X,X,X,O,O,X,X
ILZJSTO,O,X,O,X,X,X,O,X,O,X,X,X,X
ILZJSOT,O,X,O,X,X,X,O,X,O,O,X,X,O
ILZJOTS,O,X,X,X,O,X,X,O,X,O,O,X,X
ILZJOST,O,X,O,X,X,X,O,X,O,O,X,X,O
ILZSTJO,X,X,O,X,X,X,O,X,X,X,X,X,X
ILZSTOJ,X,X,O,X,X,X,X,X,X,X,X,X,X
ILZSJTO,O,X,O,X,X,X,O,X,X,X,X,X,X
ILZSJOT,O,X,O,X,X,X,O,X,X,O,X,X,X
ILZSOTJ,X,X,O,X,O,X,X,X,X,X,X,X,X
ILZSOJT,O,X,O,X,X,X,O,X,X,O,X,X,X
ILZOTJS,O,X,X,O,O,X,X,O,X,O,X,X,X
ILZOTSJ,X,X,X,O,O,X,X,X,X,X,X,X,X
ILZOJTS,O,X,X,O,O,X,X,O,X,O,X,X,X
ILZOJST,O,X,O,O,X,X,X,X,X,O,X,X,X
ILZOSTJ,X,X,O,O,O,X,X,X,X,X,X,X,X
ILZOSJT,O,X,O,O,X,X,X,X,X,O,X,X,X
ILOTJSZ,X,O,X,O,X,X,X,X,X,X,X,X,X
ILOTJZS,X,X,X,O,X,X,X,X,X,O,X,X,X
ILOTSJZ,X,O,X,O,O,X,X,X,X,X,X,X,X
ILOTSZJ,X,O,X,O,O,X,X,X,X,X,X,X,X
ILOTZJS,X,X,X,O,O,X,X,O,X,O,X,X,X
ILOTZSJ,X,X,X,O,O,X,X,X,X,X,X,X,X
ILOJTSZ,X,O,X,O,X,X,X,X,X,X,X,X,O
ILOJTZS,X,X,X,O,X,X,X,X,X,O,X,X,X
ILOJSTZ,X,O,X,O,X,X,X,X,X,X,X,X,O
ILOJSZT,O,O,X,O,X,X,X,X,X,O,X,X,O
ILOJZTS,O,X,X,O,X,X,X,X,X,O,X,X,X
ILOJZST,O,X,X,O,X,X,X,X,X,O,X,X,O
ILOSTJZ,X,O,X,O,O,X,X,X,X,X,X,X,X
ILOSTZJ,X,O,O,O,O,X,X,X,X,X,X,X,X
ILOSJTZ,X,O,X,O,X,X,X,X,X,X,X,X,X
ILOSJZT,O,O,X,O,X,X,X,X,X,O,X,X,X
ILOSZTJ,O,O,O,O,X,X,X,X,X,X,X,X,X
ILOSZJT,O,O,O,O,X,X,X,X,X,O,X,X,X
ILOZTJS,O,X,X,O,O,X,X,O,X,O,X,X,X
ILOZTSJ,X,X,X,O,O,X,X,X,X,X,X,X,X
ILOZJTS,O,X,X,O,O,X,X,O,X,O,X,X,X
ILOZJST,O,X,O,O,X,X,X,X,X,O,X,X,X
ILOZSTJ,X,X,O,O,O,X,X,X,X,X,X,X,X
ILOZSJT,O,X,O,O,X,X,X,X,X,O,X,X,X
IJTLSZO,X,X,X,X,X,O,X,X,O,X,X,X,X
IJTLSOZ,X,X,X,X,X,X,X,X,X,X,X,O,O
IJTLZSO,X,X,X,X,X,O,X,X,O,X,X,X,X
IJTLZOS,X,X,X,X,X,X,X,X,X,O,O,X,X
IJTLOSZ,X,X,X,O,X,X,X,X,X,X,X,O,O
IJTLOZS,X,X,X,O,X,X,X,X,X,O,O,X,X
IJTSLZO,X,X,X,X,X,O,O,X,O,X,X,X,X
IJTSLOZ,X,X,X,X,X,X,O,X,X,X,X,O,O
IJTSZLO,O,X,O,X,X,O,O,X,O,X,X,X,X
IJTSZOL,X,O,O,X,X,O,O,X,X,X,O,O,X
IJTSOLZ,X,O,X,X,X,X,O,X,X,X,X,O,O
IJTSOZL,X,O,O,X,X,O,O,X,X,X,O,O,X
IJTZLSO,O,X,O,X,X,O,X,X,O,X,X,X,X
IJTZLOS,O,X,X,X,X,X,X,X,X,X,O,X,X
IJTZSLO,X,X,O,X,X,O,O,X,O,X,X,X,X
IJTZSOL,X,X,O,X,X,O,O,X,X,X,O,O,X
IJTZOLS,X,X,X,X,X,X,X,X,X,X,O,X,X
IJTZOSL,X,X,O,X,X,O,O,X,X,X,O,O,X
IJTOLSZ,X,O,X,O,X,X,X,X,X,X,X,O,O
IJTOLZS,X,X,X,O,X,X,X,X,X,X,O,X,X
IJTOSLZ,X,O,X,O,X,X,O,X,X,X,X,O,O
IJTOSZL,X,O,X,X,X,O,O,X,X,X,O,O,X
IJTOZLS,X,X,X,O,X,X,X,X,X,X,O,X,X
IJTOZSL,X,O,X,X,X,O,O,X,X,X,O,O,X
IJLTSZO,X,X,X,X,X,O,X,X,O,X,X,X,X
IJLTSOZ,X,X,X,X,X,X,X,X,X,X,X,O,O
IJLTZSO,X,X,X,X,X,O,X,X,O,X,X,X,X
IJLTZOS,X,X,X,X,X,X,X,X,X,O,O,X,X
IJLTOSZ,X,X,X,O,X,X,X,X,X,X,X,O,O
IJLTOZS,X,X,X,O,X,X,X,X,X,O,O,X,X
IJLSTZO,X,X,X,X,X,O,O,X,O,X,X,X,X
IJLSTOZ,X,X,X,X,X,X,O,X,X,X,X,O,O
IJLSZTO,O,X,X,X,X,O,O,X,O,X,X,X,X
IJLSZOT,O,X,X,X,X,X,O,X,O,O,X,X,O
IJLSOTZ,X,X,X,X,X,X,O,X,X,X,X,O,O
IJLSOZT,X,X,X,X,X,X,O,X,O,O,X,X,O
IJLZTSO,O,X,X,X,X,O,X,X,O,X,X,X,X
IJLZTOS,O,X,X,X,X,X,X,X,X,O,O,X,X
IJLZSTO,O,X,X,X,X,O,O,X,O,X,X,X,X
IJLZSOT,O,X,X,X,X,X,O,X,O,O,X,X,O
IJLZOTS,O,X,X,X,X,X,X,X,X,O,O,X,X
IJLZOST,O,X,X,X,X,X,O,X,O,O,X,X,O
IJLOTSZ,X,X,X,O,X,X,X,X,X,X,X,O,O
IJLOTZS,X,X,X,O,X,X,X,X,X,O,O,X,X
IJLOSTZ,X,X,X,O,X,X,O,X,X,X,X,O,O
IJLOSZT,X,X,X,O,X,X,O,X,O,O,X,X,O
IJLOZTS,X,X,X,O,X,X,X,X,X,O,O,X,X
IJLOZST,X,X,X,O,X,X,O,X,O,O,X,X,O
IJSTLZO,X,X,X,X,X,O,O,X,O,X,X,X,X
IJSTLOZ,X,X,X,X,X,X,O,X,X,X,X,O,O
IJSTZLO,O,X,O,X,X,O,O,X,O,X,X,X,X
IJSTZOL,X,O,O,X,X,O,O,X,X,X,O,O,X
IJSTOLZ,X,O,X,X,X,X,O,X,X,X,X,O,O
IJSTOZL,X,O,O,X,X,O,O,X,X,X,O,O,X
IJSLTZO,X,X,X,X,X,O,O,X,O,X,X,X,X
IJSLTOZ,X,X,X,X,X,X,O,X,X,X,X,O,O
IJSLZTO,O,X,X,X,X,O,O,X,O,X,X,X,X
IJSLZOT,O,X,X,X,X,X,O,X,O,O,X,X,O
IJSLOTZ,X,X,X,X,X,X,O,X,X,X,X,O,O
IJSLOZT,X,X,X,X,X,X,O,X,O,O,X,X,O
IJSZTLO,O,X,O,X,X,O,O,X,O,X,X,X,X
IJSZTOL,X,O,O,X,X,O,O,X,X,X,O,O,X
IJSZLTO,O,X,O,X,X,O,O,X,O,X,X,X,X
IJSZLOT,O,X,O,X,X,X,O,X,O,X,X,X,O
IJSZOTL,O,O,O,X,X,O,O,X,X,X,O,O,X
IJSZOLT,O,O,O,X,X,X,O,X,O,X,X,X,O
IJSOTLZ,X,O,X,X,X,X,O,X,X,X,X,O,O
IJSOTZL,O,O,O,X,X,O,O,X,X,X,O,O,X
IJSOLTZ,X,O,X,X,X,X,O,X,X,X,X,O,O
IJSOLZT,O,O,X,X,X,X,O,X,O,X,X,X,O
IJSOZTL,O,O,O,X,X,O,O,X,X,X,O,O,X
IJSOZLT,O,O,O,X,X,X,O,X,O,X,X,X,O
IJZTLSO,O,X,O,X,X,O,X,X,O,X,X,X,X
IJZTLOS,O,X,X,X,X,X,X,X,X,X,O,X,X
IJZTSLO,X,X,O,X,X,O,O,X,O,X,X,X,X
IJZTSOL,X,X,O,X,X,O,O,X,X,X,O,O,X
IJZTOLS,X,X,X,X,X,X,X,O,X,X,O,X,X
IJZTOSL,X,X,O,X,X,O,O,O,X,X,O,O,X
IJZLTSO,O,X,O,X,X,O,X,X,O,X,X,X,X
IJZLTOS,O,X,X,X,X,X,X,X,X,O,O,X,X
IJZLSTO,O,X,O,X,X,O,O,X,O,X,X,X,X
IJZLSOT,O,X,O,X,X,X,O,X,O,O,X,X,O
IJZLOTS,O,X,X,X,X,X,X,O,X,O,O,X,X
IJZLOST,O,X,O,X,X,X,O,X,O,O,X,X,O
IJZSTLO,O,X,O,X,X,O,O,X,O,X,X,X,X
IJZSTOL,X,X,O,X,X,O,O,X,X,X,O,O,X
IJZSLTO,O,X,O,X,X,O,O,X,O,X,X,X,X
IJZSLOT,O,X,O,X,X,X,O,X,O,X,X,X,O
IJZSOTL,X,X,O,X,X,O,O,O,X,X,O,O,X
IJZSOLT,O,X,O,X,X,X,O,X,O,X,X,X,O
IJZOTLS,O,X,X,X,X,X,X,O,X,X,O,X,X
IJZOTSL,X,X,O,X,X,O,O,O,X,X,O,O,X
IJZOLTS,O,X,X,X,X,X,X,O,X,X,O,X,X
IJZOLST,O,X,O,X,X,X,O,X,O,X,X,X,O
IJZOSTL,X,X,O,X,X,O,O,O,X,X,O,O,X
IJZOSLT,O,X,O,X,X,X,O,X,O,X,X,X,O
IJOTLSZ,X,O,X,O,X,X,X,X,X,X,X,O,O
IJOTLZS,X,X,X,O,X,X,X,X,X,X,O,X,X
IJOTSLZ,X,O,X,O,X,X,O,X,X,X,X,O,O
IJOTSZL,O,O,X,X,X,O,O,X,X,X,O,O,X
IJOTZLS,O,X,X,O,X,X,X,O,X,X,O,X,X
IJOTZSL,X,O,X,X,X,O,O,O,X,X,O,O,X
IJOLTSZ,X,O,X,O,X,X,X,X,X,X,X,O,O
IJOLTZS,X,X,X,O,X,X,X,X,X,O,O,X,X
IJOLSTZ,X,O,X,O,X,X,O,X,X,X,X,O,O
IJOLSZT,O,O,X,O,X,X,O,X,O,O,X,X,O
IJOLZTS,O,X,X,O,X,X,X,X,X,O,O,X,X
IJOLZST,O,X,X,O,X,X,O,X,O,O,X,X,O
IJOSTLZ,X,O,X,O,X,X,O,X,X,X,X,O,O
IJOSTZL,O,O,O,X,X,O,O,X,X,X,O,O,X
IJOSLTZ,X,O,X,O,X,X,O,X,X,X,X,O,O
IJOSLZT,O,O,X,O,X,X,O,X,O,X,X,X,O
IJOSZTL,O,O,O,X,X,O,O,X,X,X,O,O,X
IJOSZLT,O,O,O,X,X,X,O,X,O,X,X,X,O
IJOZTLS,O,X,X,O,X,X,X,O,X,X,O,X,X
IJOZTSL,X,O,O,X,X,O,O,O,X,X,O,O,X
IJOZLTS,O,X,X,O,X,X,X,O,X,X,O,X,X
IJOZLST,O,X,O,O,X,X,O,X,O,X,X,X,O
IJOZSTL,O,O,O,X,X,O,O,O,X,X,O,O,X
IJOZSLT,O,O,O,X,X,X,O,X,O,X,X,X,O
ISTLJZO,X,X,X,X,O,X,O,X,X,X,X,X,X
ISTLJOZ,X,X,X,X,O,X,O,X,X,X,X,X,X
ISTLZJO,X,X,O,X,O,X,O,X,X,X,X,X,X
ISTLZOJ,X,O,O,X,O,X,X,X,X,X,X,X,X
ISTLOJZ,X,O,X,O,O,X,X,X,X,X,X,X,X
ISTLOZJ,X,O,O,O,O,X,X,X,X,X,X,X,X
ISTJLZO,X,X,X,X,X,X,O,X,X,X,X,X,X
ISTJLOZ,X,X,X,X,X,X,O,X,X,X,X,O,X
ISTJZLO,O,X,O,X,X,X,O,X,X,X,X,X,X
ISTJZOL,X,O,O,X,X,X,O,X,X,X,O,O,X
ISTJOLZ,X,O,X,X,X,X,O,X,X,X,X,O,X
ISTJOZL,X,O,O,X,X,X,O,X,X,X,O,O,X
ISTZLJO,O,X,O,X,O,X,O,X,X,X,X,X,X
ISTZLOJ,O,O,O,X,O,X,X,X,X,X,X,X,X
ISTZJLO,O,X,O,X,O,X,O,X,X,X,X,X,X
ISTZJOL,X,O,O,X,X,X,O,X,X,X,O,X,X
ISTZOLJ,O,O,O,X,O,X,X,X,X,X,X,X,X
ISTZOJL,O,O,O,X,X,X,X,X,X,X,X,X,X
ISTOLJZ,X,O,X,O,X,X,X,X,X,X,X,X,X
ISTOLZJ,X,O,O,O,X,X,X,X,X,X,X,X,X
ISTOJLZ,X,O,X,O,X,X,X,X,X,X,X,X,X
ISTOJZL,O,O,O,X,X,X,X,X,X,X,X,X,X
ISTOZLJ,O,O,O,X,X,X,X,X,X,X,X,X,X
ISTOZJL,O,O,O,X,X,X,X,X,X,X,X,X,X
ISLTJZO,X,X,X,X,O,X,O,X,X,X,X,X,X
ISLTJOZ,X,X,X,X,O,X,O,X,X,X,X,X,X
ISLTZJO,X,X,O,X,O,X,O,X,X,X,X,X,X
ISLTZOJ,X,O,O,X,O,X,X,X,X,X,X,X,X
ISLTOJZ,X,O,X,O,O,X,X,X,X,X,X,X,X
ISLTOZJ,X,O,O,O,O,X,X,X,X,X,X,X,X
ISLJTZO,X,X,X,X,X,X,O,X,X,X,X,X,X
ISLJTOZ,X,X,X,X,X,X,O,X,X,X,X,X,O
ISLJZTO,O,X,X,X,X,X,O,X,X,X,X,X,X
ISLJZOT,O,X,X,X,X,X,O,X,X,O,X,X,O
ISLJOTZ,X,X,X,X,X,X,O,X,X,X,X,X,O
ISLJOZT,X,X,X,X,X,X,O,X,X,O,X,X,O
ISLZTJO,O,X,O,X,X,X,O,X,X,X,X,X,X
ISLZTOJ,O,O,O,X,X,X,X,X,X,X,X,X,X
ISLZJTO,O,X,O,X,X,X,O,X,X,X,X,X,X
ISLZJOT,O,X,O,X,X,X,O,X,X,O,X,X,X
ISLZOTJ,O,O,O,X,X,X,X,X,X,X,X,X,X
ISLZOJT,O,O,O,X,X,X,O,X,X,O,X,X,X
ISLOTJZ,X,O,X,O,O,X,X,X,X,X,X,X,X
ISLOTZJ,X,O,O,O,O,X,X,X,X,X,X,X,X
ISLOJTZ,X,O,X,O,X,X,O,X,X,X,X,X,X
ISLOJZT,O,O,X,O,X,X,O,X,X,O,X,X,X
ISLOZTJ,O,O,O,O,X,X,X,X,X,X,X,X,X
ISLOZJT,O,O,O,O,X,X,O,X,X,O,X,X,X
ISJTLZO,X,X,X,X,X,X,O,X,X,X,X,X,X
ISJTLOZ,X,X,X,X,X,X,O,X,X,X,X,O,O
ISJTZLO,O,X,O,X,X,X,O,X,X,X,X,X,X
ISJTZOL,X,O,O,X,X,X,O,X,X,X,O,O,X
ISJTOLZ,X,O,X,X,X,X,O,X,X,X,X,O,O
ISJTOZL,X,O,O,X,X,X,O,X,X,X,O,O,X
ISJLTZO,X,X,X,X,X,X,O,X,X,X,X,X,X
ISJLTOZ,X,X,X,X,X,X,O,X,X,X,X,O,O
ISJLZTO,O,X,X,X,X,X,O,X,X,X,X,X,X
ISJLZOT,O,X,X,X,X,X,O,X,X,O,X,X,O
ISJLOTZ,X,X,X,X,X,X,O,X,X,X,X,O,O
ISJLOZT,X,X,X,X,X,X,O,X,X,O,X,X,O
