sequence,v115@AhA8IeB8GeC8EeF8Nem/IvhFxhB6oBTkBfsBUtBlsB,v115@AhA8IeB8GeC8EeF8Nem/IvhFlhBUjBTkBXnBStBxxB,v115@AhA8IeB8GeC8EeF8NeOEJvhF8kBlhBXnBToBCoBxxB,v115@AhA8IeB8GeC8EeF8Nem/IvhFlhBTkB6tBRsBcsBXtB,v115@AhA8IeB8GeC8EeF8NeKEJvhFzfB0hBxiBFsBXtBGtB,v115@AhA8IeB8GeC8EeF8Ne0BJvhFXjBlkB+tBikBRsBTsB,v115@AhA8IeB8GeC8EeF8Nei/IvhFziB+oB3kBUnBlmBxxB,v115@AhA8IeB8GeC8EeF8NeOEJvhF8kBxhBzmBFtB6tB3sB,v115@AhA8IeB8GeC8EeF8Ne0BJvhFXjBikB+tBlkBRsBTsB,v115@AhA8IeB8GeC8EeF8Ne2EJvhFziB5oBUnB3kBlmByxB,v115@AhA8IeB8GeC8EeF8Ne0BJvhFTjBlkBWtBikBXnBxxB,v115@AhA8IeB8GeC8EeF8NeXCJvhFTjBlkBWtBikB0mBxxB,v115@AhA8IeB8GeC8EeF8NeXCJvhFTjBikBWtBlkB0mBxxB
TLZJSOI,X,X,X,X,O,O,X,X,O,X,X,X,X
TLZJOIS,X,X,X,X,O,X,X,O,X,O,X,X,X
TLZJOSI,X,X,X,X,O,X,X,O,X,X,X,X,X
TLZSIJO,X,X,O,X,O,X,X,X,X,X,X,X,X
TLZSIOJ,X,X,O,X,O,X,X,X,X,X,X,X,X
TLZSJIO,X,X,O,X,O,X,X,X,X,X,X,X,X
TLZSJOI,X,X,X,X,O,X,X,X,X,X,X,X,X
TLZSOIJ,X,X,X,X,O,X,X,X,X,X,X,X,X
TLZSOJI,X,X,X,X,O,X,X,X,X,X,X,X,X
TLZOIJS,X,X,X,O,O,X,X,O,X,O,X,X,X
TLZOISJ,X,X,X,O,O,X,X,X,X,X,X,X,X
TLZOJIS,X,X,X,O,O,X,X,O,X,O,X,X,X
TLZOJSI,X,X,X,X,O,X,X,O,X,X,X,X,X
TLZOSIJ,X,X,X,X,O,X,X,X,X,X,X,X,X
TLZOSJI,X,X,X,X,O,X,X,X,X,X,X,X,X
TLOIJSZ,X,O,X,O,X,X,X,X,X,X,X,X,X
TLOIJZS,X,X,X,O,X,X,X,X,X,O,X,X,X
TLOISJZ,X,O,X,O,O,X,X,X,X,X,X,X,X
TLOISZJ,X,O,X,O,O,X,X,X,X,X,X,X,X
TLOIZJS,X,X,X,O,O,X,X,O,X,O,X,X,X
TLOIZSJ,X,X,X,O,O,X,X,X,X,X,X,X,X
TLOJISZ,X,O,X,O,X,X,X,X,X,X,X,X,X
TLOJIZS,X,X,X,O,X,X,X,X,X,O,X,X,X
TLOJSIZ,X,O,X,O,O,X,X,X,X,X,X,X,X
TLOJSZI,X,O,X,X,O,X,X,X,X,X,X,X,X
TLOJZIS,X,X,X,O,O,X,X,X,X,O,X,X,X
TLOJZSI,X,X,X,X,O,X,X,X,X,X,X,X,X
TLOSIJZ,X,O,X,O,O,X,X,X,X,X,X,X,X
TLOSIZJ,X,O,X,O,O,X,X,X,X,X,X,X,X
TLOSJIZ,X,O,X,O,O,X,X,X,X,X,X,X,X
TLOSJZI,X,O,X,X,O,X,X,X,X,X,X,X,X
TLOSZIJ,X,X,X,X,O,X,X,X,X,X,X,X,X
TLOSZJI,X,O,X,X,O,X,X,X,X,X,X,X,X
TLOZIJS,X,X,X,O,O,X,X,O,X,O,X,X,X
TLOZISJ,X,X,X,O,O,X,X,X,X,X,X,X,X
TLOZJIS,X,X,X,O,O,X,X,O,X,O,X,X,X
TLOZJSI,X,X,X,X,O,X,X,O,X,X,X,X,X
TLOZSIJ,X,X,X,X,O,X,X,X,X,X,X,X,X
TLOZSJI,X,X,X,X,O,X,X,X,X,X,X,X,X
TJILSZO,X,X,X,X,X,O,X,X,O,X,X,X,X
TJILSOZ,X,X,X,X,X,X,X,X,X,X,X,O,X
TJILZSO,X,X,X,X,X,O,X,X,O,X,X,X,X
TJILZOS,X,X,X,X,X,X,X,X,X,O,O,X,X
TJILOSZ,X,X,X,O,X,X,X,X,X,X,X,O,X
TJILOZS,X,X,X,O,X,X,X,X,X,O,O,X,X
TJISLZO,X,X,X,X,X,O,X,X,O,X,X,X,X
TJISLOZ,X,X,X,X,X,X,X,X,X,X,X,O,X
TJISZLO,O,X,O,X,X,O,X,X,O,X,X,X,X
TJISZOL,X,O,O,X,X,O,X,X,X,X,O,O,X
TJISOLZ,X,O,X,X,X,X,X,X,X,X,X,O,X
TJISOZL,X,O,O,X,X,O,X,X,X,X,O,O,X
TJIZLSO,O,X,O,X,X,O,X,X,O,X,X,X,X
TJIZLOS,O,X,X,X,X,X,X,X,X,X,O,X,X
TJIZSLO,X,X,O,X,X,O,X,X,O,X,X,X,X
TJIZSOL,X,X,O,X,X,O,X,X,X,X,O,O,X
TJIZOLS,X,X,X,X,X,X,X,X,X,X,O,X,X
TJIZOSL,X,X,O,X,X,O,X,X,X,X,O,O,X
TJIOLSZ,X,O,X,O,X,X,X,X,X,X,X,O,X
TJIOLZS,X,X,X,O,X,X,X,X,X,X,O,X,X
TJIOSLZ,X,O,X,O,X,X,X,X,X,X,X,O,X
TJIOSZL,X,O,X,X,X,O,X,X,X,X,O,O,X
TJIOZLS,X,X,X,O,X,X,X,X,X,X,O,X,X
TJIOZSL,X,O,X,X,X,O,X,X,X,X,O,O,X
TJLISZO,X,X,X,X,X,O,X,X,O,X,X,X,X
TJLISOZ,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLIZSO,X,X,X,X,X,O,X,X,O,X,X,X,X
TJLIZOS,X,X,X,X,X,X,X,X,X,O,X,X,X
TJLIOSZ,X,X,X,O,X,X,X,X,X,X,X,X,X
TJLIOZS,X,X,X,O,X,X,X,X,X,O,X,X,X
TJLSIZO,X,X,X,X,O,O,X,X,O,X,X,X,X
TJLSIOZ,X,X,X,X,O,X,X,X,X,X,X,X,X
TJLSZIO,X,X,X,X,O,O,X,X,O,X,X,X,X
TJLSZOI,X,X,X,X,O,O,X,X,O,X,X,X,X
TJLSOIZ,X,X,X,X,O,X,X,X,X,X,X,X,X
TJLSOZI,X,X,X,X,O,X,X,X,X,X,X,X,X
TJLZISO,X,X,X,X,X,O,X,X,O,X,X,X,X
TJLZIOS,X,X,X,X,O,X,X,X,X,O,X,X,X
TJLZSIO,X,X,X,X,O,O,X,X,O,X,X,X,X
TJLZSOI,X,X,X,X,O,O,X,X,O,X,X,X,X
TJLZOIS,X,X,X,X,O,X,X,X,X,O,X,X,X
TJLZOSI,X,X,X,X,O,X,X,X,X,X,X,X,X
TJLOISZ,X,X,X,O,X,X,X,X,X,X,X,X,X
TJLOIZS,X,X,X,O,X,X,X,X,X,O,X,X,X
TJLOSIZ,X,X,X,O,O,X,X,X,X,X,X,X,X
TJLOSZI,X,X,X,X,O,X,X,X,X,X,X,X,X
TJLOZIS,X,X,X,O,O,X,X,X,X,O,X,X,X
TJLOZSI,X,X,X,X,O,X,X,X,X,X,X,X,X
TJSILZO,X,X,X,X,X,O,X,X,O,X,X,X,X
TJSILOZ,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSIZLO,O,X,O,X,X,O,X,X,O,X,X,X,X
TJSIZOL,X,O,O,X,X,O,X,X,X,X,X,X,X
TJSIOLZ,X,O,X,X,X,X,X,X,X,X,X,X,X
TJSIOZL,X,O,O,X,X,O,X,X,X,X,X,X,X
TJSLIZO,X,X,X,X,O,O,X,X,O,X,X,X,X
TJSLIOZ,X,X,X,X,O,X,X,X,X,X,X,X,X
TJSLZIO,X,X,X,X,O,O,X,X,O,X,X,X,X
TJSLZOI,X,X,X,X,O,O,X,X,O,X,X,X,X
TJSLOIZ,X,X,X,X,O,X,X,X,X,X,X,X,X
TJSLOZI,X,X,X,X,O,X,X,X,X,X,X,X,X
TJSZILO,O,X,O,X,O,O,X,X,X,X,X,X,X
TJSZIOL,X,X,O,X,X,O,X,X,X,X,X,X,X
TJSZLIO,O,X,O,X,O,O,X,X,O,X,X,X,X
TJSZLOI,X,X,X,X,O,O,X,X,O,X,X,X,X
TJSZOIL,X,O,O,X,X,O,X,X,X,X,X,X,X
TJSZOLI,X,O,X,X,X,O,X,X,X,X,X,X,X
TJSOILZ,X,O,X,X,X,X,X,X,X,X,X,X,X
TJSOIZL,X,O,X,X,X,O,X,X,X,X,X,X,X
TJSOLIZ,X,O,X,X,X,X,X,X,X,X,X,X,X
TJSOLZI,X,O,X,X,X,X,X,X,X,X,X,X,X
TJSOZIL,X,O,X,X,X,O,X,X,X,X,X,X,X
TJSOZLI,X,O,X,X,X,O,X,X,X,X,X,X,X
TJZILSO,O,X,O,X,X,O,X,X,O,X,X,X,X
TJZILOS,O,X,X,X,O,X,X,X,X,X,O,X,X
TJZISLO,X,X,O,X,X,O,X,X,O,X,X,X,X
TJZISOL,X,X,O,X,X,O,X,X,X,X,O,X,X
TJZIOLS,X,X,X,X,X,X,X,O,X,X,O,X,X
TJZIOSL,X,X,O,X,X,O,X,O,X,X,O,X,X
TJZLISO,O,X,O,X,X,O,X,X,O,X,X,X,X
TJZLIOS,O,X,X,X,O,X,X,X,X,X,X,X,X
TJZLSIO,O,X,O,X,O,O,X,X,O,X,X,X,X
TJZLSOI,X,X,X,X,O,O,X,X,O,X,X,X,X
TJZLOIS,X,X,X,X,O,X,X,O,X,X,X,X,X
TJZLOSI,X,X,X,X,O,X,X,O,X,X,X,X,X
TJZSILO,O,X,O,X,O,O,X,X,X,X,X,X,X
TJZSIOL,X,X,O,X,X,O,X,X,X,X,X,X,X
TJZSLIO,O,X,O,X,O,O,X,X,O,X,X,X,X
TJZSLOI,X,X,X,X,O,O,X,X,O,X,X,X,X
TJZSOIL,X,X,O,X,X,O,X,O,X,X,X,X,X
TJZSOLI,X,X,X,X,X,O,X,O,X,X,X,X,X
TJZOILS,X,X,X,X,X,X,X,O,X,X,X,X,X
TJZOISL,X,X,O,X,X,O,X,O,X,X,X,X,X
TJZOLIS,X,X,X,X,X,X,X,O,X,X,X,X,X
TJZOLSI,X,X,X,X,X,X,X,O,X,X,X,X,X
TJZOSIL,X,X,O,X,X,O,X,O,X,X,X,X,X
TJZOSLI,X,X,X,X,X,O,X,O,X,X,X,X,X
TJOILSZ,X,O,X,O,X,X,X,X,X,X,X,X,X
TJOILZS,X,X,X,O,X,X,X,X,X,X,X,X,X
TJOISLZ,X,O,X,O,X,X,X,X,X,X,X,X,X
TJOISZL,X,O,X,X,X,O,X,X,X,X,X,X,X
TJOIZLS,X,X,X,O,X,X,X,O,X,X,X,X,X
TJOIZSL,X,O,X,X,X,O,X,O,X,X,X,X,X
TJOLISZ,X,O,X,O,X,X,X,X,X,X,X,X,X
TJOLIZS,X,X,X,O,X,X,X,X,X,X,X,X,X
TJOLSIZ,X,O,X,O,X,X,X,X,X,X,X,X,X
TJOLSZI,X,O,X,X,X,X,X,X,X,X,X,X,X
TJOLZIS,X,X,X,O,X,X,X,X,X,X,X,X,X
TJOLZSI,X,X,X,X,X,X,X,X,X,X,X,X,X
TJOSILZ,X,O,X,O,X,X,X,X,X,X,X,X,X
TJOSIZL,X,O,X,X,X,O,X,X,X,X,X,X,X
TJOSLIZ,X,O,X,O,X,X,X,X,X,X,X,X,X
TJOSLZI,X,O,X,X,X,X,X,X,X,X,X,X,X
TJOSZIL,X,O,X,X,X,O,X,X,X,X,X,X,X
TJOSZLI,X,O,X,X,X,O,X,X,X,X,X,X,X
TJOZILS,X,X,X,O,X,X,X,O,X,X,X,X,X
TJOZISL,X,O,X,X,X,O,X,O,X,X,X,X,X
TJOZLIS,X,X,X,O,X,X,X,O,X,X,X,X,X
TJOZLSI,X,X,X,X,X,X,X,O,X,X,X,X,X
