sequence,v115@FhB8HeB8IeB8BeD8AeB8Je0/IvhFxgBTiB/pBGmBiq?BlsB,v115@FhB8HeB8IeB8BeD8AeB8Jex/IvhF8lBGiBikB3mBzp?BlsB,v115@FhB8HeB8IeB8BeD8AeB8Jex/IvhFXhBTiBmkBSrB0p?BlsB,v115@FhB8HeB8IeB8BeD8AeB8Jem/IvhFRhBSnBTkBUmBXq?BlsB,v115@FhB8HeB8IeB8BeD8AeB8Jex/IvhF8lB+mBTiB/pBaq?BlsB,v115@FhB8HeB8IeB8BeD8AeB8Jex/IvhF8lBSnBTkBeqB3m?BlsB,v115@FhB8HeB8IeB8BeD8AeB8Jei/IvhF+mBTiBRlB3lB0p?BlsB,v115@FhB8HeB8IeB8BeD8AeB8JeKEJvhFzfBGiBRmBUmBXq?BlsB,v115@FhB8HeB8IeB8BeD8AeB8Jem/IvhFfmB6mBTiBxpBls?B0pB,v115@FhB8HeB8IeB8BeD8AeB8JeGBJvhFTiBUmBxpBlsB/p?BaqB,v115@FhB8HeB8IeB8BeD8AeB8JeyEJvhFzgBGiB3mBxpBls?B0pB,v115@FhB8HeB8IeB8BeD8AeB8Je0/IvhFxhB/pBzlBCnBOq?BlsB,v115@FhB8HeB8IeB8BeD8AeB8JeFAJvhF0hBzlBmpBRsB/p?B6sB,v115@FhB8HeB8IeB8BeD8AeB8JeT/IvhF3gBxmB2qBCnB0p?BlsB,v115@FhB8HeB8IeB8BeD8AeB8JeXAJvhFxhB2pBzlBCnBls?B0pB,v115@FhB8HeB8IeB8BeD8AeB8Je0/IvhFxhB2pBzlBCnBls?BXqB,v115@FhB8HeB8IeB8BeD8AeB8Jel/IvhFThB/pB2sBxqBcq?B6sB,v115@FhB8HeB8IeB8BeD8AeB8JeT/IvhFVmBypB0nBRrBXq?BGsB
TIJLOSZ,O,X,X,X,X,O,O,O,O,X,O,X,X,X,O,O,X,X
TIJLOZS,O,X,X,X,X,O,O,O,X,X,X,X,X,X,O,O,X,X
TIJSLZO,O,O,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X
TIJSLOZ,O,X,X,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X
TIJSZLO,O,O,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X
TIJSZOL,O,O,X,X,O,X,X,X,O,X,O,X,X,O,X,X,X,X
TIJSOLZ,O,O,X,X,O,X,O,O,O,X,O,X,X,X,O,X,X,X
TIJSOZL,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X
TIJZLSO,O,O,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X
TIJZLOS,O,O,X,X,O,O,O,O,X,O,X,X,X,X,X,O,X,X
TIJZSLO,O,O,X,X,O,X,O,O,O,O,O,X,X,X,X,X,X,X
TIJZSOL,O,O,X,X,O,X,O,X,O,O,O,X,X,O,X,X,X,X
TIJZOLS,O,O,X,X,O,O,O,X,X,O,X,X,X,X,X,O,X,X
TIJZOSL,O,O,X,X,O,O,O,X,O,O,X,X,X,O,X,X,X,X
TIJOLSZ,O,O,X,X,X,O,O,O,O,X,O,X,O,X,O,O,X,X
TIJOLZS,O,O,X,X,X,O,O,O,X,X,X,X,O,X,O,O,X,X
TIJOSLZ,O,O,X,X,O,O,O,O,O,X,O,X,O,X,O,X,X,X
TIJOSZL,O,O,X,X,O,O,X,X,O,X,O,X,O,X,X,X,X,X
TIJOZLS,O,O,X,X,O,O,O,X,X,O,X,X,O,X,X,O,X,X
TIJOZSL,O,O,X,X,O,O,O,X,O,O,X,X,O,X,X,X,X,X
TISLJZO,O,O,X,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X
TISLJOZ,O,X,X,O,O,X,X,O,O,X,O,O,X,X,X,X,X,X
TISLZJO,O,O,X,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X
TISLZOJ,O,O,X,O,O,X,X,O,O,X,O,O,X,O,X,X,X,X
TISLOJZ,O,X,X,O,O,X,X,O,O,X,O,O,X,X,X,X,X,X
TISLOZJ,O,X,X,O,O,X,X,O,O,X,O,O,X,X,X,X,X,X
TISJLZO,O,O,X,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X
TISJLOZ,O,X,X,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X
TISJZLO,O,O,X,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X
TISJZOL,O,O,X,O,O,X,X,X,O,X,O,X,X,O,X,X,X,X
TISJOLZ,O,O,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X
TISJOZL,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X
TISZLJO,O,O,X,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X
TISZLOJ,O,O,X,O,O,X,X,O,O,O,O,O,X,O,X,X,X,X
TISZJLO,O,O,X,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X
TISZJOL,O,O,X,O,O,X,X,X,O,O,O,X,X,O,X,X,X,X
TISZOLJ,O,O,X,O,X,X,X,X,O,O,O,O,X,O,X,X,X,X
TISZOJL,O,O,X,O,O,X,X,X,O,O,O,X,X,O,X,X,X,X
TISOLJZ,O,O,X,O,O,X,X,O,O,X,O,O,X,X,X,X,X,X
TISOLZJ,O,O,X,O,X,X,X,O,O,X,O,O,X,X,X,X,X,X
TISOJLZ,O,O,X,O,O,X,X,O,O,X,O,X,X,X,X,X,O,X
TISOJZL,O,O,X,O,O,X,X,X,O,X,O,X,X,X,X,X,O,X
TISOZLJ,O,O,X,O,X,X,X,X,O,O,O,O,X,O,X,X,X,X
TISOZJL,O,O,X,O,O,X,X,X,O,O,O,X,X,O,X,X,X,X
TIZLJSO,X,O,O,O,X,X,O,O,X,O,O,X,X,X,X,X,X,X
TIZLJOS,X,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X
TIZLSJO,X,O,O,O,X,X,O,O,X,O,O,X,X,X,X,X,X,X
TIZLSOJ,X,X,O,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X
TIZLOJS,X,O,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X
TIZLOSJ,X,X,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TIZJLSO,X,O,O,O,X,X,O,O,X,O,O,X,X,X,X,X,X,X
TIZJLOS,X,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X
TIZJSLO,X,O,O,O,O,X,O,O,O,O,O,X,X,X,X,X,X,X
TIZJSOL,X,O,O,O,O,X,O,X,O,O,O,X,X,O,X,X,X,X
TIZJOLS,X,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X
TIZJOSL,X,O,O,O,O,O,O,X,O,O,X,X,X,O,X,X,X,X
TIZSLJO,X,X,X,O,O,X,O,O,O,O,O,X,X,X,X,X,X,X
TIZSLOJ,X,X,X,O,O,X,X,O,O,O,O,X,X,O,X,X,X,X
TIZSJLO,X,O,X,O,O,X,O,O,O,O,O,X,X,X,X,X,X,X
TIZSJOL,X,O,X,O,O,X,O,X,O,O,O,X,X,O,X,X,X,X
TIZSOLJ,X,X,X,O,X,X,X,X,O,O,O,X,X,O,X,X,X,X
TIZSOJL,X,X,X,O,O,X,X,X,O,O,O,X,X,O,X,X,X,X
TIZOLJS,X,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TIZOLSJ,X,O,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TIZOJLS,X,O,O,O,O,X,O,X,X,O,X,X,O,X,X,X,X,X
TIZOJSL,X,O,O,O,O,X,O,X,O,O,X,X,O,O,X,X,X,X
TIZOSLJ,X,X,X,O,X,X,X,X,O,O,X,X,X,O,X,X,X,X
TIZOSJL,X,O,X,O,X,X,X,X,O,O,X,X,X,O,X,X,X,X
TIOLJSZ,O,O,X,O,X,O,X,O,O,X,O,O,X,X,O,O,X,X
TIOLJZS,O,O,X,O,X,O,X,O,X,X,X,X,X,X,O,O,X,X
TIOLSJZ,O,O,O,O,X,O,X,O,O,X,O,O,X,X,O,O,X,X
TIOLSZJ,O,O,O,X,X,X,X,O,O,X,O,O,X,X,O,X,X,X
TIOLZJS,X,O,O,O,X,O,X,O,X,O,X,X,X,X,O,O,X,X
TIOLZSJ,X,O,O,O,X,X,X,X,X,O,X,O,X,X,O,X,X,X
TIOJLSZ,O,O,X,O,X,O,O,O,O,X,O,X,O,X,O,O,X,X
TIOJLZS,O,O,X,O,X,O,O,O,X,X,X,X,O,X,O,O,X,X
TIOJSLZ,O,O,X,X,O,O,O,O,O,X,O,X,O,X,O,X,O,X
TIOJSZL,O,O,X,X,O,O,X,X,O,X,O,X,O,X,X,X,O,X
TIOJZLS,O,O,X,O,O,O,O,X,X,O,X,X,O,X,X,O,X,X
TIOJZSL,O,O,X,O,O,O,O,X,O,O,X,X,O,X,X,X,X,X
TIOSLJZ,O,O,X,X,O,O,X,O,O,X,O,O,X,X,O,X,X,X
TIOSLZJ,O,O,X,X,X,X,X,O,O,X,O,O,X,X,O,X,X,X
TIOSJLZ,O,O,X,X,O,O,X,O,O,X,O,X,X,X,O,X,O,X
TIOSJZL,O,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,O,X
TIOSZLJ,O,O,X,X,X,X,X,X,O,O,O,O,X,O,X,X,X,X
TIOSZJL,O,O,X,X,X,X,X,X,O,O,O,X,X,O,X,X,X,X
TIOZLJS,X,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TIOZLSJ,X,O,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TIOZJLS,X,O,O,O,X,O,O,X,X,O,X,X,O,X,X,X,X,X
TIOZJSL,X,O,O,O,X,O,O,X,O,O,X,X,O,O,X,X,X,X
TIOZSLJ,X,X,X,O,X,X,X,X,O,O,X,X,X,O,X,X,X,X
TIOZSJL,X,O,X,O,X,X,X,X,O,O,X,X,X,O,X,X,X,X
TLIJSZO,O,O,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X
TLIJSOZ,O,X,X,O,X,X,X,O,O,X,O,O,X,X,X,X,X,X
TLIJZSO,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TLIJZOS,O,O,X,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X
TLIJOSZ,O,X,X,O,X,O,X,O,O,X,O,O,X,X,O,O,X,X
TLIJOZS,O,X,X,O,X,O,X,O,X,X,X,X,X,X,O,O,X,X
TLISJZO,O,O,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X
TLISJOZ,O,X,O,O,X,X,X,O,O,X,O,O,X,X,X,X,X,X
TLISZJO,O,O,O,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X
TLISZOJ,O,O,O,O,X,X,X,O,O,X,O,O,X,O,X,X,X,X
TLISOJZ,O,X,O,O,X,X,X,O,O,X,O,O,X,X,O,O,X,X
TLISOZJ,O,X,O,O,X,X,X,O,O,X,O,O,X,X,O,X,X,X
TLIZJSO,X,O,O,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X
TLIZJOS,X,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X
TLIZSJO,X,O,O,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X
TLIZSOJ,X,X,O,O,X,X,X,O,X,O,O,O,X,O,X,X,X,X
TLIZOJS,X,O,O,O,X,X,X,O,X,O,X,X,X,X,O,O,X,X
TLIZOSJ,X,X,O,O,X,X,X,X,X,O,X,O,X,O,O,X,X,X
TLIOJSZ,O,X,X,O,X,O,X,O,O,X,O,O,X,X,O,O,X,X
TLIOJZS,O,X,X,O,X,O,X,O,X,X,X,X,X,X,O,O,X,X
TLIOSJZ,O,X,O,O,X,O,X,O,O,X,O,O,X,X,O,O,X,X
TLIOSZJ,O,X,O,O,X,X,X,O,O,X,O,O,X,X,O,X,X,X
TLIOZJS,X,O,O,O,X,O,X,O,X,O,X,X,X,X,O,O,X,X
TLIOZSJ,X,X,O,O,X,X,X,X,X,O,X,O,X,X,O,X,X,X
TLJISZO,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TLJISOZ,O,X,X,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X
TLJIZSO,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TLJIZOS,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X
TLJIOSZ,O,X,X,O,X,O,O,O,X,X,O,O,X,X,O,O,X,X
TLJIOZS,O,X,X,O,X,O,O,O,X,X,X,X,X,X,O,O,X,X
TLJSIZO,O,O,X,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X
TLJSIOZ,O,X,O,O,O,X,X,O,O,X,O,O,X,X,X,X,X,X
TLJSZIO,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TLJSZOI,O,O,O,O,O,O,X,O,X,X,X,O,X,X,X,O,X,X
TLJSOIZ,O,O,O,O,O,O,X,O,O,X,O,O,X,X,O,O,X,X
TLJSOZI,O,O,O,O,O,O,X,O,X,X,X,O,X,X,O,O,X,X
TLJZISO,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TLJZIOS,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,X,X
TLJZSIO,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TLJZSOI,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,X,X
TLJZOIS,O,O,O,O,O,O,O,O,X,X,X,X,X,X,O,O,X,X
TLJZOSI,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,O,X,X
TLJOISZ,O,O,X,O,X,O,O,O,X,X,X,O,X,X,O,O,X,X
TLJOIZS,O,O,X,O,X,O,O,O,X,X,X,X,X,X,O,O,X,X
TLJOSIZ,O,O,O,O,O,O,X,O,O,X,X,O,X,X,O,O,X,X
TLJOSZI,O,O,O,O,O,O,X,O,X,X,X,O,X,X,O,O,X,X
TLJOZIS,O,O,O,O,O,O,O,O,X,X,X,X,X,X,O,O,X,X
TLJOZSI,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,O,X,X
TLSIJZO,O,O,X,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X
TLSIJOZ,O,X,O,O,O,X,X,O,O,X,O,O,X,X,X,X,X,X
TLSIZJO,O,O,O,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X
TLSIZOJ,O,O,O,O,O,X,X,O,O,X,O,O,X,X,X,X,X,X
TLSIOJZ,O,X,O,O,O,X,X,O,O,X,O,O,X,X,O,O,X,X
TLSIOZJ,O,X,O,O,O,X,X,O,O,X,O,O,X,X,O,X,X,X
TLSJIZO,O,O,X,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X
TLSJIOZ,O,X,O,O,O,X,X,O,O,X,O,O,X,X,X,X,X,X
TLSJZIO,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TLSJZOI,O,O,O,O,O,O,X,O,X,X,X,O,X,X,X,O,X,X
TLSJOIZ,O,O,O,O,O,O,X,O,O,X,O,O,X,X,O,O,X,X
TLSJOZI,O,O,O,O,O,O,X,O,X,X,X,O,X,X,O,O,X,X
TLSZIJO,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
TLSZIOJ,O,O,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X
TLSZJIO,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TLSZJOI,O,O,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
TLSZOIJ,O,O,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X
TLSZOJI,O,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
TLSOIJZ,O,O,O,O,O,O,X,O,O,X,O,O,X,X,O,O,X,X
TLSOIZJ,O,O,O,O,O,X,X,O,O,X,O,O,X,X,O,X,X,X
TLSOJIZ,O,O,O,O,O,O,X,O,O,X,O,O,X,X,O,O,X,X
TLSOJZI,O,O,O,O,O,O,X,O,X,X,X,O,X,X,O,O,X,X
TLSOZIJ,O,O,O,O,O,X,X,O,O,X,X,O,X,X,O,X,X,X
TLSOZJI,O,O,O,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X
TLZIJSO,X,O,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X
TLZIJOS,X,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X
TLZISJO,X,O,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X
TLZISOJ,X,X,O,O,X,X,X,O,X,O,X,O,X,O,X,X,X,X
TLZIOJS,X,O,O,O,X,X,O,O,X,O,X,X,X,X,O,O,X,X
TLZIOSJ,X,X,O,O,X,X,X,X,X,O,X,O,X,O,O,X,X,X
TLZJISO,O,O,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X
TLZJIOS,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,O,X,X
TLZJSIO,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TLZJSOI,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,X,X
TLZJOIS,O,O,O,O,O,O,O,O,X,O,X,X,X,X,O,O,X,X
TLZJOSI,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,O,X,X
TLZSIJO,O,O,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X
TLZSIOJ,O,O,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X
TLZSJIO,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TLZSJOI,O,O,O,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X
TLZSOIJ,O,O,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X
TLZSOJI,O,O,O,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X
TLZOIJS,X,O,O,O,X,O,O,O,X,O,X,X,X,X,O,O,X,X
TLZOISJ,X,O,O,O,X,X,X,X,X,O,X,O,X,O,O,X,X,X
TLZOJIS,O,O,O,O,X,O,O,O,X,O,X,X,X,X,O,O,X,X
TLZOJSI,O,O,O,O,X,O,O,X,X,X,X,X,X,X,O,O,X,X
TLZOSIJ,O,O,O,O,X,X,X,X,O,X,X,O,X,X,O,X,X,X
TLZOSJI,O,O,O,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X
TLOIJSZ,O,O,X,O,X,O,X,O,O,X,X,O,X,X,O,O,X,X
TLOIJZS,O,O,X,O,X,O,X,O,X,X,X,X,X,X,O,O,X,X
TLOISJZ,O,O,O,O,X,O,X,O,O,X,X,O,X,X,O,O,X,X
TLOISZJ,O,O,O,O,X,X,X,O,O,X,X,O,X,X,O,X,X,X
TLOIZJS,X,O,O,O,X,O,X,O,X,O,X,X,X,X,O,O,X,X
TLOIZSJ,X,O,O,O,X,X,X,X,X,O,X,O,X,X,O,X,X,X
TLOJISZ,O,O,X,O,X,O,O,O,X,X,X,O,X,X,O,O,X,X
TLOJIZS,O,O,X,O,X,O,O,O,X,X,X,X,X,X,O,O,X,X
TLOJSIZ,O,O,O,O,O,O,X,O,O,X,X,O,X,X,O,O,X,X
TLOJSZI,O,O,O,O,O,O,X,O,X,X,X,O,X,X,O,O,X,X
TLOJZIS,O,O,O,O,O,O,O,O,X,X,X,X,X,X,O,O,X,X
TLOJZSI,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,O,X,X
TLOSIJZ,O,O,O,O,O,O,X,O,O,X,X,O,X,X,O,O,X,X
TLOSIZJ,O,O,O,O,X,X,X,O,O,X,X,O,X,X,O,X,X,X
TLOSJIZ,O,O,O,O,O,O,X,O,O,X,X,O,X,X,O,O,X,X
TLOSJZI,O,O,O,O,O,O,X,O,X,X,X,O,X,X,O,O,X,X
TLOSZIJ,O,O,O,O,X,X,X,O,O,X,X,O,X,X,O,X,X,X
TLOSZJI,O,O,O,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X
TLOZIJS,X,O,O,O,X,O,O,O,X,O,X,X,X,X,O,O,X,X
TLOZISJ,X,O,O,O,X,X,X,X,X,O,X,O,X,X,O,X,X,X
TLOZJIS,O,O,O,O,X,O,O,O,X,O,X,X,X,X,O,O,X,X
TLOZJSI,O,O,O,O,X,O,O,X,X,X,X,X,X,X,O,O,X,X
TLOZSIJ,O,O,O,O,X,X,X,X,O,X,X,O,X,X,O,X,X,X
TLOZSJI,O,O,O,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X
TJILSZO,O,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X
TJILSOZ,O,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X
TJILZSO,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TJILZOS,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X
TJILOSZ,O,X,X,X,X,O,O,O,O,X,O,X,X,X,O,O,X,X
TJILOZS,O,X,X,X,X,O,O,O,X,X,X,X,X,X,O,O,X,X
TJISLZO,O,O,X,X,O,X,X,O,O,X,O,X,X,X,X,X,O,X
TJISLOZ,O,X,X,X,O,X,O,O,O,X,O,X,X,X,X,X,O,X
TJISZLO,O,O,X,X,O,X,X,O,O,X,O,X,X,X,X,X,O,X
TJISZOL,O,O,X,X,O,X,X,X,O,X,O,X,X,O,X,X,O,X
TJISOLZ,O,O,X,X,O,X,O,O,O,X,O,X,X,X,O,X,O,X
TJISOZL,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X,O,X
TJIZLSO,O,O,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X
TJIZLOS,O,O,X,X,O,O,O,O,X,O,X,X,X,X,X,O,X,X
TJIZSLO,O,O,X,X,O,X,O,O,O,O,O,X,X,X,X,X,X,X
TJIZSOL,O,O,X,X,O,X,O,X,O,O,O,X,X,O,X,X,X,X
TJIZOLS,O,O,X,X,O,O,O,X,X,O,X,X,X,X,X,O,X,X
TJIZOSL,O,O,X,X,O,O,O,X,O,O,X,X,X,O,X,X,X,X
TJIOLSZ,O,O,X,X,X,O,O,O,O,X,O,X,O,X,O,O,X,X
TJIOLZS,O,O,X,X,X,O,O,O,X,X,X,X,O,X,O,O,X,X
TJIOSLZ,O,O,X,X,O,O,O,O,O,X,O,X,O,X,O,X,O,X
TJIOSZL,O,O,X,X,O,O,X,X,O,X,O,X,O,X,X,X,O,X
TJIOZLS,O,O,X,X,O,O,O,X,X,O,X,X,O,X,X,O,X,X
TJIOZSL,O,O,X,X,O,O,O,X,O,O,X,X,O,X,X,X,X,X
TJLISZO,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TJLISOZ,O,X,X,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X
TJLIZSO,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TJLIZOS,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X
TJLIOSZ,O,X,X,O,X,O,O,O,X,X,O,O,X,X,O,O,X,X
TJLIOZS,O,X,X,O,X,O,O,O,X,X,X,X,X,X,O,O,X,X
TJLSIZO,O,O,X,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X
TJLSIOZ,O,X,O,O,O,X,X,O,O,X,O,O,X,X,X,X,X,X
TJLSZIO,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TJLSZOI,O,O,O,O,O,O,X,O,X,X,X,O,X,X,X,O,X,X
TJLSOIZ,O,O,O,O,O,O,X,O,O,X,O,O,X,X,O,O,X,X
TJLSOZI,O,O,O,O,O,O,X,O,X,X,X,O,X,X,O,O,X,X
