sequence,v115@GhA8IeA8GeD8BeB8AeD8Je2EJvhFRgBanBziB3lB9r?B0pB,v115@GhA8IeA8GeD8BeB8AeD8JeOEJvhFXgB8lBRiB9rBin?BzpB,v115@GhA8IeA8GeD8BeB8AeD8Jex/IvhFXhBdnBziBypBGr?B0pB,v115@GhA8IeA8GeD8BeB8AeD8Jem/IvhFChBdnBziB/rBxp?B0pB,v115@GhA8IeA8GeD8BeB8AeD8Je0/IvhFxhBynB2pBzlBtr?BXqB,v115@GhA8IeA8GeD8BeB8AeD8Jei/IvhFRhBziB9pBOqBXm?B8rB,v115@GhA8IeA8GeD8BeB8AeD8JeOEJvhF8kBzgBRiB9rBin?BXqB,v115@GhA8IeA8GeD8BeB8AeD8Je0/IvhFxhBynB/pBzlBtr?BOqB,v115@GhA8IeA8GeD8BeB8AeD8JeOEJvhFXgB8lBRnB9rBin?BzpB,v115@GhA8IeA8GeD8BeB8AeD8JeNEJvhFUhBRiBXlBinBGr?BzpB,v115@GhA8IeA8GeD8BeB8AeD8JeyEJvhFfmBmhBziBtrBxp?B0pB,v115@GhA8IeA8GeD8BeB8AeD8JeOEJvhFNlBRhBziBqpBXm?B8rB,v115@GhA8IeA8GeD8BeB8AeD8JeOEJvhF8kBzgBRnB9rBin?BXqB,v115@GhA8IeA8GeD8BeB8AeD8JezAJvhF/pBUlBRnB9rBin?BmpB
TIJZLSO,X,O,X,X,X,O,X,X,X,O,X,X,X,X
TIJZLOS,X,O,X,X,O,O,X,X,X,O,X,X,X,X
TIJZSLO,X,O,X,O,X,O,X,X,O,O,X,X,X,X
TIJZSOL,X,O,X,O,X,O,X,X,O,X,X,X,X,X
TIJZOLS,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TIJZOSL,X,O,X,O,O,O,X,X,X,X,X,X,X,X
TIJOLSZ,X,O,O,O,O,O,X,O,X,X,O,X,X,X
TIJOLZS,X,O,O,X,O,O,X,X,X,X,X,X,X,X
TIJOSLZ,X,X,O,O,O,O,X,O,X,X,O,X,X,X
TIJOSZL,X,O,O,O,O,X,O,O,O,X,O,X,X,X
TIJOZLS,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TIJOZSL,X,O,X,O,O,O,X,X,O,X,X,X,X,X
TISLJZO,O,X,X,O,X,X,O,X,X,X,O,X,X,X
TISLJOZ,O,X,X,O,X,X,O,O,X,X,O,X,X,X
TISLZJO,O,X,X,O,X,X,O,X,X,X,O,X,X,X
TISLZOJ,O,X,X,O,X,X,O,O,X,X,O,X,X,X
TISLOJZ,O,X,O,O,O,X,O,O,X,X,O,X,X,X
TISLOZJ,O,X,X,O,X,X,O,O,X,X,O,X,X,X
TISJLZO,O,X,O,O,X,X,X,X,X,X,O,X,X,X
TISJLOZ,O,X,O,O,X,X,X,O,X,X,O,X,X,X
TISJZLO,O,O,X,O,X,X,O,X,X,X,O,X,X,X
TISJZOL,O,O,O,O,X,X,O,X,X,X,O,X,X,X
TISJOLZ,O,X,O,O,X,X,X,O,X,X,O,X,X,X
TISJOZL,O,O,O,O,X,X,O,O,X,X,O,X,X,X
TISZLJO,O,O,X,O,X,X,O,X,X,X,O,X,X,X
TISZLOJ,O,X,X,O,X,X,O,O,X,X,O,X,X,X
TISZJLO,O,O,X,O,X,X,O,X,X,X,O,X,X,X
TISZJOL,O,O,X,O,X,X,O,X,X,X,O,X,O,X
TISZOLJ,O,O,X,O,X,X,O,O,X,X,O,X,X,O
TISZOJL,O,O,O,O,X,X,O,O,X,X,O,X,O,O
TISOLJZ,O,X,O,O,O,X,O,O,X,X,O,X,X,X
TISOLZJ,O,X,X,O,X,X,O,O,X,X,O,X,X,X
TISOJLZ,O,X,O,O,O,X,X,O,X,X,O,X,X,X
TISOJZL,O,O,O,O,O,X,O,O,X,X,O,X,X,X
TISOZLJ,O,O,X,O,X,X,O,O,X,X,O,X,X,X
TISOZJL,O,O,O,O,X,X,O,O,X,X,O,X,O,X
TIZLJSO,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TIZLJOS,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TIZLSJO,O,O,X,X,X,O,X,X,X,X,O,X,X,X
TIZLSOJ,O,O,X,X,X,O,X,O,X,X,O,X,X,X
TIZLOJS,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TIZLOSJ,O,O,X,X,X,O,X,O,X,X,O,X,X,X
TIZJLSO,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TIZJLOS,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TIZJSLO,O,O,X,O,X,O,X,X,O,X,X,X,X,X
TIZJSOL,O,O,X,O,X,O,X,X,O,X,X,X,X,X
TIZJOLS,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TIZJOSL,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TIZSLJO,O,O,X,O,X,O,O,X,X,X,O,X,X,X
TIZSLOJ,O,O,X,O,X,O,O,O,X,X,O,X,X,X
TIZSJLO,O,O,X,O,X,O,O,X,O,X,O,X,X,X
TIZSJOL,O,O,X,O,X,O,O,X,O,X,O,X,X,X
TIZSOLJ,O,O,X,O,X,O,O,O,X,X,O,X,X,X
TIZSOJL,O,O,X,O,X,O,O,O,X,X,O,X,X,X
TIZOLJS,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TIZOLSJ,O,O,X,X,X,O,X,O,X,X,O,X,X,X
TIZOJLS,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TIZOJSL,O,O,X,O,O,O,X,X,O,X,X,X,X,X
TIZOSLJ,O,O,X,O,X,O,O,O,X,X,O,X,X,X
TIZOSJL,O,O,X,O,X,O,O,O,O,X,O,X,X,X
TIOLJSZ,X,O,O,O,O,O,O,O,X,X,O,X,X,X
TIOLJZS,X,O,O,X,O,O,X,X,X,X,X,X,X,X
TIOLSJZ,O,O,X,O,O,X,O,O,X,X,O,X,X,X
TIOLSZJ,O,O,X,O,X,X,O,O,X,X,O,X,X,X
TIOLZJS,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TIOLZSJ,O,O,X,X,X,O,O,O,X,X,O,X,X,X
TIOJLSZ,X,O,O,O,O,O,X,O,X,X,O,X,X,X
TIOJLZS,X,O,O,X,O,O,X,X,X,X,X,X,X,X
TIOJSLZ,X,X,O,O,O,O,X,O,X,X,O,X,X,X
TIOJSZL,X,O,O,O,O,X,O,O,O,X,O,X,X,X
TIOJZLS,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TIOJZSL,X,O,X,O,O,O,X,X,O,X,X,X,X,X
TIOSLJZ,O,X,O,O,O,X,O,O,X,X,O,X,X,X
TIOSLZJ,O,X,X,O,X,X,O,O,X,X,O,X,X,X
TIOSJLZ,O,X,O,O,O,X,X,O,X,X,O,X,X,X
TIOSJZL,O,O,O,O,O,X,O,O,O,X,O,X,X,X
TIOSZLJ,O,O,X,O,X,X,O,O,X,X,O,X,X,X
TIOSZJL,O,O,O,O,X,X,O,O,O,X,O,X,X,X
TIOZLJS,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TIOZLSJ,O,O,X,X,X,O,X,O,X,X,O,X,X,X
TIOZJLS,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TIOZJSL,O,O,X,O,O,O,X,X,O,X,X,X,X,X
TIOZSLJ,O,O,X,O,X,O,O,O,X,X,O,X,X,X
TIOZSJL,O,O,X,O,X,O,O,O,O,X,O,X,X,X
TLIJSZO,X,O,O,O,X,X,O,X,X,O,O,X,X,X
TLIJSOZ,X,O,O,O,X,O,O,O,X,O,O,O,X,X
TLIJZSO,X,O,O,X,X,O,X,X,X,O,X,O,X,X
TLIJZOS,X,O,O,X,O,O,X,X,X,O,X,O,X,X
TLIJOSZ,X,O,O,O,O,O,O,O,X,O,O,O,X,X
TLIJOZS,X,O,O,X,O,O,X,X,X,O,X,O,X,X
TLISJZO,O,O,X,O,X,X,O,X,X,O,O,X,X,X
TLISJOZ,O,O,X,O,X,X,O,O,X,O,O,O,X,X
TLISZJO,O,O,X,O,X,X,O,X,X,X,O,X,X,X
TLISZOJ,O,O,X,O,X,X,O,O,X,X,O,X,X,X
TLISOJZ,O,O,X,O,O,X,O,O,X,X,O,O,X,X
TLISOZJ,O,O,X,O,X,X,O,O,X,X,O,X,X,X
TLIZJSO,O,O,X,X,X,O,X,X,X,O,X,O,X,X
TLIZJOS,O,O,X,X,X,O,X,X,X,O,X,O,X,X
TLIZSJO,O,O,X,X,X,O,O,X,X,X,O,O,X,X
TLIZSOJ,O,O,X,X,X,O,O,O,X,X,O,O,X,X
TLIZOJS,O,O,X,X,O,O,X,X,X,X,X,O,X,X
TLIZOSJ,O,O,X,X,X,O,O,O,X,X,O,O,X,X
TLIOJSZ,X,O,O,O,O,O,O,O,X,O,O,O,X,X
TLIOJZS,X,O,O,X,O,O,X,X,X,O,X,O,X,X
TLIOSJZ,O,O,X,O,O,X,O,O,X,X,O,O,X,X
TLIOSZJ,O,O,X,O,X,X,O,O,X,X,O,X,X,X
TLIOZJS,O,O,X,X,O,O,X,X,X,X,X,O,X,X
TLIOZSJ,O,O,X,X,X,O,O,O,X,X,O,O,X,X
TLJISZO,X,O,O,X,X,X,O,X,X,O,X,X,X,X
TLJISOZ,X,O,O,X,X,O,O,O,X,O,X,O,X,X
TLJIZSO,X,O,O,X,X,O,X,X,X,O,X,O,X,X
TLJIZOS,X,O,O,X,O,O,X,X,X,O,X,O,X,X
TLJIOSZ,X,O,O,X,O,O,O,O,X,O,X,O,X,X
TLJIOZS,X,O,O,X,O,O,X,X,X,O,X,O,X,X
TLJSIZO,O,O,O,X,X,X,O,X,X,O,O,X,X,X
TLJSIOZ,O,O,O,X,X,O,O,O,X,O,O,O,X,X
TLJSZIO,O,O,O,X,X,O,O,X,X,O,X,O,X,X
TLJSZOI,O,O,O,X,O,O,O,O,X,O,X,O,X,X
TLJSOIZ,O,O,O,X,O,O,O,O,X,O,O,O,X,X
TLJSOZI,O,O,O,X,O,O,O,O,X,O,X,O,X,X
TLJZISO,O,O,O,X,X,O,X,X,X,O,X,O,X,X
TLJZIOS,O,O,O,X,O,O,X,X,X,O,X,O,X,X
TLJZSIO,O,O,O,X,X,O,X,X,X,O,X,O,X,X
TLJZSOI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
TLJZOIS,O,O,O,X,O,O,X,X,X,O,X,O,X,X
TLJZOSI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
TLJOISZ,X,O,O,X,O,O,O,O,X,O,X,O,X,X
TLJOIZS,X,O,O,X,O,O,X,X,X,O,X,O,X,X
TLJOSIZ,O,O,O,X,O,O,O,O,X,O,O,O,X,X
TLJOSZI,O,O,O,X,O,O,O,O,X,O,X,O,X,X
TLJOZIS,O,O,O,X,O,O,X,X,X,O,X,O,X,X
TLJOZSI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
TLSIJZO,O,O,X,O,X,X,O,X,X,O,O,X,X,X
TLSIJOZ,O,O,X,O,X,X,O,O,X,O,O,O,X,X
TLSIZJO,O,O,X,O,X,X,O,X,X,X,O,X,X,X
TLSIZOJ,O,O,X,O,X,X,O,O,X,X,O,X,X,X
TLSIOJZ,O,O,O,O,O,X,O,O,X,X,O,O,X,X
TLSIOZJ,O,O,X,O,X,X,O,O,X,X,O,X,X,X
TLSJIZO,O,O,O,O,X,X,O,X,X,O,O,X,X,X
TLSJIOZ,O,O,O,O,X,O,O,O,X,O,O,O,X,X
TLSJZIO,O,O,O,X,X,O,O,X,X,O,X,O,X,X
TLSJZOI,O,O,O,X,O,O,O,O,X,O,X,O,X,X
TLSJOIZ,O,O,O,O,O,O,O,O,X,O,O,O,X,X
TLSJOZI,O,O,O,X,O,O,O,O,X,O,X,O,X,X
TLSZIJO,O,O,X,O,X,O,O,X,X,X,X,O,X,X
TLSZIOJ,O,O,X,O,X,O,O,O,X,X,X,O,X,X
TLSZJIO,O,O,X,X,X,O,O,X,X,X,X,O,X,X
TLSZJOI,O,O,X,X,X,O,O,O,X,X,X,O,X,X
TLSZOIJ,O,O,X,O,X,O,O,O,X,X,X,O,X,X
TLSZOJI,O,O,X,X,X,O,O,O,X,X,X,O,X,X
TLSOIJZ,O,O,O,O,O,X,O,O,X,X,O,O,X,X
TLSOIZJ,O,O,X,O,X,X,O,O,X,X,O,X,X,X
TLSOJIZ,O,O,O,O,O,O,O,O,X,X,O,O,X,X
TLSOJZI,O,O,O,X,O,O,O,O,X,X,X,O,X,X
TLSOZIJ,O,O,X,O,X,O,O,O,X,X,X,O,X,X
TLSOZJI,O,O,X,X,X,O,O,O,X,X,X,O,X,X
TLZIJSO,O,O,X,X,X,O,X,X,X,O,X,O,X,X
TLZIJOS,O,O,X,X,X,O,X,X,X,O,X,O,X,X
TLZISJO,O,O,X,X,X,O,O,X,X,X,X,O,X,X
TLZISOJ,O,O,X,X,X,O,O,O,X,X,X,O,X,X
TLZIOJS,O,O,X,X,O,O,X,X,X,X,X,O,X,X
TLZIOSJ,O,O,X,X,X,O,O,O,X,X,X,O,X,X
TLZJISO,O,O,O,X,X,O,X,X,X,O,X,O,X,X
TLZJIOS,O,O,O,X,O,O,X,X,X,O,X,O,X,X
TLZJSIO,O,O,O,X,X,O,X,X,X,O,X,O,X,X
TLZJSOI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
TLZJOIS,O,O,O,X,O,O,X,X,X,O,X,O,X,X
TLZJOSI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
TLZSIJO,O,O,X,X,X,O,O,X,X,X,X,O,X,X
TLZSIOJ,O,O,X,X,X,O,O,O,X,X,X,O,X,X
TLZSJIO,O,O,X,X,X,O,O,X,X,X,X,O,X,X
TLZSJOI,O,O,X,X,X,O,O,O,X,X,X,O,X,X
TLZSOIJ,O,O,X,X,X,O,O,O,X,X,X,O,X,X
TLZSOJI,O,O,X,X,X,O,O,O,X,X,X,O,X,X
TLZOIJS,O,O,X,X,O,O,X,X,X,X,X,O,X,X
TLZOISJ,O,O,X,X,X,O,O,O,X,X,X,O,X,X
TLZOJIS,O,O,O,X,O,O,X,X,X,X,X,O,X,X
TLZOJSI,O,O,O,X,O,O,X,X,X,X,X,O,X,X
TLZOSIJ,O,O,X,X,X,O,O,O,X,X,X,O,X,X
TLZOSJI,O,O,X,X,X,O,O,O,X,X,X,O,X,X
TLOIJSZ,X,O,O,O,O,O,O,O,X,O,O,O,X,X
TLOIJZS,X,O,O,X,O,O,X,X,X,O,X,O,X,X
TLOISJZ,O,O,X,O,O,X,O,O,X,X,O,O,X,X
TLOISZJ,O,O,X,O,X,X,O,O,X,X,O,X,X,X
TLOIZJS,O,O,X,X,O,O,X,X,X,X,X,O,X,X
TLOIZSJ,O,O,X,X,X,O,O,O,X,X,O,O,X,X
TLOJISZ,X,O,O,X,O,O,O,O,X,O,X,O,X,X
TLOJIZS,X,O,O,X,O,O,X,X,X,O,X,O,X,X
TLOJSIZ,O,O,O,X,O,O,O,O,X,O,O,O,X,X
TLOJSZI,O,O,O,X,O,O,O,O,X,O,X,O,X,X
TLOJZIS,O,O,O,X,O,O,X,X,X,O,X,O,X,X
TLOJZSI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
TLOSIJZ,O,O,O,O,O,X,O,O,X,X,O,O,X,X
TLOSIZJ,O,O,X,O,X,X,O,O,X,X,O,X,X,X
TLOSJIZ,O,O,O,O,O,O,O,O,X,X,O,O,X,X
TLOSJZI,O,O,O,X,O,O,O,O,X,X,X,O,X,X
TLOSZIJ,O,O,X,O,X,O,O,O,X,X,X,O,X,X
TLOSZJI,O,O,X,X,X,O,O,O,X,X,X,O,X,X
TLOZIJS,O,O,X,X,O,O,X,X,X,X,X,O,X,X
TLOZISJ,O,O,X,X,X,O,O,O,X,X,X,O,X,X
TLOZJIS,O,O,O,X,O,O,X,X,X,X,X,O,X,X
TLOZJSI,O,O,O,X,O,O,X,X,X,X,X,O,X,X
TLOZSIJ,O,O,X,X,X,O,O,O,X,X,X,O,X,X
TLOZSJI,O,O,X,X,X,O,O,O,X,X,X,O,X,X
TJILSZO,X,O,O,O,X,X,X,X,X,O,O,X,X,X
TJILSOZ,X,O,O,O,X,O,X,O,X,O,O,X,X,X
TJILZSO,X,O,O,X,X,O,X,X,X,O,X,X,X,X
TJILZOS,X,O,O,X,O,O,X,X,X,O,X,X,X,X
TJILOSZ,X,O,O,O,O,O,X,O,X,O,O,X,X,X
TJILOZS,X,O,O,X,O,O,X,X,X,O,X,X,X,X
TJISLZO,X,X,O,O,X,X,X,X,X,O,O,X,X,X
TJISLOZ,X,X,O,O,X,O,X,O,X,O,O,X,X,X
TJISZLO,X,O,X,O,X,X,O,X,X,O,O,X,X,X
TJISZOL,X,O,O,O,X,X,O,X,X,X,O,X,X,X
TJISOLZ,X,X,O,O,X,O,X,O,X,X,O,X,X,X
TJISOZL,X,O,O,O,X,X,O,O,X,X,O,X,X,X
TJIZLSO,X,O,X,X,X,O,X,X,X,O,X,X,X,X
TJIZLOS,X,O,X,X,O,O,X,X,X,O,X,X,X,X
TJIZSLO,X,O,X,O,X,O,X,X,O,O,X,X,X,X
TJIZSOL,X,O,X,O,X,O,X,X,O,X,X,X,X,X
TJIZOLS,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TJIZOSL,X,O,X,O,O,O,X,X,X,X,X,X,X,X
TJIOLSZ,X,O,O,O,O,O,X,O,X,X,O,X,X,X
TJIOLZS,X,O,O,X,O,O,X,X,X,X,X,X,X,X
TJIOSLZ,X,X,O,O,O,O,X,O,X,X,O,X,X,X
TJIOSZL,X,O,O,O,O,X,O,O,O,X,O,X,X,X
TJIOZLS,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TJIOZSL,X,O,X,O,O,O,X,X,O,X,X,X,X,X
TJLISZO,X,O,O,X,X,X,O,X,X,O,X,X,X,X
TJLISOZ,X,O,O,X,X,O,O,O,X,O,X,O,X,X
TJLIZSO,X,O,O,X,X,O,X,X,X,O,X,O,X,X
TJLIZOS,X,O,O,X,O,O,X,X,X,O,X,O,X,X
TJLIOSZ,X,O,O,X,O,O,O,O,X,O,X,O,X,X
TJLIOZS,X,O,O,X,O,O,X,X,X,O,X,O,X,X
TJLSIZO,O,O,O,X,X,X,O,X,X,O,O,X,X,X
TJLSIOZ,O,O,O,X,X,O,O,O,X,O,O,O,X,X
TJLSZIO,O,O,O,X,X,O,O,X,X,O,X,O,X,X
TJLSZOI,O,O,O,X,O,O,O,O,X,O,X,O,X,X
TJLSOIZ,O,O,O,X,O,O,O,O,X,O,O,O,X,X
TJLSOZI,O,O,O,X,O,O,O,O,X,O,X,O,X,X
TJLZISO,O,O,O,X,X,O,X,X,X,O,X,O,X,X
TJLZIOS,O,O,O,X,O,O,X,X,X,O,X,O,X,X
TJLZSIO,O,O,O,X,X,O,X,X,X,O,X,O,X,X
TJLZSOI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
TJLZOIS,O,O,O,X,O,O,X,X,X,O,X,O,X,X
TJLZOSI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
TJLOISZ,X,O,O,X,O,O,O,O,X,O,X,O,X,X
TJLOIZS,X,O,O,X,O,O,X,X,X,O,X,O,X,X
TJLOSIZ,O,O,O,X,O,O,O,O,X,O,O,O,X,X
TJLOSZI,O,O,O,X,O,O,O,O,X,O,X,O,X,X
TJLOZIS,O,O,O,X,O,O,X,X,X,O,X,O,X,X
TJLOZSI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
TJSILZO,O,X,O,O,X,X,X,X,X,O,O,X,X,X
TJSILOZ,O,X,O,O,X,O,X,O,X,O,O,X,X,X
TJSIZLO,O,O,X,O,X,X,O,X,X,O,O,X,X,X
TJSIZOL,O,O,O,O,X,X,O,X,X,X,O,X,X,X
TJSIOLZ,O,X,O,O,X,O,X,O,X,X,O,X,X,X
TJSIOZL,O,O,O,O,X,X,O,O,X,X,O,X,X,X
TJSLIZO,O,O,O,O,X,X,O,X,X,O,O,X,X,X
TJSLIOZ,O,O,O,O,X,O,O,O,X,O,O,X,X,X
TJSLZIO,O,O,O,X,X,O,O,X,X,O,X,X,X,X
TJSLZOI,O,O,O,X,O,O,O,O,X,O,X,X,X,X
TJSLOIZ,O,O,O,O,O,O,O,O,X,O,O,X,X,X
TJSLOZI,O,O,O,X,O,O,O,O,X,O,X,X,X,X
TJSZILO,O,O,X,X,X,O,O,X,X,O,O,X,X,X
TJSZIOL,O,O,O,X,X,O,O,X,X,X,O,X,X,X
TJSZLIO,O,O,O,X,X,O,O,X,X,O,X,X,X,X
TJSZLOI,O,O,O,X,O,O,O,O,X,O,X,X,X,X
TJSZOIL,O,O,O,X,O,O,O,O,X,X,O,X,X,X
TJSZOLI,O,O,O,X,O,O,O,O,X,O,X,X,X,X
TJSOILZ,O,X,O,O,O,O,X,O,X,X,O,X,X,X
TJSOIZL,O,O,O,O,O,X,O,O,X,X,O,X,X,X
TJSOLIZ,O,O,O,O,O,O,O,O,X,O,O,X,X,X
TJSOLZI,O,O,O,X,O,O,O,O,X,O,X,X,X,X
TJSOZIL,O,O,O,X,O,O,O,O,X,X,O,X,X,X
TJSOZLI,O,O,O,X,O,O,O,O,X,O,X,X,X,X
TJZILSO,O,O,X,X,X,O,X,X,X,O,X,X,X,X
TJZILOS,O,O,X,X,O,O,X,X,X,O,X,X,X,X
TJZISLO,O,O,X,X,X,O,X,X,O,O,X,X,X,X
TJZISOL,O,O,X,X,X,O,X,X,O,X,X,X,X,X
TJZIOLS,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TJZIOSL,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TJZLISO,O,O,O,X,X,O,X,X,X,O,X,O,X,X
TJZLIOS,O,O,O,X,O,O,X,X,X,O,X,O,X,X
TJZLSIO,O,O,O,X,X,O,X,X,X,O,X,O,X,X
TJZLSOI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
TJZLOIS,O,O,O,X,O,O,X,X,X,O,X,O,X,X
TJZLOSI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
TJZSILO,O,O,X,X,X,O,X,X,O,O,O,X,X,X
TJZSIOL,O,O,O,X,X,O,X,X,O,X,O,X,X,X
TJZSLIO,O,O,O,X,X,O,X,X,X,O,X,X,X,X
TJZSLOI,O,O,O,X,O,O,X,X,X,O,X,X,X,X
TJZSOIL,O,O,O,X,O,O,X,X,X,X,O,X,X,X
TJZSOLI,O,O,O,X,O,O,X,X,X,O,X,X,X,X
TJZOILS,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TJZOISL,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TJZOLIS,O,O,O,X,O,O,X,X,X,O,X,O,X,X
TJZOLSI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
TJZOSIL,O,O,O,X,O,O,X,X,X,X,O,X,X,X
TJZOSLI,O,O,O,X,O,O,X,X,X,O,X,X,X,X
TJOILSZ,X,O,O,O,O,O,X,O,X,X,O,X,X,X
TJOILZS,X,O,O,X,O,O,X,X,X,X,X,X,X,X
TJOISLZ,X,X,O,O,O,O,X,O,X,X,O,X,X,X
TJOISZL,X,O,O,O,O,X,O,O,O,X,O,X,X,X
TJOIZLS,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TJOIZSL,X,O,X,O,O,O,X,X,O,X,X,X,X,X
TJOLISZ,X,O,O,X,O,O,O,O,X,O,X,O,X,X
TJOLIZS,X,O,O,X,O,O,X,X,X,O,X,O,X,X
TJOLSIZ,O,O,O,X,O,O,O,O,X,O,O,O,X,X
TJOLSZI,O,O,O,X,O,O,O,O,X,O,X,O,X,X
TJOLZIS,O,O,O,X,O,O,X,X,X,O,X,O,X,X
TJOLZSI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
TJOSILZ,O,X,O,O,O,O,X,O,X,X,O,X,X,X
