sequence,v115@FhB8HeB8IeC8BeC8AeB8JeOEJvhFXgBxhBzlBCnBUq?BlsB,v115@FhB8HeB8IeC8BeC8AeB8JeOEJvhF0gBxhBzkBCnB3q?BlsB,v115@FhB8HeB8IeC8BeC8AeB8JeOEJvhFTgBxhBfqB8qBCn?BlsB,v115@FhB8HeB8IeC8BeC8AeB8Jex/IvhF8lBGiBTkBKqB3m?BlsB,v115@FhB8HeB8IeC8BeC8AeB8JexAJvhFTiBikBGmB0kB3q?BlsB,v115@FhB8HeB8IeC8BeC8AeB8JeOEJvhF8kBfmBxhBCnBTq?BlsB,v115@FhB8HeB8IeC8BeC8AeB8Jex/IvhFTiBikBGmBXmBUq?BlsB,v115@FhB8HeB8IeC8BeC8AeB8Je0/IvhFxgBTiB2pBSrBls?B3qB,v115@FhB8HeB8IeC8BeC8AeB8Jex/IvhFXhBTiB2pBSrBls?BUqB,v115@FhB8HeB8IeC8BeC8AeB8Jei/IvhFGiB3kBRmBUmBTq?BlsB,v115@FhB8HeB8IeC8BeC8AeB8Je2EJvhFRhBSnBUmB3kBTq?BlsB,v115@FhB8HeB8IeC8BeC8AeB8Je2EJvhFfmB6mBTiBxpBls?BUqB,v115@FhB8HeB8IeC8BeC8AeB8JeOEJvhF8kBSmBTiBxqBls?B3qB,v115@FhB8HeB8IeC8BeC8AeB8Jei/IvhFzgBGiB3mBxpBls?BUqB
JLOSZTI,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JLOSZIT,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JLOZTIS,O,O,X,O,X,X,X,O,X,X,X,X,X,X
JLOZTSI,O,O,X,O,X,O,X,O,X,X,X,X,X,X
JLOZITS,O,O,X,O,X,X,X,O,X,X,X,X,X,X
JLOZIST,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JLOZSTI,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JLOZSIT,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JSTILZO,X,O,O,X,O,X,X,X,O,O,X,O,X,X
JSTILOZ,X,O,O,X,O,X,X,X,O,O,X,O,X,X
JSTIZLO,X,O,O,X,O,O,X,X,X,O,X,O,X,X
JSTIZOL,X,O,O,X,O,O,X,X,X,X,X,O,X,X
JSTIOLZ,X,X,X,X,O,X,X,X,O,O,X,O,X,X
JSTIOZL,X,X,X,X,O,X,X,X,X,X,X,O,X,X
JSTLIZO,O,O,O,X,O,O,X,O,O,O,X,O,X,X
JSTLIOZ,O,O,O,X,O,X,O,O,O,O,X,O,X,X
JSTLZIO,O,O,O,O,O,O,X,O,O,O,X,X,X,X
JSTLZOI,O,O,O,O,O,O,X,O,O,X,X,X,X,X
JSTLOIZ,O,O,O,X,O,X,O,O,O,O,X,O,X,X
JSTLOZI,O,O,O,O,O,X,O,O,O,X,X,X,X,X
JSTZILO,O,O,O,O,O,O,X,O,X,O,X,X,O,X
JSTZIOL,O,O,O,X,O,O,X,O,X,X,X,X,O,X
JSTZLIO,O,O,O,O,O,O,O,O,X,O,X,X,X,X
JSTZLOI,O,O,O,O,O,O,O,O,X,X,X,X,X,X
JSTZOIL,O,O,O,X,O,O,X,O,X,X,X,X,O,X
JSTZOLI,O,O,O,X,O,O,O,O,X,X,X,X,X,X
JSTOILZ,O,O,X,X,O,X,X,X,O,O,X,O,X,X
JSTOIZL,O,O,X,X,O,X,X,X,X,X,X,O,X,X
JSTOLIZ,O,O,O,X,O,X,O,O,O,O,X,O,X,X
JSTOLZI,O,O,O,O,O,X,O,O,O,X,X,X,X,X
JSTOZIL,O,O,O,X,O,X,X,O,X,X,X,X,O,X
JSTOZLI,O,O,O,X,O,X,O,O,X,X,X,X,X,X
JSITLZO,X,O,O,X,O,X,X,X,O,X,X,O,X,X
JSITLOZ,X,O,O,X,O,X,X,X,O,X,X,O,X,X
JSITZLO,X,O,O,X,O,X,X,X,X,X,X,O,X,X
JSITZOL,X,O,O,X,O,X,X,X,X,X,X,O,X,X
JSITOLZ,X,X,X,X,O,X,X,X,O,X,X,O,X,X
JSITOZL,X,X,X,X,O,X,X,X,X,X,X,O,X,X
JSILTZO,X,O,O,X,O,X,X,X,O,X,X,O,X,X
JSILTOZ,X,X,X,X,O,X,X,X,O,X,X,O,X,X
JSILZTO,X,O,O,O,O,X,X,X,O,X,X,O,X,X
JSILZOT,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JSILOTZ,X,X,X,X,O,X,X,X,O,X,X,O,X,X
JSILOZT,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JSIZTLO,X,O,O,O,O,O,X,X,X,X,X,O,X,X
JSIZTOL,X,O,O,X,O,O,X,X,X,X,X,O,X,X
JSIZLTO,X,O,O,O,O,O,X,X,X,X,X,O,X,X
JSIZLOT,X,O,O,O,X,O,X,X,X,X,X,X,X,X
JSIZOTL,X,O,O,X,X,O,X,X,X,X,X,X,X,X
JSIZOLT,X,O,O,O,X,O,X,X,X,X,X,X,X,X
JSIOTLZ,X,X,X,X,O,X,X,X,X,X,X,O,X,X
JSIOTZL,X,X,X,X,O,X,X,X,X,X,X,O,X,X
JSIOLTZ,X,X,X,X,O,X,X,X,X,X,X,O,X,X
JSIOLZT,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JSIOZTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIOZLT,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLTIZO,X,O,O,X,O,X,X,O,O,O,X,O,X,X
JSLTIOZ,X,O,O,X,O,X,O,O,O,O,X,O,X,X
JSLTZIO,X,O,O,O,O,X,X,O,O,O,X,X,X,X
JSLTZOI,X,O,O,O,O,X,X,O,O,X,X,X,X,X
JSLTOIZ,X,O,O,X,O,X,O,O,O,O,X,O,X,X
JSLTOZI,X,O,O,O,O,X,O,O,O,X,X,X,X,X
JSLITZO,X,O,O,X,O,X,X,O,O,X,X,O,X,X
JSLITOZ,X,X,X,X,O,X,O,O,O,X,X,O,X,X
JSLIZTO,O,O,O,O,O,O,X,O,O,X,X,O,X,X
JSLIZOT,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JSLIOTZ,O,O,X,X,O,X,X,X,O,X,X,O,X,X
JSLIOZT,O,O,O,O,X,X,X,X,X,X,X,X,X,X
JSLZTIO,O,O,O,O,O,O,X,O,O,X,X,X,X,X
JSLZTOI,X,O,O,O,O,O,X,O,O,X,X,X,X,X
JSLZITO,O,O,O,O,O,O,X,O,O,X,X,X,X,X
JSLZIOT,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JSLZOTI,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JSLZOIT,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JSLOTIZ,O,O,X,X,O,X,X,X,O,X,X,X,X,X
JSLOTZI,O,O,X,O,O,X,X,X,O,X,X,X,X,X
JSLOITZ,O,O,X,X,O,X,X,X,O,X,X,X,X,X
JSLOIZT,O,O,O,O,X,X,X,X,X,X,X,X,X,X
JSLOZTI,O,O,O,O,X,X,X,X,X,X,X,X,X,X
JSLOZIT,O,O,O,O,X,X,X,X,X,X,X,X,X,X
JSZTILO,O,O,O,O,O,O,X,O,X,X,X,X,O,X
JSZTIOL,O,O,O,X,O,O,X,O,X,X,X,X,O,X
JSZTLIO,O,O,O,O,O,O,O,O,X,X,X,X,X,X
JSZTLOI,O,O,O,O,O,O,O,O,X,X,X,X,X,X
JSZTOIL,O,O,O,X,O,O,X,O,X,X,X,X,O,X
JSZTOLI,O,O,O,X,O,O,O,O,X,X,X,X,X,X
JSZITLO,O,O,O,O,O,O,X,O,X,X,X,X,O,X
JSZITOL,O,O,O,X,O,O,X,O,X,X,X,X,O,X
JSZILTO,O,O,O,O,O,O,X,O,X,X,X,X,O,X
JSZILOT,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JSZIOTL,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JSZIOLT,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JSZLTIO,O,O,O,O,O,O,O,O,X,X,X,X,X,X
JSZLTOI,O,O,O,O,O,O,O,O,X,X,X,X,X,X
JSZLITO,O,O,O,O,O,O,O,O,X,X,X,X,X,X
JSZLIOT,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JSZLOTI,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JSZLOIT,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JSZOTIL,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JSZOTLI,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JSZOITL,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JSZOILT,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JSZOLTI,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JSZOLIT,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JSOTILZ,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JSOTIZL,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JSOTLIZ,O,O,O,X,O,X,X,X,X,X,X,X,X,X
JSOTLZI,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JSOTZIL,O,O,O,X,O,X,X,X,X,X,X,X,X,X
JSOTZLI,O,O,O,X,O,X,X,X,X,X,X,X,X,X
JSOITLZ,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JSOITZL,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JSOILTZ,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JSOILZT,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JSOIZTL,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSOIZLT,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSOLTIZ,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JSOLTZI,O,O,X,O,O,X,X,X,X,X,X,X,X,X
JSOLITZ,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JSOLIZT,O,O,O,O,X,X,X,X,X,X,X,X,X,X
JSOLZTI,O,O,O,O,X,X,X,X,X,X,X,X,X,X
JSOLZIT,O,O,O,O,X,X,X,X,X,X,X,X,X,X
JSOZTIL,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSOZTLI,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSOZITL,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSOZILT,O,O,O,O,X,X,X,X,X,X,X,X,X,X
JSOZLTI,O,O,O,O,X,X,X,X,X,X,X,X,X,X
JSOZLIT,O,O,O,O,X,X,X,X,X,X,X,X,X,X
JZTILSO,O,X,O,X,X,O,O,O,O,X,X,X,O,X
JZTILOS,O,X,O,X,O,X,O,O,O,X,X,X,O,X
JZTISLO,O,X,O,X,O,O,X,O,X,X,X,X,O,X
JZTISOL,O,X,O,X,O,O,X,O,X,X,X,X,O,X
JZTIOLS,O,X,X,X,O,X,O,O,O,X,X,X,O,X
JZTIOSL,O,X,O,X,O,X,X,O,X,X,X,X,O,X
JZTLISO,O,O,O,X,X,O,O,O,O,X,X,X,O,X
JZTLIOS,O,O,O,X,O,X,O,O,O,X,X,X,O,X
JZTLSIO,O,O,O,X,X,O,O,O,O,X,X,X,X,X
JZTLSOI,O,O,O,X,X,O,O,O,O,X,X,X,X,X
JZTLOIS,O,O,O,X,O,X,O,O,O,X,X,X,O,X
JZTLOSI,O,O,O,X,O,O,O,O,O,X,X,X,X,X
JZTSILO,O,O,O,X,O,O,X,O,X,X,X,X,O,X
JZTSIOL,O,O,O,X,O,O,X,O,X,X,X,X,O,X
JZTSLIO,O,O,O,X,O,O,O,O,X,X,X,X,X,X
JZTSLOI,O,O,O,X,O,O,O,O,X,X,X,X,X,X
JZTSOIL,O,O,O,X,O,O,X,O,X,X,X,X,O,X
JZTSOLI,O,O,O,X,O,O,O,O,X,X,X,X,X,X
JZTOILS,O,O,X,X,O,X,O,O,O,X,X,X,O,X
JZTOISL,O,O,O,X,O,X,X,O,X,X,X,X,O,X
JZTOLIS,O,O,O,X,O,X,O,O,O,X,X,X,O,X
JZTOLSI,O,O,O,X,O,O,O,O,O,X,X,X,X,X
JZTOSIL,O,O,O,X,O,O,X,O,X,X,X,X,O,X
JZTOSLI,O,O,O,X,O,O,O,O,X,X,X,X,X,X
JZITLSO,O,X,O,X,X,O,O,O,O,X,X,X,O,X
JZITLOS,O,X,O,X,O,X,O,O,O,X,X,X,O,X
JZITSLO,O,X,O,X,O,O,X,O,X,X,X,X,O,X
JZITSOL,O,X,O,X,O,O,X,O,X,X,X,X,O,X
JZITOLS,O,X,X,X,O,X,O,O,O,X,X,X,O,X
JZITOSL,O,X,O,X,O,X,X,O,X,X,X,X,O,X
JZILTSO,O,X,O,X,X,X,O,O,O,X,X,X,O,X
JZILTOS,X,X,X,X,O,X,O,O,O,X,X,X,O,X
JZILSTO,O,X,O,X,X,O,O,O,O,X,X,X,O,X
JZILSOT,O,X,O,X,X,O,X,X,X,X,X,X,X,X
JZILOTS,O,X,X,X,X,X,O,O,X,X,X,X,O,X
JZILOST,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZISTLO,O,X,O,X,O,O,X,O,X,X,X,X,O,X
JZISTOL,O,X,O,X,O,O,X,O,X,X,X,X,O,X
JZISLTO,O,X,O,X,O,O,X,O,X,X,X,X,O,X
JZISLOT,O,X,O,X,X,O,X,X,X,X,X,X,X,X
JZISOTL,O,X,O,X,X,O,X,X,X,X,X,X,X,X
JZISOLT,O,X,O,X,X,O,X,X,X,X,X,X,X,X
JZIOTLS,O,X,X,X,X,X,X,O,X,X,X,X,O,X
JZIOTSL,O,X,X,X,X,X,X,O,X,X,X,X,O,X
JZIOLTS,O,X,X,X,X,X,X,O,X,X,X,X,O,X
JZIOLST,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZIOSTL,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZIOSLT,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLTISO,O,X,O,X,X,O,O,O,O,X,X,X,O,X
JZLTIOS,O,X,O,X,O,X,O,O,O,X,X,X,O,X
JZLTSIO,O,X,O,X,X,O,O,O,O,X,X,X,X,X
JZLTSOI,O,X,O,X,X,O,O,O,O,X,X,X,X,X
JZLTOIS,O,X,O,X,O,X,O,O,O,X,X,X,O,X
JZLTOSI,O,X,O,X,O,O,O,O,O,X,X,X,X,X
JZLITSO,O,X,O,X,X,X,O,O,O,X,X,X,O,X
JZLITOS,X,X,X,X,O,X,O,O,O,X,X,X,O,X
JZLISTO,O,O,O,X,X,O,O,O,O,X,X,X,O,X
JZLISOT,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JZLIOTS,O,O,X,X,X,X,O,O,X,X,X,X,O,X
JZLIOST,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JZLSTIO,O,O,O,X,X,O,O,O,O,X,X,X,X,X
JZLSTOI,O,X,O,X,X,O,O,O,O,X,X,X,X,X
JZLSITO,O,O,O,X,X,O,O,O,O,X,X,X,X,X
JZLSIOT,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JZLSOTI,O,X,O,X,X,O,X,X,X,X,X,X,X,X
JZLSOIT,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JZLOTIS,O,O,X,X,X,X,O,O,X,X,X,X,X,X
JZLOTSI,O,O,X,X,X,X,O,O,X,X,X,X,X,X
JZLOITS,O,O,X,X,X,X,O,O,X,X,X,X,X,X
JZLOIST,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JZLOSTI,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JZLOSIT,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JZSTILO,O,O,O,X,O,O,X,O,X,X,X,X,O,X
JZSTIOL,O,O,O,X,O,O,X,O,X,X,X,X,O,X
JZSTLIO,O,O,O,X,O,O,O,O,X,X,X,X,X,X
JZSTLOI,O,O,O,X,O,O,O,O,X,X,X,X,X,X
JZSTOIL,O,O,O,X,O,O,X,O,X,X,X,X,O,X
JZSTOLI,O,O,O,X,O,O,O,O,X,X,X,X,X,X
JZSITLO,O,O,O,X,O,O,X,O,X,X,X,X,O,X
JZSITOL,O,O,O,X,O,O,X,O,X,X,X,X,O,X
JZSILTO,O,O,O,X,O,O,X,O,X,X,X,X,O,X
JZSILOT,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JZSIOTL,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JZSIOLT,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JZSLTIO,O,O,O,X,O,O,O,O,X,X,X,X,X,X
JZSLTOI,O,O,O,X,O,O,O,O,X,X,X,X,X,X
JZSLITO,O,O,O,X,O,O,O,O,X,X,X,X,X,X
JZSLIOT,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JZSLOTI,O,X,O,X,X,O,X,X,X,X,X,X,X,X
JZSLOIT,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JZSOTIL,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JZSOTLI,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JZSOITL,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JZSOILT,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JZSOLTI,O,X,O,X,X,O,X,X,X,X,X,X,X,X
JZSOLIT,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JZOTILS,O,O,X,X,X,X,O,O,X,X,X,X,O,X
JZOTISL,O,O,O,X,X,X,X,O,X,X,X,X,O,X
JZOTLIS,O,O,O,X,X,X,O,O,X,X,X,X,O,X
JZOTLSI,O,O,O,X,X,O,O,O,X,X,X,X,X,X
JZOTSIL,O,O,O,X,X,O,X,O,X,X,X,X,O,X
JZOTSLI,O,O,O,X,X,O,O,O,X,X,X,X,X,X
JZOITLS,O,O,X,X,X,X,X,O,X,X,X,X,O,X
JZOITSL,O,O,X,X,X,X,X,O,X,X,X,X,O,X
JZOILTS,O,O,X,X,X,X,X,O,X,X,X,X,O,X
JZOILST,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZOISTL,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JZOISLT,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JZOLTIS,O,O,X,X,X,X,O,O,X,X,X,X,X,X
JZOLTSI,O,O,X,X,X,X,O,O,X,X,X,X,X,X
JZOLITS,O,O,X,X,X,X,O,O,X,X,X,X,X,X
JZOLIST,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JZOLSTI,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JZOLSIT,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JZOSTIL,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JZOSTLI,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JZOSITL,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JZOSILT,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JZOSLTI,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JZOSLIT,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JOTILSZ,O,O,X,O,O,X,O,O,O,O,X,X,X,X
JOTILZS,O,O,X,O,O,X,O,O,O,X,O,X,X,X
JOTISLZ,O,X,X,O,O,X,X,X,O,O,X,X,X,X
JOTISZL,O,X,X,X,O,X,X,X,X,O,X,X,X,X
JOTIZLS,X,O,X,X,O,X,O,O,O,X,O,X,O,X
JOTIZSL,O,O,X,X,O,X,X,O,X,O,O,X,O,X
JOTLISZ,O,O,O,O,O,X,O,O,O,O,X,X,X,X
JOTLIZS,O,O,O,O,O,X,O,O,O,X,O,X,X,X
JOTLSIZ,O,O,O,O,O,O,O,O,O,O,X,X,X,X
JOTLSZI,O,O,O,O,O,O,O,O,O,O,O,X,X,X
JOTLZIS,O,O,O,O,O,O,O,O,O,X,O,X,O,X
JOTLZSI,O,O,O,O,O,O,O,O,O,X,O,X,X,X
JOTSILZ,O,X,X,O,O,X,X,X,O,O,X,X,X,X
JOTSIZL,O,X,X,X,O,O,X,X,X,O,X,X,X,X
JOTSLIZ,O,O,O,O,O,O,O,O,O,O,X,X,X,X
JOTSLZI,O,O,O,O,O,O,O,O,O,O,O,X,X,X
JOTSZIL,O,O,O,X,O,O,X,O,X,O,O,X,O,X
JOTSZLI,O,O,O,O,O,O,O,O,X,O,O,X,X,X
JOTZILS,O,O,X,X,O,O,O,O,O,X,O,X,O,X
JOTZISL,O,O,O,X,O,O,X,O,X,O,O,X,O,X
JOTZLIS,O,O,O,O,O,O,O,O,O,X,O,X,O,X
JOTZLSI,O,O,O,O,O,O,O,O,O,X,O,X,X,X
JOTZSIL,O,O,O,X,O,O,X,O,X,O,O,X,O,X
JOTZSLI,O,O,O,O,O,O,O,O,X,O,O,X,X,X
JOITLSZ,O,O,X,X,O,X,X,X,O,X,X,X,X,X
JOITLZS,O,O,X,O,O,X,X,X,O,X,O,X,X,X
JOITSLZ,O,X,X,X,O,X,X,X,O,O,X,X,X,X
JOITSZL,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JOITZLS,X,O,X,X,O,X,X,X,O,X,O,X,X,X
JOITZSL,O,O,X,X,O,X,X,X,X,X,O,X,X,X
JOILTSZ,O,X,X,X,O,X,X,X,O,X,X,X,X,X
JOILTZS,X,O,X,O,O,X,X,X,O,X,X,X,X,X
JOILSTZ,O,O,X,X,X,X,X,X,O,O,X,X,X,X
JOILSZT,O,O,X,X,X,X,X,X,X,O,X,X,X,X
JOILZTS,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JOILZST,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JOISTLZ,O,X,X,X,O,X,X,X,X,O,X,X,X,X
JOISTZL,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JOISLTZ,O,X,X,X,O,X,X,X,X,O,X,X,X,X
JOISLZT,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JOISZTL,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOISZLT,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JOIZTLS,X,O,X,X,X,X,X,X,X,X,O,X,X,X
JOIZTSL,X,O,X,X,X,X,X,X,X,X,O,X,X,X
JOIZLTS,X,O,X,X,X,X,X,X,X,X,O,X,X,X
JOIZLST,X,O,X,X,X,X,X,X,X,X,O,X,X,X
JOIZSTL,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOIZSLT,O,O,X,X,X,X,X,X,X,O,O,X,X,X
JOLTISZ,O,O,X,O,O,X,O,O,O,X,X,X,X,X
JOLTIZS,O,O,X,O,O,X,O,O,O,X,O,X,X,X
JOLTSIZ,O,O,X,O,O,X,O,O,O,X,X,X,X,X
JOLTSZI,O,O,X,O,O,X,O,O,O,X,O,X,X,X
JOLTZIS,O,O,X,O,O,X,O,O,O,X,O,X,X,X
JOLTZSI,O,O,X,O,O,X,O,O,O,X,O,X,X,X
JOLITSZ,O,X,X,X,O,X,O,O,O,X,X,X,X,X
JOLITZS,X,O,X,O,O,X,O,O,O,X,X,X,X,X
JOLISTZ,O,O,X,X,X,X,X,X,O,X,X,X,X,X
JOLISZT,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JOLIZTS,X,O,X,O,X,X,X,O,X,X,X,X,X,X
JOLIZST,O,O,O,O,X,X,X,X,X,X,X,X,X,X
JOLSTIZ,O,O,X,X,X,X,X,X,O,X,X,X,X,X
JOLSTZI,O,O,X,O,X,X,X,X,O,X,X,X,X,X
JOLSITZ,O,O,X,X,X,X,X,X,O,X,X,X,X,X
JOLSIZT,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JOLSZTI,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JOLSZIT,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JOLZTIS,O,O,X,O,X,X,X,O,X,X,O,X,X,X
JOLZTSI,O,O,X,O,X,O,X,O,X,X,O,X,X,X
JOLZITS,O,O,X,O,X,X,X,O,X,X,O,X,X,X
JOLZIST,O,O,O,O,X,O,X,X,X,X,O,X,X,X
JOLZSTI,O,O,O,O,X,O,X,X,X,X,O,X,X,X
JOLZSIT,O,O,O,O,X,O,X,X,X,X,O,X,X,X
JOSTILZ,O,X,X,X,O,X,X,X,X,O,X,X,X,X
JOSTIZL,O,X,X,X,O,O,X,X,X,O,X,X,X,X
JOSTLIZ,O,O,O,X,O,O,X,X,X,O,X,X,X,X
JOSTLZI,O,O,O,O,O,O,X,X,X,O,O,X,X,X
JOSTZIL,O,O,O,X,O,O,X,X,X,O,O,X,X,X
JOSTZLI,O,O,O,X,O,O,X,X,X,O,O,X,X,X
JOSITLZ,O,X,X,X,O,X,X,X,X,O,X,X,X,X
JOSITZL,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JOSILTZ,O,X,X,X,O,X,X,X,X,O,X,X,X,X
JOSILZT,O,X,X,O,X,X,X,X,X,O,X,X,X,X
JOSIZTL,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JOSIZLT,O,X,X,X,X,O,X,X,X,O,X,X,X,X
JOSLTIZ,O,O,X,X,O,X,X,X,X,O,X,X,X,X
JOSLTZI,O,O,X,O,O,X,X,X,X,O,X,X,X,X
JOSLITZ,O,O,X,X,O,X,X,X,X,O,X,X,X,X
JOSLIZT,O,O,O,O,X,O,X,X,X,O,X,X,X,X
JOSLZTI,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JOSLZIT,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JOSZTIL,O,O,O,X,X,O,X,X,X,X,O,X,X,X
JOSZTLI,O,O,O,X,X,O,X,X,X,X,O,X,X,X
JOSZITL,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JOSZILT,O,O,O,X,X,O,X,X,X,X,O,X,X,X
JOSZLTI,O,O,O,O,X,O,X,X,X,X,O,X,X,X
JOSZLIT,O,O,O,O,X,O,X,X,X,X,O,X,X,X
JOZTILS,O,O,X,X,X,O,O,O,X,X,O,X,O,X
JOZTISL,O,O,O,X,X,O,X,O,X,X,O,X,O,X
JOZTLIS,O,O,O,X,X,O,O,O,X,X,O,X,O,X
JOZTLSI,O,O,O,X,X,O,O,O,X,X,O,X,X,X
JOZTSIL,O,O,O,X,X,O,X,O,X,X,O,X,O,X
JOZTSLI,O,O,O,X,X,O,O,O,X,X,O,X,X,X
JOZITLS,O,O,X,X,X,O,X,O,X,X,O,X,O,X
JOZITSL,O,O,X,X,X,O,X,O,X,X,O,X,O,X
JOZILTS,O,O,X,X,X,X,X,O,X,X,O,X,O,X
JOZILST,O,O,X,X,X,O,X,X,X,X,O,X,X,X
JOZISTL,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JOZISLT,O,O,O,X,X,O,X,X,X,X,O,X,X,X
JOZLTIS,O,O,X,X,X,O,O,O,X,X,O,X,X,X
JOZLTSI,O,O,X,X,X,O,O,O,X,X,O,X,X,X
JOZLITS,O,O,X,X,X,X,O,O,X,X,O,X,X,X
JOZLIST,O,O,O,X,X,O,X,X,X,X,O,X,X,X
JOZLSTI,O,O,O,X,X,O,X,X,X,X,O,X,X,X
JOZLSIT,O,O,O,X,X,O,X,X,X,X,O,X,X,X
JOZSTIL,O,O,O,X,X,O,X,X,X,X,O,X,X,X
JOZSTLI,O,O,O,X,X,O,X,X,X,X,O,X,X,X
JOZSITL,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JOZSILT,O,O,O,X,X,O,X,X,X,X,O,X,X,X
JOZSLTI,O,O,O,X,X,O,X,X,X,X,O,X,X,X
JOZSLIT,O,O,O,X,X,O,X,X,X,X,O,X,X,X
STILJZO,X,O,O,O,O,O,X,X,X,O,X,O,X,O
STILJOZ,X,O,O,O,O,X,X,X,X,O,X,O,X,O
STILZJO,X,O,O,O,X,O,X,X,X,O,X,O,O,O
STILZOJ,X,O,O,O,X,O,X,X,X,X,X,O,O,O
