sequence,v115@FhB8HeB8IeC8BeC8AeB8JeOEJvhFXgBxhBzlBCnBUq?BlsB,v115@FhB8HeB8IeC8BeC8AeB8JeOEJvhF0gBxhBzkBCnB3q?BlsB,v115@FhB8HeB8IeC8BeC8AeB8JeOEJvhFTgBxhBfqB8qBCn?BlsB,v115@FhB8HeB8IeC8BeC8AeB8Jex/IvhF8lBGiBTkBKqB3m?BlsB,v115@FhB8HeB8IeC8BeC8AeB8JexAJvhFTiBikBGmB0kB3q?BlsB,v115@FhB8HeB8IeC8BeC8AeB8JeOEJvhF8kBfmBxhBCnBTq?BlsB,v115@FhB8HeB8IeC8BeC8AeB8Jex/IvhFTiBikBGmBXmBUq?BlsB,v115@FhB8HeB8IeC8BeC8AeB8Je0/IvhFxgBTiB2pBSrBls?B3qB,v115@FhB8HeB8IeC8BeC8AeB8Jex/IvhFXhBTiB2pBSrBls?BUqB,v115@FhB8HeB8IeC8BeC8AeB8Jei/IvhFGiB3kBRmBUmBTq?BlsB,v115@FhB8HeB8IeC8BeC8AeB8Je2EJvhFRhBSnBUmB3kBTq?BlsB,v115@FhB8HeB8IeC8BeC8AeB8Je2EJvhFfmB6mBTiBxpBls?BUqB,v115@FhB8HeB8IeC8BeC8AeB8JeOEJvhF8kBSmBTiBxqBls?B3qB,v115@FhB8HeB8IeC8BeC8AeB8Jei/IvhFzgBGiB3mBxpBls?BUqB
TIZSOLJ,O,X,O,X,X,X,X,X,X,X,X,O,O,O
TIZSOJL,O,X,O,X,X,O,X,X,X,X,X,O,O,O
TIZOLJS,O,X,X,X,X,X,O,X,X,X,X,X,O,O
TIZOLSJ,O,X,X,X,X,X,O,X,X,X,X,X,O,X
TIZOJLS,O,X,X,X,X,X,O,X,X,X,X,X,O,O
TIZOJSL,O,X,O,X,X,X,X,X,X,X,X,O,O,X
TIZOSLJ,O,X,O,X,X,X,X,X,X,X,X,O,O,X
TIZOSJL,O,X,O,X,X,X,X,X,X,X,X,O,O,X
TIOLJSZ,O,O,X,O,O,X,O,O,O,O,X,O,X,O
TIOLJZS,O,O,X,O,O,X,O,O,O,X,O,X,O,O
TIOLSJZ,O,O,X,O,O,O,O,O,O,O,X,O,X,O
TIOLSZJ,O,O,X,O,X,O,O,X,O,O,X,O,O,O
TIOLZJS,O,O,X,O,X,O,O,O,X,X,O,X,O,O
TIOLZSJ,O,O,X,O,X,O,O,X,X,X,O,X,O,X
TIOJLSZ,O,O,X,O,O,X,O,O,O,O,X,O,X,O
TIOJLZS,O,O,X,O,O,X,O,O,O,X,O,X,O,O
TIOJSLZ,O,X,X,O,O,X,X,X,O,O,X,O,X,O
TIOJSZL,O,X,X,X,O,X,X,X,X,O,X,O,X,O
TIOJZLS,X,O,X,X,O,X,O,O,O,X,O,X,O,O
TIOJZSL,O,O,X,X,O,X,X,O,X,O,O,O,O,X
TIOSLJZ,O,X,X,O,O,O,X,X,X,O,X,O,X,O
TIOSLZJ,O,X,X,O,X,O,X,X,X,O,X,O,O,O
TIOSJLZ,O,X,X,O,O,X,X,X,X,O,X,O,X,O
