sequence,v115@RhA8EeB8AeC8BeF8Jei/IvhFRhB3iBcoBTmBGqBFqB,v115@RhA8EeB8AeC8BeF8Je/EJvhFUgBamBumBxnBFoBTqB,v115@RhA8EeB8AeC8BeF8JeT/IvhF/lBxiBimBFoBGmBUqB,v115@RhA8EeB8AeC8BeF8JeT/IvhFxgBliBcoB3mBGqBiqB,v115@RhA8EeB8AeC8BeF8JezAJvhFRiBcoBlkBCnBmkB3qB,v115@RhA8EeB8AeC8BeF8Jex/IvhF3iBcoBlkBGmBimBTqB,v115@RhA8EeB8AeC8BeF8JeyEJvhFzgBumBxnB0kBFoB3qB,v115@RhA8EeB8AeC8BeF8JeT/IvhFumB3iBcoBRqBiqBlqB,v115@RhA8EeB8AeC8BeF8JeSIJvhFxkBlmB0kBXmBmnBTqB,v115@RhA8EeB8AeC8BeF8JeyEJvhFumBzlBxnB0kBFoB3qB
TLIJZOS,X,X,O,X,X,X,X,X,O,X
TLIJOSZ,X,O,X,X,X,X,X,X,O,O
TLIJOZS,X,X,O,X,X,X,X,X,O,O
TLISJZO,X,O,X,X,X,X,X,X,O,X
TLISJOZ,X,X,X,X,X,X,O,X,O,X
TLISZJO,X,O,O,X,O,X,X,X,O,X
TLISZOJ,X,X,O,X,O,X,X,X,O,X
TLISOJZ,X,X,X,X,X,X,O,X,O,X
TLISOZJ,X,X,O,X,O,X,X,X,O,X
TLIZJSO,X,X,O,X,O,O,X,X,O,X
TLIZJOS,X,X,O,X,X,X,X,X,O,X
TLIZSJO,X,X,O,X,O,O,X,X,O,X
TLIZSOJ,X,X,O,X,O,X,X,X,O,X
TLIZOJS,X,X,O,X,X,X,X,X,O,X
TLIZOSJ,X,X,O,X,O,X,X,X,O,X
TLIOJSZ,X,O,X,X,X,X,X,X,O,O
TLIOJZS,X,X,O,X,X,X,X,X,O,O
TLIOSJZ,X,O,X,X,X,X,X,X,O,X
TLIOSZJ,X,O,O,X,X,X,X,X,O,X
TLIOZJS,X,X,O,X,X,X,X,X,O,X
TLIOZSJ,X,X,O,X,X,X,X,X,O,X
TLJISZO,X,O,X,X,X,X,X,X,O,X
TLJISOZ,X,X,X,X,X,X,O,X,O,X
TLJIZSO,X,X,O,X,X,O,X,X,O,X
TLJIZOS,X,X,O,X,X,X,X,X,O,X
TLJIOSZ,X,O,X,X,X,X,X,X,O,O
TLJIOZS,X,X,O,X,X,X,X,X,O,O
