sequence,v115@RhA8EeB8AeC8BeF8Jei/IvhFRhB3iBcoBTmBGqBFqB,v115@RhA8EeB8AeC8BeF8Je/EJvhFUgBamBumBxnBFoBTqB,v115@RhA8EeB8AeC8BeF8JeT/IvhF/lBxiBimBFoBGmBUqB,v115@RhA8EeB8AeC8BeF8JeT/IvhFxgBliBcoB3mBGqBiqB,v115@RhA8EeB8AeC8BeF8JezAJvhFRiBcoBlkBCnBmkB3qB,v115@RhA8EeB8AeC8BeF8Jex/IvhF3iBcoBlkBGmBimBTqB,v115@RhA8EeB8AeC8BeF8JeyEJvhFzgBumBxnB0kBFoB3qB,v115@RhA8EeB8AeC8BeF8JeT/IvhFumB3iBcoBRqBiqBlqB,v115@RhA8EeB8AeC8BeF8JeSIJvhFxkBlmB0kBXmBmnBTqB,v115@RhA8EeB8AeC8BeF8JeyEJvhFumBzlBxnB0kBFoB3qB
ILJZOST,O,O,X,X,X,X,X,O,X,O
ILJOTSZ,X,O,X,X,X,X,X,X,X,O
ILJOTZS,O,X,X,X,X,X,X,X,X,O
ILJOSTZ,X,O,X,X,X,X,O,X,X,O
ILJOSZT,O,O,X,X,X,X,O,X,X,O
ILJOZTS,O,X,X,X,X,X,X,O,X,O
ILJOZST,O,O,X,X,X,X,X,O,X,O
ILSTJZO,X,O,X,X,X,X,X,X,O,X
ILSTJOZ,X,X,X,X,X,X,O,X,O,X
ILSTZJO,X,O,X,X,O,X,X,X,O,X
ILSTZOJ,X,X,X,X,O,X,X,X,O,X
ILSTOJZ,X,X,X,X,X,X,O,X,O,X
ILSTOZJ,X,X,X,X,O,X,X,X,O,X
ILSJTZO,X,O,X,X,X,X,X,X,X,X
ILSJTOZ,X,X,X,X,X,X,O,X,X,X
ILSJZTO,X,O,X,X,X,X,X,X,X,X
ILSJZOT,X,O,X,X,X,X,O,X,X,X
ILSJOTZ,X,O,X,X,X,X,O,X,X,O
ILSJOZT,X,O,X,X,X,X,O,X,X,O
ILSZTJO,X,O,X,X,O,X,X,X,X,X
ILSZTOJ,X,X,X,X,O,X,X,X,X,X
ILSZJTO,X,O,X,X,O,X,X,X,X,X
ILSZJOT,X,O,X,X,O,X,O,X,X,X
ILSZOTJ,X,X,X,X,O,X,X,X,X,X
ILSZOJT,X,O,X,X,O,X,O,X,X,X
ILSOTJZ,X,O,X,X,X,X,O,X,X,X
ILSOTZJ,X,O,X,X,O,X,X,X,X,X
ILSOJTZ,X,O,X,X,X,X,O,X,X,O
ILSOJZT,X,O,X,X,X,X,O,X,X,O
ILSOZTJ,X,O,X,X,O,X,X,X,X,X
ILSOZJT,X,O,X,X,O,X,O,X,X,X
ILZTJSO,X,X,O,X,O,X,X,X,O,X
ILZTJOS,X,X,O,X,X,X,X,X,O,X
ILZTSJO,X,X,O,X,O,X,X,X,O,X
ILZTSOJ,X,X,O,X,O,X,X,X,O,X
ILZTOJS,X,X,O,X,X,X,X,X,O,X
ILZTOSJ,X,X,O,X,O,X,X,X,O,X
ILZJTSO,X,X,X,X,O,X,X,O,X,X
ILZJTOS,X,X,X,X,X,X,X,O,X,X
ILZJSTO,O,O,X,X,O,X,X,O,X,X
ILZJSOT,O,O,X,X,O,X,O,O,X,X
ILZJOTS,O,X,X,X,X,X,X,O,X,O
ILZJOST,O,O,X,X,X,X,X,O,X,O
ILZSTJO,O,O,O,X,O,X,X,X,X,X
ILZSTOJ,O,X,O,X,O,X,X,X,X,X
ILZSJTO,O,O,X,X,O,X,X,O,X,X
ILZSJOT,O,O,X,X,O,X,O,O,X,X
ILZSOTJ,O,X,O,X,O,X,X,X,X,X
ILZSOJT,O,O,X,X,O,X,O,O,X,X
ILZOTJS,X,X,O,X,X,X,X,X,X,X
ILZOTSJ,O,X,O,X,O,X,X,X,X,X
ILZOJTS,O,X,X,X,X,X,X,O,X,O
ILZOJST,O,O,X,X,X,X,X,O,X,O
ILZOSTJ,O,O,O,X,O,X,X,X,X,X
ILZOSJT,O,O,X,X,O,X,X,O,X,X
ILOTJSZ,X,O,X,X,X,X,X,X,O,O
ILOTJZS,X,X,O,X,X,X,X,X,O,O
ILOTSJZ,X,O,X,X,X,X,X,X,O,X
ILOTSZJ,X,O,O,X,X,X,X,X,O,X
ILOTZJS,X,X,O,X,X,X,X,X,O,X
ILOTZSJ,O,X,O,X,X,X,X,X,O,X
ILOJTSZ,X,O,X,X,X,X,X,X,X,O
ILOJTZS,O,X,X,X,X,X,X,X,X,O
ILOJSTZ,X,O,X,X,X,X,O,X,X,O
ILOJSZT,O,O,X,X,X,X,O,X,X,O
ILOJZTS,O,X,X,X,X,X,X,O,X,O
ILOJZST,O,O,X,X,X,X,X,O,X,O
ILOSTJZ,X,O,X,X,X,X,O,X,X,X
ILOSTZJ,X,O,X,X,X,X,X,X,X,X
ILOSJTZ,X,O,X,X,X,X,O,X,X,O
ILOSJZT,X,O,X,X,X,X,O,X,X,O
ILOSZTJ,O,O,X,X,X,X,X,X,X,X
ILOSZJT,O,O,X,X,X,X,O,X,X,X
ILOZTJS,X,X,O,X,X,X,X,X,X,X
ILOZTSJ,O,X,O,X,X,X,X,X,X,X
ILOZJTS,O,X,X,X,X,X,X,O,X,O
ILOZJST,O,O,X,X,X,X,X,O,X,O
ILOZSTJ,O,O,O,X,X,X,X,X,X,X
ILOZSJT,O,O,X,X,X,X,X,O,X,X
IJTLSZO,X,O,X,X,X,X,X,X,O,X
IJTLSOZ,X,X,X,X,X,X,O,X,O,X
IJTLZSO,X,X,X,X,X,O,X,X,O,X
IJTLZOS,X,X,X,X,X,X,X,X,O,X
IJTLOSZ,X,O,X,X,X,X,X,X,O,O
IJTLOZS,X,X,X,X,X,X,X,X,O,O
IJTSLZO,X,O,X,X,X,X,X,X,X,X
IJTSLOZ,X,X,X,X,X,X,O,X,X,X
IJTSZLO,X,O,X,X,X,O,X,X,X,X
IJTSZOL,X,X,X,X,X,O,X,X,X,X
IJTSOLZ,X,O,X,X,X,X,O,X,X,X
IJTSOZL,X,O,X,X,X,X,X,X,X,X
IJTZLSO,X,X,X,X,X,O,X,O,X,X
IJTZLOS,X,X,X,X,X,X,X,O,X,X
IJTZSLO,X,X,X,X,X,O,X,O,X,X
IJTZSOL,X,X,X,X,X,O,X,O,X,X
IJTZOLS,X,X,X,X,X,X,X,O,X,X
IJTZOSL,X,X,X,X,X,O,X,O,X,X
IJTOLSZ,X,O,X,X,X,X,X,X,X,O
IJTOLZS,X,X,X,X,X,X,X,X,X,O
IJTOSLZ,X,O,X,X,X,X,X,X,X,X
IJTOSZL,X,O,X,X,X,X,X,X,X,X
IJTOZLS,X,X,X,X,X,X,X,O,X,X
IJTOZSL,X,X,X,X,X,O,X,O,X,X
IJLTSZO,X,O,X,X,X,X,X,X,O,X
IJLTSOZ,X,X,X,X,X,X,O,X,O,X
IJLTZSO,X,X,X,X,X,X,X,X,O,X
IJLTZOS,X,X,X,X,X,X,X,X,O,X
IJLTOSZ,X,O,X,X,X,X,X,X,O,O
IJLTOZS,X,X,X,X,X,X,X,X,O,O
IJLSTZO,X,O,X,X,X,X,X,X,X,X
IJLSTOZ,X,X,X,X,X,X,O,X,X,X
IJLSZTO,X,O,X,X,X,X,X,X,X,X
IJLSZOT,X,O,X,X,X,X,O,X,X,X
IJLSOTZ,X,O,X,X,X,X,O,X,X,O
IJLSOZT,X,O,X,X,X,X,O,X,X,O
IJLZTSO,X,X,X,X,X,X,X,O,X,X
IJLZTOS,X,X,X,X,X,X,X,O,X,X
IJLZSTO,O,O,X,X,X,X,X,O,X,X
IJLZSOT,O,O,X,X,X,X,O,O,X,X
IJLZOTS,O,X,X,X,X,X,X,O,X,O
IJLZOST,O,O,X,X,X,X,X,O,X,O
IJLOTSZ,X,O,X,X,X,X,X,X,X,O
IJLOTZS,O,X,X,X,X,X,X,X,X,O
IJLOSTZ,X,O,X,X,X,X,O,X,X,O
IJLOSZT,O,O,X,X,X,X,O,X,X,O
IJLOZTS,O,X,X,X,X,X,X,O,X,O
IJLOZST,O,O,X,X,X,X,X,O,X,O
IJSTLZO,X,O,X,X,X,X,X,X,X,X
IJSTLOZ,X,X,X,X,X,X,O,X,X,X
IJSTZLO,X,O,X,O,X,X,X,X,X,X
IJSTZOL,X,X,X,O,X,X,X,X,X,X
IJSTOLZ,X,O,X,X,X,X,O,X,X,X
IJSTOZL,X,O,X,O,X,X,X,X,X,X
IJSLTZO,X,O,X,X,X,X,X,X,X,X
IJSLTOZ,X,X,X,X,X,X,O,X,X,X
IJSLZTO,X,O,X,O,X,X,X,X,X,X
IJSLZOT,X,O,X,O,X,X,O,X,X,X
IJSLOTZ,X,O,X,X,X,X,O,X,X,O
IJSLOZT,X,O,X,O,X,X,O,X,X,O
IJSZTLO,X,O,X,O,X,X,X,O,X,X
IJSZTOL,X,X,X,O,X,X,X,O,X,X
IJSZLTO,X,O,X,O,X,X,X,O,X,X
IJSZLOT,X,O,X,O,X,X,O,O,X,X
IJSZOTL,X,O,X,O,X,X,X,O,X,X
IJSZOLT,X,O,X,O,X,X,O,O,X,X
IJSOTLZ,X,O,X,X,X,X,O,X,X,X
IJSOTZL,X,O,X,O,X,X,X,X,X,X
IJSOLTZ,X,O,X,X,X,X,O,X,X,O
IJSOLZT,X,O,X,O,X,X,O,X,X,O
IJSOZTL,X,O,X,O,X,X,X,O,X,X
IJSOZLT,X,O,X,O,X,X,O,O,X,X
IJZTLSO,X,X,X,X,X,O,X,O,X,X
IJZTLOS,X,X,X,X,X,X,X,O,X,X
IJZTSLO,X,X,X,O,X,O,X,O,X,X
IJZTSOL,X,X,X,O,X,O,X,O,X,X
IJZTOLS,X,X,X,X,X,X,X,O,X,X
IJZTOSL,X,X,X,O,X,O,X,O,X,X
IJZLTSO,X,X,X,X,X,X,X,O,X,X
IJZLTOS,X,X,X,X,X,X,X,O,X,X
IJZLSTO,O,O,X,X,X,X,X,O,X,X
IJZLSOT,O,O,X,X,X,X,O,O,X,X
IJZLOTS,O,X,X,X,X,X,X,O,X,O
IJZLOST,O,O,X,X,X,X,X,O,X,O
IJZSTLO,O,O,X,O,X,O,X,O,X,X
IJZSTOL,X,X,X,O,X,O,X,O,X,X
IJZSLTO,O,O,X,O,X,X,X,O,X,X
IJZSLOT,O,O,X,O,X,X,O,O,X,X
IJZSOTL,O,O,X,O,X,X,X,O,X,X
IJZSOLT,O,O,X,O,X,X,O,O,X,X
IJZOTLS,O,X,X,X,X,X,X,O,X,X
IJZOTSL,O,X,X,O,X,X,X,O,X,X
IJZOLTS,O,X,X,X,X,X,X,O,X,O
IJZOLST,O,O,X,X,X,X,X,O,X,O
IJZOSTL,O,O,X,O,X,X,X,O,X,X
IJZOSLT,O,O,X,O,X,X,X,O,X,X
IJOTLSZ,X,O,X,X,X,X,X,X,X,O
IJOTLZS,O,X,X,X,X,X,X,X,X,O
IJOTSLZ,X,O,X,X,X,X,X,X,X,X
IJOTSZL,X,O,X,X,X,X,X,X,X,X
IJOTZLS,O,X,X,X,X,X,X,O,X,X
IJOTZSL,O,X,X,X,X,X,X,O,X,X
IJOLTSZ,X,O,X,X,X,X,X,X,X,O
IJOLTZS,O,X,X,X,X,X,X,X,X,O
IJOLSTZ,X,O,X,X,X,X,O,X,X,O
IJOLSZT,O,O,X,X,X,X,O,X,X,O
IJOLZTS,O,X,X,X,X,X,X,O,X,O
IJOLZST,O,O,X,X,X,X,X,O,X,O
IJOSTLZ,X,O,X,X,X,X,O,X,X,X
IJOSTZL,X,O,X,O,X,X,X,X,X,X
IJOSLTZ,X,O,X,X,X,X,O,X,X,O
IJOSLZT,O,O,X,O,X,X,O,X,X,O
IJOSZTL,O,O,X,O,X,X,X,O,X,X
IJOSZLT,O,O,X,O,X,X,O,O,X,X
IJOZTLS,O,X,X,X,X,X,X,O,X,X
IJOZTSL,O,X,X,O,X,X,X,O,X,X
IJOZLTS,O,X,X,X,X,X,X,O,X,O
IJOZLST,O,O,X,X,X,X,X,O,X,O
IJOZSTL,O,O,X,O,X,X,X,O,X,X
IJOZSLT,O,O,X,O,X,X,X,O,X,X
ISTLJZO,X,O,X,X,X,X,X,X,O,X
ISTLJOZ,X,X,X,X,X,X,O,X,O,X
ISTLZJO,X,O,X,X,O,X,X,X,O,X
ISTLZOJ,X,X,X,X,O,X,X,X,O,X
ISTLOJZ,X,X,X,X,X,X,O,X,O,X
ISTLOZJ,X,X,X,X,O,X,X,X,O,X
ISTJLZO,X,O,X,X,X,X,X,X,X,X
ISTJLOZ,X,X,X,X,X,X,O,X,X,X
ISTJZLO,X,O,X,O,X,X,X,X,X,X
ISTJZOL,X,X,X,O,X,X,X,X,X,X
ISTJOLZ,X,O,X,X,X,X,O,X,X,X
ISTJOZL,X,O,X,O,X,X,X,X,X,X
ISTZLJO,X,O,X,O,O,X,X,X,X,X
ISTZLOJ,X,X,X,O,O,X,X,X,X,X
ISTZJLO,X,O,X,O,X,X,X,X,X,X
ISTZJOL,X,X,X,O,X,X,X,X,X,X
ISTZOLJ,X,X,X,O,O,X,X,X,X,X
ISTZOJL,X,X,X,O,X,X,X,X,X,X
ISTOLJZ,X,O,X,X,X,X,O,X,X,X
ISTOLZJ,X,O,X,X,O,X,X,X,X,X
ISTOJLZ,X,O,X,X,X,X,O,X,X,X
ISTOJZL,X,O,X,X,X,X,X,X,X,X
ISTOZLJ,X,O,X,O,O,X,X,X,X,X
ISTOZJL,X,O,X,O,X,X,X,X,X,X
ISLTJZO,X,O,X,X,X,X,X,X,O,X
ISLTJOZ,X,X,X,X,X,X,O,X,O,X
ISLTZJO,X,O,X,X,O,X,X,X,O,X
ISLTZOJ,X,X,X,X,O,X,X,X,O,X
ISLTOJZ,X,X,X,X,X,X,O,X,O,X
ISLTOZJ,X,X,X,X,O,X,X,X,O,X
ISLJTZO,X,O,X,X,X,X,X,X,X,X
ISLJTOZ,X,X,X,X,X,X,O,X,X,X
ISLJZTO,X,O,X,O,X,X,X,X,X,X
ISLJZOT,X,O,X,O,X,X,O,X,X,X
ISLJOTZ,X,O,X,X,X,X,O,X,X,O
ISLJOZT,X,O,X,O,X,X,O,X,X,O
ISLZTJO,X,O,X,O,O,X,X,X,X,X
ISLZTOJ,X,X,X,O,O,X,X,X,X,X
ISLZJTO,X,O,X,O,O,X,X,X,X,X
ISLZJOT,X,O,X,O,O,X,O,X,X,X
ISLZOTJ,X,X,X,O,O,X,X,X,X,X
ISLZOJT,X,O,X,X,O,X,O,X,X,X
ISLOTJZ,X,O,X,X,X,X,O,X,X,X
ISLOTZJ,X,O,X,X,O,X,X,X,X,X
ISLOJTZ,X,O,X,X,X,X,O,X,X,O
ISLOJZT,X,O,X,X,X,X,O,X,X,O
ISLOZTJ,X,O,X,O,O,X,X,X,X,X
ISLOZJT,X,O,X,X,O,X,O,X,X,X
ISJTLZO,X,O,X,X,X,X,X,X,X,X
ISJTLOZ,X,X,X,X,X,X,O,X,X,X
ISJTZLO,X,O,X,O,X,X,X,X,X,X
ISJTZOL,X,X,X,O,X,X,X,X,X,X
ISJTOLZ,X,O,X,X,X,X,O,X,X,X
ISJTOZL,X,O,X,O,X,X,X,X,X,X
ISJLTZO,X,O,X,X,X,X,X,X,X,X
ISJLTOZ,X,X,X,X,X,X,O,X,X,X
ISJLZTO,X,O,X,O,X,X,X,X,X,X
ISJLZOT,X,O,X,O,X,X,O,X,X,X
ISJLOTZ,X,O,X,X,X,X,O,X,X,O
ISJLOZT,X,O,X,O,X,X,O,X,X,O
ISJZTLO,X,O,X,O,X,X,X,O,X,X
ISJZTOL,X,X,X,O,X,X,X,O,X,X
ISJZLTO,X,O,X,O,X,X,X,O,X,X
ISJZLOT,X,O,X,O,X,X,O,O,X,X
ISJZOTL,X,O,X,O,X,X,X,O,X,X
ISJZOLT,X,O,X,O,X,X,O,O,X,X
ISJOTLZ,X,O,X,X,X,X,O,X,X,X
ISJOTZL,X,O,X,O,X,X,X,X,X,X
ISJOLTZ,X,O,X,X,X,X,O,X,X,O
ISJOLZT,X,O,X,O,X,X,O,X,X,O
ISJOZTL,X,O,X,O,X,X,X,O,X,X
ISJOZLT,X,O,X,O,X,X,O,O,X,X
ISZTLJO,X,O,X,O,O,X,X,X,X,X
ISZTLOJ,X,X,X,O,O,X,X,X,X,X
ISZTJLO,X,O,X,O,X,X,X,O,X,X
ISZTJOL,X,X,X,O,X,X,X,O,X,X
ISZTOLJ,X,X,X,O,O,X,X,X,X,X
ISZTOJL,X,X,X,O,X,X,X,O,X,X
ISZLTJO,X,O,X,O,O,X,X,X,X,X
ISZLTOJ,X,X,X,O,O,X,X,X,X,X
ISZLJTO,X,O,X,O,O,X,X,O,X,X
ISZLJOT,X,O,X,O,O,X,O,O,X,X
ISZLOTJ,X,X,X,O,O,X,X,X,X,X
ISZLOJT,X,O,X,X,O,X,O,O,X,X
ISZJTLO,X,O,X,O,X,X,X,O,X,X
ISZJTOL,X,X,X,O,X,X,X,O,X,X
ISZJLTO,X,O,X,O,X,X,X,O,X,X
ISZJLOT,X,O,X,O,X,X,O,O,X,X
ISZJOTL,X,O,X,O,X,X,X,O,X,X
ISZJOLT,X,O,X,O,X,X,O,O,X,X
ISZOTLJ,X,O,X,O,O,X,X,X,X,X
ISZOTJL,X,O,X,O,X,X,X,O,X,X
ISZOLTJ,X,O,X,O,O,X,X,X,X,X
ISZOLJT,X,O,X,X,O,X,O,O,X,X
ISZOJTL,X,O,X,O,X,X,X,O,X,X
ISZOJLT,X,O,X,O,X,X,O,O,X,X
ISOTLJZ,X,O,X,X,X,X,O,X,X,X
ISOTLZJ,X,O,X,X,O,X,X,X,X,X
ISOTJLZ,X,O,X,X,X,X,O,X,X,X
ISOTJZL,X,O,X,X,X,X,X,X,X,X
ISOTZLJ,X,O,X,O,O,X,X,X,X,X
ISOTZJL,X,O,X,O,X,X,X,X,X,X
ISOLTJZ,X,O,X,X,X,X,O,X,X,X
ISOLTZJ,X,O,X,X,O,X,X,X,X,X
ISOLJTZ,X,O,X,X,X,X,O,X,X,O
ISOLJZT,X,O,X,X,X,X,O,X,X,O
ISOLZTJ,X,O,X,O,O,X,X,X,X,X
ISOLZJT,X,O,X,X,O,X,O,X,X,X
ISOJTLZ,X,O,X,X,X,X,O,X,X,X
ISOJTZL,X,O,X,O,X,X,X,X,X,X
ISOJLTZ,X,O,X,X,X,X,O,X,X,O
ISOJLZT,X,O,X,O,X,X,O,X,X,O
ISOJZTL,X,O,X,O,X,X,X,O,X,X
ISOJZLT,X,O,X,O,X,X,O,O,X,X
ISOZTLJ,X,O,X,O,O,X,X,X,X,X
ISOZTJL,X,O,X,O,X,X,X,O,X,X
ISOZLTJ,X,O,X,O,O,X,X,X,X,X
ISOZLJT,X,O,X,X,O,X,O,O,X,X
ISOZJTL,X,O,X,O,X,X,X,O,X,X
ISOZJLT,X,O,X,O,X,X,O,O,X,X
IZTLJSO,X,X,O,X,O,O,X,X,O,X
IZTLJOS,X,X,O,X,X,X,X,X,O,X
IZTLSJO,X,X,O,X,O,O,X,X,O,X
IZTLSOJ,X,X,O,X,O,X,X,X,O,X
IZTLOJS,X,X,O,X,X,X,X,X,O,X
IZTLOSJ,X,X,O,X,O,X,X,X,O,X
IZTJLSO,X,X,O,X,O,O,X,O,X,X
IZTJLOS,X,X,O,X,X,X,X,O,X,X
IZTJSLO,X,X,O,O,X,O,X,O,X,X
IZTJSOL,X,X,O,O,X,O,X,O,X,X
IZTJOLS,X,X,O,X,X,X,X,O,X,X
IZTJOSL,X,X,O,O,X,O,X,O,X,X
IZTSLJO,X,X,O,O,O,O,X,X,X,X
IZTSLOJ,X,X,O,O,O,X,X,X,X,X
IZTSJLO,X,X,O,O,X,O,X,O,X,X
IZTSJOL,X,X,O,O,X,O,X,O,X,X
IZTSOLJ,X,X,O,O,O,X,X,X,X,X
IZTSOJL,X,X,O,O,X,O,X,O,X,X
IZTOLJS,X,X,O,X,X,X,X,X,X,X
IZTOLSJ,X,X,O,X,O,X,X,X,X,X
IZTOJLS,X,X,O,X,X,X,X,O,X,X
IZTOJSL,X,X,O,O,X,O,X,O,X,X
IZTOSLJ,X,X,O,O,X,X,X,X,X,X
IZTOSJL,X,X,O,O,X,O,X,O,X,X
IZLTJSO,X,X,O,X,O,X,X,X,O,X
IZLTJOS,X,X,O,X,X,X,X,X,O,X
IZLTSJO,X,X,O,X,O,X,X,X,O,X
IZLTSOJ,X,X,O,X,O,X,X,X,O,X
IZLTOJS,X,X,O,X,X,X,X,X,O,X
IZLTOSJ,X,X,O,X,O,X,X,X,O,X
IZLJTSO,X,X,X,X,O,X,X,O,X,X
IZLJTOS,X,X,X,X,X,X,X,O,X,X
IZLJSTO,O,O,X,X,O,X,X,O,X,X
IZLJSOT,O,O,X,X,O,X,O,O,X,X
IZLJOTS,O,X,X,X,X,X,X,O,X,O
IZLJOST,O,O,X,X,X,X,X,O,X,O
IZLSTJO,O,O,O,X,O,X,X,X,X,X
IZLSTOJ,O,X,O,X,O,X,X,X,X,X
IZLSJTO,O,O,X,X,O,X,X,O,X,X
IZLSJOT,O,O,X,X,O,X,O,O,X,X
IZLSOTJ,O,X,O,X,O,X,X,X,X,X
IZLSOJT,O,O,X,X,O,X,O,O,X,X
IZLOTJS,X,X,O,X,X,X,X,X,X,X
IZLOTSJ,O,X,O,X,O,X,X,X,X,X
IZLOJTS,O,X,X,X,X,X,X,O,X,O
IZLOJST,O,O,X,X,X,X,X,O,X,O
IZLOSTJ,O,O,O,X,O,X,X,X,X,X
IZLOSJT,O,O,X,X,O,X,X,O,X,X
IZJTLSO,X,X,X,X,O,O,X,O,X,X
IZJTLOS,X,X,X,X,X,X,X,O,X,X
IZJTSLO,X,X,X,O,X,O,X,O,X,X
IZJTSOL,X,X,X,O,X,O,X,O,X,X
IZJTOLS,X,X,X,X,X,X,X,O,X,X
IZJTOSL,X,X,X,O,X,O,X,O,X,X
IZJLTSO,X,X,X,X,O,X,X,O,X,X
IZJLTOS,X,X,X,X,X,X,X,O,X,X
IZJLSTO,O,O,X,X,O,X,X,O,X,X
IZJLSOT,O,O,X,X,O,X,O,O,X,X
IZJLOTS,O,X,X,X,X,X,X,O,X,O
IZJLOST,O,O,X,X,X,X,X,O,X,O
IZJSTLO,O,O,X,O,X,O,X,O,X,X
IZJSTOL,X,X,X,O,X,O,X,O,X,X
IZJSLTO,O,O,X,O,X,X,X,O,X,X
IZJSLOT,O,O,X,O,X,X,O,O,X,X
IZJSOTL,O,O,X,O,X,X,X,O,X,X
IZJSOLT,O,O,X,O,X,X,O,O,X,X
IZJOTLS,O,X,X,X,X,X,X,O,X,X
IZJOTSL,O,X,X,O,X,X,X,O,X,X
IZJOLTS,O,X,X,X,X,X,X,O,X,O
IZJOLST,O,O,X,X,X,X,X,O,X,O
IZJOSTL,O,O,X,O,X,X,X,O,X,X
IZJOSLT,O,O,X,O,X,X,X,O,X,X
IZSTLJO,O,O,O,O,O,O,X,X,X,X
IZSTLOJ,O,X,O,O,O,X,X,X,X,X
IZSTJLO,O,O,O,O,X,O,X,O,X,X
IZSTJOL,X,X,O,O,X,O,X,O,X,X
IZSTOLJ,O,X,O,O,O,X,X,X,X,X
IZSTOJL,O,X,O,O,X,O,X,O,X,X
IZSLTJO,O,O,O,O,O,X,X,X,X,X
IZSLTOJ,O,X,O,O,O,X,X,X,X,X
IZSLJTO,O,O,X,O,O,X,X,O,X,X
IZSLJOT,O,O,X,O,O,X,O,O,X,X
IZSLOTJ,O,X,O,O,O,X,X,X,X,X
IZSLOJT,O,O,X,X,O,X,O,O,X,X
IZSJTLO,O,O,X,O,X,O,X,O,X,X
IZSJTOL,X,X,X,O,X,O,X,O,X,X
IZSJLTO,O,O,X,O,X,X,X,O,X,X
IZSJLOT,O,O,X,O,X,X,O,O,X,X
IZSJOTL,O,O,X,O,X,X,X,O,X,X
IZSJOLT,O,O,X,O,X,X,O,O,X,X
IZSOTLJ,O,O,O,O,O,O,X,X,X,X
IZSOTJL,O,O,O,O,X,O,X,O,X,X
IZSOLTJ,O,O,O,O,O,X,X,X,X,X
IZSOLJT,O,O,X,X,O,X,O,O,X,X
IZSOJTL,O,O,X,O,X,O,X,O,X,X
IZSOJLT,O,O,X,O,X,X,O,O,X,X
IZOTLJS,X,X,O,X,X,O,X,X,X,X
IZOTLSJ,O,X,O,X,O,O,X,X,X,X
IZOTJLS,O,X,O,X,X,O,X,O,X,X
IZOTJSL,O,X,O,O,X,O,X,O,X,X
IZOTSLJ,O,X,O,O,X,O,X,X,X,X
IZOTSJL,O,X,O,O,X,O,X,O,X,X
IZOLTJS,X,X,O,X,X,X,X,X,X,X
IZOLTSJ,O,X,O,X,O,X,X,X,X,X
IZOLJTS,O,X,X,X,X,X,X,O,X,O
IZOLJST,O,O,X,X,X,X,X,O,X,O
IZOLSTJ,O,O,O,X,O,X,X,X,X,X
IZOLSJT,O,O,X,X,O,X,X,O,X,X
IZOJTLS,O,X,X,X,X,O,X,O,X,X
IZOJTSL,O,X,X,O,X,O,X,O,X,X
IZOJLTS,O,X,X,X,X,X,X,O,X,O
IZOJLST,O,O,X,X,X,X,X,O,X,O
IZOJSTL,O,O,X,O,X,O,X,O,X,X
IZOJSLT,O,O,X,O,X,X,X,O,X,X
IZOSTLJ,O,O,O,O,X,O,X,X,X,X
IZOSTJL,O,O,O,O,X,O,X,O,X,X
IZOSLTJ,O,O,O,O,X,X,X,X,X,X
IZOSLJT,O,O,X,X,X,X,X,O,X,X
IZOSJTL,O,O,X,O,X,O,X,O,X,X
IZOSJLT,O,O,X,O,X,X,X,O,X,X
IOTLJSZ,X,O,X,X,X,X,X,X,O,O
IOTLJZS,X,X,O,X,X,O,X,X,O,O
IOTLSJZ,X,O,X,X,X,X,X,X,O,X
IOTLSZJ,X,O,O,X,X,X,X,X,O,X
IOTLZJS,X,X,O,X,X,O,X,X,O,X
IOTLZSJ,O,X,O,X,X,O,X,X,O,X
IOTJLSZ,X,O,X,X,X,X,X,X,X,O
IOTJLZS,O,X,O,X,X,O,X,X,X,O
IOTJSLZ,X,O,X,X,X,X,X,X,X,X
IOTJSZL,X,O,X,X,X,O,X,X,X,X
IOTJZLS,O,X,O,X,X,O,X,O,X,X
IOTJZSL,O,X,O,X,X,O,X,O,X,X
IOTSLJZ,X,O,X,X,X,X,X,X,X,X
IOTSLZJ,X,O,O,X,X,X,X,X,X,X
IOTSJLZ,X,O,X,X,X,X,X,X,X,X
IOTSJZL,X,O,X,X,X,O,X,X,X,X
IOTSZLJ,X,O,O,X,X,O,X,X,X,X
IOTSZJL,X,O,O,X,X,O,X,X,X,X
IOTZLJS,X,X,O,X,X,O,X,X,X,X
IOTZLSJ,O,X,O,X,X,O,X,X,X,X
IOTZJLS,O,X,O,X,X,O,X,O,X,X
IOTZJSL,O,X,O,X,X,O,X,O,X,X
IOTZSLJ,O,X,O,X,X,O,X,X,X,X
IOTZSJL,O,X,O,X,X,O,X,O,X,X
IOLTJSZ,X,O,X,X,X,X,X,X,O,O
IOLTJZS,X,X,O,X,X,X,X,X,O,O
IOLTSJZ,X,O,X,X,X,X,X,X,O,X
IOLTSZJ,X,O,O,X,X,X,X,X,O,X
IOLTZJS,X,X,O,X,X,X,X,X,O,X
IOLTZSJ,O,X,O,X,X,X,X,X,O,X
IOLJTSZ,X,O,X,X,X,X,X,X,X,O
IOLJTZS,O,X,X,X,X,X,X,X,X,O
IOLJSTZ,X,O,X,X,X,X,O,X,X,O
IOLJSZT,O,O,X,X,X,X,O,X,X,O
IOLJZTS,O,X,X,X,X,X,X,O,X,O
IOLJZST,O,O,X,X,X,X,X,O,X,O
IOLSTJZ,X,O,X,X,X,X,O,X,X,X
IOLSTZJ,X,O,X,X,X,X,X,X,X,X
IOLSJTZ,X,O,X,X,X,X,O,X,X,O
IOLSJZT,X,O,X,X,X,X,O,X,X,O
