sequence,v115@FhB8HeB8HeB8AeA8AeB8BeC8JeZEJvhFukBfmB0hB6?nBNqBzrB,v115@FhB8HeB8HeB8AeA8AeB8BeC8JeZEJvhFukBzgBfnB6?nBNqB0rB,v115@FhB8HeB8HeB8AeA8AeB8BeC8JeZEJvhFCgB8lB+mBT?iBdqBXsB,v115@FhB8HeB8HeB8AeA8AeB8BeC8JeZEJvhFukB3gB9nB0?mBiqBzrB,v115@FhB8HeB8HeB8AeA8AeB8BeC8Jei/IvhFfmBxhBcpBN?qBGnBzrB,v115@FhB8HeB8HeB8AeA8AeB8BeC8JeZEJvhFtkBzhB+nB3?lB0rBiqB,v115@FhB8HeB8HeB8AeA8AeB8BeC8Jex/IvhFXiBOpBdqBz?lBSsB0rB,v115@FhB8HeB8HeB8AeA8AeB8BeC8Jei/IvhFzgBWnBcpBN?qBxrBXsB,v115@FhB8HeB8HeB8AeA8AeB8BeC8Jex/IvhFXiBOpBdqBz?lBcsB6rB,v115@FhB8HeB8HeB8AeA8AeB8BeC8JezAJvhFfnB6nBxpB0?rBOpBdqB,v115@FhB8HeB8HeB8AeA8AeB8BeC8JefGJvhFxhBTkBNqBu?rBcsBipB
TISJZLO,O,O,O,X,O,O,X,O,X,X,X
TISJZOL,O,O,O,X,O,O,X,O,X,X,X
TISJOLZ,O,X,O,X,X,X,X,X,X,X,X
TISJOZL,O,O,O,X,O,O,X,O,X,X,X
TISZLJO,O,O,O,X,O,O,X,O,X,X,X
TISZLOJ,O,O,O,X,O,X,X,O,X,X,X
TISZJLO,O,O,O,X,O,O,X,O,X,X,O
TISZJOL,O,O,O,X,O,O,X,O,X,X,O
TISZOLJ,O,O,O,X,O,X,X,O,X,X,X
TISZOJL,O,O,O,X,O,O,X,O,X,X,O
TISOLJZ,O,X,O,X,X,X,X,X,X,X,X
TISOLZJ,O,X,O,X,O,X,X,X,X,X,X
TISOJLZ,O,X,O,X,O,X,X,X,X,X,X
TISOJZL,O,O,O,X,O,O,X,O,X,X,X
TISOZLJ,O,O,O,X,O,X,X,O,X,X,X
TISOZJL,O,O,O,X,O,O,X,O,X,X,O
TIZLJSO,O,O,O,O,O,O,X,O,X,X,X
TIZLJOS,O,O,O,O,X,O,X,O,X,X,X
TIZLSJO,O,O,O,O,O,O,X,O,X,X,X
TIZLSOJ,O,O,O,O,O,X,X,O,X,X,X
TIZLOJS,O,O,O,O,O,X,X,O,X,X,X
TIZLOSJ,O,O,O,O,O,X,X,O,X,X,X
TIZJLSO,O,O,O,O,O,O,X,O,X,X,X
TIZJLOS,O,O,O,O,X,O,X,O,O,X,X
TIZJSLO,O,O,O,X,O,O,X,O,X,X,O
TIZJSOL,O,O,O,X,O,O,X,O,O,X,O
TIZJOLS,O,O,O,X,X,O,X,O,O,X,X
TIZJOSL,O,O,O,X,X,O,X,O,O,X,O
TIZSLJO,O,O,O,X,O,O,X,O,X,O,X
TIZSLOJ,O,O,O,X,O,X,X,O,X,O,X
TIZSJLO,O,O,O,X,O,O,X,O,X,X,O
TIZSJOL,O,O,O,X,O,O,X,O,O,X,O
TIZSOLJ,O,O,O,X,O,X,X,O,X,O,X
TIZSOJL,O,O,O,X,O,O,X,O,O,X,O
TIZOLJS,O,O,O,X,O,X,X,O,X,X,X
TIZOLSJ,O,O,O,X,O,X,X,O,X,X,X
TIZOJLS,O,O,O,X,O,O,X,O,O,X,X
TIZOJSL,O,O,O,X,O,O,X,O,O,X,O
TIZOSLJ,O,O,O,X,O,X,X,O,X,O,X
TIZOSJL,O,O,O,X,O,O,X,O,O,X,O
TIOLJSZ,O,X,X,O,X,X,O,X,X,X,X
TIOLJZS,O,O,X,O,X,X,O,O,X,X,X
TIOLSJZ,O,X,X,O,X,X,O,X,X,X,X
TIOLSZJ,O,X,O,O,X,X,X,X,X,X,X
TIOLZJS,O,O,O,O,X,X,X,O,X,X,X
TIOLZSJ,O,O,O,O,X,X,X,O,X,X,X
TIOJLSZ,O,X,X,O,X,X,O,X,X,X,X
TIOJLZS,O,O,X,O,X,X,O,O,O,X,X
TIOJSLZ,O,X,O,X,O,X,O,X,X,X,X
TIOJSZL,O,O,O,X,O,O,X,O,O,X,X
TIOJZLS,O,O,O,X,O,O,O,O,O,X,X
TIOJZSL,O,O,O,X,O,O,X,O,O,X,X
TIOSLJZ,O,X,O,X,X,X,X,X,X,X,X
TIOSLZJ,O,X,O,X,O,X,X,X,X,X,X
TIOSJLZ,O,X,O,X,O,X,X,X,X,X,X
TIOSJZL,O,O,O,X,O,O,X,O,X,X,X
TIOSZLJ,O,O,O,X,O,X,X,O,X,X,X
TIOSZJL,O,O,O,X,O,O,X,O,X,X,O
TIOZLJS,O,O,O,X,O,X,X,O,X,X,X
TIOZLSJ,O,O,O,X,O,X,X,O,X,X,X
TIOZJLS,O,O,O,X,O,O,X,O,O,X,X
TIOZJSL,O,O,O,X,O,O,X,O,O,X,O
TIOZSLJ,O,O,O,X,O,X,X,O,X,O,X
TIOZSJL,O,O,O,X,O,O,X,O,O,X,O
TLIJSZO,O,X,O,O,X,O,X,X,X,X,X
TLIJSOZ,O,X,O,O,X,X,O,X,X,X,X
TLIJZSO,O,O,O,O,X,O,X,O,X,X,X
TLIJZOS,O,O,O,O,X,O,X,O,X,X,X
TLIJOSZ,O,X,X,O,X,X,O,X,X,X,X
TLIJOZS,O,O,X,O,X,X,O,O,X,X,X
TLISJZO,O,X,O,O,X,O,X,X,X,X,X
TLISJOZ,O,X,O,O,X,X,O,X,X,X,X
TLISZJO,O,X,O,O,X,O,X,X,X,X,X
TLISZOJ,O,X,O,O,X,X,X,X,X,X,X
TLISOJZ,O,X,O,O,X,X,O,X,X,X,X
TLISOZJ,O,X,O,O,X,X,X,X,X,X,X
TLIZJSO,O,O,O,O,X,O,X,O,X,X,X
TLIZJOS,O,O,O,O,X,O,X,O,X,X,X
TLIZSJO,O,O,O,O,X,O,X,O,X,X,X
TLIZSOJ,O,O,O,O,X,X,X,O,X,X,X
TLIZOJS,O,O,O,O,X,X,X,O,X,X,X
TLIZOSJ,O,O,O,O,X,X,X,O,X,X,X
TLIOJSZ,O,X,X,O,X,X,O,X,X,X,X
TLIOJZS,O,O,X,O,X,X,O,O,X,X,X
TLIOSJZ,O,X,X,O,X,X,O,X,X,X,X
TLIOSZJ,O,X,O,O,X,X,X,X,X,X,X
TLIOZJS,O,O,O,O,X,X,X,O,X,X,X
TLIOZSJ,O,O,O,O,X,X,X,O,X,X,X
TLJISZO,O,X,O,O,X,O,X,X,X,X,X
TLJISOZ,O,X,O,O,X,X,O,X,X,X,X
TLJIZSO,O,O,O,O,X,O,X,X,X,X,X
TLJIZOS,O,O,O,O,X,O,X,X,O,X,X
TLJIOSZ,O,X,X,O,X,X,O,X,X,X,X
TLJIOZS,O,O,X,O,X,X,O,X,O,X,X
TLJSIZO,O,X,O,O,O,O,X,X,X,X,X
TLJSIOZ,O,X,O,O,X,X,O,X,X,X,X
TLJSZIO,O,X,O,O,O,O,X,X,X,X,X
TLJSZOI,O,X,O,O,O,O,O,X,X,X,X
TLJSOIZ,O,X,O,O,X,X,O,X,X,X,X
TLJSOZI,O,X,O,O,X,X,O,X,X,X,X
TLJZISO,O,O,O,O,O,O,X,X,X,X,X
TLJZIOS,O,O,O,O,X,O,X,X,O,X,X
TLJZSIO,O,O,O,O,O,O,X,X,X,X,X
TLJZSOI,O,O,O,O,O,O,O,X,O,X,X
TLJZOIS,O,O,O,O,X,O,O,X,O,X,X
TLJZOSI,O,O,O,O,O,O,O,X,O,X,X
TLJOISZ,O,X,X,O,X,X,O,X,X,X,X
TLJOIZS,O,O,X,O,X,X,O,X,O,X,X
TLJOSIZ,O,X,X,O,X,X,O,X,X,X,X
TLJOSZI,O,X,X,O,X,X,O,X,X,X,X
TLJOZIS,O,O,X,O,X,X,O,X,O,X,X
TLJOZSI,O,O,X,O,X,X,O,X,O,X,X
TLSIJZO,O,X,O,O,X,O,X,X,X,X,X
TLSIJOZ,O,X,O,O,X,X,O,X,X,X,X
TLSIZJO,O,X,O,O,O,O,X,X,X,X,X
TLSIZOJ,O,X,O,O,O,X,X,X,X,X,X
TLSIOJZ,O,X,O,O,X,X,O,X,X,X,X
TLSIOZJ,O,X,O,O,X,X,X,X,X,X,X
TLSJIZO,O,X,O,O,O,O,X,X,X,X,X
TLSJIOZ,O,X,O,O,X,X,O,X,X,X,X
TLSJZIO,O,X,O,O,O,O,X,X,X,X,X
TLSJZOI,O,X,O,O,O,O,O,X,X,X,X
TLSJOIZ,O,X,O,O,X,X,O,X,X,X,X
TLSJOZI,O,X,O,O,X,X,O,X,X,X,X
TLSZIJO,O,X,O,O,O,O,X,X,X,X,X
TLSZIOJ,O,X,O,O,O,X,X,X,X,X,X
TLSZJIO,O,X,O,O,O,O,X,X,X,X,O
TLSZJOI,O,X,O,O,O,O,O,X,X,X,O
TLSZOIJ,O,X,O,O,O,X,X,X,X,X,X
TLSZOJI,O,X,O,O,O,X,O,X,X,X,O
TLSOIJZ,O,X,O,O,X,X,O,X,X,X,X
TLSOIZJ,O,X,O,O,O,X,X,X,X,X,X
TLSOJIZ,O,X,O,O,O,X,O,X,X,X,X
TLSOJZI,O,X,O,O,O,X,O,X,X,X,X
TLSOZIJ,O,X,O,O,O,X,X,X,X,X,X
TLSOZJI,O,X,O,O,O,X,O,X,X,X,O
TLZIJSO,O,O,O,O,O,O,X,O,X,X,X
TLZIJOS,O,O,O,O,X,O,X,O,X,X,X
TLZISJO,O,O,O,O,O,O,X,O,X,X,X
TLZISOJ,O,O,O,O,O,X,X,O,X,X,X
TLZIOJS,O,O,O,O,O,X,X,O,X,X,X
TLZIOSJ,O,O,O,O,O,X,X,O,X,X,X
TLZJISO,O,O,O,O,O,O,X,O,X,X,X
TLZJIOS,O,O,O,O,X,O,X,O,O,X,X
TLZJSIO,O,O,O,O,O,O,X,X,X,X,O
TLZJSOI,O,O,O,O,O,O,O,X,O,X,O
TLZJOIS,O,O,O,O,O,O,O,O,O,X,X
TLZJOSI,O,O,O,O,O,O,O,X,O,X,O
TLZSIJO,O,O,O,O,O,O,X,O,X,X,X
TLZSIOJ,O,O,O,O,O,X,X,O,X,X,X
TLZSJIO,O,O,O,O,O,O,X,X,X,X,O
TLZSJOI,O,O,O,O,O,O,O,X,O,X,O
TLZSOIJ,O,O,O,O,O,X,X,O,X,X,X
TLZSOJI,O,O,O,O,O,X,O,X,O,X,O
TLZOIJS,O,O,O,O,O,X,X,O,X,X,X
TLZOISJ,O,O,O,O,O,X,X,O,X,X,X
TLZOJIS,O,O,O,O,O,X,O,O,O,X,X
TLZOJSI,O,O,O,O,O,X,O,X,O,X,O
TLZOSIJ,O,O,O,O,O,X,X,O,X,X,X
TLZOSJI,O,O,O,O,O,X,O,X,O,X,O
TLOIJSZ,O,X,X,O,X,X,O,X,X,X,X
TLOIJZS,O,O,X,O,X,X,O,O,X,X,X
TLOISJZ,O,X,X,O,X,X,O,X,X,X,X
TLOISZJ,O,X,O,O,X,X,X,X,X,X,X
TLOIZJS,O,O,O,O,X,X,X,O,X,X,X
TLOIZSJ,O,O,O,O,X,X,X,O,X,X,X
TLOJISZ,O,X,X,O,X,X,O,X,X,X,X
TLOJIZS,O,O,X,O,X,X,O,X,O,X,X
TLOJSIZ,O,X,X,O,O,X,O,X,X,X,X
TLOJSZI,O,X,X,O,O,X,O,X,X,X,X
TLOJZIS,O,O,X,O,O,X,O,X,O,X,X
TLOJZSI,O,O,X,O,O,X,O,X,O,X,X
TLOSIJZ,O,X,X,O,X,X,O,X,X,X,X
TLOSIZJ,O,X,O,O,O,X,X,X,X,X,X
TLOSJIZ,O,X,X,O,O,X,O,X,X,X,X
TLOSJZI,O,X,X,O,O,X,O,X,X,X,X
TLOSZIJ,O,X,O,O,O,X,X,X,X,X,X
TLOSZJI,O,X,O,O,O,X,O,X,X,X,O
TLOZIJS,O,O,O,O,O,X,X,O,X,X,X
TLOZISJ,O,O,O,O,O,X,X,O,X,X,X
TLOZJIS,O,O,O,O,O,X,O,O,O,X,X
TLOZJSI,O,O,O,O,O,X,O,X,O,X,O
TLOZSIJ,O,O,O,O,O,X,X,O,X,X,X
TLOZSJI,O,O,O,O,O,X,O,X,O,X,O
TJILSZO,O,X,O,O,X,O,X,X,X,X,X
TJILSOZ,O,X,O,O,X,X,O,X,X,X,X
TJILZSO,O,O,O,O,X,O,X,O,X,X,X
TJILZOS,O,O,O,O,X,O,X,O,O,X,X
TJILOSZ,O,X,X,O,X,X,O,X,X,X,X
TJILOZS,O,O,X,O,X,X,O,O,O,X,X
TJISLZO,O,X,O,O,O,O,X,X,X,X,X
TJISLOZ,O,X,O,O,X,X,X,X,X,X,X
TJISZLO,O,O,O,X,O,O,X,O,X,X,X
TJISZOL,O,O,O,X,O,O,X,O,O,X,X
TJISOLZ,O,X,O,X,X,X,O,X,X,X,X
TJISOZL,O,O,O,X,O,O,X,O,O,X,X
TJIZLSO,O,O,O,O,O,O,X,O,X,X,X
TJIZLOS,O,O,O,O,X,O,X,O,O,X,X
TJIZSLO,O,O,O,X,O,O,X,O,X,X,X
TJIZSOL,O,O,O,X,O,O,X,O,O,X,X
TJIZOLS,O,O,O,X,X,O,O,O,O,X,X
TJIZOSL,O,O,O,X,X,O,X,O,O,X,X
TJIOLSZ,O,X,X,O,X,X,O,X,X,X,X
TJIOLZS,O,O,X,O,X,X,O,O,O,X,X
TJIOSLZ,O,X,O,X,X,X,O,X,X,X,X
TJIOSZL,O,O,O,X,X,O,X,O,O,X,X
TJIOZLS,O,O,O,X,X,O,O,O,O,X,X
TJIOZSL,O,O,O,X,X,O,X,O,O,X,X
TJLISZO,O,X,O,O,X,O,X,X,X,X,X
TJLISOZ,O,X,O,O,X,X,O,X,X,X,X
TJLIZSO,O,O,O,O,X,O,X,X,X,X,X
TJLIZOS,O,O,O,O,X,O,X,X,O,X,X
TJLIOSZ,O,X,X,O,X,X,O,X,X,X,X
TJLIOZS,O,O,X,O,X,X,O,X,O,X,X
TJLSIZO,O,X,O,O,O,O,X,X,X,X,X
TJLSIOZ,O,X,O,O,X,X,O,X,X,X,X
TJLSZIO,O,X,O,O,O,O,X,X,X,X,X
TJLSZOI,O,X,O,O,O,O,O,X,X,X,X
TJLSOIZ,O,X,O,O,X,X,O,X,X,X,X
TJLSOZI,O,X,O,O,X,X,O,X,X,X,X
TJLZISO,O,O,O,O,O,O,X,X,X,X,X
TJLZIOS,O,O,O,O,X,O,X,X,O,X,X
TJLZSIO,O,O,O,O,O,O,X,X,X,X,X
TJLZSOI,O,O,O,O,O,O,O,X,O,X,X
TJLZOIS,O,O,O,O,X,O,O,X,O,X,X
TJLZOSI,O,O,O,O,O,O,O,X,O,X,X
TJLOISZ,O,X,X,O,X,X,O,X,X,X,X
TJLOIZS,O,O,X,O,X,X,O,X,O,X,X
TJLOSIZ,O,X,X,O,X,X,O,X,X,X,X
TJLOSZI,O,X,X,O,X,X,O,X,X,X,X
TJLOZIS,O,O,X,O,X,X,O,X,O,X,X
TJLOZSI,O,O,X,O,X,X,O,X,O,X,X
TJSILZO,O,X,O,O,O,O,X,X,X,X,X
TJSILOZ,O,X,O,O,X,X,X,X,X,X,X
TJSIZLO,O,O,O,X,O,O,X,X,X,X,X
TJSIZOL,O,O,O,X,O,O,X,X,O,X,X
TJSIOLZ,O,X,O,X,X,X,O,X,X,X,X
TJSIOZL,O,O,O,X,O,O,X,X,O,X,X
TJSLIZO,O,X,O,O,O,O,X,X,X,X,X
TJSLIOZ,O,X,O,O,X,X,O,X,X,X,X
TJSLZIO,O,X,O,O,O,O,X,X,X,X,X
TJSLZOI,O,X,O,O,O,O,O,X,X,X,X
TJSLOIZ,O,X,O,O,X,X,O,X,X,X,X
TJSLOZI,O,X,O,O,X,X,O,X,X,X,X
TJSZILO,O,O,O,X,O,O,X,X,X,X,O
TJSZIOL,O,O,O,X,O,O,X,X,O,X,O
TJSZLIO,O,O,O,X,O,O,X,X,X,X,O
TJSZLOI,O,O,O,X,O,O,X,X,O,X,O
TJSZOIL,O,O,O,X,O,O,X,X,O,X,O
TJSZOLI,O,O,O,X,O,O,X,X,O,X,O
TJSOILZ,O,X,O,X,O,X,O,X,X,X,X
TJSOIZL,O,O,O,X,O,O,X,X,O,X,X
TJSOLIZ,O,X,O,X,O,X,O,X,X,X,X
TJSOLZI,O,X,O,X,O,X,O,X,X,X,X
TJSOZIL,O,O,O,X,O,O,X,X,O,X,O
TJSOZLI,O,O,O,X,O,O,X,X,O,X,O
TJZILSO,O,O,O,O,O,O,X,O,X,X,X
TJZILOS,O,O,O,O,X,O,X,O,O,X,X
TJZISLO,O,O,O,X,O,O,X,O,X,X,O
TJZISOL,O,O,O,X,O,O,X,O,O,X,O
TJZIOLS,O,O,O,X,X,O,O,O,O,X,X
TJZIOSL,O,O,O,X,X,O,X,O,O,X,O
TJZLISO,O,O,O,O,O,O,X,O,X,X,X
TJZLIOS,O,O,O,O,X,O,X,O,O,X,X
TJZLSIO,O,O,O,O,O,O,X,X,X,X,O
TJZLSOI,O,O,O,O,O,O,O,X,O,X,O
TJZLOIS,O,O,O,O,O,O,O,O,O,X,X
TJZLOSI,O,O,O,O,O,O,O,X,O,X,O
TJZSILO,O,O,O,X,O,O,X,X,X,X,O
TJZSIOL,O,O,O,X,O,O,X,X,O,X,O
TJZSLIO,O,O,O,X,O,O,X,X,X,X,O
TJZSLOI,O,O,O,X,O,O,X,X,O,X,O
TJZSOIL,O,O,O,X,O,O,X,X,O,X,O
TJZSOLI,O,O,O,X,O,O,X,X,O,X,O
TJZOILS,O,O,O,X,O,O,O,O,O,X,X
TJZOISL,O,O,O,X,O,O,X,O,O,X,O
TJZOLIS,O,O,O,X,O,O,O,O,O,X,X
TJZOLSI,O,O,O,X,O,O,O,X,O,X,O
TJZOSIL,O,O,O,X,O,O,X,X,O,X,O
TJZOSLI,O,O,O,X,O,O,X,X,O,X,O
TJOILSZ,O,X,X,O,X,X,O,X,X,X,X
TJOILZS,O,O,X,O,X,X,O,O,O,X,X
TJOISLZ,O,X,O,X,O,X,O,X,X,X,X
TJOISZL,O,O,O,X,O,O,X,O,O,X,X
TJOIZLS,O,O,O,X,O,O,O,O,O,X,X
TJOIZSL,O,O,O,X,O,O,X,O,O,X,X
TJOLISZ,O,X,X,O,X,X,O,X,X,X,X
TJOLIZS,O,O,X,O,X,X,O,X,O,X,X
TJOLSIZ,O,X,X,O,O,X,O,X,X,X,X
TJOLSZI,O,X,X,O,O,X,O,X,X,X,X
TJOLZIS,O,O,X,O,O,X,O,X,O,X,X
TJOLZSI,O,O,X,O,O,X,O,X,O,X,X
TJOSILZ,O,X,O,X,O,X,O,X,X,X,X
TJOSIZL,O,O,O,X,O,O,X,X,O,X,X
TJOSLIZ,O,X,O,X,O,X,O,X,X,X,X
TJOSLZI,O,X,O,X,O,X,O,X,X,X,X
TJOSZIL,O,O,O,X,O,O,X,X,O,X,O
TJOSZLI,O,O,O,X,O,O,X,X,O,X,O
TJOZILS,O,O,O,X,O,O,O,O,O,X,X
TJOZISL,O,O,O,X,O,O,X,O,O,X,O
TJOZLIS,O,O,O,X,O,O,O,O,O,X,X
TJOZLSI,O,O,O,X,O,O,O,X,O,X,O
TJOZSIL,O,O,O,X,O,O,X,X,O,X,O
TJOZSLI,O,O,O,X,O,O,X,X,O,X,O
TSILJZO,O,X,O,O,X,O,X,X,X,X,X
TSILJOZ,O,X,O,O,X,X,X,X,X,X,X
TSILZJO,O,X,O,O,O,O,X,X,X,X,X
TSILZOJ,O,X,O,O,O,X,X,X,X,X,X
TSILOJZ,O,X,O,O,X,X,X,X,X,X,X
TSILOZJ,O,X,O,O,X,X,X,X,X,X,X
TSIJLZO,O,X,O,O,O,O,X,X,X,X,X
TSIJLOZ,O,X,O,O,X,X,X,X,X,X,X
TSIJZLO,O,O,O,X,O,O,X,O,X,X,X
TSIJZOL,O,O,O,X,O,O,X,O,X,X,X
TSIJOLZ,O,X,O,X,X,X,X,X,X,X,X
TSIJOZL,O,O,O,X,O,O,X,O,X,X,X
TSIZLJO,O,O,O,X,O,O,X,O,X,X,X
TSIZLOJ,O,O,O,X,O,X,X,O,X,X,X
TSIZJLO,O,O,O,X,O,O,X,O,X,X,O
TSIZJOL,O,O,O,X,O,O,X,O,X,X,O
TSIZOLJ,O,O,O,X,O,X,X,O,X,X,X
TSIZOJL,O,O,O,X,O,O,X,O,X,X,O
TSIOLJZ,O,X,O,X,X,X,X,X,X,X,X
TSIOLZJ,O,X,O,X,O,X,X,X,X,X,X
TSIOJLZ,O,X,O,X,O,X,X,X,X,X,X
TSIOJZL,O,O,O,X,O,O,X,O,X,X,X
TSIOZLJ,O,O,O,X,O,X,X,O,X,X,X
TSIOZJL,O,O,O,X,O,O,X,O,X,X,O
TSLIJZO,O,X,O,O,X,O,X,X,X,X,X
TSLIJOZ,O,X,O,O,X,X,O,X,X,X,X
TSLIZJO,O,X,O,O,O,O,X,X,X,X,X
TSLIZOJ,O,X,O,O,O,X,X,X,X,X,X
TSLIOJZ,O,X,O,O,X,X,O,X,X,X,X
TSLIOZJ,O,X,O,O,X,X,X,X,X,X,X
TSLJIZO,O,X,O,O,O,O,X,X,X,X,X
TSLJIOZ,O,X,O,O,X,X,O,X,X,X,X
TSLJZIO,O,X,O,O,O,O,X,X,X,X,X
TSLJZOI,O,X,O,O,O,O,O,X,X,X,X
TSLJOIZ,O,X,O,O,X,X,O,X,X,X,X
TSLJOZI,O,X,O,O,X,X,O,X,X,X,X
TSLZIJO,O,X,O,O,O,O,X,X,X,X,X
TSLZIOJ,O,X,O,O,O,X,X,X,X,X,X
TSLZJIO,O,X,O,O,O,O,X,X,X,X,O
TSLZJOI,O,X,O,O,O,O,O,X,X,X,O
TSLZOIJ,O,X,O,O,O,X,X,X,X,X,X
TSLZOJI,O,X,O,O,O,X,O,X,X,X,O
TSLOIJZ,O,X,O,O,X,X,O,X,X,X,X
TSLOIZJ,O,X,O,O,O,X,X,X,X,X,X
TSLOJIZ,O,X,O,O,O,X,O,X,X,X,X
TSLOJZI,O,X,O,O,O,X,O,X,X,X,X
TSLOZIJ,O,X,O,O,O,X,X,X,X,X,X
TSLOZJI,O,X,O,O,O,X,O,X,X,X,O
TSJILZO,O,X,O,O,O,O,X,X,X,X,X
TSJILOZ,O,X,O,O,X,X,X,X,X,X,X
TSJIZLO,O,O,O,X,O,O,X,X,X,X,X
TSJIZOL,O,O,O,X,O,O,X,X,O,X,X
TSJIOLZ,O,X,O,X,X,X,O,X,X,X,X
TSJIOZL,O,O,O,X,O,O,X,X,O,X,X
TSJLIZO,O,X,O,O,O,O,X,X,X,X,X
TSJLIOZ,O,X,O,O,X,X,O,X,X,X,X
TSJLZIO,O,X,O,O,O,O,X,X,X,X,X
TSJLZOI,O,X,O,O,O,O,O,X,X,X,X
TSJLOIZ,O,X,O,O,X,X,O,X,X,X,X
TSJLOZI,O,X,O,O,X,X,O,X,X,X,X
TSJZILO,O,O,O,X,O,O,X,X,X,X,O
TSJZIOL,O,O,O,X,O,O,X,X,O,X,O
TSJZLIO,O,O,O,X,O,O,X,X,X,X,O
TSJZLOI,O,O,O,X,O,O,X,X,O,X,O
TSJZOIL,O,O,O,X,O,O,X,X,O,X,O
