sequence,v115@+gB8HeA8IeD8FeD8DeA8JeZEJvhF3gB9mB0iB6oBes?BzsB,v115@+gB8HeA8IeD8FeD8DeA8JeZEJvhF3gBUiBGjB6rBNt?BTsB,v115@+gB8HeA8IeD8FeD8DeA8JeZEJvhF3gB9nB6oB0mBet?BzrB,v115@+gB8HeA8IeD8FeD8DeA8JeZEJvhF3gB9mBCjBToB0s?BesB,v115@+gB8HeA8IeD8FeD8DeA8JeZEJvhF3gBTiBStBUsB9r?BOtB
TLOJIZS,O,O,X,X,X
TLOJSIZ,O,O,X,X,X
TLOJSZI,O,O,X,X,X
TLOJZIS,O,O,X,X,X
TLOJZSI,O,O,X,X,X
TLOSIJZ,O,O,X,X,X
TLOSIZJ,X,O,X,X,X
TLOSJIZ,O,O,X,X,X
TLOSJZI,O,O,X,X,X
TLOSZIJ,X,O,X,X,X
TLOSZJI,X,O,X,X,X
TLOZIJS,X,O,X,X,X
TLOZISJ,X,O,X,X,X
TLOZJIS,X,O,X,X,X
TLOZJSI,X,O,X,X,X
TLOZSIJ,X,O,X,X,X
TLOZSJI,X,O,X,X,X
TJILSZO,O,O,X,X,X
TJILSOZ,X,X,X,X,X
TJILZSO,O,O,X,X,X
TJILZOS,X,X,X,X,X
TJILOSZ,X,X,X,X,X
TJILOZS,X,X,X,X,X
TJISLZO,O,O,X,X,X
TJISLOZ,X,X,X,X,X
TJISZLO,O,X,X,X,X
TJISZOL,X,X,X,X,X
TJISOLZ,O,X,X,X,X
TJISOZL,O,O,X,X,X
TJIZLSO,O,X,X,X,X
TJIZLOS,X,X,X,X,X
TJIZSLO,O,X,X,X,X
TJIZSOL,X,X,X,X,X
TJIZOLS,X,X,X,X,X
TJIZOSL,X,X,X,X,X
TJIOLSZ,O,O,X,X,X
TJIOLZS,O,O,X,X,X
TJIOSLZ,O,X,X,X,X
TJIOSZL,O,O,X,X,X
TJIOZLS,O,X,X,X,X
TJIOZSL,O,O,X,X,X
TJLISZO,O,O,X,X,X
TJLISOZ,X,X,X,X,X
TJLIZSO,O,O,X,X,X
TJLIZOS,X,X,X,X,X
TJLIOSZ,X,X,X,X,X
TJLIOZS,X,X,X,X,X
TJLSIZO,O,O,X,X,X
TJLSIOZ,X,X,X,X,X
TJLSZIO,O,O,X,X,X
TJLSZOI,X,X,X,X,X
TJLSOIZ,X,X,X,X,X
TJLSOZI,X,X,X,X,X
TJLZISO,O,O,X,X,X
TJLZIOS,X,X,X,X,X
TJLZSIO,O,O,X,X,X
TJLZSOI,X,X,X,X,X
TJLZOIS,X,X,X,X,X
TJLZOSI,X,X,X,X,X
TJLOISZ,X,X,X,X,X
TJLOIZS,X,X,X,X,X
TJLOSIZ,X,X,X,X,X
TJLOSZI,X,X,X,X,X
TJLOZIS,X,X,X,X,X
TJLOZSI,X,X,X,X,X
TJSILZO,O,O,X,X,X
TJSILOZ,X,X,X,X,X
TJSIZLO,O,X,X,X,X
TJSIZOL,X,X,X,X,X
TJSIOLZ,O,X,X,X,X
TJSIOZL,O,O,X,X,X
TJSLIZO,O,O,X,X,X
TJSLIOZ,X,X,X,X,X
TJSLZIO,O,O,X,X,X
TJSLZOI,X,X,X,X,X
TJSLOIZ,X,X,X,X,X
TJSLOZI,X,X,X,X,X
TJSZILO,O,X,X,X,X
TJSZIOL,X,X,X,X,X
TJSZLIO,O,X,X,X,X
TJSZLOI,X,X,X,X,X
TJSZOIL,X,X,X,X,X
TJSZOLI,X,X,X,X,X
TJSOILZ,O,X,X,X,X
TJSOIZL,O,O,X,X,X
TJSOLIZ,O,X,X,X,X
TJSOLZI,O,X,X,X,X
TJSOZIL,O,O,X,X,X
TJSOZLI,O,X,X,X,X
TJZILSO,O,X,X,X,X
TJZILOS,X,X,X,X,X
TJZISLO,O,X,X,X,X
TJZISOL,X,X,X,X,X
TJZIOLS,X,X,X,X,X
TJZIOSL,X,X,X,X,X
TJZLISO,O,X,X,X,X
TJZLIOS,X,X,X,X,X
TJZLSIO,O,X,X,X,X
TJZLSOI,X,X,X,X,X
TJZLOIS,X,X,X,X,X
TJZLOSI,X,X,X,X,X
TJZSILO,O,X,X,X,X
TJZSIOL,X,X,X,X,X
TJZSLIO,O,X,X,X,X
TJZSLOI,X,X,X,X,X
TJZSOIL,X,X,X,X,X
TJZSOLI,X,X,X,X,X
TJZOILS,X,X,X,X,X
TJZOISL,X,X,X,X,X
TJZOLIS,X,X,X,X,X
TJZOLSI,X,X,X,X,X
TJZOSIL,X,X,X,X,X
TJZOSLI,X,X,X,X,X
TJOILSZ,O,O,X,X,X
TJOILZS,O,O,X,X,X
TJOISLZ,O,X,X,X,X
TJOISZL,O,O,X,X,X
TJOIZLS,O,X,X,X,X
TJOIZSL,O,O,X,X,X
TJOLISZ,O,O,X,X,X
TJOLIZS,O,O,X,X,X
TJOLSIZ,O,O,X,X,X
TJOLSZI,O,O,X,X,X
TJOLZIS,O,O,X,X,X
TJOLZSI,O,O,X,X,X
TJOSILZ,O,X,X,X,X
TJOSIZL,O,O,X,X,X
TJOSLIZ,O,X,X,X,X
TJOSLZI,O,X,X,X,X
TJOSZIL,O,O,X,X,X
TJOSZLI,O,X,X,X,X
TJOZILS,O,X,X,X,X
TJOZISL,O,O,X,X,X
TJOZLIS,O,X,X,X,X
TJOZLSI,O,X,X,X,X
TJOZSIL,O,O,X,X,X
TJOZSLI,O,X,X,X,X
TSILJZO,O,O,X,X,X
TSILJOZ,X,X,X,X,X
TSILZJO,X,O,X,X,X
TSILZOJ,X,X,X,X,X
TSILOJZ,O,O,X,X,X
TSILOZJ,X,O,X,X,X
TSIJLZO,O,O,X,X,X
TSIJLOZ,X,X,X,X,X
TSIJZLO,O,X,X,X,X
TSIJZOL,X,X,X,X,X
TSIJOLZ,O,X,X,X,X
TSIJOZL,O,O,X,X,X
TSIZLJO,X,X,X,X,X
TSIZLOJ,X,X,X,X,X
TSIZJLO,X,X,X,X,X
TSIZJOL,X,X,X,X,X
