sequence,v115@vhHZ/IzgB+pBKqBUnB/tBFrBRxB,v115@vhH5DJzhBcpB3lB+sBKtBlrBRvB,v115@vhHZDJzfBKpBUmB/sB+tBFqBRwB,v115@vhH5/IziBKpBcqB3mB+tBlsBRwB,v115@vhHU4ICiB2pBTnB/tBFrBxuBRxB,v115@vhH32ImgBcpBTlBStBlrBRvBxxB,v115@vhHT5IfnBeoB5oBKpBUqBFrBRxB,v115@vhHT1IZkBqkB8lB+tBlrB3sBRvB,v115@vhH/DJZkBqpBxlBlnBmqBUsBTtB,v115@vhHc/I5oBFlBxmBetBTpB3qBCsB,v115@vhH2CJfnB5oBKpBznBUqBFrBRxB,v115@vhHSAJZkB8lBzkB+tBlrB3sBRvB,v115@vhH6DJOkBzkBUnB/tBFrBxuBRxB,v115@vhHO/I6oBcpB3lBznBlrBRvBxxB,v115@vhHUCJ5oBKpBzkBXmBetBFsBxvB,v115@vhHZEJ3gBqpB0mBznB+tBlqBxwB,v115@vhHO6IalBTkBUnB/tBFrBxuBRxB,v115@vhH6+IunBcpB3lBToBlrBRvBxxB,v115@vhHc/I5jBFlBxmBKtBTpB3qBGsB,v115@vhHZ/I/jB+pBxlBlnBiqBUsBTtB,v115@vhHc/I+jBFlBxmBTpB3qBRsBSyB,v115@vhHK/I/jBxlBlnB2uBRqBUsBTtB,v115@vhHZEJ0iBqpBTlB3mB+tBlsBRwB,v115@vhHXAJ5oBKpBUmBTnBetBFqBRwB,v115@vhH0/IfmBKpBxnBFqBGsBTtBRwB,v115@vhH8GJXjBxkB+tBTpBiqBlsBRwB,v115@vhH5+IzgB+mBKpB/tBFqB0sBRwB,v115@vhHZ6IKmBzhBcpB+tBXqBlsBRwB,v115@vhH5+IejBKpBUmB/sBFqBTtBRwB,v115@vhHZ6IqfBcqB3mB+tBTpBlsBRwB,v115@vhH5+I0fBfnB2pBFrBSxBTtBxuB,v115@vhHZ6I8lBXjBStBTpB2vBlrBxxB
ITOJSLZ,X,X,X,X,O,O,O,O,X,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ITOJSZL,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ITOJZLS,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ITOJZSL,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ITOSLJZ,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ITOSLZJ,X,X,X,X,O,X,X,X,X,X,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ITOSJLZ,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ITOSJZL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ITOSZLJ,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ITOSZJL,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ITOZLJS,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ITOZLSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ITOZJLS,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ITOZJSL,X,X,X,X,X,O,X,X,X,X,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ITOZSLJ,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ITOZSJL,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILTJSZO,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILTJSOZ,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ILTJZSO,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILTJZOS,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ILTJOSZ,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ILTJOZS,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ILTSJZO,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILTSJOZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ILTSZJO,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILTSZOJ,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILTSOJZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ILTSOZJ,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILTZJSO,X,O,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILTZJOS,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ILTZSJO,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILTZSOJ,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILTZOJS,X,X,X,X,X,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILTZOSJ,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILTOJSZ,X,X,X,X,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ILTOJZS,X,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILTOSJZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ILTOSZJ,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILTOZJS,X,X,X,X,X,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILTOZSJ,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILJTSZO,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILJTSOZ,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ILJTZSO,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILJTZOS,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ILJTOSZ,X,X,X,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ILJTOZS,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ILJSTZO,O,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ILJSTOZ,X,X,X,X,X,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
ILJSZTO,O,O,O,O,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
ILJSZOT,O,O,O,O,X,X,O,O,O,X,O,O,O,O,O,O,X,X,X,X,X,X,O,O,X,X,O,O,X,X,O,O
ILJSOTZ,X,X,X,X,O,X,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,O,O
ILJSOZT,O,O,O,O,O,X,O,O,O,X,O,O,O,O,O,O,X,X,X,X,X,X,O,O,O,X,O,O,X,X,O,O
ILJZTSO,O,O,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ILJZTOS,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
ILJZSTO,O,O,O,O,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
ILJZSOT,O,O,O,O,X,X,O,O,O,X,O,O,O,O,O,O,X,X,X,X,X,X,O,O,X,X,O,O,X,X,O,O
ILJZOTS,X,X,X,X,X,O,O,O,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,O,X,O,X,O,X,X,O,O
ILJZOST,O,O,O,O,X,O,O,O,O,X,O,O,O,O,O,O,X,X,X,X,X,X,O,O,X,O,O,O,X,X,O,O
ILJOTSZ,X,X,X,X,O,O,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,O
ILJOTZS,X,X,X,X,O,O,O,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O,O
ILJOSTZ,X,X,X,X,O,O,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,O,O
ILJOSZT,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O,X,X,X,X,X,X,O,O,O,O,O,O,X,X,O,O
ILJOZTS,X,X,X,X,O,O,O,O,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,O,X,O,X,O,X,X,O,O
ILJOZST,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O,X,X,X,X,X,X,O,O,O,O,O,O,X,X,O,O
ILSTJZO,X,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ILSTJOZ,X,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
ILSTZJO,X,O,X,O,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILSTZOJ,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILSTOJZ,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ILSTOZJ,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILSJTZO,O,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ILSJTOZ,X,X,X,X,X,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
ILSJZTO,O,O,O,O,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
ILSJZOT,O,O,O,O,X,X,O,O,X,X,O,X,O,O,O,O,X,X,X,X,X,X,O,O,X,X,O,O,X,X,O,O
ILSJOTZ,X,X,X,X,O,X,O,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,O,O
ILSJOZT,O,O,O,O,O,X,O,O,X,X,O,X,O,O,O,O,X,X,X,X,X,X,O,O,O,X,O,O,X,X,O,O
ILSZTJO,X,O,X,O,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ILSZTOJ,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ILSZJTO,O,O,O,O,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
ILSZJOT,O,O,O,O,X,X,O,O,X,X,O,X,O,O,O,O,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X
ILSZOTJ,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X
ILSZOJT,X,O,X,O,X,O,O,O,X,X,O,X,O,O,O,X,O,O,X,X,X,X,O,X,X,X,X,O,O,X,X,X
ILSOTJZ,X,X,X,X,O,X,X,X,X,X,O,X,O,X,O,X,O,O,X,X,X,X,O,X,O,X,X,X,O,X,O,O
ILSOTZJ,X,X,X,X,O,X,X,X,X,X,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ILSOJTZ,X,X,X,X,O,O,O,O,X,X,O,X,O,X,O,X,O,O,X,X,X,X,O,X,O,X,O,X,O,X,O,O
ILSOJZT,X,O,X,O,O,O,O,O,X,X,O,X,O,O,O,X,O,O,X,X,X,X,O,X,O,X,O,O,O,X,O,O
ILSOZTJ,X,X,X,X,O,X,X,X,X,X,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X
ILSOZJT,X,O,X,O,O,O,O,O,X,X,O,X,O,O,O,X,O,O,X,X,X,X,O,X,O,X,X,O,O,X,O,O
ILZTJSO,X,O,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ILZTJOS,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
ILZTSJO,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ILZTSOJ,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ILZTOJS,X,X,X,X,X,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ILZTOSJ,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ILZJTSO,O,O,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ILZJTOS,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
ILZJSTO,O,O,O,O,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
ILZJSOT,O,O,O,O,X,X,O,O,O,X,O,O,O,O,O,O,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X
ILZJOTS,X,X,X,X,X,O,O,O,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X
ILZJOST,O,O,O,O,X,O,O,O,O,X,O,O,O,O,O,O,X,X,X,X,X,X,O,O,X,O,O,O,X,X,X,X
ILZSTJO,X,O,X,O,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
ILZSTOJ,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ILZSJTO,O,O,O,O,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
ILZSJOT,O,O,O,O,X,X,O,O,X,X,O,X,O,O,O,O,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X
ILZSOTJ,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X
ILZSOJT,X,O,X,O,X,O,O,O,X,X,O,X,O,O,O,X,O,O,X,X,X,X,O,X,X,X,O,O,O,X,X,X
ILZOTJS,X,X,X,X,X,O,O,O,X,X,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X
ILZOTSJ,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X
ILZOJTS,X,X,X,X,X,O,O,O,O,X,O,O,X,O,X,O,O,O,X,X,X,X,X,O,X,O,X,O,X,X,X,X
ILZOJST,X,O,X,O,X,O,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,X,O,O,X,O,X,O,O,X,X,X
ILZOSTJ,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X
ILZOSJT,X,O,X,O,X,O,O,O,O,X,O,O,O,O,O,X,O,O,X,X,X,X,O,X,X,O,X,O,O,X,X,X
ILOTJSZ,X,X,X,X,O,O,O,O,X,X,O,O,X,X,O,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,O,O
ILOTJZS,X,X,X,X,O,O,O,O,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O,O
ILOTSJZ,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X,O,X,O,X,X,X,O,X,O,O
ILOTSZJ,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ILOTZJS,X,X,X,X,O,O,O,O,X,X,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ILOTZSJ,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ILOJTSZ,X,X,X,X,O,O,O,O,O,X,O,O,X,X,O,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,O,O
ILOJTZS,X,X,X,X,O,O,O,O,O,X,O,O,X,X,X,O,O,O,X,X,X,X,X,O,X,O,X,X,X,X,O,O
ILOJSTZ,X,X,X,X,O,O,O,O,O,X,O,O,O,X,O,X,O,O,X,X,X,X,O,X,O,X,X,X,O,X,O,O
ILOJSZT,X,O,X,O,O,O,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,X,O,O,O,O,X,O,O,X,O,O
ILOJZTS,X,X,X,X,O,O,O,O,O,X,O,O,X,O,X,O,O,O,X,X,X,X,X,O,X,O,X,O,X,X,O,O
ILOJZST,X,O,X,O,O,O,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,X,O,O,O,O,X,O,O,X,O,O
ILOSTJZ,X,X,X,X,O,X,X,X,X,X,O,X,O,X,O,X,O,O,X,X,X,X,O,X,O,X,X,X,O,X,O,O
ILOSTZJ,X,X,X,X,O,X,X,X,X,X,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ILOSJTZ,X,X,X,X,O,O,O,O,O,X,O,O,O,X,O,X,O,O,X,X,X,X,O,X,O,X,X,X,O,X,O,O
ILOSJZT,X,O,X,O,O,O,O,O,O,X,O,O,O,O,O,X,O,O,X,X,X,X,O,X,O,O,X,O,O,X,O,O
ILOSZTJ,X,X,X,X,O,X,X,X,X,X,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X
ILOSZJT,X,O,X,O,O,O,O,O,O,X,O,O,O,O,O,X,O,O,X,X,X,X,O,X,O,O,X,O,O,X,O,O
ILOZTJS,X,X,X,X,O,O,O,O,X,X,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X
ILOZTSJ,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X
ILOZJTS,X,X,X,X,O,O,O,O,O,X,O,O,X,O,X,O,O,O,X,X,X,X,X,O,X,O,X,O,X,X,O,O
ILOZJST,X,O,X,O,O,O,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,X,O,O,O,O,X,O,O,X,O,O
ILOZSTJ,X,X,X,X,O,X,X,X,X,X,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X
ILOZSJT,X,O,X,O,O,O,O,O,O,X,O,O,O,O,O,X,O,O,X,X,X,X,O,X,O,O,X,O,O,X,O,O
IJTLSZO,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJTLSOZ,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IJTLZSO,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJTLZOS,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IJTLOSZ,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IJTLOZS,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IJTSLZO,O,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJTSLOZ,X,X,X,X,X,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IJTSZLO,O,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJTSZOL,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJTSOLZ,X,X,X,X,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJTSOZL,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJTZLSO,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJTZLOS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IJTZSLO,O,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJTZSOL,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJTZOLS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IJTZOSL,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJTOLSZ,X,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJTOLZS,X,X,X,X,O,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IJTOSLZ,X,X,X,X,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJTOSZL,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJTOZLS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IJTOZSL,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJLTSZO,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJLTSOZ,X,X,X,X,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IJLTZSO,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJLTZOS,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IJLTOSZ,X,X,X,X,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IJLTOZS,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IJLSTZO,O,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IJLSTOZ,X,X,X,X,X,X,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
IJLSZTO,O,O,O,O,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
IJLSZOT,O,O,O,O,X,X,O,O,X,O,O,O,O,O,O,O,X,X,X,X,X,X,O,O,X,X,O,O,X,X,O,O
IJLSOTZ,X,X,X,X,O,X,O,O,X,O,O,O,O,X,O,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,O,O
IJLSOZT,O,O,O,O,O,X,O,O,X,O,O,O,O,O,O,O,X,X,X,X,X,X,O,O,O,X,O,O,X,X,O,O
IJLZTSO,O,O,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IJLZTOS,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
IJLZSTO,O,O,O,O,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
IJLZSOT,O,O,O,O,X,X,O,O,X,O,O,O,O,O,O,O,X,X,X,X,X,X,O,O,X,X,O,O,X,X,O,O
IJLZOTS,X,X,X,X,X,O,O,O,X,O,O,O,X,O,X,O,X,X,X,X,X,X,X,O,X,O,X,O,X,X,O,O
IJLZOST,O,O,O,O,X,O,O,O,X,O,O,O,O,O,O,O,X,X,X,X,X,X,O,O,X,O,O,O,X,X,O,O
IJLOTSZ,X,X,X,X,O,O,O,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,O
