sequence,v115@GhA8GeC8HeB8AeA8AeB8BeC8JeZEJvhFzfBGhBiiBU?mBFqBXsB,v115@GhA8GeC8HeB8AeA8AeB8BeC8JeZEJvhFzfBfmBiiBW?sBFqB0rB,v115@GhA8GeC8HeB8AeA8AeB8BeC8Jex/IvhFylBzhBOpB3?nBFqB0rB,v115@GhA8GeC8HeB8AeA8AeB8BeC8JeZEJvhFFgBiiBfqBz?lBWsB0rB,v115@GhA8GeC8HeB8AeA8AeB8BeC8JeZEJvhFXhBzkBUnBG?rBFqBisB,v115@GhA8GeC8HeB8AeA8AeB8BeC8JexAJvhFiiBlkBcqBT?mBOpBXsB,v115@GhA8GeC8HeB8AeA8AeB8BeC8JeZEJvhFylBzhBWqB3?nB0rBFqB
TLIOZSJ,O,X,X,X,X,X,X
TLJISZO,O,O,O,X,X,X,X
TLJISOZ,O,O,X,O,X,X,X
TLJIZSO,O,O,O,X,X,X,X
TLJIZOS,O,O,O,X,X,X,X
TLJIOSZ,O,O,X,O,X,X,X
TLJIOZS,O,O,O,X,X,X,X
TLJSIZO,O,O,O,X,X,X,X
TLJSIOZ,O,O,X,O,X,X,X
TLJSZIO,O,O,O,X,X,X,X
TLJSZOI,O,O,O,X,X,X,X
TLJSOIZ,O,O,X,O,X,X,X
TLJSOZI,O,O,X,O,X,X,X
TLJZISO,O,O,O,X,X,X,X
TLJZIOS,O,O,O,X,X,X,X
TLJZSIO,O,O,O,X,X,X,X
TLJZSOI,O,O,O,X,X,X,X
TLJZOIS,O,O,O,X,X,X,X
TLJZOSI,O,O,O,X,X,X,X
TLJOISZ,O,O,X,O,X,X,X
TLJOIZS,O,O,O,X,X,X,X
TLJOSIZ,O,O,X,O,X,X,X
TLJOSZI,O,O,X,O,X,X,X
TLJOZIS,O,O,O,X,X,X,X
TLJOZSI,O,O,O,X,X,X,X
TLSIJZO,O,O,X,X,X,X,X
TLSIJOZ,O,O,X,O,X,X,X
TLSIZJO,O,X,X,X,X,X,X
TLSIZOJ,O,X,X,X,X,X,X
TLSIOJZ,O,O,X,X,X,X,X
TLSIOZJ,O,X,X,X,X,X,X
TLSJIZO,O,O,O,X,X,X,X
TLSJIOZ,O,O,X,O,X,X,X
TLSJZIO,O,O,O,X,X,X,X
TLSJZOI,O,O,O,X,X,X,X
TLSJOIZ,O,O,X,O,X,X,X
TLSJOZI,O,O,X,O,X,X,X
TLSZIJO,O,X,X,X,X,X,X
TLSZIOJ,O,X,X,X,X,O,X
TLSZJIO,O,X,O,X,X,X,X
TLSZJOI,O,X,O,X,X,O,X
TLSZOIJ,O,X,X,X,X,O,X
TLSZOJI,O,X,O,X,X,O,X
TLSOIJZ,O,O,X,X,X,X,X
TLSOIZJ,O,X,X,X,X,O,X
TLSOJIZ,O,O,X,X,X,X,X
TLSOJZI,O,O,X,X,X,X,X
TLSOZIJ,O,X,X,X,X,O,X
TLSOZJI,O,X,X,X,X,O,X
TLZIJSO,O,X,O,X,X,X,X
TLZIJOS,O,X,O,X,X,X,X
TLZISJO,O,X,X,X,X,X,X
TLZISOJ,O,X,X,X,X,O,X
TLZIOJS,O,X,O,X,X,O,X
TLZIOSJ,O,X,X,X,X,O,X
TLZJISO,O,X,O,X,X,X,X
TLZJIOS,O,X,O,X,X,X,X
TLZJSIO,O,X,O,X,X,X,X
TLZJSOI,O,X,O,X,X,O,X
TLZJOIS,O,X,O,X,X,O,X
TLZJOSI,O,X,O,X,X,O,X
TLZSIJO,O,X,X,X,X,X,X
TLZSIOJ,O,X,X,X,X,O,X
TLZSJIO,O,X,O,X,X,X,X
TLZSJOI,O,X,O,X,X,O,X
TLZSOIJ,O,X,X,X,X,O,X
TLZSOJI,O,X,O,X,X,O,X
TLZOIJS,O,X,O,X,X,O,X
TLZOISJ,O,X,X,X,X,O,X
TLZOJIS,O,X,O,X,X,O,X
TLZOJSI,O,X,O,X,X,O,X
TLZOSIJ,O,X,X,X,X,O,X
TLZOSJI,O,X,O,X,X,O,X
TLOIJSZ,O,O,X,X,X,X,X
TLOIJZS,O,O,X,X,X,X,X
TLOISJZ,O,O,X,X,X,X,X
TLOISZJ,O,X,X,X,X,X,X
TLOIZJS,O,X,X,X,X,O,X
TLOIZSJ,O,X,X,X,X,O,X
TLOJISZ,O,O,X,X,X,X,X
TLOJIZS,O,O,O,X,X,X,X
TLOJSIZ,O,O,X,X,X,X,X
TLOJSZI,O,O,X,X,X,X,X
TLOJZIS,O,O,O,X,X,X,X
TLOJZSI,O,O,O,X,X,X,X
TLOSIJZ,O,O,X,X,X,X,X
TLOSIZJ,O,X,X,X,X,X,X
TLOSJIZ,O,O,X,X,X,X,X
TLOSJZI,O,O,X,X,X,X,X
TLOSZIJ,O,X,X,X,X,X,X
TLOSZJI,O,X,X,X,X,X,X
TLOZIJS,O,X,O,X,X,O,X
TLOZISJ,O,X,X,X,X,O,X
TLOZJIS,O,X,O,X,X,O,X
TLOZJSI,O,X,O,X,X,O,X
TLOZSIJ,O,X,X,X,X,O,X
TLOZSJI,O,X,O,X,X,O,X
TJILSZO,O,O,O,X,X,X,X
TJILSOZ,O,O,X,O,X,X,X
TJILZSO,O,O,O,X,X,X,X
TJILZOS,O,O,O,X,X,X,O
TJILOSZ,O,O,X,O,X,X,X
TJILOZS,O,O,O,X,X,X,X
TJISLZO,O,O,O,X,X,X,X
TJISLOZ,O,O,X,O,X,X,X
TJISZLO,O,O,O,X,X,X,X
TJISZOL,O,O,O,X,O,X,X
TJISOLZ,O,O,X,O,X,X,X
TJISOZL,O,O,X,O,O,X,X
TJIZLSO,O,O,O,X,X,X,X
TJIZLOS,O,O,O,X,X,X,O
TJIZSLO,O,O,O,X,X,X,X
TJIZSOL,O,O,O,X,O,X,X
TJIZOLS,O,O,O,X,X,X,O
TJIZOSL,O,O,O,X,O,X,X
TJIOLSZ,O,O,X,O,X,X,X
TJIOLZS,O,O,O,X,X,X,X
TJIOSLZ,O,O,X,O,X,X,X
TJIOSZL,O,O,X,O,O,X,X
TJIOZLS,O,O,O,X,X,X,X
TJIOZSL,O,O,O,X,O,X,X
TJLISZO,O,O,O,X,X,X,X
TJLISOZ,O,O,X,O,X,X,X
TJLIZSO,O,O,O,X,X,X,X
TJLIZOS,O,O,O,X,X,X,O
TJLIOSZ,O,O,X,O,X,X,X
TJLIOZS,O,O,O,X,X,X,X
TJLSIZO,O,O,O,X,X,X,X
TJLSIOZ,O,O,X,O,X,X,X
TJLSZIO,O,O,O,X,X,X,X
TJLSZOI,O,O,O,X,X,X,X
TJLSOIZ,O,O,X,O,X,X,X
TJLSOZI,O,O,X,O,X,X,X
TJLZISO,O,O,O,X,X,X,X
TJLZIOS,O,O,O,X,X,X,O
TJLZSIO,O,O,O,X,X,X,X
TJLZSOI,O,O,O,X,X,X,X
TJLZOIS,O,O,O,X,X,X,O
TJLZOSI,O,O,O,X,X,X,X
TJLOISZ,O,O,X,O,X,X,X
TJLOIZS,O,O,O,X,X,X,X
TJLOSIZ,O,O,X,O,X,X,X
TJLOSZI,O,O,X,O,X,X,X
TJLOZIS,O,O,O,X,X,X,X
TJLOZSI,O,O,O,X,X,X,X
TJSILZO,O,O,O,X,X,X,X
TJSILOZ,O,O,X,O,X,X,X
TJSIZLO,O,O,O,X,X,X,X
TJSIZOL,O,O,O,X,O,X,X
TJSIOLZ,O,O,X,O,X,X,X
TJSIOZL,O,O,X,O,O,X,X
TJSLIZO,O,O,O,X,X,X,X
TJSLIOZ,O,O,X,O,X,X,X
TJSLZIO,O,O,O,X,X,X,X
TJSLZOI,O,O,O,X,X,X,X
TJSLOIZ,O,O,X,O,X,X,X
TJSLOZI,O,O,X,O,X,X,X
TJSZILO,O,O,O,X,X,X,X
TJSZIOL,O,O,O,X,O,X,X
TJSZLIO,O,O,O,X,X,X,X
TJSZLOI,O,O,O,X,X,X,X
TJSZOIL,O,O,O,X,O,X,X
TJSZOLI,O,O,O,X,X,X,X
TJSOILZ,O,O,X,O,X,X,X
TJSOIZL,O,O,X,O,O,X,X
TJSOLIZ,O,O,X,O,X,X,X
TJSOLZI,O,O,X,O,X,X,X
TJSOZIL,O,O,X,O,O,X,X
TJSOZLI,O,O,X,O,X,X,X
TJZILSO,O,O,O,X,X,X,X
TJZILOS,O,O,O,X,X,X,O
TJZISLO,O,O,O,X,X,X,X
TJZISOL,O,O,O,X,O,X,X
TJZIOLS,O,O,O,X,X,X,O
TJZIOSL,O,O,O,X,O,X,X
TJZLISO,O,O,O,X,X,X,X
TJZLIOS,O,O,O,X,X,X,O
TJZLSIO,O,O,O,X,X,X,X
TJZLSOI,O,O,O,X,X,X,X
TJZLOIS,O,O,O,X,X,X,O
TJZLOSI,O,O,O,X,X,X,X
TJZSILO,O,O,O,X,X,X,X
TJZSIOL,O,O,O,X,O,X,X
TJZSLIO,O,O,O,X,X,X,X
TJZSLOI,O,O,O,X,X,X,X
TJZSOIL,O,O,O,X,O,X,X
TJZSOLI,O,O,O,X,X,X,X
TJZOILS,O,O,O,X,X,X,O
TJZOISL,O,O,O,X,O,X,X
TJZOLIS,O,O,O,X,X,X,O
TJZOLSI,O,O,O,X,X,X,X
TJZOSIL,O,O,O,X,O,X,X
TJZOSLI,O,O,O,X,X,X,X
TJOILSZ,O,O,X,O,X,X,X
TJOILZS,O,O,O,X,X,X,X
TJOISLZ,O,O,X,O,X,X,X
TJOISZL,O,O,X,O,O,X,X
TJOIZLS,O,O,O,X,X,X,X
TJOIZSL,O,O,O,X,O,X,X
TJOLISZ,O,O,X,O,X,X,X
TJOLIZS,O,O,O,X,X,X,X
TJOLSIZ,O,O,X,O,X,X,X
TJOLSZI,O,O,X,O,X,X,X
TJOLZIS,O,O,O,X,X,X,X
TJOLZSI,O,O,O,X,X,X,X
TJOSILZ,O,O,X,O,X,X,X
TJOSIZL,O,O,X,O,O,X,X
TJOSLIZ,O,O,X,O,X,X,X
TJOSLZI,O,O,X,O,X,X,X
TJOSZIL,O,O,X,O,O,X,X
TJOSZLI,O,O,X,O,X,X,X
TJOZILS,O,O,O,X,X,X,X
TJOZISL,O,O,O,X,O,X,X
TJOZLIS,O,O,O,X,X,X,X
TJOZLSI,O,O,O,X,X,X,X
TJOZSIL,O,O,O,X,O,X,X
TJOZSLI,O,O,O,X,X,X,X
TSILJZO,O,O,X,X,X,X,X
TSILJOZ,O,O,X,O,X,X,X
TSILZJO,O,X,X,X,X,X,X
TSILZOJ,O,X,X,X,X,X,X
TSILOJZ,O,O,X,O,X,X,X
TSILOZJ,O,X,X,X,X,X,X
TSIJLZO,O,O,X,X,X,X,X
TSIJLOZ,O,O,X,O,X,X,X
TSIJZLO,O,O,X,X,X,X,X
TSIJZOL,O,O,X,X,X,X,X
TSIJOLZ,O,O,X,O,X,X,X
TSIJOZL,O,O,X,O,X,X,X
TSIZLJO,O,X,X,X,X,X,X
TSIZLOJ,O,X,X,X,X,X,X
TSIZJLO,O,O,X,X,X,X,X
TSIZJOL,O,O,X,X,X,X,X
TSIZOLJ,O,X,X,X,X,X,X
TSIZOJL,O,O,X,O,X,X,X
TSIOLJZ,O,O,X,O,X,X,X
TSIOLZJ,O,X,X,X,X,X,X
TSIOJLZ,O,O,X,O,X,X,X
TSIOJZL,O,O,X,O,X,X,X
TSIOZLJ,O,X,X,X,X,X,X
TSIOZJL,O,O,X,O,X,X,X
TSLIJZO,O,O,X,X,X,X,X
TSLIJOZ,O,O,X,O,X,X,X
TSLIZJO,O,X,X,X,X,X,X
TSLIZOJ,O,X,X,X,X,X,X
TSLIOJZ,O,O,X,O,X,X,X
TSLIOZJ,O,X,X,X,X,X,X
TSLJIZO,O,O,O,X,X,X,X
TSLJIOZ,O,O,X,O,X,X,X
TSLJZIO,O,O,O,X,X,X,X
TSLJZOI,O,O,O,X,X,X,X
TSLJOIZ,O,O,X,O,X,X,X
TSLJOZI,O,O,X,O,X,X,X
TSLZIJO,O,X,X,X,X,X,X
TSLZIOJ,O,X,X,X,X,O,X
TSLZJIO,O,X,O,X,X,X,X
TSLZJOI,O,X,O,X,X,O,X
TSLZOIJ,O,X,X,X,X,O,X
TSLZOJI,O,X,O,X,X,O,X
TSLOIJZ,O,O,X,O,X,X,X
TSLOIZJ,O,X,X,X,X,O,X
TSLOJIZ,O,O,X,O,X,X,X
TSLOJZI,O,O,X,O,X,X,X
TSLOZIJ,O,X,X,X,X,O,X
TSLOZJI,O,X,X,X,X,O,X
TSJILZO,O,O,O,X,X,X,X
TSJILOZ,O,O,X,O,X,X,X
TSJIZLO,O,O,O,X,X,X,X
TSJIZOL,O,O,O,X,X,X,X
TSJIOLZ,O,O,X,O,X,X,X
TSJIOZL,O,O,X,O,X,X,X
TSJLIZO,O,O,O,X,X,X,X
TSJLIOZ,O,O,X,O,X,X,X
TSJLZIO,O,O,O,X,X,X,X
TSJLZOI,O,O,O,X,X,X,X
TSJLOIZ,O,O,X,O,X,X,X
TSJLOZI,O,O,X,O,X,X,X
TSJZILO,O,O,O,X,X,X,X
TSJZIOL,O,O,O,X,X,X,X
TSJZLIO,O,O,O,X,X,X,X
TSJZLOI,O,O,O,X,X,X,X
TSJZOIL,O,O,O,X,X,X,X
TSJZOLI,O,O,O,X,X,X,X
TSJOILZ,O,O,X,O,X,X,X
TSJOIZL,O,O,X,O,X,X,X
TSJOLIZ,O,O,X,O,X,X,X
TSJOLZI,O,O,X,O,X,X,X
TSJOZIL,O,O,X,O,X,X,X
TSJOZLI,O,O,X,O,X,X,X
TSZILJO,O,X,X,X,X,X,X
TSZILOJ,O,X,X,X,X,O,X
TSZIJLO,O,O,X,X,X,X,X
TSZIJOL,O,O,X,X,X,X,X
TSZIOLJ,O,X,X,X,X,O,X
TSZIOJL,O,O,X,O,X,O,X
TSZLIJO,O,X,X,X,X,X,X
TSZLIOJ,O,X,X,X,X,O,X
TSZLJIO,O,X,O,X,X,X,X
TSZLJOI,O,X,O,X,X,O,X
TSZLOIJ,O,X,X,X,X,O,X
TSZLOJI,O,X,O,X,X,O,X
TSZJILO,O,O,O,X,X,X,X
TSZJIOL,O,O,O,X,X,X,X
TSZJLIO,O,O,O,X,X,X,X
TSZJLOI,O,O,O,X,X,O,X
TSZJOIL,O,O,O,X,X,O,X
TSZJOLI,O,O,O,X,X,O,X
TSZOILJ,O,X,X,X,X,O,X
TSZOIJL,O,O,X,O,X,O,X
TSZOLIJ,O,X,X,X,X,O,X
TSZOLJI,O,X,O,X,X,O,X
TSZOJIL,O,O,O,O,X,O,X
TSZOJLI,O,O,O,O,X,O,X
TSOILJZ,O,O,X,O,X,X,X
TSOILZJ,O,X,X,X,X,O,X
TSOIJLZ,O,O,X,O,X,X,X
TSOIJZL,O,O,X,O,X,X,X
TSOIZLJ,O,X,X,X,X,O,X
TSOIZJL,O,O,X,O,X,O,X
TSOLIJZ,O,O,X,O,X,X,X
TSOLIZJ,O,X,X,X,X,O,X
TSOLJIZ,O,O,X,O,X,X,X
TSOLJZI,O,O,X,O,X,X,X
TSOLZIJ,O,X,X,X,X,O,X
TSOLZJI,O,X,X,X,X,O,X
TSOJILZ,O,O,X,O,X,X,X
TSOJIZL,O,O,X,O,X,X,X
TSOJLIZ,O,O,X,O,X,X,X
TSOJLZI,O,O,X,O,X,X,X
TSOJZIL,O,O,X,O,X,X,X
TSOJZLI,O,O,X,O,X,X,X
TSOZILJ,O,X,X,X,X,O,X
TSOZIJL,O,O,X,O,X,O,X
TSOZLIJ,O,X,X,X,X,O,X
TSOZLJI,O,X,X,X,X,O,X
TSOZJIL,O,O,X,O,X,O,X
TSOZJLI,O,O,X,O,X,O,X
TZILJSO,O,X,O,X,X,X,X
TZILJOS,O,X,O,X,X,X,O
TZILSJO,O,X,X,X,X,X,X
TZILSOJ,O,X,X,X,X,O,X
TZILOJS,O,X,O,X,X,O,O
TZILOSJ,O,X,X,X,X,O,X
TZIJLSO,O,O,O,X,X,X,X
TZIJLOS,O,O,O,X,X,X,O
TZIJSLO,O,O,O,X,X,X,X
TZIJSOL,O,O,O,X,O,X,X
TZIJOLS,O,O,O,X,X,X,O
TZIJOSL,O,O,O,X,O,X,X
TZISLJO,O,X,X,X,X,X,X
TZISLOJ,O,X,X,X,X,O,X
TZISJLO,O,O,X,X,X,X,X
TZISJOL,O,O,X,X,O,X,X
TZISOLJ,O,X,X,X,X,O,X
TZISOJL,O,O,X,X,O,O,X
TZIOLJS,O,X,O,X,X,O,O
TZIOLSJ,O,X,X,X,X,O,X
TZIOJLS,O,O,O,X,X,O,O
TZIOJSL,O,O,O,X,O,X,X
TZIOSLJ,O,X,X,X,X,O,X
TZIOSJL,O,O,X,X,O,X,X
TZLIJSO,O,X,O,X,X,X,X
TZLIJOS,O,X,O,X,X,X,O
TZLISJO,O,X,X,X,X,X,X
TZLISOJ,O,X,X,X,X,O,X
TZLIOJS,O,X,O,X,X,O,O
TZLIOSJ,O,X,X,X,X,O,X
TZLJISO,O,X,O,X,X,X,X
TZLJIOS,O,X,O,X,X,X,O
TZLJSIO,O,X,O,X,X,X,X
TZLJSOI,O,X,O,X,X,O,X
TZLJOIS,O,X,O,X,X,O,O
TZLJOSI,O,X,O,X,X,O,X
TZLSIJO,O,X,X,X,X,X,X
TZLSIOJ,O,X,X,X,X,O,X
TZLSJIO,O,X,O,X,X,X,X
TZLSJOI,O,X,O,X,X,O,X
TZLSOIJ,O,X,X,X,X,O,X
TZLSOJI,O,X,O,X,X,O,X
TZLOIJS,O,X,O,X,X,O,O
TZLOISJ,O,X,X,X,X,O,X
TZLOJIS,O,X,O,X,X,O,O
TZLOJSI,O,X,O,X,X,O,X
TZLOSIJ,O,X,X,X,X,O,X
TZLOSJI,O,X,O,X,X,O,X
TZJILSO,O,O,O,X,X,X,X
TZJILOS,O,O,O,X,X,X,O
TZJISLO,O,O,O,X,X,X,X
TZJISOL,O,O,O,X,O,X,X
TZJIOLS,O,O,O,X,X,X,O
TZJIOSL,O,O,O,X,O,X,X
TZJLISO,O,O,O,X,X,X,X
TZJLIOS,O,O,O,X,X,X,O
TZJLSIO,O,O,O,X,X,X,X
TZJLSOI,O,O,O,X,X,O,X
TZJLOIS,O,O,O,X,X,O,O
TZJLOSI,O,O,O,X,X,O,X
TZJSILO,O,O,O,X,X,X,X
TZJSIOL,O,O,O,X,O,X,X
TZJSLIO,O,O,O,X,X,X,X
TZJSLOI,O,O,O,X,X,O,X
TZJSOIL,O,O,O,X,O,O,X
TZJSOLI,O,O,O,X,X,O,X
TZJOILS,O,O,O,X,X,O,O
TZJOISL,O,O,O,X,O,X,X
TZJOLIS,O,O,O,X,X,O,O
TZJOLSI,O,O,O,X,X,O,X
TZJOSIL,O,O,O,X,O,X,X
TZJOSLI,O,O,O,X,X,X,X
TZSILJO,O,X,X,X,X,X,X
TZSILOJ,O,X,X,X,X,O,X
TZSIJLO,O,O,X,X,X,X,X
TZSIJOL,O,O,X,X,O,X,X
TZSIOLJ,O,X,X,X,X,O,X
TZSIOJL,O,O,X,X,O,O,X
TZSLIJO,O,X,X,X,X,X,X
TZSLIOJ,O,X,X,X,X,O,X
TZSLJIO,O,X,O,X,X,X,X
TZSLJOI,O,X,O,X,X,O,X
TZSLOIJ,O,X,X,X,X,O,X
TZSLOJI,O,X,O,X,X,O,X
TZSJILO,O,O,O,X,X,X,X
TZSJIOL,O,O,O,X,O,X,X
TZSJLIO,O,O,O,X,X,X,X
TZSJLOI,O,O,O,X,X,O,X
TZSJOIL,O,O,O,X,O,O,X
TZSJOLI,O,O,O,X,X,O,X
TZSOILJ,O,X,X,X,X,O,X
TZSOIJL,O,O,X,X,O,O,X
TZSOLIJ,O,X,X,X,X,O,X
TZSOLJI,O,X,O,X,X,O,X
TZSOJIL,O,O,O,X,X,O,X
TZSOJLI,O,O,O,X,X,O,X
TZOILJS,O,X,O,X,X,O,O
TZOILSJ,O,X,X,X,X,O,X
TZOIJLS,O,O,O,X,X,O,O
TZOIJSL,O,O,O,X,O,X,X
TZOISLJ,O,X,X,X,X,O,X
TZOISJL,O,O,X,X,O,X,X
TZOLIJS,O,X,O,X,X,O,O
TZOLISJ,O,X,X,X,X,O,X
TZOLJIS,O,X,O,X,X,O,O
TZOLJSI,O,X,O,X,X,O,X
TZOLSIJ,O,X,X,X,X,O,X
TZOLSJI,O,X,O,X,X,O,X
TZOJILS,O,O,O,X,X,O,O
TZOJISL,O,O,O,X,O,X,X
TZOJLIS,O,O,O,X,X,O,O
TZOJLSI,O,O,O,X,X,O,X
TZOJSIL,O,O,O,X,O,X,X
TZOJSLI,O,O,O,X,X,X,X
TZOSILJ,O,X,X,X,X,O,X
TZOSIJL,O,O,X,X,O,O,X
TZOSLIJ,O,X,X,X,X,O,X
TZOSLJI,O,X,O,X,X,O,X
TZOSJIL,O,O,O,X,X,O,X
