sequence,v115@PhB8FeE8DeE8Jex/IvhFmhBCjBTkBcrBXqBlqB,v115@PhB8FeE8DeE8JezAJvhFWnBxiBypBFrB/pBUqB,v115@PhB8FeE8DeE8JeT/IvhFWnBxiBilBllB0pBXrB,v115@PhB8FeE8DeE8Je0/IvhFmgBzhBCjB/pBxqB1vB,v115@PhB8FeE8DeE8JeRAJvhFzhBCjBVrBmpB/pB0qB,v115@PhB8FeE8DeE8Jex/IvhFXhB8mBCjBlpBzqBmpB
TLSJOIZ,X,O,X,X,X,X
TLSJOZI,X,O,X,X,X,X
TLSZIJO,X,X,X,X,X,X
TLSZIOJ,X,X,X,X,X,X
TLSZJIO,X,X,X,X,X,X
TLSZJOI,X,X,X,X,X,X
TLSZOIJ,X,X,X,X,X,X
TLSZOJI,X,X,X,X,X,X
TLSOIJZ,X,O,X,X,X,X
TLSOIZJ,X,X,X,X,X,X
TLSOJIZ,X,O,X,X,X,X
TLSOJZI,X,O,X,X,X,X
TLSOZIJ,X,X,X,X,X,X
TLSOZJI,X,X,X,X,X,X
TLZIJSO,X,X,X,X,X,X
TLZIJOS,X,X,X,X,X,X
TLZISJO,X,X,X,X,X,X
TLZISOJ,X,X,X,X,X,X
TLZIOJS,X,X,X,X,X,X
TLZIOSJ,X,X,X,X,X,X
TLZJISO,X,X,X,X,X,X
TLZJIOS,X,X,X,X,X,X
TLZJSIO,X,X,X,X,X,X
TLZJSOI,X,X,X,X,X,X
TLZJOIS,X,X,X,X,X,X
TLZJOSI,X,X,X,X,X,X
TLZSIJO,X,X,X,X,X,X
TLZSIOJ,X,X,X,X,X,X
TLZSJIO,X,X,X,X,X,X
TLZSJOI,X,X,X,X,X,X
TLZSOIJ,X,X,X,X,X,X
TLZSOJI,X,X,X,X,X,X
TLZOIJS,X,X,X,X,X,X
TLZOISJ,X,X,X,X,X,X
TLZOJIS,X,X,X,X,X,O
TLZOJSI,X,X,X,X,X,O
TLZOSIJ,X,X,X,X,X,O
TLZOSJI,X,X,X,X,X,O
TLOIJSZ,X,O,X,X,X,X
TLOIJZS,X,X,X,X,X,X
TLOISJZ,X,O,X,X,X,X
TLOISZJ,X,X,X,X,X,X
TLOIZJS,X,X,X,X,X,X
TLOIZSJ,X,X,X,X,X,X
TLOJISZ,X,O,X,X,X,X
TLOJIZS,X,X,X,X,X,X
TLOJSIZ,X,O,X,X,O,X
TLOJSZI,X,O,X,X,O,X
TLOJZIS,X,X,X,X,X,X
TLOJZSI,X,X,X,X,O,X
TLOSIJZ,X,O,X,X,X,X
TLOSIZJ,X,X,X,X,X,X
TLOSJIZ,X,O,X,X,X,X
TLOSJZI,X,O,X,X,X,X
TLOSZIJ,X,X,X,X,X,X
TLOSZJI,X,X,X,X,X,X
TLOZIJS,X,X,X,X,X,X
TLOZISJ,X,X,X,X,X,X
TLOZJIS,X,X,X,X,X,O
TLOZJSI,X,X,X,X,X,O
TLOZSIJ,X,X,X,X,X,O
TLOZSJI,X,X,X,X,X,O
TJILSZO,X,X,X,X,X,X
TJILSOZ,X,O,X,X,X,X
TJILZSO,X,X,X,X,X,X
TJILZOS,X,X,X,X,X,X
TJILOSZ,X,O,X,X,X,X
TJILOZS,X,X,X,X,X,X
TJISLZO,X,X,X,X,X,X
TJISLOZ,X,X,X,X,X,X
TJISZLO,X,X,X,X,X,X
TJISZOL,X,X,X,X,X,X
TJISOLZ,X,X,X,X,X,X
TJISOZL,X,X,X,X,X,X
TJIZLSO,X,X,X,X,X,X
TJIZLOS,X,X,X,X,X,X
TJIZSLO,X,X,X,X,X,X
TJIZSOL,X,X,X,X,X,X
TJIZOLS,X,X,X,X,X,X
TJIZOSL,X,X,X,X,X,X
TJIOLSZ,X,O,X,X,X,X
TJIOLZS,X,X,X,X,X,X
TJIOSLZ,X,X,X,X,X,X
TJIOSZL,X,X,X,X,X,X
TJIOZLS,X,X,X,X,X,X
TJIOZSL,X,X,X,X,X,X
TJLISZO,X,X,X,X,X,X
TJLISOZ,X,O,X,X,X,X
TJLIZSO,X,X,X,X,X,X
TJLIZOS,X,X,X,X,X,X
TJLIOSZ,X,O,X,X,X,X
TJLIOZS,X,X,X,X,X,X
TJLSIZO,X,X,X,X,X,X
TJLSIOZ,X,O,X,X,O,X
TJLSZIO,X,X,X,X,O,X
TJLSZOI,X,X,X,X,O,X
TJLSOIZ,X,O,X,X,O,X
TJLSOZI,X,O,X,X,O,X
