sequence,v115@QhA8DeA8AeD8AeA8BeA8AeD8JeZEJvhFukB3gBUiBF?jB6rBTqB,v115@QhA8DeA8AeD8AeA8BeA8AeD8JeZEJvhFzfBulBFiBX?jB6rBUqB,v115@QhA8DeA8AeD8AeA8BeA8AeD8JeZEJvhFzfBulBXjBl?mBUqBCsB,v115@QhA8DeA8AeD8AeA8BeA8AeD8Jei/IvhF1lBxhBXjBc?pBurBTqB,v115@QhA8DeA8AeD8AeA8BeA8AeD8JeZEJvhFulBFiBXjBz?kB6rBUqB,v115@QhA8DeA8AeD8AeA8BeA8AeD8JeZEJvhFulBXjBzkBl?mBUqBCsB
TLOSJIZ,O,O,X,X,O,O
TLOSJZI,O,X,X,X,O,X
TLOSZIJ,O,O,X,X,O,X
TLOSZJI,O,O,X,X,O,X
TLOZIJS,O,O,X,X,O,X
TLOZISJ,O,O,X,X,O,X
TLOZJIS,O,O,X,X,O,X
TLOZJSI,O,O,X,X,O,X
TLOZSIJ,O,O,X,X,O,X
TLOZSJI,O,O,X,X,O,X
TJILSZO,O,X,O,O,X,X
TJILSOZ,O,X,X,X,X,O
TJILZSO,O,X,O,O,X,X
TJILZOS,O,X,O,O,X,X
TJILOSZ,O,X,X,X,X,O
TJILOZS,O,X,X,X,X,X
TJISLZO,O,X,O,O,X,X
TJISLOZ,O,X,X,X,X,O
TJISZLO,X,O,O,O,X,X
TJISZOL,X,O,O,O,X,O
TJISOLZ,X,X,X,O,X,O
TJISOZL,X,X,O,O,X,O
TJIZLSO,O,O,O,O,X,X
TJIZLOS,O,O,O,O,X,X
TJIZSLO,X,O,O,O,X,X
TJIZSOL,X,O,O,O,X,O
TJIZOLS,O,O,O,O,X,X
TJIZOSL,O,O,O,O,X,O
TJIOLSZ,O,X,X,O,X,O
TJIOLZS,O,X,X,O,X,X
TJIOSLZ,O,X,X,O,X,O
TJIOSZL,O,X,O,O,X,O
TJIOZLS,O,X,O,O,X,X
TJIOZSL,O,X,O,O,X,O
TJLISZO,O,X,O,O,X,X
TJLISOZ,O,X,X,X,X,O
TJLIZSO,O,X,O,O,X,X
TJLIZOS,O,X,O,O,X,X
TJLIOSZ,O,X,X,X,X,O
TJLIOZS,O,X,X,X,X,X
TJLSIZO,O,X,O,O,X,X
TJLSIOZ,O,X,X,X,X,O
TJLSZIO,O,X,X,O,X,X
TJLSZOI,O,X,X,O,X,X
TJLSOIZ,O,X,X,X,X,O
TJLSOZI,O,X,X,X,X,X
TJLZISO,O,X,X,O,X,X
TJLZIOS,O,X,X,O,X,X
TJLZSIO,O,X,X,O,X,X
TJLZSOI,O,X,X,O,X,X
TJLZOIS,O,X,X,O,X,X
TJLZOSI,O,X,X,O,X,X
TJLOISZ,O,X,X,X,X,O
TJLOIZS,O,X,X,X,X,X
TJLOSIZ,O,X,X,X,X,O
TJLOSZI,O,X,X,X,X,X
TJLOZIS,O,X,X,X,X,X
TJLOZSI,O,X,X,X,X,X
TJSILZO,O,X,O,O,X,X
TJSILOZ,O,X,X,X,X,O
TJSIZLO,X,O,O,O,X,X
TJSIZOL,X,O,O,O,X,O
TJSIOLZ,X,X,X,O,X,O
TJSIOZL,X,X,O,O,X,O
TJSLIZO,O,X,O,O,X,X
TJSLIOZ,O,X,X,X,X,O
TJSLZIO,O,X,X,O,X,X
TJSLZOI,O,X,X,O,X,X
TJSLOIZ,O,X,X,X,X,O
TJSLOZI,O,X,X,X,X,X
TJSZILO,X,O,O,O,X,X
TJSZIOL,X,O,O,O,X,O
TJSZLIO,X,O,O,O,X,X
TJSZLOI,X,O,O,O,X,X
TJSZOIL,X,O,O,O,X,O
TJSZOLI,X,O,O,O,X,X
TJSOILZ,X,X,X,O,X,O
TJSOIZL,X,X,O,O,X,O
TJSOLIZ,X,X,X,O,X,O
TJSOLZI,X,X,X,O,X,X
TJSOZIL,X,X,X,O,X,O
TJSOZLI,X,X,X,O,X,X
TJZILSO,O,O,O,O,X,X
TJZILOS,O,O,O,O,X,X
TJZISLO,X,O,O,O,X,X
TJZISOL,X,O,O,O,X,O
TJZIOLS,O,O,O,O,X,X
TJZIOSL,O,O,O,O,X,O
TJZLISO,O,O,O,O,X,X
TJZLIOS,O,O,O,O,X,X
TJZLSIO,O,O,O,O,X,X
TJZLSOI,O,O,O,O,X,X
TJZLOIS,O,O,O,O,X,X
TJZLOSI,O,O,O,O,X,X
TJZSILO,X,O,O,O,X,X
TJZSIOL,X,O,O,O,X,O
TJZSLIO,X,O,O,O,X,X
TJZSLOI,X,O,O,O,X,X
TJZSOIL,X,O,O,O,X,O
TJZSOLI,X,O,O,O,X,X
TJZOILS,O,O,O,O,X,X
TJZOISL,O,O,O,O,X,O
TJZOLIS,O,O,O,O,X,X
TJZOLSI,O,O,O,O,X,X
TJZOSIL,O,O,O,O,X,O
TJZOSLI,O,O,O,O,X,X
TJOILSZ,O,X,X,O,X,O
TJOILZS,O,X,X,O,X,X
TJOISLZ,O,X,X,O,X,O
TJOISZL,O,X,O,O,X,O
TJOIZLS,O,X,O,O,X,X
TJOIZSL,O,X,O,O,X,O
TJOLISZ,O,X,X,O,X,O
TJOLIZS,O,X,X,O,X,X
TJOLSIZ,O,X,X,O,X,O
TJOLSZI,O,X,X,O,X,X
TJOLZIS,O,X,X,O,X,X
TJOLZSI,O,X,X,O,X,X
TJOSILZ,O,X,X,O,X,O
TJOSIZL,O,X,O,O,X,O
TJOSLIZ,O,X,X,O,X,O
TJOSLZI,O,X,X,O,X,X
TJOSZIL,O,X,X,O,X,O
TJOSZLI,O,X,X,O,X,X
TJOZILS,O,X,X,O,X,X
TJOZISL,O,X,X,O,X,O
TJOZLIS,O,X,X,O,X,X
TJOZLSI,O,X,X,O,X,X
TJOZSIL,O,X,X,O,X,O
TJOZSLI,O,X,X,O,X,X
TSILJZO,O,O,O,X,O,X
