sequence,v115@FhB8HeB8HeB8AeA8AeB8BeC8JeZEJvhFukBfmB0hB6?nBNqBzrB,v115@FhB8HeB8HeB8AeA8AeB8BeC8JeZEJvhFukBzgBfnB6?nBNqB0rB,v115@FhB8HeB8HeB8AeA8AeB8BeC8JeZEJvhFCgB8lB+mBT?iBdqBXsB,v115@FhB8HeB8HeB8AeA8AeB8BeC8JeZEJvhFukB3gB9nB0?mBiqBzrB,v115@FhB8HeB8HeB8AeA8AeB8BeC8Jei/IvhFfmBxhBcpBN?qBGnBzrB,v115@FhB8HeB8HeB8AeA8AeB8BeC8JeZEJvhFtkBzhB+nB3?lB0rBiqB,v115@FhB8HeB8HeB8AeA8AeB8BeC8Jex/IvhFXiBOpBdqBz?lBSsB0rB,v115@FhB8HeB8HeB8AeA8AeB8BeC8Jei/IvhFzgBWnBcpBN?qBxrBXsB,v115@FhB8HeB8HeB8AeA8AeB8BeC8Jex/IvhFXiBOpBdqBz?lBcsB6rB,v115@FhB8HeB8HeB8AeA8AeB8BeC8JezAJvhFfnB6nBxpB0?rBOpBdqB,v115@FhB8HeB8HeB8AeA8AeB8BeC8JefGJvhFxhBTkBNqBu?rBcsBipB
TLJSOIZ,X,X,X,X,X,X,O,X,X,X,X
TLJSOZI,X,X,X,X,X,X,O,X,X,X,X
TLJZISO,X,X,X,O,X,X,X,X,X,X,X
TLJZIOS,X,X,X,X,X,X,X,X,X,X,X
TLJZSIO,X,X,X,O,X,X,X,X,X,X,X
TLJZSOI,X,X,X,X,X,X,X,X,X,X,X
TLJZOIS,X,X,X,X,X,X,X,X,X,X,X
TLJZOSI,X,X,X,X,X,X,X,X,X,X,X
TLJOISZ,O,X,X,X,X,X,O,X,X,X,X
TLJOIZS,X,X,X,X,X,X,X,X,X,X,X
TLJOSIZ,O,X,X,X,X,X,O,X,X,X,X
TLJOSZI,O,X,X,X,X,X,O,X,X,X,X
TLJOZIS,X,X,X,X,X,X,X,X,X,X,X
TLJOZSI,X,X,X,X,X,X,X,X,X,X,X
TLSIJZO,O,X,X,O,X,X,X,X,X,X,X
TLSIJOZ,X,X,X,X,X,X,X,X,X,X,X
TLSIZJO,O,X,O,O,X,X,X,X,X,X,X
TLSIZOJ,X,X,X,X,X,X,X,X,X,X,X
TLSIOJZ,X,X,X,X,X,X,X,X,X,X,X
TLSIOZJ,X,X,X,X,X,X,X,X,X,X,X
TLSJIZO,O,X,X,O,X,X,X,X,X,X,X
TLSJIOZ,X,X,X,X,X,X,X,X,X,X,X
TLSJZIO,O,X,X,O,X,X,X,X,X,X,X
TLSJZOI,X,X,X,X,X,X,X,X,X,X,X
TLSJOIZ,X,X,X,X,X,X,O,X,X,X,X
TLSJOZI,X,X,X,X,X,X,O,X,X,X,X
TLSZIJO,O,X,O,O,X,X,X,X,X,X,X
TLSZIOJ,X,X,X,X,X,X,X,X,X,X,X
TLSZJIO,O,X,O,O,X,X,X,X,X,X,X
TLSZJOI,X,X,O,X,X,X,X,X,X,X,X
TLSZOIJ,X,X,X,X,X,X,X,X,X,X,X
TLSZOJI,X,X,X,X,X,X,X,X,X,X,X
TLSOIJZ,X,X,X,X,X,X,X,X,X,X,X
TLSOIZJ,X,X,X,X,X,X,X,X,X,X,X
TLSOJIZ,X,X,X,X,X,X,O,X,X,X,X
TLSOJZI,X,X,X,X,X,X,O,X,X,X,X
TLSOZIJ,X,X,X,X,X,X,X,X,X,X,X
TLSOZJI,X,X,X,X,X,X,X,X,X,X,X
TLZIJSO,X,X,O,O,X,X,X,X,X,X,X
TLZIJOS,X,X,X,X,X,X,X,X,X,X,X
TLZISJO,X,X,O,O,X,X,X,X,X,X,X
TLZISOJ,X,X,X,X,X,X,X,X,X,X,X
TLZIOJS,X,X,X,X,X,X,X,X,X,X,X
TLZIOSJ,X,X,X,X,X,X,X,X,X,X,X
TLZJISO,X,X,O,O,X,X,X,X,X,X,X
TLZJIOS,X,X,X,X,X,X,X,X,X,X,X
TLZJSIO,X,X,O,O,X,X,X,X,X,X,X
TLZJSOI,X,X,O,X,X,X,X,X,X,X,X
TLZJOIS,X,X,X,X,X,X,X,X,X,X,X
TLZJOSI,X,X,X,X,X,X,X,X,X,X,X
TLZSIJO,X,X,O,O,X,X,X,X,X,X,X
TLZSIOJ,X,X,X,X,X,X,X,X,X,X,X
TLZSJIO,X,X,O,O,X,X,X,X,X,X,X
TLZSJOI,X,X,O,X,X,X,X,X,X,X,X
TLZSOIJ,X,X,X,X,X,X,X,X,X,X,X
TLZSOJI,X,X,X,X,X,X,X,X,X,X,X
TLZOIJS,X,X,X,X,X,X,X,X,X,X,X
TLZOISJ,X,X,X,X,X,X,X,X,X,X,X
TLZOJIS,X,X,X,X,X,X,X,X,X,X,X
TLZOJSI,X,X,X,X,X,X,X,X,X,X,X
TLZOSIJ,X,X,X,X,X,X,X,X,X,X,X
TLZOSJI,X,X,X,X,X,X,X,X,X,X,X
TLOIJSZ,O,X,X,X,X,X,X,X,X,X,X
TLOIJZS,X,X,X,X,X,X,X,X,X,X,X
TLOISJZ,O,X,X,X,X,X,X,X,X,X,X
TLOISZJ,O,X,X,X,X,X,X,X,X,X,X
TLOIZJS,X,X,X,X,X,X,X,X,X,X,X
TLOIZSJ,X,X,X,X,X,X,X,X,X,X,X
TLOJISZ,O,X,X,X,X,X,O,X,X,X,X
TLOJIZS,X,X,X,X,X,X,X,X,X,X,X
TLOJSIZ,O,X,X,X,X,X,O,X,X,X,X
TLOJSZI,O,X,X,X,X,X,O,X,X,X,X
TLOJZIS,X,X,X,X,X,X,X,X,X,X,X
TLOJZSI,X,X,X,X,X,X,X,X,X,X,X
TLOSIJZ,O,X,X,X,X,X,X,X,X,X,X
TLOSIZJ,O,X,X,X,X,X,X,X,X,X,X
TLOSJIZ,O,X,X,X,X,X,O,X,X,X,X
TLOSJZI,O,X,X,X,X,X,O,X,X,X,X
TLOSZIJ,O,X,X,X,X,X,X,X,X,X,X
TLOSZJI,O,X,X,X,X,X,X,X,X,X,X
TLOZIJS,X,X,X,X,X,X,X,X,X,X,X
TLOZISJ,X,X,X,X,X,X,X,X,X,X,X
TLOZJIS,X,X,X,X,X,X,X,X,X,X,X
TLOZJSI,X,X,X,X,X,X,X,X,X,X,X
TLOZSIJ,X,X,X,X,X,X,X,X,X,X,X
TLOZSJI,X,X,X,X,X,X,X,X,X,X,X
TJILSZO,O,X,X,O,X,X,X,X,X,X,X
TJILSOZ,X,X,X,X,X,X,X,X,X,X,X
TJILZSO,X,X,X,O,X,X,X,X,X,X,X
TJILZOS,X,X,X,X,X,X,X,X,X,X,X
TJILOSZ,O,X,X,X,X,X,X,X,X,X,X
TJILOZS,X,X,X,X,X,X,X,X,X,X,X
TJISLZO,O,X,X,X,X,X,X,X,X,X,X
TJISLOZ,X,X,X,X,X,X,X,X,X,X,X
TJISZLO,O,X,O,X,X,X,X,X,X,X,X
TJISZOL,X,X,O,X,X,O,X,X,X,X,X
TJISOLZ,O,X,X,X,X,X,X,X,X,X,X
TJISOZL,O,X,O,X,X,X,X,X,X,X,X
TJIZLSO,X,X,O,X,X,X,X,X,X,X,X
TJIZLOS,X,X,X,X,X,X,X,X,X,X,X
TJIZSLO,X,O,O,X,X,X,X,X,X,X,X
TJIZSOL,X,O,O,X,X,O,X,X,X,X,X
TJIZOLS,X,X,X,X,X,X,X,X,X,X,X
TJIZOSL,X,O,X,X,X,O,X,X,O,X,X
TJIOLSZ,O,X,X,X,X,X,O,X,X,X,X
TJIOLZS,X,X,X,X,X,X,X,X,X,X,X
TJIOSLZ,O,X,X,X,X,X,X,X,X,X,X
TJIOSZL,O,X,X,X,X,X,X,X,X,X,X
TJIOZLS,X,X,X,X,X,X,X,X,X,X,X
TJIOZSL,X,O,X,X,X,X,X,X,O,X,X
TJLISZO,O,X,X,O,X,X,X,X,X,X,X
TJLISOZ,X,X,X,X,X,X,X,X,X,X,X
TJLIZSO,X,X,X,O,X,X,X,X,X,X,X
TJLIZOS,X,X,X,X,X,X,X,X,X,X,X
TJLIOSZ,O,X,X,X,X,X,X,X,X,X,X
TJLIOZS,X,X,X,X,X,X,X,X,X,X,X
TJLSIZO,O,X,X,O,X,X,X,X,X,X,X
TJLSIOZ,X,X,X,X,X,X,X,X,X,X,X
TJLSZIO,O,X,X,O,X,X,X,X,X,X,X
TJLSZOI,X,X,X,X,X,X,X,X,X,X,X
TJLSOIZ,X,X,X,X,X,X,O,X,X,X,X
TJLSOZI,X,X,X,X,X,X,O,X,X,X,X
TJLZISO,X,X,X,O,X,X,X,X,X,X,X
TJLZIOS,X,X,X,X,X,X,X,X,X,X,X
TJLZSIO,X,X,X,O,X,X,X,X,X,X,X
TJLZSOI,X,X,X,X,X,X,X,X,X,X,X
TJLZOIS,X,X,X,X,X,X,X,X,X,X,X
TJLZOSI,X,X,X,X,X,X,X,X,X,X,X
TJLOISZ,O,X,X,X,X,X,O,X,X,X,X
TJLOIZS,X,X,X,X,X,X,X,X,X,X,X
TJLOSIZ,O,X,X,X,X,X,O,X,X,X,X
TJLOSZI,O,X,X,X,X,X,O,X,X,X,X
TJLOZIS,X,X,X,X,X,X,X,X,X,X,X
TJLOZSI,X,X,X,X,X,X,X,X,X,X,X
TJSILZO,O,X,X,X,X,X,X,X,X,X,X
TJSILOZ,X,X,X,X,X,X,X,X,X,X,X
TJSIZLO,O,X,O,X,O,X,X,X,X,X,X
TJSIZOL,X,X,O,X,X,O,X,X,X,X,X
TJSIOLZ,O,X,X,X,X,X,X,X,X,X,X
TJSIOZL,O,X,O,X,X,X,X,X,X,X,X
TJSLIZO,O,X,X,X,X,X,X,X,X,X,X
TJSLIOZ,X,X,X,X,X,X,X,X,X,X,X
TJSLZIO,O,X,X,X,X,X,X,X,X,X,X
TJSLZOI,X,X,X,X,X,X,X,X,X,X,X
TJSLOIZ,X,X,X,X,X,X,X,X,X,X,X
TJSLOZI,X,X,X,X,X,X,X,X,X,X,X
TJSZILO,O,X,O,X,O,X,X,X,X,X,X
TJSZIOL,X,X,O,X,X,O,X,X,X,X,X
TJSZLIO,O,X,O,X,O,X,X,X,X,X,X
TJSZLOI,X,X,O,X,O,X,X,X,X,X,X
TJSZOIL,X,X,O,X,X,O,X,X,X,X,X
TJSZOLI,X,X,O,X,X,X,X,X,X,X,X
TJSOILZ,O,X,X,X,X,X,X,X,X,X,X
TJSOIZL,O,X,O,X,X,X,X,X,X,X,X
TJSOLIZ,O,X,X,X,X,X,X,X,X,X,X
TJSOLZI,O,X,X,X,X,X,X,X,X,X,X
TJSOZIL,O,X,O,X,X,X,X,X,X,X,X
TJSOZLI,O,X,O,X,X,X,X,X,X,X,X
TJZILSO,X,X,O,X,X,X,X,X,X,X,X
TJZILOS,X,X,X,X,X,X,X,X,X,X,X
TJZISLO,X,O,O,X,X,X,X,X,X,X,X
TJZISOL,X,O,O,X,X,O,X,X,X,X,X
TJZIOLS,X,X,X,X,X,X,X,X,X,X,X
TJZIOSL,X,O,X,X,X,O,X,X,O,X,X
TJZLISO,X,X,O,X,X,X,X,X,X,X,X
TJZLIOS,X,X,X,X,X,X,X,X,X,X,X
TJZLSIO,X,X,O,X,O,X,X,X,X,X,X
TJZLSOI,X,X,O,X,O,X,X,X,X,X,X
TJZLOIS,X,X,X,X,X,X,X,X,X,X,X
TJZLOSI,X,X,X,X,X,X,X,X,X,X,X
TJZSILO,X,O,O,X,O,X,X,X,X,X,X
