sequence,v115@RhC8EeA8AeE8AeC8KeT/IvhF/lBUhBynB5oBGnBlrB,v115@RhC8EeA8AeE8AeC8KeT/IvhF2lBXiB8nB5oBCmBlrB,v115@RhC8EeA8AeE8AeC8KeT/IvhF/lBOnB8nB5oB6rBFrB,v115@RhC8EeA8AeE8AeC8KeT/IvhF/lBUhBxnBGnB6tBlrB
ILTJOZS,X,O,X,X
ILTSJZO,O,X,X,X
ILTSJOZ,O,X,X,X
ILTSZJO,O,X,O,X
ILTSZOJ,O,X,O,O
ILTSOJZ,O,X,X,X
ILTSOZJ,O,X,O,O
ILTZJSO,X,O,O,X
ILTZJOS,X,O,O,X
ILTZSJO,O,O,O,X
ILTZSOJ,O,O,O,X
ILTZOJS,X,O,O,X
ILTZOSJ,O,O,O,X
ILTOJSZ,O,X,X,X
ILTOJZS,X,O,X,X
ILTOSJZ,O,X,X,X
ILTOSZJ,O,X,O,O
ILTOZJS,X,O,O,X
ILTOZSJ,O,O,O,X
ILJTSZO,O,X,X,X
ILJTSOZ,O,X,X,X
ILJTZSO,X,O,X,X
ILJTZOS,X,O,X,X
ILJTOSZ,O,X,X,X
ILJTOZS,X,O,X,X
ILJSTZO,O,X,X,X
ILJSTOZ,O,X,X,X
ILJSZTO,X,X,O,X
ILJSZOT,O,X,O,X
ILJSOTZ,O,X,X,X
ILJSOZT,O,X,O,X
ILJZTSO,X,O,O,X
ILJZTOS,X,O,O,X
ILJZSTO,X,X,O,X
ILJZSOT,X,O,O,X
ILJZOTS,X,O,O,X
ILJZOST,X,O,O,X
ILJOTSZ,O,X,X,X
ILJOTZS,X,O,X,X
ILJOSTZ,O,X,X,X
ILJOSZT,O,X,O,X
ILJOZTS,X,O,O,X
ILJOZST,X,O,O,X
ILSTJZO,O,X,X,X
ILSTJOZ,O,X,X,X
ILSTZJO,O,X,O,X
ILSTZOJ,O,X,O,O
ILSTOJZ,O,X,X,X
ILSTOZJ,O,X,O,O
ILSJTZO,O,X,X,X
ILSJTOZ,O,X,X,X
ILSJZTO,X,X,O,X
ILSJZOT,O,X,O,X
ILSJOTZ,O,X,X,X
ILSJOZT,O,X,O,X
ILSZTJO,O,X,O,X
ILSZTOJ,O,X,O,X
ILSZJTO,X,X,O,X
ILSZJOT,O,X,O,X
ILSZOTJ,O,X,O,O
ILSZOJT,O,X,O,O
ILSOTJZ,O,X,X,X
ILSOTZJ,O,X,O,O
ILSOJTZ,O,X,X,X
ILSOJZT,O,X,O,X
ILSOZTJ,O,X,O,O
ILSOZJT,O,X,O,O
ILZTJSO,X,O,O,X
ILZTJOS,X,O,O,X
ILZTSJO,O,O,O,X
ILZTSOJ,O,O,O,X
ILZTOJS,X,O,O,X
ILZTOSJ,O,O,O,X
ILZJTSO,X,O,O,X
ILZJTOS,X,O,O,X
ILZJSTO,X,X,O,X
ILZJSOT,X,O,O,X
ILZJOTS,X,O,O,X
ILZJOST,X,O,O,X
ILZSTJO,O,X,O,X
ILZSTOJ,O,X,O,X
ILZSJTO,X,X,O,X
ILZSJOT,O,O,O,X
ILZSOTJ,O,X,O,X
ILZSOJT,O,O,O,X
ILZOTJS,X,O,O,X
ILZOTSJ,O,O,O,X
ILZOJTS,X,O,O,X
ILZOJST,X,O,O,X
ILZOSTJ,O,X,O,X
ILZOSJT,O,O,O,X
ILOTJSZ,O,X,X,X
ILOTJZS,X,O,X,X
ILOTSJZ,O,X,X,X
ILOTSZJ,O,X,O,O
ILOTZJS,X,O,O,X
ILOTZSJ,O,O,O,X
ILOJTSZ,O,X,X,X
ILOJTZS,X,O,X,X
ILOJSTZ,O,X,X,X
ILOJSZT,O,X,O,X
ILOJZTS,X,O,O,X
ILOJZST,X,O,O,X
ILOSTJZ,O,X,X,X
ILOSTZJ,O,X,O,O
ILOSJTZ,O,X,X,X
ILOSJZT,O,X,O,X
ILOSZTJ,O,X,O,O
ILOSZJT,O,X,O,O
ILOZTJS,X,O,O,X
ILOZTSJ,O,O,O,X
ILOZJTS,X,O,O,X
ILOZJST,X,O,O,X
ILOZSTJ,O,X,O,X
ILOZSJT,O,O,O,X
IJTLSZO,O,X,X,X
IJTLSOZ,O,X,X,X
IJTLZSO,X,O,X,X
IJTLZOS,X,O,X,X
IJTLOSZ,O,X,X,X
IJTLOZS,X,O,X,X
IJTSLZO,O,X,X,X
IJTSLOZ,O,X,X,X
IJTSZLO,O,O,X,X
IJTSZOL,O,O,X,O
IJTSOLZ,O,X,X,X
IJTSOZL,O,O,X,O
IJTZLSO,X,O,X,X
IJTZLOS,X,O,X,X
IJTZSLO,X,O,X,X
IJTZSOL,X,O,X,X
IJTZOLS,X,O,X,X
IJTZOSL,X,O,X,X
IJTOLSZ,O,X,X,X
IJTOLZS,X,O,X,X
IJTOSLZ,O,X,X,X
IJTOSZL,O,O,X,O
IJTOZLS,X,O,X,X
IJTOZSL,X,O,X,X
IJLTSZO,O,X,X,X
IJLTSOZ,O,X,X,X
IJLTZSO,X,O,X,X
IJLTZOS,X,O,X,X
IJLTOSZ,O,X,X,X
IJLTOZS,X,O,X,X
IJLSTZO,O,X,X,X
IJLSTOZ,O,X,X,X
IJLSZTO,X,X,O,X
IJLSZOT,O,X,O,X
IJLSOTZ,O,X,X,X
IJLSOZT,O,X,O,X
IJLZTSO,X,O,O,X
IJLZTOS,X,O,O,X
IJLZSTO,X,X,O,X
IJLZSOT,X,O,O,X
IJLZOTS,X,O,O,X
IJLZOST,X,O,O,X
IJLOTSZ,O,X,X,X
IJLOTZS,X,O,X,X
IJLOSTZ,O,X,X,X
IJLOSZT,O,X,O,X
IJLOZTS,X,O,O,X
IJLOZST,X,O,O,X
IJSTLZO,O,X,X,X
IJSTLOZ,O,X,X,X
IJSTZLO,O,O,X,X
IJSTZOL,O,O,X,O
IJSTOLZ,O,X,X,X
IJSTOZL,O,O,X,O
IJSLTZO,O,X,X,X
IJSLTOZ,O,X,X,X
IJSLZTO,X,X,O,X
IJSLZOT,O,X,O,X
IJSLOTZ,O,X,X,X
IJSLOZT,O,X,O,X
IJSZTLO,X,O,O,X
IJSZTOL,X,O,O,X
IJSZLTO,X,X,O,X
IJSZLOT,O,O,O,X
IJSZOTL,X,O,O,O
IJSZOLT,O,O,O,O
IJSOTLZ,O,X,X,X
IJSOTZL,O,O,X,O
IJSOLTZ,O,X,X,X
IJSOLZT,O,X,O,X
IJSOZTL,X,O,O,O
IJSOZLT,O,O,O,O
IJZTLSO,X,O,O,X
IJZTLOS,X,O,O,X
IJZTSLO,X,O,O,X
IJZTSOL,X,O,O,X
IJZTOLS,X,O,O,X
IJZTOSL,X,O,O,X
IJZLTSO,X,O,O,X
IJZLTOS,X,O,O,X
IJZLSTO,X,X,O,X
IJZLSOT,X,O,O,X
IJZLOTS,X,O,O,X
IJZLOST,X,O,O,X
IJZSTLO,X,O,O,X
IJZSTOL,X,O,O,X
IJZSLTO,X,X,O,X
IJZSLOT,X,O,O,X
IJZSOTL,X,O,O,X
IJZSOLT,X,O,O,X
IJZOTLS,X,O,O,X
IJZOTSL,X,O,O,X
IJZOLTS,X,O,O,X
IJZOLST,X,O,O,X
IJZOSTL,X,O,O,X
IJZOSLT,X,O,O,X
IJOTLSZ,O,X,X,X
IJOTLZS,X,O,X,X
IJOTSLZ,O,X,X,X
IJOTSZL,O,O,X,O
IJOTZLS,X,O,X,X
IJOTZSL,X,O,X,X
IJOLTSZ,O,X,X,X
IJOLTZS,X,O,X,X
IJOLSTZ,O,X,X,X
IJOLSZT,O,X,O,X
IJOLZTS,X,O,O,X
IJOLZST,X,O,O,X
IJOSTLZ,O,X,X,X
IJOSTZL,O,O,X,O
IJOSLTZ,O,X,X,X
IJOSLZT,O,X,O,X
IJOSZTL,X,O,O,O
IJOSZLT,O,O,O,O
IJOZTLS,X,O,O,X
IJOZTSL,X,O,O,X
IJOZLTS,X,O,O,X
IJOZLST,X,O,O,X
IJOZSTL,X,O,O,X
IJOZSLT,X,O,O,X
ISTLJZO,O,X,X,X
ISTLJOZ,O,X,X,X
ISTLZJO,O,X,O,X
ISTLZOJ,O,X,O,O
ISTLOJZ,O,X,X,X
ISTLOZJ,O,X,O,O
ISTJLZO,O,X,X,X
ISTJLOZ,O,X,X,X
ISTJZLO,O,O,X,X
ISTJZOL,O,O,X,O
ISTJOLZ,O,X,X,X
ISTJOZL,O,O,X,O
ISTZLJO,O,O,O,X
ISTZLOJ,O,O,O,O
ISTZJLO,O,O,O,X
ISTZJOL,O,O,O,O
ISTZOLJ,O,O,O,O
ISTZOJL,O,O,O,O
ISTOLJZ,O,X,X,X
ISTOLZJ,O,X,O,O
ISTOJLZ,O,X,X,X
ISTOJZL,O,O,X,O
ISTOZLJ,O,O,O,O
ISTOZJL,O,O,O,O
ISLTJZO,O,X,X,X
ISLTJOZ,O,X,X,X
ISLTZJO,O,X,O,X
ISLTZOJ,O,X,O,O
ISLTOJZ,O,X,X,X
ISLTOZJ,O,X,O,O
ISLJTZO,O,X,X,X
ISLJTOZ,O,X,X,X
ISLJZTO,X,X,O,X
ISLJZOT,O,X,O,X
ISLJOTZ,O,X,X,X
ISLJOZT,O,X,O,X
ISLZTJO,O,X,O,X
ISLZTOJ,O,X,O,X
ISLZJTO,X,X,O,X
ISLZJOT,O,X,O,X
ISLZOTJ,O,X,O,O
ISLZOJT,O,X,O,O
ISLOTJZ,O,X,X,X
ISLOTZJ,O,X,O,O
ISLOJTZ,O,X,X,X
ISLOJZT,O,X,O,X
ISLOZTJ,O,X,O,O
ISLOZJT,O,X,O,O
ISJTLZO,O,X,X,X
ISJTLOZ,O,X,X,X
ISJTZLO,O,O,X,X
ISJTZOL,O,O,X,O
ISJTOLZ,O,X,X,X
ISJTOZL,O,O,X,O
ISJLTZO,O,X,X,X
ISJLTOZ,O,X,X,X
ISJLZTO,X,X,O,X
ISJLZOT,O,X,O,X
ISJLOTZ,O,X,X,X
ISJLOZT,O,X,O,X
ISJZTLO,X,O,O,X
ISJZTOL,X,O,O,X
ISJZLTO,X,X,O,X
ISJZLOT,O,O,O,X
ISJZOTL,X,O,O,O
ISJZOLT,O,O,O,O
ISJOTLZ,O,X,X,X
ISJOTZL,O,O,X,O
ISJOLTZ,O,X,X,X
ISJOLZT,O,X,O,X
ISJOZTL,X,O,O,O
ISJOZLT,O,O,O,O
ISZTLJO,O,O,O,X
ISZTLOJ,O,O,O,O
ISZTJLO,O,O,O,X
ISZTJOL,O,O,O,O
ISZTOLJ,O,O,O,O
ISZTOJL,O,O,O,O
ISZLTJO,O,X,O,X
ISZLTOJ,O,X,O,X
ISZLJTO,X,X,O,X
ISZLJOT,O,O,O,X
ISZLOTJ,O,X,O,O
ISZLOJT,O,O,O,O
ISZJTLO,X,O,O,X
ISZJTOL,X,O,O,X
ISZJLTO,X,X,O,X
ISZJLOT,O,O,O,X
ISZJOTL,X,O,O,O
ISZJOLT,O,O,O,O
ISZOTLJ,O,O,O,O
ISZOTJL,O,O,O,O
ISZOLTJ,O,X,O,O
ISZOLJT,O,O,O,O
ISZOJTL,X,O,O,O
ISZOJLT,O,O,O,O
ISOTLJZ,O,X,X,X
ISOTLZJ,O,X,O,O
ISOTJLZ,O,X,X,X
ISOTJZL,O,O,X,O
ISOTZLJ,O,O,O,O
ISOTZJL,O,O,O,O
ISOLTJZ,O,X,X,X
ISOLTZJ,O,X,O,O
ISOLJTZ,O,X,X,X
ISOLJZT,O,X,O,X
ISOLZTJ,O,X,O,O
ISOLZJT,O,X,O,O
ISOJTLZ,O,X,X,X
ISOJTZL,O,O,X,O
ISOJLTZ,O,X,X,X
ISOJLZT,O,X,O,X
ISOJZTL,X,O,O,O
ISOJZLT,O,O,O,O
ISOZTLJ,O,O,O,O
ISOZTJL,O,O,O,O
ISOZLTJ,O,X,O,O
ISOZLJT,O,O,O,O
ISOZJTL,X,O,O,O
ISOZJLT,O,O,O,O
IZTLJSO,X,O,O,X
IZTLJOS,X,O,O,X
IZTLSJO,O,O,O,X
IZTLSOJ,O,O,O,X
IZTLOJS,X,O,O,X
IZTLOSJ,O,O,O,X
IZTJLSO,X,O,O,X
IZTJLOS,X,O,O,X
IZTJSLO,X,O,O,X
IZTJSOL,X,O,O,X
IZTJOLS,X,O,O,X
IZTJOSL,X,O,O,X
IZTSLJO,O,O,O,X
IZTSLOJ,O,O,O,O
IZTSJLO,O,O,O,X
IZTSJOL,O,O,O,O
IZTSOLJ,O,O,O,O
IZTSOJL,O,O,O,O
IZTOLJS,X,O,O,X
IZTOLSJ,O,O,O,X
IZTOJLS,X,O,O,X
IZTOJSL,X,O,O,X
IZTOSLJ,O,O,O,O
IZTOSJL,O,O,O,O
IZLTJSO,X,O,O,X
IZLTJOS,X,O,O,X
IZLTSJO,O,O,O,X
IZLTSOJ,O,O,O,X
IZLTOJS,X,O,O,X
IZLTOSJ,O,O,O,X
IZLJTSO,X,O,O,X
IZLJTOS,X,O,O,X
IZLJSTO,X,X,O,X
IZLJSOT,X,O,O,X
IZLJOTS,X,O,O,X
IZLJOST,X,O,O,X
IZLSTJO,O,X,O,X
IZLSTOJ,O,X,O,X
IZLSJTO,X,X,O,X
IZLSJOT,O,O,O,X
IZLSOTJ,O,X,O,X
IZLSOJT,O,O,O,X
IZLOTJS,X,O,O,X
IZLOTSJ,O,O,O,X
IZLOJTS,X,O,O,X
IZLOJST,X,O,O,X
IZLOSTJ,O,X,O,X
IZLOSJT,O,O,O,X
IZJTLSO,X,O,O,X
IZJTLOS,X,O,O,X
IZJTSLO,X,O,O,X
IZJTSOL,X,O,O,X
IZJTOLS,X,O,O,X
IZJTOSL,X,O,O,X
IZJLTSO,X,O,O,X
IZJLTOS,X,O,O,X
IZJLSTO,X,X,O,X
IZJLSOT,X,O,O,X
IZJLOTS,X,O,O,X
IZJLOST,X,O,O,X
IZJSTLO,X,O,O,X
IZJSTOL,X,O,O,X
IZJSLTO,X,X,O,X
IZJSLOT,X,O,O,X
IZJSOTL,X,O,O,X
IZJSOLT,X,O,O,X
IZJOTLS,X,O,O,X
IZJOTSL,X,O,O,X
IZJOLTS,X,O,O,X
IZJOLST,X,O,O,X
IZJOSTL,X,O,O,X
IZJOSLT,X,O,O,X
IZSTLJO,O,O,O,X
IZSTLOJ,O,O,O,O
IZSTJLO,O,O,O,X
IZSTJOL,O,O,O,O
IZSTOLJ,O,O,O,O
IZSTOJL,O,O,O,O
IZSLTJO,O,X,O,X
IZSLTOJ,O,X,O,X
IZSLJTO,X,X,O,X
IZSLJOT,O,O,O,X
IZSLOTJ,O,X,O,O
IZSLOJT,O,O,O,O
IZSJTLO,X,O,O,X
IZSJTOL,X,O,O,X
IZSJLTO,X,X,O,X
IZSJLOT,O,O,O,X
IZSJOTL,X,O,O,O
IZSJOLT,O,O,O,O
IZSOTLJ,O,O,O,O
IZSOTJL,O,O,O,O
IZSOLTJ,O,X,O,O
IZSOLJT,O,O,O,O
IZSOJTL,X,O,O,O
IZSOJLT,O,O,O,O
IZOTLJS,X,O,O,X
IZOTLSJ,O,O,O,X
IZOTJLS,X,O,O,X
IZOTJSL,X,O,O,X
IZOTSLJ,O,O,O,O
IZOTSJL,O,O,O,O
IZOLTJS,X,O,O,X
IZOLTSJ,O,O,O,X
IZOLJTS,X,O,O,X
IZOLJST,X,O,O,X
IZOLSTJ,O,X,O,X
IZOLSJT,O,O,O,X
IZOJTLS,X,O,O,X
IZOJTSL,X,O,O,X
IZOJLTS,X,O,O,X
IZOJLST,X,O,O,X
IZOJSTL,X,O,O,X
IZOJSLT,X,O,O,X
IZOSTLJ,O,O,O,O
IZOSTJL,O,O,O,O
IZOSLTJ,O,X,O,O
IZOSLJT,O,O,O,O
IZOSJTL,X,O,O,O
IZOSJLT,O,O,O,O
IOTLJSZ,O,X,X,X
IOTLJZS,X,O,X,X
IOTLSJZ,O,X,X,X
IOTLSZJ,O,X,O,O
IOTLZJS,X,O,O,X
IOTLZSJ,O,O,O,X
IOTJLSZ,O,X,X,X
IOTJLZS,X,O,X,X
IOTJSLZ,O,X,X,X
IOTJSZL,O,O,X,O
IOTJZLS,X,O,X,X
IOTJZSL,X,O,X,X
IOTSLJZ,O,X,X,X
IOTSLZJ,O,X,O,O
IOTSJLZ,O,X,X,X
IOTSJZL,O,O,X,O
IOTSZLJ,O,O,O,O
IOTSZJL,O,O,O,O
IOTZLJS,X,O,O,X
IOTZLSJ,O,O,O,X
IOTZJLS,X,O,O,X
IOTZJSL,X,O,O,X
IOTZSLJ,O,O,O,O
IOTZSJL,O,O,O,O
IOLTJSZ,O,X,X,X
IOLTJZS,X,O,X,X
IOLTSJZ,O,X,X,X
IOLTSZJ,O,X,O,O
IOLTZJS,X,O,O,X
IOLTZSJ,O,O,O,X
IOLJTSZ,O,X,X,X
IOLJTZS,X,O,X,X
IOLJSTZ,O,X,X,X
IOLJSZT,O,X,O,X
IOLJZTS,X,O,O,X
IOLJZST,X,O,O,X
IOLSTJZ,O,X,X,X
IOLSTZJ,O,X,O,O
IOLSJTZ,O,X,X,X
IOLSJZT,O,X,O,X
IOLSZTJ,O,X,O,O
IOLSZJT,O,X,O,O
IOLZTJS,X,O,O,X
IOLZTSJ,O,O,O,X
IOLZJTS,X,O,O,X
IOLZJST,X,O,O,X
IOLZSTJ,O,X,O,X
IOLZSJT,O,O,O,X
IOJTLSZ,O,X,X,X
IOJTLZS,X,O,X,X
IOJTSLZ,O,X,X,X
IOJTSZL,O,O,X,O
IOJTZLS,X,O,X,X
IOJTZSL,X,O,X,X
IOJLTSZ,O,X,X,X
IOJLTZS,X,O,X,X
IOJLSTZ,O,X,X,X
IOJLSZT,O,X,O,X
IOJLZTS,X,O,O,X
IOJLZST,X,O,O,X
IOJSTLZ,O,X,X,X
IOJSTZL,O,O,X,O
IOJSLTZ,O,X,X,X
IOJSLZT,O,X,O,X
IOJSZTL,X,O,O,O
IOJSZLT,O,O,O,O
IOJZTLS,X,O,O,X
IOJZTSL,X,O,O,X
IOJZLTS,X,O,O,X
IOJZLST,X,O,O,X
IOJZSTL,X,O,O,X
IOJZSLT,X,O,O,X
IOSTLJZ,O,X,X,X
IOSTLZJ,O,X,O,O
IOSTJLZ,O,X,X,X
IOSTJZL,O,O,X,O
IOSTZLJ,O,O,O,O
IOSTZJL,O,O,O,O
IOSLTJZ,O,X,X,X
IOSLTZJ,O,X,O,O
IOSLJTZ,O,X,X,X
IOSLJZT,O,X,O,X
IOSLZTJ,O,X,O,O
IOSLZJT,O,X,O,O
IOSJTLZ,O,X,X,X
IOSJTZL,O,O,X,O
IOSJLTZ,O,X,X,X
IOSJLZT,O,X,O,X
IOSJZTL,X,O,O,O
IOSJZLT,O,O,O,O
IOSZTLJ,O,O,O,O
IOSZTJL,O,O,O,O
IOSZLTJ,O,X,O,O
IOSZLJT,O,O,O,O
IOSZJTL,X,O,O,O
IOSZJLT,O,O,O,O
IOZTLJS,X,O,O,X
IOZTLSJ,O,O,O,X
IOZTJLS,X,O,O,X
IOZTJSL,X,O,O,X
IOZTSLJ,O,O,O,O
IOZTSJL,O,O,O,O
IOZLTJS,X,O,O,X
IOZLTSJ,O,O,O,X
IOZLJTS,X,O,O,X
IOZLJST,X,O,O,X
IOZLSTJ,O,X,O,X
IOZLSJT,O,O,O,X
IOZJTLS,X,O,O,X
IOZJTSL,X,O,O,X
IOZJLTS,X,O,O,X
IOZJLST,X,O,O,X
IOZJSTL,X,O,O,X
IOZJSLT,X,O,O,X
IOZSTLJ,O,O,O,O
IOZSTJL,O,O,O,O
IOZSLTJ,O,X,O,O
IOZSLJT,O,O,O,O
IOZSJTL,X,O,O,O
IOZSJLT,O,O,O,O
LTIJSZO,O,X,X,X
LTIJSOZ,O,X,X,X
LTIJZSO,X,O,X,X
LTIJZOS,X,O,X,X
LTIJOSZ,O,X,X,X
LTIJOZS,X,O,X,X
LTISJZO,O,X,X,X
LTISJOZ,O,X,X,X
LTISZJO,O,X,O,X
LTISZOJ,O,X,O,O
LTISOJZ,O,X,X,X
LTISOZJ,O,X,O,O
LTIZJSO,X,O,O,X
LTIZJOS,X,O,O,X
LTIZSJO,O,O,O,X
LTIZSOJ,O,O,O,X
LTIZOJS,X,O,O,X
LTIZOSJ,O,O,O,X
LTIOJSZ,O,X,X,X
LTIOJZS,X,O,X,X
LTIOSJZ,O,X,X,X
LTIOSZJ,O,X,O,O
LTIOZJS,X,O,O,X
LTIOZSJ,O,O,O,X
LTJISZO,O,X,X,X
LTJISOZ,O,X,X,X
LTJIZSO,X,O,X,X
LTJIZOS,X,O,X,X
LTJIOSZ,O,X,X,X
LTJIOZS,X,O,X,X
LTJSIZO,O,X,X,X
LTJSIOZ,O,X,X,X
LTJSZIO,O,X,X,X
LTJSZOI,O,X,X,X
LTJSOIZ,O,X,X,X
LTJSOZI,O,X,X,X
LTJZISO,X,O,X,X
LTJZIOS,X,O,X,X
LTJZSIO,X,O,X,X
LTJZSOI,X,O,X,X
LTJZOIS,X,O,X,X
LTJZOSI,X,O,X,X
LTJOISZ,O,X,X,X
LTJOIZS,X,O,X,X
LTJOSIZ,O,X,X,X
LTJOSZI,O,X,X,X
LTJOZIS,X,O,X,X
LTJOZSI,X,O,X,X
LTSIJZO,O,X,X,X
LTSIJOZ,O,X,X,X
LTSIZJO,O,X,O,X
LTSIZOJ,O,X,O,O
LTSIOJZ,O,X,X,X
LTSIOZJ,O,X,O,O
LTSJIZO,O,X,X,X
LTSJIOZ,O,X,X,X
LTSJZIO,O,X,X,X
LTSJZOI,O,X,X,X
LTSJOIZ,O,X,X,X
LTSJOZI,O,X,X,X
LTSZIJO,O,X,O,X
LTSZIOJ,O,X,O,O
LTSZJIO,O,X,O,X
LTSZJOI,O,X,O,X
LTSZOIJ,O,X,O,O
LTSZOJI,O,X,O,X
LTSOIJZ,O,X,X,X
LTSOIZJ,O,X,O,O
LTSOJIZ,O,X,X,X
LTSOJZI,O,X,X,X
LTSOZIJ,O,X,O,O
LTSOZJI,O,X,O,X
LTZIJSO,X,O,O,X
LTZIJOS,X,O,O,X
LTZISJO,O,O,O,X
LTZISOJ,O,O,O,X
LTZIOJS,X,O,O,X
LTZIOSJ,O,O,O,X
LTZJISO,X,O,O,X
LTZJIOS,X,O,O,X
LTZJSIO,X,O,O,X
LTZJSOI,X,O,O,X
LTZJOIS,X,O,O,X
LTZJOSI,X,O,O,X
LTZSIJO,O,O,O,X
LTZSIOJ,O,O,O,X
LTZSJIO,O,O,O,X
LTZSJOI,O,O,O,X
LTZSOIJ,O,O,O,X
LTZSOJI,O,O,O,X
LTZOIJS,X,O,O,X
LTZOISJ,O,O,O,X
LTZOJIS,X,O,O,X
LTZOJSI,X,O,O,X
LTZOSIJ,O,O,O,X
LTZOSJI,O,O,O,X
LTOIJSZ,O,X,X,X
LTOIJZS,X,O,X,X
LTOISJZ,O,X,X,X
LTOISZJ,O,X,O,O
LTOIZJS,X,O,O,X
LTOIZSJ,O,O,O,X
LTOJISZ,O,X,X,X
LTOJIZS,X,O,X,X
LTOJSIZ,O,X,X,X
LTOJSZI,O,X,X,X
LTOJZIS,X,O,X,X
LTOJZSI,X,O,X,X
LTOSIJZ,O,X,X,X
LTOSIZJ,O,X,O,O
LTOSJIZ,O,X,X,X
LTOSJZI,O,X,X,X
LTOSZIJ,O,X,O,O
LTOSZJI,O,X,O,X
LTOZIJS,X,O,O,X
LTOZISJ,O,O,O,X
LTOZJIS,X,O,O,X
LTOZJSI,X,O,O,X
LTOZSIJ,O,O,O,X
LTOZSJI,O,O,O,X
LITJSZO,O,X,X,X
LITJSOZ,O,X,X,X
LITJZSO,X,O,X,X
LITJZOS,X,O,X,X
LITJOSZ,O,X,X,X
LITJOZS,X,O,X,X
LITSJZO,O,X,X,X
LITSJOZ,O,X,X,X
LITSZJO,O,X,O,X
LITSZOJ,O,X,O,O
LITSOJZ,O,X,X,X
LITSOZJ,O,X,O,O
LITZJSO,X,O,O,X
LITZJOS,X,O,O,X
LITZSJO,O,O,O,X
LITZSOJ,O,O,O,X
LITZOJS,X,O,O,X
LITZOSJ,O,O,O,X
LITOJSZ,O,X,X,X
LITOJZS,X,O,X,X
LITOSJZ,O,X,X,X
LITOSZJ,O,X,O,O
LITOZJS,X,O,O,X
LITOZSJ,O,O,O,X
LIJTSZO,O,X,X,X
LIJTSOZ,O,X,X,X
LIJTZSO,X,O,X,X
LIJTZOS,X,O,X,X
LIJTOSZ,O,X,X,X
LIJTOZS,X,O,X,X
LIJSTZO,O,X,X,X
LIJSTOZ,O,X,X,X
LIJSZTO,X,X,O,X
LIJSZOT,O,X,O,X
LIJSOTZ,O,X,X,X
LIJSOZT,O,X,O,X
LIJZTSO,X,O,O,X
LIJZTOS,X,O,O,X
LIJZSTO,X,X,O,X
LIJZSOT,X,O,O,X
LIJZOTS,X,O,O,X
LIJZOST,X,O,O,X
LIJOTSZ,O,X,X,X
LIJOTZS,X,O,X,X
LIJOSTZ,O,X,X,X
LIJOSZT,O,X,O,X
LIJOZTS,X,O,O,X
LIJOZST,X,O,O,X
LISTJZO,O,X,X,X
LISTJOZ,O,X,X,X
LISTZJO,O,X,O,X
LISTZOJ,O,X,O,O
LISTOJZ,O,X,X,X
LISTOZJ,O,X,O,O
LISJTZO,O,X,X,X
LISJTOZ,O,X,X,X
LISJZTO,X,X,O,X
LISJZOT,O,X,O,X
LISJOTZ,O,X,X,X
LISJOZT,O,X,O,X
LISZTJO,O,X,O,X
LISZTOJ,O,X,O,X
LISZJTO,X,X,O,X
LISZJOT,O,X,O,X
LISZOTJ,O,X,O,O
LISZOJT,O,X,O,O
LISOTJZ,O,X,X,X
LISOTZJ,O,X,O,O
LISOJTZ,O,X,X,X
LISOJZT,O,X,O,X
LISOZTJ,O,X,O,O
LISOZJT,O,X,O,O
LIZTJSO,X,O,O,X
LIZTJOS,X,O,O,X
LIZTSJO,O,O,O,X
LIZTSOJ,O,O,O,X
LIZTOJS,X,O,O,X
LIZTOSJ,O,O,O,X
LIZJTSO,X,O,O,X
LIZJTOS,X,O,O,X
LIZJSTO,X,X,O,X
LIZJSOT,X,O,O,X
LIZJOTS,X,O,O,X
LIZJOST,X,O,O,X
LIZSTJO,O,X,O,X
LIZSTOJ,O,X,O,X
LIZSJTO,X,X,O,X
LIZSJOT,O,O,O,X
LIZSOTJ,O,X,O,X
LIZSOJT,O,O,O,X
LIZOTJS,X,O,O,X
LIZOTSJ,O,O,O,X
LIZOJTS,X,O,O,X
LIZOJST,X,O,O,X
LIZOSTJ,O,X,O,X
LIZOSJT,O,O,O,X
LIOTJSZ,O,X,X,X
LIOTJZS,X,O,X,X
LIOTSJZ,O,X,X,X
LIOTSZJ,O,X,O,O
LIOTZJS,X,O,O,X
LIOTZSJ,O,O,O,X
LIOJTSZ,O,X,X,X
LIOJTZS,X,O,X,X
LIOJSTZ,O,X,X,X
LIOJSZT,O,X,O,X
LIOJZTS,X,O,O,X
LIOJZST,X,O,O,X
LIOSTJZ,O,X,X,X
LIOSTZJ,O,X,O,O
LIOSJTZ,O,X,X,X
LIOSJZT,O,X,O,X
LIOSZTJ,O,X,O,O
LIOSZJT,O,X,O,O
LIOZTJS,X,O,O,X
LIOZTSJ,O,O,O,X
LIOZJTS,X,O,O,X
LIOZJST,X,O,O,X
LIOZSTJ,O,X,O,X
LIOZSJT,O,O,O,X
LJTISZO,O,X,X,X
LJTISOZ,O,X,X,X
LJTIZSO,X,O,X,X
LJTIZOS,X,O,X,X
LJTIOSZ,O,X,X,X
LJTIOZS,X,O,X,X
LJTSIZO,O,X,X,X
LJTSIOZ,O,X,X,X
LJTSZIO,O,X,X,X
LJTSZOI,O,X,X,X
LJTSOIZ,O,X,X,X
LJTSOZI,O,X,X,X
LJTZISO,X,O,X,X
LJTZIOS,X,O,X,X
LJTZSIO,X,O,X,X
LJTZSOI,X,O,X,X
