sequence,v115@9gA8IeA8IeC8GeD8AeB8BeA8Jez/IvhFulBRiBSoBN?rBUnBXtB,v115@9gA8IeA8IeC8GeD8AeB8BeA8JeRAJvhFfnB0iB6oBG?lBNrBzsB,v115@9gA8IeA8IeC8GeD8AeB8BeA8Jez/IvhFtlB0hBxiBW?tBirBXtB,v115@9gA8IeA8IeC8GeD8AeB8BeA8Jez/IvhFtlBmhBCjBc?rBxsBXtB,v115@9gA8IeA8IeC8GeD8AeB8BeA8JeWFJvhFxgBXjBdrBz?mBStB0sB,v115@9gA8IeA8IeC8GeD8AeB8BeA8Jez/IvhFRhBGjBfrB0?mB6sBNtB,v115@9gA8IeA8IeC8GeD8AeB8BeA8JeRAJvhFzhBfoB6oBG?lBNrB0sB,v115@9gA8IeA8IeC8GeD8AeB8BeA8JeWFJvhFxgBXjBdrBz?mBctB6sB,v115@9gA8IeA8IeC8GeD8AeB8BeA8JefHJvhF0iB6oBRlBG?lBNrBzsB,v115@9gA8IeA8IeC8GeD8AeB8BeA8JeRAJvhF3hB9oBGlB0?nBirBzsB,v115@9gA8IeA8IeC8GeD8AeB8BeA8Jez/IvhFChB8mBWoBd?rBxsBXtB,v115@9gA8IeA8IeC8GeD8AeB8BeA8Jez/IvhFRhB9nB6oBf?rB0mBetB,v115@9gA8IeA8IeC8GeD8AeB8BeA8JezBJvhFfoB6oBRlBG?lBNrB0sB,v115@9gA8IeA8IeC8GeD8AeB8BeA8JezBJvhFRlB3nBctBG?lBNrBCtB
TILOSZJ,X,O,X,O,O,O,X,X,O,X,X,X,X,X
TILOZJS,X,X,O,O,O,O,X,O,X,X,O,X,X,X
TILOZSJ,X,O,O,O,O,X,O,O,O,X,O,X,X,X
TIJLSZO,X,O,O,X,X,O,X,X,X,O,X,X,X,X
TIJLSOZ,X,O,O,X,O,O,X,X,X,O,X,X,X,X
TIJLZSO,X,O,O,O,X,X,O,X,X,O,O,X,X,X
TIJLZOS,X,O,O,O,X,O,O,O,X,O,O,X,X,X
TIJLOSZ,X,O,O,X,O,O,X,X,X,O,X,X,X,X
TIJLOZS,X,O,O,O,O,O,O,O,X,O,O,X,X,X
TIJSLZO,O,O,X,X,X,O,X,X,X,O,X,X,X,X
TIJSLOZ,O,O,X,X,X,O,X,X,X,O,X,X,X,X
TIJSZLO,O,O,X,X,X,O,O,X,X,X,O,X,X,X
TIJSZOL,O,O,X,X,X,O,O,O,X,X,O,X,X,X
TIJSOLZ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TIJSOZL,O,O,X,X,X,O,O,O,X,X,O,X,X,X
TIJZLSO,O,O,X,O,X,X,O,X,X,O,O,X,X,X
TIJZLOS,O,O,X,O,X,X,O,O,X,O,O,X,X,X
TIJZSLO,O,O,X,O,X,X,O,X,X,X,O,X,X,X
TIJZSOL,O,O,X,O,X,X,O,O,X,X,O,X,X,X
TIJZOLS,O,O,X,O,O,X,O,O,X,X,O,X,X,X
TIJZOSL,O,O,X,O,X,X,O,O,X,X,O,X,X,X
TIJOLSZ,X,O,O,X,O,O,X,X,X,O,X,X,X,X
TIJOLZS,X,O,O,O,O,O,O,O,X,O,O,X,X,X
TIJOSLZ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TIJOSZL,O,O,X,X,X,O,O,O,X,X,O,X,X,X
TIJOZLS,O,O,X,O,O,X,O,O,X,X,O,X,X,X
TIJOZSL,O,O,X,O,X,X,O,O,X,X,O,X,X,X
TISLJZO,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TISLJOZ,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TISLZJO,O,O,X,O,X,O,X,X,O,X,X,X,X,X
TISLZOJ,O,O,X,O,X,O,X,X,O,X,X,X,X,X
TISLOJZ,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TISLOZJ,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TISJLZO,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TISJLOZ,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TISJZLO,O,O,X,X,X,O,X,X,X,X,O,X,X,X
TISJZOL,O,O,X,X,X,O,X,O,X,X,O,X,X,X
TISJOLZ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TISJOZL,O,O,X,X,X,O,X,O,X,X,O,X,X,X
TISZLJO,O,O,X,O,X,O,O,X,O,X,O,X,X,X
TISZLOJ,O,O,X,O,X,O,O,X,O,X,O,X,X,X
TISZJLO,O,O,X,O,X,O,O,X,X,X,O,X,X,X
TISZJOL,O,O,X,O,X,O,O,O,X,X,O,X,X,X
TISZOLJ,O,O,X,O,X,O,O,O,X,X,O,X,X,X
TISZOJL,O,O,X,O,X,O,O,O,X,X,O,X,X,X
TISOLJZ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TISOLZJ,O,O,X,O,O,O,X,X,O,X,X,X,X,X
TISOJLZ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TISOJZL,O,O,X,X,X,O,X,O,X,X,O,X,X,X
TISOZLJ,O,O,X,O,X,O,O,O,O,X,O,X,X,X
TISOZJL,O,O,X,O,X,O,O,O,X,X,O,X,X,X
TIZLJSO,O,X,O,O,X,X,X,X,X,X,O,X,X,X
TIZLJOS,O,X,O,O,X,X,X,O,X,X,O,X,X,X
TIZLSJO,O,O,X,O,X,X,O,X,X,X,O,X,X,X
TIZLSOJ,O,O,O,O,X,X,O,X,X,X,O,X,X,X
TIZLOJS,O,X,O,O,X,X,X,O,X,X,O,X,X,X
TIZLOSJ,O,O,O,O,X,X,O,O,X,X,O,X,X,X
TIZJLSO,O,X,X,O,X,X,O,X,X,X,O,X,X,X
TIZJLOS,O,X,X,O,X,X,O,O,X,X,O,X,X,X
TIZJSLO,O,X,X,O,X,X,O,X,X,X,O,X,X,X
TIZJSOL,O,X,X,O,X,X,O,O,X,X,O,X,X,X
TIZJOLS,O,X,O,O,O,X,O,O,X,X,O,X,X,X
TIZJOSL,O,X,X,O,X,X,O,O,X,X,O,X,X,X
TIZSLJO,O,O,X,O,X,X,O,X,X,X,O,X,X,X
TIZSLOJ,O,O,X,O,X,X,O,X,X,X,O,X,O,X
TIZSJLO,O,O,X,O,X,X,O,X,X,X,O,X,X,X
TIZSJOL,O,X,X,O,X,X,O,O,X,X,O,X,X,X
TIZSOLJ,O,O,O,O,X,X,O,O,X,X,O,X,O,O
TIZSOJL,O,O,X,O,X,X,O,O,X,X,O,X,X,O
TIZOLJS,O,X,O,O,O,X,X,O,X,X,O,X,X,X
TIZOLSJ,O,O,O,O,O,X,O,O,X,X,O,X,X,X
TIZOJLS,O,X,O,O,O,X,O,O,X,X,O,X,X,X
TIZOJSL,O,X,X,O,X,X,O,O,X,X,O,X,X,X
TIZOSLJ,O,O,O,O,X,X,O,O,X,X,O,X,O,X
TIZOSJL,O,O,X,O,X,X,O,O,X,X,O,X,X,X
TIOLJSZ,X,O,O,X,O,O,X,X,X,X,X,X,X,X
TIOLJZS,X,O,O,O,O,O,X,O,X,X,O,X,X,X
TIOLSJZ,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TIOLSZJ,X,O,X,O,O,O,X,X,O,X,X,X,X,X
TIOLZJS,X,X,O,O,O,O,X,O,X,X,O,X,X,X
TIOLZSJ,X,O,O,O,O,X,O,O,O,X,O,X,X,X
TIOJLSZ,X,O,O,X,O,O,X,X,X,X,X,X,X,X
TIOJLZS,X,O,O,O,O,O,O,O,X,X,O,X,X,X
TIOJSLZ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TIOJSZL,O,O,X,X,X,O,O,O,X,X,O,X,X,X
TIOJZLS,O,O,X,O,O,X,O,O,X,X,O,X,X,X
TIOJZSL,O,O,X,O,X,X,O,O,X,X,O,X,X,X
TIOSLJZ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TIOSLZJ,O,O,X,O,O,O,X,X,O,X,X,X,X,X
TIOSJLZ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TIOSJZL,O,O,X,X,X,O,X,O,X,X,O,X,X,X
TIOSZLJ,O,O,X,O,X,O,O,O,O,X,O,X,X,X
TIOSZJL,O,O,X,O,X,O,O,O,X,X,O,X,X,X
TIOZLJS,O,X,O,O,O,X,X,O,X,X,O,X,X,X
TIOZLSJ,O,O,O,O,O,X,O,O,O,X,O,X,X,X
TIOZJLS,O,X,O,O,O,X,O,O,X,X,O,X,X,X
TIOZJSL,O,X,X,O,X,X,O,O,X,X,O,X,X,X
TIOZSLJ,O,O,O,O,X,X,O,O,O,X,O,X,X,X
TIOZSJL,O,O,X,O,X,X,O,O,X,X,O,X,X,X
TLIJSZO,X,O,O,X,X,O,X,X,X,O,X,X,X,X
TLIJSOZ,X,O,O,X,O,O,X,X,X,O,X,X,X,X
TLIJZSO,X,O,O,O,X,X,X,X,X,O,O,X,X,X
TLIJZOS,X,O,O,O,X,O,X,O,X,O,O,X,X,X
TLIJOSZ,X,O,O,X,O,O,X,X,X,O,X,X,X,X
TLIJOZS,X,O,O,O,O,O,X,O,X,O,O,X,X,X
TLISJZO,X,O,X,X,X,O,X,X,X,O,X,X,X,X
TLISJOZ,X,O,X,X,O,O,X,X,X,O,X,X,X,X
TLISZJO,X,O,X,O,X,O,X,X,O,O,X,X,X,X
TLISZOJ,X,O,X,O,X,O,X,X,O,X,X,X,X,X
TLISOJZ,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TLISOZJ,X,O,X,O,O,O,X,X,X,X,X,X,X,X
TLIZJSO,X,X,O,O,X,X,X,X,X,O,O,X,X,X
TLIZJOS,X,X,O,O,X,O,X,O,X,O,O,X,X,X
TLIZSJO,X,O,X,O,X,X,O,X,X,O,O,X,X,X
TLIZSOJ,X,O,O,O,X,X,O,X,X,X,O,X,X,X
TLIZOJS,X,X,O,O,X,O,X,O,X,X,O,X,X,X
TLIZOSJ,X,O,O,O,X,X,O,O,X,X,O,X,X,X
TLIOJSZ,X,O,O,X,O,O,X,X,X,X,X,X,X,X
TLIOJZS,X,O,O,O,O,O,X,O,X,X,O,X,X,X
TLIOSJZ,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TLIOSZJ,X,O,X,O,O,O,X,X,O,X,X,X,X,X
TLIOZJS,X,X,O,O,O,O,X,O,X,X,O,X,X,X
TLIOZSJ,X,O,O,O,O,X,O,O,O,X,O,X,X,X
TLJISZO,X,O,O,X,X,O,X,X,X,O,X,O,X,X
TLJISOZ,X,O,O,X,O,O,X,X,X,O,X,O,X,X
TLJIZSO,X,O,O,X,X,X,O,X,X,O,X,X,X,X
TLJIZOS,X,O,O,X,X,O,O,O,X,O,X,O,X,X
TLJIOSZ,X,O,O,X,O,O,X,X,X,O,X,O,X,X
TLJIOZS,X,O,O,X,O,O,O,O,X,O,X,O,X,X
TLJSIZO,O,O,O,X,X,O,X,X,X,O,X,O,X,X
TLJSIOZ,O,O,O,X,O,O,X,X,X,O,X,O,X,X
TLJSZIO,O,O,O,X,X,O,X,X,X,O,X,O,X,X
TLJSZOI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
TLJSOIZ,O,O,O,X,O,O,X,X,X,O,X,O,X,X
TLJSOZI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
TLJZISO,O,O,O,X,X,X,O,X,X,O,O,X,X,X
TLJZIOS,O,O,O,X,X,O,O,O,X,O,O,O,X,X
TLJZSIO,O,O,O,X,X,O,O,X,X,O,X,O,X,X
TLJZSOI,O,O,O,X,O,O,O,O,X,O,X,O,X,X
TLJZOIS,O,O,O,X,O,O,O,O,X,O,O,O,X,X
TLJZOSI,O,O,O,X,O,O,O,O,X,O,X,O,X,X
TLJOISZ,X,O,O,X,O,O,X,X,X,O,X,O,X,X
TLJOIZS,X,O,O,X,O,O,O,O,X,O,X,O,X,X
TLJOSIZ,O,O,O,X,O,O,X,X,X,O,X,O,X,X
TLJOSZI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
TLJOZIS,O,O,O,X,O,O,O,O,X,O,O,O,X,X
TLJOZSI,O,O,O,X,O,O,O,O,X,O,X,O,X,X
TLSIJZO,O,O,X,X,X,O,X,X,X,O,X,X,X,X
TLSIJOZ,O,O,X,X,O,O,X,X,X,O,X,X,X,X
TLSIZJO,O,O,X,X,X,O,X,X,O,O,X,X,X,X
TLSIZOJ,O,O,X,X,X,O,X,X,O,X,X,X,X,X
TLSIOJZ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TLSIOZJ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TLSJIZO,O,O,O,X,X,O,X,X,X,O,X,O,X,X
TLSJIOZ,O,O,O,X,O,O,X,X,X,O,X,O,X,X
TLSJZIO,O,O,O,X,X,O,X,X,X,O,X,O,X,X
TLSJZOI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
TLSJOIZ,O,O,O,X,O,O,X,X,X,O,X,O,X,X
TLSJOZI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
TLSZIJO,O,O,X,X,X,O,X,X,O,O,O,X,X,X
TLSZIOJ,O,O,O,X,X,O,X,X,O,X,O,X,X,X
TLSZJIO,O,O,O,X,X,O,X,X,X,O,X,X,X,X
TLSZJOI,O,O,O,X,O,O,X,X,X,O,X,X,X,X
TLSZOIJ,O,O,O,X,O,O,X,X,X,X,O,X,X,X
TLSZOJI,O,O,O,X,O,O,X,X,X,O,X,X,X,X
TLSOIJZ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TLSOIZJ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TLSOJIZ,O,O,O,X,O,O,X,X,X,O,X,O,X,X
TLSOJZI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
TLSOZIJ,O,O,O,X,O,O,X,X,X,X,O,X,X,X
TLSOZJI,O,O,O,X,O,O,X,X,X,O,X,X,X,X
TLZIJSO,O,X,O,O,X,X,X,X,X,O,O,X,X,X
TLZIJOS,O,X,O,O,X,O,X,O,X,O,O,X,X,X
TLZISJO,O,O,X,O,X,X,O,X,X,O,O,X,X,X
TLZISOJ,O,O,O,O,X,X,O,X,X,X,O,X,X,X
TLZIOJS,O,X,O,O,X,O,X,O,X,X,O,X,X,X
TLZIOSJ,O,O,O,O,X,X,O,O,X,X,O,X,X,X
TLZJISO,O,O,O,O,X,X,O,X,X,O,O,X,X,X
TLZJIOS,O,O,O,O,X,O,O,O,X,O,O,X,X,X
TLZJSIO,O,O,O,X,X,O,O,X,X,O,X,X,X,X
TLZJSOI,O,O,O,X,O,O,O,O,X,O,X,X,X,X
TLZJOIS,O,O,O,O,O,O,O,O,X,O,O,X,X,X
TLZJOSI,O,O,O,X,O,O,O,O,X,O,X,X,X,X
TLZSIJO,O,O,X,X,X,O,O,X,X,O,O,X,X,X
TLZSIOJ,O,O,O,X,X,O,O,X,X,X,O,X,X,X
TLZSJIO,O,O,O,X,X,O,O,X,X,O,X,X,X,X
TLZSJOI,O,O,O,X,O,O,O,O,X,O,X,X,X,X
TLZSOIJ,O,O,O,X,O,O,O,O,X,X,O,X,X,X
TLZSOJI,O,O,O,X,O,O,O,O,X,O,X,X,X,X
TLZOIJS,O,X,O,O,O,O,X,O,X,X,O,X,X,X
TLZOISJ,O,O,O,O,O,X,O,O,X,X,O,X,X,X
TLZOJIS,O,O,O,O,O,O,O,O,X,O,O,X,X,X
TLZOJSI,O,O,O,X,O,O,O,O,X,O,X,X,X,X
TLZOSIJ,O,O,O,X,O,O,O,O,X,X,O,X,X,X
TLZOSJI,O,O,O,X,O,O,O,O,X,O,X,X,X,X
TLOIJSZ,X,O,O,X,O,O,X,X,X,X,X,X,X,X
TLOIJZS,X,O,O,O,O,O,X,O,X,X,O,X,X,X
TLOISJZ,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TLOISZJ,X,O,X,O,O,O,X,X,O,X,X,X,X,X
TLOIZJS,X,X,O,O,O,O,X,O,X,X,O,X,X,X
TLOIZSJ,X,O,O,O,O,X,O,O,O,X,O,X,X,X
TLOJISZ,X,O,O,X,O,O,X,X,X,O,X,O,X,X
TLOJIZS,X,O,O,X,O,O,O,O,X,O,X,O,X,X
TLOJSIZ,O,O,O,X,O,O,X,X,X,O,X,O,X,X
TLOJSZI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
TLOJZIS,O,O,O,X,O,O,O,O,X,O,O,O,X,X
TLOJZSI,O,O,O,X,O,O,O,O,X,O,X,O,X,X
TLOSIJZ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TLOSIZJ,O,O,X,X,O,O,X,X,O,X,X,X,X,X
TLOSJIZ,O,O,O,X,O,O,X,X,X,O,X,O,X,X
TLOSJZI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
TLOSZIJ,O,O,O,X,O,O,X,X,O,X,O,X,X,X
TLOSZJI,O,O,O,X,O,O,X,X,X,O,X,X,X,X
TLOZIJS,O,X,O,O,O,O,X,O,X,X,O,X,X,X
TLOZISJ,O,O,O,O,O,X,O,O,O,X,O,X,X,X
TLOZJIS,O,O,O,O,O,O,O,O,X,O,O,X,X,X
TLOZJSI,O,O,O,X,O,O,O,O,X,O,X,X,X,X
TLOZSIJ,O,O,O,X,O,O,O,O,O,X,O,X,X,X
TLOZSJI,O,O,O,X,O,O,O,O,X,O,X,X,X,X
TJILSZO,X,O,O,X,X,O,X,X,X,O,X,O,X,X
TJILSOZ,X,O,O,X,O,O,X,X,X,O,X,O,X,X
TJILZSO,X,O,O,O,X,X,O,X,X,O,O,X,X,X
TJILZOS,X,O,O,O,X,O,O,O,X,O,O,O,X,X
TJILOSZ,X,O,O,X,O,O,X,X,X,O,X,O,X,X
TJILOZS,X,O,O,O,O,O,O,O,X,O,O,O,X,X
TJISLZO,O,O,X,X,X,O,X,X,X,O,X,O,X,X
TJISLOZ,O,O,X,X,X,O,X,X,X,O,X,O,X,X
TJISZLO,O,O,X,X,X,O,O,X,X,X,O,O,X,X
TJISZOL,O,O,X,X,X,O,O,O,X,X,O,O,X,X
TJISOLZ,O,O,X,X,O,O,X,X,X,X,X,O,X,X
TJISOZL,O,O,X,X,X,O,O,O,X,X,O,O,X,X
TJIZLSO,O,O,X,O,X,X,O,X,X,O,O,X,X,X
TJIZLOS,O,O,X,O,X,X,O,O,X,O,O,O,X,X
TJIZSLO,O,O,X,O,X,X,O,X,X,X,O,X,X,X
TJIZSOL,O,O,X,O,X,X,O,O,X,X,O,X,X,X
TJIZOLS,O,O,X,O,O,X,O,O,X,X,O,O,X,X
TJIZOSL,O,O,X,O,X,X,O,O,X,X,O,X,X,X
TJIOLSZ,X,O,O,X,O,O,X,X,X,O,X,O,X,X
TJIOLZS,X,O,O,O,O,O,O,O,X,O,O,O,X,X
TJIOSLZ,O,O,X,X,O,O,X,X,X,X,X,O,X,X
TJIOSZL,O,O,X,X,X,O,O,O,X,X,O,O,X,X
TJIOZLS,O,O,X,O,O,X,O,O,X,X,O,O,X,X
TJIOZSL,O,O,X,O,X,X,O,O,X,X,O,X,X,X
TJLISZO,X,O,O,X,X,O,X,X,X,O,X,O,X,X
TJLISOZ,X,O,O,X,O,O,X,X,X,O,X,O,X,X
TJLIZSO,X,O,O,X,X,X,O,X,X,O,X,X,X,X
TJLIZOS,X,O,O,X,X,O,O,O,X,O,X,O,X,X
TJLIOSZ,X,O,O,X,O,O,X,X,X,O,X,O,X,X
TJLIOZS,X,O,O,X,O,O,O,O,X,O,X,O,X,X
TJLSIZO,O,O,O,X,X,O,X,X,X,O,X,O,X,X
TJLSIOZ,O,O,O,X,O,O,X,X,X,O,X,O,X,X
TJLSZIO,O,O,O,X,X,O,X,X,X,O,X,O,X,X
TJLSZOI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
TJLSOIZ,O,O,O,X,O,O,X,X,X,O,X,O,X,X
TJLSOZI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
TJLZISO,O,O,O,X,X,X,O,X,X,O,O,X,X,X
TJLZIOS,O,O,O,X,X,O,O,O,X,O,O,O,X,X
TJLZSIO,O,O,O,X,X,O,O,X,X,O,X,O,X,X
TJLZSOI,O,O,O,X,O,O,O,O,X,O,X,O,X,X
TJLZOIS,O,O,O,X,O,O,O,O,X,O,O,O,X,X
TJLZOSI,O,O,O,X,O,O,O,O,X,O,X,O,X,X
TJLOISZ,X,O,O,X,O,O,X,X,X,O,X,O,X,X
TJLOIZS,X,O,O,X,O,O,O,O,X,O,X,O,X,X
TJLOSIZ,O,O,O,X,O,O,X,X,X,O,X,O,X,X
TJLOSZI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
TJLOZIS,O,O,O,X,O,O,O,O,X,O,O,O,X,X
TJLOZSI,O,O,O,X,O,O,O,O,X,O,X,O,X,X
TJSILZO,O,O,X,X,X,O,X,X,X,O,X,O,X,X
TJSILOZ,O,O,X,X,X,O,X,X,X,O,X,O,X,X
TJSIZLO,O,O,X,X,X,O,O,X,X,X,X,O,X,X
TJSIZOL,O,O,X,X,X,O,O,O,X,X,X,O,X,X
TJSIOLZ,O,O,X,X,O,O,X,X,X,X,X,O,X,X
TJSIOZL,O,O,X,X,X,O,O,O,X,X,X,O,X,X
TJSLIZO,O,O,O,X,X,O,X,X,X,O,X,O,X,X
TJSLIOZ,O,O,O,X,O,O,X,X,X,O,X,O,X,X
TJSLZIO,O,O,O,X,X,O,X,X,X,O,X,O,X,X
TJSLZOI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
TJSLOIZ,O,O,O,X,O,O,X,X,X,O,X,O,X,X
TJSLOZI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
TJSZILO,O,O,X,X,X,O,O,X,X,X,X,O,X,X
TJSZIOL,O,O,X,X,X,O,O,O,X,X,X,O,X,X
TJSZLIO,O,O,X,X,X,O,O,X,X,X,X,O,X,X
TJSZLOI,O,O,X,X,X,O,O,O,X,X,X,O,X,X
TJSZOIL,O,O,X,X,X,O,O,O,X,X,X,O,X,X
TJSZOLI,O,O,X,X,X,O,O,O,X,X,X,O,X,X
TJSOILZ,O,O,X,X,O,O,X,X,X,X,X,O,X,X
TJSOIZL,O,O,X,X,X,O,O,O,X,X,X,O,X,X
TJSOLIZ,O,O,O,X,O,O,X,X,X,X,X,O,X,X
TJSOLZI,O,O,O,X,O,O,X,X,X,X,X,O,X,X
TJSOZIL,O,O,X,X,X,O,O,O,X,X,X,O,X,X
TJSOZLI,O,O,X,X,X,O,O,O,X,X,X,O,X,X
TJZILSO,O,O,X,O,X,X,O,X,X,O,O,X,X,X
TJZILOS,O,O,X,O,X,X,O,O,X,O,O,O,X,X
TJZISLO,O,O,X,O,X,X,O,X,X,X,O,X,X,X
TJZISOL,O,O,X,O,X,X,O,O,X,X,O,X,X,X
TJZIOLS,O,O,O,O,O,X,O,O,X,X,O,O,X,X
TJZIOSL,O,O,X,O,X,X,O,O,X,X,O,X,X,X
TJZLISO,O,O,O,O,X,X,O,X,X,O,O,X,X,X
TJZLIOS,O,O,O,O,X,O,O,O,X,O,O,O,X,X
TJZLSIO,O,O,O,X,X,O,O,X,X,O,X,O,X,X
TJZLSOI,O,O,O,X,O,O,O,O,X,O,X,O,X,X
TJZLOIS,O,O,O,O,O,O,O,O,X,O,O,O,X,X
TJZLOSI,O,O,O,X,O,O,O,O,X,O,X,O,X,X
TJZSILO,O,O,X,O,X,O,O,X,X,X,X,O,X,X
TJZSIOL,O,O,X,O,X,O,O,O,X,X,X,O,X,X
TJZSLIO,O,O,X,X,X,O,O,X,X,X,X,O,X,X
TJZSLOI,O,O,X,X,X,O,O,O,X,X,X,O,X,X
TJZSOIL,O,O,X,O,X,O,O,O,X,X,X,O,X,X
TJZSOLI,O,O,X,X,X,O,O,O,X,X,X,O,X,X
TJZOILS,O,O,O,O,O,X,O,O,X,X,O,O,X,X
TJZOISL,O,O,X,O,X,X,O,O,X,X,O,X,X,X
TJZOLIS,O,O,O,O,O,O,O,O,X,X,O,O,X,X
TJZOLSI,O,O,O,X,O,O,O,O,X,X,X,O,X,X
TJZOSIL,O,O,X,O,X,O,O,O,X,X,X,O,X,X
TJZOSLI,O,O,X,X,X,O,O,O,X,X,X,O,X,X
TJOILSZ,X,O,O,X,O,O,X,X,X,O,X,O,X,X
TJOILZS,X,O,O,O,O,O,O,O,X,O,O,O,X,X
TJOISLZ,O,O,X,X,O,O,X,X,X,X,X,O,X,X
TJOISZL,O,O,X,X,X,O,O,O,X,X,O,O,X,X
TJOIZLS,O,O,X,O,O,X,O,O,X,X,O,O,X,X
TJOIZSL,O,O,X,O,X,X,O,O,X,X,O,X,X,X
TJOLISZ,X,O,O,X,O,O,X,X,X,O,X,O,X,X
TJOLIZS,X,O,O,X,O,O,O,O,X,O,X,O,X,X
TJOLSIZ,O,O,O,X,O,O,X,X,X,O,X,O,X,X
