sequence,v115@FhB8IeA8GeC8CeA8AeE8JeZEJvhFFgBXhB0iBqpBzm?BmqB,v115@FhB8IeA8GeC8CeA8AeE8Jex/IvhFylBfnB0iBOpBzp?BFrB,v115@FhB8IeA8GeC8CeA8AeE8JeZFJvhFzgBfnB0iB6pBOp?BFrB,v115@FhB8IeA8GeC8CeA8AeE8JemAJvhFfnB0iBxkBTkByu?BFrB,v115@FhB8IeA8GeC8CeA8AeE8JeZFJvhFzgBfnB0iBOpB6p?BFrB,v115@FhB8IeA8GeC8CeA8AeE8Jex/IvhFXhB0iBikBzmB1u?BmqB,v115@FhB8IeA8GeC8CeA8AeE8Jex/IvhFylBfnB0iBmpBFr?BTpB,v115@FhB8IeA8GeC8CeA8AeE8JeZFJvhFFhB0iBOpBfrBzm?B6pB,v115@FhB8IeA8GeC8CeA8AeE8Jei/IvhFcpBeqBzlBRnBXn?BFrB
TIZLOSJ,O,X,O,X,X,O,X,X,X
TIZJLSO,X,X,X,X,X,O,X,X,X
TIZJLOS,X,X,X,X,X,O,X,X,O
TIZJSLO,X,X,X,O,O,O,X,X,X
TIZJSOL,X,X,X,O,O,O,X,X,X
TIZJOLS,X,X,X,X,X,X,X,X,O
TIZJOSL,X,X,X,X,O,X,X,O,X
TIZSLJO,X,X,O,O,O,X,X,X,X
TIZSLOJ,X,X,O,X,O,X,X,X,X
TIZSJLO,X,X,O,O,O,X,X,X,X
TIZSJOL,X,X,O,O,O,X,X,X,X
TIZSOLJ,X,X,O,X,O,X,X,X,X
TIZSOJL,X,X,O,O,O,X,X,X,X
TIZOLJS,O,X,X,X,X,O,X,X,X
TIZOLSJ,O,X,O,X,X,O,X,X,X
TIZOJLS,X,X,X,X,X,O,X,X,X
TIZOJSL,X,X,X,X,O,O,X,O,X
TIZOSLJ,O,X,O,X,O,O,X,O,X
TIZOSJL,O,X,O,X,O,O,X,O,X
TIOLJSZ,O,O,O,X,O,O,X,X,X
TIOLJZS,O,O,X,X,X,O,X,X,X
TIOLSJZ,O,O,O,X,O,O,X,X,X
TIOLSZJ,O,O,O,X,O,O,X,X,X
TIOLZJS,O,X,X,X,X,O,X,X,X
TIOLZSJ,O,O,O,X,X,O,X,X,X
TIOJLSZ,X,O,O,X,O,O,X,X,X
TIOJLZS,X,O,X,X,X,O,X,X,X
TIOJSLZ,X,O,O,X,O,O,X,O,X
TIOJSZL,X,O,O,O,O,O,X,O,X
TIOJZLS,X,O,X,X,X,O,X,X,O
TIOJZSL,X,O,X,X,O,O,X,O,X
TIOSLJZ,O,O,O,X,O,O,X,O,X
TIOSLZJ,O,O,O,X,O,O,X,O,X
TIOSJLZ,X,O,O,X,O,O,X,O,X
TIOSJZL,O,O,O,O,O,O,X,O,X
TIOSZLJ,O,O,O,X,O,O,X,O,X
TIOSZJL,O,O,O,O,O,O,X,O,X
TIOZLJS,O,X,X,X,X,O,X,X,X
TIOZLSJ,O,X,O,X,X,O,X,X,X
TIOZJLS,X,X,X,X,X,O,X,X,X
TIOZJSL,X,X,X,X,O,O,X,O,X
TIOZSLJ,O,X,O,X,O,O,X,O,X
TIOZSJL,O,X,O,X,O,O,X,O,X
TLIJSZO,O,O,O,O,O,X,O,X,X
TLIJSOZ,O,O,O,O,O,X,O,X,X
TLIJZSO,O,O,X,O,X,X,O,X,X
TLIJZOS,O,X,X,X,X,O,X,X,X
TLIJOSZ,O,O,O,O,O,O,O,X,X
TLIJOZS,O,X,X,X,X,O,X,X,X
TLISJZO,X,O,O,O,O,X,O,X,X
TLISJOZ,X,O,O,O,O,X,O,X,X
TLISZJO,X,O,O,O,O,X,O,X,X
TLISZOJ,O,O,O,O,O,O,O,X,X
TLISOJZ,O,O,O,O,O,O,X,X,X
TLISOZJ,O,O,O,O,O,O,O,X,X
TLIZJSO,O,X,X,O,X,X,X,X,X
TLIZJOS,O,X,X,X,X,O,X,X,X
TLIZSJO,X,O,O,O,X,X,O,X,X
TLIZSOJ,O,O,O,O,X,O,O,X,X
TLIZOJS,O,X,X,X,X,O,X,X,X
TLIZOSJ,O,X,O,X,X,O,X,X,X
TLIOJSZ,O,O,O,O,O,O,X,X,X
TLIOJZS,O,O,X,X,X,O,X,X,X
TLIOSJZ,O,O,O,O,O,O,X,X,X
TLIOSZJ,O,O,O,O,O,O,O,X,X
TLIOZJS,O,X,X,X,X,O,X,X,X
TLIOZSJ,O,O,O,X,X,O,X,X,X
TLJISZO,O,O,O,O,O,O,O,X,X
TLJISOZ,O,O,O,O,O,O,O,X,X
TLJIZSO,O,O,X,O,X,O,O,X,X
TLJIZOS,O,X,X,X,X,O,X,X,X
TLJIOSZ,O,O,O,O,O,O,O,X,X
TLJIOZS,O,X,X,X,X,O,X,X,X
TLJSIZO,O,O,O,O,O,O,O,X,X
TLJSIOZ,O,O,O,O,O,O,O,X,X
TLJSZIO,O,O,O,O,O,O,O,X,X
TLJSZOI,O,O,O,O,O,O,O,X,X
TLJSOIZ,O,O,O,O,O,O,O,X,X
TLJSOZI,O,O,O,O,O,O,O,X,X
TLJZISO,O,O,X,O,X,O,O,X,X
TLJZIOS,O,X,X,X,X,O,X,X,X
TLJZSIO,O,O,X,O,X,O,O,X,X
TLJZSOI,O,O,X,O,X,O,O,X,X
TLJZOIS,O,X,X,X,X,O,X,X,X
TLJZOSI,O,X,X,X,X,O,X,X,X
TLJOISZ,O,O,O,O,O,O,O,X,X
TLJOIZS,O,O,X,X,X,O,X,X,X
TLJOSIZ,O,O,O,O,O,O,O,X,X
TLJOSZI,O,O,O,O,O,O,O,X,X
TLJOZIS,O,O,X,X,X,O,X,X,X
TLJOZSI,O,O,X,X,X,O,X,X,X
TLSIJZO,X,O,O,O,O,X,O,X,X
TLSIJOZ,X,O,O,O,O,X,O,X,X
TLSIZJO,X,O,O,O,O,X,O,X,X
TLSIZOJ,O,O,O,O,O,O,O,X,X
TLSIOJZ,O,O,O,O,O,O,X,X,X
TLSIOZJ,O,O,O,O,O,O,O,X,X
TLSJIZO,X,O,O,O,O,X,O,X,X
TLSJIOZ,X,O,O,O,O,X,O,X,X
TLSJZIO,X,O,O,O,O,X,O,X,X
TLSJZOI,X,O,O,O,O,X,O,X,X
TLSJOIZ,X,O,O,O,O,X,O,X,X
TLSJOZI,X,O,O,O,O,X,O,X,X
TLSZIJO,X,O,O,O,O,X,O,X,X
TLSZIOJ,O,O,O,O,O,O,O,X,X
TLSZJIO,X,O,O,O,O,X,O,X,X
TLSZJOI,X,O,O,O,O,X,O,X,X
TLSZOIJ,O,O,O,O,O,O,O,X,X
TLSZOJI,O,O,O,O,O,O,O,X,X
TLSOIJZ,O,O,O,O,O,O,X,X,X
TLSOIZJ,O,O,O,O,O,O,O,X,X
TLSOJIZ,O,O,O,O,O,O,O,X,X
TLSOJZI,O,O,O,O,O,O,O,X,X
TLSOZIJ,O,O,O,O,O,O,O,X,X
TLSOZJI,O,O,O,O,O,O,O,X,X
TLZIJSO,O,X,X,O,X,X,X,X,X
TLZIJOS,O,X,X,X,X,O,X,X,X
TLZISJO,X,O,O,O,X,X,O,X,X
TLZISOJ,O,O,O,O,X,O,O,X,X
TLZIOJS,O,X,X,X,X,O,X,X,X
TLZIOSJ,O,X,O,X,X,O,X,X,X
TLZJISO,O,O,X,O,X,O,O,X,X
TLZJIOS,O,X,X,X,X,O,X,X,X
TLZJSIO,O,O,X,O,X,O,O,X,X
TLZJSOI,O,O,X,O,X,O,O,X,X
TLZJOIS,O,X,X,X,X,O,X,X,X
TLZJOSI,O,X,X,X,X,O,X,X,X
TLZSIJO,X,O,O,O,X,X,O,X,X
TLZSIOJ,O,O,O,O,X,O,O,X,X
TLZSJIO,X,O,O,O,X,X,O,X,X
TLZSJOI,X,O,O,O,X,X,O,X,X
TLZSOIJ,O,O,O,O,X,O,O,X,X
TLZSOJI,O,O,O,O,X,O,O,X,X
TLZOIJS,O,X,X,X,X,O,X,X,X
TLZOISJ,O,O,O,X,X,O,X,X,X
TLZOJIS,O,O,X,X,X,O,X,X,X
TLZOJSI,O,O,X,X,X,O,X,X,X
TLZOSIJ,O,O,O,X,X,O,X,X,X
TLZOSJI,O,O,O,X,X,O,X,X,X
TLOIJSZ,O,O,O,O,O,O,X,X,X
TLOIJZS,O,O,X,X,X,O,X,X,X
TLOISJZ,O,O,O,O,O,O,X,X,X
TLOISZJ,O,O,O,O,O,O,O,X,X
TLOIZJS,O,X,X,X,X,O,X,X,X
TLOIZSJ,O,O,O,X,X,O,X,X,X
TLOJISZ,O,O,O,O,O,O,O,X,X
TLOJIZS,O,O,X,X,X,O,X,X,X
TLOJSIZ,O,O,O,O,O,O,O,X,X
TLOJSZI,O,O,O,O,O,O,O,X,X
TLOJZIS,O,O,X,X,X,O,X,X,X
TLOJZSI,O,O,X,X,X,O,X,X,X
TLOSIJZ,O,O,O,O,O,O,X,X,X
TLOSIZJ,O,O,O,O,O,O,O,X,X
TLOSJIZ,O,O,O,O,O,O,O,X,X
TLOSJZI,O,O,O,O,O,O,O,X,X
TLOSZIJ,O,O,O,O,O,O,O,X,X
TLOSZJI,O,O,O,O,O,O,O,X,X
TLOZIJS,O,X,X,X,X,O,X,X,X
TLOZISJ,O,O,O,X,X,O,X,X,X
TLOZJIS,O,O,X,X,X,O,X,X,X
TLOZJSI,O,O,X,X,X,O,X,X,X
TLOZSIJ,O,O,O,X,X,O,X,X,X
TLOZSJI,O,O,O,X,X,O,X,X,X
TJILSZO,X,O,O,O,O,O,O,X,X
TJILSOZ,X,O,O,O,O,O,O,X,X
TJILZSO,X,O,X,O,X,O,O,X,X
TJILZOS,X,X,X,X,X,O,X,X,X
TJILOSZ,X,O,O,O,O,O,O,X,X
TJILOZS,X,X,X,X,X,O,X,X,X
TJISLZO,X,O,O,O,O,O,O,X,X
TJISLOZ,X,O,O,O,O,O,O,X,X
TJISZLO,X,O,O,O,O,O,O,X,X
TJISZOL,X,O,O,O,O,O,O,X,X
TJISOLZ,X,O,O,X,O,X,O,O,X
TJISOZL,X,O,O,O,O,O,O,O,X
TJIZLSO,X,O,X,X,X,O,X,X,X
TJIZLOS,X,X,X,X,X,O,X,X,O
TJIZSLO,X,O,X,O,O,O,X,X,X
TJIZSOL,X,O,X,O,O,O,X,X,X
TJIZOLS,X,X,X,X,X,X,X,X,O
TJIZOSL,X,X,X,X,O,X,X,O,X
TJIOLSZ,X,O,O,X,O,O,X,X,X
TJIOLZS,X,X,X,X,X,O,X,X,X
TJIOSLZ,X,O,O,X,O,O,X,O,X
TJIOSZL,X,O,O,O,O,O,X,O,X
TJIOZLS,X,X,X,X,X,O,X,X,O
TJIOZSL,X,X,X,X,O,O,X,O,X
TJLISZO,O,O,O,O,O,O,O,X,X
TJLISOZ,O,O,O,O,O,O,O,X,X
TJLIZSO,O,O,X,O,X,O,O,X,X
TJLIZOS,O,X,X,X,X,O,X,X,X
TJLIOSZ,O,O,O,O,O,O,O,X,X
TJLIOZS,O,X,X,X,X,O,X,X,X
TJLSIZO,O,O,O,O,O,O,O,X,X
TJLSIOZ,O,O,O,O,O,O,O,X,X
TJLSZIO,O,O,O,O,O,O,O,X,X
TJLSZOI,O,O,O,O,O,O,O,X,X
TJLSOIZ,O,O,O,O,O,O,O,X,X
TJLSOZI,O,O,O,O,O,O,O,X,X
TJLZISO,O,O,X,O,X,O,O,X,X
TJLZIOS,O,X,X,X,X,O,X,X,X
TJLZSIO,O,O,X,O,X,O,O,X,X
TJLZSOI,O,O,X,O,X,O,O,X,X
TJLZOIS,O,X,X,X,X,O,X,X,X
TJLZOSI,O,X,X,X,X,O,X,X,X
TJLOISZ,O,O,O,O,O,O,O,X,X
TJLOIZS,O,O,X,X,X,O,X,X,X
TJLOSIZ,O,O,O,O,O,O,O,X,X
TJLOSZI,O,O,O,O,O,O,O,X,X
TJLOZIS,O,O,X,X,X,O,X,X,X
TJLOZSI,O,O,X,X,X,O,X,X,X
TJSILZO,X,O,O,O,O,O,O,X,X
TJSILOZ,X,O,O,O,O,O,O,X,X
TJSIZLO,X,O,O,O,O,O,O,X,X
TJSIZOL,X,O,O,O,O,O,O,X,X
TJSIOLZ,X,O,O,X,O,X,O,O,X
TJSIOZL,X,O,O,O,O,O,O,O,X
TJSLIZO,O,O,O,O,O,O,O,X,X
TJSLIOZ,O,O,O,O,O,O,O,X,X
TJSLZIO,O,O,O,O,O,O,O,X,X
TJSLZOI,O,O,O,O,O,O,O,X,X
TJSLOIZ,O,O,O,O,O,O,O,X,X
TJSLOZI,O,O,O,O,O,O,O,X,X
TJSZILO,X,O,O,O,O,O,O,X,X
TJSZIOL,X,O,O,O,O,O,O,X,X
TJSZLIO,O,O,O,O,O,O,O,X,X
TJSZLOI,O,O,O,O,O,O,O,X,X
TJSZOIL,X,O,O,O,O,O,O,X,X
TJSZOLI,X,O,O,O,O,O,O,X,X
TJSOILZ,X,O,O,X,O,O,O,O,X
TJSOIZL,X,O,O,O,O,O,O,O,X
TJSOLIZ,X,O,O,O,O,O,O,O,X
TJSOLZI,X,O,O,O,O,O,O,O,X
TJSOZIL,X,O,O,O,O,O,O,O,X
TJSOZLI,X,O,O,O,O,O,O,O,X
TJZILSO,X,O,X,X,X,O,X,X,X
TJZILOS,X,X,X,X,X,O,X,X,O
TJZISLO,X,O,X,O,O,O,X,X,X
TJZISOL,X,O,X,O,O,O,X,X,X
TJZIOLS,X,X,X,X,X,X,X,X,O
TJZIOSL,X,X,X,X,O,X,X,O,X
TJZLISO,O,O,X,O,X,O,O,X,X
TJZLIOS,O,X,X,X,X,O,X,X,O
TJZLSIO,O,O,X,O,X,O,O,X,X
TJZLSOI,O,O,X,O,X,O,O,X,X
TJZLOIS,O,X,X,X,X,O,X,X,O
TJZLOSI,O,X,X,X,X,O,X,X,X
TJZSILO,X,O,X,O,O,O,O,X,X
TJZSIOL,X,O,X,O,O,O,O,X,X
TJZSLIO,O,O,X,O,O,O,O,X,X
TJZSLOI,O,O,X,O,O,O,O,X,X
TJZSOIL,X,O,X,O,O,O,O,X,X
TJZSOLI,X,O,X,O,O,O,O,X,X
TJZOILS,X,X,X,X,X,O,X,X,O
TJZOISL,X,X,X,X,O,O,X,O,X
TJZOLIS,X,X,X,X,X,O,X,X,O
TJZOLSI,X,X,X,X,X,O,X,X,X
TJZOSIL,X,X,X,X,O,O,X,O,X
TJZOSLI,X,X,X,X,O,O,X,O,X
TJOILSZ,X,O,O,X,O,O,X,X,X
TJOILZS,X,O,X,X,X,O,X,X,X
TJOISLZ,X,O,O,X,O,O,X,O,X
TJOISZL,X,O,O,O,O,O,X,O,X
TJOIZLS,X,O,X,X,X,O,X,X,O
TJOIZSL,X,O,X,X,O,O,X,O,X
TJOLISZ,O,O,O,O,O,O,O,X,X
TJOLIZS,O,O,X,X,X,O,X,X,X
TJOLSIZ,O,O,O,O,O,O,O,X,X
TJOLSZI,O,O,O,O,O,O,O,X,X
TJOLZIS,O,O,X,X,X,O,X,X,X
TJOLZSI,O,O,X,X,X,O,X,X,X
TJOSILZ,X,O,O,X,O,O,O,O,X
TJOSIZL,X,O,O,O,O,O,O,O,X
TJOSLIZ,O,O,O,O,O,O,O,O,X
TJOSLZI,O,O,O,O,O,O,O,O,X
TJOSZIL,X,O,O,O,O,O,O,O,X
TJOSZLI,O,O,O,O,O,O,O,O,X
TJOZILS,X,O,X,X,X,O,X,X,O
TJOZISL,X,O,X,X,O,O,X,O,X
TJOZLIS,O,O,X,X,X,O,X,X,O
TJOZLSI,O,O,X,X,X,O,X,X,X
TJOZSIL,X,O,X,X,O,O,X,O,X
TJOZSLI,O,O,X,X,O,O,X,O,X
TSILJZO,X,O,O,O,O,X,O,X,X
TSILJOZ,X,O,O,O,O,X,O,X,X
TSILZJO,X,O,O,O,O,X,O,X,X
TSILZOJ,X,O,O,O,O,X,O,X,X
TSILOJZ,X,O,O,O,O,X,X,X,X
TSILOZJ,X,O,O,O,O,X,O,X,X
TSIJLZO,X,O,O,O,O,X,O,X,X
TSIJLOZ,X,O,O,O,O,X,O,X,X
TSIJZLO,X,O,O,O,O,X,O,X,X
TSIJZOL,X,O,O,O,O,X,O,X,X
TSIJOLZ,X,O,O,X,O,X,O,O,X
TSIJOZL,X,O,O,O,O,X,O,O,X
TSIZLJO,X,O,O,O,O,X,O,X,X
TSIZLOJ,X,O,O,O,O,X,O,X,X
TSIZJLO,X,O,O,O,O,X,O,X,X
TSIZJOL,X,O,O,O,O,X,O,X,X
TSIZOLJ,X,O,O,X,O,X,X,X,X
TSIZOJL,X,O,O,O,O,X,X,X,X
TSIOLJZ,X,O,O,X,O,X,X,O,X
TSIOLZJ,X,O,O,X,O,X,X,O,X
TSIOJLZ,X,O,O,X,O,X,X,O,X
TSIOJZL,X,O,O,O,O,X,X,O,X
TSIOZLJ,X,O,O,X,O,X,X,O,X
TSIOZJL,X,O,O,O,O,X,X,O,X
TSLIJZO,X,O,O,O,O,X,O,X,X
TSLIJOZ,X,O,O,O,O,X,O,X,X
TSLIZJO,X,O,O,O,O,X,O,X,X
TSLIZOJ,X,O,O,O,O,O,O,X,X
TSLIOJZ,X,O,O,O,O,O,X,X,X
TSLIOZJ,X,O,O,O,O,O,O,X,X
TSLJIZO,X,O,O,O,O,X,O,X,X
TSLJIOZ,X,O,O,O,O,X,O,X,X
TSLJZIO,X,O,O,O,O,X,O,X,X
TSLJZOI,X,O,O,O,O,X,O,X,X
TSLJOIZ,X,O,O,O,O,X,O,X,X
TSLJOZI,X,O,O,O,O,X,O,X,X
TSLZIJO,X,O,O,O,O,X,O,X,X
TSLZIOJ,X,O,O,O,O,O,O,X,X
TSLZJIO,X,O,O,O,O,X,O,X,X
TSLZJOI,X,O,O,O,O,X,O,X,X
TSLZOIJ,X,O,O,O,O,O,O,X,X
TSLZOJI,X,O,O,O,O,O,O,X,X
TSLOIJZ,X,O,O,O,O,O,X,X,X
TSLOIZJ,X,O,O,O,O,O,O,X,X
TSLOJIZ,X,O,O,O,O,O,O,X,X
TSLOJZI,X,O,O,O,O,O,O,X,X
TSLOZIJ,X,O,O,O,O,O,O,X,X
TSLOZJI,X,O,O,O,O,O,O,X,X
TSJILZO,X,O,O,O,O,O,O,X,X
TSJILOZ,X,O,O,O,O,O,O,X,X
TSJIZLO,X,O,O,O,O,O,O,X,X
TSJIZOL,X,O,O,O,O,O,O,X,X
TSJIOLZ,X,O,O,X,O,X,O,O,X
TSJIOZL,X,O,O,O,O,O,O,O,X
TSJLIZO,X,O,O,O,O,O,O,X,X
TSJLIOZ,X,O,O,O,O,O,O,X,X
TSJLZIO,X,O,O,O,O,O,O,X,X
TSJLZOI,X,O,O,O,O,O,O,X,X
TSJLOIZ,X,O,O,O,O,O,O,X,X
TSJLOZI,X,O,O,O,O,O,O,X,X
TSJZILO,X,O,O,O,O,O,O,X,X
TSJZIOL,X,O,O,O,O,O,O,X,X
TSJZLIO,X,O,O,O,O,O,O,X,X
TSJZLOI,X,O,O,O,O,O,O,X,X
TSJZOIL,X,O,O,O,O,O,O,X,X
TSJZOLI,X,O,O,O,O,O,O,X,X
TSJOILZ,X,O,O,X,O,O,O,O,X
TSJOIZL,X,O,O,O,O,O,O,O,X
TSJOLIZ,X,O,O,O,O,O,O,O,X
TSJOLZI,X,O,O,O,O,O,O,O,X
TSJOZIL,X,O,O,O,O,O,O,O,X
TSJOZLI,X,O,O,O,O,O,O,O,X
TSZILJO,X,O,O,O,O,X,O,X,X
TSZILOJ,X,O,O,O,O,X,O,X,X
TSZIJLO,X,O,O,O,O,X,O,X,X
TSZIJOL,X,O,O,O,O,X,O,X,X
TSZIOLJ,X,O,O,X,O,X,X,X,X
TSZIOJL,X,O,O,O,O,X,X,X,X
TSZLIJO,X,O,O,O,O,X,O,X,X
TSZLIOJ,X,O,O,O,O,O,O,X,X
TSZLJIO,X,O,O,O,O,X,O,X,X
TSZLJOI,X,O,O,O,O,X,O,X,X
TSZLOIJ,X,O,O,O,O,O,O,X,X
TSZLOJI,X,O,O,O,O,O,O,X,X
TSZJILO,X,O,O,O,O,O,O,X,X
TSZJIOL,X,O,O,O,O,O,O,X,X
TSZJLIO,X,O,O,O,O,O,O,X,X
TSZJLOI,X,O,O,O,O,O,O,X,X
TSZJOIL,X,O,O,O,O,O,O,X,X
TSZJOLI,X,O,O,O,O,O,O,X,X
TSZOILJ,X,O,O,X,O,O,X,X,X
TSZOIJL,X,O,O,O,O,O,X,X,X
TSZOLIJ,X,O,O,O,O,O,O,X,X
TSZOLJI,X,O,O,O,O,O,O,X,X
TSZOJIL,X,O,O,O,O,O,O,X,X
TSZOJLI,X,O,O,O,O,O,O,X,X
TSOILJZ,X,O,O,X,O,O,X,O,X
TSOILZJ,X,O,O,X,O,O,X,O,X
TSOIJLZ,X,O,O,X,O,O,X,O,X
TSOIJZL,X,O,O,O,O,O,X,O,X
TSOIZLJ,X,O,O,X,O,O,X,O,X
TSOIZJL,X,O,O,O,O,O,X,O,X
TSOLIJZ,X,O,O,O,O,O,X,O,X
TSOLIZJ,X,O,O,O,O,O,O,O,X
TSOLJIZ,X,O,O,O,O,O,O,O,X
TSOLJZI,X,O,O,O,O,O,O,O,X
TSOLZIJ,X,O,O,O,O,O,O,O,X
TSOLZJI,X,O,O,O,O,O,O,O,X
TSOJILZ,X,O,O,X,O,O,O,O,X
TSOJIZL,X,O,O,O,O,O,O,O,X
TSOJLIZ,X,O,O,O,O,O,O,O,X
TSOJLZI,X,O,O,O,O,O,O,O,X
TSOJZIL,X,O,O,O,O,O,O,O,X
TSOJZLI,X,O,O,O,O,O,O,O,X
TSOZILJ,X,O,O,X,O,O,X,O,X
TSOZIJL,X,O,O,O,O,O,X,O,X
TSOZLIJ,X,O,O,O,O,O,O,O,X
TSOZLJI,X,O,O,O,O,O,O,O,X
TSOZJIL,X,O,O,O,O,O,O,O,X
TSOZJLI,X,O,O,O,O,O,O,O,X
TZILJSO,O,X,X,X,X,X,X,X,X
TZILJOS,O,X,X,X,X,O,X,X,O
TZILSJO,X,X,O,X,X,X,X,X,X
TZILSOJ,O,X,O,X,X,O,X,X,X
TZILOJS,O,X,X,X,X,O,X,X,X
TZILOSJ,O,X,O,X,X,O,X,X,X
TZIJLSO,X,X,X,X,X,O,X,X,X
TZIJLOS,X,X,X,X,X,O,X,X,O
TZIJSLO,X,X,X,O,O,O,X,X,X
TZIJSOL,X,X,X,O,O,O,X,X,X
TZIJOLS,X,X,X,X,X,X,X,X,O
TZIJOSL,X,X,X,X,O,X,X,O,X
TZISLJO,X,X,O,O,O,X,X,X,X
TZISLOJ,X,X,O,X,O,X,X,X,X
TZISJLO,X,X,O,O,O,X,X,X,X
TZISJOL,X,X,O,O,O,X,X,X,X
TZISOLJ,X,X,O,X,O,X,X,X,X
TZISOJL,X,X,O,O,O,X,X,X,X
TZIOLJS,O,X,X,X,X,O,X,X,X
TZIOLSJ,O,X,O,X,X,O,X,X,X
TZIOJLS,X,X,X,X,X,O,X,X,X
