sequence,v115@HhB8HeC8FeE8DeB8Jem/IvhFqlB/mBTjB0nBFnBxwB,v115@HhB8HeC8FeE8DeB8Jex/IvhFylBcnBTjBFrB3sBurB,v115@HhB8HeC8FeE8DeB8Jem/IvhFRhBqnBTjBfrBUsBlrB,v115@HhB8HeC8FeE8DeB8Jex/IvhFylBzhBcoBFrBXsBusB,v115@HhB8HeC8FeE8DeB8Jex/IvhF3iBcoBllB+rBimBTsB,v115@HhB8HeC8FeE8DeB8Jex/IvhF0hBWoBllBKsBXoBTrB,v115@HhB8HeC8FeE8DeB8Jex/IvhF0hBSoBllB2sBTrB3sB
TIJOLZS,O,X,X,X,O,O,O
TIJOSLZ,X,O,X,O,X,X,X
TIJOSZL,X,O,X,O,O,O,X
TIJOZLS,O,X,X,X,O,O,O
TIJOZSL,X,X,X,X,O,O,X
TISLJZO,O,O,X,O,X,X,X
TISLJOZ,O,O,X,O,X,X,X
TISLZJO,O,O,X,O,X,X,X
TISLZOJ,O,O,X,O,X,X,O
TISLOJZ,O,O,X,O,X,X,X
TISLOZJ,O,O,X,O,X,X,O
TISJLZO,X,O,X,O,X,X,X
TISJLOZ,X,O,X,O,X,X,X
TISJZLO,X,O,X,O,O,O,X
TISJZOL,X,O,X,O,O,X,X
TISJOLZ,X,O,X,O,X,X,X
TISJOZL,X,O,X,O,O,O,X
TISZLJO,O,O,X,O,O,X,X
TISZLOJ,O,O,X,O,X,X,O
TISZJLO,X,O,X,O,O,O,X
TISZJOL,X,O,X,O,O,X,X
TISZOLJ,O,O,X,O,O,X,X
TISZOJL,X,O,X,O,O,X,X
TISOLJZ,O,O,X,O,X,X,X
TISOLZJ,O,O,X,O,X,X,O
TISOJLZ,X,O,X,O,X,X,X
TISOJZL,X,O,X,O,O,O,X
TISOZLJ,O,O,X,O,O,X,O
TISOZJL,X,O,X,O,O,O,X
TIZLJSO,O,X,X,O,O,O,X
TIZLJOS,O,X,X,X,O,O,O
TIZLSJO,O,O,X,O,O,X,X
TIZLSOJ,O,O,X,O,X,X,O
TIZLOJS,O,X,X,X,O,X,O
TIZLOSJ,O,O,X,O,O,X,O
TIZJLSO,O,X,X,O,O,O,X
TIZJLOS,O,X,X,X,O,O,O
TIZJSLO,X,X,X,O,O,O,X
TIZJSOL,X,X,X,O,O,X,X
TIZJOLS,O,X,X,X,O,O,X
TIZJOSL,X,X,X,X,O,O,X
TIZSLJO,O,O,X,O,O,X,X
TIZSLOJ,O,O,X,O,X,X,O
TIZSJLO,X,O,X,O,O,O,X
TIZSJOL,X,O,X,O,O,X,X
TIZSOLJ,O,O,X,O,O,X,X
TIZSOJL,X,O,X,O,O,X,X
TIZOLJS,O,X,X,X,O,O,O
TIZOLSJ,O,O,X,O,O,X,O
TIZOJLS,O,X,X,X,O,O,O
TIZOJSL,X,X,X,X,O,O,X
TIZOSLJ,O,O,X,O,O,X,O
TIZOSJL,X,O,X,O,O,O,X
TIOLJSZ,O,O,X,O,X,X,X
TIOLJZS,O,X,X,X,O,O,O
TIOLSJZ,O,O,X,O,X,X,X
TIOLSZJ,O,O,X,O,X,X,O
TIOLZJS,O,X,X,X,O,O,O
TIOLZSJ,O,O,X,O,O,X,O
TIOJLSZ,O,O,X,O,X,X,X
TIOJLZS,O,X,X,X,O,O,O
TIOJSLZ,X,O,X,O,X,X,X
TIOJSZL,X,O,X,O,O,O,X
TIOJZLS,O,X,X,X,O,O,O
TIOJZSL,X,X,X,X,O,O,X
TIOSLJZ,O,O,X,O,X,X,X
TIOSLZJ,O,O,X,O,X,X,O
TIOSJLZ,X,O,X,O,X,X,X
TIOSJZL,X,O,X,O,O,O,X
TIOSZLJ,O,O,X,O,O,X,O
TIOSZJL,X,O,X,O,O,O,X
TIOZLJS,O,X,X,X,O,O,O
TIOZLSJ,O,O,X,O,O,X,O
TIOZJLS,O,X,X,X,O,O,O
TIOZJSL,X,X,X,X,O,O,X
TIOZSLJ,O,O,X,O,O,X,O
TIOZSJL,X,O,X,O,O,O,X
TLIJSZO,O,O,X,O,X,X,X
TLIJSOZ,O,O,X,O,X,X,X
TLIJZSO,O,X,X,O,O,O,X
TLIJZOS,O,X,X,X,O,O,O
TLIJOSZ,O,O,X,O,X,X,X
TLIJOZS,O,X,X,X,O,O,O
TLISJZO,O,O,X,O,X,X,X
TLISJOZ,O,O,X,O,X,X,X
TLISZJO,O,O,X,O,X,X,X
TLISZOJ,O,O,X,O,X,X,O
TLISOJZ,O,O,X,O,X,X,X
TLISOZJ,O,O,X,O,X,X,O
TLIZJSO,O,X,X,O,O,O,X
TLIZJOS,O,X,X,X,O,O,O
TLIZSJO,O,O,X,O,O,X,X
TLIZSOJ,O,O,X,O,X,X,O
TLIZOJS,O,X,X,X,O,X,O
TLIZOSJ,O,O,X,O,O,X,O
TLIOJSZ,O,O,X,O,X,X,X
TLIOJZS,O,X,X,X,O,O,O
TLIOSJZ,O,O,X,O,X,X,X
TLIOSZJ,O,O,X,O,X,X,O
TLIOZJS,O,X,X,X,O,O,O
TLIOZSJ,O,O,X,O,O,X,O
TLJISZO,O,O,X,O,X,X,X
TLJISOZ,O,O,X,O,X,X,X
TLJIZSO,O,X,X,O,O,O,X
TLJIZOS,O,X,X,X,O,O,O
TLJIOSZ,O,O,X,O,X,X,X
TLJIOZS,O,X,X,X,O,O,O
TLJSIZO,O,O,X,O,X,X,X
TLJSIOZ,O,O,O,O,X,X,X
TLJSZIO,X,O,O,O,X,X,X
TLJSZOI,O,O,O,O,X,X,X
TLJSOIZ,O,O,O,O,X,X,X
TLJSOZI,O,O,O,O,X,X,X
TLJZISO,X,X,X,O,O,O,X
TLJZIOS,X,X,X,X,O,O,O
TLJZSIO,X,X,O,O,O,O,X
TLJZSOI,O,X,O,O,O,O,X
TLJZOIS,X,X,X,X,O,O,O
TLJZOSI,O,X,O,X,O,O,O
TLJOISZ,O,O,X,O,X,X,X
TLJOIZS,O,X,X,X,O,O,O
TLJOSIZ,O,O,O,O,X,X,X
TLJOSZI,O,O,O,O,X,X,X
TLJOZIS,X,X,X,X,O,O,O
TLJOZSI,O,X,O,X,O,O,O
TLSIJZO,O,O,X,O,X,X,X
TLSIJOZ,O,O,O,O,X,X,X
TLSIZJO,O,O,X,O,X,X,X
TLSIZOJ,O,O,X,O,X,X,O
TLSIOJZ,O,O,O,O,X,X,X
TLSIOZJ,O,O,X,O,X,X,O
TLSJIZO,O,O,X,O,X,X,X
TLSJIOZ,O,O,O,O,X,X,X
TLSJZIO,X,O,O,O,X,X,X
TLSJZOI,O,O,O,O,X,X,X
TLSJOIZ,O,O,O,O,X,X,X
TLSJOZI,O,O,O,O,X,X,X
TLSZIJO,X,O,O,O,X,X,X
TLSZIOJ,X,O,O,O,X,X,O
TLSZJIO,X,O,O,O,X,X,X
TLSZJOI,O,O,O,O,X,X,X
TLSZOIJ,X,O,O,O,X,X,O
TLSZOJI,O,O,O,O,X,X,O
TLSOIJZ,O,O,O,O,X,X,X
TLSOIZJ,O,O,X,O,X,X,O
TLSOJIZ,O,O,O,O,X,X,X
TLSOJZI,O,O,O,O,X,X,X
TLSOZIJ,X,O,O,O,X,X,O
TLSOZJI,O,O,O,O,X,X,O
TLZIJSO,X,X,X,O,O,O,X
TLZIJOS,X,X,X,X,O,O,O
TLZISJO,X,O,X,O,O,X,X
TLZISOJ,X,O,X,O,X,X,O
TLZIOJS,X,X,X,X,O,X,O
TLZIOSJ,X,O,X,O,O,X,O
TLZJISO,X,X,X,O,O,O,X
TLZJIOS,X,X,X,X,O,O,O
TLZJSIO,X,X,O,O,O,O,X
TLZJSOI,O,X,O,O,O,O,X
TLZJOIS,X,X,X,X,O,O,O
TLZJOSI,O,X,O,X,O,O,O
TLZSIJO,X,O,O,O,O,X,X
TLZSIOJ,X,O,O,O,X,X,O
TLZSJIO,X,O,O,O,O,X,X
TLZSJOI,O,O,O,O,O,X,X
TLZSOIJ,X,O,O,O,X,X,O
TLZSOJI,O,O,O,O,X,X,O
TLZOIJS,X,X,X,X,O,X,O
TLZOISJ,X,O,X,O,O,X,O
TLZOJIS,X,X,X,X,O,X,O
TLZOJSI,O,X,O,X,O,X,O
TLZOSIJ,X,O,O,O,O,X,O
TLZOSJI,O,O,O,O,O,X,O
TLOIJSZ,O,O,X,O,X,X,X
TLOIJZS,O,X,X,X,O,O,O
TLOISJZ,O,O,X,O,X,X,X
TLOISZJ,O,O,X,O,X,X,O
TLOIZJS,O,X,X,X,O,O,O
TLOIZSJ,O,O,X,O,O,X,O
TLOJISZ,O,O,X,O,X,X,X
TLOJIZS,O,X,X,X,O,O,O
TLOJSIZ,O,O,O,O,X,X,X
TLOJSZI,O,O,O,O,X,X,X
TLOJZIS,X,X,X,X,O,O,O
TLOJZSI,O,X,O,X,O,O,O
TLOSIJZ,O,O,O,O,X,X,X
TLOSIZJ,O,O,X,O,X,X,O
TLOSJIZ,O,O,O,O,X,X,X
TLOSJZI,O,O,O,O,X,X,X
TLOSZIJ,X,O,O,O,X,X,O
TLOSZJI,O,O,O,O,X,X,O
TLOZIJS,X,X,X,X,O,O,O
TLOZISJ,X,O,X,O,O,X,O
TLOZJIS,X,X,X,X,O,O,O
TLOZJSI,O,X,O,X,O,O,O
TLOZSIJ,X,O,O,O,O,X,O
TLOZSJI,O,O,O,O,O,X,O
TJILSZO,O,O,X,O,X,X,X
TJILSOZ,O,O,X,O,X,X,X
TJILZSO,O,X,X,O,O,O,X
TJILZOS,O,X,X,X,O,O,O
TJILOSZ,O,O,X,O,X,X,X
TJILOZS,O,X,X,X,O,O,O
TJISLZO,X,O,X,O,X,X,X
TJISLOZ,X,O,X,O,X,X,X
TJISZLO,X,O,X,O,O,O,X
TJISZOL,X,O,X,O,O,X,X
TJISOLZ,X,O,X,O,X,X,X
TJISOZL,X,O,X,O,O,O,X
TJIZLSO,O,X,X,O,O,O,X
TJIZLOS,O,X,X,X,O,O,O
TJIZSLO,X,X,X,O,O,O,X
TJIZSOL,X,X,X,O,O,X,X
TJIZOLS,O,X,X,X,O,O,X
TJIZOSL,X,X,X,X,O,O,X
TJIOLSZ,O,O,X,O,X,X,X
TJIOLZS,O,X,X,X,O,O,O
TJIOSLZ,X,O,X,O,X,X,X
TJIOSZL,X,O,X,O,O,O,X
TJIOZLS,O,X,X,X,O,O,O
TJIOZSL,X,X,X,X,O,O,X
TJLISZO,O,O,X,O,X,X,X
TJLISOZ,O,O,X,O,X,X,X
TJLIZSO,O,X,X,O,O,O,X
TJLIZOS,O,X,X,X,O,O,O
TJLIOSZ,O,O,X,O,X,X,X
TJLIOZS,O,X,X,X,O,O,O
TJLSIZO,O,O,X,O,X,X,X
TJLSIOZ,O,O,O,O,X,X,X
TJLSZIO,X,O,O,O,X,X,X
TJLSZOI,O,O,O,O,X,X,X
TJLSOIZ,O,O,O,O,X,X,X
TJLSOZI,O,O,O,O,X,X,X
TJLZISO,X,X,X,O,O,O,X
TJLZIOS,X,X,X,X,O,O,O
TJLZSIO,X,X,O,O,O,O,X
TJLZSOI,O,X,O,O,O,O,X
TJLZOIS,X,X,X,X,O,O,O
TJLZOSI,O,X,O,X,O,O,O
TJLOISZ,O,O,X,O,X,X,X
TJLOIZS,O,X,X,X,O,O,O
TJLOSIZ,O,O,O,O,X,X,X
TJLOSZI,O,O,O,O,X,X,X
TJLOZIS,X,X,X,X,O,O,O
TJLOZSI,O,X,O,X,O,O,O
TJSILZO,X,O,X,O,X,X,X
TJSILOZ,X,O,O,O,X,X,X
TJSIZLO,X,O,O,O,O,O,X
TJSIZOL,X,O,X,O,O,X,X
TJSIOLZ,X,O,X,O,X,X,X
TJSIOZL,X,O,X,O,O,O,X
TJSLIZO,X,O,X,O,X,X,X
TJSLIOZ,X,O,O,O,X,X,X
TJSLZIO,X,O,O,O,X,X,X
TJSLZOI,X,O,O,O,X,X,X
TJSLOIZ,X,O,O,O,X,X,X
TJSLOZI,X,O,O,O,X,X,X
TJSZILO,X,O,O,O,O,O,X
TJSZIOL,X,O,X,O,O,X,X
TJSZLIO,X,O,O,O,O,O,X
TJSZLOI,X,O,O,O,O,O,X
TJSZOIL,X,O,X,O,O,X,X
TJSZOLI,X,O,O,O,O,X,X
TJSOILZ,X,O,X,O,X,X,X
TJSOIZL,X,O,X,O,O,O,X
TJSOLIZ,X,O,O,O,X,X,X
TJSOLZI,X,O,O,O,X,X,X
TJSOZIL,X,O,X,O,O,O,X
TJSOZLI,X,O,O,O,O,O,X
TJZILSO,O,X,X,O,O,O,X
TJZILOS,O,X,X,X,O,O,O
TJZISLO,X,X,X,O,O,O,X
TJZISOL,X,X,X,O,O,X,X
TJZIOLS,O,X,X,X,O,O,X
TJZIOSL,X,X,X,X,O,O,X
TJZLISO,X,X,X,O,O,O,X
TJZLIOS,X,X,X,X,O,O,O
TJZLSIO,X,X,O,O,O,O,X
TJZLSOI,O,X,O,O,O,O,X
TJZLOIS,X,X,X,X,O,O,O
TJZLOSI,O,X,O,X,O,O,O
TJZSILO,X,X,O,O,O,O,X
TJZSIOL,X,X,X,O,O,X,X
TJZSLIO,X,X,O,O,O,O,X
TJZSLOI,X,X,O,O,O,O,X
TJZSOIL,X,X,X,O,O,X,X
TJZSOLI,X,X,O,O,O,X,X
TJZOILS,O,X,X,X,O,O,X
TJZOISL,X,X,X,X,O,O,X
TJZOLIS,X,X,X,X,O,O,X
TJZOLSI,O,X,O,X,O,O,X
TJZOSIL,X,X,X,X,O,O,X
TJZOSLI,X,X,O,X,O,O,X
TJOILSZ,O,O,X,O,X,X,X
TJOILZS,O,X,X,X,O,O,O
TJOISLZ,X,O,X,O,X,X,X
TJOISZL,X,O,X,O,O,O,X
TJOIZLS,O,X,X,X,O,O,O
TJOIZSL,X,X,X,X,O,O,X
TJOLISZ,O,O,X,O,X,X,X
TJOLIZS,O,X,X,X,O,O,O
TJOLSIZ,O,O,O,O,X,X,X
TJOLSZI,O,O,O,O,X,X,X
TJOLZIS,X,X,X,X,O,O,O
TJOLZSI,O,X,O,X,O,O,O
TJOSILZ,X,O,X,O,X,X,X
TJOSIZL,X,O,X,O,O,O,X
TJOSLIZ,X,O,O,O,X,X,X
TJOSLZI,X,O,O,O,X,X,X
TJOSZIL,X,O,X,O,O,O,X
TJOSZLI,X,O,O,O,O,O,X
TJOZILS,O,X,X,X,O,O,O
TJOZISL,X,X,X,X,O,O,X
TJOZLIS,X,X,X,X,O,O,O
TJOZLSI,O,X,O,X,O,O,O
TJOZSIL,X,X,X,X,O,O,X
TJOZSLI,X,X,O,X,O,O,X
TSILJZO,X,O,X,O,X,X,X
TSILJOZ,X,O,O,O,X,X,X
TSILZJO,X,O,X,O,X,X,X
TSILZOJ,X,O,X,O,X,X,O
TSILOJZ,X,O,O,O,X,X,X
TSILOZJ,X,O,X,O,X,X,O
TSIJLZO,X,O,X,O,X,X,X
TSIJLOZ,X,O,O,O,X,X,X
TSIJZLO,X,O,O,O,O,O,X
TSIJZOL,X,O,X,O,O,X,X
TSIJOLZ,X,O,X,O,X,X,X
TSIJOZL,X,O,X,O,O,O,X
TSIZLJO,X,O,O,O,O,X,X
TSIZLOJ,X,O,O,O,X,X,O
TSIZJLO,X,O,O,O,O,O,X
TSIZJOL,X,O,X,O,O,X,X
TSIZOLJ,X,O,X,O,O,X,X
TSIZOJL,X,O,X,O,O,X,X
TSIOLJZ,X,O,X,O,X,X,X
TSIOLZJ,X,O,X,O,X,X,O
TSIOJLZ,X,O,X,O,X,X,X
TSIOJZL,X,O,X,O,O,O,X
TSIOZLJ,X,O,X,O,O,X,O
TSIOZJL,X,O,X,O,O,O,X
TSLIJZO,X,O,X,O,X,X,X
TSLIJOZ,X,O,O,O,X,X,X
TSLIZJO,X,O,X,O,X,X,X
TSLIZOJ,X,O,X,O,X,X,O
TSLIOJZ,X,O,O,O,X,X,X
TSLIOZJ,X,O,X,O,X,X,O
TSLJIZO,X,O,X,O,X,X,X
TSLJIOZ,X,O,O,O,X,X,X
TSLJZIO,X,O,O,O,X,X,X
TSLJZOI,X,O,O,O,X,X,X
TSLJOIZ,X,O,O,O,X,X,X
TSLJOZI,X,O,O,O,X,X,X
TSLZIJO,X,O,O,O,X,X,X
TSLZIOJ,X,O,O,O,X,X,O
TSLZJIO,X,O,O,O,X,X,X
TSLZJOI,X,O,O,O,X,X,X
TSLZOIJ,X,O,O,O,X,X,O
TSLZOJI,X,O,O,O,X,X,O
TSLOIJZ,X,O,O,O,X,X,X
TSLOIZJ,X,O,X,O,X,X,O
TSLOJIZ,X,O,O,O,X,X,X
TSLOJZI,X,O,O,O,X,X,X
TSLOZIJ,X,O,O,O,X,X,O
TSLOZJI,X,O,O,O,X,X,O
TSJILZO,X,O,X,O,X,X,X
TSJILOZ,X,O,O,O,X,X,X
TSJIZLO,X,O,O,O,O,O,X
TSJIZOL,X,O,X,O,O,X,X
TSJIOLZ,X,O,X,O,X,X,X
TSJIOZL,X,O,X,O,O,O,X
TSJLIZO,X,O,X,O,X,X,X
TSJLIOZ,X,O,O,O,X,X,X
TSJLZIO,X,O,O,O,X,X,X
TSJLZOI,X,O,O,O,X,X,X
TSJLOIZ,X,O,O,O,X,X,X
TSJLOZI,X,O,O,O,X,X,X
TSJZILO,X,O,O,O,O,O,X
TSJZIOL,X,O,X,O,O,X,X
TSJZLIO,X,O,O,O,O,O,X
TSJZLOI,X,O,O,O,O,O,X
TSJZOIL,X,O,X,O,O,X,X
TSJZOLI,X,O,O,O,O,X,X
TSJOILZ,X,O,X,O,X,X,X
TSJOIZL,X,O,X,O,O,O,X
TSJOLIZ,X,O,O,O,X,X,X
TSJOLZI,X,O,O,O,X,X,X
TSJOZIL,X,O,X,O,O,O,X
TSJOZLI,X,O,O,O,O,O,X
TSZILJO,X,O,O,O,O,X,X
TSZILOJ,X,O,O,O,X,X,O
TSZIJLO,X,O,O,O,O,O,X
TSZIJOL,X,O,X,O,O,X,X
TSZIOLJ,X,O,X,O,O,X,X
TSZIOJL,X,O,X,O,O,X,X
TSZLIJO,X,O,O,O,O,X,X
TSZLIOJ,X,O,O,O,X,X,O
TSZLJIO,X,O,O,O,O,X,X
TSZLJOI,X,O,O,O,O,X,X
TSZLOIJ,X,O,O,O,X,X,O
TSZLOJI,X,O,O,O,X,X,O
TSZJILO,X,O,O,O,O,O,X
TSZJIOL,X,O,X,O,O,X,X
TSZJLIO,X,O,O,O,O,O,X
TSZJLOI,X,O,O,O,O,O,X
TSZJOIL,X,O,X,O,O,X,X
TSZJOLI,X,O,O,O,O,X,X
TSZOILJ,X,O,X,O,O,X,X
TSZOIJL,X,O,X,O,O,X,X
TSZOLIJ,X,O,O,O,O,X,X
TSZOLJI,X,O,O,O,O,X,X
TSZOJIL,X,O,X,O,O,X,X
TSZOJLI,X,O,O,O,O,X,X
TSOILJZ,X,O,X,O,X,X,X
TSOILZJ,X,O,X,O,X,X,O
TSOIJLZ,X,O,X,O,X,X,X
TSOIJZL,X,O,X,O,O,O,X
TSOIZLJ,X,O,X,O,O,X,O
TSOIZJL,X,O,X,O,O,O,X
TSOLIJZ,X,O,O,O,X,X,X
TSOLIZJ,X,O,X,O,X,X,O
TSOLJIZ,X,O,O,O,X,X,X
TSOLJZI,X,O,O,O,X,X,X
TSOLZIJ,X,O,O,O,X,X,O
TSOLZJI,X,O,O,O,X,X,O
TSOJILZ,X,O,X,O,X,X,X
TSOJIZL,X,O,X,O,O,O,X
TSOJLIZ,X,O,O,O,X,X,X
TSOJLZI,X,O,O,O,X,X,X
TSOJZIL,X,O,X,O,O,O,X
TSOJZLI,X,O,O,O,O,O,X
TSOZILJ,X,O,X,O,O,X,O
TSOZIJL,X,O,X,O,O,O,X
TSOZLIJ,X,O,O,O,O,X,O
TSOZLJI,X,O,O,O,O,X,O
TSOZJIL,X,O,X,O,O,O,X
TSOZJLI,X,O,O,O,O,O,X
TZILJSO,O,X,X,O,O,O,X
TZILJOS,O,X,X,X,O,O,O
TZILSJO,O,O,X,O,O,X,X
TZILSOJ,O,O,X,O,X,X,O
TZILOJS,O,X,X,X,O,X,O
TZILOSJ,O,O,X,O,O,X,O
TZIJLSO,O,X,X,O,O,O,X
TZIJLOS,O,X,X,X,O,O,O
TZIJSLO,X,X,X,O,O,O,X
TZIJSOL,X,X,X,O,O,X,X
TZIJOLS,O,X,X,X,O,O,X
TZIJOSL,X,X,X,X,O,O,X
TZISLJO,O,O,X,O,O,X,X
TZISLOJ,O,O,X,O,X,X,O
TZISJLO,X,O,X,O,O,O,X
TZISJOL,X,O,X,O,O,X,X
TZISOLJ,O,O,X,O,O,X,X
TZISOJL,X,O,X,O,O,X,X
TZIOLJS,O,X,X,X,O,O,O
TZIOLSJ,O,O,X,O,O,X,O
TZIOJLS,O,X,X,X,O,O,O
TZIOJSL,X,X,X,X,O,O,X
TZIOSLJ,O,O,X,O,O,X,O
TZIOSJL,X,O,X,O,O,O,X
TZLIJSO,X,X,X,O,O,O,X
TZLIJOS,X,X,X,X,O,O,O
TZLISJO,X,O,X,O,O,X,X
TZLISOJ,X,O,X,O,X,X,O
TZLIOJS,X,X,X,X,O,X,O
TZLIOSJ,X,O,X,O,O,X,O
TZLJISO,X,X,X,O,O,O,X
TZLJIOS,X,X,X,X,O,O,O
TZLJSIO,X,X,O,O,O,O,X
TZLJSOI,O,X,O,O,O,O,X
TZLJOIS,X,X,X,X,O,O,O
TZLJOSI,O,X,O,X,O,O,O
TZLSIJO,X,O,O,O,O,X,X
TZLSIOJ,X,O,O,O,X,X,O
TZLSJIO,X,O,O,O,O,X,X
TZLSJOI,O,O,O,O,O,X,X
TZLSOIJ,X,O,O,O,X,X,O
TZLSOJI,O,O,O,O,X,X,O
TZLOIJS,X,X,X,X,O,X,O
TZLOISJ,X,O,X,O,O,X,O
TZLOJIS,X,X,X,X,O,X,O
TZLOJSI,O,X,O,X,O,X,O
TZLOSIJ,X,O,O,O,O,X,O
TZLOSJI,O,O,O,O,O,X,O
TZJILSO,O,X,X,O,O,O,X
TZJILOS,O,X,X,X,O,O,O
TZJISLO,X,X,X,O,O,O,X
TZJISOL,X,X,X,O,O,X,X
TZJIOLS,O,X,X,X,O,O,X
TZJIOSL,X,X,X,X,O,O,X
TZJLISO,X,X,X,O,O,O,X
TZJLIOS,X,X,X,X,O,O,O
TZJLSIO,X,X,O,O,O,O,X
TZJLSOI,O,X,O,O,O,O,X
TZJLOIS,X,X,X,X,O,O,O
TZJLOSI,O,X,O,X,O,O,O
TZJSILO,X,X,O,O,O,O,X
TZJSIOL,X,X,X,O,O,X,X
TZJSLIO,X,X,O,O,O,O,X
TZJSLOI,X,X,O,O,O,O,X
TZJSOIL,X,X,X,O,O,X,X
TZJSOLI,X,X,O,O,O,X,X
TZJOILS,O,X,X,X,O,O,X
TZJOISL,X,X,X,X,O,O,X
TZJOLIS,X,X,X,X,O,O,X
TZJOLSI,O,X,O,X,O,O,X
TZJOSIL,X,X,X,X,O,O,X
TZJOSLI,X,X,O,X,O,O,X
TZSILJO,X,O,O,O,O,X,X
TZSILOJ,X,O,O,O,X,X,O
TZSIJLO,X,O,O,O,O,O,X
TZSIJOL,X,O,X,O,O,X,X
TZSIOLJ,X,O,X,O,O,X,X
TZSIOJL,X,O,X,O,O,X,X
TZSLIJO,X,O,O,O,O,X,X
TZSLIOJ,X,O,O,O,X,X,O
TZSLJIO,X,O,O,O,O,X,X
TZSLJOI,X,O,O,O,O,X,X
TZSLOIJ,X,O,O,O,X,X,O
TZSLOJI,X,O,O,O,X,X,O
TZSJILO,X,O,O,O,O,O,X
TZSJIOL,X,O,X,O,O,X,X
TZSJLIO,X,O,O,O,O,O,X
TZSJLOI,X,O,O,O,O,O,X
TZSJOIL,X,O,X,O,O,X,X
TZSJOLI,X,O,O,O,O,X,X
TZSOILJ,X,O,X,O,O,X,X
TZSOIJL,X,O,X,O,O,X,X
TZSOLIJ,X,O,O,O,O,X,X
TZSOLJI,X,O,O,O,O,X,X
TZSOJIL,X,O,X,O,O,X,X
TZSOJLI,X,O,O,O,O,X,X
TZOILJS,O,X,X,X,O,O,O
TZOILSJ,O,O,X,O,O,X,O
TZOIJLS,O,X,X,X,O,O,O
TZOIJSL,X,X,X,X,O,O,X
TZOISLJ,O,O,X,O,O,X,O
TZOISJL,X,O,X,O,O,O,X
TZOLIJS,X,X,X,X,O,O,O
TZOLISJ,X,O,X,O,O,X,O
TZOLJIS,X,X,X,X,O,O,O
TZOLJSI,O,X,O,X,O,O,O
TZOLSIJ,X,O,O,O,O,X,O
TZOLSJI,O,O,O,O,O,X,O
TZOJILS,O,X,X,X,O,O,O
TZOJISL,X,X,X,X,O,O,X
TZOJLIS,X,X,X,X,O,O,O
TZOJLSI,O,X,O,X,O,O,O
TZOJSIL,X,X,X,X,O,O,X
TZOJSLI,X,X,O,X,O,O,X
TZOSILJ,X,O,X,O,O,X,O
TZOSIJL,X,O,X,O,O,O,X
TZOSLIJ,X,O,O,O,O,X,O
TZOSLJI,X,O,O,O,O,X,O
TZOSJIL,X,O,X,O,O,O,X
TZOSJLI,X,O,O,O,O,O,X
TOILJSZ,O,O,X,O,X,X,X
TOILJZS,O,X,X,X,O,O,O
TOILSJZ,O,O,X,O,X,X,X
TOILSZJ,O,O,X,O,X,X,O
TOILZJS,O,X,X,X,O,O,O
