sequence,v115@HhA8IeF8BeD8GeA8Je0/IvhFlgBzhBGjB3nByvBRxB,v115@HhA8IeF8BeD8GeA8Jel/IvhF3gBGiBTjBUnByvBRxB,v115@HhA8IeF8BeD8GeA8Jex/IvhFmhBTjBXsBqsBUqBFrB,v115@HhA8IeF8BeD8GeA8Jel/IvhF6nBTjBmmBcqBXrBRxB,v115@HhA8IeF8BeD8GeA8Je0/IvhFzgBfnBSoBlnB2vBRxB,v115@HhA8IeF8BeD8GeA8Jel/IvhFRiBXsBarBctBTqBGsB,v115@HhA8IeF8BeD8GeA8Jex/IvhFmhBSoBXsBUqBFrBzsB,v115@HhA8IeF8BeD8GeA8Je0/IvhFzgBfnBxiBSxBFtB2vB
TZJOSLI,O,O,X,X,X,X,X,X
TZSILJO,O,O,X,X,X,O,X,X
TZSILOJ,O,O,X,X,O,O,X,X
TZSIJLO,O,O,X,X,X,O,X,X
TZSIJOL,O,O,X,X,X,O,X,X
TZSIOLJ,O,O,X,X,O,O,X,X
TZSIOJL,O,O,X,X,X,O,X,X
TZSLIJO,O,O,X,X,X,O,X,X
TZSLIOJ,X,O,X,X,X,O,X,X
TZSLJIO,O,O,X,X,X,O,X,X
TZSLJOI,O,O,X,X,X,O,X,X
TZSLOIJ,X,O,X,X,O,O,X,X
TZSLOJI,O,O,X,X,O,O,X,X
TZSJILO,O,O,X,X,X,O,X,X
TZSJIOL,O,O,X,X,X,O,X,X
TZSJLIO,O,O,X,X,X,O,X,X
TZSJLOI,O,O,X,X,X,O,X,X
TZSJOIL,O,O,X,X,X,O,X,X
TZSJOLI,O,O,X,X,X,O,X,X
TZSOILJ,X,O,X,X,O,O,X,X
TZSOIJL,O,O,X,X,X,O,X,X
TZSOLIJ,X,O,X,X,O,O,X,X
TZSOLJI,O,O,X,X,O,O,X,X
TZSOJIL,O,O,X,X,X,O,X,X
TZSOJLI,O,O,X,X,X,O,X,X
TZOILJS,O,O,X,O,X,X,X,X
TZOILSJ,X,O,X,X,O,X,X,X
TZOIJLS,O,O,X,O,X,X,X,X
TZOIJSL,O,O,X,X,X,X,X,X
TZOISLJ,O,O,X,X,O,X,X,X
TZOISJL,O,O,X,X,X,X,X,X
TZOLIJS,O,O,X,X,X,X,X,X
TZOLISJ,X,O,X,X,O,X,X,X
TZOLJIS,O,O,X,X,X,X,X,X
TZOLJSI,O,O,X,X,X,X,X,X
TZOLSIJ,X,O,X,X,O,X,X,O
TZOLSJI,X,O,X,X,O,X,X,O
TZOJILS,O,O,X,O,X,X,X,X
TZOJISL,O,O,X,X,X,X,X,X
TZOJLIS,O,O,X,O,X,X,X,X
TZOJLSI,O,O,X,O,X,X,X,X
TZOJSIL,O,O,X,X,X,X,X,X
TZOJSLI,O,O,X,X,X,X,X,X
TZOSILJ,X,O,X,X,O,X,X,X
TZOSIJL,O,O,X,X,X,X,X,X
TZOSLIJ,X,O,X,X,O,X,X,X
TZOSLJI,O,O,X,X,O,X,X,X
TZOSJIL,O,O,X,X,X,X,X,X
TZOSJLI,O,O,X,X,X,X,X,X
TOILJSZ,X,X,X,O,X,X,X,X
TOILJZS,O,X,X,O,X,X,X,X
TOILSJZ,X,X,X,O,X,X,X,X
TOILSZJ,X,O,X,X,O,X,X,X
TOILZJS,O,O,X,O,X,X,X,X
TOILZSJ,X,O,X,X,O,X,X,X
TOIJLSZ,X,X,X,O,X,X,X,X
TOIJLZS,O,X,X,O,X,X,X,X
TOIJSLZ,O,X,X,O,X,X,X,X
TOIJSZL,O,O,X,X,X,X,X,X
TOIJZLS,O,O,X,O,X,X,X,X
TOIJZSL,O,O,X,X,X,X,X,X
TOISLJZ,O,X,O,O,X,X,X,X
TOISLZJ,O,O,O,X,O,X,X,X
TOISJLZ,O,X,O,O,X,X,X,X
TOISJZL,O,O,X,X,X,X,X,X
TOISZLJ,O,O,O,X,O,X,X,X
TOISZJL,O,O,O,X,X,X,X,X
TOIZLJS,O,O,X,O,X,X,X,X
TOIZLSJ,X,O,X,X,O,X,X,X
TOIZJLS,O,O,X,O,X,X,X,X
TOIZJSL,O,O,X,X,X,X,X,X
TOIZSLJ,O,O,X,X,O,X,X,X
TOIZSJL,O,O,X,X,X,X,X,X
TOLIJSZ,X,X,X,O,X,X,X,X
TOLIJZS,O,X,X,O,X,X,X,X
TOLISJZ,X,X,X,O,X,X,X,X
TOLISZJ,X,O,X,X,O,X,X,X
TOLIZJS,O,O,X,O,X,X,X,X
TOLIZSJ,X,O,X,X,O,X,X,X
TOLJISZ,X,X,X,O,X,X,X,X
TOLJIZS,X,X,X,O,X,X,X,X
TOLJSIZ,X,X,X,O,X,X,X,X
TOLJSZI,X,X,X,O,X,X,X,X
TOLJZIS,O,X,X,O,X,X,X,X
TOLJZSI,O,X,X,O,X,X,X,X
TOLSIJZ,X,X,X,X,X,X,X,O
TOLSIZJ,X,O,X,X,X,X,X,O
TOLSJIZ,X,X,X,X,X,X,X,O
TOLSJZI,X,X,X,X,X,X,X,O
TOLSZIJ,X,O,X,X,O,X,X,O
TOLSZJI,X,O,X,X,O,X,X,O
TOLZIJS,O,O,X,X,X,X,X,X
TOLZISJ,X,O,X,X,O,X,X,X
TOLZJIS,O,O,X,X,X,X,X,X
TOLZJSI,O,O,X,X,X,X,X,X
TOLZSIJ,X,O,X,X,O,X,X,O
TOLZSJI,X,O,X,X,O,X,X,O
TOJILSZ,X,X,X,O,X,X,X,X
TOJILZS,O,X,X,O,X,X,X,X
TOJISLZ,O,X,X,O,X,X,X,X
TOJISZL,O,O,X,X,X,X,X,X
TOJIZLS,O,O,X,O,X,X,X,X
TOJIZSL,O,O,X,X,X,X,X,X
TOJLISZ,X,X,X,O,X,X,X,X
TOJLIZS,X,X,X,O,X,X,X,X
TOJLSIZ,X,X,X,O,X,X,X,X
TOJLSZI,X,X,X,O,X,X,X,X
TOJLZIS,O,X,X,O,X,X,X,X
TOJLZSI,O,X,X,O,X,X,X,X
TOJSILZ,O,X,X,O,X,X,X,X
TOJSIZL,O,O,X,X,X,X,X,X
TOJSLIZ,O,X,X,O,X,X,X,X
TOJSLZI,O,X,X,O,X,X,X,X
TOJSZIL,O,O,X,X,X,X,X,X
TOJSZLI,O,O,X,X,X,X,X,X
TOJZILS,O,O,X,O,X,X,X,X
TOJZISL,O,O,X,X,X,X,X,X
TOJZLIS,O,O,X,O,X,X,X,X
TOJZLSI,O,O,X,O,X,X,X,X
TOJZSIL,O,O,X,X,X,X,X,X
TOJZSLI,O,O,X,X,X,X,X,X
TOSILJZ,X,X,O,O,X,O,X,X
TOSILZJ,X,O,O,X,O,O,X,X
TOSIJLZ,X,X,O,O,X,O,X,X
TOSIJZL,O,O,X,X,X,O,X,X
TOSIZLJ,X,O,O,X,O,O,X,X
TOSIZJL,O,O,O,X,X,O,X,X
TOSLIJZ,X,X,O,X,X,O,X,X
TOSLIZJ,X,O,O,X,X,O,X,X
TOSLJIZ,O,X,O,X,X,O,X,X
TOSLJZI,O,X,O,X,X,O,X,X
TOSLZIJ,X,O,O,X,O,O,X,X
TOSLZJI,O,O,O,X,O,O,X,X
TOSJILZ,O,X,O,O,X,O,X,X
TOSJIZL,O,O,X,X,X,O,X,X
TOSJLIZ,O,X,O,O,X,O,X,X
TOSJLZI,O,X,O,O,X,O,X,X
TOSJZIL,O,O,O,X,X,O,X,X
TOSJZLI,O,O,O,X,X,O,X,X
TOSZILJ,X,O,O,X,O,O,X,X
TOSZIJL,O,O,O,X,X,O,X,X
TOSZLIJ,X,O,O,X,O,O,X,X
TOSZLJI,O,O,O,X,O,O,X,X
TOSZJIL,O,O,O,X,X,O,X,X
TOSZJLI,O,O,O,X,X,O,X,X
TOZILJS,O,O,X,O,X,X,X,X
TOZILSJ,X,O,X,X,O,X,X,X
TOZIJLS,O,O,X,O,X,X,X,X
TOZIJSL,O,O,X,X,X,X,X,X
TOZISLJ,O,O,X,X,O,X,X,X
TOZISJL,O,O,X,X,X,X,X,X
TOZLIJS,O,O,X,X,X,X,X,X
TOZLISJ,X,O,X,X,O,X,X,X
TOZLJIS,O,O,X,X,X,X,X,X
TOZLJSI,O,O,X,X,X,X,X,X
TOZLSIJ,X,O,X,X,O,X,X,O
TOZLSJI,X,O,X,X,O,X,X,O
TOZJILS,O,O,X,O,X,X,X,X
TOZJISL,O,O,X,X,X,X,X,X
TOZJLIS,O,O,X,O,X,X,X,X
TOZJLSI,O,O,X,O,X,X,X,X
TOZJSIL,O,O,X,X,X,X,X,X
TOZJSLI,O,O,X,X,X,X,X,X
TOZSILJ,X,O,X,X,O,X,X,X
TOZSIJL,O,O,X,X,X,X,X,X
TOZSLIJ,X,O,X,X,O,X,X,X
TOZSLJI,O,O,X,X,O,X,X,X
TOZSJIL,O,O,X,X,X,X,X,X
TOZSJLI,O,O,X,X,X,X,X,X
ITLJSZO,O,X,X,O,X,X,X,X
ITLJSOZ,O,X,X,O,X,X,X,X
ITLJZSO,O,X,X,O,X,X,X,X
ITLJZOS,O,X,X,O,X,X,X,X
ITLJOSZ,X,X,X,O,X,X,X,X
ITLJOZS,O,X,X,O,X,X,X,X
ITLSJZO,O,X,X,O,X,X,X,X
ITLSJOZ,O,X,X,O,X,X,X,X
ITLSZJO,O,O,X,X,X,X,O,X
ITLSZOJ,O,O,X,X,O,X,O,X
ITLSOJZ,O,X,X,O,X,X,X,X
ITLSOZJ,O,O,X,X,O,X,X,X
ITLZJSO,O,O,X,O,X,X,X,X
ITLZJOS,O,O,X,O,X,X,X,X
ITLZSJO,O,O,X,X,X,X,X,X
ITLZSOJ,O,O,X,X,O,X,X,X
ITLZOJS,O,O,X,O,X,X,X,X
ITLZOSJ,X,O,X,X,O,X,X,X
ITLOJSZ,X,X,X,O,X,X,X,X
ITLOJZS,O,X,X,O,X,X,X,X
ITLOSJZ,X,X,X,O,X,X,X,X
ITLOSZJ,X,O,X,X,O,X,X,X
ITLOZJS,O,O,X,O,X,X,X,X
ITLOZSJ,X,O,X,X,O,X,X,X
ITJLSZO,O,X,X,O,X,X,X,X
ITJLSOZ,O,X,X,O,X,X,X,X
ITJLZSO,O,X,X,O,X,X,X,X
ITJLZOS,O,X,X,O,X,X,X,X
ITJLOSZ,X,X,X,O,X,X,X,X
ITJLOZS,O,X,X,O,X,X,X,X
ITJSLZO,O,X,X,O,X,X,X,X
ITJSLOZ,O,X,X,O,X,X,X,X
ITJSZLO,O,O,X,X,X,X,X,X
ITJSZOL,O,O,X,X,X,X,X,X
ITJSOLZ,O,X,X,O,X,X,X,X
ITJSOZL,O,O,X,X,X,X,X,X
ITJZLSO,O,O,X,O,X,X,X,X
ITJZLOS,O,O,X,O,X,X,X,X
ITJZSLO,O,O,X,X,X,X,X,X
ITJZSOL,O,O,X,X,X,X,X,X
ITJZOLS,O,O,X,O,X,X,X,X
ITJZOSL,O,O,X,X,X,X,X,X
ITJOLSZ,X,X,X,O,X,X,X,X
ITJOLZS,O,X,X,O,X,X,X,X
ITJOSLZ,O,X,X,O,X,X,X,X
ITJOSZL,O,O,X,X,X,X,X,X
ITJOZLS,O,O,X,O,X,X,X,X
ITJOZSL,O,O,X,X,X,X,X,X
ITSLJZO,O,X,O,O,X,O,X,X
ITSLJOZ,O,X,O,O,X,X,X,X
ITSLZJO,O,O,O,X,X,O,O,X
ITSLZOJ,O,O,O,X,O,O,O,X
ITSLOJZ,O,X,O,O,X,X,X,X
ITSLOZJ,O,O,O,X,O,X,X,X
ITSJLZO,O,X,O,O,X,O,X,X
ITSJLOZ,O,X,O,O,X,X,X,X
ITSJZLO,O,O,O,X,X,O,X,X
ITSJZOL,O,O,X,X,X,O,X,X
ITSJOLZ,O,X,O,O,X,O,X,X
ITSJOZL,O,O,X,X,X,O,X,X
ITSZLJO,O,O,O,X,X,O,O,X
ITSZLOJ,O,O,O,X,O,O,O,X
ITSZJLO,O,O,O,X,X,O,O,X
ITSZJOL,O,O,O,X,X,O,O,X
ITSZOLJ,O,O,O,X,O,O,O,X
ITSZOJL,O,O,O,X,X,O,O,X
ITSOLJZ,O,X,O,O,X,O,X,X
ITSOLZJ,O,O,O,X,O,O,X,X
ITSOJLZ,O,X,O,O,X,O,X,X
ITSOJZL,O,O,X,X,X,O,X,X
ITSOZLJ,O,O,O,X,O,O,X,X
ITSOZJL,O,O,O,X,X,O,X,X
ITZLJSO,O,O,X,O,X,X,X,X
ITZLJOS,O,O,X,O,X,X,X,X
ITZLSJO,O,O,X,X,X,X,X,X
ITZLSOJ,O,O,X,X,O,X,X,X
ITZLOJS,O,O,X,O,X,X,X,X
ITZLOSJ,X,O,X,X,O,X,X,X
ITZJLSO,O,O,X,O,X,X,X,X
ITZJLOS,O,O,X,O,X,X,X,X
ITZJSLO,O,O,X,X,X,X,X,X
ITZJSOL,O,O,X,X,X,X,X,X
ITZJOLS,O,O,X,O,X,X,X,X
ITZJOSL,O,O,X,X,X,X,X,X
ITZSLJO,O,O,X,X,X,X,X,X
ITZSLOJ,O,O,X,X,O,X,X,X
ITZSJLO,O,O,X,X,X,X,X,X
ITZSJOL,O,O,X,X,X,X,X,X
ITZSOLJ,O,O,X,X,O,X,X,X
ITZSOJL,O,O,X,X,X,X,X,X
ITZOLJS,O,O,X,O,X,X,X,X
ITZOLSJ,X,O,X,X,O,X,X,X
ITZOJLS,O,O,X,O,X,X,X,X
ITZOJSL,O,O,X,X,X,X,X,X
ITZOSLJ,O,O,X,X,O,X,X,X
ITZOSJL,O,O,X,X,X,X,X,X
ITOLJSZ,X,X,X,O,X,X,X,X
ITOLJZS,O,X,X,O,X,X,X,X
ITOLSJZ,X,X,X,O,X,X,X,X
ITOLSZJ,X,O,X,X,O,X,X,X
ITOLZJS,O,O,X,O,X,X,X,X
ITOLZSJ,X,O,X,X,O,X,X,X
ITOJLSZ,X,X,X,O,X,X,X,X
ITOJLZS,O,X,X,O,X,X,X,X
ITOJSLZ,O,X,X,O,X,X,X,X
ITOJSZL,O,O,X,X,X,X,X,X
ITOJZLS,O,O,X,O,X,X,X,X
ITOJZSL,O,O,X,X,X,X,X,X
ITOSLJZ,O,X,O,O,X,X,X,X
ITOSLZJ,O,O,O,X,O,X,X,X
ITOSJLZ,O,X,O,O,X,X,X,X
ITOSJZL,O,O,X,X,X,X,X,X
ITOSZLJ,O,O,O,X,O,X,X,X
ITOSZJL,O,O,O,X,X,X,X,X
ITOZLJS,O,O,X,O,X,X,X,X
ITOZLSJ,X,O,X,X,O,X,X,X
ITOZJLS,O,O,X,O,X,X,X,X
ITOZJSL,O,O,X,X,X,X,X,X
ITOZSLJ,O,O,X,X,O,X,X,X
ITOZSJL,O,O,X,X,X,X,X,X
ILTJSZO,O,X,X,O,X,X,X,X
ILTJSOZ,O,X,X,O,X,X,X,X
ILTJZSO,O,X,X,O,X,X,X,X
ILTJZOS,O,X,X,O,X,X,X,X
ILTJOSZ,X,X,X,O,X,X,X,X
ILTJOZS,O,X,X,O,X,X,X,X
ILTSJZO,O,X,X,O,X,X,X,X
ILTSJOZ,O,X,X,O,X,X,X,X
ILTSZJO,O,O,X,X,X,X,O,X
ILTSZOJ,O,O,X,X,O,X,O,X
ILTSOJZ,O,X,X,O,X,X,X,X
ILTSOZJ,O,O,X,X,O,X,X,X
ILTZJSO,O,O,X,O,X,X,X,X
ILTZJOS,O,O,X,O,X,X,X,X
ILTZSJO,O,O,X,X,X,X,X,X
ILTZSOJ,O,O,X,X,O,X,X,X
ILTZOJS,O,O,X,O,X,X,X,X
ILTZOSJ,X,O,X,X,O,X,X,X
ILTOJSZ,X,X,X,O,X,X,X,X
ILTOJZS,O,X,X,O,X,X,X,X
ILTOSJZ,X,X,X,O,X,X,X,X
ILTOSZJ,X,O,X,X,O,X,X,X
ILTOZJS,O,O,X,O,X,X,X,X
ILTOZSJ,X,O,X,X,O,X,X,X
ILJTSZO,O,X,X,O,X,X,X,X
ILJTSOZ,O,X,X,O,X,X,X,X
ILJTZSO,O,X,X,O,X,X,X,X
ILJTZOS,O,X,X,O,X,X,X,X
ILJTOSZ,X,X,X,O,X,X,X,X
ILJTOZS,O,X,X,O,X,X,X,X
ILJSTZO,O,X,X,O,X,X,X,X
ILJSTOZ,O,X,X,O,X,X,X,X
ILJSZTO,O,X,X,O,X,X,O,X
ILJSZOT,O,X,X,O,O,X,X,X
ILJSOTZ,O,X,X,O,X,X,X,X
ILJSOZT,O,X,X,O,O,X,X,X
ILJZTSO,O,X,X,O,X,X,X,X
ILJZTOS,O,X,X,O,X,X,X,X
ILJZSTO,O,X,X,O,X,X,X,X
ILJZSOT,O,X,X,O,O,X,X,X
ILJZOTS,O,X,X,O,X,X,X,X
ILJZOST,X,X,X,O,O,X,X,X
ILJOTSZ,X,X,X,O,X,X,X,X
ILJOTZS,O,X,X,O,X,X,X,X
ILJOSTZ,X,X,X,O,X,X,X,X
ILJOSZT,X,X,X,O,O,X,X,X
ILJOZTS,O,X,X,O,X,X,X,X
ILJOZST,X,X,X,O,O,X,X,X
ILSTJZO,O,X,O,O,X,X,O,X
ILSTJOZ,O,X,O,O,X,X,X,X
ILSTZJO,O,O,O,X,X,X,O,X
ILSTZOJ,O,O,O,X,O,X,O,X
ILSTOJZ,O,X,O,O,X,X,X,X
ILSTOZJ,O,O,O,X,O,X,X,X
ILSJTZO,O,X,O,O,X,X,O,X
ILSJTOZ,O,X,O,O,X,X,X,X
ILSJZTO,O,X,O,O,X,X,O,X
ILSJZOT,O,X,O,O,O,X,X,X
ILSJOTZ,O,X,O,O,X,X,X,X
ILSJOZT,O,X,O,O,O,X,X,X
ILSZTJO,O,O,O,X,X,X,O,X
ILSZTOJ,O,O,O,X,O,X,O,X
ILSZJTO,O,O,O,X,X,X,O,X
ILSZJOT,O,O,O,X,O,X,X,X
ILSZOTJ,O,O,O,X,O,X,O,X
ILSZOJT,O,O,O,X,O,X,X,X
ILSOTJZ,O,X,O,O,X,X,X,X
ILSOTZJ,O,O,O,X,O,X,X,X
ILSOJTZ,O,X,O,O,X,X,X,X
ILSOJZT,O,X,O,O,O,X,X,X
ILSOZTJ,O,O,O,X,O,X,O,X
ILSOZJT,O,O,O,X,O,X,X,X
ILZTJSO,O,O,X,O,X,X,X,X
ILZTJOS,O,O,X,O,X,X,X,X
ILZTSJO,O,O,X,X,X,X,X,X
ILZTSOJ,O,O,X,X,O,X,X,X
ILZTOJS,O,O,X,O,X,X,X,X
ILZTOSJ,X,O,X,X,O,X,X,X
ILZJTSO,O,O,X,O,X,X,X,X
ILZJTOS,O,O,X,O,X,X,X,X
ILZJSTO,O,O,X,O,X,X,X,X
ILZJSOT,O,O,X,O,O,X,X,X
ILZJOTS,O,O,X,O,X,X,X,X
ILZJOST,X,O,X,O,O,X,X,X
ILZSTJO,O,O,X,X,X,X,O,X
ILZSTOJ,O,O,X,X,O,X,O,X
ILZSJTO,O,O,X,X,X,X,O,X
ILZSJOT,O,O,X,X,O,X,X,X
ILZSOTJ,O,O,X,X,O,X,O,X
ILZSOJT,O,O,X,X,O,X,X,X
ILZOTJS,O,O,X,O,X,X,X,X
ILZOTSJ,X,O,X,X,O,X,X,X
ILZOJTS,O,O,X,O,X,X,X,X
ILZOJST,X,O,X,O,O,X,X,X
ILZOSTJ,X,O,X,X,O,X,X,O
ILZOSJT,X,O,X,X,O,X,X,X
ILOTJSZ,X,X,X,O,X,X,X,X
ILOTJZS,O,X,X,O,X,X,X,X
ILOTSJZ,X,X,X,O,X,X,X,X
ILOTSZJ,X,O,X,X,O,X,X,X
ILOTZJS,O,O,X,O,X,X,X,X
ILOTZSJ,X,O,X,X,O,X,X,X
ILOJTSZ,X,X,X,O,X,X,X,X
ILOJTZS,O,X,X,O,X,X,X,X
ILOJSTZ,X,X,X,O,X,X,X,X
ILOJSZT,X,X,X,O,O,X,X,X
ILOJZTS,O,X,X,O,X,X,X,X
ILOJZST,X,X,X,O,O,X,X,X
ILOSTJZ,X,X,O,O,X,X,X,O
ILOSTZJ,X,O,O,X,O,X,X,O
ILOSJTZ,X,X,O,O,X,X,X,X
ILOSJZT,X,X,O,O,O,X,X,X
ILOSZTJ,X,O,O,X,O,X,O,O
ILOSZJT,X,O,O,X,O,X,X,X
ILOZTJS,O,O,X,O,X,X,X,X
ILOZTSJ,X,O,X,X,O,X,X,X
ILOZJTS,O,O,X,O,X,X,X,X
ILOZJST,X,O,X,O,O,X,X,X
ILOZSTJ,X,O,X,X,O,X,X,O
ILOZSJT,X,O,X,X,O,X,X,X
IJTLSZO,O,X,X,O,X,X,X,X
IJTLSOZ,O,X,X,O,X,X,X,X
IJTLZSO,O,X,X,O,X,X,X,X
IJTLZOS,O,X,X,O,X,X,X,X
IJTLOSZ,X,X,X,O,X,X,X,X
IJTLOZS,O,X,X,O,X,X,X,X
IJTSLZO,O,X,X,O,X,X,X,X
IJTSLOZ,O,X,X,O,X,X,X,X
IJTSZLO,O,O,X,X,X,X,X,X
IJTSZOL,O,O,X,X,X,X,X,X
IJTSOLZ,O,X,X,O,X,X,X,X
IJTSOZL,O,O,X,X,X,X,X,X
IJTZLSO,O,O,X,O,X,X,X,X
IJTZLOS,O,O,X,O,X,X,X,X
IJTZSLO,O,O,X,X,X,X,X,X
IJTZSOL,O,O,X,X,X,X,X,X
IJTZOLS,O,O,X,O,X,X,X,X
IJTZOSL,O,O,X,X,X,X,X,X
IJTOLSZ,X,X,X,O,X,X,X,X
IJTOLZS,O,X,X,O,X,X,X,X
IJTOSLZ,O,X,X,O,X,X,X,X
IJTOSZL,O,O,X,X,X,X,X,X
IJTOZLS,O,O,X,O,X,X,X,X
IJTOZSL,O,O,X,X,X,X,X,X
IJLTSZO,O,X,X,O,X,X,X,X
IJLTSOZ,O,X,X,O,X,X,X,X
IJLTZSO,O,X,X,O,X,X,X,X
IJLTZOS,O,X,X,O,X,X,X,X
IJLTOSZ,X,X,X,O,X,X,X,X
IJLTOZS,O,X,X,O,X,X,X,X
IJLSTZO,O,X,X,O,X,X,X,X
IJLSTOZ,O,X,X,O,X,X,X,X
IJLSZTO,O,X,X,O,X,X,O,X
IJLSZOT,O,X,X,O,O,X,X,X
IJLSOTZ,O,X,X,O,X,X,X,X
IJLSOZT,O,X,X,O,O,X,X,X
IJLZTSO,O,X,X,O,X,X,X,X
IJLZTOS,O,X,X,O,X,X,X,X
IJLZSTO,O,X,X,O,X,X,X,X
IJLZSOT,O,X,X,O,O,X,X,X
IJLZOTS,O,X,X,O,X,X,X,X
IJLZOST,X,X,X,O,O,X,X,X
IJLOTSZ,X,X,X,O,X,X,X,X
IJLOTZS,O,X,X,O,X,X,X,X
IJLOSTZ,X,X,X,O,X,X,X,X
IJLOSZT,X,X,X,O,O,X,X,X
IJLOZTS,O,X,X,O,X,X,X,X
IJLOZST,X,X,X,O,O,X,X,X
IJSTLZO,O,X,O,O,X,X,X,X
IJSTLOZ,O,X,O,O,X,X,X,X
IJSTZLO,O,O,O,X,X,X,X,X
IJSTZOL,O,O,X,X,X,X,X,X
IJSTOLZ,O,X,O,O,X,X,X,X
IJSTOZL,O,O,X,X,X,X,X,X
IJSLTZO,O,X,O,O,X,X,X,X
IJSLTOZ,O,X,O,O,X,X,X,X
IJSLZTO,O,X,O,O,X,X,O,X
IJSLZOT,O,X,O,O,O,X,X,X
IJSLOTZ,O,X,O,O,X,X,X,X
IJSLOZT,O,X,O,O,O,X,X,X
IJSZTLO,O,O,O,X,X,X,O,X
IJSZTOL,O,O,O,X,X,X,O,X
IJSZLTO,O,O,O,X,X,X,O,X
IJSZLOT,O,O,O,X,O,X,X,X
IJSZOTL,O,O,O,X,X,X,X,X
IJSZOLT,O,O,O,X,O,X,X,X
IJSOTLZ,O,X,O,O,X,X,X,X
IJSOTZL,O,O,X,X,X,X,X,X
IJSOLTZ,O,X,O,O,X,X,X,X
IJSOLZT,O,X,O,O,O,X,X,X
IJSOZTL,O,O,O,X,X,X,X,X
IJSOZLT,O,O,O,X,O,X,X,X
IJZTLSO,O,O,X,O,X,X,X,X
IJZTLOS,O,O,X,O,X,X,X,X
IJZTSLO,O,O,X,X,X,X,X,X
IJZTSOL,O,O,X,X,X,X,X,X
IJZTOLS,O,O,X,O,X,X,X,X
IJZTOSL,O,O,X,X,X,X,X,X
IJZLTSO,O,O,X,O,X,X,X,X
IJZLTOS,O,O,X,O,X,X,X,X
IJZLSTO,O,O,X,O,X,X,X,X
IJZLSOT,O,O,X,O,O,X,X,X
IJZLOTS,O,O,X,O,X,X,X,X
IJZLOST,X,O,X,O,O,X,X,X
IJZSTLO,O,O,X,X,X,X,X,X
IJZSTOL,O,O,X,X,X,X,X,X
IJZSLTO,O,O,X,X,X,X,X,X
IJZSLOT,O,O,X,X,O,X,X,X
IJZSOTL,O,O,X,X,X,X,X,X
IJZSOLT,O,O,X,X,O,X,X,X
IJZOTLS,O,O,X,O,X,X,X,X
IJZOTSL,O,O,X,X,X,X,X,X
IJZOLTS,O,O,X,O,X,X,X,X
IJZOLST,X,O,X,O,O,X,X,X
IJZOSTL,O,O,X,X,X,X,X,X
IJZOSLT,O,O,X,X,O,X,X,X
IJOTLSZ,X,X,X,O,X,X,X,X
IJOTLZS,O,X,X,O,X,X,X,X
IJOTSLZ,O,X,X,O,X,X,X,X
IJOTSZL,O,O,X,X,X,X,X,X
IJOTZLS,O,O,X,O,X,X,X,X
IJOTZSL,O,O,X,X,X,X,X,X
IJOLTSZ,X,X,X,O,X,X,X,X
IJOLTZS,O,X,X,O,X,X,X,X
IJOLSTZ,X,X,X,O,X,X,X,X
IJOLSZT,X,X,X,O,O,X,X,X
IJOLZTS,O,X,X,O,X,X,X,X
IJOLZST,X,X,X,O,O,X,X,X
IJOSTLZ,O,X,O,O,X,X,X,X
IJOSTZL,O,O,X,X,X,X,X,X
IJOSLTZ,O,X,O,O,X,X,X,X
IJOSLZT,O,X,O,O,O,X,X,X
IJOSZTL,O,O,O,X,X,X,X,X
IJOSZLT,O,O,O,X,O,X,X,X
IJOZTLS,O,O,X,O,X,X,X,X
IJOZTSL,O,O,X,X,X,X,X,X
IJOZLTS,O,O,X,O,X,X,X,X
IJOZLST,X,O,X,O,O,X,X,X
IJOZSTL,O,O,X,X,X,X,X,X
IJOZSLT,O,O,X,X,O,X,X,X
ISTLJZO,O,X,O,O,X,O,O,X
ISTLJOZ,O,X,O,O,X,X,X,X
ISTLZJO,O,O,O,X,X,O,O,X
ISTLZOJ,O,O,O,X,O,O,O,X
ISTLOJZ,O,X,O,O,X,X,X,X
ISTLOZJ,O,O,O,X,O,X,X,X
ISTJLZO,O,X,O,O,X,O,O,X
ISTJLOZ,O,X,O,O,X,X,X,X
ISTJZLO,O,O,O,X,X,O,O,X
ISTJZOL,O,O,O,X,X,O,O,X
ISTJOLZ,O,X,O,O,X,O,X,X
ISTJOZL,O,O,X,X,X,O,X,X
ISTZLJO,O,O,O,X,X,O,O,X
ISTZLOJ,O,O,O,X,O,O,O,X
ISTZJLO,O,O,O,X,X,O,O,X
ISTZJOL,O,O,O,X,X,O,O,X
ISTZOLJ,O,O,O,X,O,O,O,X
ISTZOJL,O,O,O,X,X,O,O,X
ISTOLJZ,O,X,O,O,X,O,X,X
ISTOLZJ,O,O,O,X,O,O,X,X
ISTOJLZ,O,X,O,O,X,O,X,X
ISTOJZL,O,O,X,X,X,O,X,X
ISTOZLJ,O,O,O,X,O,O,X,X
ISTOZJL,O,O,O,X,X,O,X,X
ISLTJZO,O,X,O,O,X,O,O,X
ISLTJOZ,O,X,O,O,X,X,X,X
ISLTZJO,O,O,O,X,X,O,O,X
ISLTZOJ,O,O,O,X,O,O,O,X
ISLTOJZ,O,X,O,O,X,X,X,X
ISLTOZJ,O,O,O,X,O,X,X,X
ISLJTZO,O,X,O,O,X,O,O,X
ISLJTOZ,O,X,O,O,X,X,X,X
ISLJZTO,O,X,O,O,X,O,O,X
