sequence,v115@pgE8AeH8AeH8AeH8AeH8AeH8AeI8JeRyXaAFLDmClc?JSAVDEHBEooRBJoAVBsfLuCvOBAAvhFyQB+PBsOB3NBTLBl?MB,v115@pgE8AeH8AeH8AeH8AeH8AeH8AeI8JeS0XaAFLDmClc?JSAVDEHBEooRBMoAVBJ3jFDqOBAAvhFRSBzLBXKB0HBOLBl?NB,v115@pgE8AeH8AeH8AeH8AeH8AeH8AeI8JezuXaAFLDmClc?JSAVDEHBEooRBPoAVBp/rtC6OBAAvhFRSB2QB6PB3NB0LBl?MB,v115@pgE8AeH8AeH8AeH8AeH8AeH8AeI8Je1yXaAFLDmClc?JSAVDEHBEooRBUoAVBzfjWCP+AAAvhF3MB+PBsOBKLBzLBR?NB,v115@pgE8AeH8AeH8AeH8AeH8AeH8AeI8JezuXaAFLDmClc?JSAVDEHBEooRBPoAVBUNUFDK+AAAvhF1SB3MB6PBsLBOLBR?NB,v115@pgE8AeH8AeH8AeH8AeH8AeH8AeI8JeS0XaAFLDmClc?JSAVDEHBEooRBMoAVB6+ytCp/AAAvhF0NB1RBTLBXPBRNBm?LB,v115@pgE8AeH8AeH8AeH8AeH8AeH8AeI8JeW0XaAFLDmClc?JSAVDEHBEooRBKoAVB6+bgCpCBAAvhF0NB1RB3LBTPBRNBi?LB,v115@pgE8AeH8AeH8AeH8AeH8AeH8AeI8JeW0XaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC6OBAAvhFRSBTKBKLBfMB0MBl?NB,v115@pgE8AeH8AeH8AeH8AeH8AeH8AeI8JeW0XaAFLDmClc?JSAVDEHBEooRBKoAVBzHLxCM+AAAvhF3NB0LBTKBlMBiLBR?NB,v115@pgE8AeH8AeH8AeH8AeH8AeH8AeI8JeS0XaAFLDmClc?JSAVDEHBEooRBMoAVBa3TxCK+AAAvhF0MBTLBXKBlNBmLBR?NB,v115@pgE8AeH8AeH8AeH8AeH8AeH8AeI8JezuXaAFLDmClc?JSAVDEHBEooRBPoAVB6C+tCK+AAAvhF0MB6PBlNB3GB2QBR?NB,v115@pgE8AeH8AeH8AeH8AeH8AeH8AeI8Je0sXaAFLDmClc?JSAVDEHBEooRBaoAVBs+bgCK+AAAvhFCPBlNB3GBTPB2QBR?NB
TIJSOZL,O,X,O,O,O,X,O,X,O,X,X,X
TIJZLSO,O,O,O,O,X,O,O,O,X,X,X,X
TIJZLOS,O,O,O,O,X,O,O,O,X,X,X,X
TIJZSLO,O,X,O,O,X,X,O,X,O,X,X,X
TIJZSOL,O,X,O,O,X,X,O,X,O,X,X,X
TIJZOLS,O,O,O,O,X,O,O,O,X,X,X,X
TIJZOSL,O,O,O,O,X,O,O,X,O,X,X,X
TIJOLSZ,O,O,O,O,O,X,X,O,X,X,X,X
TIJOLZS,O,O,O,O,X,O,X,O,X,X,X,X
TIJOSLZ,O,O,O,O,O,X,O,O,O,X,X,X
TIJOSZL,O,O,O,O,O,O,O,X,O,X,X,X
TIJOZLS,O,O,O,O,X,O,O,O,X,X,X,X
TIJOZSL,O,O,O,O,X,O,O,X,O,X,X,X
TISLJZO,O,O,O,O,X,X,O,O,O,X,X,X
TISLJOZ,O,O,O,O,X,X,O,O,O,X,X,X
TISLZJO,O,O,X,O,O,X,O,O,O,X,X,X
TISLZOJ,O,O,X,O,O,X,O,O,X,X,X,X
TISLOJZ,O,O,O,O,O,X,X,O,X,X,X,X
TISLOZJ,O,O,O,O,O,X,O,O,X,X,X,X
TISJLZO,O,X,O,O,X,X,O,O,O,X,X,X
TISJLOZ,O,X,O,O,X,X,O,O,O,X,X,X
TISJZLO,O,X,O,O,O,X,O,X,O,X,X,X
TISJZOL,O,X,O,O,O,X,O,X,O,X,X,X
TISJOLZ,O,X,O,O,O,X,O,O,O,X,X,X
TISJOZL,O,X,O,O,O,X,O,X,O,X,X,X
TISZLJO,O,O,X,O,O,O,O,X,O,X,X,X
TISZLOJ,O,O,X,O,O,O,O,X,X,X,X,X
TISZJLO,O,X,O,O,O,X,O,X,O,X,X,X
TISZJOL,O,X,O,O,O,X,O,X,O,X,X,X
TISZOLJ,X,O,O,X,O,O,O,X,X,X,X,X
TISZOJL,X,O,O,X,O,O,O,X,O,X,X,X
TISOLJZ,O,O,O,O,O,X,X,X,X,X,X,X
TISOLZJ,O,O,O,O,O,X,O,X,X,X,X,X
TISOJLZ,O,O,O,O,O,X,X,X,O,X,X,X
TISOJZL,O,O,O,O,O,O,X,X,O,X,X,X
TISOZLJ,X,O,O,X,O,O,O,X,X,X,X,X
TISOZJL,X,O,O,X,O,O,O,X,O,X,X,X
TIZLJSO,O,O,X,O,X,O,O,O,X,X,X,X
TIZLJOS,O,O,X,O,X,O,O,O,X,X,X,X
TIZLSJO,O,O,X,O,X,O,O,O,O,X,X,X
TIZLSOJ,O,O,X,O,X,O,O,O,X,X,X,X
TIZLOJS,O,O,X,X,X,O,X,X,X,X,X,X
TIZLOSJ,O,O,X,X,X,O,X,X,X,X,X,X
TIZJLSO,O,O,O,O,X,O,O,O,X,X,X,X
TIZJLOS,O,O,O,O,X,O,O,O,X,X,X,X
TIZJSLO,O,X,O,O,X,X,O,X,O,X,X,X
TIZJSOL,O,X,O,O,X,X,O,X,O,X,X,X
TIZJOLS,O,O,O,O,X,O,O,O,X,X,X,X
TIZJOSL,O,O,O,O,X,O,O,X,O,X,X,X
TIZSLJO,O,O,X,O,O,O,O,X,O,X,X,X
TIZSLOJ,O,O,X,O,O,O,O,X,X,X,X,X
TIZSJLO,O,X,O,O,O,X,O,X,O,X,X,X
TIZSJOL,O,X,O,O,O,X,O,X,O,X,X,X
TIZSOLJ,X,O,O,X,O,O,O,X,X,X,X,X
TIZSOJL,X,O,O,X,O,O,O,X,O,X,X,X
TIZOLJS,X,O,O,X,X,O,X,X,X,X,X,X
TIZOLSJ,X,O,O,X,O,O,X,X,X,X,X,X
TIZOJLS,X,O,O,X,X,O,O,X,X,X,X,X
TIZOJSL,X,O,O,X,X,O,O,X,X,X,X,X
TIZOSLJ,X,O,O,X,O,O,O,X,X,X,X,X
TIZOSJL,X,O,O,X,O,O,O,X,O,X,X,X
TIOLJSZ,O,O,O,O,O,O,X,O,X,X,X,X
TIOLJZS,O,O,O,O,X,O,X,O,X,X,X,X
TIOLSJZ,O,O,O,O,O,O,X,O,X,X,X,X
TIOLSZJ,O,O,O,O,O,O,X,O,X,X,X,X
TIOLZJS,O,O,O,X,X,O,X,X,X,X,X,X
TIOLZSJ,O,O,O,X,O,O,X,X,X,X,X,X
TIOJLSZ,O,O,O,O,O,O,X,O,X,X,X,X
TIOJLZS,O,O,O,O,X,O,X,O,X,X,X,X
TIOJSLZ,O,O,O,O,O,X,X,O,X,X,X,X
TIOJSZL,O,O,O,O,O,O,X,X,X,X,X,X
TIOJZLS,O,O,O,O,X,O,X,O,X,X,X,X
TIOJZSL,O,O,O,O,X,O,X,X,X,X,X,X
TIOSLJZ,O,O,O,O,O,X,X,X,X,X,X,X
TIOSLZJ,O,O,O,O,O,X,O,X,X,X,X,X
TIOSJLZ,O,O,O,O,O,X,X,X,O,X,X,X
TIOSJZL,O,O,O,O,O,O,X,X,O,X,X,X
TIOSZLJ,X,O,O,X,O,O,O,X,X,X,X,X
TIOSZJL,X,O,O,X,O,O,O,X,O,X,X,X
TIOZLJS,X,O,O,X,X,O,X,X,X,X,X,X
TIOZLSJ,X,O,O,X,O,O,X,X,X,X,X,X
TIOZJLS,X,O,O,X,X,O,O,X,X,X,X,X
TIOZJSL,X,O,O,X,X,O,O,X,X,X,X,X
TIOZSLJ,X,O,O,X,O,O,O,X,X,X,X,X
TIOZSJL,X,O,O,X,O,O,O,X,O,X,X,X
TLIJSZO,O,O,X,O,X,X,X,O,X,X,X,X
TLIJSOZ,O,O,X,O,X,X,X,O,X,X,X,X
TLIJZSO,O,O,X,O,X,X,X,O,X,X,X,X
TLIJZOS,O,O,X,O,X,X,X,O,X,X,X,X
TLIJOSZ,O,O,X,O,X,X,X,O,X,X,X,X
TLIJOZS,O,O,X,O,X,X,X,O,X,X,X,X
TLISJZO,O,O,X,O,X,X,O,O,O,X,X,X
TLISJOZ,O,O,X,O,X,X,X,O,O,X,X,X
TLISZJO,O,O,X,O,O,O,O,O,O,X,X,X
TLISZOJ,O,O,X,O,O,O,O,O,X,X,X,X
TLISOJZ,O,O,X,O,O,O,X,O,X,X,X,X
TLISOZJ,O,O,X,O,O,O,O,O,X,X,X,X
TLIZJSO,O,O,X,O,X,O,O,O,X,X,X,X
TLIZJOS,O,O,X,O,X,O,O,O,X,X,X,X
TLIZSJO,O,O,X,O,X,O,O,O,O,X,X,X
TLIZSOJ,O,O,X,O,X,O,O,O,X,X,X,X
TLIZOJS,O,O,X,X,X,O,X,X,X,X,X,X
TLIZOSJ,O,O,X,X,X,O,X,X,X,X,X,X
TLIOJSZ,O,O,X,O,O,O,X,O,X,X,X,X
TLIOJZS,O,O,X,O,X,O,X,O,X,X,X,X
TLIOSJZ,O,O,X,O,O,O,X,O,X,X,X,X
TLIOSZJ,O,O,X,O,O,O,X,O,X,X,X,X
TLIOZJS,O,O,X,X,X,O,X,X,X,X,X,X
TLIOZSJ,O,O,X,X,O,O,X,X,X,X,X,X
TLJISZO,O,X,X,O,X,X,X,O,X,X,X,X
TLJISOZ,O,X,X,O,X,X,X,O,X,X,X,X
TLJIZSO,O,X,X,O,X,X,X,O,X,X,X,X
TLJIZOS,O,X,X,O,X,X,X,O,X,X,X,X
TLJIOSZ,O,X,X,O,X,X,X,O,X,X,X,X
TLJIOZS,O,X,X,O,X,X,X,O,X,X,X,X
TLJSIZO,O,X,X,O,X,X,O,O,O,X,X,X
TLJSIOZ,O,X,X,O,X,X,O,O,O,X,X,X
TLJSZIO,O,X,X,O,X,O,O,O,O,X,X,X
TLJSZOI,O,X,X,O,X,O,O,O,O,X,X,X
TLJSOIZ,O,O,X,O,X,O,O,O,O,X,X,X
TLJSOZI,O,O,X,O,X,O,O,O,O,X,X,X
TLJZISO,O,X,X,O,X,O,O,X,X,X,X,X
TLJZIOS,O,X,O,O,X,O,O,X,X,X,X,X
TLJZSIO,O,X,X,O,X,O,O,X,O,X,X,X
TLJZSOI,O,X,O,O,O,O,O,X,O,X,X,X
TLJZOIS,O,X,O,O,X,O,O,X,X,X,X,X
TLJZOSI,O,X,O,O,O,O,O,X,O,X,X,X
TLJOISZ,O,O,O,O,X,O,X,O,X,X,X,X
TLJOIZS,O,O,O,O,X,O,X,O,X,X,X,X
TLJOSIZ,O,O,X,O,X,O,O,O,O,X,X,X
TLJOSZI,O,O,X,O,X,O,O,O,O,X,X,X
TLJOZIS,O,O,O,O,X,O,O,X,X,X,X,X
TLJOZSI,O,O,O,O,O,O,O,X,O,X,X,X
TLSIJZO,O,O,X,O,X,X,O,O,O,X,X,X
TLSIJOZ,O,O,X,O,X,X,O,O,O,X,X,X
TLSIZJO,O,O,X,O,O,O,O,O,O,X,X,X
TLSIZOJ,O,O,X,O,O,O,O,O,X,X,X,X
TLSIOJZ,O,O,X,O,O,O,X,O,X,X,X,X
TLSIOZJ,O,O,X,O,O,O,O,O,X,X,X,X
TLSJIZO,O,X,X,O,X,X,O,O,O,X,X,X
TLSJIOZ,O,X,X,O,X,X,O,O,O,X,X,X
TLSJZIO,O,X,X,O,X,O,O,O,O,X,X,X
TLSJZOI,O,X,X,O,X,O,O,O,O,X,X,X
TLSJOIZ,O,O,X,O,X,O,O,O,O,X,X,X
TLSJOZI,O,O,X,O,X,O,O,O,O,X,X,X
TLSZIJO,X,X,X,O,O,O,O,O,O,O,X,X
TLSZIOJ,X,X,X,O,O,O,O,O,X,O,X,X
TLSZJIO,X,X,X,O,O,O,O,O,O,O,X,X
TLSZJOI,X,X,X,O,O,O,O,O,O,O,X,X
TLSZOIJ,X,X,X,O,O,O,O,O,X,O,X,X
TLSZOJI,X,X,X,O,O,O,O,X,X,O,X,X
TLSOIJZ,O,O,X,O,O,O,X,X,X,X,X,X
TLSOIZJ,O,O,X,O,O,O,O,X,X,X,X,X
TLSOJIZ,O,O,X,O,O,O,O,X,X,X,X,X
TLSOJZI,O,O,X,O,O,O,O,X,X,X,X,X
TLSOZIJ,X,O,X,O,O,O,O,X,X,O,X,X
TLSOZJI,X,O,X,O,O,O,O,X,X,O,X,X
TLZIJSO,O,X,X,O,X,O,O,X,X,O,X,O
TLZIJOS,O,X,X,O,X,O,O,X,X,O,X,X
TLZISJO,O,X,X,O,X,O,O,X,O,O,X,O
TLZISOJ,O,X,X,O,X,O,O,X,X,O,X,O
TLZIOJS,O,X,X,X,X,O,X,X,X,O,X,X
TLZIOSJ,O,X,X,X,X,O,X,X,X,O,X,O
TLZJISO,O,X,X,O,X,O,O,X,X,O,X,O
TLZJIOS,O,X,X,O,X,O,O,X,X,O,X,X
TLZJSIO,O,X,X,O,X,O,O,X,O,O,X,O
TLZJSOI,O,X,X,O,O,O,O,X,O,O,X,O
TLZJOIS,O,X,X,O,X,O,O,X,X,O,X,X
TLZJOSI,O,X,X,O,O,O,O,X,O,O,X,X
TLZSIJO,X,X,X,O,X,O,O,X,O,O,X,O
TLZSIOJ,X,X,X,O,X,O,O,X,X,O,X,O
TLZSJIO,X,X,X,O,X,O,O,X,O,O,X,O
TLZSJOI,X,X,X,O,O,O,O,X,O,O,X,O
TLZSOIJ,X,X,X,O,O,O,O,X,X,O,O,O
TLZSOJI,X,X,X,O,O,O,O,X,X,O,O,O
TLZOIJS,O,X,X,X,X,O,X,X,X,O,O,X
TLZOISJ,O,X,X,X,X,O,X,X,X,O,O,O
TLZOJIS,O,X,X,X,X,O,X,X,X,O,O,X
TLZOJSI,O,X,X,X,O,O,X,X,X,O,O,X
TLZOSIJ,X,X,X,X,O,O,X,X,X,O,O,O
TLZOSJI,X,X,X,X,O,O,X,X,X,O,O,O
TLOIJSZ,O,O,O,O,O,O,X,X,X,X,X,X
TLOIJZS,O,O,O,O,X,O,X,X,X,X,X,X
TLOISJZ,O,O,O,O,O,O,X,X,X,X,X,X
TLOISZJ,O,O,O,O,O,O,X,X,X,X,X,X
TLOIZJS,O,O,O,X,X,O,X,X,X,X,X,X
TLOIZSJ,O,O,O,X,O,O,X,X,X,X,X,X
TLOJISZ,O,O,O,O,O,O,X,X,X,X,X,X
TLOJIZS,O,O,O,O,X,O,X,X,X,X,X,X
TLOJSIZ,O,O,X,O,O,O,X,X,X,X,X,X
TLOJSZI,O,O,X,O,O,O,X,X,X,X,X,X
TLOJZIS,O,O,O,O,X,O,X,X,X,X,X,X
TLOJZSI,O,O,O,O,O,O,X,X,X,X,X,X
TLOSIJZ,O,O,X,O,O,O,X,X,X,X,X,X
TLOSIZJ,O,O,X,O,O,O,X,X,X,X,X,X
TLOSJIZ,O,O,X,O,O,O,X,X,X,X,X,X
TLOSJZI,O,O,X,O,O,O,X,X,X,X,X,X
TLOSZIJ,X,O,X,O,O,O,X,X,X,O,X,X
TLOSZJI,X,O,X,O,O,O,X,X,X,O,X,X
TLOZIJS,O,O,X,X,X,O,X,X,X,O,O,X
TLOZISJ,O,O,X,X,O,O,X,X,X,O,O,X
TLOZJIS,O,O,X,X,X,O,X,X,X,O,O,X
TLOZJSI,O,O,X,X,O,O,X,X,X,O,O,X
TLOZSIJ,X,O,X,X,O,O,X,X,X,O,O,X
TLOZSJI,X,O,X,X,O,O,X,X,X,O,O,X
TJILSZO,O,X,O,O,X,X,X,O,X,X,X,X
TJILSOZ,O,X,O,O,X,X,X,O,X,X,X,X
TJILZSO,O,X,O,O,X,X,X,O,X,X,X,X
TJILZOS,O,X,O,O,X,X,X,O,X,X,X,X
TJILOSZ,O,X,O,O,X,X,X,O,X,X,X,X
TJILOZS,O,X,O,O,X,X,X,O,X,X,X,X
TJISLZO,O,X,O,O,X,X,O,O,O,X,X,X
TJISLOZ,O,X,O,O,X,X,O,O,O,X,X,X
TJISZLO,O,X,O,O,O,X,O,X,O,X,X,X
TJISZOL,O,X,O,O,O,X,O,X,O,X,X,X
TJISOLZ,O,X,O,O,O,X,O,O,O,X,X,X
TJISOZL,O,X,O,O,O,X,O,X,O,X,X,X
TJIZLSO,O,X,O,O,X,O,O,O,X,X,X,X
TJIZLOS,O,X,O,O,X,O,O,O,X,X,X,X
TJIZSLO,O,X,O,O,X,X,O,X,O,X,X,X
TJIZSOL,O,X,O,O,X,X,O,X,O,X,X,X
TJIZOLS,O,X,O,O,X,O,O,O,X,X,X,X
TJIZOSL,O,X,O,O,X,O,O,X,O,X,X,X
TJIOLSZ,O,X,O,O,O,X,X,O,X,X,X,X
TJIOLZS,O,X,O,O,X,O,X,O,X,X,X,X
TJIOSLZ,O,X,O,O,O,X,O,O,O,X,X,X
TJIOSZL,O,X,O,O,O,O,O,X,O,X,X,X
TJIOZLS,O,X,O,O,X,O,O,O,X,X,X,X
TJIOZSL,O,X,O,O,X,O,O,X,O,X,X,X
TJLISZO,O,X,X,O,X,X,X,O,X,X,X,X
TJLISOZ,O,X,X,O,X,X,X,O,X,X,X,X
TJLIZSO,O,X,X,O,X,X,X,O,X,X,X,X
TJLIZOS,O,X,X,O,X,X,X,O,X,X,X,X
TJLIOSZ,O,X,X,O,X,X,X,O,X,X,X,X
TJLIOZS,O,X,X,O,X,X,X,O,X,X,X,X
TJLSIZO,O,X,X,O,X,X,O,O,O,X,X,X
TJLSIOZ,O,X,X,O,X,X,O,O,O,X,X,X
TJLSZIO,O,X,X,O,X,O,O,O,O,X,X,X
TJLSZOI,O,X,X,O,X,O,O,O,O,X,X,X
TJLSOIZ,O,O,X,O,X,O,O,O,O,X,X,X
TJLSOZI,O,O,X,O,X,O,O,O,O,X,X,X
TJLZISO,O,X,X,O,X,O,O,X,X,X,X,X
TJLZIOS,O,X,O,O,X,O,O,X,X,X,X,X
TJLZSIO,O,X,X,O,X,O,O,X,O,X,X,X
TJLZSOI,O,X,O,O,O,O,O,X,O,X,X,X
TJLZOIS,O,X,O,O,X,O,O,X,X,X,X,X
TJLZOSI,O,X,O,O,O,O,O,X,O,X,X,X
TJLOISZ,O,O,O,O,X,O,X,O,X,X,X,X
TJLOIZS,O,O,O,O,X,O,X,O,X,X,X,X
TJLOSIZ,O,O,X,O,X,O,O,O,O,X,X,X
TJLOSZI,O,O,X,O,X,O,O,O,O,X,X,X
TJLOZIS,O,O,O,O,X,O,O,X,X,X,X,X
TJLOZSI,O,O,O,O,O,O,O,X,O,X,X,X
TJSILZO,X,X,X,O,X,X,O,X,O,X,X,X
TJSILOZ,X,X,X,O,X,X,O,X,O,X,X,X
TJSIZLO,X,X,X,O,O,X,O,X,O,X,X,X
TJSIZOL,X,X,X,O,O,X,O,X,O,X,X,X
TJSIOLZ,X,X,X,O,O,X,O,X,O,X,X,X
TJSIOZL,X,X,X,O,O,X,O,X,O,X,X,X
TJSLIZO,X,X,X,O,X,X,O,X,O,X,X,X
TJSLIOZ,X,X,X,O,X,X,O,X,O,X,X,X
TJSLZIO,X,X,X,O,X,X,O,X,O,X,X,X
TJSLZOI,X,X,X,O,X,X,O,X,O,X,X,X
TJSLOIZ,X,X,X,O,X,X,O,X,O,X,X,X
TJSLOZI,X,X,X,O,X,X,O,X,O,X,X,X
TJSZILO,X,X,X,O,O,X,O,X,O,X,X,X
TJSZIOL,X,X,X,O,O,X,O,X,O,X,X,X
TJSZLIO,X,X,X,O,O,X,O,X,O,X,X,X
TJSZLOI,X,X,X,O,O,X,O,X,O,X,X,X
TJSZOIL,X,X,X,O,O,X,O,X,O,X,X,X
TJSZOLI,X,X,X,O,O,X,O,X,O,X,X,X
TJSOILZ,X,X,X,O,O,X,O,X,O,X,X,X
TJSOIZL,X,X,X,O,O,X,O,X,O,X,X,X
TJSOLIZ,X,X,X,O,O,X,O,X,O,X,X,X
TJSOLZI,X,X,X,O,O,X,O,X,O,X,X,X
TJSOZIL,X,X,X,O,O,X,O,X,O,X,X,X
TJSOZLI,X,X,X,O,O,X,O,X,O,X,X,X
TJZILSO,O,X,O,O,X,O,O,X,X,X,X,X
TJZILOS,O,X,O,O,X,O,O,X,X,X,X,X
TJZISLO,O,X,O,O,X,X,O,X,O,X,X,X
TJZISOL,O,X,O,O,X,X,O,X,O,X,X,X
TJZIOLS,O,X,O,O,X,O,O,X,X,X,X,X
TJZIOSL,O,X,O,O,X,O,O,X,O,X,X,X
TJZLISO,O,X,O,O,X,O,O,X,X,X,X,X
TJZLIOS,O,X,O,O,X,O,O,X,X,X,X,X
TJZLSIO,O,X,X,O,X,O,O,X,O,X,X,X
TJZLSOI,O,X,O,O,O,O,O,X,O,X,X,X
TJZLOIS,O,X,O,O,X,O,O,X,X,X,X,X
TJZLOSI,O,X,O,O,O,O,O,X,O,X,X,X
TJZSILO,X,X,O,O,O,X,O,X,O,X,X,X
TJZSIOL,X,X,O,O,O,X,O,X,O,X,X,X
TJZSLIO,X,X,X,O,O,X,O,X,O,X,X,X
TJZSLOI,X,X,O,O,O,X,O,X,O,X,X,X
TJZSOIL,X,X,O,O,O,X,O,X,O,X,X,X
TJZSOLI,X,X,O,O,O,X,O,X,O,X,X,X
TJZOILS,X,X,O,O,X,O,O,X,X,X,X,X
TJZOISL,X,X,O,O,X,O,O,X,O,X,X,X
TJZOLIS,X,X,O,O,X,O,O,X,X,X,X,X
TJZOLSI,X,X,O,O,O,O,O,X,O,X,X,X
TJZOSIL,X,X,O,O,O,O,O,X,O,X,X,X
TJZOSLI,X,X,O,O,O,O,O,X,O,X,X,X
TJOILSZ,X,O,O,O,O,O,X,O,X,X,X,X
TJOILZS,X,O,O,O,X,O,X,O,X,X,X,X
TJOISLZ,X,O,O,O,O,X,O,O,O,X,X,X
TJOISZL,X,O,O,O,O,O,O,X,O,X,X,X
TJOIZLS,X,O,O,O,X,O,O,O,X,X,X,X
TJOIZSL,X,O,O,O,X,O,O,X,O,X,X,X
TJOLISZ,X,O,O,O,O,O,X,O,X,X,X,X
TJOLIZS,X,O,O,O,X,O,X,O,X,X,X,X
TJOLSIZ,X,O,X,O,O,O,O,O,O,X,X,X
TJOLSZI,X,O,X,O,O,O,O,O,O,X,X,X
TJOLZIS,X,O,O,O,X,O,O,X,X,X,X,X
TJOLZSI,X,O,O,O,O,O,O,X,O,X,X,X
TJOSILZ,X,X,X,O,O,X,O,X,O,X,X,X
TJOSIZL,X,X,X,O,O,O,O,X,O,X,X,X
TJOSLIZ,X,X,X,O,O,O,O,X,O,X,X,X
TJOSLZI,X,X,X,O,O,O,O,X,O,X,X,X
TJOSZIL,X,X,X,O,O,O,O,X,O,X,X,X
TJOSZLI,X,X,X,O,O,O,O,X,O,X,X,X
TJOZILS,X,O,O,O,X,O,O,X,X,X,X,X
TJOZISL,X,O,O,O,X,O,O,X,O,X,X,X
TJOZLIS,X,O,O,O,X,O,O,X,X,X,X,X
TJOZLSI,X,O,O,O,O,O,O,X,O,X,X,X
TJOZSIL,X,O,O,O,O,O,O,X,O,X,X,X
TJOZSLI,X,X,O,O,O,O,O,X,O,X,X,X
TSILJZO,X,X,X,O,X,X,O,X,O,X,X,X
TSILJOZ,X,X,X,O,X,X,O,X,O,X,X,X
TSILZJO,X,X,X,O,O,X,O,X,O,X,X,X
TSILZOJ,X,X,X,O,O,X,O,X,X,X,X,X
TSILOJZ,X,X,X,O,O,X,X,X,X,X,X,X
