sequence,v115@zgA8IeA8EeB8BeC8BeD8AeB8CeD8AeC8AeF8JeC7Iv?hETcBmdB5jB0gBlqB,v115@zgA8IeA8EeB8BeC8BeD8AeB8CeD8AeC8AeF8Jez6Iv?hECcBmdB5jBXhBlqB,v115@zgA8IeA8EeB8BeC8BeD8AeB8CeD8AeC8AeF8Jez6Iv?hEugBchBxdB6oBlqB,v115@zgA8IeA8EeB8BeC8BeD8AeB8CeD8AeC8AeF8Jez6Iv?hEWhBxdB6oBXhBlqB,v115@zgA8IeA8EeB8BeC8BeD8AeB8CeD8AeC8AeF8Jez6Iv?hEchBxdB6oB1qBuqB,v115@zgA8IeA8EeB8BeC8BeD8AeB8CeD8AeC8AeF8JeWAJv?hETcBxdB6oB0gBlqB,v115@zgA8IeA8EeB8BeC8BeD8AeB8CeD8AeC8AeF8Jez6Iv?hExdB6oB3lBcmBuqB,v115@zgA8IeA8EeB8BeC8BeD8AeB8CeD8AeC8AeF8Jez6Iv?hEmdB5jB3lBFmBCrB,v115@zgA8IeA8EeB8BeC8BeD8AeB8CeD8AeC8AeF8JeT8Iv?hExdBfmB6oBUlBGqB,v115@zgA8IeA8EeB8BeC8BeD8AeB8CeD8AeC8AeF8JeT8Iv?hExdBGgB6oB8qBFqB,v115@zgA8IeA8EeB8BeC8BeD8AeB8CeD8AeC8AeF8JecBJv?hEmdB5jBqlBflBlqB,v115@zgA8IeA8EeB8BeC8BeD8AeB8CeD8AeC8AeF8JeSBJv?hEmdB5jBzlBflBlqB,v115@zgA8IeA8EeB8BeC8BeD8AeB8CeD8AeC8AeF8JeWAJv?hExdB6oB3lBcmBlqB,v115@zgA8IeA8EeB8BeC8BeD8AeB8CeD8AeC8AeF8Jel7Iv?hExdB6oBuqBfqBcrB,v115@zgA8IeA8EeB8BeC8BeD8AeB8CeD8AeC8AeF8Jez6Iv?hEmdB5jBXhB1qBCrB
TISJLOZ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O
TISJZLO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISJZOL,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O
TISJOLZ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O
TISJOZL,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O
TISZLJO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISZLOJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISZJLO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISZJOL,O,O,O,X,X,X,X,O,X,X,X,X,X,X,O
TISZOLJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISZOJL,O,O,O,X,X,X,X,O,X,X,X,X,X,X,O
TISOLJZ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O
TISOLZJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISOJLZ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O
TISOJZL,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O
TISOZLJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISOZJL,X,O,O,X,X,X,X,O,X,X,X,X,X,X,O
TIZLJSO,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TIZLJOS,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TIZLSJO,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TIZLSOJ,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TIZLOJS,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TIZLOSJ,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TIZJLSO,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIZJLOS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIZJSLO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZJSOL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TIZJOLS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIZJOSL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TIZSLJO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZSLOJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZSJLO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZSJOL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TIZSOLJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZSOJL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TIZOLJS,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TIZOLSJ,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TIZOJLS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIZOJSL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TIZOSLJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOSJL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOLJSZ,O,O,X,O,X,O,X,X,X,X,X,O,X,X,X
TIOLJZS,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TIOLSJZ,O,O,X,O,X,O,X,X,X,X,X,O,X,X,X
TIOLSZJ,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TIOLZJS,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TIOLZSJ,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TIOJLSZ,O,O,X,O,X,O,X,X,X,X,X,O,X,X,X
TIOJLZS,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TIOJSLZ,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X
TIOJSZL,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TIOJZLS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOJZSL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOSLJZ,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X
TIOSLZJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSJLZ,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X
TIOSJZL,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TIOSZLJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSZJL,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TIOZLJS,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TIOZLSJ,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TIOZJLS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOZJSL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOZSLJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZSJL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLIJSZO,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TLIJSOZ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TLIJZSO,O,X,O,X,O,X,X,X,X,X,O,X,X,O,X
TLIJZOS,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TLIJOSZ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TLIJOZS,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TLISJZO,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TLISJOZ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TLISZJO,O,O,O,X,O,X,O,X,X,X,X,X,O,X,X
TLISZOJ,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X
TLISOJZ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TLISOZJ,X,O,O,X,O,X,O,X,O,X,X,X,X,X,X
TLIZJSO,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X
TLIZJOS,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X
TLIZSJO,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X
TLIZSOJ,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLIZOJS,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X
TLIZOSJ,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLIOJSZ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TLIOJZS,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TLIOSJZ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TLIOSZJ,X,O,O,X,O,X,O,X,O,X,X,X,X,X,X
TLIOZJS,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TLIOZSJ,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLJISZO,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TLJISOZ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TLJIZSO,O,X,O,X,O,X,X,X,X,X,O,X,X,O,X
TLJIZOS,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TLJIOSZ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TLJIOZS,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TLJSIZO,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TLJSIOZ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TLJSZIO,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TLJSZOI,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TLJSOIZ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TLJSOZI,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TLJZISO,O,X,O,X,O,X,X,X,X,X,O,X,X,O,X
TLJZIOS,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TLJZSIO,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X
TLJZSOI,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X
TLJZOIS,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TLJZOSI,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TLJOISZ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TLJOIZS,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TLJOSIZ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TLJOSZI,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TLJOZIS,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TLJOZSI,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TLSIJZO,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TLSIJOZ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TLSIZJO,O,O,O,X,O,X,O,X,X,X,X,X,O,X,X
TLSIZOJ,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X
TLSIOJZ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TLSIOZJ,X,O,O,X,O,X,O,X,O,X,X,X,X,X,X
TLSJIZO,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TLSJIOZ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TLSJZIO,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TLSJZOI,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TLSJOIZ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TLSJOZI,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TLSZIJO,O,O,O,X,O,X,O,X,X,X,X,X,O,X,X
TLSZIOJ,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X
TLSZJIO,O,O,O,X,O,X,O,X,X,X,X,X,O,X,X
TLSZJOI,O,O,O,X,O,X,O,X,X,X,X,X,O,X,X
TLSZOIJ,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X
TLSZOJI,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X
TLSOIJZ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TLSOIZJ,X,O,O,X,O,X,O,X,O,X,X,X,X,X,X
TLSOJIZ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TLSOJZI,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TLSOZIJ,X,O,O,X,O,X,O,X,O,X,X,X,X,X,X
TLSOZJI,X,O,O,X,O,X,O,X,O,X,X,X,X,X,X
TLZIJSO,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X
TLZIJOS,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X
TLZISJO,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X
TLZISOJ,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLZIOJS,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X
TLZIOSJ,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLZJISO,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X
TLZJIOS,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X
TLZJSIO,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLZJSOI,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLZJOIS,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X
TLZJOSI,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X
TLZSIJO,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLZSIOJ,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLZSJIO,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLZSJOI,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLZSOIJ,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLZSOJI,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLZOIJS,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X
TLZOISJ,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLZOJIS,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X
TLZOJSI,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X
TLZOSIJ,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLZOSJI,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLOIJSZ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TLOIJZS,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TLOISJZ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TLOISZJ,X,O,O,X,O,X,O,X,O,X,X,X,X,X,X
TLOIZJS,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TLOIZSJ,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLOJISZ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TLOJIZS,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TLOJSIZ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TLOJSZI,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TLOJZIS,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TLOJZSI,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TLOSIJZ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TLOSIZJ,X,O,O,X,O,X,O,X,O,X,X,X,X,X,X
TLOSJIZ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TLOSJZI,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TLOSZIJ,X,O,O,X,O,X,O,X,O,X,X,X,X,X,X
TLOSZJI,X,O,O,X,O,X,O,X,O,X,X,X,X,X,X
TLOZIJS,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TLOZISJ,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLOZJIS,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TLOZJSI,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TLOZSIJ,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLOZSJI,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TJILSZO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJILSOZ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TJILZSO,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TJILZOS,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TJILOSZ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TJILOZS,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TJISLZO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJISLOZ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O
TJISZLO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJISZOL,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O
TJISOLZ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O
TJISOZL,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O
TJIZLSO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJIZLOS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJIZSLO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJIZSOL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TJIZOLS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJIZOSL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TJIOLSZ,O,O,X,O,X,O,X,X,X,X,X,O,X,X,X
TJIOLZS,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TJIOSLZ,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X
TJIOSZL,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TJIOZLS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJIOZSL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TJLISZO,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TJLISOZ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TJLIZSO,O,X,O,X,O,X,X,X,X,X,O,X,X,O,X
TJLIZOS,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TJLIOSZ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TJLIOZS,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TJLSIZO,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TJLSIOZ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TJLSZIO,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TJLSZOI,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TJLSOIZ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TJLSOZI,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TJLZISO,O,X,O,X,O,X,X,X,X,X,O,X,X,O,X
TJLZIOS,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TJLZSIO,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X
TJLZSOI,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X
TJLZOIS,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TJLZOSI,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TJLOISZ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TJLOIZS,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TJLOSIZ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TJLOSZI,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TJLOZIS,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TJLOZSI,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TJSILZO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSILOZ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O
TJSIZLO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSIZOL,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O
TJSIOLZ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O
TJSIOZL,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O
TJSLIZO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSLIOZ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TJSLZIO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSLZOI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSLOIZ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TJSLOZI,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TJSZILO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSZIOL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSZLIO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSZLOI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSZOIL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSZOLI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSOILZ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TJSOIZL,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TJSOLIZ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TJSOLZI,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TJSOZIL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSOZLI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJZILSO,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJZILOS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJZISLO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJZISOL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TJZIOLS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
