sequence,v115@9gA8IeA8IeC8BeB8CeG8AeB8JeZ7IvhE6fBXcB8hB+?oBzlB,v115@9gA8IeA8IeC8BeB8CeG8AeB8JeZ7IvhE6fB8gBzcB+?oBXmB,v115@9gA8IeA8IeC8BeB8CeG8AeB8Jea8IvhEfdB5gBzfBc?mB+oB,v115@9gA8IeA8IeC8BeB8CeG8AeB8JeZwIvhEceBqfB/hB+?oBzlB,v115@9gA8IeA8IeC8BeB8CeG8AeB8JeZwIvhDzfBqlB3hB+?oB,v115@9gA8IeA8IeC8BeB8CeG8AeB8JeZrIvhE6fBTbB3hB+?oB0lB,v115@9gA8IeA8IeC8BeB8CeG8AeB8JeT0IvhE0aB5jBSlBO?mBXiB
ISZTJOL,X,O,O,X,X,X,O
ISZTOLJ,X,O,O,X,X,X,O
ISZTOJL,X,O,O,X,X,X,O
ISZLTJO,X,O,O,X,X,O,O
ISZLTOJ,X,O,O,X,X,O,O
ISZLJTO,X,O,O,X,X,O,O
ISZLJOT,O,O,O,X,O,O,O
ISZLOTJ,O,O,O,X,X,O,O
ISZLOJT,O,O,O,X,O,O,O
ISZJTLO,X,O,O,X,X,X,O
ISZJTOL,X,O,O,X,X,X,O
ISZJLTO,X,O,O,X,X,O,O
ISZJLOT,O,O,O,X,O,O,O
ISZJOTL,O,O,O,X,X,X,O
ISZJOLT,O,O,O,X,X,O,O
ISZOTLJ,O,O,O,X,X,X,O
ISZOTJL,O,O,O,X,X,X,O
ISZOLTJ,O,O,O,X,X,O,O
ISZOLJT,O,O,O,X,X,O,O
ISZOJTL,O,O,O,X,X,X,O
ISZOJLT,O,O,O,X,X,O,O
ISOTLJZ,O,O,X,O,X,X,O
ISOTLZJ,O,O,X,X,X,X,O
ISOTJLZ,O,O,X,O,X,X,O
ISOTJZL,O,O,X,O,X,X,O
ISOTZLJ,O,O,X,X,X,X,O
ISOTZJL,O,O,X,X,X,X,O
ISOLTJZ,O,O,X,O,O,X,O
ISOLTZJ,O,O,X,X,X,X,O
ISOLJTZ,O,O,X,O,O,X,O
ISOLJZT,O,O,X,O,O,X,O
ISOLZTJ,O,O,X,X,X,X,O
ISOLZJT,O,O,X,O,O,X,O
ISOJTLZ,O,O,X,O,X,X,O
ISOJTZL,O,O,X,O,X,X,O
ISOJLTZ,O,O,X,O,O,X,O
ISOJLZT,O,O,X,O,O,X,O
ISOJZTL,O,O,O,O,X,X,O
ISOJZLT,O,O,O,O,X,X,O
ISOZTLJ,O,O,O,X,X,X,O
ISOZTJL,O,O,O,X,X,X,O
ISOZLTJ,O,O,O,X,X,X,O
ISOZLJT,O,O,O,O,X,X,O
ISOZJTL,O,O,O,O,X,X,O
ISOZJLT,O,O,O,O,X,X,O
IZTLJSO,X,X,O,X,X,X,O
IZTLJOS,O,X,O,X,X,X,O
IZTLSJO,X,X,O,X,X,X,O
IZTLSOJ,X,X,O,X,X,X,O
IZTLOJS,O,X,O,X,X,X,O
IZTLOSJ,O,X,O,X,X,X,O
IZTJLSO,X,X,O,X,X,X,O
IZTJLOS,O,X,O,X,X,X,O
IZTJSLO,X,X,O,X,X,X,O
IZTJSOL,X,X,O,X,X,X,O
IZTJOLS,O,X,O,X,X,X,O
IZTJOSL,O,X,O,X,X,X,O
IZTSLJO,X,X,O,X,X,X,O
IZTSLOJ,X,X,O,X,X,X,O
IZTSJLO,X,X,O,X,X,X,O
IZTSJOL,X,X,O,X,X,X,O
IZTSOLJ,X,X,O,X,X,X,O
IZTSOJL,X,X,O,X,X,X,O
IZTOLJS,O,X,O,X,X,X,O
IZTOLSJ,O,X,O,X,X,X,O
IZTOJLS,O,X,O,X,X,X,O
IZTOJSL,O,X,O,X,X,X,O
IZTOSLJ,O,X,O,X,X,X,O
IZTOSJL,O,X,O,X,X,X,O
IZLTJSO,X,X,O,X,X,O,O
IZLTJOS,O,X,O,X,X,O,O
IZLTSJO,X,X,O,X,X,O,O
IZLTSOJ,X,X,O,X,X,O,O
IZLTOJS,O,X,O,X,X,O,O
IZLTOSJ,O,X,O,X,X,O,O
IZLJTSO,X,X,O,X,X,O,O
IZLJTOS,O,X,O,O,X,O,O
IZLJSTO,X,O,O,X,X,O,O
IZLJSOT,O,O,O,O,O,O,O
IZLJOTS,O,X,O,O,X,O,O
IZLJOST,O,X,O,O,O,O,O
IZLSTJO,X,O,O,X,X,O,O
IZLSTOJ,X,O,O,X,X,O,O
IZLSJTO,X,O,O,X,X,O,O
IZLSJOT,O,O,O,X,O,O,O
IZLSOTJ,O,O,O,X,X,O,O
IZLSOJT,O,O,O,X,O,O,O
IZLOTJS,O,X,O,X,X,O,O
IZLOTSJ,O,X,O,X,X,O,O
IZLOJTS,O,X,O,O,X,O,O
IZLOJST,O,X,O,O,O,O,O
IZLOSTJ,O,X,O,X,X,O,O
IZLOSJT,O,X,O,O,O,O,O
IZJTLSO,X,X,O,X,X,X,O
IZJTLOS,O,X,O,O,X,X,O
IZJTSLO,X,X,O,X,X,X,O
IZJTSOL,X,X,O,X,X,X,O
IZJTOLS,O,X,O,O,X,X,O
IZJTOSL,O,X,O,O,X,X,O
IZJLTSO,X,X,O,X,X,O,O
IZJLTOS,O,X,O,O,X,O,O
IZJLSTO,X,O,O,X,X,O,O
IZJLSOT,O,O,O,O,O,O,O
IZJLOTS,O,X,O,O,X,O,O
IZJLOST,O,X,O,O,O,O,O
IZJSTLO,X,O,O,X,X,X,O
IZJSTOL,X,O,O,X,X,X,O
IZJSLTO,X,O,O,X,X,O,O
IZJSLOT,O,O,O,O,O,O,O
IZJSOTL,O,O,O,O,X,X,O
IZJSOLT,O,O,O,O,X,O,O
IZJOTLS,O,X,O,O,X,X,O
IZJOTSL,O,X,O,O,X,X,O
IZJOLTS,O,X,O,O,X,O,O
IZJOLST,O,X,O,O,O,O,O
IZJOSTL,O,X,O,O,X,X,O
IZJOSLT,O,X,O,O,X,O,O
IZSTLJO,X,O,O,X,X,X,O
IZSTLOJ,X,O,O,X,X,X,O
IZSTJLO,X,O,O,X,X,X,O
IZSTJOL,X,O,O,X,X,X,O
IZSTOLJ,X,O,O,X,X,X,O
IZSTOJL,X,O,O,X,X,X,O
IZSLTJO,X,O,O,X,X,O,O
IZSLTOJ,X,O,O,X,X,O,O
IZSLJTO,X,O,O,X,X,O,O
IZSLJOT,O,O,O,X,O,O,O
IZSLOTJ,O,O,O,X,X,O,O
IZSLOJT,O,O,O,X,O,O,O
IZSJTLO,X,O,O,X,X,X,O
IZSJTOL,X,O,O,X,X,X,O
IZSJLTO,X,O,O,X,X,O,O
IZSJLOT,O,O,O,X,O,O,O
IZSJOTL,O,O,O,X,X,X,O
IZSJOLT,O,O,O,X,X,O,O
IZSOTLJ,O,O,O,X,X,X,O
IZSOTJL,O,O,O,X,X,X,O
IZSOLTJ,O,O,O,X,X,O,O
IZSOLJT,O,O,O,X,X,O,O
IZSOJTL,O,O,O,X,X,X,O
IZSOJLT,O,O,O,X,X,O,O
IZOTLJS,O,X,O,X,X,X,O
IZOTLSJ,O,X,O,X,X,X,O
IZOTJLS,O,X,O,X,X,X,O
IZOTJSL,O,X,O,X,X,X,O
IZOTSLJ,O,X,O,X,X,X,O
IZOTSJL,O,X,O,X,X,X,O
IZOLTJS,O,X,O,X,X,O,O
IZOLTSJ,O,X,O,X,X,O,O
IZOLJTS,O,X,O,O,X,O,O
IZOLJST,O,X,O,O,O,O,O
IZOLSTJ,O,X,O,X,X,O,O
IZOLSJT,O,X,O,O,O,O,O
IZOJTLS,O,X,O,O,X,X,O
IZOJTSL,O,X,O,O,X,X,O
IZOJLTS,O,X,O,O,X,O,O
IZOJLST,O,X,O,O,O,O,O
IZOJSTL,O,X,O,O,X,X,O
IZOJSLT,O,X,O,O,X,O,O
IZOSTLJ,O,X,O,X,X,X,O
IZOSTJL,O,X,O,X,X,X,O
IZOSLTJ,O,X,O,X,X,O,O
IZOSLJT,O,X,O,O,X,O,O
IZOSJTL,O,X,O,O,X,X,O
IZOSJLT,O,X,O,O,X,O,O
IOTLJSZ,O,X,X,O,O,X,O
IOTLJZS,O,X,X,O,X,X,O
IOTLSJZ,O,X,X,O,O,X,O
IOTLSZJ,O,X,X,X,X,X,O
IOTLZJS,O,X,X,X,X,X,O
IOTLZSJ,O,X,X,X,X,X,O
IOTJLSZ,O,X,X,O,O,X,O
IOTJLZS,O,X,X,O,X,X,O
IOTJSLZ,O,X,X,O,X,X,O
IOTJSZL,O,X,X,O,X,X,O
IOTJZLS,O,X,O,O,X,X,O
IOTJZSL,O,X,O,O,X,X,O
IOTSLJZ,O,X,X,O,X,X,O
IOTSLZJ,O,X,X,X,X,X,O
IOTSJLZ,O,X,X,O,X,X,O
IOTSJZL,O,X,X,O,X,X,O
IOTSZLJ,O,X,X,X,X,X,O
IOTSZJL,O,X,X,X,X,X,O
IOTZLJS,O,X,O,X,X,X,O
IOTZLSJ,O,X,O,X,X,X,O
IOTZJLS,O,X,O,X,X,X,O
IOTZJSL,O,X,O,X,X,X,O
IOTZSLJ,O,X,O,X,X,X,O
IOTZSJL,O,X,O,X,X,X,O
IOLTJSZ,O,X,X,O,O,X,O
IOLTJZS,O,X,X,O,X,X,O
IOLTSJZ,O,X,X,O,O,X,O
IOLTSZJ,O,X,X,X,X,X,O
IOLTZJS,O,X,X,X,X,X,O
IOLTZSJ,O,X,X,X,X,X,O
IOLJTSZ,O,X,X,O,O,X,O
IOLJTZS,O,X,X,O,X,X,O
IOLJSTZ,O,O,X,O,O,X,O
IOLJSZT,O,O,X,O,O,X,O
IOLJZTS,O,X,O,O,X,X,O
IOLJZST,O,X,O,O,O,X,O
IOLSTJZ,O,O,X,O,O,X,O
IOLSTZJ,O,O,X,X,X,X,O
IOLSJTZ,O,O,X,O,O,X,O
IOLSJZT,O,O,X,O,O,X,O
IOLSZTJ,O,O,X,X,X,X,O
IOLSZJT,O,O,X,O,O,X,O
IOLZTJS,O,X,O,X,X,X,O
IOLZTSJ,O,X,O,X,X,X,O
IOLZJTS,O,X,O,O,X,X,O
IOLZJST,O,X,O,O,O,X,O
IOLZSTJ,O,X,O,X,X,X,O
IOLZSJT,O,X,O,O,O,X,O
IOJTLSZ,O,X,X,O,O,X,O
IOJTLZS,O,X,X,O,X,X,O
IOJTSLZ,O,X,X,O,X,X,O
IOJTSZL,O,X,X,O,X,X,O
IOJTZLS,O,X,O,O,X,X,O
IOJTZSL,O,X,O,O,X,X,O
IOJLTSZ,O,X,X,O,O,X,O
IOJLTZS,O,X,X,O,X,X,O
IOJLSTZ,O,O,X,O,O,X,O
IOJLSZT,O,O,X,O,O,X,O
IOJLZTS,O,X,O,O,X,X,O
IOJLZST,O,X,O,O,O,X,O
IOJSTLZ,O,O,X,O,X,X,O
IOJSTZL,O,O,X,O,X,X,O
IOJSLTZ,O,O,X,O,O,X,O
IOJSLZT,O,O,X,O,O,X,O
IOJSZTL,O,O,O,O,X,X,O
IOJSZLT,O,O,O,O,X,X,O
IOJZTLS,O,X,O,O,X,X,O
IOJZTSL,O,X,O,O,X,X,O
IOJZLTS,O,X,O,O,X,X,O
IOJZLST,O,X,O,O,O,X,O
IOJZSTL,O,X,O,O,X,X,O
IOJZSLT,O,X,O,O,X,X,O
IOSTLJZ,O,O,X,O,X,X,O
IOSTLZJ,O,O,X,X,X,X,O
IOSTJLZ,O,O,X,O,X,X,O
IOSTJZL,O,O,X,O,X,X,O
IOSTZLJ,O,O,X,X,X,X,O
IOSTZJL,O,O,X,X,X,X,O
IOSLTJZ,O,O,X,O,O,X,O
IOSLTZJ,O,O,X,X,X,X,O
IOSLJTZ,O,O,X,O,O,X,O
IOSLJZT,O,O,X,O,O,X,O
IOSLZTJ,O,O,X,X,X,X,O
IOSLZJT,O,O,X,O,O,X,O
IOSJTLZ,O,O,X,O,X,X,O
IOSJTZL,O,O,X,O,X,X,O
IOSJLTZ,O,O,X,O,O,X,O
IOSJLZT,O,O,X,O,O,X,O
IOSJZTL,O,O,O,O,X,X,O
IOSJZLT,O,O,O,O,X,X,O
IOSZTLJ,O,O,O,X,X,X,O
IOSZTJL,O,O,O,X,X,X,O
IOSZLTJ,O,O,O,X,X,X,O
IOSZLJT,O,O,O,O,X,X,O
IOSZJTL,O,O,O,O,X,X,O
IOSZJLT,O,O,O,O,X,X,O
IOZTLJS,O,X,O,X,X,X,O
IOZTLSJ,O,X,O,X,X,X,O
IOZTJLS,O,X,O,X,X,X,O
IOZTJSL,O,X,O,X,X,X,O
IOZTSLJ,O,X,O,X,X,X,O
IOZTSJL,O,X,O,X,X,X,O
IOZLTJS,O,X,O,X,X,X,O
IOZLTSJ,O,X,O,X,X,X,O
IOZLJTS,O,X,O,O,X,X,O
IOZLJST,O,X,O,O,O,X,O
IOZLSTJ,O,X,O,X,X,X,O
IOZLSJT,O,X,O,O,O,X,O
IOZJTLS,O,X,O,O,X,X,O
IOZJTSL,O,X,O,O,X,X,O
IOZJLTS,O,X,O,O,X,X,O
IOZJLST,O,X,O,O,O,X,O
IOZJSTL,O,X,O,O,X,X,O
IOZJSLT,O,X,O,O,X,X,O
IOZSTLJ,O,X,O,X,X,X,O
IOZSTJL,O,X,O,X,X,X,O
IOZSLTJ,O,X,O,X,X,X,O
IOZSLJT,O,X,O,O,X,X,O
IOZSJTL,O,X,O,O,X,X,O
IOZSJLT,O,X,O,O,X,X,O
LTIJSZO,X,O,X,X,X,O,O
LTIJSOZ,X,O,X,X,O,X,O
LTIJZSO,X,X,X,X,X,O,O
LTIJZOS,O,X,X,O,X,O,O
LTIJOSZ,O,X,X,O,O,X,O
LTIJOZS,O,X,X,O,X,X,O
LTISJZO,X,O,X,X,X,O,O
LTISJOZ,X,O,X,X,O,X,O
LTISZJO,X,O,X,X,X,O,O
LTISZOJ,X,O,X,X,X,O,O
LTISOJZ,X,O,X,X,O,X,O
LTISOZJ,X,O,X,X,X,X,O
LTIZJSO,X,X,X,X,X,O,O
LTIZJOS,O,X,X,X,X,O,O
LTIZSJO,X,X,X,X,X,O,O
LTIZSOJ,X,X,X,X,X,O,O
LTIZOJS,O,X,X,X,X,O,O
LTIZOSJ,O,X,X,X,X,O,O
LTIOJSZ,O,X,X,O,O,X,O
LTIOJZS,O,X,X,O,X,X,O
LTIOSJZ,O,X,X,O,O,X,O
LTIOSZJ,O,X,X,X,X,X,O
LTIOZJS,O,X,X,X,X,X,O
LTIOZSJ,O,X,X,X,X,X,O
LTJISZO,X,O,X,X,X,O,O
LTJISOZ,X,O,X,X,O,X,O
LTJIZSO,X,X,X,X,X,O,O
LTJIZOS,O,X,X,O,X,O,O
LTJIOSZ,O,X,X,O,O,X,O
LTJIOZS,O,X,X,O,X,X,O
LTJSIZO,X,O,X,X,X,O,O
LTJSIOZ,X,O,X,X,O,X,O
LTJSZIO,X,O,X,X,X,O,O
LTJSZOI,X,O,X,X,X,O,X
LTJSOIZ,X,O,X,X,O,X,X
LTJSOZI,X,O,X,X,X,X,X
LTJZISO,X,X,X,X,X,O,O
LTJZIOS,O,X,X,O,X,O,O
LTJZSIO,X,X,X,X,X,O,O
LTJZSOI,X,X,X,X,X,O,X
LTJZOIS,O,X,X,O,X,O,X
LTJZOSI,O,X,X,O,X,O,X
LTJOISZ,O,X,X,O,O,X,X
LTJOIZS,O,X,X,O,X,X,X
LTJOSIZ,O,X,X,O,O,X,X
LTJOSZI,O,X,X,O,X,X,X
LTJOZIS,O,X,X,O,X,X,X
LTJOZSI,O,X,X,O,X,X,X
LTSIJZO,X,O,X,X,X,O,O
LTSIJOZ,X,O,X,X,O,X,O
LTSIZJO,X,O,X,X,X,O,O
LTSIZOJ,X,O,X,X,X,O,O
LTSIOJZ,X,O,X,X,O,X,O
LTSIOZJ,X,O,X,X,X,X,O
LTSJIZO,X,O,X,X,X,O,O
LTSJIOZ,X,O,X,X,O,X,O
LTSJZIO,X,O,X,X,X,O,O
LTSJZOI,X,O,X,X,X,O,X
LTSJOIZ,X,O,X,X,O,X,X
LTSJOZI,X,O,X,X,X,X,X
LTSZIJO,X,O,X,X,X,O,O
LTSZIOJ,X,O,X,X,X,O,O
LTSZJIO,X,O,X,X,X,O,O
LTSZJOI,X,O,X,X,X,O,X
LTSZOIJ,X,O,X,X,X,O,X
LTSZOJI,X,O,X,X,X,O,X
LTSOIJZ,X,O,X,X,O,X,X
LTSOIZJ,X,O,X,X,X,X,X
LTSOJIZ,X,O,X,X,O,X,X
LTSOJZI,X,O,X,X,X,X,X
LTSOZIJ,X,O,X,X,X,X,X
LTSOZJI,X,O,X,X,X,X,X
LTZIJSO,X,X,X,X,X,O,O
LTZIJOS,O,X,X,X,X,O,O
LTZISJO,X,X,X,X,X,O,O
LTZISOJ,X,X,X,X,X,O,O
LTZIOJS,O,X,X,X,X,O,O
LTZIOSJ,O,X,X,X,X,O,O
LTZJISO,X,X,X,X,X,O,O
LTZJIOS,O,X,X,X,X,O,O
LTZJSIO,X,X,X,X,X,O,O
LTZJSOI,X,X,X,X,X,O,X
LTZJOIS,O,X,X,X,X,O,X
LTZJOSI,O,X,X,X,X,O,X
LTZSIJO,X,X,X,X,X,O,O
LTZSIOJ,X,X,X,X,X,O,O
LTZSJIO,X,X,X,X,X,O,O
LTZSJOI,X,X,X,X,X,O,X
LTZSOIJ,X,X,X,X,X,O,X
LTZSOJI,X,X,X,X,X,O,X
LTZOIJS,O,X,X,X,X,O,X
LTZOISJ,O,X,X,X,X,O,X
LTZOJIS,O,X,X,X,X,O,X
LTZOJSI,O,X,X,X,X,O,X
LTZOSIJ,O,X,X,X,X,O,X
LTZOSJI,O,X,X,X,X,O,X
LTOIJSZ,O,X,X,O,O,X,X
LTOIJZS,O,X,X,O,X,X,X
LTOISJZ,O,X,X,O,O,X,X
LTOISZJ,O,X,X,X,X,X,X
LTOIZJS,O,X,X,X,X,X,X
LTOIZSJ,O,X,X,X,X,X,X
LTOJISZ,O,X,X,O,O,X,X
LTOJIZS,O,X,X,O,X,X,X
LTOJSIZ,O,X,X,O,O,X,X
LTOJSZI,O,X,X,O,X,X,X
LTOJZIS,O,X,X,O,X,X,X
LTOJZSI,O,X,X,O,X,X,X
LTOSIJZ,O,X,X,O,O,X,X
LTOSIZJ,O,X,X,X,X,X,X
LTOSJIZ,O,X,X,O,O,X,X
LTOSJZI,O,X,X,O,X,X,X
LTOSZIJ,O,X,X,X,X,X,X
LTOSZJI,O,X,X,X,X,X,X
LTOZIJS,O,X,X,X,X,X,X
LTOZISJ,O,X,X,X,X,X,X
LTOZJIS,O,X,X,X,X,X,X
LTOZJSI,O,X,X,X,X,X,X
LTOZSIJ,O,X,X,X,X,X,X
LTOZSJI,O,X,X,X,X,X,X
LITJSZO,X,O,X,X,X,O,O
LITJSOZ,X,O,X,X,O,X,O
LITJZSO,X,X,X,X,X,O,O
LITJZOS,O,X,X,O,X,O,O
LITJOSZ,O,X,X,O,O,X,O
LITJOZS,O,X,X,O,X,X,O
LITSJZO,X,O,X,X,X,O,O
LITSJOZ,X,O,X,X,O,X,O
LITSZJO,X,O,X,X,X,O,O
LITSZOJ,X,O,X,X,X,O,O
LITSOJZ,X,O,X,X,O,X,O
LITSOZJ,X,O,X,X,X,X,O
LITZJSO,X,X,X,X,X,O,O
LITZJOS,O,X,X,X,X,O,O
LITZSJO,X,X,X,X,X,O,O
LITZSOJ,X,X,X,X,X,O,O
LITZOJS,O,X,X,X,X,O,O
LITZOSJ,O,X,X,X,X,O,O
LITOJSZ,O,X,X,O,O,X,O
LITOJZS,O,X,X,O,X,X,O
LITOSJZ,O,X,X,O,O,X,O
LITOSZJ,O,X,X,X,X,X,O
LITOZJS,O,X,X,X,X,X,O
LITOZSJ,O,X,X,X,X,X,O
LIJTSZO,X,O,X,X,X,O,O
LIJTSOZ,X,O,X,X,O,X,O
LIJTZSO,X,X,X,X,X,O,O
LIJTZOS,O,X,X,O,X,O,O
LIJTOSZ,O,X,X,O,O,X,O
LIJTOZS,O,X,X,O,X,X,O
LIJSTZO,X,O,X,X,X,O,O
LIJSTOZ,X,O,X,X,O,X,O
LIJSZTO,X,O,X,X,X,O,O
LIJSZOT,O,O,X,O,O,O,O
LIJSOTZ,O,O,X,O,O,X,O
LIJSOZT,O,O,X,O,O,O,O
LIJZTSO,X,X,O,X,X,O,O
LIJZTOS,O,X,O,O,X,O,O
LIJZSTO,X,O,O,X,X,O,O
LIJZSOT,O,O,O,O,O,O,O
LIJZOTS,O,X,O,O,X,O,O
LIJZOST,O,X,O,O,O,O,O
LIJOTSZ,O,X,X,O,O,X,O
LIJOTZS,O,X,X,O,X,X,O
LIJOSTZ,O,O,X,O,O,X,O
LIJOSZT,O,O,X,O,O,O,O
LIJOZTS,O,X,O,O,X,O,O
LIJOZST,O,X,O,O,O,O,O
LISTJZO,X,O,X,X,X,O,O
LISTJOZ,X,O,X,X,O,X,O
LISTZJO,X,O,X,X,X,O,O
LISTZOJ,X,O,X,X,X,O,O
LISTOJZ,X,O,X,X,O,X,O
LISTOZJ,X,O,X,X,X,X,O
LISJTZO,X,O,X,X,X,O,O
LISJTOZ,X,O,X,X,O,X,O
LISJZTO,X,O,X,X,X,O,O
LISJZOT,O,O,X,O,O,O,O
LISJOTZ,O,O,X,O,O,X,O
LISJOZT,O,O,X,O,O,O,O
LISZTJO,X,O,X,X,X,O,O
LISZTOJ,X,O,X,X,X,O,O
LISZJTO,X,O,X,X,X,O,O
LISZJOT,O,O,X,X,O,O,O
LISZOTJ,O,O,X,X,X,O,O
LISZOJT,O,O,X,X,O,O,O
LISOTJZ,O,O,X,O,O,X,O
LISOTZJ,O,O,X,X,X,X,O
LISOJTZ,O,O,X,O,O,X,O
LISOJZT,O,O,X,O,O,O,O
LISOZTJ,O,O,X,X,X,O,O
LISOZJT,O,O,X,O,O,O,O
LIZTJSO,X,X,O,X,X,O,O
LIZTJOS,O,X,O,X,X,O,O
LIZTSJO,X,X,O,X,X,O,O
LIZTSOJ,X,X,O,X,X,O,O
LIZTOJS,O,X,O,X,X,O,O
LIZTOSJ,O,X,O,X,X,O,O
LIZJTSO,X,X,O,X,X,O,O
LIZJTOS,O,X,O,O,X,O,O
LIZJSTO,X,O,O,X,X,O,O
LIZJSOT,O,O,O,O,O,O,O
LIZJOTS,O,X,O,O,X,O,O
LIZJOST,O,X,O,O,O,O,O
LIZSTJO,X,O,O,X,X,O,O
LIZSTOJ,X,O,O,X,X,O,O
LIZSJTO,X,O,O,X,X,O,O
LIZSJOT,O,O,O,X,O,O,O
LIZSOTJ,O,O,O,X,X,O,O
LIZSOJT,O,O,O,X,O,O,O
LIZOTJS,O,X,O,X,X,O,O
LIZOTSJ,O,X,O,X,X,O,O
LIZOJTS,O,X,O,O,X,O,O
LIZOJST,O,X,O,O,O,O,O
LIZOSTJ,O,X,O,X,X,O,O
LIZOSJT,O,X,O,O,O,O,O
LIOTJSZ,O,X,X,O,O,X,O
LIOTJZS,O,X,X,O,X,X,O
LIOTSJZ,O,X,X,O,O,X,O
LIOTSZJ,O,X,X,X,X,X,O
LIOTZJS,O,X,X,X,X,X,O
LIOTZSJ,O,X,X,X,X,X,O
LIOJTSZ,O,X,X,O,O,X,O
LIOJTZS,O,X,X,O,X,X,O
LIOJSTZ,O,O,X,O,O,X,O
LIOJSZT,O,O,X,O,O,O,O
LIOJZTS,O,X,O,O,X,O,O
LIOJZST,O,X,O,O,O,O,O
LIOSTJZ,O,O,X,O,O,X,O
LIOSTZJ,O,O,X,X,X,X,O
LIOSJTZ,O,O,X,O,O,X,O
LIOSJZT,O,O,X,O,O,O,O
LIOSZTJ,O,O,X,X,X,O,O
LIOSZJT,O,O,X,O,O,O,O
LIOZTJS,O,X,O,X,X,O,O
LIOZTSJ,O,X,O,X,X,O,O
LIOZJTS,O,X,O,O,X,O,O
LIOZJST,O,X,O,O,O,O,O
LIOZSTJ,O,X,O,X,X,O,O
LIOZSJT,O,X,O,O,O,O,O
LJTISZO,X,O,X,X,X,O,O
LJTISOZ,X,O,X,X,O,X,O
LJTIZSO,X,X,X,X,X,O,O
LJTIZOS,O,X,X,O,X,O,O
LJTIOSZ,O,X,X,O,O,X,O
LJTIOZS,O,X,X,O,X,X,O
LJTSIZO,X,O,X,X,X,O,O
LJTSIOZ,X,O,X,X,O,X,O
LJTSZIO,X,O,X,X,X,O,O
LJTSZOI,X,O,X,X,X,O,X
LJTSOIZ,X,O,X,X,O,X,X
LJTSOZI,X,O,X,X,X,X,X
LJTZISO,X,X,X,X,X,O,O
LJTZIOS,O,X,X,O,X,O,O
LJTZSIO,X,X,X,X,X,O,O
LJTZSOI,X,X,X,X,X,O,X
LJTZOIS,O,X,X,O,X,O,X
LJTZOSI,O,X,X,O,X,O,X
LJTOISZ,O,X,X,O,O,X,X
LJTOIZS,O,X,X,O,X,X,X
LJTOSIZ,O,X,X,O,O,X,X
LJTOSZI,O,X,X,O,X,X,X
LJTOZIS,O,X,X,O,X,X,X
LJTOZSI,O,X,X,O,X,X,X
LJITSZO,X,O,X,X,X,O,O
LJITSOZ,X,O,X,X,O,X,O
LJITZSO,X,X,X,X,X,O,O
LJITZOS,O,X,X,O,X,O,O
LJITOSZ,O,X,X,O,O,X,O
LJITOZS,O,X,X,O,X,X,O
LJISTZO,X,O,X,X,X,O,O
LJISTOZ,X,O,X,X,O,X,O
LJISZTO,X,O,X,X,X,O,O
LJISZOT,O,O,X,O,O,O,O
LJISOTZ,O,O,X,O,O,X,O
LJISOZT,O,O,X,O,O,O,O
LJIZTSO,X,X,O,X,X,O,O
LJIZTOS,O,X,O,O,X,O,O
LJIZSTO,X,O,O,X,X,O,O
LJIZSOT,O,O,O,O,O,O,O
LJIZOTS,O,X,O,O,X,O,O
LJIZOST,O,X,O,O,O,O,O
LJIOTSZ,O,X,X,O,O,X,O
LJIOTZS,O,X,X,O,X,X,O
LJIOSTZ,O,O,X,O,O,X,O
LJIOSZT,O,O,X,O,O,O,O
LJIOZTS,O,X,O,O,X,O,O
LJIOZST,O,X,O,O,O,O,O
LJSTIZO,X,O,X,X,X,O,O
LJSTIOZ,X,O,X,X,O,X,O
LJSTZIO,X,O,X,X,X,O,O
LJSTZOI,X,O,X,X,X,O,X
LJSTOIZ,X,O,X,X,O,X,X
LJSTOZI,X,O,X,X,X,X,X
LJSITZO,X,O,X,X,X,O,O
LJSITOZ,X,O,X,X,O,X,O
LJSIZTO,X,O,X,X,X,O,O
LJSIZOT,O,O,X,O,O,O,O
LJSIOTZ,O,O,X,O,O,X,O
LJSIOZT,O,O,X,O,O,O,O
LJSZTIO,X,O,X,X,X,O,O
LJSZTOI,X,O,X,X,X,O,X
LJSZITO,X,O,X,X,X,O,O
LJSZIOT,O,O,X,O,O,O,O
LJSZOTI,O,O,X,O,X,O,X
LJSZOIT,O,O,X,O,O,O,O
LJSOTIZ,O,O,X,O,O,X,X
LJSOTZI,O,O,X,O,X,X,X
LJSOITZ,O,O,X,O,O,X,O
LJSOIZT,O,O,X,O,O,O,O
LJSOZTI,O,O,X,O,X,O,X
LJSOZIT,O,O,X,O,O,O,O
LJZTISO,X,X,X,X,X,O,O
LJZTIOS,O,X,X,O,X,O,O
LJZTSIO,X,X,X,X,X,O,O
LJZTSOI,X,X,O,X,X,O,X
LJZTOIS,O,X,O,O,X,O,X
LJZTOSI,O,X,O,O,X,O,X
LJZITSO,X,X,O,X,X,O,O
LJZITOS,O,X,O,O,X,O,O
LJZISTO,X,O,O,X,X,O,O
LJZISOT,O,O,O,O,O,O,O
LJZIOTS,O,X,O,O,X,O,O
LJZIOST,O,X,O,O,O,O,O
LJZSTIO,X,O,X,X,X,O,O
LJZSTOI,X,O,O,X,X,O,X
LJZSITO,X,O,O,X,X,O,O
LJZSIOT,O,O,O,O,O,O,O
LJZSOTI,O,O,O,O,X,O,X
LJZSOIT,O,O,O,O,O,O,O
