sequence,v115@9gA8IeA8IeC8BeB8CeG8AeB8JeZ7IvhE6fBXcB8hB+?oBzlB,v115@9gA8IeA8IeC8BeB8CeG8AeB8JeZ7IvhE6fB8gBzcB+?oBXmB,v115@9gA8IeA8IeC8BeB8CeG8AeB8Jea8IvhEfdB5gBzfBc?mB+oB,v115@9gA8IeA8IeC8BeB8CeG8AeB8JeZwIvhEceBqfB/hB+?oBzlB,v115@9gA8IeA8IeC8BeB8CeG8AeB8JeZwIvhDzfBqlB3hB+?oB,v115@9gA8IeA8IeC8BeB8CeG8AeB8JeZrIvhE6fBTbB3hB+?oB0lB,v115@9gA8IeA8IeC8BeB8CeG8AeB8JeT0IvhE0aB5jBSlBO?mBXiB
TLJSIOZ,X,O,X,X,O,X,O
TLJSZIO,X,O,X,X,X,O,O
TLJSZOI,X,O,X,X,X,O,X
TLJSOIZ,X,O,X,X,O,X,X
TLJSOZI,X,O,X,X,X,X,X
TLJZISO,X,X,X,X,X,O,O
TLJZIOS,O,X,X,O,X,O,O
TLJZSIO,X,X,X,X,X,O,O
TLJZSOI,X,X,X,X,X,O,X
TLJZOIS,O,X,X,O,X,O,X
TLJZOSI,O,X,X,O,X,O,X
TLJOISZ,O,X,X,O,O,X,X
TLJOIZS,O,X,X,O,X,X,X
TLJOSIZ,O,X,X,O,O,X,X
TLJOSZI,O,X,X,O,X,X,X
TLJOZIS,O,X,X,O,X,X,X
TLJOZSI,O,X,X,O,X,X,X
TLSIJZO,X,O,X,X,X,O,O
TLSIJOZ,X,O,X,X,O,X,O
TLSIZJO,X,O,X,X,X,O,O
TLSIZOJ,X,O,X,X,X,O,O
TLSIOJZ,X,O,X,X,O,X,O
TLSIOZJ,X,O,X,X,X,X,O
TLSJIZO,X,O,X,X,X,O,O
TLSJIOZ,X,O,X,X,O,X,O
TLSJZIO,X,O,X,X,X,O,O
TLSJZOI,X,O,X,X,X,O,X
TLSJOIZ,X,O,X,X,O,X,X
TLSJOZI,X,O,X,X,X,X,X
TLSZIJO,X,O,X,X,X,O,O
TLSZIOJ,X,O,X,X,X,O,O
TLSZJIO,X,O,X,X,X,O,O
TLSZJOI,X,O,X,X,X,O,X
TLSZOIJ,X,O,X,X,X,O,X
TLSZOJI,X,O,X,X,X,O,X
TLSOIJZ,X,O,X,X,O,X,X
TLSOIZJ,X,O,X,X,X,X,X
TLSOJIZ,X,O,X,X,O,X,X
TLSOJZI,X,O,X,X,X,X,X
TLSOZIJ,X,O,X,X,X,X,X
TLSOZJI,X,O,X,X,X,X,X
TLZIJSO,X,X,X,X,X,O,O
TLZIJOS,O,X,X,X,X,O,O
TLZISJO,X,X,X,X,X,O,O
TLZISOJ,X,X,X,X,X,O,O
TLZIOJS,O,X,X,X,X,O,O
TLZIOSJ,O,X,X,X,X,O,O
TLZJISO,X,X,X,X,X,O,O
TLZJIOS,O,X,X,X,X,O,O
TLZJSIO,X,X,X,X,X,O,O
TLZJSOI,X,X,X,X,X,O,X
TLZJOIS,O,X,X,X,X,O,X
TLZJOSI,O,X,X,X,X,O,X
TLZSIJO,X,X,X,X,X,O,O
TLZSIOJ,X,X,X,X,X,O,O
TLZSJIO,X,X,X,X,X,O,O
TLZSJOI,X,X,X,X,X,O,X
TLZSOIJ,X,X,X,X,X,O,X
TLZSOJI,X,X,X,X,X,O,X
TLZOIJS,O,X,X,X,X,O,X
TLZOISJ,O,X,X,X,X,O,X
TLZOJIS,O,X,X,X,X,O,X
TLZOJSI,O,X,X,X,X,O,X
TLZOSIJ,O,X,X,X,X,O,X
TLZOSJI,O,X,X,X,X,O,X
TLOIJSZ,O,X,X,O,O,X,X
TLOIJZS,O,X,X,O,X,X,X
TLOISJZ,O,X,X,O,O,X,X
TLOISZJ,O,X,X,X,X,X,X
TLOIZJS,O,X,X,X,X,X,X
TLOIZSJ,O,X,X,X,X,X,X
TLOJISZ,O,X,X,O,O,X,X
TLOJIZS,O,X,X,O,X,X,X
TLOJSIZ,O,X,X,O,O,X,X
TLOJSZI,O,X,X,O,X,X,X
TLOJZIS,O,X,X,O,X,X,X
TLOJZSI,O,X,X,O,X,X,X
TLOSIJZ,O,X,X,O,O,X,X
TLOSIZJ,O,X,X,X,X,X,X
TLOSJIZ,O,X,X,O,O,X,X
TLOSJZI,O,X,X,O,X,X,X
TLOSZIJ,O,X,X,X,X,X,X
TLOSZJI,O,X,X,X,X,X,X
TLOZIJS,O,X,X,X,X,X,X
TLOZISJ,O,X,X,X,X,X,X
TLOZJIS,O,X,X,X,X,X,X
TLOZJSI,O,X,X,X,X,X,X
TLOZSIJ,O,X,X,X,X,X,X
TLOZSJI,O,X,X,X,X,X,X
TJILSZO,X,O,X,X,X,X,O
TJILSOZ,X,O,X,X,O,X,O
TJILZSO,X,X,X,X,X,X,O
TJILZOS,O,X,X,O,X,X,O
TJILOSZ,O,X,X,O,O,X,O
TJILOZS,O,X,X,O,X,X,O
TJISLZO,X,O,X,X,X,X,O
TJISLOZ,X,O,X,X,O,X,O
TJISZLO,X,O,X,X,X,X,O
TJISZOL,X,O,X,X,X,X,O
TJISOLZ,X,O,X,X,X,X,O
TJISOZL,X,O,X,X,X,X,O
TJIZLSO,X,X,O,X,X,X,O
TJIZLOS,O,X,O,O,X,X,O
TJIZSLO,X,X,O,X,X,X,O
TJIZSOL,X,X,O,X,X,X,O
TJIZOLS,O,X,O,O,X,X,O
TJIZOSL,O,X,O,O,X,X,O
TJIOLSZ,O,X,X,O,O,X,O
TJIOLZS,O,X,X,O,X,X,O
TJIOSLZ,O,X,X,O,X,X,O
TJIOSZL,O,X,X,O,X,X,O
TJIOZLS,O,X,O,O,X,X,O
TJIOZSL,O,X,O,O,X,X,O
TJLISZO,X,O,X,X,X,O,O
TJLISOZ,X,O,X,X,O,X,O
TJLIZSO,X,X,X,X,X,O,O
TJLIZOS,O,X,X,O,X,O,O
TJLIOSZ,O,X,X,O,O,X,O
TJLIOZS,O,X,X,O,X,X,O
TJLSIZO,X,O,X,X,X,O,O
TJLSIOZ,X,O,X,X,O,X,O
TJLSZIO,X,O,X,X,X,O,O
TJLSZOI,X,O,X,X,X,O,X
TJLSOIZ,X,O,X,X,O,X,X
TJLSOZI,X,O,X,X,X,X,X
TJLZISO,X,X,X,X,X,O,O
TJLZIOS,O,X,X,O,X,O,O
TJLZSIO,X,X,X,X,X,O,O
TJLZSOI,X,X,X,X,X,O,X
TJLZOIS,O,X,X,O,X,O,X
TJLZOSI,O,X,X,O,X,O,X
TJLOISZ,O,X,X,O,O,X,X
TJLOIZS,O,X,X,O,X,X,X
TJLOSIZ,O,X,X,O,O,X,X
TJLOSZI,O,X,X,O,X,X,X
TJLOZIS,O,X,X,O,X,X,X
TJLOZSI,O,X,X,O,X,X,X
TJSILZO,X,O,X,X,X,X,O
TJSILOZ,X,O,X,X,O,X,O
TJSIZLO,X,O,X,X,X,X,O
TJSIZOL,X,O,X,X,X,X,O
TJSIOLZ,X,O,X,X,X,X,O
TJSIOZL,X,O,X,X,X,X,O
TJSLIZO,X,O,X,X,X,O,O
TJSLIOZ,X,O,X,X,O,X,O
TJSLZIO,X,O,X,X,X,O,O
TJSLZOI,X,O,X,X,X,O,X
TJSLOIZ,X,O,X,X,O,X,X
TJSLOZI,X,O,X,X,X,X,X
TJSZILO,X,O,X,X,X,X,O
TJSZIOL,X,O,X,X,X,X,O
TJSZLIO,X,O,X,X,X,O,O
TJSZLOI,X,O,X,X,X,O,X
TJSZOIL,X,O,X,X,X,X,X
TJSZOLI,X,O,X,X,X,O,X
TJSOILZ,X,O,X,X,X,X,X
TJSOIZL,X,O,X,X,X,X,X
TJSOLIZ,X,O,X,X,X,X,X
TJSOLZI,X,O,X,X,X,X,X
TJSOZIL,X,O,X,X,X,X,X
TJSOZLI,X,O,X,X,X,X,X
TJZILSO,X,X,O,X,X,X,O
TJZILOS,O,X,O,O,X,X,O
TJZISLO,X,X,O,X,X,X,O
TJZISOL,X,X,O,X,X,X,O
TJZIOLS,O,X,O,O,X,X,O
TJZIOSL,O,X,O,O,X,X,O
TJZLISO,X,X,X,X,X,O,O
TJZLIOS,O,X,X,O,X,O,O
TJZLSIO,X,X,X,X,X,O,O
TJZLSOI,X,X,O,X,X,O,X
TJZLOIS,O,X,O,O,X,O,X
TJZLOSI,O,X,O,O,X,O,X
TJZSILO,X,X,O,X,X,X,O
TJZSIOL,X,X,O,X,X,X,O
TJZSLIO,X,X,X,X,X,O,O
TJZSLOI,X,X,O,X,X,O,X
TJZSOIL,X,X,O,X,X,X,X
TJZSOLI,X,X,O,X,X,O,X
TJZOILS,O,X,O,O,X,X,X
TJZOISL,O,X,O,O,X,X,X
TJZOLIS,O,X,O,O,X,O,X
TJZOLSI,O,X,O,O,X,O,X
TJZOSIL,O,X,O,O,X,X,X
TJZOSLI,O,X,O,O,X,O,X
TJOILSZ,O,X,X,O,O,X,X
TJOILZS,O,X,X,O,X,X,X
TJOISLZ,O,X,X,O,X,X,X
TJOISZL,O,X,X,O,X,X,X
TJOIZLS,O,X,O,O,X,X,X
TJOIZSL,O,X,O,O,X,X,X
TJOLISZ,O,X,X,O,O,X,X
TJOLIZS,O,X,X,O,X,X,X
TJOLSIZ,O,X,X,O,O,X,X
TJOLSZI,O,X,X,O,X,X,X
TJOLZIS,O,X,X,O,X,X,X
TJOLZSI,O,X,X,O,X,X,X
