sequence,v115@fgA8GeC8CeH8EeE8EeF8DeE8CeH8AeF8JeW2IvhF0W?BxXB/gBaiBThBlqB,v115@fgA8GeC8CeH8EeE8EeF8DeE8CeH8AeF8JeW2IvhFTW?BxXB/hBaiB0gBlqB,v115@fgA8GeC8CeH8EeE8EeF8DeE8CeH8AeF8Jef2IvhF6W?BxXBTcBeiB0gBlqB,v115@fgA8GeC8CeH8EeE8EeF8DeE8CeH8AeF8JeW2IvhFxW?BXYBygBzhB0gBlqB,v115@fgA8GeC8CeH8EeE8EeF8DeE8CeH8AeF8JeW2IvhFxW?BXYBlgBzhB8qBiqB,v115@fgA8GeC8CeH8EeE8EeF8DeE8CeH8AeF8JexyIvhFGW?B/gBicBzhB8qBFqB,v115@fgA8GeC8CeH8EeE8EeF8DeE8CeH8AeF8JeW2IvhF0W?BxXBzcBlgBimB/qB,v115@fgA8GeC8CeH8EeE8EeF8DeE8CeH8AeF8Jef2IvhFxS?B+bBicBzhB0gBlqB,v115@fgA8GeC8CeH8EeE8EeF8DeE8CeH8AeF8JezwIvhFCS?BOdBlbBRmBcmB/qB,v115@fgA8GeC8CeH8EeE8EeF8DeE8CeH8AeF8JeF2IvhF5b?BOcBXYBzhB8qBaqB,v115@fgA8GeC8CeH8EeE8EeF8DeE8CeH8AeF8JeW2IvhFUX?BFYBRmBTlBimB/qB,v115@fgA8GeC8CeH8EeE8EeF8DeE8CeH8AeF8JezwIvhFcb?BXYB2hBCcBRmBlqB,v115@fgA8GeC8CeH8EeE8EeF8DeE8CeH8AeF8JeF2IvhFXY?BRmBamB0hBTlBGqB,v115@fgA8GeC8CeH8EeE8EeF8DeE8CeH8AeF8Jea7IvhF5b?BOcBXYBzhB8qBFqB
TIJLSZO,O,O,O,X,X,X,X,X,X,X,X,X,O,X
TIJLSOZ,O,O,O,O,X,X,X,X,X,X,O,X,O,X
TIJLZSO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TIJLZOS,O,O,X,X,X,X,X,X,X,X,O,O,X,X
TIJLOSZ,O,O,O,O,X,X,O,X,X,X,O,X,X,X
TIJLOZS,O,X,O,O,X,X,O,X,X,X,O,X,X,X
TIJSLZO,O,O,O,X,X,X,X,X,X,X,X,X,O,X
TIJSLOZ,O,O,O,O,X,X,X,X,X,X,O,X,O,X
TIJSZLO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TIJSZOL,O,O,O,O,X,X,X,X,X,X,X,O,X,X
TIJSOLZ,O,X,O,O,X,X,X,O,X,X,O,X,O,X
TIJSOZL,O,O,O,O,O,X,X,X,X,X,X,X,X,X
TIJZLSO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TIJZLOS,O,O,X,X,X,X,X,X,X,X,O,O,X,X
TIJZSLO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TIJZSOL,O,O,O,O,X,X,X,X,X,X,X,O,X,X
TIJZOLS,X,O,O,X,X,X,X,X,X,X,O,O,X,X
TIJZOSL,O,O,O,X,X,X,X,X,X,X,X,O,X,X
TIJOLSZ,O,O,O,O,X,X,X,O,X,X,O,X,O,X
TIJOLZS,O,X,O,O,X,X,X,O,X,X,O,X,X,X
TIJOSLZ,O,X,O,O,X,X,X,X,X,X,O,X,O,X
TIJOSZL,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TIJOZLS,X,O,O,X,X,X,X,X,X,X,O,O,X,X
TIJOZSL,O,O,O,X,X,X,X,X,X,X,X,O,X,X
TISLJZO,O,O,O,X,X,X,X,X,X,X,X,X,O,X
TISLJOZ,O,O,O,X,X,X,X,X,X,X,X,X,O,X
TISLZJO,O,O,O,X,X,X,X,X,X,X,X,X,O,X
TISLZOJ,X,O,O,X,X,X,X,X,X,X,X,X,O,X
TISLOJZ,O,O,O,X,X,X,X,X,O,X,X,X,O,X
TISLOZJ,O,O,O,X,X,X,X,X,X,X,X,X,O,X
TISJLZO,O,O,O,X,X,X,X,X,X,X,X,X,O,X
TISJLOZ,O,O,O,O,X,X,X,X,X,X,X,X,O,X
TISJZLO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TISJZOL,O,O,O,O,X,X,X,X,X,X,X,O,X,X
TISJOLZ,O,X,O,O,X,X,X,X,X,X,X,X,O,X
TISJOZL,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TISZLJO,X,O,O,X,X,X,X,X,O,X,X,X,O,X
TISZLOJ,X,X,O,X,X,X,X,X,O,X,X,X,O,X
TISZJLO,O,O,O,X,X,X,X,X,O,X,X,X,X,X
TISZJOL,O,O,X,X,X,X,X,X,O,X,X,X,X,X
TISZOLJ,X,X,O,X,X,X,X,X,O,X,X,O,O,X
TISZOJL,X,O,X,X,X,X,X,X,O,X,X,O,X,X
TISOLJZ,O,X,O,X,X,X,X,O,O,X,X,X,O,X
TISOLZJ,X,X,O,X,X,X,X,X,X,X,X,X,O,X
TISOJLZ,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TISOJZL,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TISOZLJ,X,X,X,X,X,X,X,X,X,O,X,X,O,X
TISOZJL,O,O,X,X,X,X,X,X,X,O,X,X,X,X
TIZLJSO,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TIZLJOS,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TIZLSJO,O,O,O,X,X,X,X,X,X,X,X,X,O,X
TIZLSOJ,X,O,O,X,X,X,X,X,X,X,X,X,O,X
TIZLOJS,O,X,X,X,X,X,X,X,O,O,X,O,X,X
TIZLOSJ,O,X,X,X,X,X,X,X,X,O,X,O,X,X
TIZJLSO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TIZJLOS,O,O,X,X,X,X,X,X,X,X,X,O,X,X
TIZJSLO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TIZJSOL,O,O,O,O,X,X,X,X,X,X,X,O,X,X
TIZJOLS,X,O,O,X,X,X,X,X,X,O,X,O,X,X
TIZJOSL,O,O,O,X,X,X,X,X,X,O,X,O,X,X
TIZSLJO,X,O,O,X,X,X,X,X,O,X,X,X,O,X
TIZSLOJ,X,X,O,X,X,X,X,X,O,X,X,X,O,X
TIZSJLO,O,O,O,X,X,X,X,X,O,X,X,X,X,X
TIZSJOL,O,O,O,X,X,X,X,X,O,X,X,X,X,X
TIZSOLJ,X,X,O,X,X,X,X,X,O,O,X,O,O,X
TIZSOJL,X,O,X,X,X,X,X,X,O,O,X,O,X,X
TIZOLJS,X,X,X,X,X,O,X,O,O,O,X,O,X,X
TIZOLSJ,X,X,X,X,X,O,X,X,X,O,X,O,O,X
TIZOJLS,X,O,X,X,X,X,X,X,X,O,X,O,X,X
TIZOJSL,O,O,X,X,X,X,X,X,X,O,X,O,X,X
TIZOSLJ,X,X,O,X,X,X,X,X,X,O,X,O,O,X
TIZOSJL,O,X,X,X,X,X,X,X,X,O,X,O,X,X
TIOLJSZ,O,O,X,O,X,X,X,O,O,X,X,X,O,X
TIOLJZS,O,X,X,O,X,X,X,O,O,X,X,X,X,X
TIOLSJZ,O,O,X,O,X,X,X,O,X,X,X,X,O,X
TIOLSZJ,O,O,X,X,X,X,X,X,X,X,X,X,O,X
TIOLZJS,O,X,X,O,X,O,X,O,X,X,X,X,X,X
TIOLZSJ,O,X,X,X,X,O,X,X,X,X,X,X,O,X
TIOJLSZ,O,O,O,O,X,X,X,O,X,X,O,X,O,X
TIOJLZS,O,X,O,O,X,X,X,O,X,X,O,X,X,X
TIOJSLZ,O,X,O,O,X,X,X,O,X,X,O,X,O,X
TIOJSZL,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TIOJZLS,X,O,O,O,X,X,X,X,X,X,O,O,X,X
TIOJZSL,O,O,O,O,X,X,X,X,X,X,X,O,X,X
TIOSLJZ,O,X,O,X,X,X,X,O,X,X,X,X,O,X
TIOSLZJ,X,X,O,X,X,X,X,X,X,X,X,X,O,X
TIOSJLZ,O,X,X,O,X,X,X,X,X,X,X,X,O,X
TIOSJZL,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TIOSZLJ,X,X,X,X,X,X,X,X,X,O,X,X,O,X
TIOSZJL,O,O,X,X,X,X,X,X,X,O,X,X,X,X
TIOZLJS,X,X,X,X,X,O,X,O,X,O,X,O,X,X
TIOZLSJ,X,X,X,X,X,O,X,X,X,O,X,O,O,X
TIOZJLS,X,O,X,O,X,X,X,X,X,O,X,O,X,X
TIOZJSL,O,O,X,O,X,X,X,X,X,O,X,O,X,X
TIOZSLJ,X,X,O,X,X,X,X,X,X,O,X,O,O,X
TIOZSJL,O,X,X,X,X,X,X,X,X,O,X,O,X,X
TLIJSZO,O,O,O,X,X,X,X,X,X,X,X,X,O,X
TLIJSOZ,O,O,O,O,X,X,X,X,X,X,X,X,O,X
TLIJZSO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLIJZOS,O,O,X,X,X,X,X,X,X,X,X,O,X,X
TLIJOSZ,O,O,O,O,X,X,O,X,X,X,X,X,X,X
TLIJOZS,O,X,O,O,X,X,O,X,X,X,X,X,X,X
TLISJZO,O,O,O,X,X,X,X,X,X,X,X,X,O,X
TLISJOZ,O,O,O,X,X,X,X,X,X,X,X,X,O,X
TLISZJO,O,O,O,X,X,X,X,X,X,X,X,X,O,X
TLISZOJ,X,O,O,X,X,X,X,X,X,X,X,X,O,X
TLISOJZ,O,O,O,X,X,X,X,X,X,X,X,X,O,X
TLISOZJ,O,O,O,X,X,X,X,X,X,X,X,X,O,X
TLIZJSO,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLIZJOS,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLIZSJO,O,O,O,X,X,X,X,X,X,X,X,X,O,X
TLIZSOJ,X,O,O,X,X,X,X,X,X,X,X,X,O,X
TLIZOJS,O,X,X,X,X,X,X,X,O,X,X,O,X,X
TLIZOSJ,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TLIOJSZ,O,O,X,X,X,X,O,O,O,X,X,X,O,X
TLIOJZS,O,X,X,X,X,X,O,O,O,X,X,X,X,X
TLIOSJZ,O,O,X,X,X,X,O,O,X,X,X,X,O,X
TLIOSZJ,O,O,X,X,X,X,O,X,X,X,X,X,O,X
TLIOZJS,O,X,X,X,X,X,O,O,X,X,X,X,X,X
TLIOZSJ,O,X,X,X,X,X,O,X,X,X,X,X,O,X
TLJISZO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLJISOZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLJIZSO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLJIZOS,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJIOSZ,O,O,O,O,X,X,O,X,X,X,X,X,X,X
TLJIOZS,O,X,O,O,X,X,O,X,X,X,X,X,X,X
TLJSIZO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLJSIOZ,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TLJSZIO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLJSZOI,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLJSOIZ,O,O,O,O,X,X,O,O,X,X,X,X,X,X
TLJSOZI,O,O,O,O,X,X,O,O,X,X,X,X,X,X
TLJZISO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLJZIOS,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJZSIO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLJZSOI,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLJZOIS,O,O,X,O,X,X,O,X,X,X,X,X,X,X
TLJZOSI,O,O,X,O,X,X,O,X,X,X,X,X,X,X
TLJOISZ,O,O,O,O,X,X,O,X,X,X,X,X,X,X
TLJOIZS,O,X,O,O,X,X,O,X,X,X,X,X,X,X
TLJOSIZ,O,O,O,O,X,X,O,X,X,X,X,X,X,X
TLJOSZI,O,O,O,O,X,X,O,X,X,X,X,X,X,X
TLJOZIS,O,X,O,O,X,X,O,X,X,X,X,X,X,X
TLJOZSI,O,X,O,O,X,X,O,X,X,X,X,X,X,X
TLSIJZO,O,O,O,X,X,X,X,X,X,X,X,X,O,X
TLSIJOZ,O,O,O,X,X,X,X,X,X,X,X,X,O,X
TLSIZJO,O,O,O,X,X,X,X,X,X,X,X,X,O,X
TLSIZOJ,X,O,O,X,X,X,X,X,X,X,X,X,O,X
TLSIOJZ,O,O,O,X,X,X,X,X,X,X,X,X,O,X
TLSIOZJ,O,O,O,X,X,X,X,X,X,X,X,X,O,X
TLSJIZO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLSJIOZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLSJZIO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLSJZOI,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLSJOIZ,O,O,O,O,X,X,O,X,X,X,X,X,X,X
TLSJOZI,O,O,O,O,X,X,O,X,X,X,X,X,X,X
TLSZIJO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLSZIOJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLSZJIO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLSZJOI,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLSZOIJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLSZOJI,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLSOIJZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLSOIZJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLSOJIZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLSOJZI,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLSOZIJ,O,O,O,X,X,X,X,X,X,O,X,X,X,X
TLSOZJI,O,O,O,X,X,X,X,X,X,O,X,X,X,X
TLZIJSO,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLZIJOS,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLZISJO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLZISOJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLZIOJS,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TLZIOSJ,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TLZJISO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLZJIOS,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLZJSIO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLZJSOI,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLZJOIS,O,O,X,O,X,X,O,X,X,X,X,X,X,X
TLZJOSI,O,O,X,O,X,X,O,X,X,X,X,X,X,X
TLZSIJO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLZSIOJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLZSJIO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLZSJOI,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLZSOIJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLZSOJI,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLZOIJS,O,X,X,X,X,X,X,X,X,O,X,O,X,X
TLZOISJ,O,X,X,X,X,X,X,X,X,O,X,O,X,X
TLZOJIS,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TLZOJSI,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TLZOSIJ,O,X,X,X,X,X,X,X,X,O,X,O,X,X
TLZOSJI,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TLOIJSZ,O,O,X,O,X,X,O,O,O,X,X,X,X,X
TLOIJZS,O,X,X,O,X,X,O,O,O,X,X,X,X,X
TLOISJZ,O,O,X,O,X,X,O,O,X,X,X,X,X,X
TLOISZJ,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TLOIZJS,O,X,X,O,X,X,O,O,X,X,X,X,X,X
TLOIZSJ,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TLOJISZ,O,O,X,O,X,X,O,O,O,X,X,X,X,X
TLOJIZS,O,X,X,O,X,X,O,O,O,X,X,X,X,X
TLOJSIZ,O,O,X,O,X,X,O,O,X,X,X,X,X,X
TLOJSZI,O,O,X,O,X,X,O,O,X,X,X,X,X,X
TLOJZIS,O,X,X,O,X,X,O,O,X,X,X,X,X,X
TLOJZSI,O,X,X,O,X,X,O,O,X,X,X,X,X,X
TLOSIJZ,O,O,X,O,X,X,O,O,X,X,X,X,X,X
TLOSIZJ,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TLOSJIZ,O,O,X,O,X,X,O,O,X,X,X,X,X,X
TLOSJZI,O,O,X,O,X,X,O,O,X,X,X,X,X,X
TLOSZIJ,O,O,X,X,X,X,O,X,X,O,X,X,X,X
TLOSZJI,O,O,X,X,X,X,O,X,X,O,X,X,X,X
TLOZIJS,O,X,X,O,X,X,O,O,X,O,X,X,X,X
TLOZISJ,O,X,X,X,X,X,O,X,X,O,X,X,X,X
TLOZJIS,O,X,X,O,X,X,O,O,X,O,X,X,X,X
TLOZJSI,O,X,X,O,X,X,O,O,X,O,X,X,X,X
TLOZSIJ,O,X,X,X,X,X,O,X,X,O,X,X,X,X
TLOZSJI,O,X,X,X,X,X,O,X,X,O,X,X,X,X
TJILSZO,O,O,O,X,X,X,X,X,X,X,X,X,O,X
TJILSOZ,O,O,O,O,X,X,X,X,X,X,O,X,O,X
TJILZSO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TJILZOS,O,O,X,X,X,X,X,X,X,X,O,O,X,X
TJILOSZ,O,O,O,O,X,X,O,X,X,X,O,X,X,X
TJILOZS,O,X,O,O,X,X,O,X,X,X,O,X,X,X
TJISLZO,O,O,O,X,X,X,X,X,X,X,X,X,O,X
TJISLOZ,O,O,O,O,X,X,X,X,X,X,O,X,O,X
TJISZLO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TJISZOL,O,O,O,O,X,X,X,X,X,X,X,O,X,X
TJISOLZ,O,X,O,O,X,X,X,O,X,X,O,X,O,X
TJISOZL,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TJIZLSO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TJIZLOS,O,O,X,X,X,X,X,X,X,X,O,O,X,X
TJIZSLO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TJIZSOL,O,O,O,O,X,X,X,X,X,X,X,O,X,X
TJIZOLS,X,O,O,X,X,X,X,X,X,X,O,O,X,X
TJIZOSL,O,O,O,X,X,X,X,X,X,X,X,O,X,X
TJIOLSZ,O,O,O,O,X,X,X,O,X,X,O,X,O,X
TJIOLZS,O,X,O,O,X,X,X,O,X,X,O,X,X,X
TJIOSLZ,O,X,O,O,X,X,X,X,X,X,O,X,O,X
TJIOSZL,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TJIOZLS,X,O,O,X,X,X,X,X,X,X,O,O,X,X
TJIOZSL,O,O,O,X,X,X,X,X,X,X,X,O,X,X
TJLISZO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TJLISOZ,O,O,O,X,X,X,X,X,X,X,O,X,X,X
TJLIZSO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TJLIZOS,O,O,X,X,X,X,X,X,X,X,O,X,X,X
TJLIOSZ,O,O,O,O,X,X,O,X,X,X,O,X,X,X
TJLIOZS,O,X,O,O,X,X,O,X,X,X,O,X,X,X
TJLSIZO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TJLSIOZ,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TJLSZIO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TJLSZOI,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TJLSOIZ,O,O,O,O,X,X,O,O,X,X,X,X,X,X
TJLSOZI,O,O,O,O,X,X,O,O,X,X,X,X,X,X
TJLZISO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TJLZIOS,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TJLZSIO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TJLZSOI,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TJLZOIS,O,O,X,O,X,X,O,X,X,X,X,X,X,X
TJLZOSI,O,O,X,O,X,X,O,X,X,X,X,X,X,X
TJLOISZ,O,O,O,O,X,X,O,X,X,X,X,X,X,X
TJLOIZS,O,X,O,O,X,X,O,X,X,X,X,X,X,X
TJLOSIZ,O,O,O,O,X,X,O,X,X,X,X,X,X,X
TJLOSZI,O,O,O,O,X,X,O,X,X,X,X,X,X,X
TJLOZIS,O,X,O,O,X,X,O,X,X,X,X,X,X,X
TJLOZSI,O,X,O,O,X,X,O,X,X,X,X,X,X,X
TJSILZO,O,O,O,X,X,X,X,X,X,X,X,X,O,X
TJSILOZ,O,O,O,O,X,X,X,X,X,X,O,X,O,X
TJSIZLO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TJSIZOL,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TJSIOLZ,O,X,O,O,X,X,X,O,X,X,O,X,O,X
TJSIOZL,O,O,O,O,O,X,X,X,X,X,X,X,X,X
TJSLIZO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TJSLIOZ,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TJSLZIO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TJSLZOI,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TJSLOIZ,O,O,O,O,X,X,O,O,X,X,X,X,X,X
TJSLOZI,O,O,O,O,X,X,O,O,X,X,X,X,X,X
TJSZILO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TJSZIOL,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TJSZLIO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TJSZLOI,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TJSZOIL,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TJSZOLI,O,O,O,O,X,X,X,O,X,X,X,X,X,X
TJSOILZ,O,X,O,O,X,X,X,O,X,X,X,X,X,X
TJSOIZL,O,O,O,O,O,X,X,X,X,X,X,X,X,X
TJSOLIZ,O,O,O,O,X,X,X,O,X,X,X,X,X,X
TJSOLZI,O,O,O,O,X,X,X,O,X,X,X,X,X,X
TJSOZIL,O,O,O,O,O,X,X,X,X,O,X,X,X,X
TJSOZLI,O,O,O,O,O,X,X,O,X,O,X,X,X,X
TJZILSO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TJZILOS,O,O,X,X,X,X,X,X,X,X,O,X,X,X
TJZISLO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TJZISOL,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TJZIOLS,X,O,O,X,O,X,X,X,X,O,O,X,X,X
TJZIOSL,O,O,O,X,O,X,X,X,X,O,X,X,X,X
TJZLISO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TJZLIOS,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TJZLSIO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TJZLSOI,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TJZLOIS,O,O,X,O,O,X,O,X,X,X,X,X,X,X
TJZLOSI,O,O,X,O,O,X,O,X,X,X,X,X,X,X
TJZSILO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TJZSIOL,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TJZSLIO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TJZSLOI,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TJZSOIL,O,O,O,O,O,X,X,X,X,X,X,X,X,X
TJZSOLI,O,O,O,O,O,X,X,O,X,X,X,X,X,X
TJZOILS,X,O,O,X,O,X,X,X,X,O,X,O,X,X
TJZOISL,O,O,O,X,O,X,X,X,X,O,X,O,X,X
TJZOLIS,O,O,O,O,O,O,X,X,X,O,X,X,X,X
TJZOLSI,O,O,O,O,O,X,X,X,X,O,X,X,X,X
TJZOSIL,O,O,O,O,O,X,X,X,X,O,X,O,X,X
TJZOSLI,O,O,O,O,O,X,X,X,X,O,X,X,X,X
TJOILSZ,O,O,O,O,X,X,X,O,X,X,O,X,X,X
TJOILZS,O,X,O,O,X,X,X,O,X,X,O,X,X,X
TJOISLZ,O,X,O,O,X,X,X,O,X,X,O,X,X,X
