sequence,v115@zgC8GeA8IeD8CeF8DeG8AeE8JeSAJvhEciBTeBRrBO?rBlrB,v115@zgC8GeA8IeD8CeF8DeG8AeE8JeSAJvhExcBTeB0hBd?rBXsB,v115@zgC8GeA8IeD8CeF8DeG8AeE8JeSAJvhExcBTeBXiBd?rB0rB,v115@zgC8GeA8IeD8CeF8DeG8AeE8JeG9IvhETeBRgBanBU?hBFrB,v115@zgC8GeA8IeD8CeF8DeG8AeE8JeC9IvhETeBRgBOnBU?hBFrB,v115@zgC8GeA8IeD8CeF8DeG8AeE8JeT+IvhERgBFiBOrBC?rBXsB,v115@zgC8GeA8IeD8CeF8DeG8AeE8JeSCJvhETeBRgBmmBf?rBlrB,v115@zgC8GeA8IeD8CeF8DeG8AeE8JeSCJvhETeBRgBlmBf?rBmrB,v115@zgC8GeA8IeD8CeF8DeG8AeE8Je38IvhETeBlmBcnBG?lBarB,v115@zgC8GeA8IeD8CeF8DeG8AeE8JecCJvhETeBRgB9mBf?rBmrB
TLJOIZS,X,X,X,O,O,X,X,X,X,X
TLJOSIZ,X,X,O,O,O,X,X,X,X,X
TLJOSZI,X,X,O,X,X,X,X,X,X,X
TLJOZIS,X,O,X,O,O,X,X,X,X,X
TLJOZSI,X,O,X,X,X,X,X,X,O,X
TLSIJZO,X,X,X,X,X,X,X,X,X,X
TLSIJOZ,X,X,O,O,X,X,X,X,X,X
TLSIZJO,X,X,O,X,X,X,X,X,X,X
TLSIZOJ,X,X,O,X,X,X,X,X,X,X
TLSIOJZ,X,X,O,O,X,X,X,O,X,X
TLSIOZJ,X,X,O,X,X,X,X,O,X,X
TLSJIZO,X,X,X,X,X,X,X,X,X,X
TLSJIOZ,X,X,O,O,X,X,X,X,X,X
TLSJZIO,X,X,O,X,X,X,X,X,X,X
TLSJZOI,X,X,O,X,X,X,X,X,X,X
TLSJOIZ,X,X,O,O,X,X,X,X,X,X
TLSJOZI,X,X,O,X,X,X,X,X,X,X
TLSZIJO,X,O,O,X,X,X,X,X,X,X
TLSZIOJ,X,O,O,X,X,X,X,X,X,X
TLSZJIO,X,O,O,X,X,X,X,X,X,X
TLSZJOI,X,O,O,X,X,X,X,X,X,X
TLSZOIJ,X,O,O,X,X,X,X,X,X,X
TLSZOJI,X,O,O,X,X,X,X,X,X,X
TLSOIJZ,X,X,O,O,X,X,X,O,X,X
TLSOIZJ,X,X,O,X,X,X,X,O,X,X
TLSOJIZ,X,X,O,O,X,X,X,X,X,X
TLSOJZI,X,X,O,X,X,X,X,X,X,X
TLSOZIJ,X,O,O,X,X,X,X,X,X,X
TLSOZJI,X,O,O,X,X,X,X,X,X,X
TLZIJSO,X,X,X,X,X,X,X,X,X,X
TLZIJOS,O,O,X,O,X,X,X,X,X,X
TLZISJO,X,O,X,X,X,X,X,X,X,X
TLZISOJ,X,O,X,X,X,X,X,X,X,X
TLZIOJS,O,O,X,O,X,X,X,X,X,X
TLZIOSJ,X,O,X,X,X,X,X,O,X,O
TLZJISO,X,X,X,X,X,X,X,X,X,X
