sequence,v115@pgB8HeB8HeC8FeH8BeG8CeH8AeB8Je/7IvhFRXBGZB?TcByiB0iBlsB,v115@pgB8HeB8HeC8FeH8BeG8CeH8AeB8Je/7IvhFRYBSeB?mcBUcBziBlsB,v115@pgB8HeB8HeC8FeH8BeG8CeH8AeB8JeT2IvhFecBqcB?xYBXeB0iBlsB,v115@pgB8HeB8HeC8FeH8BeG8CeH8AeB8JeT2IvhFxYB0cB?6iBOjBXhBlsB,v115@pgB8HeB8HeC8FeH8BeG8CeH8AeB8Jem2IvhFzXBCZB?0bBRiBXjBlsB,v115@pgB8HeB8HeC8FeH8BeG8CeH8AeB8JeT2IvhF0XBxYB?VhB3nBmnBCtB,v115@pgB8HeB8HeC8FeH8BeG8CeH8AeB8Jem2IvhFSeB0bB?RiBznBfnBlsB,v115@pgB8HeB8HeC8FeH8BeG8CeH8AeB8Je/7IvhFacBTZB?RiBGiB8sBFsB,v115@pgB8HeB8HeC8FeH8BeG8CeH8AeB8Jei2IvhFlYBzbB?RiBusBfsBctB,v115@pgB8HeB8HeC8FeH8BeG8CeH8AeB8Jey7IvhFzXBWeB?0bBRiBXjBlsB,v115@pgB8HeB8HeC8FeH8BeG8CeH8AeB8JeT2IvhFceBxcB?XcBGiBysBlsB,v115@pgB8HeB8HeC8FeH8BeG8CeH8AeB8Je27IvhFqcBxdB?zbBXeB0iBlsB,v115@pgB8HeB8HeC8FeH8BeG8CeH8AeB8Je/7IvhFTZBxcB?UcBliBysBGsB,v115@pgB8HeB8HeC8FeH8BeG8CeH8AeB8Je/7IvhFRXBTcB?FeB0iB2sBCtB
TISZJLO,O,X,O,X,O,O,X,X,X,X,X,X,X,X
TISZJOL,O,X,O,X,O,O,X,X,X,X,X,X,X,X
TISZOLJ,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TISZOJL,O,X,O,X,O,O,X,X,X,X,X,X,X,X
TISOLJZ,O,O,O,X,X,X,X,X,X,O,X,X,X,X
TISOLZJ,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TISOJLZ,O,O,O,X,X,O,X,X,X,O,X,X,X,X
TISOJZL,O,O,O,X,X,O,X,X,X,X,X,X,X,X
TISOZLJ,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TISOZJL,O,X,O,X,O,O,X,X,X,X,X,X,X,X
TIZLJSO,X,X,X,O,O,X,X,X,X,X,X,O,X,X
TIZLJOS,X,X,X,O,O,X,X,X,X,O,X,O,X,X
TIZLSJO,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIZLSOJ,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIZLOJS,X,X,X,O,O,X,X,X,X,O,X,X,X,X
TIZLOSJ,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TIZJLSO,X,X,X,O,O,X,X,X,X,X,X,O,X,X
TIZJLOS,X,X,X,O,O,X,X,X,X,O,X,O,X,X
TIZJSLO,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIZJSOL,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIZJOLS,X,X,X,O,O,X,O,X,X,O,X,X,X,X
TIZJOSL,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TIZSLJO,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIZSLOJ,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TIZSJLO,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TIZSJOL,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TIZSOLJ,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TIZSOJL,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TIZOLJS,X,X,X,O,O,X,O,X,X,O,X,X,X,X
TIZOLSJ,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TIZOJLS,X,X,X,O,O,X,O,X,X,O,X,X,X,X
TIZOJSL,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TIZOSLJ,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TIZOSJL,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TIOLJSZ,O,O,X,O,X,X,X,X,O,O,X,O,X,X
TIOLJZS,X,O,X,O,O,X,X,X,O,O,X,O,X,X
TIOLSJZ,O,O,X,X,X,X,X,X,X,O,X,X,X,X
TIOLSZJ,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TIOLZJS,X,O,X,O,O,X,X,X,X,O,X,X,X,X
TIOLZSJ,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIOJLSZ,O,O,O,O,X,X,X,X,O,O,X,O,X,X
TIOJLZS,X,O,X,O,O,X,X,X,O,O,X,O,X,X
TIOJSLZ,O,O,O,O,X,X,X,X,O,O,X,X,X,X
TIOJSZL,O,O,O,X,X,X,X,X,O,X,X,X,X,X
TIOJZLS,X,O,X,O,O,X,X,X,O,O,X,X,X,X
TIOJZSL,X,O,X,X,O,X,X,X,O,X,X,X,X,X
TIOSLJZ,O,O,O,X,X,X,X,X,X,O,X,X,X,X
TIOSLZJ,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TIOSJLZ,O,O,O,X,X,O,X,X,X,O,X,X,X,X
TIOSJZL,O,O,O,X,X,O,X,X,X,X,X,X,X,X
TIOSZLJ,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TIOSZJL,O,X,O,X,O,O,X,X,X,X,X,X,X,X
TIOZLJS,X,X,X,O,O,X,X,X,X,O,X,X,X,X
TIOZLSJ,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TIOZJLS,X,X,X,O,O,X,X,X,X,O,X,X,X,X
TIOZJSL,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TIOZSLJ,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TIOZSJL,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TLIJSZO,O,O,O,O,X,X,X,X,X,X,X,O,X,X
TLIJSOZ,O,O,O,O,X,X,X,X,X,O,X,O,O,X
TLIJZSO,X,O,X,O,O,X,X,X,X,X,X,O,X,X
TLIJZOS,X,X,X,O,O,X,X,X,X,O,X,O,X,X
TLIJOSZ,O,O,O,O,X,X,X,X,X,O,X,O,O,X
TLIJOZS,X,X,X,O,O,X,X,X,X,O,X,O,X,X
TLISJZO,O,O,O,X,X,X,X,X,X,X,X,O,X,X
TLISJOZ,O,O,O,X,X,X,X,X,X,O,X,O,O,X
TLISZJO,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TLISZOJ,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TLISOJZ,O,O,O,X,X,X,X,X,X,O,X,X,O,X
TLISOZJ,O,X,X,X,O,X,X,X,X,X,X,X,O,X
TLIZJSO,X,O,X,O,O,X,X,X,X,X,X,O,X,X
TLIZJOS,X,X,X,O,O,X,X,X,X,O,X,O,X,X
TLIZSJO,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TLIZSOJ,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TLIZOJS,X,X,X,O,O,X,X,X,X,O,X,X,X,X
TLIZOSJ,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TLIOJSZ,O,O,X,O,X,X,X,X,X,O,X,O,O,X
TLIOJZS,X,X,X,O,O,X,X,X,X,O,X,O,X,X
TLIOSJZ,O,O,X,X,X,X,X,X,X,O,X,X,O,X
TLIOSZJ,O,X,X,X,O,X,X,X,X,X,X,X,O,X
TLIOZJS,X,X,X,O,O,X,X,X,X,O,X,X,X,X
TLIOZSJ,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TLJISZO,O,O,O,O,X,X,X,X,X,X,X,O,X,X
TLJISOZ,O,O,O,O,X,X,X,X,X,O,X,O,O,X
TLJIZSO,X,O,X,O,X,X,X,X,X,X,X,O,X,X
TLJIZOS,X,X,X,O,X,X,X,X,X,O,O,O,X,X
TLJIOSZ,O,O,O,O,X,X,X,X,X,O,X,O,O,X
TLJIOZS,X,X,X,O,X,X,X,X,X,O,O,O,X,X
TLJSIZO,O,O,O,O,X,X,X,X,X,X,X,O,X,X
TLJSIOZ,O,O,O,O,X,X,X,X,X,O,X,O,O,X
TLJSZIO,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TLJSZOI,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TLJSOIZ,O,O,O,O,X,X,X,X,X,X,X,X,O,X
TLJSOZI,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TLJZISO,X,O,X,O,X,X,X,X,X,X,X,O,X,X
TLJZIOS,X,X,X,O,X,X,X,X,X,O,O,O,X,X
TLJZSIO,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TLJZSOI,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TLJZOIS,X,X,X,O,X,X,X,X,X,X,O,X,X,X
TLJZOSI,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TLJOISZ,O,O,O,O,X,X,X,X,O,O,X,O,O,X
TLJOIZS,X,O,X,O,X,X,X,X,O,O,O,O,X,X
TLJOSIZ,O,O,O,O,X,X,X,X,X,X,X,X,O,X
TLJOSZI,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TLJOZIS,X,O,X,O,X,X,X,X,X,X,O,X,X,X
TLJOZSI,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TLSIJZO,O,O,O,X,X,X,X,X,X,X,X,O,X,X
TLSIJOZ,O,O,O,X,X,X,X,X,X,O,X,O,O,X
TLSIZJO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLSIZOJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLSIOJZ,O,O,O,X,X,X,X,X,X,O,X,X,O,X
TLSIOZJ,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TLSJIZO,O,O,O,O,X,O,X,X,X,X,X,O,X,X
TLSJIOZ,O,O,O,O,X,O,X,X,X,O,X,O,O,X
TLSJZIO,O,O,O,O,X,O,X,X,X,X,X,X,X,X
TLSJZOI,O,O,O,O,X,O,X,X,X,X,X,X,X,X
TLSJOIZ,O,O,O,O,X,O,X,X,X,X,X,X,O,X
TLSJOZI,O,O,O,O,X,O,X,X,X,X,X,X,X,X
TLSZIJO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLSZIOJ,X,X,X,X,X,O,X,X,X,X,X,X,O,X
TLSZJIO,O,O,O,O,X,O,X,X,X,X,X,X,X,X
TLSZJOI,O,O,O,O,X,O,X,X,X,X,X,X,X,X
TLSZOIJ,O,X,X,X,X,O,X,X,X,X,X,X,O,X
TLSZOJI,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TLSOIJZ,O,O,O,X,X,X,X,X,X,X,X,X,O,X
TLSOIZJ,O,O,X,X,X,X,X,X,X,X,X,X,O,X
TLSOJIZ,O,O,O,O,X,O,X,X,X,X,X,X,O,X
TLSOJZI,O,O,O,O,X,O,X,X,X,X,X,X,X,X
TLSOZIJ,O,O,X,X,X,O,X,X,X,X,X,X,O,X
TLSOZJI,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TLZIJSO,X,O,X,O,O,X,X,X,X,X,X,O,X,X
TLZIJOS,X,X,X,O,O,X,X,X,X,O,X,O,X,X
TLZISJO,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TLZISOJ,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TLZIOJS,X,X,X,O,O,X,X,X,X,O,X,X,X,X
TLZIOSJ,X,X,X,X,O,O,X,X,X,X,X,X,O,X
TLZJISO,X,O,X,O,O,X,X,X,X,X,X,O,X,X
TLZJIOS,X,X,X,O,O,X,X,X,X,O,O,O,X,X
TLZJSIO,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TLZJSOI,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TLZJOIS,X,X,X,O,X,X,X,X,X,X,O,X,X,X
TLZJOSI,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TLZSIJO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLZSIOJ,X,X,X,X,X,O,X,X,X,X,X,X,O,X
TLZSJIO,O,O,O,O,X,O,X,X,X,X,X,X,X,X
TLZSJOI,O,O,O,O,X,O,X,X,X,X,X,X,X,X
TLZSOIJ,O,X,X,X,X,O,X,X,X,X,X,X,O,X
TLZSOJI,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TLZOIJS,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLZOISJ,X,X,X,X,X,O,X,X,X,X,X,X,O,X
TLZOJIS,X,X,X,O,X,X,X,X,X,X,O,X,X,X
TLZOJSI,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TLZOSIJ,O,X,X,X,X,O,X,X,X,X,X,X,O,X
TLZOSJI,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TLOIJSZ,O,O,X,O,X,X,X,X,O,O,X,O,O,X
TLOIJZS,X,O,X,O,X,X,X,X,O,O,X,O,X,X
TLOISJZ,O,O,X,X,X,X,X,X,X,O,X,X,O,X
TLOISZJ,O,O,X,X,X,X,X,X,X,X,X,X,O,X
TLOIZJS,X,O,X,O,X,X,X,X,X,O,X,X,X,X
TLOIZSJ,X,O,X,X,X,X,X,X,X,X,X,X,O,X
TLOJISZ,O,O,O,O,X,X,X,X,O,O,X,O,O,X
TLOJIZS,X,O,X,O,X,X,X,X,O,O,O,O,X,X
TLOJSIZ,O,O,O,O,X,X,X,X,X,X,X,X,O,X
TLOJSZI,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TLOJZIS,X,O,X,O,X,X,X,X,X,X,O,X,X,X
TLOJZSI,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TLOSIJZ,O,O,O,X,X,X,X,X,X,X,X,X,O,X
TLOSIZJ,O,O,X,X,X,X,X,X,X,X,X,X,O,X
TLOSJIZ,O,O,O,O,X,O,X,X,X,X,X,X,O,X
TLOSJZI,O,O,O,O,X,O,X,X,X,X,X,X,X,X
TLOSZIJ,O,O,X,X,X,O,X,X,X,X,X,X,O,X
TLOSZJI,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TLOZIJS,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLOZISJ,X,O,X,X,X,O,X,X,X,X,X,X,O,X
TLOZJIS,X,O,X,O,X,X,X,X,X,X,O,X,X,X
TLOZJSI,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLOZSIJ,O,O,X,X,X,O,X,X,X,X,X,X,O,X
TLOZSJI,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TJILSZO,O,O,O,O,X,X,X,X,X,X,X,O,X,X
TJILSOZ,O,O,O,O,X,X,X,X,X,O,X,O,X,X
TJILZSO,X,O,X,O,O,X,X,X,X,X,X,O,X,X
TJILZOS,X,X,X,O,O,X,X,X,X,O,X,O,X,X
TJILOSZ,O,O,O,O,X,X,X,X,X,O,X,O,X,X
TJILOZS,X,X,X,O,O,X,X,X,X,O,X,O,X,X
TJISLZO,O,O,O,O,X,X,X,X,X,X,X,O,X,X
TJISLOZ,O,O,O,O,X,X,X,X,X,O,X,O,X,X
TJISZLO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TJISZOL,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TJISOLZ,O,O,O,O,X,X,X,X,X,O,X,X,X,X
TJISOZL,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TJIZLSO,X,O,X,O,O,X,X,X,X,X,X,O,X,X
TJIZLOS,X,X,X,O,O,X,X,X,X,O,X,O,X,X
TJIZSLO,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TJIZSOL,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TJIZOLS,X,X,X,O,O,X,X,X,X,O,X,X,X,X
TJIZOSL,X,X,X,X,O,X,X,X,X,X,O,X,X,X
TJIOLSZ,O,O,O,O,X,X,X,X,O,O,X,O,X,X
TJIOLZS,X,O,X,O,O,X,X,X,O,O,X,O,X,X
TJIOSLZ,O,O,O,O,X,X,X,X,O,O,X,X,X,X
TJIOSZL,O,O,O,X,X,X,X,X,O,X,X,X,X,X
TJIOZLS,X,O,X,O,O,X,X,X,O,O,X,X,X,X
TJIOZSL,X,O,X,X,O,X,X,X,O,X,O,X,X,X
TJLISZO,O,O,O,O,X,X,X,X,X,X,X,O,X,X
TJLISOZ,O,O,O,O,X,X,X,X,X,O,X,O,X,X
TJLIZSO,X,O,X,O,X,X,X,X,X,X,X,O,X,X
TJLIZOS,X,X,X,O,X,X,X,X,X,O,X,O,X,X
TJLIOSZ,O,O,O,O,X,X,X,X,X,O,X,O,X,X
TJLIOZS,X,X,X,O,X,X,X,X,X,O,X,O,X,X
TJLSIZO,O,O,O,O,X,X,X,X,X,X,X,O,X,X
TJLSIOZ,O,O,O,O,X,X,X,X,X,O,X,O,X,X
TJLSZIO,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TJLSZOI,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TJLSOIZ,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TJLSOZI,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TJLZISO,X,O,X,O,X,X,X,X,X,X,X,O,X,X
TJLZIOS,X,X,X,O,X,X,X,X,X,O,X,O,X,X
TJLZSIO,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TJLZSOI,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TJLZOIS,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TJLZOSI,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TJLOISZ,O,O,O,O,X,X,X,X,O,O,X,O,X,X
TJLOIZS,X,O,X,O,X,X,X,X,O,O,X,O,X,X
TJLOSIZ,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TJLOSZI,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TJLOZIS,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TJLOZSI,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TJSILZO,O,O,O,O,X,O,X,X,X,X,X,O,X,X
TJSILOZ,O,O,O,O,X,O,X,X,X,O,X,O,X,X
TJSIZLO,O,O,O,X,X,O,X,X,X,X,X,X,X,X
TJSIZOL,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TJSIOLZ,O,O,O,O,X,O,X,X,X,O,X,X,X,X
TJSIOZL,O,O,O,X,X,O,X,X,X,X,X,X,X,X
TJSLIZO,O,O,O,O,X,O,X,X,X,X,X,O,X,X
TJSLIOZ,O,O,O,O,X,O,X,X,X,O,X,O,X,X
TJSLZIO,O,O,O,O,X,O,X,X,X,X,X,X,X,X
TJSLZOI,O,O,O,O,X,O,X,X,X,X,X,X,X,X
TJSLOIZ,O,O,O,O,X,O,X,X,X,X,X,X,X,X
TJSLOZI,O,O,O,O,X,O,X,X,X,X,X,X,X,X
TJSZILO,O,O,O,X,X,O,X,X,X,X,X,X,X,X
TJSZIOL,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TJSZLIO,O,O,O,O,X,O,X,X,X,X,X,X,X,X
TJSZLOI,O,O,O,O,X,O,X,X,X,X,X,X,X,X
TJSZOIL,O,O,O,X,X,O,X,X,X,X,X,X,X,X
TJSZOLI,O,O,O,O,X,O,X,X,X,X,X,X,X,X
TJSOILZ,O,O,O,O,X,O,X,X,X,X,X,X,X,X
TJSOIZL,O,O,O,X,X,O,X,X,X,X,X,X,X,X
TJSOLIZ,O,O,O,O,X,O,X,X,X,X,X,X,X,X
TJSOLZI,O,O,O,O,X,O,X,X,X,X,X,X,X,X
TJSOZIL,O,O,O,X,X,O,X,X,X,X,X,X,X,X
TJSOZLI,O,O,O,O,X,O,X,X,X,X,X,X,X,X
TJZILSO,X,O,X,O,O,X,X,X,X,X,X,O,X,X
TJZILOS,X,X,X,O,O,X,X,X,X,O,X,O,X,X
TJZISLO,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TJZISOL,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TJZIOLS,X,X,X,O,O,X,X,X,X,O,X,X,X,X
TJZIOSL,X,X,X,X,O,O,X,X,X,X,O,X,X,X
TJZLISO,X,O,X,O,O,X,X,X,X,X,X,O,X,X
TJZLIOS,X,X,X,O,O,X,X,X,X,O,X,O,X,X
TJZLSIO,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TJZLSOI,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TJZLOIS,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TJZLOSI,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TJZSILO,O,O,O,X,O,O,X,X,X,X,X,X,X,X
TJZSIOL,O,X,O,X,O,O,X,X,X,X,X,X,X,X
TJZSLIO,O,O,O,O,X,O,X,X,X,X,X,X,X,X
TJZSLOI,O,O,O,O,X,O,X,X,X,X,X,X,X,X
TJZSOIL,O,O,O,X,X,O,X,X,X,X,X,X,X,X
TJZSOLI,O,O,O,O,X,O,X,X,X,X,X,X,X,X
TJZOILS,X,O,X,O,O,X,X,X,X,X,X,X,X,X
TJZOISL,X,O,X,X,O,O,X,X,X,X,O,X,X,X
TJZOLIS,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TJZOLSI,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TJZOSIL,O,O,O,X,X,O,X,X,X,X,X,X,X,X
TJZOSLI,O,O,O,O,X,O,X,X,X,X,X,X,X,X
TJOILSZ,O,O,O,O,X,X,X,X,O,O,X,O,X,X
TJOILZS,X,O,X,O,X,X,X,X,O,O,X,O,X,X
TJOISLZ,O,O,O,O,X,X,X,X,O,O,X,X,X,X
TJOISZL,O,O,O,X,X,X,X,X,O,X,X,X,X,X
TJOIZLS,X,O,X,O,X,X,X,X,O,O,X,X,X,X
TJOIZSL,X,O,X,X,X,X,X,X,O,X,O,X,X,X
